"","Statistic","Year","Crop.Type","value"
"79","Cereal Feeding Stuffs (000 Tonnes)","2012","Principal cereals",2055
"80","Cereal Products for Industrial Use (000 Tonnes)","2012","Principal cereals",130
"81","Cereal Seeds (000 Tonnes)","1993","Wheat",16
"82","Cereal Losses (000 Tonnes)","1993","Wheat",58
"83","Cereal Feeding Stuffs (000 Tonnes)","1993","Wheat",449
"84","Cereal Products for Industrial Use (000 Tonnes)","1993","Wheat",4
"85","Cereal Seeds (000 Tonnes)","1994","Wheat",15
"86","Cereal Losses (000 Tonnes)","1994","Wheat",42
"87","Cereal Feeding Stuffs (000 Tonnes)","1994","Wheat",422
"88","Cereal Products for Industrial Use (000 Tonnes)","1994","Wheat",1
"89","Cereal Seeds (000 Tonnes)","1995","Wheat",14
"90","Cereal Losses (000 Tonnes)","1995","Wheat",66
"91","Cereal Feeding Stuffs (000 Tonnes)","1995","Wheat",512
"92","Cereal Products for Industrial Use (000 Tonnes)","1995","Wheat",1
"93","Cereal Seeds (000 Tonnes)","1996","Wheat",17
"94","Cereal Losses (000 Tonnes)","1996","Wheat",14
"95","Cereal Feeding Stuffs (000 Tonnes)","1996","Wheat",546
"96","Cereal Products for Industrial Use (000 Tonnes)","1996","Wheat",1
"97","Cereal Seeds (000 Tonnes)","1997","Wheat",19
"98","Cereal Losses (000 Tonnes)","1997","Wheat",51
"99","Cereal Feeding Stuffs (000 Tonnes)","1997","Wheat",538
"100","Cereal Products for Industrial Use (000 Tonnes)","1997","Wheat",1
"101","Cereal Seeds (000 Tonnes)","1998","Wheat",17
"102","Cereal Losses (000 Tonnes)","1998","Wheat",57
"103","Cereal Feeding Stuffs (000 Tonnes)","1998","Wheat",611
"104","Cereal Products for Industrial Use (000 Tonnes)","1998","Wheat",1
"105","Cereal Seeds (000 Tonnes)","1999","Wheat",14
"106","Cereal Losses (000 Tonnes)","1999","Wheat",43
"107","Cereal Feeding Stuffs (000 Tonnes)","1999","Wheat",871
"108","Cereal Products for Industrial Use (000 Tonnes)","1999","Wheat",1
"109","Cereal Seeds (000 Tonnes)","2000","Wheat",16
"110","Cereal Losses (000 Tonnes)","2000","Wheat",32
"111","Cereal Feeding Stuffs (000 Tonnes)","2000","Wheat",811
"112","Cereal Products for Industrial Use (000 Tonnes)","2000","Wheat",1
"113","Cereal Seeds (000 Tonnes)","2001","Wheat",17
"114","Cereal Losses (000 Tonnes)","2001","Wheat",41
"115","Cereal Feeding Stuffs (000 Tonnes)","2001","Wheat",701
"116","Cereal Products for Industrial Use (000 Tonnes)","2001","Wheat",1
"117","Cereal Seeds (000 Tonnes)","2002","Wheat",21
"118","Cereal Losses (000 Tonnes)","2002","Wheat",36
"119","Cereal Feeding Stuffs (000 Tonnes)","2002","Wheat",720
"120","Cereal Products for Industrial Use (000 Tonnes)","2002","Wheat",1
"121","Cereal Seeds (000 Tonnes)","2003","Wheat",19
"122","Cereal Losses (000 Tonnes)","2003","Wheat",46
"123","Cereal Feeding Stuffs (000 Tonnes)","2003","Wheat",1029
"124","Cereal Products for Industrial Use (000 Tonnes)","2003","Wheat",1
"125","Cereal Seeds (000 Tonnes)","2004","Wheat",21
"126","Cereal Losses (000 Tonnes)","2004","Wheat",21
"127","Cereal Feeding Stuffs (000 Tonnes)","2004","Wheat",872
"128","Cereal Products for Industrial Use (000 Tonnes)","2004","Wheat",1
