"","Statistic","Year","Fish.and.Fish.Product","value"
"68","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Flatfish",6628
"69","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Flatfish",3429
"70","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Flatfish",8628
"71","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Flatfish",2454
"72","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Flatfish",6446
"73","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Haddock",997
"74","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Haddock",1072
"75","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Haddock",1487
"76","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Haddock",1583
"77","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Haddock",1317
"78","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Haddock",1905
"79","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Haddock",1070
"80","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Haddock",1690
"81","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Haddock",850
"82","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Haddock",1271
"83","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Haddock",885
"84","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Haddock",1268
"85","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Haddock",950
"86","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Haddock",1346
"87","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Haddock",670
"88","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Haddock",721
"89","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Haddock",1020
"90","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Haddock",2067
"91","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Hake",1124
"92","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Hake",3951
"93","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Hake",516
"94","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Hake",1600
"95","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Hake",1319
"96","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Hake",2897
"97","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Hake",339
"98","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Hake",1188
"99","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Hake",732
"100","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Hake",1362
"101","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Hake",235
"102","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Hake",850
"103","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Hake",1332
"104","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Hake",949
"105","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Hake",287
"106","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Hake",641
"107","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Hake",157
"108","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Hake",475
"109","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Herring",29102
"110","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Herring",23656
"111","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Herring",28189
"112","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Herring",19616
"113","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Herring",40476
"114","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Herring",25315
"115","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Herring",29186
"116","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Herring",20698
"117","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Herring",22697
"118","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Herring",21967
"119","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Herring",30188
"120","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Herring",31022
"121","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Herring",23422
"122","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Herring",27637
"123","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Herring",22085
"124","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Herring",20272
"125","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Herring",24715
"126","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Herring",20968
"127","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Lamprey",147
"128","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Lamprey",406
"129","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Lamprey",1155
"130","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Lamprey",3114
"131","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Lamprey",900
"132","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Lamprey",2386
"133","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Lamprey",1013
"134","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Lamprey",3006
"135","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Lamprey",1161
"136","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Lamprey",3268
"137","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Lamprey",1774
"138","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Lamprey",5231
"139","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Lamprey",NA
"140","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Lamprey",NA
"141","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Lamprey",NA
"142","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Lamprey",NA
"143","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Lamprey",NA
"144","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Lamprey",NA
"145","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Livers and Roes",5372
"146","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Livers and Roes",17931
"147","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Livers and Roes",1047
"148","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Livers and Roes",4810
"149","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Livers and Roes",2193
"150","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Livers and Roes",5623
"151","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Livers and Roes",578
"152","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Livers and Roes",2602
"153","Weight of External Trade of Fish (Exports) (Tonnes)","2000","Livers and Roes",725
"154","Value of External Trade of Fish (Exports) (Euro Thousand)","2000","Livers and Roes",3413
"155","Weight of External Trade of Fish (Exports) (Tonnes)","2001","Livers and Roes",621
"156","Value of External Trade of Fish (Exports) (Euro Thousand)","2001","Livers and Roes",2825
"157","Weight of External Trade of Fish (Exports) (Tonnes)","2002","Livers and Roes",545
"158","Value of External Trade of Fish (Exports) (Euro Thousand)","2002","Livers and Roes",1772
"159","Weight of External Trade of Fish (Exports) (Tonnes)","2003","Livers and Roes",1542
"160","Value of External Trade of Fish (Exports) (Euro Thousand)","2003","Livers and Roes",3727
"161","Weight of External Trade of Fish (Exports) (Tonnes)","2004","Livers and Roes",552
"162","Value of External Trade of Fish (Exports) (Euro Thousand)","2004","Livers and Roes",3169
"163","Weight of External Trade of Fish (Exports) (Tonnes)","1996","Lobster",274
"164","Value of External Trade of Fish (Exports) (Euro Thousand)","1996","Lobster",3965
"165","Weight of External Trade of Fish (Exports) (Tonnes)","1997","Lobster",545
"166","Value of External Trade of Fish (Exports) (Euro Thousand)","1997","Lobster",5244
"167","Weight of External Trade of Fish (Exports) (Tonnes)","1998","Lobster",395
"168","Value of External Trade of Fish (Exports) (Euro Thousand)","1998","Lobster",4165
"169","Weight of External Trade of Fish (Exports) (Tonnes)","1999","Lobster",249
"170","Value of External Trade of Fish (Exports) (Euro Thousand)","1999","Lobster",4032
