"","Statistic","Flow","Year","Type.of.Product","Degree.of.Processing","value"
"65","Weight of External Trade of Fish (Tonnes)","Exports","1999","Fillets","Total",26483
"66","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Fillets","Total",27847
"67","Weight of External Trade of Fish (Tonnes)","Imports","1999","Fillets","Total",3299
"68","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Fillets","Total",11920
"69","Weight of External Trade of Fish (Tonnes)","Exports","2000","Fillets","Total",25189
"70","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Fillets","Total",30064
"71","Weight of External Trade of Fish (Tonnes)","Imports","2000","Fillets","Total",2829
"72","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Fillets","Total",12269
"73","Weight of External Trade of Fish (Tonnes)","Exports","2001","Fillets","Total",33360
"74","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Fillets","Total",50907
"75","Weight of External Trade of Fish (Tonnes)","Imports","2001","Fillets","Total",4795
"76","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Fillets","Total",15962
"77","Weight of External Trade of Fish (Tonnes)","Exports","2002","Fillets","Total",28031
"78","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Fillets","Total",42085
"79","Weight of External Trade of Fish (Tonnes)","Imports","2002","Fillets","Total",5005
"80","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Fillets","Total",20907
"81","Weight of External Trade of Fish (Tonnes)","Exports","2003","Fillets","Total",19341
"82","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Fillets","Total",29992
"83","Weight of External Trade of Fish (Tonnes)","Imports","2003","Fillets","Total",5902
"84","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Fillets","Total",23649
"85","Weight of External Trade of Fish (Tonnes)","Exports","2004","Fillets","Total",22197
"86","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Fillets","Total",33566
"87","Weight of External Trade of Fish (Tonnes)","Imports","2004","Fillets","Total",7758
"88","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Fillets","Total",34258
"89","Weight of External Trade of Fish (Tonnes)","Exports","1994","Shellfish","Total",17905
"90","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Shellfish","Total",56760
"91","Weight of External Trade of Fish (Tonnes)","Imports","1994","Shellfish","Total",3292
"92","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Shellfish","Total",10171
"93","Weight of External Trade of Fish (Tonnes)","Exports","1995","Shellfish","Total",22830
"94","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Shellfish","Total",68826
"95","Weight of External Trade of Fish (Tonnes)","Imports","1995","Shellfish","Total",3317
"96","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Shellfish","Total",12365
"97","Weight of External Trade of Fish (Tonnes)","Exports","1996","Shellfish","Total",25960
"98","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Shellfish","Total",75301
"99","Weight of External Trade of Fish (Tonnes)","Imports","1996","Shellfish","Total",4673
"100","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Shellfish","Total",14139
"101","Weight of External Trade of Fish (Tonnes)","Exports","1997","Shellfish","Total",26535
"102","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Shellfish","Total",80522
"103","Weight of External Trade of Fish (Tonnes)","Imports","1997","Shellfish","Total",4147
"104","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Shellfish","Total",17784
"105","Weight of External Trade of Fish (Tonnes)","Exports","1998","Shellfish","Total",27360
"106","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Shellfish","Total",89338
"107","Weight of External Trade of Fish (Tonnes)","Imports","1998","Shellfish","Total",4875
"108","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Shellfish","Total",25964
"109","Weight of External Trade of Fish (Tonnes)","Exports","1999","Shellfish","Total",28055
"110","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Shellfish","Total",104176
"111","Weight of External Trade of Fish (Tonnes)","Imports","1999","Shellfish","Total",6082
"112","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Shellfish","Total",29936
"113","Weight of External Trade of Fish (Tonnes)","Exports","2000","Shellfish","Total",29577
"114","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Shellfish","Total",102014
"115","Weight of External Trade of Fish (Tonnes)","Imports","2000","Shellfish","Total",6440
"116","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Shellfish","Total",29785
"117","Weight of External Trade of Fish (Tonnes)","Exports","2001","Shellfish","Total",37986
"118","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Shellfish","Total",118045
"119","Weight of External Trade of Fish (Tonnes)","Imports","2001","Shellfish","Total",6192
"120","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Shellfish","Total",30369
"121","Weight of External Trade of Fish (Tonnes)","Exports","2002","Shellfish","Total",38695
"122","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Shellfish","Total",121856
"123","Weight of External Trade of Fish (Tonnes)","Imports","2002","Shellfish","Total",4151
"124","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Shellfish","Total",24728
"125","Weight of External Trade of Fish (Tonnes)","Exports","2003","Shellfish","Total",42998
"126","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Shellfish","Total",131780
"127","Weight of External Trade of Fish (Tonnes)","Imports","2003","Shellfish","Total",5288
"128","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Shellfish","Total",21888
"129","Weight of External Trade of Fish (Tonnes)","Exports","2004","Shellfish","Total",41319
"130","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Shellfish","Total",135404
"131","Weight of External Trade of Fish (Tonnes)","Imports","2004","Shellfish","Total",7432
"132","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Shellfish","Total",24784
"133","Weight of External Trade of Fish (Tonnes)","Exports","1994","Whole Fish","Live, Fresh, Chilled",68399
"134","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Whole Fish","Live, Fresh, Chilled",85328
"135","Weight of External Trade of Fish (Tonnes)","Imports","1994","Whole Fish","Live, Fresh, Chilled",2343
"136","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Whole Fish","Live, Fresh, Chilled",7391
"137","Weight of External Trade of Fish (Tonnes)","Exports","1995","Whole Fish","Live, Fresh, Chilled",54573
"138","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Whole Fish","Live, Fresh, Chilled",74915
"139","Weight of External Trade of Fish (Tonnes)","Imports","1995","Whole Fish","Live, Fresh, Chilled",2777
"140","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Whole Fish","Live, Fresh, Chilled",8272
"141","Weight of External Trade of Fish (Tonnes)","Exports","1996","Whole Fish","Live, Fresh, Chilled",48203
"142","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Whole Fish","Live, Fresh, Chilled",72544
"143","Weight of External Trade of Fish (Tonnes)","Imports","1996","Whole Fish","Live, Fresh, Chilled",5816
"144","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Whole Fish","Live, Fresh, Chilled",12352
"145","Weight of External Trade of Fish (Tonnes)","Exports","1997","Whole Fish","Live, Fresh, Chilled",44338
"146","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Whole Fish","Live, Fresh, Chilled",72544
