"","Statistic","Flow","Year","Type.of.Product","Degree.of.Processing","value"
"294","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Whole Fish","Frozen",109955
"295","Weight of External Trade of Fish (Tonnes)","Imports","2001","Whole Fish","Frozen",43204
"296","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Whole Fish","Frozen",24698
"297","Weight of External Trade of Fish (Tonnes)","Exports","2002","Whole Fish","Frozen",148122
"298","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Whole Fish","Frozen",108546
"299","Weight of External Trade of Fish (Tonnes)","Imports","2002","Whole Fish","Frozen",36101
"300","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Whole Fish","Frozen",22357
"301","Weight of External Trade of Fish (Tonnes)","Exports","2003","Whole Fish","Frozen",111921
"302","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Whole Fish","Frozen",79420
"303","Weight of External Trade of Fish (Tonnes)","Imports","2003","Whole Fish","Frozen",2535
"304","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Whole Fish","Frozen",5476
"305","Weight of External Trade of Fish (Tonnes)","Exports","2004","Whole Fish","Frozen",118611
"306","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Whole Fish","Frozen",79916
"307","Weight of External Trade of Fish (Tonnes)","Imports","2004","Whole Fish","Frozen",2201
"308","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Whole Fish","Frozen",5371
"309","Weight of External Trade of Fish (Tonnes)","Exports","1994","Fillets","Frozen",23981
"310","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Fillets","Frozen",17357
"311","Weight of External Trade of Fish (Tonnes)","Imports","1994","Fillets","Frozen",1596
"312","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Fillets","Frozen",5437
"313","Weight of External Trade of Fish (Tonnes)","Exports","1995","Fillets","Frozen",22858
"314","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Fillets","Frozen",17397
"315","Weight of External Trade of Fish (Tonnes)","Imports","1995","Fillets","Frozen",1608
"316","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Fillets","Frozen",4618
"317","Weight of External Trade of Fish (Tonnes)","Exports","1996","Fillets","Frozen",36238
"318","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Fillets","Frozen",30630
"319","Weight of External Trade of Fish (Tonnes)","Imports","1996","Fillets","Frozen",1832
"320","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Fillets","Frozen",5649
"321","Weight of External Trade of Fish (Tonnes)","Exports","1997","Fillets","Frozen",27094
"322","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Fillets","Frozen",25680
"323","Weight of External Trade of Fish (Tonnes)","Imports","1997","Fillets","Frozen",1782
"324","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Fillets","Frozen",5531
"325","Weight of External Trade of Fish (Tonnes)","Exports","1998","Fillets","Frozen",27142
"326","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Fillets","Frozen",25863
"327","Weight of External Trade of Fish (Tonnes)","Imports","1998","Fillets","Frozen",2381
"328","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Fillets","Frozen",6385
"329","Weight of External Trade of Fish (Tonnes)","Exports","1999","Fillets","Frozen",18669
"330","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Fillets","Frozen",18092
"331","Weight of External Trade of Fish (Tonnes)","Imports","1999","Fillets","Frozen",1810
"332","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Fillets","Frozen",6796
"333","Weight of External Trade of Fish (Tonnes)","Exports","2000","Fillets","Frozen",20255
"334","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Fillets","Frozen",21910
"335","Weight of External Trade of Fish (Tonnes)","Imports","2000","Fillets","Frozen",1612
"336","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Fillets","Frozen",7024
"337","Weight of External Trade of Fish (Tonnes)","Exports","2001","Fillets","Frozen",27614
"338","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Fillets","Frozen",36019
"339","Weight of External Trade of Fish (Tonnes)","Imports","2001","Fillets","Frozen",2879
"340","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Fillets","Frozen",7997
"341","Weight of External Trade of Fish (Tonnes)","Exports","2002","Fillets","Frozen",23128
"342","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Fillets","Frozen",30414
"343","Weight of External Trade of Fish (Tonnes)","Imports","2002","Fillets","Frozen",3334
"344","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Fillets","Frozen",13611
"345","Weight of External Trade of Fish (Tonnes)","Exports","2003","Fillets","Frozen",15161
"346","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Fillets","Frozen",19328
"347","Weight of External Trade of Fish (Tonnes)","Imports","2003","Fillets","Frozen",3605
"348","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Fillets","Frozen",14903
"349","Weight of External Trade of Fish (Tonnes)","Exports","2004","Fillets","Frozen",19291
"350","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Fillets","Frozen",23885
"351","Weight of External Trade of Fish (Tonnes)","Imports","2004","Fillets","Frozen",5184
"352","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Fillets","Frozen",23155
"353","Weight of External Trade of Fish (Tonnes)","Exports","1994","Shellfish","Frozen",6659
"354","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Shellfish","Frozen",21010
"355","Weight of External Trade of Fish (Tonnes)","Imports","1994","Shellfish","Frozen",1126
"356","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Shellfish","Frozen",5429
"357","Weight of External Trade of Fish (Tonnes)","Exports","1995","Shellfish","Frozen",8627
"358","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Shellfish","Frozen",29059
"359","Weight of External Trade of Fish (Tonnes)","Imports","1995","Shellfish","Frozen",1951
"360","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Shellfish","Frozen",7695
"361","Weight of External Trade of Fish (Tonnes)","Exports","1996","Shellfish","Frozen",9377
"362","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Shellfish","Frozen",27005
"363","Weight of External Trade of Fish (Tonnes)","Imports","1996","Shellfish","Frozen",3011
"364","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Shellfish","Frozen",8272
"365","Weight of External Trade of Fish (Tonnes)","Exports","1997","Shellfish","Frozen",8000
"366","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Shellfish","Frozen",27485
"367","Weight of External Trade of Fish (Tonnes)","Imports","1997","Shellfish","Frozen",1345
"368","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Shellfish","Frozen",6680
"369","Weight of External Trade of Fish (Tonnes)","Exports","1998","Shellfish","Frozen",8039
"370","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Shellfish","Frozen",31873
"371","Weight of External Trade of Fish (Tonnes)","Imports","1998","Shellfish","Frozen",1288
"372","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Shellfish","Frozen",8353
"373","Weight of External Trade of Fish (Tonnes)","Exports","1999","Shellfish","Frozen",9427
"374","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Shellfish","Frozen",45821
"375","Weight of External Trade of Fish (Tonnes)","Imports","1999","Shellfish","Frozen",2518
"376","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Shellfish","Frozen",17152
"377","Weight of External Trade of Fish (Tonnes)","Exports","2000","Shellfish","Frozen",8104
"378","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Shellfish","Frozen",39661
"379","Weight of External Trade of Fish (Tonnes)","Imports","2000","Shellfish","Frozen",2289
"380","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Shellfish","Frozen",16914
"381","Weight of External Trade of Fish (Tonnes)","Exports","2001","Shellfish","Frozen",9808
"382","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Shellfish","Frozen",43633
"383","Weight of External Trade of Fish (Tonnes)","Imports","2001","Shellfish","Frozen",2628
"384","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Shellfish","Frozen",18156
"385","Weight of External Trade of Fish (Tonnes)","Exports","2002","Shellfish","Frozen",10562
"386","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Shellfish","Frozen",51795
"387","Weight of External Trade of Fish (Tonnes)","Imports","2002","Shellfish","Frozen",2688
"388","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Shellfish","Frozen",17528
"389","Weight of External Trade of Fish (Tonnes)","Exports","2003","Shellfish","Frozen",11564
"390","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Shellfish","Frozen",54470
"391","Weight of External Trade of Fish (Tonnes)","Imports","2003","Shellfish","Frozen",2137
"392","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Shellfish","Frozen",12216
"393","Weight of External Trade of Fish (Tonnes)","Exports","2004","Shellfish","Frozen",12864
"394","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Shellfish","Frozen",60536
"395","Weight of External Trade of Fish (Tonnes)","Imports","2004","Shellfish","Frozen",2189
"396","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Shellfish","Frozen",12631
"397","Weight of External Trade of Fish (Tonnes)","Exports","1994","Whole Fish","Dried, Salted, in Brine, Smoked",4260
"398","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Whole Fish","Dried, Salted, in Brine, Smoked",9500
"399","Weight of External Trade of Fish (Tonnes)","Imports","1994","Whole Fish","Dried, Salted, in Brine, Smoked",984
"400","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Whole Fish","Dried, Salted, in Brine, Smoked",2454
"401","Weight of External Trade of Fish (Tonnes)","Exports","1995","Whole Fish","Dried, Salted, in Brine, Smoked",4422
"402","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Whole Fish","Dried, Salted, in Brine, Smoked",10887
"403","Weight of External Trade of Fish (Tonnes)","Imports","1995","Whole Fish","Dried, Salted, in Brine, Smoked",1202
"404","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Whole Fish","Dried, Salted, in Brine, Smoked",3282
"405","Weight of External Trade of Fish (Tonnes)","Exports","1996","Whole Fish","Dried, Salted, in Brine, Smoked",6786
"406","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Whole Fish","Dried, Salted, in Brine, Smoked",12504
"407","Weight of External Trade of Fish (Tonnes)","Imports","1996","Whole Fish","Dried, Salted, in Brine, Smoked",1396
"408","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Whole Fish","Dried, Salted, in Brine, Smoked",3758
"409","Weight of External Trade of Fish (Tonnes)","Exports","1997","Whole Fish","Dried, Salted, in Brine, Smoked",5938
"410","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Whole Fish","Dried, Salted, in Brine, Smoked",11120
"411","Weight of External Trade of Fish (Tonnes)","Imports","1997","Whole Fish","Dried, Salted, in Brine, Smoked",1342
"412","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Whole Fish","Dried, Salted, in Brine, Smoked",3720
"413","Weight of External Trade of Fish (Tonnes)","Exports","1998","Whole Fish","Dried, Salted, in Brine, Smoked",6774
"414","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Whole Fish","Dried, Salted, in Brine, Smoked",12390
"415","Weight of External Trade of Fish (Tonnes)","Imports","1998","Whole Fish","Dried, Salted, in Brine, Smoked",932
"416","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Whole Fish","Dried, Salted, in Brine, Smoked",2913
"417","Weight of External Trade of Fish (Tonnes)","Exports","1999","Whole Fish","Dried, Salted, in Brine, Smoked",7764
"418","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Whole Fish","Dried, Salted, in Brine, Smoked",16944
"419","Weight of External Trade of Fish (Tonnes)","Imports","1999","Whole Fish","Dried, Salted, in Brine, Smoked",1264
"420","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Whole Fish","Dried, Salted, in Brine, Smoked",4187
"421","Weight of External Trade of Fish (Tonnes)","Exports","2000","Whole Fish","Dried, Salted, in Brine, Smoked",4594
"422","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Whole Fish","Dried, Salted, in Brine, Smoked",13730
"423","Weight of External Trade of Fish (Tonnes)","Imports","2000","Whole Fish","Dried, Salted, in Brine, Smoked",956
"424","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Whole Fish","Dried, Salted, in Brine, Smoked",2778
"425","Weight of External Trade of Fish (Tonnes)","Exports","2001","Whole Fish","Dried, Salted, in Brine, Smoked",3092
"426","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Whole Fish","Dried, Salted, in Brine, Smoked",11339
"427","Weight of External Trade of Fish (Tonnes)","Imports","2001","Whole Fish","Dried, Salted, in Brine, Smoked",1009
"428","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Whole Fish","Dried, Salted, in Brine, Smoked",3549
"429","Weight of External Trade of Fish (Tonnes)","Exports","2002","Whole Fish","Dried, Salted, in Brine, Smoked",2543
"430","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Whole Fish","Dried, Salted, in Brine, Smoked",11431
"431","Weight of External Trade of Fish (Tonnes)","Imports","2002","Whole Fish","Dried, Salted, in Brine, Smoked",994
"432","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Whole Fish","Dried, Salted, in Brine, Smoked",3226
"433","Weight of External Trade of Fish (Tonnes)","Exports","2003","Whole Fish","Dried, Salted, in Brine, Smoked",2705
"434","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Whole Fish","Dried, Salted, in Brine, Smoked",12004
"435","Weight of External Trade of Fish (Tonnes)","Imports","2003","Whole Fish","Dried, Salted, in Brine, Smoked",833
"436","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Whole Fish","Dried, Salted, in Brine, Smoked",2353
"437","Weight of External Trade of Fish (Tonnes)","Exports","2004","Whole Fish","Dried, Salted, in Brine, Smoked",1919
"438","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Whole Fish","Dried, Salted, in Brine, Smoked",9011
"439","Weight of External Trade of Fish (Tonnes)","Imports","2004","Whole Fish","Dried, Salted, in Brine, Smoked",774
"440","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Whole Fish","Dried, Salted, in Brine, Smoked",2765
"441","Weight of External Trade of Fish (Tonnes)","Exports","1994","Fillets","Dried, Salted, in Brine, Smoked",1608
"442","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Fillets","Dried, Salted, in Brine, Smoked",1552
"443","Weight of External Trade of Fish (Tonnes)","Imports","1994","Fillets","Dried, Salted, in Brine, Smoked",57
"444","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Fillets","Dried, Salted, in Brine, Smoked",105
"445","Weight of External Trade of Fish (Tonnes)","Exports","1995","Fillets","Dried, Salted, in Brine, Smoked",1741
"446","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Fillets","Dried, Salted, in Brine, Smoked",1572
"447","Weight of External Trade of Fish (Tonnes)","Imports","1995","Fillets","Dried, Salted, in Brine, Smoked",40
"448","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Fillets","Dried, Salted, in Brine, Smoked",98
"449","Weight of External Trade of Fish (Tonnes)","Exports","1996","Fillets","Dried, Salted, in Brine, Smoked",116
"450","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Fillets","Dried, Salted, in Brine, Smoked",211
"451","Weight of External Trade of Fish (Tonnes)","Imports","1996","Fillets","Dried, Salted, in Brine, Smoked",109
"452","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Fillets","Dried, Salted, in Brine, Smoked",251
"453","Weight of External Trade of Fish (Tonnes)","Exports","1997","Fillets","Dried, Salted, in Brine, Smoked",648
"454","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Fillets","Dried, Salted, in Brine, Smoked",768
"455","Weight of External Trade of Fish (Tonnes)","Imports","1997","Fillets","Dried, Salted, in Brine, Smoked",148
"456","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Fillets","Dried, Salted, in Brine, Smoked",401
"457","Weight of External Trade of Fish (Tonnes)","Exports","1998","Fillets","Dried, Salted, in Brine, Smoked",1080
"458","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Fillets","Dried, Salted, in Brine, Smoked",1266
"459","Weight of External Trade of Fish (Tonnes)","Imports","1998","Fillets","Dried, Salted, in Brine, Smoked",162
"460","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Fillets","Dried, Salted, in Brine, Smoked",497
"461","Weight of External Trade of Fish (Tonnes)","Exports","1999","Fillets","Dried, Salted, in Brine, Smoked",849
"462","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Fillets","Dried, Salted, in Brine, Smoked",888
"463","Weight of External Trade of Fish (Tonnes)","Imports","1999","Fillets","Dried, Salted, in Brine, Smoked",158
"464","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Fillets","Dried, Salted, in Brine, Smoked",459
"465","Weight of External Trade of Fish (Tonnes)","Exports","2000","Fillets","Dried, Salted, in Brine, Smoked",327
"466","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Fillets","Dried, Salted, in Brine, Smoked",580
"467","Weight of External Trade of Fish (Tonnes)","Imports","2000","Fillets","Dried, Salted, in Brine, Smoked",192
"468","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Fillets","Dried, Salted, in Brine, Smoked",641
"469","Weight of External Trade of Fish (Tonnes)","Exports","2001","Fillets","Dried, Salted, in Brine, Smoked",422
"470","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Fillets","Dried, Salted, in Brine, Smoked",1322
"471","Weight of External Trade of Fish (Tonnes)","Imports","2001","Fillets","Dried, Salted, in Brine, Smoked",221
"472","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Fillets","Dried, Salted, in Brine, Smoked",771
"473","Weight of External Trade of Fish (Tonnes)","Exports","2002","Fillets","Dried, Salted, in Brine, Smoked",857
"474","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Fillets","Dried, Salted, in Brine, Smoked",1743
"475","Weight of External Trade of Fish (Tonnes)","Imports","2002","Fillets","Dried, Salted, in Brine, Smoked",191
"476","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Fillets","Dried, Salted, in Brine, Smoked",639
"477","Weight of External Trade of Fish (Tonnes)","Exports","2003","Fillets","Dried, Salted, in Brine, Smoked",1177
"478","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Fillets","Dried, Salted, in Brine, Smoked",1715
"479","Weight of External Trade of Fish (Tonnes)","Imports","2003","Fillets","Dried, Salted, in Brine, Smoked",448
"480","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Fillets","Dried, Salted, in Brine, Smoked",1223
"481","Weight of External Trade of Fish (Tonnes)","Exports","2004","Fillets","Dried, Salted, in Brine, Smoked",423
"482","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Fillets","Dried, Salted, in Brine, Smoked",575
"483","Weight of External Trade of Fish (Tonnes)","Imports","2004","Fillets","Dried, Salted, in Brine, Smoked",316
"484","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Fillets","Dried, Salted, in Brine, Smoked",918
"485","Weight of External Trade of Fish (Tonnes)","Exports","1994","Shellfish","Dried, Salted, in Brine, Smoked",589
"486","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Shellfish","Dried, Salted, in Brine, Smoked",1371
"487","Weight of External Trade of Fish (Tonnes)","Imports","1994","Shellfish","Dried, Salted, in Brine, Smoked",110
"488","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Shellfish","Dried, Salted, in Brine, Smoked",312
"489","Weight of External Trade of Fish (Tonnes)","Exports","1995","Shellfish","Dried, Salted, in Brine, Smoked",511
"490","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Shellfish","Dried, Salted, in Brine, Smoked",1365
"491","Weight of External Trade of Fish (Tonnes)","Imports","1995","Shellfish","Dried, Salted, in Brine, Smoked",11
"492","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Shellfish","Dried, Salted, in Brine, Smoked",27
"493","Weight of External Trade of Fish (Tonnes)","Exports","1996","Shellfish","Dried, Salted, in Brine, Smoked",397
"494","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Shellfish","Dried, Salted, in Brine, Smoked",1073
"495","Weight of External Trade of Fish (Tonnes)","Imports","1996","Shellfish","Dried, Salted, in Brine, Smoked",23
"496","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Shellfish","Dried, Salted, in Brine, Smoked",99
"497","Weight of External Trade of Fish (Tonnes)","Exports","1997","Shellfish","Dried, Salted, in Brine, Smoked",825
"498","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Shellfish","Dried, Salted, in Brine, Smoked",3016
"499","Weight of External Trade of Fish (Tonnes)","Imports","1997","Shellfish","Dried, Salted, in Brine, Smoked",13
"500","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Shellfish","Dried, Salted, in Brine, Smoked",34
"501","Weight of External Trade of Fish (Tonnes)","Exports","1998","Shellfish","Dried, Salted, in Brine, Smoked",578
"502","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Shellfish","Dried, Salted, in Brine, Smoked",1752
"503","Weight of External Trade of Fish (Tonnes)","Imports","1998","Shellfish","Dried, Salted, in Brine, Smoked",11
"504","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Shellfish","Dried, Salted, in Brine, Smoked",34
"505","Weight of External Trade of Fish (Tonnes)","Exports","1999","Shellfish","Dried, Salted, in Brine, Smoked",460
"506","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Shellfish","Dried, Salted, in Brine, Smoked",1363
"507","Weight of External Trade of Fish (Tonnes)","Imports","1999","Shellfish","Dried, Salted, in Brine, Smoked",18
"508","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Shellfish","Dried, Salted, in Brine, Smoked",97
"509","Weight of External Trade of Fish (Tonnes)","Exports","2000","Shellfish","Dried, Salted, in Brine, Smoked",730
"510","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Shellfish","Dried, Salted, in Brine, Smoked",2378
"511","Weight of External Trade of Fish (Tonnes)","Imports","2000","Shellfish","Dried, Salted, in Brine, Smoked",6
"512","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Shellfish","Dried, Salted, in Brine, Smoked",26
"513","Weight of External Trade of Fish (Tonnes)","Exports","2001","Shellfish","Dried, Salted, in Brine, Smoked",567
"514","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Shellfish","Dried, Salted, in Brine, Smoked",1568
"515","Weight of External Trade of Fish (Tonnes)","Imports","2001","Shellfish","Dried, Salted, in Brine, Smoked",7
"516","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Shellfish","Dried, Salted, in Brine, Smoked",19
"517","Weight of External Trade of Fish (Tonnes)","Exports","2002","Shellfish","Dried, Salted, in Brine, Smoked",590
"518","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Shellfish","Dried, Salted, in Brine, Smoked",1830
"519","Weight of External Trade of Fish (Tonnes)","Imports","2002","Shellfish","Dried, Salted, in Brine, Smoked",7
"520","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Shellfish","Dried, Salted, in Brine, Smoked",50
"521","Weight of External Trade of Fish (Tonnes)","Exports","2003","Shellfish","Dried, Salted, in Brine, Smoked",1121
"522","Value of External Trade of Fish (Euro Thousand)","Exports","2003","Shellfish","Dried, Salted, in Brine, Smoked",4196
"523","Weight of External Trade of Fish (Tonnes)","Imports","2003","Shellfish","Dried, Salted, in Brine, Smoked",6
"524","Value of External Trade of Fish (Euro Thousand)","Imports","2003","Shellfish","Dried, Salted, in Brine, Smoked",21
"525","Weight of External Trade of Fish (Tonnes)","Exports","2004","Shellfish","Dried, Salted, in Brine, Smoked",764
"526","Value of External Trade of Fish (Euro Thousand)","Exports","2004","Shellfish","Dried, Salted, in Brine, Smoked",2838
"527","Weight of External Trade of Fish (Tonnes)","Imports","2004","Shellfish","Dried, Salted, in Brine, Smoked",2
"528","Value of External Trade of Fish (Euro Thousand)","Imports","2004","Shellfish","Dried, Salted, in Brine, Smoked",7
"529","Weight of External Trade of Fish (Tonnes)","Exports","1994","Whole Fish","Prepared, Preserved",3658
"530","Value of External Trade of Fish (Euro Thousand)","Exports","1994","Whole Fish","Prepared, Preserved",6764
"531","Weight of External Trade of Fish (Tonnes)","Imports","1994","Whole Fish","Prepared, Preserved",6861
"532","Value of External Trade of Fish (Euro Thousand)","Imports","1994","Whole Fish","Prepared, Preserved",19450
"533","Weight of External Trade of Fish (Tonnes)","Exports","1995","Whole Fish","Prepared, Preserved",4479
"534","Value of External Trade of Fish (Euro Thousand)","Exports","1995","Whole Fish","Prepared, Preserved",7589
"535","Weight of External Trade of Fish (Tonnes)","Imports","1995","Whole Fish","Prepared, Preserved",7455
"536","Value of External Trade of Fish (Euro Thousand)","Imports","1995","Whole Fish","Prepared, Preserved",20341
"537","Weight of External Trade of Fish (Tonnes)","Exports","1996","Whole Fish","Prepared, Preserved",5396
"538","Value of External Trade of Fish (Euro Thousand)","Exports","1996","Whole Fish","Prepared, Preserved",9691
"539","Weight of External Trade of Fish (Tonnes)","Imports","1996","Whole Fish","Prepared, Preserved",8014
"540","Value of External Trade of Fish (Euro Thousand)","Imports","1996","Whole Fish","Prepared, Preserved",21074
"541","Weight of External Trade of Fish (Tonnes)","Exports","1997","Whole Fish","Prepared, Preserved",5069
"542","Value of External Trade of Fish (Euro Thousand)","Exports","1997","Whole Fish","Prepared, Preserved",10280
"543","Weight of External Trade of Fish (Tonnes)","Imports","1997","Whole Fish","Prepared, Preserved",7378
"544","Value of External Trade of Fish (Euro Thousand)","Imports","1997","Whole Fish","Prepared, Preserved",21168
"545","Weight of External Trade of Fish (Tonnes)","Exports","1998","Whole Fish","Prepared, Preserved",5033
"546","Value of External Trade of Fish (Euro Thousand)","Exports","1998","Whole Fish","Prepared, Preserved",11120
"547","Weight of External Trade of Fish (Tonnes)","Imports","1998","Whole Fish","Prepared, Preserved",8477
"548","Value of External Trade of Fish (Euro Thousand)","Imports","1998","Whole Fish","Prepared, Preserved",26086
"549","Weight of External Trade of Fish (Tonnes)","Exports","1999","Whole Fish","Prepared, Preserved",5122
"550","Value of External Trade of Fish (Euro Thousand)","Exports","1999","Whole Fish","Prepared, Preserved",10175
"551","Weight of External Trade of Fish (Tonnes)","Imports","1999","Whole Fish","Prepared, Preserved",7839
"552","Value of External Trade of Fish (Euro Thousand)","Imports","1999","Whole Fish","Prepared, Preserved",26850
"553","Weight of External Trade of Fish (Tonnes)","Exports","2000","Whole Fish","Prepared, Preserved",4940
"554","Value of External Trade of Fish (Euro Thousand)","Exports","2000","Whole Fish","Prepared, Preserved",10363
"555","Weight of External Trade of Fish (Tonnes)","Imports","2000","Whole Fish","Prepared, Preserved",8016
"556","Value of External Trade of Fish (Euro Thousand)","Imports","2000","Whole Fish","Prepared, Preserved",29777
"557","Weight of External Trade of Fish (Tonnes)","Exports","2001","Whole Fish","Prepared, Preserved",6675
"558","Value of External Trade of Fish (Euro Thousand)","Exports","2001","Whole Fish","Prepared, Preserved",14698
"559","Weight of External Trade of Fish (Tonnes)","Imports","2001","Whole Fish","Prepared, Preserved",10216
"560","Value of External Trade of Fish (Euro Thousand)","Imports","2001","Whole Fish","Prepared, Preserved",36145
"561","Weight of External Trade of Fish (Tonnes)","Exports","2002","Whole Fish","Prepared, Preserved",7069
"562","Value of External Trade of Fish (Euro Thousand)","Exports","2002","Whole Fish","Prepared, Preserved",16884
"563","Weight of External Trade of Fish (Tonnes)","Imports","2002","Whole Fish","Prepared, Preserved",10044
"564","Value of External Trade of Fish (Euro Thousand)","Imports","2002","Whole Fish","Prepared, Preserved",36954
"565","Weight of External Trade of Fish (Tonnes)","Exports","2003","Whole Fish","Prepared, Preserved",6977
