"","Statistic","Year","Fish.and.Fish.Product","value"
"1","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Total Fish and Fish Products",56886
"2","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Total Fish and Fish Products",85218
"3","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Total Fish and Fish Products",61106
"4","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Total Fish and Fish Products",92531
"5","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Total Fish and Fish Products",51967
"6","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Total Fish and Fish Products",100895
"7","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Total Fish and Fish Products",57221
"8","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Total Fish and Fish Products",113923
"9","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Total Fish and Fish Products",70435
"10","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Total Fish and Fish Products",127948
"11","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Total Fish and Fish Products",114458
"12","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Total Fish and Fish Products",165461
"13","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Total Fish and Fish Products",94866
"14","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Total Fish and Fish Products",143799
"15","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Total Fish and Fish Products",69240
"16","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Total Fish and Fish Products",113566
"17","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Total Fish and Fish Products",60924
"18","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Total Fish and Fish Products",116906
"19","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Cod",1257
"20","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Cod",3064
"21","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Cod",1385
"22","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Cod",4091
"23","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Cod",1572
"24","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Cod",5111
"25","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Cod",1331
"26","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Cod",4989
"27","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Cod",1828
"28","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Cod",6910
"29","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Cod",1444
"30","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Cod",6047
"31","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Cod",2564
"32","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Cod",12469
"33","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Cod",2994
"34","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Cod",13438
"35","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Cod",4029
"36","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Cod",18663
"37","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Crab",439
"38","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Crab",1009
"39","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Crab",586
"40","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Crab",997
"41","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Crab",555
"42","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Crab",1132
"43","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Crab",944
"44","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Crab",1530
"45","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Crab",2108
"46","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Crab",2846
"47","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Crab",1639
"48","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Crab",2379
"49","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Crab",175
"50","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Crab",783
"51","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Crab",1368
"52","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Crab",1930
"53","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Crab",2351
"54","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Crab",2992
"55","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Haddock",375
"56","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Haddock",1117
"57","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Haddock",569
"58","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Haddock",1102
"59","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Haddock",1113
"60","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Haddock",1966
"61","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Haddock",831
"62","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Haddock",2756
"63","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Haddock",530
"64","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Haddock",1963
"65","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Haddock",563
"66","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Haddock",2293
"67","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Haddock",349
"68","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Haddock",1622
"69","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Haddock",251
"70","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Haddock",1169
"71","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Haddock",670
"72","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Haddock",2960
"73","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Herring",438
"74","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Herring",514
"75","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Herring",1517
"76","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Herring",899
"77","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Herring",1939
"78","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Herring",1131
"79","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Herring",1058
"80","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Herring",1291
"81","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Herring",543
"82","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Herring",917
"83","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Herring",5899
"84","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Herring",6059
"85","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Herring",2810
"86","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Herring",2267
"87","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Herring",1511
"88","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Herring",2439
"89","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Herring",986
"90","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Herring",2344
"91","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Lamprey",2187
"92","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Lamprey",6246
"93","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Lamprey",1997
"94","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Lamprey",5857
"95","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Lamprey",1932
"96","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Lamprey",6142
"97","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Lamprey",1463
"98","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Lamprey",5793
"99","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Lamprey",1753
"100","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Lamprey",7258
"101","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Lamprey",1738
"102","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Lamprey",7712
"103","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Lamprey",NA
"104","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Lamprey",NA
