"","Statistic","Year","Country","value"
"357","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Latvia",NA
"358","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Latvia",NA
"359","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Latvia",NA
"360","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Latvia",NA
"361","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Latvia",NA
"362","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Latvia",NA
"363","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Latvia",NA
"364","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Latvia",NA
"365","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Latvia",NA
"366","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Latvia",NA
"367","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Latvia",NA
"368","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Latvia",NA
"369","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Latvia",0
"370","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Latvia",0
"371","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Latvia",1
"372","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Latvia",5
"373","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Latvia",0
"374","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Latvia",0
"375","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Lithuania",NA
"376","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Lithuania",NA
"377","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Lithuania",NA
"378","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Lithuania",NA
"379","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Lithuania",NA
"380","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Lithuania",NA
"381","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Lithuania",NA
"382","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Lithuania",NA
"383","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Lithuania",NA
"384","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Lithuania",NA
"385","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Lithuania",NA
"386","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Lithuania",NA
"387","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Lithuania",NA
"388","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Lithuania",NA
"389","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Lithuania",NA
"390","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Lithuania",NA
"391","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Lithuania",34
"392","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Lithuania",70
"393","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Lithuania",108
"394","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Lithuania",235
"395","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Lithuania",47
"396","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Lithuania",117
"397","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Malta",NA
"398","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Malta",NA
"399","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Malta",NA
"400","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Malta",NA
"401","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Malta",NA
"402","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Malta",NA
"403","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Malta",NA
"404","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Malta",NA
"405","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Malta",NA
"406","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Malta",NA
"407","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Malta",NA
"408","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Malta",NA
"409","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Malta",NA
"410","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Malta",NA
"411","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Malta",NA
"412","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Malta",NA
"413","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Malta",0
"414","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Malta",0
"415","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Malta",0
"416","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Malta",0
"417","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Malta",0
"418","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Malta",0
"419","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Netherlands",2650
"420","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Netherlands",2805
"421","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Netherlands",1611
"422","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Netherlands",2115
"423","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Netherlands",2178
"424","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Netherlands",2865
"425","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Netherlands",1947
"426","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Netherlands",2453
"427","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Netherlands",942
"428","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Netherlands",4108
"429","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Netherlands",1271
"430","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Netherlands",5464
"431","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Netherlands",1443
"432","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Netherlands",3984
"433","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Netherlands",1549
"434","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Netherlands",3606
"435","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Netherlands",8716
"436","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Netherlands",7164
"437","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Netherlands",1130
"438","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Netherlands",2773
"439","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Netherlands",775
"440","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Netherlands",2062
"441","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Northern Ireland",3196
"442","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Northern Ireland",4279
"443","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Northern Ireland",3235
"444","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Northern Ireland",4414
"445","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Northern Ireland",2835
"446","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Northern Ireland",4226
"447","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Northern Ireland",6683
"448","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Northern Ireland",6034
"449","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Northern Ireland",8271
"450","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Northern Ireland",7362
"451","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Northern Ireland",9682
"452","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Northern Ireland",11131
"453","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Northern Ireland",5617
"454","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Northern Ireland",11826
"455","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Northern Ireland",9649
"456","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Northern Ireland",14811
"457","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Northern Ireland",10231
"458","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Northern Ireland",12107
"459","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Northern Ireland",7334
"460","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Northern Ireland",8806
"461","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Northern Ireland",4850
"462","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Northern Ireland",9549
"463","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Poland",NA
"464","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Poland",NA
"465","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Poland",NA
"466","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Poland",NA
"467","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Poland",NA
"468","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Poland",NA
"469","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Poland",NA
"470","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Poland",NA
"471","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Poland",NA
"472","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Poland",NA
"473","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Poland",NA
"474","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Poland",NA
"475","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Poland",NA
"476","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Poland",NA
"477","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Poland",NA
"478","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Poland",NA
"479","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Poland",0
"480","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Poland",0
"481","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Poland",8
"482","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Poland",25
"483","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Poland",19
"484","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Poland",71
"485","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Portugal",2
"486","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Portugal",76
"487","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Portugal",89
"488","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Portugal",220
"489","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Portugal",84
"490","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Portugal",223
"491","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Portugal",205
"492","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Portugal",524
"493","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Portugal",81
"494","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Portugal",171
"495","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Portugal",49
"496","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Portugal",94
"497","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Portugal",57
"498","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Portugal",170
"499","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Portugal",63
"500","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Portugal",178
"501","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Portugal",25
"502","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Portugal",123
"503","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Portugal",27
"504","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Portugal",74
"505","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Portugal",24
"506","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Portugal",70
"507","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Slovakia",NA
"508","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Slovakia",NA
"509","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Slovakia",NA
"510","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Slovakia",NA
"511","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Slovakia",NA
"512","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Slovakia",NA
"513","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Slovakia",NA
"514","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Slovakia",NA
"515","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Slovakia",NA
"516","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Slovakia",NA
"517","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Slovakia",NA
"518","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Slovakia",NA
"519","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Slovakia",NA
"520","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Slovakia",NA
"521","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Slovakia",NA
"522","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Slovakia",NA
"523","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Slovakia",0
"524","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Slovakia",0
"525","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Slovakia",0
"526","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Slovakia",0
"527","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Slovakia",0
"528","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Slovakia",0
"529","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Slovenia",NA
"530","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Slovenia",NA
"531","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Slovenia",NA
"532","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Slovenia",NA
"533","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Slovenia",NA
"534","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Slovenia",NA
"535","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Slovenia",NA
"536","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Slovenia",NA
"537","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Slovenia",NA
"538","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Slovenia",NA
"539","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Slovenia",NA
"540","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Slovenia",NA
"541","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Slovenia",NA
"542","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Slovenia",NA
"543","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Slovenia",NA
"544","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Slovenia",NA
"545","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Slovenia",0
"546","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Slovenia",0
"547","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Slovenia",0
"548","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Slovenia",0
"549","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Slovenia",0
"550","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Slovenia",0
"551","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Spain",8
"552","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Spain",105
"553","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Spain",0
"554","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Spain",0
"555","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Spain",82
"556","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Spain",206
"557","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Spain",86
"558","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Spain",283
"559","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Spain",15
"560","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Spain",58
"561","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Spain",15
"562","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Spain",84
"563","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Spain",112
"564","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Spain",219
"565","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Spain",181
"566","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Spain",172
"567","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Spain",157
"568","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Spain",139
"569","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Spain",44
"570","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Spain",174
"571","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Spain",2385
"572","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Spain",517
"573","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Sweden",467
"574","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Sweden",98
"575","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Sweden",59
"576","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Sweden",20
"577","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Sweden",36
"578","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Sweden",9
"579","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Sweden",1
"580","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Sweden",8
"581","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Sweden",240
"582","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Sweden",652
"583","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Sweden",37
"584","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Sweden",195
"585","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Sweden",122
"586","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Sweden",305
"587","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Sweden",80
"588","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Sweden",299
"589","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Sweden",52
"590","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Sweden",316
"591","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Sweden",46
"592","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Sweden",359
"593","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Sweden",70
"594","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Sweden",385
"595","Weight of External Trade of Fish (Imports) (Tonnes)","1994","All countries excluding EU25 countries",NA
"596","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","All countries excluding EU25 countries",NA
"597","Weight of External Trade of Fish (Imports) (Tonnes)","1995","All countries excluding EU25 countries",NA
"598","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","All countries excluding EU25 countries",NA
"599","Weight of External Trade of Fish (Imports) (Tonnes)","1996","All countries excluding EU25 countries",NA
"600","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","All countries excluding EU25 countries",NA
"601","Weight of External Trade of Fish (Imports) (Tonnes)","1997","All countries excluding EU25 countries",NA
"602","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","All countries excluding EU25 countries",NA
"603","Weight of External Trade of Fish (Imports) (Tonnes)","1998","All countries excluding EU25 countries",NA
"604","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","All countries excluding EU25 countries",NA
"605","Weight of External Trade of Fish (Imports) (Tonnes)","1999","All countries excluding EU25 countries",NA
"606","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","All countries excluding EU25 countries",NA
"607","Weight of External Trade of Fish (Imports) (Tonnes)","2000","All countries excluding EU25 countries",NA
"608","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","All countries excluding EU25 countries",NA
"609","Weight of External Trade of Fish (Imports) (Tonnes)","2001","All countries excluding EU25 countries",NA
"610","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","All countries excluding EU25 countries",NA
"611","Weight of External Trade of Fish (Imports) (Tonnes)","2002","All countries excluding EU25 countries",39204
"612","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","All countries excluding EU25 countries",28263
"613","Weight of External Trade of Fish (Imports) (Tonnes)","2003","All countries excluding EU25 countries",30187
"614","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","All countries excluding EU25 countries",15297
"615","Weight of External Trade of Fish (Imports) (Tonnes)","2004","All countries excluding EU25 countries",23526
"616","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","All countries excluding EU25 countries",15438
"617","Weight of External Trade of Fish (Imports) (Tonnes)","1994","All countries excluding EU15 countries",30916
"618","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","All countries excluding EU15 countries",19219
"619","Weight of External Trade of Fish (Imports) (Tonnes)","1995","All countries excluding EU15 countries",24615
"620","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","All countries excluding EU15 countries",18882
"621","Weight of External Trade of Fish (Imports) (Tonnes)","1996","All countries excluding EU15 countries",18204
"622","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","All countries excluding EU15 countries",19946
"623","Weight of External Trade of Fish (Imports) (Tonnes)","1997","All countries excluding EU15 countries",23486
"624","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","All countries excluding EU15 countries",22686
"625","Weight of External Trade of Fish (Imports) (Tonnes)","1998","All countries excluding EU15 countries",18564
"626","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","All countries excluding EU15 countries",20604
"627","Weight of External Trade of Fish (Imports) (Tonnes)","1999","All countries excluding EU15 countries",17988
"628","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","All countries excluding EU15 countries",12714
"629","Weight of External Trade of Fish (Imports) (Tonnes)","2000","All countries excluding EU15 countries",26741
"630","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","All countries excluding EU15 countries",15746
"631","Weight of External Trade of Fish (Imports) (Tonnes)","2001","All countries excluding EU15 countries",15529
"632","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","All countries excluding EU15 countries",17419
"633","Weight of External Trade of Fish (Imports) (Tonnes)","2002","All countries excluding EU15 countries",NA
"634","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","All countries excluding EU15 countries",NA
"635","Weight of External Trade of Fish (Imports) (Tonnes)","2003","All countries excluding EU15 countries",NA
"636","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","All countries excluding EU15 countries",NA
"637","Weight of External Trade of Fish (Imports) (Tonnes)","2004","All countries excluding EU15 countries",NA
"638","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","All countries excluding EU15 countries",NA
"639","Weight of External Trade of Fish (Imports) (Tonnes)","1994","China",NA
"640","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","China",NA
"641","Weight of External Trade of Fish (Imports) (Tonnes)","1995","China",NA
"642","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","China",NA
"643","Weight of External Trade of Fish (Imports) (Tonnes)","1996","China",NA
"644","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","China",NA
"645","Weight of External Trade of Fish (Imports) (Tonnes)","1997","China",NA
"646","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","China",NA
"647","Weight of External Trade of Fish (Imports) (Tonnes)","1998","China",NA
"648","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","China",NA
"649","Weight of External Trade of Fish (Imports) (Tonnes)","1999","China",NA
"650","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","China",NA
"651","Weight of External Trade of Fish (Imports) (Tonnes)","2000","China",NA
"652","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","China",NA
"653","Weight of External Trade of Fish (Imports) (Tonnes)","2001","China",NA
"654","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","China",NA
"655","Weight of External Trade of Fish (Imports) (Tonnes)","2002","China",12
"656","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","China",26
"657","Weight of External Trade of Fish (Imports) (Tonnes)","2003","China",41
"658","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","China",125
"659","Weight of External Trade of Fish (Imports) (Tonnes)","2004","China",79
"660","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","China",352
"661","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Faroe Islands",5384
"662","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Faroe Islands",538
"663","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Faroe Islands",7773
"664","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Faroe Islands",1069
"665","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Faroe Islands",868
"666","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Faroe Islands",352
"667","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Faroe Islands",2447
"668","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Faroe Islands",818
"669","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Faroe Islands",1620
"670","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Faroe Islands",132
"671","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Faroe Islands",4519
"672","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Faroe Islands",579
"673","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Faroe Islands",6656
"674","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Faroe Islands",478
"675","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Faroe Islands",44
"676","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Faroe Islands",117
"677","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Faroe Islands",107
"678","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Faroe Islands",276
"679","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Faroe Islands",2075
"680","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Faroe Islands",602
"681","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Faroe Islands",4303
"682","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Faroe Islands",571
"683","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Iceland",6106
"684","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Iceland",3191
"685","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Iceland",3377
"686","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Iceland",1897
"687","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Iceland",3800
"688","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Iceland",2462
"689","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Iceland",7603
"690","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Iceland",4830
"691","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Iceland",3692
"692","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Iceland",3363
"693","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Iceland",1779
"694","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Iceland",1621
"695","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Iceland",3494
"696","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Iceland",2188
"697","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Iceland",253
"698","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Iceland",1577
"699","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Iceland",267
"700","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Iceland",1621
"701","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Iceland",1310
"702","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Iceland",1855
