"","Statistic","Year","Country","value"
"73","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Austria",0
"74","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Austria",0
"75","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Austria",0
"76","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Austria",0
"77","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Austria",NA
"78","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Austria",NA
"79","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Austria",0
"80","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Austria",0
"81","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Austria",0
"82","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Austria",0
"83","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Austria",600
"84","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Austria",80
"85","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Austria",0
"86","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Austria",0
"87","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Austria",0
"88","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Austria",0
"89","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Belgium/Luxemburg",276
"90","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Belgium/Luxemburg",442
"91","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Belgium/Luxemburg",92
"92","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Belgium/Luxemburg",183
"93","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Belgium/Luxemburg",89
"94","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Belgium/Luxemburg",145
"95","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Belgium/Luxemburg",34
"96","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Belgium/Luxemburg",86
"97","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Belgium/Luxemburg",30
"98","Value of External Trade of Fish (Imports) (Euro Thousand)","1998","Belgium/Luxemburg",180
"99","Weight of External Trade of Fish (Imports) (Tonnes)","1999","Belgium/Luxemburg",44
"100","Value of External Trade of Fish (Imports) (Euro Thousand)","1999","Belgium/Luxemburg",242
"101","Weight of External Trade of Fish (Imports) (Tonnes)","2000","Belgium/Luxemburg",44
"102","Value of External Trade of Fish (Imports) (Euro Thousand)","2000","Belgium/Luxemburg",237
"103","Weight of External Trade of Fish (Imports) (Tonnes)","2001","Belgium/Luxemburg",123
"104","Value of External Trade of Fish (Imports) (Euro Thousand)","2001","Belgium/Luxemburg",336
"105","Weight of External Trade of Fish (Imports) (Tonnes)","2002","Belgium/Luxemburg",133
"106","Value of External Trade of Fish (Imports) (Euro Thousand)","2002","Belgium/Luxemburg",344
"107","Weight of External Trade of Fish (Imports) (Tonnes)","2003","Belgium/Luxemburg",139
"108","Value of External Trade of Fish (Imports) (Euro Thousand)","2003","Belgium/Luxemburg",390
"109","Weight of External Trade of Fish (Imports) (Tonnes)","2004","Belgium/Luxemburg",867
"110","Value of External Trade of Fish (Imports) (Euro Thousand)","2004","Belgium/Luxemburg",388
"111","Weight of External Trade of Fish (Imports) (Tonnes)","1994","Cyprus",NA
"112","Value of External Trade of Fish (Imports) (Euro Thousand)","1994","Cyprus",NA
"113","Weight of External Trade of Fish (Imports) (Tonnes)","1995","Cyprus",NA
"114","Value of External Trade of Fish (Imports) (Euro Thousand)","1995","Cyprus",NA
"115","Weight of External Trade of Fish (Imports) (Tonnes)","1996","Cyprus",NA
"116","Value of External Trade of Fish (Imports) (Euro Thousand)","1996","Cyprus",NA
"117","Weight of External Trade of Fish (Imports) (Tonnes)","1997","Cyprus",NA
"118","Value of External Trade of Fish (Imports) (Euro Thousand)","1997","Cyprus",NA
"119","Weight of External Trade of Fish (Imports) (Tonnes)","1998","Cyprus",NA
