"","Statistic","Year","Country","value"
"1","Weight of External Trade (Exports) (Tonnes)","1994","All countries",247581
"2","Value of External Trade (Exports) (Euro Thousand)","1994","All countries",242628
"3","Weight of External Trade (Exports) (Tonnes)","1995","All countries",297088
"4","Value of External Trade (Exports) (Euro Thousand)","1995","All countries",277363
"5","Weight of External Trade (Exports) (Tonnes)","1996","All countries",293036
"6","Value of External Trade (Exports) (Euro Thousand)","1996","All countries",319965
"7","Weight of External Trade (Exports) (Tonnes)","1997","All countries",250027
"8","Value of External Trade (Exports) (Euro Thousand)","1997","All countries",290402
"9","Weight of External Trade (Exports) (Tonnes)","1998","All countries",248148
"10","Value of External Trade (Exports) (Euro Thousand)","1998","All countries",304331
"11","Weight of External Trade (Exports) (Tonnes)","1999","All countries",208402
"12","Value of External Trade (Exports) (Euro Thousand)","1999","All countries",306040
"13","Weight of External Trade (Exports) (Tonnes)","2000","All countries",216898
"14","Value of External Trade (Exports) (Euro Thousand)","2000","All countries",333153
"15","Weight of External Trade (Exports) (Tonnes)","2001","All countries",314371
"16","Value of External Trade (Exports) (Euro Thousand)","2001","All countries",447026
"17","Weight of External Trade (Exports) (Tonnes)","2002","All countries",308119
"18","Value of External Trade (Exports) (Euro Thousand)","2002","All countries",427819
"19","Weight of External Trade (Exports) (Tonnes)","2003","All countries",260542
"20","Value of External Trade (Exports) (Euro Thousand)","2003","All countries",383953
"21","Weight of External Trade (Exports) (Tonnes)","2004","All countries",264581
"22","Value of External Trade (Exports) (Euro Thousand)","2004","All countries",391238
"23","Weight of External Trade (Exports) (Tonnes)","1994","EU25",NA
"24","Value of External Trade (Exports) (Euro Thousand)","1994","EU25",NA
"25","Weight of External Trade (Exports) (Tonnes)","1995","EU25",NA
"26","Value of External Trade (Exports) (Euro Thousand)","1995","EU25",NA
"27","Weight of External Trade (Exports) (Tonnes)","1996","EU25",NA
"28","Value of External Trade (Exports) (Euro Thousand)","1996","EU25",NA
"29","Weight of External Trade (Exports) (Tonnes)","1997","EU25",NA
"30","Value of External Trade (Exports) (Euro Thousand)","1997","EU25",NA
"31","Weight of External Trade (Exports) (Tonnes)","1998","EU25",NA
"32","Value of External Trade (Exports) (Euro Thousand)","1998","EU25",NA
"33","Weight of External Trade (Exports) (Tonnes)","1999","EU25",NA
"34","Value of External Trade (Exports) (Euro Thousand)","1999","EU25",NA
"35","Weight of External Trade (Exports) (Tonnes)","2000","EU25",NA
"36","Value of External Trade (Exports) (Euro Thousand)","2000","EU25",NA
"37","Weight of External Trade (Exports) (Tonnes)","2001","EU25",NA
"38","Value of External Trade (Exports) (Euro Thousand)","2001","EU25",NA
"39","Weight of External Trade (Exports) (Tonnes)","2002","EU25",NA
"40","Value of External Trade (Exports) (Euro Thousand)","2002","EU25",NA
"41","Weight of External Trade (Exports) (Tonnes)","2003","EU25",NA
"42","Value of External Trade (Exports) (Euro Thousand)","2003","EU25",NA
"43","Weight of External Trade (Exports) (Tonnes)","2004","EU25",179715
"44","Value of External Trade (Exports) (Euro Thousand)","2004","EU25",321504
"45","Weight of External Trade (Exports) (Tonnes)","1994","EU15",157864
"46","Value of External Trade (Exports) (Euro Thousand)","1994","EU15",188451
"47","Weight of External Trade (Exports) (Tonnes)","1995","EU15",159621
"48","Value of External Trade (Exports) (Euro Thousand)","1995","EU15",200212
"49","Weight of External Trade (Exports) (Tonnes)","1996","EU15",178411
"50","Value of External Trade (Exports) (Euro Thousand)","1996","EU15",227646
"51","Weight of External Trade (Exports) (Tonnes)","1997","EU15",147162
"52","Value of External Trade (Exports) (Euro Thousand)","1997","EU15",216341
"53","Weight of External Trade (Exports) (Tonnes)","1998","EU15",159065
"54","Value of External Trade (Exports) (Euro Thousand)","1998","EU15",241626
"55","Weight of External Trade (Exports) (Tonnes)","1999","EU15",124792
"56","Value of External Trade (Exports) (Euro Thousand)","1999","EU15",246801
"57","Weight of External Trade (Exports) (Tonnes)","2000","EU15",128753
"58","Value of External Trade (Exports) (Euro Thousand)","2000","EU15",260884
"59","Weight of External Trade (Exports) (Tonnes)","2001","EU15",209584
"60","Value of External Trade (Exports) (Euro Thousand)","2001","EU15",351483
"61","Weight of External Trade (Exports) (Tonnes)","2002","EU15",189633
"62","Value of External Trade (Exports) (Euro Thousand)","2002","EU15",320699
"63","Weight of External Trade (Exports) (Tonnes)","2003","EU15",174029
"64","Value of External Trade (Exports) (Euro Thousand)","2003","EU15",299885
"65","Weight of External Trade (Exports) (Tonnes)","2004","EU15",162484
"66","Value of External Trade (Exports) (Euro Thousand)","2004","EU15",304438
"67","Weight of External Trade (Exports) (Tonnes)","1994","Austria",714
"68","Value of External Trade (Exports) (Euro Thousand)","1994","Austria",736
"69","Weight of External Trade (Exports) (Tonnes)","1995","Austria",326
"70","Value of External Trade (Exports) (Euro Thousand)","1995","Austria",281
"71","Weight of External Trade (Exports) (Tonnes)","1996","Austria",351
"72","Value of External Trade (Exports) (Euro Thousand)","1996","Austria",408
"73","Weight of External Trade (Exports) (Tonnes)","1997","Austria",335
"74","Value of External Trade (Exports) (Euro Thousand)","1997","Austria",483
"75","Weight of External Trade (Exports) (Tonnes)","1998","Austria",256
"76","Value of External Trade (Exports) (Euro Thousand)","1998","Austria",398
"77","Weight of External Trade (Exports) (Tonnes)","1999","Austria",192
"78","Value of External Trade (Exports) (Euro Thousand)","1999","Austria",192
"79","Weight of External Trade (Exports) (Tonnes)","2000","Austria",188
"80","Value of External Trade (Exports) (Euro Thousand)","2000","Austria",304
"81","Weight of External Trade (Exports) (Tonnes)","2001","Austria",510
"82","Value of External Trade (Exports) (Euro Thousand)","2001","Austria",705
"83","Weight of External Trade (Exports) (Tonnes)","2002","Austria",351
"84","Value of External Trade (Exports) (Euro Thousand)","2002","Austria",525
"85","Weight of External Trade (Exports) (Tonnes)","2003","Austria",213
"86","Value of External Trade (Exports) (Euro Thousand)","2003","Austria",385
"87","Weight of External Trade (Exports) (Tonnes)","2004","Austria",304
"88","Value of External Trade (Exports) (Euro Thousand)","2004","Austria",455
"89","Weight of External Trade (Exports) (Tonnes)","1994","Belgium/Luxemburg",802
"90","Value of External Trade (Exports) (Euro Thousand)","1994","Belgium/Luxemburg",2058
"91","Weight of External Trade (Exports) (Tonnes)","1995","Belgium/Luxemburg",967
"92","Value of External Trade (Exports) (Euro Thousand)","1995","Belgium/Luxemburg",2672
"93","Weight of External Trade (Exports) (Tonnes)","1996","Belgium/Luxemburg",1664
"94","Value of External Trade (Exports) (Euro Thousand)","1996","Belgium/Luxemburg",3635
"95","Weight of External Trade (Exports) (Tonnes)","1997","Belgium/Luxemburg",1055
"96","Value of External Trade (Exports) (Euro Thousand)","1997","Belgium/Luxemburg",2807
"97","Weight of External Trade (Exports) (Tonnes)","1998","Belgium/Luxemburg",1010
"98","Value of External Trade (Exports) (Euro Thousand)","1998","Belgium/Luxemburg",2133
"99","Weight of External Trade (Exports) (Tonnes)","1999","Belgium/Luxemburg",952
"100","Value of External Trade (Exports) (Euro Thousand)","1999","Belgium/Luxemburg",2356
"101","Weight of External Trade (Exports) (Tonnes)","2000","Belgium/Luxemburg",1565
"102","Value of External Trade (Exports) (Euro Thousand)","2000","Belgium/Luxemburg",3096
"103","Weight of External Trade (Exports) (Tonnes)","2001","Belgium/Luxemburg",856
