"","Statistic","Domestic.or.Import.Source","Month","value"
"686","Fat Content (%)","Domestic","1984M07",3.43
"687","Protein Content (%)","Domestic","1984M07",3.17
"688","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M07",NA
"689","Fat Content (%)","Import","1984M07",NA
"690","Protein Content (%)","Import","1984M07",NA
"691","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M08",579.6
"692","Fat Content (%)","Domestic","1984M08",3.41
"693","Protein Content (%)","Domestic","1984M08",3.26
"694","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M08",NA
"695","Fat Content (%)","Import","1984M08",NA
"696","Protein Content (%)","Import","1984M08",NA
"697","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M09",445.8
"698","Fat Content (%)","Domestic","1984M09",3.8
"699","Protein Content (%)","Domestic","1984M09",3.48
"700","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M09",NA
"701","Fat Content (%)","Import","1984M09",NA
"702","Protein Content (%)","Import","1984M09",NA
"703","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M10",337.2
"704","Fat Content (%)","Domestic","1984M10",4.03
"705","Protein Content (%)","Domestic","1984M10",3.73
"706","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M10",NA
"707","Fat Content (%)","Import","1984M10",NA
"708","Protein Content (%)","Import","1984M10",NA
"709","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M11",180.4
"710","Fat Content (%)","Domestic","1984M11",4.07
"711","Protein Content (%)","Domestic","1984M11",3.92
"712","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M11",NA
"713","Fat Content (%)","Import","1984M11",NA
"714","Protein Content (%)","Import","1984M11",NA
"715","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M12",132.8
"716","Fat Content (%)","Domestic","1984M12",3.81
"717","Protein Content (%)","Domestic","1984M12",3.7
"718","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M12",NA
"719","Fat Content (%)","Import","1984M12",NA
"720","Protein Content (%)","Import","1984M12",NA
"721","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M01",164.3
"722","Fat Content (%)","Domestic","1985M01",3.69
"723","Protein Content (%)","Domestic","1985M01",3.39
"724","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M01",NA
"725","Fat Content (%)","Import","1985M01",NA
"726","Protein Content (%)","Import","1985M01",NA
"727","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M02",270.6
"728","Fat Content (%)","Domestic","1985M02",3.59
"729","Protein Content (%)","Domestic","1985M02",3.15
"730","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M02",NA
"731","Fat Content (%)","Import","1985M02",NA
"732","Protein Content (%)","Import","1985M02",NA
"733","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M03",462.6
"734","Fat Content (%)","Domestic","1985M03",3.48
"735","Protein Content (%)","Domestic","1985M03",2.99
"736","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M03",NA
"737","Fat Content (%)","Import","1985M03",NA
"738","Protein Content (%)","Import","1985M03",NA
"739","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M04",646.8
"740","Fat Content (%)","Domestic","1985M04",3.42
"741","Protein Content (%)","Domestic","1985M04",3.02
"742","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M04",NA
"743","Fat Content (%)","Import","1985M04",NA
"744","Protein Content (%)","Import","1985M04",NA
"745","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M05",818.6
"746","Fat Content (%)","Domestic","1985M05",3.38
"747","Protein Content (%)","Domestic","1985M05",3.23
"748","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M05",NA
"749","Fat Content (%)","Import","1985M05",NA
"750","Protein Content (%)","Import","1985M05",NA
"751","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M06",767.8
"752","Fat Content (%)","Domestic","1985M06",3.42
"753","Protein Content (%)","Domestic","1985M06",3.22
"754","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M06",NA
"755","Fat Content (%)","Import","1985M06",NA
"756","Protein Content (%)","Import","1985M06",NA
"757","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M07",708.9
"758","Fat Content (%)","Domestic","1985M07",3.49
"759","Protein Content (%)","Domestic","1985M07",3.2
"760","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M07",NA
"761","Fat Content (%)","Import","1985M07",NA
"762","Protein Content (%)","Import","1985M07",NA
"763","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M08",598.3
"764","Fat Content (%)","Domestic","1985M08",3.62
"765","Protein Content (%)","Domestic","1985M08",3.32
"766","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M08",NA
"767","Fat Content (%)","Import","1985M08",NA
"768","Protein Content (%)","Import","1985M08",NA
"769","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M09",453
"770","Fat Content (%)","Domestic","1985M09",3.81
"771","Protein Content (%)","Domestic","1985M09",3.45
"772","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M09",NA
"773","Fat Content (%)","Import","1985M09",NA
"774","Protein Content (%)","Import","1985M09",NA
"775","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M10",333.7
"776","Fat Content (%)","Domestic","1985M10",4.01
"777","Protein Content (%)","Domestic","1985M10",3.68
"778","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M10",NA
"779","Fat Content (%)","Import","1985M10",NA
"780","Protein Content (%)","Import","1985M10",NA
"781","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M11",173.9
"782","Fat Content (%)","Domestic","1985M11",4.03
"783","Protein Content (%)","Domestic","1985M11",3.89
"784","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M11",NA
"785","Fat Content (%)","Import","1985M11",NA
"786","Protein Content (%)","Import","1985M11",NA
"787","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1985M12",119.8
"788","Fat Content (%)","Domestic","1985M12",3.74
"789","Protein Content (%)","Domestic","1985M12",3.54
"790","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1985M12",NA
"791","Fat Content (%)","Import","1985M12",NA
"792","Protein Content (%)","Import","1985M12",NA
"793","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M01",148.1
"794","Fat Content (%)","Domestic","1986M01",3.62
"795","Protein Content (%)","Domestic","1986M01",3.21
"796","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M01",NA
"797","Fat Content (%)","Import","1986M01",NA
"798","Protein Content (%)","Import","1986M01",NA
"799","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M02",239.3
"800","Fat Content (%)","Domestic","1986M02",3.56
"801","Protein Content (%)","Domestic","1986M02",3.11
"802","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M02",NA
"803","Fat Content (%)","Import","1986M02",NA
"804","Protein Content (%)","Import","1986M02",NA
"805","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M03",418.6
"806","Fat Content (%)","Domestic","1986M03",3.51
"807","Protein Content (%)","Domestic","1986M03",2.92
"808","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M03",NA
"809","Fat Content (%)","Import","1986M03",NA
"810","Protein Content (%)","Import","1986M03",NA
"811","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M04",573.1
"812","Fat Content (%)","Domestic","1986M04",3.39
"813","Protein Content (%)","Domestic","1986M04",2.92
"814","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M04",NA
"815","Fat Content (%)","Import","1986M04",NA
"816","Protein Content (%)","Import","1986M04",NA
"817","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M05",765.8
"818","Fat Content (%)","Domestic","1986M05",3.35
"819","Protein Content (%)","Domestic","1986M05",3.13
"820","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M05",NA
"821","Fat Content (%)","Import","1986M05",NA
"822","Protein Content (%)","Import","1986M05",NA
"823","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M06",751.4
"824","Fat Content (%)","Domestic","1986M06",3.39
"825","Protein Content (%)","Domestic","1986M06",3.23
"826","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M06",NA
"827","Fat Content (%)","Import","1986M06",NA
"828","Protein Content (%)","Import","1986M06",NA
"829","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M07",683.3
"830","Fat Content (%)","Domestic","1986M07",3.45
"831","Protein Content (%)","Domestic","1986M07",3.18
"832","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M07",NA
"833","Fat Content (%)","Import","1986M07",NA
"834","Protein Content (%)","Import","1986M07",NA
"835","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M08",577.3
"836","Fat Content (%)","Domestic","1986M08",3.58
"837","Protein Content (%)","Domestic","1986M08",3.28
"838","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M08",NA
"839","Fat Content (%)","Import","1986M08",NA
"840","Protein Content (%)","Import","1986M08",NA
"841","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M09",472.6
"842","Fat Content (%)","Domestic","1986M09",3.74
"843","Protein Content (%)","Domestic","1986M09",3.46
"844","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M09",NA
"845","Fat Content (%)","Import","1986M09",NA
"846","Protein Content (%)","Import","1986M09",NA
"847","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M10",365.9
"848","Fat Content (%)","Domestic","1986M10",3.94
"849","Protein Content (%)","Domestic","1986M10",3.64
"850","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M10",NA
"851","Fat Content (%)","Import","1986M10",NA
"852","Protein Content (%)","Import","1986M10",NA
"853","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M11",189.4
"854","Fat Content (%)","Domestic","1986M11",4.04
"855","Protein Content (%)","Domestic","1986M11",3.75
"856","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M11",NA
"857","Fat Content (%)","Import","1986M11",NA
"858","Protein Content (%)","Import","1986M11",NA
"859","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1986M12",135.3
"860","Fat Content (%)","Domestic","1986M12",3.78
"861","Protein Content (%)","Domestic","1986M12",3.37
"862","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1986M12",NA
"863","Fat Content (%)","Import","1986M12",NA
"864","Protein Content (%)","Import","1986M12",NA
"865","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M01",148.9
"866","Fat Content (%)","Domestic","1987M01",3.61
"867","Protein Content (%)","Domestic","1987M01",3.14
"868","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M01",NA
"869","Fat Content (%)","Import","1987M01",NA
"870","Protein Content (%)","Import","1987M01",NA
"871","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M02",239.3
"872","Fat Content (%)","Domestic","1987M02",3.5
"873","Protein Content (%)","Domestic","1987M02",3.05
"874","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M02",NA
"875","Fat Content (%)","Import","1987M02",NA
"876","Protein Content (%)","Import","1987M02",NA
"877","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M03",449.6
"878","Fat Content (%)","Domestic","1987M03",3.42
"879","Protein Content (%)","Domestic","1987M03",2.94
"880","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M03",NA
"881","Fat Content (%)","Import","1987M03",NA
"882","Protein Content (%)","Import","1987M03",NA
"883","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M04",553.8
"884","Fat Content (%)","Domestic","1987M04",3.38
"885","Protein Content (%)","Domestic","1987M04",3
"886","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M04",NA
"887","Fat Content (%)","Import","1987M04",NA
"888","Protein Content (%)","Import","1987M04",NA
"889","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M05",759.8
"890","Fat Content (%)","Domestic","1987M05",3.33
"891","Protein Content (%)","Domestic","1987M05",3.16
"892","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M05",NA
"893","Fat Content (%)","Import","1987M05",NA
"894","Protein Content (%)","Import","1987M05",NA
"895","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M06",714.4
"896","Fat Content (%)","Domestic","1987M06",3.4
"897","Protein Content (%)","Domestic","1987M06",3.18
"898","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M06",NA
"899","Fat Content (%)","Import","1987M06",NA
"900","Protein Content (%)","Import","1987M06",NA
"901","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M07",675.4
"902","Fat Content (%)","Domestic","1987M07",3.43
"903","Protein Content (%)","Domestic","1987M07",3.17
"904","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M07",NA
"905","Fat Content (%)","Import","1987M07",NA
"906","Protein Content (%)","Import","1987M07",NA
"907","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M08",589.1
"908","Fat Content (%)","Domestic","1987M08",3.54
"909","Protein Content (%)","Domestic","1987M08",3.21
"910","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M08",NA
"911","Fat Content (%)","Import","1987M08",NA
"912","Protein Content (%)","Import","1987M08",NA
"913","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M09",470.1
"914","Fat Content (%)","Domestic","1987M09",3.75
"915","Protein Content (%)","Domestic","1987M09",3.37
"916","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M09",NA
"917","Fat Content (%)","Import","1987M09",NA
"918","Protein Content (%)","Import","1987M09",NA
"919","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M10",337.4
"920","Fat Content (%)","Domestic","1987M10",3.98
"921","Protein Content (%)","Domestic","1987M10",3.62
"922","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M10",NA
"923","Fat Content (%)","Import","1987M10",NA
"924","Protein Content (%)","Import","1987M10",NA
"925","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M11",173.4
"926","Fat Content (%)","Domestic","1987M11",3.99
"927","Protein Content (%)","Domestic","1987M11",3.59
"928","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M11",NA
"929","Fat Content (%)","Import","1987M11",NA
"930","Protein Content (%)","Import","1987M11",NA
"931","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1987M12",123.8
"932","Fat Content (%)","Domestic","1987M12",3.78
"933","Protein Content (%)","Domestic","1987M12",3.36
"934","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1987M12",NA
"935","Fat Content (%)","Import","1987M12",NA
"936","Protein Content (%)","Import","1987M12",NA
"937","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M01",137.8
"938","Fat Content (%)","Domestic","1988M01",3.64
"939","Protein Content (%)","Domestic","1988M01",3.12
"940","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M01",NA
"941","Fat Content (%)","Import","1988M01",NA
"942","Protein Content (%)","Import","1988M01",NA
"943","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M02",218.6
"944","Fat Content (%)","Domestic","1988M02",3.54
"945","Protein Content (%)","Domestic","1988M02",3.03
"946","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M02",NA
"947","Fat Content (%)","Import","1988M02",NA
"948","Protein Content (%)","Import","1988M02",NA
"949","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M03",363.9
"950","Fat Content (%)","Domestic","1988M03",3.44
"951","Protein Content (%)","Domestic","1988M03",2.91
"952","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M03",NA
"953","Fat Content (%)","Import","1988M03",NA
"954","Protein Content (%)","Import","1988M03",NA
"955","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M04",605.4
"956","Fat Content (%)","Domestic","1988M04",3.38
"957","Protein Content (%)","Domestic","1988M04",3.03
"958","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M04",NA
"959","Fat Content (%)","Import","1988M04",NA
"960","Protein Content (%)","Import","1988M04",NA
"961","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M05",748.3
"962","Fat Content (%)","Domestic","1988M05",3.37
"963","Protein Content (%)","Domestic","1988M05",3.14
"964","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M05",NA
"965","Fat Content (%)","Import","1988M05",NA
"966","Protein Content (%)","Import","1988M05",NA
"967","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M06",702.7
"968","Fat Content (%)","Domestic","1988M06",3.4
"969","Protein Content (%)","Domestic","1988M06",3.14
"970","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M06",NA
"971","Fat Content (%)","Import","1988M06",NA
"972","Protein Content (%)","Import","1988M06",NA
"973","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M07",654.8
"974","Fat Content (%)","Domestic","1988M07",3.47
"975","Protein Content (%)","Domestic","1988M07",3.15
"976","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M07",NA
"977","Fat Content (%)","Import","1988M07",NA
"978","Protein Content (%)","Import","1988M07",NA
"979","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M08",582.5
"980","Fat Content (%)","Domestic","1988M08",3.57
"981","Protein Content (%)","Domestic","1988M08",3.23
"982","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M08",NA
"983","Fat Content (%)","Import","1988M08",NA
"984","Protein Content (%)","Import","1988M08",NA
"985","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M09",453.9
"986","Fat Content (%)","Domestic","1988M09",3.76
"987","Protein Content (%)","Domestic","1988M09",3.4
"988","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M09",NA
"989","Fat Content (%)","Import","1988M09",NA
"990","Protein Content (%)","Import","1988M09",NA
"991","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M10",292.2
"992","Fat Content (%)","Domestic","1988M10",4.01
"993","Protein Content (%)","Domestic","1988M10",3.6
"994","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M10",NA
"995","Fat Content (%)","Import","1988M10",NA
"996","Protein Content (%)","Import","1988M10",NA
"997","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M11",148
"998","Fat Content (%)","Domestic","1988M11",4.01
"999","Protein Content (%)","Domestic","1988M11",3.5
"1000","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M11",NA
"1001","Fat Content (%)","Import","1988M11",NA
"1002","Protein Content (%)","Import","1988M11",NA
"1003","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1988M12",115.3
"1004","Fat Content (%)","Domestic","1988M12",3.77
"1005","Protein Content (%)","Domestic","1988M12",3.21
"1006","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1988M12",NA
"1007","Fat Content (%)","Import","1988M12",NA
"1008","Protein Content (%)","Import","1988M12",NA
"1009","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M01",137.8
"1010","Fat Content (%)","Domestic","1989M01",3.61
"1011","Protein Content (%)","Domestic","1989M01",3.06
"1012","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M01",NA
"1013","Fat Content (%)","Import","1989M01",NA
"1014","Protein Content (%)","Import","1989M01",NA
"1015","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M02",218.6
"1016","Fat Content (%)","Domestic","1989M02",3.51
"1017","Protein Content (%)","Domestic","1989M02",2.96
"1018","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M02",NA
"1019","Fat Content (%)","Import","1989M02",NA
"1020","Protein Content (%)","Import","1989M02",NA
"1021","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M03",364.1
"1022","Fat Content (%)","Domestic","1989M03",3.44
"1023","Protein Content (%)","Domestic","1989M03",2.86
"1024","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M03",NA
"1025","Fat Content (%)","Import","1989M03",NA
"1026","Protein Content (%)","Import","1989M03",NA
"1027","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M04",538.4
"1028","Fat Content (%)","Domestic","1989M04",3.4
"1029","Protein Content (%)","Domestic","1989M04",2.93
"1030","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M04",NA
"1031","Fat Content (%)","Import","1989M04",NA
"1032","Protein Content (%)","Import","1989M04",NA
"1033","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M05",725.4
"1034","Fat Content (%)","Domestic","1989M05",3.36
"1035","Protein Content (%)","Domestic","1989M05",3.16
"1036","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M05",NA
"1037","Fat Content (%)","Import","1989M05",NA
"1038","Protein Content (%)","Import","1989M05",NA
"1039","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M06",713.9
"1040","Fat Content (%)","Domestic","1989M06",3.39
"1041","Protein Content (%)","Domestic","1989M06",3.15
"1042","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M06",NA
"1043","Fat Content (%)","Import","1989M06",NA
"1044","Protein Content (%)","Import","1989M06",NA
"1045","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M07",637.8
"1046","Fat Content (%)","Domestic","1989M07",3.44
"1047","Protein Content (%)","Domestic","1989M07",3.12
"1048","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M07",NA
"1049","Fat Content (%)","Import","1989M07",NA
"1050","Protein Content (%)","Import","1989M07",NA
"1051","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M08",570.3
"1052","Fat Content (%)","Domestic","1989M08",3.56
"1053","Protein Content (%)","Domestic","1989M08",3.19
"1054","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M08",NA
"1055","Fat Content (%)","Import","1989M08",NA
"1056","Protein Content (%)","Import","1989M08",NA
"1057","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M09",503.6
"1058","Fat Content (%)","Domestic","1989M09",3.74
"1059","Protein Content (%)","Domestic","1989M09",3.42
"1060","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M09",NA
"1061","Fat Content (%)","Import","1989M09",NA
"1062","Protein Content (%)","Import","1989M09",NA
"1063","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M10",364.7
"1064","Fat Content (%)","Domestic","1989M10",3.97
"1065","Protein Content (%)","Domestic","1989M10",3.57
"1066","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M10",NA
"1067","Fat Content (%)","Import","1989M10",NA
"1068","Protein Content (%)","Import","1989M10",NA
"1069","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M11",190.2
"1070","Fat Content (%)","Domestic","1989M11",4.04
"1071","Protein Content (%)","Domestic","1989M11",3.59
"1072","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M11",NA
"1073","Fat Content (%)","Import","1989M11",NA
"1074","Protein Content (%)","Import","1989M11",NA
"1075","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1989M12",132.1
"1076","Fat Content (%)","Domestic","1989M12",3.81
"1077","Protein Content (%)","Domestic","1989M12",3.32
"1078","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1989M12",NA
"1079","Fat Content (%)","Import","1989M12",NA
"1080","Protein Content (%)","Import","1989M12",NA
"1081","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M01",145.4
"1082","Fat Content (%)","Domestic","1990M01",3.61
"1083","Protein Content (%)","Domestic","1990M01",3.08
"1084","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M01",NA
"1085","Fat Content (%)","Import","1990M01",NA
"1086","Protein Content (%)","Import","1990M01",NA
"1087","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M02",217.1
"1088","Fat Content (%)","Domestic","1990M02",3.53
"1089","Protein Content (%)","Domestic","1990M02",3
"1090","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M02",NA
"1091","Fat Content (%)","Import","1990M02",NA
"1092","Protein Content (%)","Import","1990M02",NA
"1093","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M03",394.2
"1094","Fat Content (%)","Domestic","1990M03",3.46
"1095","Protein Content (%)","Domestic","1990M03",3
"1096","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M03",NA
"1097","Fat Content (%)","Import","1990M03",NA
"1098","Protein Content (%)","Import","1990M03",NA
"1099","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M04",593.2
"1100","Fat Content (%)","Domestic","1990M04",3.4
"1101","Protein Content (%)","Domestic","1990M04",3.08
"1102","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M04",NA
"1103","Fat Content (%)","Import","1990M04",NA
"1104","Protein Content (%)","Import","1990M04",NA
"1105","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M05",741.3
"1106","Fat Content (%)","Domestic","1990M05",3.37
"1107","Protein Content (%)","Domestic","1990M05",3.16
"1108","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M05",NA
"1109","Fat Content (%)","Import","1990M05",NA
"1110","Protein Content (%)","Import","1990M05",NA
"1111","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M06",706.2
"1112","Fat Content (%)","Domestic","1990M06",3.41
"1113","Protein Content (%)","Domestic","1990M06",3.17
"1114","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M06",NA
"1115","Fat Content (%)","Import","1990M06",NA
"1116","Protein Content (%)","Import","1990M06",NA
"1117","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1990M07",650
"1118","Fat Content (%)","Domestic","1990M07",3.47
"1119","Protein Content (%)","Domestic","1990M07",3.16
"1120","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1990M07",NA
