"","Statistic","Domestic.or.Import.Source","Month","value"
"88","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M03",NA
"89","Fat Content (%)","Import","1976M03",NA
"90","Protein Content (%)","Import","1976M03",NA
"91","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1976M04",388.4
"92","Fat Content (%)","Domestic","1976M04",NA
"93","Protein Content (%)","Domestic","1976M04",NA
"94","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M04",NA
"95","Fat Content (%)","Import","1976M04",NA
"96","Protein Content (%)","Import","1976M04",NA
"97","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1976M05",550.5
"98","Fat Content (%)","Domestic","1976M05",NA
"99","Protein Content (%)","Domestic","1976M05",NA
"100","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M05",NA
"101","Fat Content (%)","Import","1976M05",NA
"102","Protein Content (%)","Import","1976M05",NA
"103","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1976M06",541.5
"104","Fat Content (%)","Domestic","1976M06",NA
"105","Protein Content (%)","Domestic","1976M06",NA
"106","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M06",NA
"107","Fat Content (%)","Import","1976M06",NA
"108","Protein Content (%)","Import","1976M06",NA
"109","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1976M07",496.9
"110","Fat Content (%)","Domestic","1976M07",NA
"111","Protein Content (%)","Domestic","1976M07",NA
"112","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M07",NA
"113","Fat Content (%)","Import","1976M07",NA
"114","Protein Content (%)","Import","1976M07",NA
"115","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1976M08",433.8
"116","Fat Content (%)","Domestic","1976M08",NA
"117","Protein Content (%)","Domestic","1976M08",NA
"118","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M08",NA
"119","Fat Content (%)","Import","1976M08",NA
"120","Protein Content (%)","Import","1976M08",NA
"121","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1976M09",307.3
"122","Fat Content (%)","Domestic","1976M09",NA
"123","Protein Content (%)","Domestic","1976M09",NA
"124","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M09",NA
"125","Fat Content (%)","Import","1976M09",NA
"126","Protein Content (%)","Import","1976M09",NA
"127","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1976M10",213.9
"128","Fat Content (%)","Domestic","1976M10",NA
"129","Protein Content (%)","Domestic","1976M10",NA
"130","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M10",NA
"131","Fat Content (%)","Import","1976M10",NA
"132","Protein Content (%)","Import","1976M10",NA
"133","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1976M11",114.1
"134","Fat Content (%)","Domestic","1976M11",NA
"135","Protein Content (%)","Domestic","1976M11",NA
"136","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M11",NA
"137","Fat Content (%)","Import","1976M11",NA
"138","Protein Content (%)","Import","1976M11",NA
"139","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1976M12",67.1
"140","Fat Content (%)","Domestic","1976M12",NA
"141","Protein Content (%)","Domestic","1976M12",NA
"142","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1976M12",NA
