"","Product","Month","value"
"147","Skimmed Milk Powder","1983M01",4.3
"148","Butter and butteroil","1983M01",NA
"149","Cheese","1983M02",0.8
"150","Butter","1983M02",6.7
"151","Skimmed Milk Powder","1983M02",7
"152","Butter and butteroil","1983M02",NA
"153","Cheese","1983M03",2.9
"154","Butter","1983M03",13.2
"155","Skimmed Milk Powder","1983M03",14.6
"156","Butter and butteroil","1983M03",NA
"157","Cheese","1983M04",6.6
"158","Butter","1983M04",17.6
"159","Skimmed Milk Powder","1983M04",21.7
"160","Butter and butteroil","1983M04",NA
"161","Cheese","1983M05",9.6
"162","Butter","1983M05",22.1
"163","Skimmed Milk Powder","1983M05",30.9
"164","Butter and butteroil","1983M05",NA
"165","Cheese","1983M06",10.1
"166","Butter","1983M06",22.9
"167","Skimmed Milk Powder","1983M06",31
"168","Butter and butteroil","1983M06",NA
"169","Cheese","1983M07",8
"170","Butter","1983M07",19.2
"171","Skimmed Milk Powder","1983M07",24
"172","Butter and butteroil","1983M07",NA
"173","Cheese","1983M08",6.5
"174","Butter","1983M08",17.8
"175","Skimmed Milk Powder","1983M08",16.8
"176","Butter and butteroil","1983M08",NA
"177","Cheese","1983M09",6.3
"178","Butter","1983M09",14.9
"179","Skimmed Milk Powder","1983M09",9.7
"180","Butter and butteroil","1983M09",NA
"181","Cheese","1983M10",2.2
"182","Butter","1983M10",11.5
"183","Skimmed Milk Powder","1983M10",7.1
"184","Butter and butteroil","1983M10",NA
"185","Cheese","1983M11",0.4
"186","Butter","1983M11",6
"187","Skimmed Milk Powder","1983M11",3.9
"188","Butter and butteroil","1983M11",NA
"189","Cheese","1983M12",0
"190","Butter","1983M12",3.1
"191","Skimmed Milk Powder","1983M12",3
"192","Butter and butteroil","1983M12",NA
"193","Cheese","1984M01",0.2
"194","Butter","1984M01",3.9
"195","Skimmed Milk Powder","1984M01",3.9
"196","Butter and butteroil","1984M01",NA
"197","Cheese","1984M02",1
"198","Butter","1984M02",7.9
"199","Skimmed Milk Powder","1984M02",8.2
"200","Butter and butteroil","1984M02",NA
"201","Cheese","1984M03",3.1
"202","Butter","1984M03",13.4
"203","Skimmed Milk Powder","1984M03",15.8
"204","Butter and butteroil","1984M03",NA
"205","Cheese","1984M04",6.4
"206","Butter","1984M04",18.5
"207","Skimmed Milk Powder","1984M04",24.3
"208","Butter and butteroil","1984M04",NA
"209","Cheese","1984M05",9.8
"210","Butter","1984M05",25.1
"211","Skimmed Milk Powder","1984M05",34.6
"212","Butter and butteroil","1984M05",NA
"213","Cheese","1984M06",8.6
"214","Butter","1984M06",23.6
"215","Skimmed Milk Powder","1984M06",32.1
"216","Butter and butteroil","1984M06",NA
"217","Cheese","1984M07",7.5
"218","Butter","1984M07",21.1
"219","Skimmed Milk Powder","1984M07",26.9
"220","Butter and butteroil","1984M07",NA
"221","Cheese","1984M08",6.9
"222","Butter","1984M08",19
"223","Skimmed Milk Powder","1984M08",18.2
"224","Butter and butteroil","1984M08",NA
"225","Cheese","1984M09",5.8
"226","Butter","1984M09",13.1
"227","Skimmed Milk Powder","1984M09",9.7
"228","Butter and butteroil","1984M09",NA
"229","Cheese","1984M10",4.4
"230","Butter","1984M10",10.9
"231","Skimmed Milk Powder","1984M10",4.8
"232","Butter and butteroil","1984M10",NA
"233","Cheese","1984M11",0.7
"234","Butter","1984M11",5.7
"235","Skimmed Milk Powder","1984M11",2.8
"236","Butter and butteroil","1984M11",NA
"237","Cheese","1984M12",0
"238","Butter","1984M12",2.7
"239","Skimmed Milk Powder","1984M12",2.9
"240","Butter and butteroil","1984M12",NA
"241","Cheese","1985M01",0.6
"242","Butter","1985M01",4.6
"243","Skimmed Milk Powder","1985M01",5.6
"244","Butter and butteroil","1985M01",NA
"245","Cheese","1985M02",1.6
"246","Butter","1985M02",8
"247","Skimmed Milk Powder","1985M02",8.6
"248","Butter and butteroil","1985M02",NA
"249","Cheese","1985M03",6.3
"250","Butter","1985M03",12.6
"251","Skimmed Milk Powder","1985M03",12.3
"252","Butter and butteroil","1985M03",NA
"253","Cheese","1985M04",10.8
"254","Butter","1985M04",19.2
"255","Skimmed Milk Powder","1985M04",19.2
"256","Butter and butteroil","1985M04",NA
"257","Cheese","1985M05",12.9
"258","Butter","1985M05",25.6
"259","Skimmed Milk Powder","1985M05",31.8
"260","Butter and butteroil","1985M05",NA
"261","Cheese","1985M06",11.6
"262","Butter","1985M06",22
"263","Skimmed Milk Powder","1985M06",25.8
"264","Butter and butteroil","1985M06",NA
"265","Cheese","1985M07",11.9
"266","Butter","1985M07",21.9
"267","Skimmed Milk Powder","1985M07",23.1
"268","Butter and butteroil","1985M07",NA
"269","Cheese","1985M08",9.8
"270","Butter","1985M08",17.1
"271","Skimmed Milk Powder","1985M08",15.7
"272","Butter and butteroil","1985M08",NA
"273","Cheese","1985M09",8.4
"274","Butter","1985M09",12.1
"275","Skimmed Milk Powder","1985M09",9.7
"276","Butter and butteroil","1985M09",NA
"277","Cheese","1985M10",3.6
"278","Butter","1985M10",10.1
"279","Skimmed Milk Powder","1985M10",5.1
"280","Butter and butteroil","1985M10",NA
"281","Cheese","1985M11",0.6
"282","Butter","1985M11",4.8
"283","Skimmed Milk Powder","1985M11",2.4
"284","Butter and butteroil","1985M11",NA
"285","Cheese","1985M12",0.3
"286","Butter","1985M12",2.4
"287","Skimmed Milk Powder","1985M12",1.7
"288","Butter and butteroil","1985M12",NA
"289","Cheese","1986M01",0.2
"290","Butter","1986M01",3.3
"291","Skimmed Milk Powder","1986M01",3.3
"292","Butter and butteroil","1986M01",NA
"293","Cheese","1986M02",0.8
"294","Butter","1986M02",6.7
"295","Skimmed Milk Powder","1986M02",7.8
"296","Butter and butteroil","1986M02",NA
"297","Cheese","1986M03",4.5
"298","Butter","1986M03",11.6
"299","Skimmed Milk Powder","1986M03",10.3
"300","Butter and butteroil","1986M03",NA
"301","Cheese","1986M04",9.2
"302","Butter","1986M04",16
"303","Skimmed Milk Powder","1986M04",15.9
"304","Butter and butteroil","1986M04",NA
"305","Cheese","1986M05",11.2
"306","Butter","1986M05",22.3
"307","Skimmed Milk Powder","1986M05",27.8
"308","Butter and butteroil","1986M05",NA
"309","Cheese","1986M06",10.2
"310","Butter","1986M06",22.6
"311","Skimmed Milk Powder","1986M06",28.1
"312","Butter and butteroil","1986M06",NA
"313","Cheese","1986M07",8.2
"314","Butter","1986M07",21
"315","Skimmed Milk Powder","1986M07",23.5
"316","Butter and butteroil","1986M07",NA
"317","Cheese","1986M08",7.5
"318","Butter","1986M08",16.4
"319","Skimmed Milk Powder","1986M08",15.4
"320","Butter and butteroil","1986M08",NA
"321","Cheese","1986M09",7.6
"322","Butter","1986M09",13.4
"323","Skimmed Milk Powder","1986M09",10.8
"324","Butter and butteroil","1986M09",NA
"325","Cheese","1986M10",3.5
"326","Butter","1986M10",11.4
"327","Skimmed Milk Powder","1986M10",6.4
"328","Butter and butteroil","1986M10",NA
"329","Cheese","1986M11",0.4
"330","Butter","1986M11",5.8
"331","Skimmed Milk Powder","1986M11",3.3
"332","Butter and butteroil","1986M11",NA
"333","Cheese","1986M12",0
"334","Butter","1986M12",2.9
"335","Skimmed Milk Powder","1986M12",3
"336","Butter and butteroil","1986M12",NA
"337","Cheese","1987M01",0.1
"338","Butter","1987M01",3.2
"339","Skimmed Milk Powder","1987M01",3.2
"340","Butter and butteroil","1987M01",NA
"341","Cheese","1987M02",0.8
"342","Butter","1987M02",5.4
"343","Skimmed Milk Powder","1987M02",5.7
"344","Butter and butteroil","1987M02",NA
"345","Cheese","1987M03",3.6
"346","Butter","1987M03",10.2
"347","Skimmed Milk Powder","1987M03",9.1
"348","Butter and butteroil","1987M03",NA
"349","Cheese","1987M04",8.2
"350","Butter","1987M04",14.7
"351","Skimmed Milk Powder","1987M04",16
"352","Butter and butteroil","1987M04",NA
"353","Cheese","1987M05",10.6
"354","Butter","1987M05",18
"355","Skimmed Milk Powder","1987M05",26.6
"356","Butter and butteroil","1987M05",NA
"357","Cheese","1987M06",11.2
"358","Butter","1987M06",18.4
"359","Skimmed Milk Powder","1987M06",24.4
"360","Butter and butteroil","1987M06",NA
"361","Cheese","1987M07",9.9
"362","Butter","1987M07",18.8
"363","Skimmed Milk Powder","1987M07",19.2
"364","Butter and butteroil","1987M07",NA
"365","Cheese","1987M08",8.4
"366","Butter","1987M08",15.1
"367","Skimmed Milk Powder","1987M08",11.8
"368","Butter and butteroil","1987M08",NA
"369","Cheese","1987M09",7.4
"370","Butter","1987M09",13.4
"371","Skimmed Milk Powder","1987M09",6
"372","Butter and butteroil","1987M09",NA
"373","Cheese","1987M10",4.1
"374","Butter","1987M10",10.4
"375","Skimmed Milk Powder","1987M10",3.9
"376","Butter and butteroil","1987M10",NA
"377","Cheese","1987M11",0.8
"378","Butter","1987M11",4.5
"379","Skimmed Milk Powder","1987M11",1.3
"380","Butter and butteroil","1987M11",NA
"381","Cheese","1987M12",0
"382","Butter","1987M12",2.4
"383","Skimmed Milk Powder","1987M12",1.3
"384","Butter and butteroil","1987M12",NA
"385","Cheese","1988M01",0
"386","Butter","1988M01",2.4
"387","Skimmed Milk Powder","1988M01",1.8
"388","Butter and butteroil","1988M01",NA
"389","Cheese","1988M02",1.1
"390","Butter","1988M02",4.7
"391","Skimmed Milk Powder","1988M02",4.3
"392","Butter and butteroil","1988M02",NA
"393","Cheese","1988M03",4.5
"394","Butter","1988M03",9.7
"395","Skimmed Milk Powder","1988M03",6.8
"396","Butter and butteroil","1988M03",NA
"397","Cheese","1988M04",9.7
"398","Butter","1988M04",13
"399","Skimmed Milk Powder","1988M04",12.4
"400","Butter and butteroil","1988M04",NA
"401","Cheese","1988M05",12.3
"402","Butter","1988M05",17.7
"403","Skimmed Milk Powder","1988M05",21.9
"404","Butter and butteroil","1988M05",NA
"405","Cheese","1988M06",11.7
"406","Butter","1988M06",17.5
"407","Skimmed Milk Powder","1988M06",18.4
"408","Butter and butteroil","1988M06",NA
"409","Cheese","1988M07",11.1
"410","Butter","1988M07",15.5
"411","Skimmed Milk Powder","1988M07",12.9
"412","Butter and butteroil","1988M07",NA
"413","Cheese","1988M08",10.8
"414","Butter","1988M08",15.9
"415","Skimmed Milk Powder","1988M08",9.9
"416","Butter and butteroil","1988M08",NA
"417","Cheese","1988M09",8.7
"418","Butter","1988M09",12.6
"419","Skimmed Milk Powder","1988M09",6.1
