"","Type.of.Milk","Month","value"
"132","Whole Milk","1982M03",43.4
"133","Skimmed and Semi-skimmed milk","1982M03",NA
"134","Skimmed Milk","1982M03",NA
"135","Semi-skimmed milk","1982M03",NA
"136","All Milk","1982M04",42.5
"137","Whole Milk","1982M04",42.5
"138","Skimmed and Semi-skimmed milk","1982M04",NA
"139","Skimmed Milk","1982M04",NA
"140","Semi-skimmed milk","1982M04",NA
"141","All Milk","1982M05",43.1
"142","Whole Milk","1982M05",43.1
"143","Skimmed and Semi-skimmed milk","1982M05",NA
"144","Skimmed Milk","1982M05",NA
"145","Semi-skimmed milk","1982M05",NA
"146","All Milk","1982M06",41.4
"147","Whole Milk","1982M06",41.4
"148","Skimmed and Semi-skimmed milk","1982M06",NA
"149","Skimmed Milk","1982M06",NA
"150","Semi-skimmed milk","1982M06",NA
"151","All Milk","1982M07",42.7
"152","Whole Milk","1982M07",42.7
"153","Skimmed and Semi-skimmed milk","1982M07",NA
"154","Skimmed Milk","1982M07",NA
"155","Semi-skimmed milk","1982M07",NA
"156","All Milk","1982M08",41.7
"157","Whole Milk","1982M08",41.7
"158","Skimmed and Semi-skimmed milk","1982M08",NA
"159","Skimmed Milk","1982M08",NA
"160","Semi-skimmed milk","1982M08",NA
"161","All Milk","1982M09",42.2
"162","Whole Milk","1982M09",42.2
"163","Skimmed and Semi-skimmed milk","1982M09",NA
"164","Skimmed Milk","1982M09",NA
"165","Semi-skimmed milk","1982M09",NA
"166","All Milk","1982M10",42.9
"167","Whole Milk","1982M10",42.9
"168","Skimmed and Semi-skimmed milk","1982M10",NA
"169","Skimmed Milk","1982M10",NA
"170","Semi-skimmed milk","1982M10",NA
"171","All Milk","1982M11",42
"172","Whole Milk","1982M11",42
"173","Skimmed and Semi-skimmed milk","1982M11",NA
"174","Skimmed Milk","1982M11",NA
"175","Semi-skimmed milk","1982M11",NA
"176","All Milk","1982M12",41.1
"177","Whole Milk","1982M12",41.1
"178","Skimmed and Semi-skimmed milk","1982M12",NA
"179","Skimmed Milk","1982M12",NA
"180","Semi-skimmed milk","1982M12",NA
"181","All Milk","1983M01",42
"182","Whole Milk","1983M01",42
"183","Skimmed and Semi-skimmed milk","1983M01",NA
"184","Skimmed Milk","1983M01",NA
"185","Semi-skimmed milk","1983M01",NA
"186","All Milk","1983M02",39.3
"187","Whole Milk","1983M02",39.3
"188","Skimmed and Semi-skimmed milk","1983M02",NA
"189","Skimmed Milk","1983M02",NA
"190","Semi-skimmed milk","1983M02",NA
"191","All Milk","1983M03",43.5
"192","Whole Milk","1983M03",43.5
"193","Skimmed and Semi-skimmed milk","1983M03",NA
"194","Skimmed Milk","1983M03",NA
"195","Semi-skimmed milk","1983M03",NA
"196","All Milk","1983M04",42.3
"197","Whole Milk","1983M04",42.3
"198","Skimmed and Semi-skimmed milk","1983M04",NA
"199","Skimmed Milk","1983M04",NA
"200","Semi-skimmed milk","1983M04",NA
"201","All Milk","1983M05",43.4
