Intake of Cows Milk by Creameries and Pasteurisers (Million Litres) by,,,,,,,,,,,,,,,,,,,,,
Domestic or Import Source and Year,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Domestic,5105.9,5052.1,5119.5,5135.9,5144.3,5104.7,4944.4,4973.3,5011.5,5178.7,5032.3,5157,5116,4915.3,5073.7,5074.1,4943.2,4785.4,5173.4,5377,5224.6
Import,..,..,..,..,..,..,281.8,360.6,304.2,..,278.5,348.9,377.3,550.3,565.9,473,463.9,427.2,387.7,356.1,405.7
