year_month,cpi
2005M07,94.2
2005M08,94.7
2005M09,95.5
2005M10,95.5
2005M11,95.4
2005M12,95.3
2006M01,95
2006M02,96.1
2006M03,96.5
2006M04,97.2
2006M05,97.7
2006M06,98
2006M07,98.2
2006M08,98.9
2006M09,99.3
2006M10,99.2
2006M11,99.6
2006M12,100
2007M01,99.9
2007M02,100.7
2007M03,101.4
2007M04,102.2
2007M05,102.6
2007M06,102.8
2007M07,103.1
2007M08,103.6
2007M09,103.9
2007M10,104
2007M11,104.6
2007M12,104.7
2008M01,104.2
2008M02,105.5
2008M03,106.5
2008M04,106.6
2008M05,107.4
2008M06,107.9
2008M07,107.6
2008M08,108.1
2008M09,108.4
2008M10,108.2
2008M11,107.2
2008M12,105.9
2009M01,104.1
2009M02,103.7
2009M03,103.7
2009M04,102.9
2009M05,102.4
2009M06,102.1
2009M07,101.3
2009M08,101.7
2009M09,101.3
2009M10,101.1
2009M11,101.1
2009M12,100.6
2010M01,100
2010M02,100.4
2010M03,100.5
2010M04,100.7
2010M05,101.3
2010M06,101.2
2010M07,101.2
2010M08,101.9
2010M09,101.8
2010M10,101.8
2010M11,101.7
2010M12,101.9
2011M01,101.7
2011M02,102.6
2011M03,103.5
2011M04,103.9
2011M05,104
2011M06,103.9
2011M07,103.9
2011M08,104.1
2011M09,104.4
2011M10,104.7
2011M11,104.7
2011M12,104.4
2012M01,103.9
2012M02,104.8
2012M03,105.9
2012M04,105.9
2012M05,105.9
2012M06,105.7
2012M07,105.6
2012M08,106.2
2012M09,106
2012M10,106
2012M11,105.5
2012M12,105.6
2013M01,105.2
2013M02,105.9
2013M03,106.4
2013M04,106.4
2013M05,106.3
2013M06,106.4
2013M07,106.3
2013M08,106.3
2013M09,106.2
2013M10,106
2013M11,105.9
2013M12,105.9
2014M01,105.3
2014M02,105.9
2014M03,106.6
2014M04,106.7
2014M05,106.7
