year_month,cpi
1979M01,22.6
1979M02,22.6
1979M03,22.6
1979M04,23.3
1979M05,23.3
1979M06,23.3
1979M07,24.3
1979M08,24.3
1979M09,24.3
1979M10,25.2
1979M11,25.2
1979M12,25.2
1980M01,26.1
1980M02,26.1
1980M03,26.1
1980M04,28.1
1980M05,28.1
1980M06,28.1
1980M07,28.9
1980M08,28.9
1980M09,28.9
1980M10,29.8
1980M11,29.8
1980M12,29.8
1981M01,31.6
1981M02,31.6
1981M03,31.6
1981M04,32.8
1981M05,32.8
1981M06,32.8
1981M07,34.7
1981M08,34.7
1981M09,34.7
1981M10,36.7
1981M11,36.7
1981M12,36.7
1982M01,37.6
1982M02,37.6
1982M03,37.6
1982M04,39.7
1982M05,39.7
1982M06,39.7
1982M07,40.6
1982M08,40.6
1982M09,40.6
1982M10,41.2
1982M11,41.2
1982M12,41.2
1983M01,42.2
1983M02,42.2
1983M03,42.2
1983M04,43.4
1983M05,43.4
1983M06,43.4
1983M07,44.6
1983M08,44.6
1983M09,44.6
1983M10,45.5
1983M11,45.5
1983M12,45.5
1984M01,46.6
1984M02,46.6
1984M03,46.6
1984M04,47.6
1984M05,47.6
1984M06,47.6
1984M07,48.2
1984M08,48.2
1984M09,48.2
1984M10,48.5
1984M11,48.5
1984M12,48.5
1985M01,49.4
1985M02,49.4
1985M03,49.4
1985M04,50.1
1985M05,50.1
1985M06,50.1
1985M07,50.8
1985M08,50.8
1985M09,50.8
1985M10,50.9
1985M11,50.9
1985M12,50.9
1986M01,51.7
1986M02,51.7
1986M03,51.7
1986M04,52.3
1986M05,52.3
1986M06,52.3
1986M07,52.4
1986M08,52.4
1986M09,52.4
1986M10,52.5
1986M11,52.5
1986M12,52.5
1987M01,53.5
1987M02,53.5
1987M03,53.5
1987M04,53.8
1987M05,53.8
1987M06,53.8
1987M07,54.1
1987M08,54.1
1987M09,54.1
1987M10,54.1
1987M11,54.1
1987M12,54.1
1988M01,54.5
1988M02,54.5
1988M03,54.5
1988M04,54.8
1988M05,54.8
1988M06,54.8
1988M07,55.2
1988M08,55.2
1988M09,55.2
1988M10,55.6
1988M11,55.6
1988M12,55.6
1989M01,56.3
1989M02,56.3
1989M03,56.3
1989M04,56.9
1989M05,56.9
1989M06,56.9
1989M07,57.7
1989M08,57.7
1989M09,57.7
1989M10,58.2
1989M11,58.2
1989M12,58.2
1990M01,58.7
1990M02,58.7
1990M03,58.7
1990M04,58.9
1990M05,58.9
1990M06,58.9
1990M07,59.4
1990M08,59.4
1990M09,59.4
1990M10,59.7
1990M11,59.7
1990M12,59.7
1991M01,60.2
1991M02,60.2
1991M03,60.2
1991M04,60.7
1991M05,60.7
1991M06,60.7
1991M07,61.5
1991M08,61.5
1991M09,61.5
1991M10,61.9
1991M11,61.9
1991M12,61.9
1992M01,62.4
1992M02,62.4
1992M03,62.4
1992M04,62.9
1992M05,62.9
1992M06,62.9
1992M07,63.2
1992M08,63.2
1992M09,63.2
1992M10,63.3
1992M11,63.3
1992M12,63.3
1993M01,63.6
1993M02,63.6
1993M03,63.6
1993M04,63.5
1993M05,63.5
1993M06,63.5
1993M07,64.1
1993M08,64.1
1993M09,64.1
1993M10,64.3
1993M11,64.3
1993M12,64.3
1994M01,64.7
1994M02,64.7
1994M03,64.7
