"","Region","Year","Type.of.Land.Use","value"
"131","South-East (IRL)","1981","Winter wheat",11.7
"132","South-West (IRL)","1981","Winter wheat",2.6
"133","State","1982","Winter wheat",42.9
"134","Midlands and East","1982","Winter wheat",23.7
"135","North West","1982","Winter wheat",0.3
"136","West","1982","Winter wheat",0.2
"137","South-East (IRL)","1982","Winter wheat",15
"138","South-West (IRL)","1982","Winter wheat",3.7
"139","State","1983","Winter wheat",43.6
"140","Midlands and East","1983","Winter wheat",23.3
"141","North West","1983","Winter wheat",0.6
"142","West","1983","Winter wheat",0.3
"143","South-East (IRL)","1983","Winter wheat",14.9
"144","South-West (IRL)","1983","Winter wheat",4.5
"145","State","1984","Winter wheat",61.2
"146","Midlands and East","1984","Winter wheat",32.5
"147","North West","1984","Winter wheat",0.7
"148","West","1984","Winter wheat",0.3
"149","South-East (IRL)","1984","Winter wheat",20.8
"150","South-West (IRL)","1984","Winter wheat",6.9
"151","State","1985","Winter wheat",60.3
"152","Midlands and East","1985","Winter wheat",32.3
"153","North West","1985","Winter wheat",0.8
"154","West","1985","Winter wheat",0.3
"155","South-East (IRL)","1985","Winter wheat",19.8
"156","South-West (IRL)","1985","Winter wheat",7.1
"157","State","1986","Winter wheat",57
"158","Midlands and East","1986","Winter wheat",30.7
"159","North West","1986","Winter wheat",0.7
"160","West","1986","Winter wheat",0.2
"161","South-East (IRL)","1986","Winter wheat",18.5
"162","South-West (IRL)","1986","Winter wheat",6.8
"163","State","1987","Winter wheat",38.3
"164","Midlands and East","1987","Winter wheat",22
"165","North West","1987","Winter wheat",0.7
"166","West","1987","Winter wheat",0.2
"167","South-East (IRL)","1987","Winter wheat",12.4
"168","South-West (IRL)","1987","Winter wheat",3
"169","State","1988","Winter wheat",37.2
"170","Midlands and East","1988","Winter wheat",22.1
"171","North West","1988","Winter wheat",0.6
"172","West","1988","Winter wheat",0.2
"173","South-East (IRL)","1988","Winter wheat",11.5
"174","South-West (IRL)","1988","Winter wheat",2.8
"175","State","1989","Winter wheat",43
"176","Midlands and East","1989","Winter wheat",26.3
"177","North West","1989","Winter wheat",0.5
"178","West","1989","Winter wheat",0.2
"179","South-East (IRL)","1989","Winter wheat",13.8
"180","South-West (IRL)","1989","Winter wheat",2.2
"181","State","1990","Winter wheat",56.5
"182","Midlands and East","1990","Winter wheat",34.2
"183","North West","1990","Winter wheat",0.6
"184","West","1990","Winter wheat",0.2
"185","South-East (IRL)","1990","Winter wheat",17.1
"186","South-West (IRL)","1990","Winter wheat",4.4
"187","State","1991","Winter wheat",66.9
"188","Midlands and East","1991","Winter wheat",39.2
"189","North West","1991","Winter wheat",0.4
"190","West","1991","Winter wheat",0.1
"191","South-East (IRL)","1991","Winter wheat",19.2
"192","South-West (IRL)","1991","Winter wheat",7.9
"193","State","1992","Winter wheat",73.3
"194","Midlands and East","1992","Winter wheat",44.1
"195","North West","1992","Winter wheat",0.2
"196","West","1992","Winter wheat",0.1
"197","South-East (IRL)","1992","Winter wheat",20.5
"198","South-West (IRL)","1992","Winter wheat",8.4
"199","State","1993","Winter wheat",57.2
"200","Midlands and East","1993","Winter wheat",36.3
"201","North West","1993","Winter wheat",0.4
"202","West","1993","Winter wheat",0.1
"203","South-East (IRL)","1993","Winter wheat",15.2
"204","South-West (IRL)","1993","Winter wheat",5.2
"205","State","1994","Winter wheat",56.2
"206","Midlands and East","1994","Winter wheat",36.5
"207","North West","1994","Winter wheat",0.2
"208","West","1994","Winter wheat",0.1
"209","South-East (IRL)","1994","Winter wheat",14.6
"210","South-West (IRL)","1994","Winter wheat",4.8
"211","State","1995","Winter wheat",51.8
"212","Midlands and East","1995","Winter wheat",35.4
"213","North West","1995","Winter wheat",0.2
"214","West","1995","Winter wheat",0
"215","South-East (IRL)","1995","Winter wheat",12.6
"216","South-West (IRL)","1995","Winter wheat",3.6
"217","State","1996","Winter wheat",67.2
"218","Midlands and East","1996","Winter wheat",43.4
"219","North West","1996","Winter wheat",0.3
"220","West","1996","Winter wheat",0
"221","South-East (IRL)","1996","Winter wheat",17.7
"222","South-West (IRL)","1996","Winter wheat",5.7
"223","State","1997","Winter wheat",70.2
"224","Midlands and East","1997","Winter wheat",41.8
"225","North West","1997","Winter wheat",0.3
"226","West","1997","Winter wheat",0
"227","South-East (IRL)","1997","Winter wheat",21
"228","South-West (IRL)","1997","Winter wheat",7
"229","State","1998","Winter wheat",65.5
"230","Midlands and East","1998","Winter wheat",41
"231","North West","1998","Winter wheat",0.2
"232","West","1998","Winter wheat",0
"233","South-East (IRL)","1998","Winter wheat",18.2
"234","South-West (IRL)","1998","Winter wheat",6
"235","State","1999","Winter wheat",40.6
"236","Midlands and East","1999","Winter wheat",24.6
"237","North West","1999","Winter wheat",0.1
"238","West","1999","Winter wheat",0
"239","South-East (IRL)","1999","Winter wheat",11.9
"240","South-West (IRL)","1999","Winter wheat",4.1
"241","State","1980","Spring wheat",34
"242","Midlands and East","1980","Spring wheat",13
"243","North West","1980","Spring wheat",0.2
"244","West","1980","Spring wheat",0.3
"245","South-East (IRL)","1980","Spring wheat",16.8
"246","South-West (IRL)","1980","Spring wheat",3.7
"247","State","1981","Spring wheat",15.6
"248","Midlands and East","1981","Spring wheat",5.8
"249","North West","1981","Spring wheat",0.2
"250","West","1981","Spring wheat",0.2
"251","South-East (IRL)","1981","Spring wheat",7.2
"252","South-West (IRL)","1981","Spring wheat",2.2
"253","State","1982","Spring wheat",14.2
"254","Midlands and East","1982","Spring wheat",4.7
"255","North West","1982","Spring wheat",0.2
"256","West","1982","Spring wheat",0.2
"257","South-East (IRL)","1982","Spring wheat",7.1
"258","South-West (IRL)","1982","Spring wheat",2
"259","State","1983","Spring wheat",15.9
"260","Midlands and East","1983","Spring wheat",5.3
"261","North West","1983","Spring wheat",0.1
"262","West","1983","Spring wheat",0.2
"263","South-East (IRL)","1983","Spring wheat",7.8
"264","South-West (IRL)","1983","Spring wheat",2.5
"265","State","1984","Spring wheat",15.9
"266","Midlands and East","1984","Spring wheat",5
"267","North West","1984","Spring wheat",0.1
"268","West","1984","Spring wheat",0.2
"269","South-East (IRL)","1984","Spring wheat",7.9
"270","South-West (IRL)","1984","Spring wheat",2.7
"271","State","1985","Spring wheat",17.4
"272","Midlands and East","1985","Spring wheat",5.3
"273","North West","1985","Spring wheat",0.1
"274","West","1985","Spring wheat",0.2
"275","South-East (IRL)","1985","Spring wheat",8.8
"276","South-West (IRL)","1985","Spring wheat",3
"277","State","1986","Spring wheat",17.6
"278","Midlands and East","1986","Spring wheat",5.2
"279","North West","1986","Spring wheat",0.1
"280","West","1986","Spring wheat",0.2
"281","South-East (IRL)","1986","Spring wheat",9.1
"282","South-West (IRL)","1986","Spring wheat",3
"283","State","1987","Spring wheat",17.8
"284","Midlands and East","1987","Spring wheat",5.4
"285","North West","1987","Spring wheat",0.1
"286","West","1987","Spring wheat",0.2
"287","South-East (IRL)","1987","Spring wheat",9
"288","South-West (IRL)","1987","Spring wheat",3.1
"289","State","1988","Spring wheat",21.4
"290","Midlands and East","1988","Spring wheat",6.3
"291","North West","1988","Spring wheat",0.1
"292","West","1988","Spring wheat",0.3
"293","South-East (IRL)","1988","Spring wheat",10.8
"294","South-West (IRL)","1988","Spring wheat",4
"295","State","1989","Spring wheat",17.7
"296","Midlands and East","1989","Spring wheat",5.6
"297","North West","1989","Spring wheat",0.1
"298","West","1989","Spring wheat",0.3
"299","South-East (IRL)","1989","Spring wheat",8.6
"300","South-West (IRL)","1989","Spring wheat",3.2
"301","State","1990","Spring wheat",13.6
"302","Midlands and East","1990","Spring wheat",3.4
"303","North West","1990","Spring wheat",0.1
