"","Region","Year","Type.of.Land.Use","value"
"985","State","1984","Spring barley",258.4
"986","Midlands and East","1984","Spring barley",82.8
"987","North West","1984","Spring barley",11.9
"988","West","1984","Spring barley",8.8
"989","South-East (IRL)","1984","Spring barley",105.2
"990","South-West (IRL)","1984","Spring barley",49.6
"991","State","1985","Spring barley",248.1
"992","Midlands and East","1985","Spring barley",79.7
"993","North West","1985","Spring barley",12
"994","West","1985","Spring barley",8.9
"995","South-East (IRL)","1985","Spring barley",99.1
"996","South-West (IRL)","1985","Spring barley",48.4
"997","State","1986","Spring barley",231.1
"998","Midlands and East","1986","Spring barley",75.2
"999","North West","1986","Spring barley",11
"1000","West","1986","Spring barley",8.5
"1001","South-East (IRL)","1986","Spring barley",92.2
"1002","South-West (IRL)","1986","Spring barley",44.3
"1003","State","1987","Spring barley",221.7
"1004","Midlands and East","1987","Spring barley",70.6
"1005","North West","1987","Spring barley",9.6
"1006","West","1987","Spring barley",8
"1007","South-East (IRL)","1987","Spring barley",90.5
"1008","South-West (IRL)","1987","Spring barley",42.9
"1009","State","1988","Spring barley",214.5
"1010","Midlands and East","1988","Spring barley",68.9
"1011","North West","1988","Spring barley",9.2
"1012","West","1988","Spring barley",7.4
"1013","South-East (IRL)","1988","Spring barley",87.8
"1014","South-West (IRL)","1988","Spring barley",41.2
"1015","State","1989","Spring barley",211.6
"1016","Midlands and East","1989","Spring barley",66.4
"1017","North West","1989","Spring barley",9.5
"1018","West","1989","Spring barley",5.3
"1019","South-East (IRL)","1989","Spring barley",89.4
"1020","South-West (IRL)","1989","Spring barley",41.1
"1021","State","1990","Spring barley",178
"1022","Midlands and East","1990","Spring barley",52.7
"1023","North West","1990","Spring barley",8.2
"1024","West","1990","Spring barley",4.6
"1025","South-East (IRL)","1990","Spring barley",77.6
"1026","South-West (IRL)","1990","Spring barley",34.9
"1027","State","1991","Spring barley",160.1
"1028","Midlands and East","1991","Spring barley",46.5
"1029","North West","1991","Spring barley",6.4
"1030","West","1991","Spring barley",4.6
"1031","South-East (IRL)","1991","Spring barley",72.8
"1032","South-West (IRL)","1991","Spring barley",29.8
"1033","State","1992","Spring barley",144
"1034","Midlands and East","1992","Spring barley",40.7
"1035","North West","1992","Spring barley",6.2
"1036","West","1992","Spring barley",4.1
"1037","South-East (IRL)","1992","Spring barley",66.3
"1038","South-West (IRL)","1992","Spring barley",26.7
"1039","State","1993","Spring barley",141.4
"1040","Midlands and East","1993","Spring barley",37.5
"1041","North West","1993","Spring barley",6
"1042","West","1993","Spring barley",4
"1043","South-East (IRL)","1993","Spring barley",66.7
"1044","South-West (IRL)","1993","Spring barley",27.1
"1045","State","1994","Spring barley",138
"1046","Midlands and East","1994","Spring barley",38.9
"1047","North West","1994","Spring barley",6.1
"1048","West","1994","Spring barley",3
"1049","South-East (IRL)","1994","Spring barley",65
"1050","South-West (IRL)","1994","Spring barley",25
"1051","State","1995","Spring barley",141.4
"1052","Midlands and East","1995","Spring barley",40.8
"1053","North West","1995","Spring barley",5.4
"1054","West","1995","Spring barley",3.5
"1055","South-East (IRL)","1995","Spring barley",66.1
"1056","South-West (IRL)","1995","Spring barley",25.6
"1057","State","1996","Spring barley",140.5
"1058","Midlands and East","1996","Spring barley",36.4
"1059","North West","1996","Spring barley",5.6
"1060","West","1996","Spring barley",4.3
"1061","South-East (IRL)","1996","Spring barley",67
"1062","South-West (IRL)","1996","Spring barley",27.2
"1063","State","1997","Spring barley",148.6
"1064","Midlands and East","1997","Spring barley",40.4
"1065","North West","1997","Spring barley",6
"1066","West","1997","Spring barley",4.7
"1067","South-East (IRL)","1997","Spring barley",69.3
"1068","South-West (IRL)","1997","Spring barley",28.3
"1069","State","1998","Spring barley",151.7
"1070","Midlands and East","1998","Spring barley",39.4
"1071","North West","1998","Spring barley",5.3
"1072","West","1998","Spring barley",4.6
"1073","South-East (IRL)","1998","Spring barley",73.2
"1074","South-West (IRL)","1998","Spring barley",29.1
"1075","State","1999","Spring barley",165.8
"1076","Midlands and East","1999","Spring barley",53.1
"1077","North West","1999","Spring barley",5.9
"1078","West","1999","Spring barley",4.6
"1079","South-East (IRL)","1999","Spring barley",73.8
"1080","South-West (IRL)","1999","Spring barley",28.4
"1081","State","1980","Other cereals",0.9
"1082","Midlands and East","1980","Other cereals",0.1
"1083","North West","1980","Other cereals",0
"1084","West","1980","Other cereals",0.1
"1085","South-East (IRL)","1980","Other cereals",0.4
"1086","South-West (IRL)","1980","Other cereals",0.3
"1087","State","1981","Other cereals",0.9
"1088","Midlands and East","1981","Other cereals",0.1
"1089","North West","1981","Other cereals",0.1
"1090","West","1981","Other cereals",0.1
"1091","South-East (IRL)","1981","Other cereals",0.4
"1092","South-West (IRL)","1981","Other cereals",0.3
"1093","State","1982","Other cereals",1.1
"1094","Midlands and East","1982","Other cereals",0.2
"1095","North West","1982","Other cereals",0.1
"1096","West","1982","Other cereals",0.1
"1097","South-East (IRL)","1982","Other cereals",0.5
"1098","South-West (IRL)","1982","Other cereals",0.3
"1099","State","1983","Other cereals",1.3
"1100","Midlands and East","1983","Other cereals",0.3
"1101","North West","1983","Other cereals",0.1
"1102","West","1983","Other cereals",0.1
"1103","South-East (IRL)","1983","Other cereals",0.5
"1104","South-West (IRL)","1983","Other cereals",0.4
"1105","State","1984","Other cereals",1.4
"1106","Midlands and East","1984","Other cereals",0.3
"1107","North West","1984","Other cereals",0.2
"1108","West","1984","Other cereals",0.1
"1109","South-East (IRL)","1984","Other cereals",0.6
"1110","South-West (IRL)","1984","Other cereals",0.4
"1111","State","1985","Other cereals",1.6
"1112","Midlands and East","1985","Other cereals",0.3
"1113","North West","1985","Other cereals",0.2
"1114","West","1985","Other cereals",0.1
"1115","South-East (IRL)","1985","Other cereals",0.7
"1116","South-West (IRL)","1985","Other cereals",0.3
"1117","State","1986","Other cereals",1.7
"1118","Midlands and East","1986","Other cereals",0.4
"1119","North West","1986","Other cereals",0.2
"1120","West","1986","Other cereals",0.1
"1121","South-East (IRL)","1986","Other cereals",0.8
"1122","South-West (IRL)","1986","Other cereals",0.3
"1123","State","1987","Other cereals",1.9
"1124","Midlands and East","1987","Other cereals",0.4
"1125","North West","1987","Other cereals",0.2
"1126","West","1987","Other cereals",0.1
"1127","South-East (IRL)","1987","Other cereals",0.9
"1128","South-West (IRL)","1987","Other cereals",0.3
"1129","State","1988","Other cereals",2.2
"1130","Midlands and East","1988","Other cereals",0.4
"1131","North West","1988","Other cereals",0.4
"1132","West","1988","Other cereals",0.1
"1133","South-East (IRL)","1988","Other cereals",1
"1134","South-West (IRL)","1988","Other cereals",0.3
"1135","State","1989","Other cereals",2.1
"1136","Midlands and East","1989","Other cereals",0.4
"1137","North West","1989","Other cereals",0.3
"1138","West","1989","Other cereals",0.1
"1139","South-East (IRL)","1989","Other cereals",0.9
"1140","South-West (IRL)","1989","Other cereals",0.4
"1141","State","1990","Other cereals",2
"1142","Midlands and East","1990","Other cereals",0.3
"1143","North West","1990","Other cereals",0.2
"1144","West","1990","Other cereals",0.1
"1145","South-East (IRL)","1990","Other cereals",0.9
"1146","South-West (IRL)","1990","Other cereals",0.5
"1147","State","1991","Other cereals",1.9
"1148","Midlands and East","1991","Other cereals",0.6
"1149","North West","1991","Other cereals",0.1
"1150","West","1991","Other cereals",0
"1151","South-East (IRL)","1991","Other cereals",0.8
"1152","South-West (IRL)","1991","Other cereals",0.4
"1153","State","1992","Other cereals",5.2
"1154","Midlands and East","1992","Other cereals",1.2
"1155","North West","1992","Other cereals",0.4
"1156","West","1992","Other cereals",0.1
"1157","South-East (IRL)","1992","Other cereals",2.6
"1158","South-West (IRL)","1992","Other cereals",0.9
"1159","State","1993","Other cereals",4.7
"1160","Midlands and East","1993","Other cereals",1.1
"1161","North West","1993","Other cereals",0.1
"1162","West","1993","Other cereals",0
"1163","South-East (IRL)","1993","Other cereals",1.9
"1164","South-West (IRL)","1993","Other cereals",1.6
"1165","State","1994","Other cereals",5.3
"1166","Midlands and East","1994","Other cereals",1.2
"1167","North West","1994","Other cereals",0.1
"1168","West","1994","Other cereals",0
"1169","South-East (IRL)","1994","Other cereals",2.3
"1170","South-West (IRL)","1994","Other cereals",1.6
"1171","State","1995","Other cereals",4.7
"1172","Midlands and East","1995","Other cereals",1.1
"1173","North West","1995","Other cereals",0.1
"1174","West","1995","Other cereals",0
"1175","South-East (IRL)","1995","Other cereals",1.8
"1176","South-West (IRL)","1995","Other cereals",1.6
"1177","State","1996","Other cereals",5.5
"1178","Midlands and East","1996","Other cereals",1.4
"1179","North West","1996","Other cereals",0
"1180","West","1996","Other cereals",0
"1181","South-East (IRL)","1996","Other cereals",2.4
"1182","South-West (IRL)","1996","Other cereals",1.6
"1183","State","1997","Other cereals",5.6
"1184","Midlands and East","1997","Other cereals",1.5
"1185","North West","1997","Other cereals",0.1
"1186","West","1997","Other cereals",0
"1187","South-East (IRL)","1997","Other cereals",2.3
"1188","South-West (IRL)","1997","Other cereals",1.6
"1189","State","1998","Other cereals",6.6
"1190","Midlands and East","1998","Other cereals",2.2
"1191","North West","1998","Other cereals",0.1
"1192","West","1998","Other cereals",0.1
"1193","South-East (IRL)","1998","Other cereals",2.5
"1194","South-West (IRL)","1998","Other cereals",1.7
"1195","State","1999","Other cereals",9.5
"1196","Midlands and East","1999","Other cereals",4.2
"1197","North West","1999","Other cereals",0.1
"1198","West","1999","Other cereals",0.1
"1199","South-East (IRL)","1999","Other cereals",3.2
"1200","South-West (IRL)","1999","Other cereals",1.9
"1201","State","1980","Total cereals",444.8
"1202","Midlands and East","1980","Total cereals",149.4
"1203","North West","1980","Total cereals",21.3
"1204","West","1980","Total cereals",19.4
"1205","South-East (IRL)","1980","Total cereals",173.8
"1206","South-West (IRL)","1980","Total cereals",80.8
"1207","State","1981","Total cereals",427
"1208","Midlands and East","1981","Total cereals",149.3
"1209","North West","1981","Total cereals",19.7
"1210","West","1981","Total cereals",17
"1211","South-East (IRL)","1981","Total cereals",164.2
"1212","South-West (IRL)","1981","Total cereals",77
"1213","State","1982","Total cereals",407.9
"1214","Midlands and East","1982","Total cereals",141.9
"1215","North West","1982","Total cereals",18.4
"1216","West","1982","Total cereals",15.8
"1217","South-East (IRL)","1982","Total cereals",158.8
"1218","South-West (IRL)","1982","Total cereals",72.9
"1219","State","1983","Total cereals",388.6
"1220","Midlands and East","1983","Total cereals",138.2
"1221","North West","1983","Total cereals",18.9
"1222","West","1983","Total cereals",15.9
"1223","South-East (IRL)","1983","Total cereals",148.9
"1224","South-West (IRL)","1983","Total cereals",66.8
"1225","State","1984","Total cereals",397.1
"1226","Midlands and East","1984","Total cereals",145.7
"1227","North West","1984","Total cereals",18.6
"1228","West","1984","Total cereals",16
"1229","South-East (IRL)","1984","Total cereals",150
"1230","South-West (IRL)","1984","Total cereals",66.9
"1231","State","1985","Total cereals",387.8
"1232","Midlands and East","1985","Total cereals",143.4
"1233","North West","1985","Total cereals",18.3
"1234","West","1985","Total cereals",15.8
"1235","South-East (IRL)","1985","Total cereals",144.3
"1236","South-West (IRL)","1985","Total cereals",66.1
"1237","State","1986","Total cereals",364.3
"1238","Midlands and East","1986","Total cereals",135.6
"1239","North West","1986","Total cereals",16.7
"1240","West","1986","Total cereals",14.6
"1241","South-East (IRL)","1986","Total cereals",135.8
"1242","South-West (IRL)","1986","Total cereals",61.6
"1243","State","1987","Total cereals",336.1
"1244","Midlands and East","1987","Total cereals",123.3
"1245","North West","1987","Total cereals",14.9
"1246","West","1987","Total cereals",14.4
"1247","South-East (IRL)","1987","Total cereals",127.6
"1248","South-West (IRL)","1987","Total cereals",55.9
"1249","State","1988","Total cereals",325.8
"1250","Midlands and East","1988","Total cereals",119.1
"1251","North West","1988","Total cereals",14.4
"1252","West","1988","Total cereals",12.7
"1253","South-East (IRL)","1988","Total cereals",124.8
"1254","South-West (IRL)","1988","Total cereals",54.8
"1255","State","1989","Total cereals",321.6
"1256","Midlands and East","1989","Total cereals",117.8
"1257","North West","1989","Total cereals",14
"1258","West","1989","Total cereals",10.4
"1259","South-East (IRL)","1989","Total cereals",126.3
"1260","South-West (IRL)","1989","Total cereals",53.2
"1261","State","1990","Total cereals",300.5
"1262","Midlands and East","1990","Total cereals",110.9
"1263","North West","1990","Total cereals",11.9
"1264","West","1990","Total cereals",9.4
"1265","South-East (IRL)","1990","Total cereals",118.2
"1266","South-West (IRL)","1990","Total cereals",50.1
"1267","State","1991","Total cereals",301.5
"1268","Midlands and East","1991","Total cereals",112.8
"1269","North West","1991","Total cereals",8.9
"1270","West","1991","Total cereals",7.3
"1271","South-East (IRL)","1991","Total cereals",120.1
"1272","South-West (IRL)","1991","Total cereals",52.4
"1273","State","1992","Total cereals",300.3
"1274","Midlands and East","1992","Total cereals",116.1
"1275","North West","1992","Total cereals",8.8
"1276","West","1992","Total cereals",6.8
"1277","South-East (IRL)","1992","Total cereals",117.7
"1278","South-West (IRL)","1992","Total cereals",50.9
"1279","State","1993","Total cereals",285
"1280","Midlands and East","1993","Total cereals",107.3
"1281","North West","1993","Total cereals",8.2
"1282","West","1993","Total cereals",6
"1283","South-East (IRL)","1993","Total cereals",113.9
"1284","South-West (IRL)","1993","Total cereals",49.6
"1285","State","1994","Total cereals",270
"1286","Midlands and East","1994","Total cereals",101.9
"1287","North West","1994","Total cereals",8.5
"1288","West","1994","Total cereals",4.7
"1289","South-East (IRL)","1994","Total cereals",108.9
"1290","South-West (IRL)","1994","Total cereals",45.8
"1291","State","1995","Total cereals",273.9
"1292","Midlands and East","1995","Total cereals",108
"1293","North West","1995","Total cereals",7.7
"1294","West","1995","Total cereals",5.5
"1295","South-East (IRL)","1995","Total cereals",108.3
"1296","South-West (IRL)","1995","Total cereals",44.4
"1297","State","1996","Total cereals",293.4
"1298","Midlands and East","1996","Total cereals",113.7
"1299","North West","1996","Total cereals",8.1
"1300","West","1996","Total cereals",6.2
"1301","South-East (IRL)","1996","Total cereals",117.6
"1302","South-West (IRL)","1996","Total cereals",47.7
"1303","State","1997","Total cereals",309.9
"1304","Midlands and East","1997","Total cereals",119.7
"1305","North West","1997","Total cereals",8.9
"1306","West","1997","Total cereals",6.6
"1307","South-East (IRL)","1997","Total cereals",122.1
"1308","South-West (IRL)","1997","Total cereals",52.4
"1309","State","1998","Total cereals",300.6
"1310","Midlands and East","1998","Total cereals",116
"1311","North West","1998","Total cereals",7.9
"1312","West","1998","Total cereals",6
"1313","South-East (IRL)","1998","Total cereals",120
"1314","South-West (IRL)","1998","Total cereals",50.6
"1315","State","1999","Total cereals",289.9
"1316","Midlands and East","1999","Total cereals",112.5
"1317","North West","1999","Total cereals",8.5
"1318","West","1999","Total cereals",6.3
"1319","South-East (IRL)","1999","Total cereals",113.5
"1320","South-West (IRL)","1999","Total cereals",49.1
"1321","State","1980","Beans and peas",1.7
"1322","Midlands and East","1980","Beans and peas",0.4
"1323","North West","1980","Beans and peas",0
"1324","West","1980","Beans and peas",0
"1325","South-East (IRL)","1980","Beans and peas",0.4
"1326","South-West (IRL)","1980","Beans and peas",1
"1327","State","1981","Beans and peas",1.6
"1328","Midlands and East","1981","Beans and peas",0.3
"1329","North West","1981","Beans and peas",0
"1330","West","1981","Beans and peas",0
"1331","South-East (IRL)","1981","Beans and peas",0.3
"1332","South-West (IRL)","1981","Beans and peas",1
"1333","State","1982","Beans and peas",1.6
"1334","Midlands and East","1982","Beans and peas",0.3
"1335","North West","1982","Beans and peas",0
"1336","West","1982","Beans and peas",0
"1337","South-East (IRL)","1982","Beans and peas",0.3
"1338","South-West (IRL)","1982","Beans and peas",0.9
"1339","State","1983","Beans and peas",1.7
"1340","Midlands and East","1983","Beans and peas",0.4
"1341","North West","1983","Beans and peas",0
"1342","West","1983","Beans and peas",0
"1343","South-East (IRL)","1983","Beans and peas",0.3
"1344","South-West (IRL)","1983","Beans and peas",1
"1345","State","1984","Beans and peas",2
"1346","Midlands and East","1984","Beans and peas",0.5
"1347","North West","1984","Beans and peas",0
"1348","West","1984","Beans and peas",0
"1349","South-East (IRL)","1984","Beans and peas",0.4
"1350","South-West (IRL)","1984","Beans and peas",1.1
"1351","State","1985","Beans and peas",2.3
"1352","Midlands and East","1985","Beans and peas",0.5
"1353","North West","1985","Beans and peas",0
"1354","West","1985","Beans and peas",0
"1355","South-East (IRL)","1985","Beans and peas",0.5
"1356","South-West (IRL)","1985","Beans and peas",1.2
"1357","State","1986","Beans and peas",2.4
"1358","Midlands and East","1986","Beans and peas",0.6
"1359","North West","1986","Beans and peas",0
"1360","West","1986","Beans and peas",0
"1361","South-East (IRL)","1986","Beans and peas",0.6
"1362","South-West (IRL)","1986","Beans and peas",1.2
"1363","State","1987","Beans and peas",2.3
"1364","Midlands and East","1987","Beans and peas",0.5
"1365","North West","1987","Beans and peas",0
"1366","West","1987","Beans and peas",0
"1367","South-East (IRL)","1987","Beans and peas",0.6
"1368","South-West (IRL)","1987","Beans and peas",1.1
"1369","State","1988","Beans and peas",2.6
"1370","Midlands and East","1988","Beans and peas",0.7
"1371","North West","1988","Beans and peas",0
"1372","West","1988","Beans and peas",0
"1373","South-East (IRL)","1988","Beans and peas",0.7
"1374","South-West (IRL)","1988","Beans and peas",1.2
"1375","State","1989","Beans and peas",2.7
"1376","Midlands and East","1989","Beans and peas",0.8
"1377","North West","1989","Beans and peas",0.1
"1378","West","1989","Beans and peas",0
"1379","South-East (IRL)","1989","Beans and peas",0.6
"1380","South-West (IRL)","1989","Beans and peas",1.2
"1381","State","1990","Beans and peas",3
"1382","Midlands and East","1990","Beans and peas",0.9
"1383","North West","1990","Beans and peas",0.1
"1384","West","1990","Beans and peas",0
"1385","South-East (IRL)","1990","Beans and peas",0.6
"1386","South-West (IRL)","1990","Beans and peas",1.3
"1387","State","1991","Beans and peas",2.8
"1388","Midlands and East","1991","Beans and peas",0.9
"1389","North West","1991","Beans and peas",0
"1390","West","1991","Beans and peas",0
"1391","South-East (IRL)","1991","Beans and peas",0.6
"1392","South-West (IRL)","1991","Beans and peas",1.3
"1393","State","1992","Beans and peas",2.7
"1394","Midlands and East","1992","Beans and peas",0.9
"1395","North West","1992","Beans and peas",0
"1396","West","1992","Beans and peas",0
"1397","South-East (IRL)","1992","Beans and peas",0.5
"1398","South-West (IRL)","1992","Beans and peas",1.3
"1399","State","1993","Beans and peas",6.1
"1400","Midlands and East","1993","Beans and peas",3.3
"1401","North West","1993","Beans and peas",0
"1402","West","1993","Beans and peas",0
"1403","South-East (IRL)","1993","Beans and peas",1.6
"1404","South-West (IRL)","1993","Beans and peas",1.2
"1405","State","1994","Beans and peas",5.6
"1406","Midlands and East","1994","Beans and peas",2.5
"1407","North West","1994","Beans and peas",0
"1408","West","1994","Beans and peas",0
"1409","South-East (IRL)","1994","Beans and peas",2
"1410","South-West (IRL)","1994","Beans and peas",1
"1411","State","1995","Beans and peas",4.8
"1412","Midlands and East","1995","Beans and peas",2.2
"1413","North West","1995","Beans and peas",0
"1414","West","1995","Beans and peas",0
"1415","South-East (IRL)","1995","Beans and peas",1.2
"1416","South-West (IRL)","1995","Beans and peas",1.4
"1417","State","1996","Beans and peas",4.8
"1418","Midlands and East","1996","Beans and peas",1.9
"1419","North West","1996","Beans and peas",0
"1420","West","1996","Beans and peas",0
"1421","South-East (IRL)","1996","Beans and peas",1.4
"1422","South-West (IRL)","1996","Beans and peas",1.5
"1423","State","1997","Beans and peas",4.8
"1424","Midlands and East","1997","Beans and peas",2.2
"1425","North West","1997","Beans and peas",0
"1426","West","1997","Beans and peas",0
"1427","South-East (IRL)","1997","Beans and peas",1.3
"1428","South-West (IRL)","1997","Beans and peas",1.3
"1429","State","1998","Beans and peas",6.5
"1430","Midlands and East","1998","Beans and peas",2.8
"1431","North West","1998","Beans and peas",0
"1432","West","1998","Beans and peas",0
"1433","South-East (IRL)","1998","Beans and peas",2.4
"1434","South-West (IRL)","1998","Beans and peas",1.3
"1435","State","1999","Beans and peas",4.1
"1436","Midlands and East","1999","Beans and peas",2.1
"1437","North West","1999","Beans and peas",0
"1438","West","1999","Beans and peas",0
"1439","South-East (IRL)","1999","Beans and peas",1.9
"1440","South-West (IRL)","1999","Beans and peas",0.2
"1441","State","1980","Oilseed rape",NA
"1442","Midlands and East","1980","Oilseed rape",NA
"1443","North West","1980","Oilseed rape",NA
"1444","West","1980","Oilseed rape",NA
"1445","South-East (IRL)","1980","Oilseed rape",NA
"1446","South-West (IRL)","1980","Oilseed rape",NA
"1447","State","1981","Oilseed rape",NA
"1448","Midlands and East","1981","Oilseed rape",NA
"1449","North West","1981","Oilseed rape",NA
"1450","West","1981","Oilseed rape",NA
"1451","South-East (IRL)","1981","Oilseed rape",NA
"1452","South-West (IRL)","1981","Oilseed rape",NA
"1453","State","1982","Oilseed rape",NA
"1454","Midlands and East","1982","Oilseed rape",NA
"1455","North West","1982","Oilseed rape",NA
"1456","West","1982","Oilseed rape",NA
"1457","South-East (IRL)","1982","Oilseed rape",NA
"1458","South-West (IRL)","1982","Oilseed rape",NA
"1459","State","1983","Oilseed rape",NA
"1460","Midlands and East","1983","Oilseed rape",NA
"1461","North West","1983","Oilseed rape",NA
"1462","West","1983","Oilseed rape",NA
"1463","South-East (IRL)","1983","Oilseed rape",NA
"1464","South-West (IRL)","1983","Oilseed rape",NA
"1465","State","1984","Oilseed rape",NA
"1466","Midlands and East","1984","Oilseed rape",NA
"1467","North West","1984","Oilseed rape",NA
"1468","West","1984","Oilseed rape",NA
"1469","South-East (IRL)","1984","Oilseed rape",NA
"1470","South-West (IRL)","1984","Oilseed rape",NA
"1471","State","1985","Oilseed rape",NA
"1472","Midlands and East","1985","Oilseed rape",NA
"1473","North West","1985","Oilseed rape",NA
"1474","West","1985","Oilseed rape",NA
"1475","South-East (IRL)","1985","Oilseed rape",NA
"1476","South-West (IRL)","1985","Oilseed rape",NA
"1477","State","1986","Oilseed rape",NA
"1478","Midlands and East","1986","Oilseed rape",NA
"1479","North West","1986","Oilseed rape",NA
"1480","West","1986","Oilseed rape",NA
"1481","South-East (IRL)","1986","Oilseed rape",NA
"1482","South-West (IRL)","1986","Oilseed rape",NA
"1483","State","1987","Oilseed rape",NA
"1484","Midlands and East","1987","Oilseed rape",NA
"1485","North West","1987","Oilseed rape",NA
"1486","West","1987","Oilseed rape",NA
"1487","South-East (IRL)","1987","Oilseed rape",NA
"1488","South-West (IRL)","1987","Oilseed rape",NA
"1489","State","1988","Oilseed rape",4.7
"1490","Midlands and East","1988","Oilseed rape",3.8
"1491","North West","1988","Oilseed rape",0.1
"1492","West","1988","Oilseed rape",0.1
"1493","South-East (IRL)","1988","Oilseed rape",0.5
"1494","South-West (IRL)","1988","Oilseed rape",0.3
"1495","State","1989","Oilseed rape",4.5
"1496","Midlands and East","1989","Oilseed rape",3.7
"1497","North West","1989","Oilseed rape",0
"1498","West","1989","Oilseed rape",0
"1499","South-East (IRL)","1989","Oilseed rape",0.4
"1500","South-West (IRL)","1989","Oilseed rape",0.3
"1501","State","1990","Oilseed rape",5.4
"1502","Midlands and East","1990","Oilseed rape",4.4
"1503","North West","1990","Oilseed rape",0
"1504","West","1990","Oilseed rape",0.1
"1505","South-East (IRL)","1990","Oilseed rape",0.5
"1506","South-West (IRL)","1990","Oilseed rape",0.4
"1507","State","1991","Oilseed rape",6.2
"1508","Midlands and East","1991","Oilseed rape",5.1
"1509","North West","1991","Oilseed rape",0.2
"1510","West","1991","Oilseed rape",0
"1511","South-East (IRL)","1991","Oilseed rape",0.6
"1512","South-West (IRL)","1991","Oilseed rape",0.4
"1513","State","1992","Oilseed rape",5.9
"1514","Midlands and East","1992","Oilseed rape",4.9
"1515","North West","1992","Oilseed rape",0.2
"1516","West","1992","Oilseed rape",0
"1517","South-East (IRL)","1992","Oilseed rape",0.5
"1518","South-West (IRL)","1992","Oilseed rape",0.4
"1519","State","1993","Oilseed rape",3.4
"1520","Midlands and East","1993","Oilseed rape",2.7
"1521","North West","1993","Oilseed rape",0
"1522","West","1993","Oilseed rape",0
"1523","South-East (IRL)","1993","Oilseed rape",0.3
"1524","South-West (IRL)","1993","Oilseed rape",0.3
"1525","State","1994","Oilseed rape",6.4
"1526","Midlands and East","1994","Oilseed rape",5.5
"1527","North West","1994","Oilseed rape",0.1
"1528","West","1994","Oilseed rape",0
"1529","South-East (IRL)","1994","Oilseed rape",0.6
"1530","South-West (IRL)","1994","Oilseed rape",0.2
"1531","State","1995","Oilseed rape",4.1
"1532","Midlands and East","1995","Oilseed rape",3.4
"1533","North West","1995","Oilseed rape",0.1
"1534","West","1995","Oilseed rape",0.1
"1535","South-East (IRL)","1995","Oilseed rape",0.5
"1536","South-West (IRL)","1995","Oilseed rape",0.1
"1537","State","1996","Oilseed rape",3.5
"1538","Midlands and East","1996","Oilseed rape",2.9
"1539","North West","1996","Oilseed rape",0
"1540","West","1996","Oilseed rape",0
"1541","South-East (IRL)","1996","Oilseed rape",0.4
"1542","South-West (IRL)","1996","Oilseed rape",0
"1543","State","1997","Oilseed rape",4.4
"1544","Midlands and East","1997","Oilseed rape",3.6
"1545","North West","1997","Oilseed rape",0
"1546","West","1997","Oilseed rape",0.1
"1547","South-East (IRL)","1997","Oilseed rape",0.5
"1548","South-West (IRL)","1997","Oilseed rape",0.2
"1549","State","1998","Oilseed rape",5.6
"1550","Midlands and East","1998","Oilseed rape",4.8
"1551","North West","1998","Oilseed rape",0
"1552","West","1998","Oilseed rape",0
"1553","South-East (IRL)","1998","Oilseed rape",0.7
"1554","South-West (IRL)","1998","Oilseed rape",0.1
"1555","State","1999","Oilseed rape",2.6
"1556","Midlands and East","1999","Oilseed rape",2
"1557","North West","1999","Oilseed rape",0
"1558","West","1999","Oilseed rape",0
"1559","South-East (IRL)","1999","Oilseed rape",0.6
"1560","South-West (IRL)","1999","Oilseed rape",0
"1561","State","1980","Arable silage",NA
"1562","Midlands and East","1980","Arable silage",NA
"1563","North West","1980","Arable silage",NA
"1564","West","1980","Arable silage",NA
"1565","South-East (IRL)","1980","Arable silage",NA
"1566","South-West (IRL)","1980","Arable silage",NA
"1567","State","1981","Arable silage",NA
"1568","Midlands and East","1981","Arable silage",NA
"1569","North West","1981","Arable silage",NA
"1570","West","1981","Arable silage",NA
"1571","South-East (IRL)","1981","Arable silage",NA
"1572","South-West (IRL)","1981","Arable silage",NA
"1573","State","1982","Arable silage",NA
"1574","Midlands and East","1982","Arable silage",NA
"1575","North West","1982","Arable silage",NA
"1576","West","1982","Arable silage",NA
"1577","South-East (IRL)","1982","Arable silage",NA
"1578","South-West (IRL)","1982","Arable silage",NA
"1579","State","1983","Arable silage",NA
"1580","Midlands and East","1983","Arable silage",NA
"1581","North West","1983","Arable silage",NA
"1582","West","1983","Arable silage",NA
"1583","South-East (IRL)","1983","Arable silage",NA
"1584","South-West (IRL)","1983","Arable silage",NA
"1585","State","1984","Arable silage",NA
"1586","Midlands and East","1984","Arable silage",NA
"1587","North West","1984","Arable silage",NA
"1588","West","1984","Arable silage",NA
"1589","South-East (IRL)","1984","Arable silage",NA
"1590","South-West (IRL)","1984","Arable silage",NA
"1591","State","1985","Arable silage",NA
"1592","Midlands and East","1985","Arable silage",NA
"1593","North West","1985","Arable silage",NA
"1594","West","1985","Arable silage",NA
"1595","South-East (IRL)","1985","Arable silage",NA
"1596","South-West (IRL)","1985","Arable silage",NA
"1597","State","1986","Arable silage",NA
"1598","Midlands and East","1986","Arable silage",NA
"1599","North West","1986","Arable silage",NA
"1600","West","1986","Arable silage",NA
"1601","South-East (IRL)","1986","Arable silage",NA
"1602","South-West (IRL)","1986","Arable silage",NA
"1603","State","1987","Arable silage",NA
"1604","Midlands and East","1987","Arable silage",NA
"1605","North West","1987","Arable silage",NA
"1606","West","1987","Arable silage",NA
"1607","South-East (IRL)","1987","Arable silage",NA
