"","Statistic","Year","Type.of.Crop","value"
"86","Crop Yield per Hectare (Tonnes)","1990","Winter wheat",9
"87","Crop Yield (000 Tonnes)","1990","Winter wheat",506
"88","Area under Crops (000 Hectares)","1991","Winter wheat",66.9
"89","Crop Yield per Hectare (Tonnes)","1991","Winter wheat",8.2
"90","Crop Yield (000 Tonnes)","1991","Winter wheat",548
"91","Area under Crops (000 Hectares)","1992","Winter wheat",73.3
"92","Crop Yield per Hectare (Tonnes)","1992","Winter wheat",8
"93","Crop Yield (000 Tonnes)","1992","Winter wheat",587
"94","Area under Crops (000 Hectares)","1993","Winter wheat",57.2
"95","Crop Yield per Hectare (Tonnes)","1993","Winter wheat",6.7
"96","Crop Yield (000 Tonnes)","1993","Winter wheat",383
"97","Area under Crops (000 Hectares)","1994","Winter wheat",56.2
"98","Crop Yield per Hectare (Tonnes)","1994","Winter wheat",8.1
"99","Crop Yield (000 Tonnes)","1994","Winter wheat",458
"100","Area under Crops (000 Hectares)","1995","Winter wheat",51.8
"101","Crop Yield per Hectare (Tonnes)","1995","Winter wheat",8.7
"102","Crop Yield (000 Tonnes)","1995","Winter wheat",451
"103","Area under Crops (000 Hectares)","1996","Winter wheat",67.2
"104","Crop Yield per Hectare (Tonnes)","1996","Winter wheat",9.4
"105","Crop Yield (000 Tonnes)","1996","Winter wheat",632.5
"106","Area under Crops (000 Hectares)","1997","Winter wheat",70.2
"107","Crop Yield per Hectare (Tonnes)","1997","Winter wheat",8
"108","Crop Yield (000 Tonnes)","1997","Winter wheat",563.3
"109","Area under Crops (000 Hectares)","1998","Winter wheat",65.5
"110","Crop Yield per Hectare (Tonnes)","1998","Winter wheat",8.1
"111","Crop Yield (000 Tonnes)","1998","Winter wheat",531.9
"112","Area under Crops (000 Hectares)","1999","Winter wheat",40.6
"113","Crop Yield per Hectare (Tonnes)","1999","Winter wheat",9.4
"114","Crop Yield (000 Tonnes)","1999","Winter wheat",382.1
"115","Area under Crops (000 Hectares)","2000","Winter wheat",58.8
"116","Crop Yield per Hectare (Tonnes)","2000","Winter wheat",9.9
"117","Crop Yield (000 Tonnes)","2000","Winter wheat",582.3
"118","Area under Crops (000 Hectares)","2001","Winter wheat",49.9
"119","Crop Yield per Hectare (Tonnes)","2001","Winter wheat",9.8
"120","Crop Yield (000 Tonnes)","2001","Winter wheat",489.2
"121","Area under Crops (000 Hectares)","2002","Winter wheat",80
"122","Crop Yield per Hectare (Tonnes)","2002","Winter wheat",8.8
"123","Crop Yield (000 Tonnes)","2002","Winter wheat",703.6
"124","Area under Crops (000 Hectares)","2003","Winter wheat",60.6
