"","Statistic","Year","Type.of.Crop","value"
"430","Area under Crops (000 Hectares)","1990","Total barley",206.6
"431","Crop Yield per Hectare (Tonnes)","1990","Total barley",5.9
"432","Crop Yield (000 Tonnes)","1990","Total barley",1223
"433","Area under Crops (000 Hectares)","1991","Total barley",193.4
"434","Crop Yield per Hectare (Tonnes)","1991","Total barley",5.9
"435","Crop Yield (000 Tonnes)","1991","Total barley",1148
"436","Area under Crops (000 Hectares)","1992","Total barley",184.4
"437","Crop Yield per Hectare (Tonnes)","1992","Total barley",6.3
"438","Crop Yield (000 Tonnes)","1992","Total barley",1168
"439","Area under Crops (000 Hectares)","1993","Total barley",180.8
"440","Crop Yield per Hectare (Tonnes)","1993","Total barley",5.3
"441","Crop Yield (000 Tonnes)","1993","Total barley",958
"442","Area under Crops (000 Hectares)","1994","Total barley",169.7
"443","Crop Yield per Hectare (Tonnes)","1994","Total barley",5.4
"444","Crop Yield (000 Tonnes)","1994","Total barley",910
"445","Area under Crops (000 Hectares)","1995","Total barley",178.6
"446","Crop Yield per Hectare (Tonnes)","1995","Total barley",6.1
"447","Crop Yield (000 Tonnes)","1995","Total barley",1084
"448","Area under Crops (000 Hectares)","1996","Total barley",181.4
"449","Crop Yield per Hectare (Tonnes)","1996","Total barley",6.8
"450","Crop Yield (000 Tonnes)","1996","Total barley",1224.6
"451","Area under Crops (000 Hectares)","1997","Total barley",189.8
"452","Crop Yield per Hectare (Tonnes)","1997","Total barley",5.7
"453","Crop Yield (000 Tonnes)","1997","Total barley",1087.2
"454","Area under Crops (000 Hectares)","1998","Total barley",190.7
"455","Crop Yield per Hectare (Tonnes)","1998","Total barley",5.6
"456","Crop Yield (000 Tonnes)","1998","Total barley",1072.9
"457","Area under Crops (000 Hectares)","1999","Total barley",192
"458","Crop Yield per Hectare (Tonnes)","1999","Total barley",6.7
"459","Crop Yield (000 Tonnes)","1999","Total barley",1277.5
"460","Area under Crops (000 Hectares)","2000","Total barley",182.3
"461","Crop Yield per Hectare (Tonnes)","2000","Total barley",7.2
"462","Crop Yield (000 Tonnes)","2000","Total barley",1309.9
"463","Area under Crops (000 Hectares)","2001","Total barley",182
"464","Crop Yield per Hectare (Tonnes)","2001","Total barley",7
"465","Crop Yield (000 Tonnes)","2001","Total barley",1277.2
"466","Area under Crops (000 Hectares)","2002","Total barley",176
"467","Crop Yield per Hectare (Tonnes)","2002","Total barley",5.5
"468","Crop Yield (000 Tonnes)","2002","Total barley",962.8
"469","Area under Crops (000 Hectares)","2003","Total barley",183.1
"470","Crop Yield per Hectare (Tonnes)","2003","Total barley",6.5
"471","Crop Yield (000 Tonnes)","2003","Total barley",1197.7
"472","Area under Crops (000 Hectares)","2004","Total barley",183.7
"473","Crop Yield per Hectare (Tonnes)","2004","Total barley",7.3
"474","Crop Yield (000 Tonnes)","2004","Total barley",1326.6
"475","Area under Crops (000 Hectares)","2005","Total barley",164.4
"476","Crop Yield per Hectare (Tonnes)","2005","Total barley",6.2
"477","Crop Yield (000 Tonnes)","2005","Total barley",1024.4
"478","Area under Crops (000 Hectares)","2006","Total barley",167
"479","Crop Yield per Hectare (Tonnes)","2006","Total barley",6.8
"480","Crop Yield (000 Tonnes)","2006","Total barley",1136.9
"481","Area under Crops (000 Hectares)","2007","Total barley",167.5
"482","Crop Yield per Hectare (Tonnes)","2007","Total barley",6.7
"483","Crop Yield (000 Tonnes)","2007","Total barley",1124.5
"484","Area under Crops (000 Hectares)","1985","Winter barley",35.5
"485","Crop Yield per Hectare (Tonnes)","1985","Winter barley",5.2
"486","Crop Yield (000 Tonnes)","1985","Winter barley",185
"487","Area under Crops (000 Hectares)","1986","Winter barley",33.9
"488","Crop Yield per Hectare (Tonnes)","1986","Winter barley",5.2
"489","Crop Yield (000 Tonnes)","1986","Winter barley",177
"490","Area under Crops (000 Hectares)","1987","Winter barley",33.6
"491","Crop Yield per Hectare (Tonnes)","1987","Winter barley",6.3
"492","Crop Yield (000 Tonnes)","1987","Winter barley",211
"493","Area under Crops (000 Hectares)","1988","Winter barley",28
"494","Crop Yield per Hectare (Tonnes)","1988","Winter barley",6.4
"495","Crop Yield (000 Tonnes)","1988","Winter barley",179
"496","Area under Crops (000 Hectares)","1989","Winter barley",24.9
"497","Crop Yield per Hectare (Tonnes)","1989","Winter barley",6.6
"498","Crop Yield (000 Tonnes)","1989","Winter barley",163
"499","Area under Crops (000 Hectares)","1990","Winter barley",28.7
"500","Crop Yield per Hectare (Tonnes)","1990","Winter barley",7.7
"501","Crop Yield (000 Tonnes)","1990","Winter barley",221
"502","Area under Crops (000 Hectares)","1991","Winter barley",33.3
"503","Crop Yield per Hectare (Tonnes)","1991","Winter barley",7.9
"504","Crop Yield (000 Tonnes)","1991","Winter barley",262
"505","Area under Crops (000 Hectares)","1992","Winter barley",40.3
"506","Crop Yield per Hectare (Tonnes)","1992","Winter barley",7.6
"507","Crop Yield (000 Tonnes)","1992","Winter barley",306
"508","Area under Crops (000 Hectares)","1993","Winter barley",39.4
"509","Crop Yield per Hectare (Tonnes)","1993","Winter barley",6.1
"510","Crop Yield (000 Tonnes)","1993","Winter barley",242
"511","Area under Crops (000 Hectares)","1994","Winter barley",31.7
"512","Crop Yield per Hectare (Tonnes)","1994","Winter barley",6.8
"513","Crop Yield (000 Tonnes)","1994","Winter barley",216
"514","Area under Crops (000 Hectares)","1995","Winter barley",37.1
"515","Crop Yield per Hectare (Tonnes)","1995","Winter barley",6.8
"516","Crop Yield (000 Tonnes)","1995","Winter barley",251
"517","Area under Crops (000 Hectares)","1996","Winter barley",40.9
"518","Crop Yield per Hectare (Tonnes)","1996","Winter barley",8
"519","Crop Yield (000 Tonnes)","1996","Winter barley",327.9
"520","Area under Crops (000 Hectares)","1997","Winter barley",41.1
"521","Crop Yield per Hectare (Tonnes)","1997","Winter barley",7
"522","Crop Yield (000 Tonnes)","1997","Winter barley",287.4
"523","Area under Crops (000 Hectares)","1998","Winter barley",39
"524","Crop Yield per Hectare (Tonnes)","1998","Winter barley",6.4
"525","Crop Yield (000 Tonnes)","1998","Winter barley",249.9
"526","Area under Crops (000 Hectares)","1999","Winter barley",26.2
"527","Crop Yield per Hectare (Tonnes)","1999","Winter barley",7.6
"528","Crop Yield (000 Tonnes)","1999","Winter barley",200.5
"529","Area under Crops (000 Hectares)","2000","Winter barley",24.1
"530","Crop Yield per Hectare (Tonnes)","2000","Winter barley",8.4
"531","Crop Yield (000 Tonnes)","2000","Winter barley",202.6
"532","Area under Crops (000 Hectares)","2001","Winter barley",19.6
"533","Crop Yield per Hectare (Tonnes)","2001","Winter barley",8
"534","Crop Yield (000 Tonnes)","2001","Winter barley",156.7
"535","Area under Crops (000 Hectares)","2002","Winter barley",23.2
"536","Crop Yield per Hectare (Tonnes)","2002","Winter barley",6.6
"537","Crop Yield (000 Tonnes)","2002","Winter barley",152.8
"538","Area under Crops (000 Hectares)","2003","Winter barley",19.8
"539","Crop Yield per Hectare (Tonnes)","2003","Winter barley",7.7
"540","Crop Yield (000 Tonnes)","2003","Winter barley",152.8
"541","Area under Crops (000 Hectares)","2004","Winter barley",20.5
"542","Crop Yield per Hectare (Tonnes)","2004","Winter barley",8.2
"543","Crop Yield (000 Tonnes)","2004","Winter barley",168.2
"544","Area under Crops (000 Hectares)","2005","Winter barley",17
"545","Crop Yield per Hectare (Tonnes)","2005","Winter barley",7.4
"546","Crop Yield (000 Tonnes)","2005","Winter barley",126
"547","Area under Crops (000 Hectares)","2006","Winter barley",15.1
"548","Crop Yield per Hectare (Tonnes)","2006","Winter barley",7.9
"549","Crop Yield (000 Tonnes)","2006","Winter barley",119.3
"550","Area under Crops (000 Hectares)","2007","Winter barley",18.7
"551","Crop Yield per Hectare (Tonnes)","2007","Winter barley",7.6
"552","Crop Yield (000 Tonnes)","2007","Winter barley",142.4
"553","Area under Crops (000 Hectares)","1985","Spring barley",248.1
"554","Crop Yield per Hectare (Tonnes)","1985","Spring barley",4.8
"555","Crop Yield (000 Tonnes)","1985","Spring barley",1179
"556","Area under Crops (000 Hectares)","1986","Spring barley",231.1
"557","Crop Yield per Hectare (Tonnes)","1986","Spring barley",5
"558","Crop Yield (000 Tonnes)","1986","Spring barley",1167
"559","Area under Crops (000 Hectares)","1987","Spring barley",221.7
"560","Crop Yield per Hectare (Tonnes)","1987","Spring barley",5.7
"561","Crop Yield (000 Tonnes)","1987","Spring barley",1274
"562","Area under Crops (000 Hectares)","1988","Spring barley",214.5
"563","Crop Yield per Hectare (Tonnes)","1988","Spring barley",6
"564","Crop Yield (000 Tonnes)","1988","Spring barley",1297
"565","Area under Crops (000 Hectares)","1989","Spring barley",211.6
"566","Crop Yield per Hectare (Tonnes)","1989","Spring barley",5.5
"567","Crop Yield (000 Tonnes)","1989","Spring barley",1162
"568","Area under Crops (000 Hectares)","1990","Spring barley",178
"569","Crop Yield per Hectare (Tonnes)","1990","Spring barley",5.6
"570","Crop Yield (000 Tonnes)","1990","Spring barley",1002
"571","Area under Crops (000 Hectares)","1991","Spring barley",160.1
"572","Crop Yield per Hectare (Tonnes)","1991","Spring barley",5.5
"573","Crop Yield (000 Tonnes)","1991","Spring barley",886
"574","Area under Crops (000 Hectares)","1992","Spring barley",144
"575","Crop Yield per Hectare (Tonnes)","1992","Spring barley",6
"576","Crop Yield (000 Tonnes)","1992","Spring barley",862
"577","Area under Crops (000 Hectares)","1993","Spring barley",141.4
"578","Crop Yield per Hectare (Tonnes)","1993","Spring barley",5.1
"579","Crop Yield (000 Tonnes)","1993","Spring barley",716
"580","Area under Crops (000 Hectares)","1994","Spring barley",138
"581","Crop Yield per Hectare (Tonnes)","1994","Spring barley",5
"582","Crop Yield (000 Tonnes)","1994","Spring barley",693
"583","Area under Crops (000 Hectares)","1995","Spring barley",141.4
"584","Crop Yield per Hectare (Tonnes)","1995","Spring barley",5.9
"585","Crop Yield (000 Tonnes)","1995","Spring barley",833
"586","Area under Crops (000 Hectares)","1996","Spring barley",140.5
"587","Crop Yield per Hectare (Tonnes)","1996","Spring barley",6.4
"588","Crop Yield (000 Tonnes)","1996","Spring barley",896.8
"589","Area under Crops (000 Hectares)","1997","Spring barley",148.6
"590","Crop Yield per Hectare (Tonnes)","1997","Spring barley",5.4
"591","Crop Yield (000 Tonnes)","1997","Spring barley",799.8
"592","Area under Crops (000 Hectares)","1998","Spring barley",151.7
"593","Crop Yield per Hectare (Tonnes)","1998","Spring barley",5.4
"594","Crop Yield (000 Tonnes)","1998","Spring barley",823.1
"595","Area under Crops (000 Hectares)","1999","Spring barley",165.8
"596","Crop Yield per Hectare (Tonnes)","1999","Spring barley",6.5
"597","Crop Yield (000 Tonnes)","1999","Spring barley",1077
"598","Area under Crops (000 Hectares)","2000","Spring barley",158.2
"599","Crop Yield per Hectare (Tonnes)","2000","Spring barley",7
"600","Crop Yield (000 Tonnes)","2000","Spring barley",1107.3
"601","Area under Crops (000 Hectares)","2001","Spring barley",162.4
"602","Crop Yield per Hectare (Tonnes)","2001","Spring barley",6.9
"603","Crop Yield (000 Tonnes)","2001","Spring barley",1120.5
"604","Area under Crops (000 Hectares)","2002","Spring barley",152.8
"605","Crop Yield per Hectare (Tonnes)","2002","Spring barley",5.3
"606","Crop Yield (000 Tonnes)","2002","Spring barley",810
"607","Area under Crops (000 Hectares)","2003","Spring barley",163.3
"608","Crop Yield per Hectare (Tonnes)","2003","Spring barley",6.4
"609","Crop Yield (000 Tonnes)","2003","Spring barley",1044.9
"610","Area under Crops (000 Hectares)","2004","Spring barley",163.2
"611","Crop Yield per Hectare (Tonnes)","2004","Spring barley",7.1
"612","Crop Yield (000 Tonnes)","2004","Spring barley",1158.5
"613","Area under Crops (000 Hectares)","2005","Spring barley",147.4
"614","Crop Yield per Hectare (Tonnes)","2005","Spring barley",6.1
"615","Crop Yield (000 Tonnes)","2005","Spring barley",899.2
"616","Area under Crops (000 Hectares)","2006","Spring barley",151.9
"617","Crop Yield per Hectare (Tonnes)","2006","Spring barley",6.7
"618","Crop Yield (000 Tonnes)","2006","Spring barley",1017.6
"619","Area under Crops (000 Hectares)","2007","Spring barley",148.8
"620","Crop Yield per Hectare (Tonnes)","2007","Spring barley",6.6
"621","Crop Yield (000 Tonnes)","2007","Spring barley",982.2
"622","Area under Crops (000 Hectares)","1985","Total wheat, oats and barley",386.2
"623","Crop Yield per Hectare (Tonnes)","1985","Total wheat, oats and barley",5.1
"624","Crop Yield (000 Tonnes)","1985","Total wheat, oats and barley",1986
"625","Area under Crops (000 Hectares)","1986","Total wheat, oats and barley",362.6
"626","Crop Yield per Hectare (Tonnes)","1986","Total wheat, oats and barley",5.2
"627","Crop Yield (000 Tonnes)","1986","Total wheat, oats and barley",1880
"628","Area under Crops (000 Hectares)","1987","Total wheat, oats and barley",334.3
"629","Crop Yield per Hectare (Tonnes)","1987","Total wheat, oats and barley",6
"630","Crop Yield (000 Tonnes)","1987","Total wheat, oats and barley",2005
"631","Area under Crops (000 Hectares)","1988","Total wheat, oats and barley",323.6
"632","Crop Yield per Hectare (Tonnes)","1988","Total wheat, oats and barley",6.4
"633","Crop Yield (000 Tonnes)","1988","Total wheat, oats and barley",2077
"634","Area under Crops (000 Hectares)","1989","Total wheat, oats and barley",319.6
"635","Crop Yield per Hectare (Tonnes)","1989","Total wheat, oats and barley",6
"636","Crop Yield (000 Tonnes)","1989","Total wheat, oats and barley",1918
"637","Area under Crops (000 Hectares)","1990","Total wheat, oats and barley",298.5
"638","Crop Yield per Hectare (Tonnes)","1990","Total wheat, oats and barley",6.6
"639","Crop Yield (000 Tonnes)","1990","Total wheat, oats and barley",1964
"640","Area under Crops (000 Hectares)","1991","Total wheat, oats and barley",299.6
"641","Crop Yield per Hectare (Tonnes)","1991","Total wheat, oats and barley",6.6
"642","Crop Yield (000 Tonnes)","1991","Total wheat, oats and barley",1965
"643","Area under Crops (000 Hectares)","1992","Total wheat, oats and barley",295.1
"644","Crop Yield per Hectare (Tonnes)","1992","Total wheat, oats and barley",6.8
"645","Crop Yield (000 Tonnes)","1992","Total wheat, oats and barley",2018
"646","Area under Crops (000 Hectares)","1993","Total wheat, oats and barley",280.3
"647","Crop Yield per Hectare (Tonnes)","1993","Total wheat, oats and barley",5.8
"648","Crop Yield (000 Tonnes)","1993","Total wheat, oats and barley",1626
"649","Area under Crops (000 Hectares)","1994","Total wheat, oats and barley",264.7
"650","Crop Yield per Hectare (Tonnes)","1994","Total wheat, oats and barley",6.1
"651","Crop Yield (000 Tonnes)","1994","Total wheat, oats and barley",1609
"652","Area under Crops (000 Hectares)","1995","Total wheat, oats and barley",269.2
"653","Crop Yield per Hectare (Tonnes)","1995","Total wheat, oats and barley",6.7
"654","Crop Yield (000 Tonnes)","1995","Total wheat, oats and barley",1796
"655","Area under Crops (000 Hectares)","1996","Total wheat, oats and barley",288
"656","Crop Yield per Hectare (Tonnes)","1996","Total wheat, oats and barley",7.4
"657","Crop Yield (000 Tonnes)","1996","Total wheat, oats and barley",2142
"658","Area under Crops (000 Hectares)","1997","Total wheat, oats and barley",304.3
"659","Crop Yield per Hectare (Tonnes)","1997","Total wheat, oats and barley",6.4
"660","Crop Yield (000 Tonnes)","1997","Total wheat, oats and barley",1943.4
"661","Area under Crops (000 Hectares)","1998","Total wheat, oats and barley",294
"662","Crop Yield per Hectare (Tonnes)","1998","Total wheat, oats and barley",6.3
"663","Crop Yield (000 Tonnes)","1998","Total wheat, oats and barley",1865
"664","Area under Crops (000 Hectares)","1999","Total wheat, oats and barley",280.3
"665","Crop Yield per Hectare (Tonnes)","1999","Total wheat, oats and barley",7.2
"666","Crop Yield (000 Tonnes)","1999","Total wheat, oats and barley",2011.3
"667","Area under Crops (000 Hectares)","2000","Total wheat, oats and barley",277.1
"668","Crop Yield per Hectare (Tonnes)","2000","Total wheat, oats and barley",7.8
"669","Crop Yield (000 Tonnes)","2000","Total wheat, oats and barley",2173.9
"670","Area under Crops (000 Hectares)","2001","Total wheat, oats and barley",283.7
"671","Crop Yield per Hectare (Tonnes)","2001","Total wheat, oats and barley",7.6
"672","Crop Yield (000 Tonnes)","2001","Total wheat, oats and barley",2165.1
"673","Area under Crops (000 Hectares)","2002","Total wheat, oats and barley",297.5
"674","Crop Yield per Hectare (Tonnes)","2002","Total wheat, oats and barley",6.6
"675","Crop Yield (000 Tonnes)","2002","Total wheat, oats and barley",1963.6
"676","Area under Crops (000 Hectares)","2003","Total wheat, oats and barley",299.9
"677","Crop Yield per Hectare (Tonnes)","2003","Total wheat, oats and barley",7.2
"678","Crop Yield (000 Tonnes)","2003","Total wheat, oats and barley",2146.9
"679","Area under Crops (000 Hectares)","2004","Total wheat, oats and barley",306.4
"680","Crop Yield per Hectare (Tonnes)","2004","Total wheat, oats and barley",8.2
"681","Crop Yield (000 Tonnes)","2004","Total wheat, oats and barley",2500.9
"682","Area under Crops (000 Hectares)","2005","Total wheat, oats and barley",276.5
"683","Crop Yield per Hectare (Tonnes)","2005","Total wheat, oats and barley",7
"684","Crop Yield (000 Tonnes)","2005","Total wheat, oats and barley",1938
"685","Area under Crops (000 Hectares)","2006","Total wheat, oats and barley",274.9
"686","Crop Yield per Hectare (Tonnes)","2006","Total wheat, oats and barley",7.6
"687","Crop Yield (000 Tonnes)","2006","Total wheat, oats and barley",2083.1
"688","Area under Crops (000 Hectares)","2007","Total wheat, oats and barley",273.1
"689","Crop Yield per Hectare (Tonnes)","2007","Total wheat, oats and barley",7.3
"690","Crop Yield (000 Tonnes)","2007","Total wheat, oats and barley",1997
"691","Area under Crops (000 Hectares)","1985","Beans and peas",2.3
"692","Crop Yield per Hectare (Tonnes)","1985","Beans and peas",0
"693","Crop Yield (000 Tonnes)","1985","Beans and peas",0
"694","Area under Crops (000 Hectares)","1986","Beans and peas",2.4
"695","Crop Yield per Hectare (Tonnes)","1986","Beans and peas",0
"696","Crop Yield (000 Tonnes)","1986","Beans and peas",0
"697","Area under Crops (000 Hectares)","1987","Beans and peas",2.3
"698","Crop Yield per Hectare (Tonnes)","1987","Beans and peas",0
"699","Crop Yield (000 Tonnes)","1987","Beans and peas",0
"700","Area under Crops (000 Hectares)","1988","Beans and peas",2.6
"701","Crop Yield per Hectare (Tonnes)","1988","Beans and peas",0
"702","Crop Yield (000 Tonnes)","1988","Beans and peas",0
"703","Area under Crops (000 Hectares)","1989","Beans and peas",2.7
"704","Crop Yield per Hectare (Tonnes)","1989","Beans and peas",0
"705","Crop Yield (000 Tonnes)","1989","Beans and peas",0
"706","Area under Crops (000 Hectares)","1990","Beans and peas",3
"707","Crop Yield per Hectare (Tonnes)","1990","Beans and peas",4.9
"708","Crop Yield (000 Tonnes)","1990","Beans and peas",15
"709","Area under Crops (000 Hectares)","1991","Beans and peas",2.8
"710","Crop Yield per Hectare (Tonnes)","1991","Beans and peas",4.7
"711","Crop Yield (000 Tonnes)","1991","Beans and peas",13
"712","Area under Crops (000 Hectares)","1992","Beans and peas",2.7
"713","Crop Yield per Hectare (Tonnes)","1992","Beans and peas",5
"714","Crop Yield (000 Tonnes)","1992","Beans and peas",13
"715","Area under Crops (000 Hectares)","1993","Beans and peas",6.1
"716","Crop Yield per Hectare (Tonnes)","1993","Beans and peas",4.3
"717","Crop Yield (000 Tonnes)","1993","Beans and peas",26
"718","Area under Crops (000 Hectares)","1994","Beans and peas",5.6
"719","Crop Yield per Hectare (Tonnes)","1994","Beans and peas",4.5
"720","Crop Yield (000 Tonnes)","1994","Beans and peas",25
"721","Area under Crops (000 Hectares)","1995","Beans and peas",4.8
"722","Crop Yield per Hectare (Tonnes)","1995","Beans and peas",4
"723","Crop Yield (000 Tonnes)","1995","Beans and peas",19
"724","Area under Crops (000 Hectares)","1996","Beans and peas",4.8
"725","Crop Yield per Hectare (Tonnes)","1996","Beans and peas",4.5
"726","Crop Yield (000 Tonnes)","1996","Beans and peas",21.5
"727","Area under Crops (000 Hectares)","1997","Beans and peas",4.8
"728","Crop Yield per Hectare (Tonnes)","1997","Beans and peas",4
"729","Crop Yield (000 Tonnes)","1997","Beans and peas",19.4
"730","Area under Crops (000 Hectares)","1998","Beans and peas",6.5
"731","Crop Yield per Hectare (Tonnes)","1998","Beans and peas",5
"732","Crop Yield (000 Tonnes)","1998","Beans and peas",32.4
"733","Area under Crops (000 Hectares)","1999","Beans and peas",4.1
"734","Crop Yield per Hectare (Tonnes)","1999","Beans and peas",4.5
"735","Crop Yield (000 Tonnes)","1999","Beans and peas",18.4
"736","Area under Crops (000 Hectares)","2000","Beans and peas",1.5
"737","Crop Yield per Hectare (Tonnes)","2000","Beans and peas",5.1
"738","Crop Yield (000 Tonnes)","2000","Beans and peas",7.7
"739","Area under Crops (000 Hectares)","2001","Beans and peas",1.9
"740","Crop Yield per Hectare (Tonnes)","2001","Beans and peas",4.7
"741","Crop Yield (000 Tonnes)","2001","Beans and peas",8.9
"742","Area under Crops (000 Hectares)","2002","Beans and peas",1.7
"743","Crop Yield per Hectare (Tonnes)","2002","Beans and peas",4.5
"744","Crop Yield (000 Tonnes)","2002","Beans and peas",7.5
"745","Area under Crops (000 Hectares)","2003","Beans and peas",2.9
"746","Crop Yield per Hectare (Tonnes)","2003","Beans and peas",4.8
"747","Crop Yield (000 Tonnes)","2003","Beans and peas",13.7
"748","Area under Crops (000 Hectares)","2004","Beans and peas",2.7
"749","Crop Yield per Hectare (Tonnes)","2004","Beans and peas",5.4
"750","Crop Yield (000 Tonnes)","2004","Beans and peas",14.4
"751","Area under Crops (000 Hectares)","2005","Beans and peas",3.7
"752","Crop Yield per Hectare (Tonnes)","2005","Beans and peas",5.1
"753","Crop Yield (000 Tonnes)","2005","Beans and peas",18.9
"754","Area under Crops (000 Hectares)","2006","Beans and peas",4.3
"755","Crop Yield per Hectare (Tonnes)","2006","Beans and peas",4.7
"756","Crop Yield (000 Tonnes)","2006","Beans and peas",20
"757","Area under Crops (000 Hectares)","2007","Beans and peas",2.9
"758","Crop Yield per Hectare (Tonnes)","2007","Beans and peas",4.4
"759","Crop Yield (000 Tonnes)","2007","Beans and peas",12.8
"760","Area under Crops (000 Hectares)","1985","Oilseed rape",0
"761","Crop Yield per Hectare (Tonnes)","1985","Oilseed rape",0
"762","Crop Yield (000 Tonnes)","1985","Oilseed rape",0
"763","Area under Crops (000 Hectares)","1986","Oilseed rape",0
"764","Crop Yield per Hectare (Tonnes)","1986","Oilseed rape",0
"765","Crop Yield (000 Tonnes)","1986","Oilseed rape",0
"766","Area under Crops (000 Hectares)","1987","Oilseed rape",0
"767","Crop Yield per Hectare (Tonnes)","1987","Oilseed rape",0
"768","Crop Yield (000 Tonnes)","1987","Oilseed rape",0
"769","Area under Crops (000 Hectares)","1988","Oilseed rape",4.7
"770","Crop Yield per Hectare (Tonnes)","1988","Oilseed rape",0
"771","Crop Yield (000 Tonnes)","1988","Oilseed rape",0
"772","Area under Crops (000 Hectares)","1989","Oilseed rape",4.5
"773","Crop Yield per Hectare (Tonnes)","1989","Oilseed rape",0
"774","Crop Yield (000 Tonnes)","1989","Oilseed rape",0
"775","Area under Crops (000 Hectares)","1990","Oilseed rape",5.4
"776","Crop Yield per Hectare (Tonnes)","1990","Oilseed rape",3.6
"777","Crop Yield (000 Tonnes)","1990","Oilseed rape",20
"778","Area under Crops (000 Hectares)","1991","Oilseed rape",6.2
"779","Crop Yield per Hectare (Tonnes)","1991","Oilseed rape",3.7
"780","Crop Yield (000 Tonnes)","1991","Oilseed rape",23
"781","Area under Crops (000 Hectares)","1992","Oilseed rape",5.9
"782","Crop Yield per Hectare (Tonnes)","1992","Oilseed rape",3.1
"783","Crop Yield (000 Tonnes)","1992","Oilseed rape",18
"784","Area under Crops (000 Hectares)","1993","Oilseed rape",3.4
"785","Crop Yield per Hectare (Tonnes)","1993","Oilseed rape",2.7
"786","Crop Yield (000 Tonnes)","1993","Oilseed rape",9
"787","Area under Crops (000 Hectares)","1994","Oilseed rape",6.4
"788","Crop Yield per Hectare (Tonnes)","1994","Oilseed rape",2.6
"789","Crop Yield (000 Tonnes)","1994","Oilseed rape",17
"790","Area under Crops (000 Hectares)","1995","Oilseed rape",4.1
"791","Crop Yield per Hectare (Tonnes)","1995","Oilseed rape",3.3
"792","Crop Yield (000 Tonnes)","1995","Oilseed rape",13
"793","Area under Crops (000 Hectares)","1996","Oilseed rape",3.5
"794","Crop Yield per Hectare (Tonnes)","1996","Oilseed rape",2.9
"795","Crop Yield (000 Tonnes)","1996","Oilseed rape",10.1
"796","Area under Crops (000 Hectares)","1997","Oilseed rape",4.4
"797","Crop Yield per Hectare (Tonnes)","1997","Oilseed rape",2.7
"798","Crop Yield (000 Tonnes)","1997","Oilseed rape",12
"799","Area under Crops (000 Hectares)","1998","Oilseed rape",5.6
"800","Crop Yield per Hectare (Tonnes)","1998","Oilseed rape",2.9
"801","Crop Yield (000 Tonnes)","1998","Oilseed rape",16.6
"802","Area under Crops (000 Hectares)","1999","Oilseed rape",2.6
"803","Crop Yield per Hectare (Tonnes)","1999","Oilseed rape",1.9
"804","Crop Yield (000 Tonnes)","1999","Oilseed rape",5.1
"805","Area under Crops (000 Hectares)","2000","Oilseed rape",2.7
"806","Crop Yield per Hectare (Tonnes)","2000","Oilseed rape",3.2
"807","Crop Yield (000 Tonnes)","2000","Oilseed rape",8.6
"808","Area under Crops (000 Hectares)","2001","Oilseed rape",2.4
"809","Crop Yield per Hectare (Tonnes)","2001","Oilseed rape",3
"810","Crop Yield (000 Tonnes)","2001","Oilseed rape",7.3
"811","Area under Crops (000 Hectares)","2002","Oilseed rape",2.2
"812","Crop Yield per Hectare (Tonnes)","2002","Oilseed rape",3.1
"813","Crop Yield (000 Tonnes)","2002","Oilseed rape",6.7
"814","Area under Crops (000 Hectares)","2003","Oilseed rape",2.3
"815","Crop Yield per Hectare (Tonnes)","2003","Oilseed rape",3.1
"816","Crop Yield (000 Tonnes)","2003","Oilseed rape",7.2
"817","Area under Crops (000 Hectares)","2004","Oilseed rape",2.2
"818","Crop Yield per Hectare (Tonnes)","2004","Oilseed rape",3
"819","Crop Yield (000 Tonnes)","2004","Oilseed rape",6.7
"820","Area under Crops (000 Hectares)","2005","Oilseed rape",3.7
"821","Crop Yield per Hectare (Tonnes)","2005","Oilseed rape",3.8
"822","Crop Yield (000 Tonnes)","2005","Oilseed rape",14.2
"823","Area under Crops (000 Hectares)","2006","Oilseed rape",5.1
"824","Crop Yield per Hectare (Tonnes)","2006","Oilseed rape",3.5
"825","Crop Yield (000 Tonnes)","2006","Oilseed rape",17.9
"826","Area under Crops (000 Hectares)","2007","Oilseed rape",8.2
"827","Crop Yield per Hectare (Tonnes)","2007","Oilseed rape",3.9
"828","Crop Yield (000 Tonnes)","2007","Oilseed rape",31.9
"829","Area under Crops (000 Hectares)","1985","Potatoes",32.1
"830","Crop Yield per Hectare (Tonnes)","1985","Potatoes",20.8
"831","Crop Yield (000 Tonnes)","1985","Potatoes",668
"832","Area under Crops (000 Hectares)","1986","Potatoes",29.5
"833","Crop Yield per Hectare (Tonnes)","1986","Potatoes",20.3
"834","Crop Yield (000 Tonnes)","1986","Potatoes",601
"835","Area under Crops (000 Hectares)","1987","Potatoes",29.2
"836","Crop Yield per Hectare (Tonnes)","1987","Potatoes",23
"837","Crop Yield (000 Tonnes)","1987","Potatoes",671
"838","Area under Crops (000 Hectares)","1988","Potatoes",27.1
"839","Crop Yield per Hectare (Tonnes)","1988","Potatoes",24.8
"840","Crop Yield (000 Tonnes)","1988","Potatoes",671
"841","Area under Crops (000 Hectares)","1989","Potatoes",24.7
"842","Crop Yield per Hectare (Tonnes)","1989","Potatoes",22.4
"843","Crop Yield (000 Tonnes)","1989","Potatoes",554
"844","Area under Crops (000 Hectares)","1990","Potatoes",24.3
"845","Crop Yield per Hectare (Tonnes)","1990","Potatoes",24.9
