"","Statistic","Agricultural.Product","Month","value"
"57","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2000M01",90.002
"58","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2000M01",NA
"59","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2000M01",97.93
"60","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2000M01",NA
"61","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2000M01",84.104
"62","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2000M01",NA
"63","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2000M01",90.066
"64","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2000M01",NA
"65","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2000M01",88.465
"66","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2000M01",NA
"67","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2000M01",90.244
"68","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2000M01",NA
"69","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2000M01",92.239
"70","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2000M01",NA
"71","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2000M01",90.451
"72","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2000M01",NA
"73","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2000M01",89.615
"74","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2000M01",NA
"75","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2000M01",89.954
"76","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2000M01",NA
"77","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2000M01",90.244
"78","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2000M01",NA
"79","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2000M01",74.749
"80","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2000M01",NA
"81","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2000M01",76.071
"82","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2000M01",NA
"83","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2000M01",90.878
"84","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2000M01",NA
"85","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2000M02",94.955
"86","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Agricultural output price index","2000M02",93.923
"87","Agricultural Input and Output Price Indices (Base 2005=100)","Crop output","2000M02",85.77
"88","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Crop output","2000M02",NA
"89","Agricultural Input and Output Price Indices (Base 2005=100)","Cereals including seeds","2000M02",108.355
"90","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Cereals including seeds","2000M02",NA
"91","Agricultural Input and Output Price Indices (Base 2005=100)","Vegetables","2000M02",84.721
"92","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Vegetables","2000M02",84.593
"93","Agricultural Input and Output Price Indices (Base 2005=100)","Potatoes including seeds","2000M02",44.906
"94","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Potatoes including seeds","2000M02",46.894
"95","Agricultural Input and Output Price Indices (Base 2005=100)","Animal output","2000M02",96.649
"96","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animal output","2000M02",NA
"97","Agricultural Input and Output Price Indices (Base 2005=100)","Animals","2000M02",91.207
"98","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Animals","2000M02",NA
"99","Agricultural Input and Output Price Indices (Base 2005=100)","Cattle","2000M02",89.979
