"","Year","Agricultural.Product","value"
"73","2003","Total Livestock (Output)",97.7
"74","2004","Total Livestock (Output)",105.5
"75","2005","Total Livestock (Output)",105.6
"76","2006","Total Livestock (Output)",112
"77","2007","Total Livestock (Output)",110.416
"78","2008","Total Livestock (Output)",124.526
"79","2009","Total Livestock (Output)",114.235
"80","2010","Total Livestock (Output)",117.653
"81","1995","Total Cattle (Output)",120.7
"82","1996","Total Cattle (Output)",101.7
"83","1997","Total Cattle (Output)",96.3
"84","1998","Total Cattle (Output)",93.4
"85","1999","Total Cattle (Output)",89.1
"86","2000","Total Cattle (Output)",100
"87","2001","Total Cattle (Output)",92.3
"88","2002","Total Cattle (Output)",94.4
"89","2003","Total Cattle (Output)",93.6
"90","2004","Total Cattle (Output)",103.2
"91","2005","Total Cattle (Output)",105.6
"92","2006","Total Cattle (Output)",113.2
"93","2007","Total Cattle (Output)",111.025
"94","2008","Total Cattle (Output)",127.779
"95","2009","Total Cattle (Output)",114.396
"96","2010","Total Cattle (Output)",115.908
"97","1995","Finished Cattle (Output)",119.4
"98","1996","Finished Cattle (Output)",101
"99","1997","Finished Cattle (Output)",95.2
"100","1998","Finished Cattle (Output)",93.4
"101","1999","Finished Cattle (Output)",90.9
"102","2000","Finished Cattle (Output)",100
"103","2001","Finished Cattle (Output)",92.4
"104","2002","Finished Cattle (Output)",95.2
"105","2003","Finished Cattle (Output)",93.3
"106","2004","Finished Cattle (Output)",101.9
"107","2005","Finished Cattle (Output)",105.6
"108","2006","Finished Cattle (Output)",113.5
"109","2007","Finished Cattle (Output)",111.195
"110","2008","Finished Cattle (Output)",127.97
"111","2009","Finished Cattle (Output)",115.052
"112","2010","Finished Cattle (Output)",115.929
"113","1995","Cows for Slaughter (Output)",135.6
"114","1996","Cows for Slaughter (Output)",108.7
"115","1997","Cows for Slaughter (Output)",102.8
"116","1998","Cows for Slaughter (Output)",98.8
"117","1999","Cows for Slaughter (Output)",87.6
"118","2000","Cows for Slaughter (Output)",100
"119","2001","Cows for Slaughter (Output)",86.7
"120","2002","Cows for Slaughter (Output)",83.2
"121","2003","Cows for Slaughter (Output)",86.4
"122","2004","Cows for Slaughter (Output)",103.2
"123","2005","Cows for Slaughter (Output)",107.1
"124","2006","Cows for Slaughter (Output)",118
"125","2007","Cows for Slaughter (Output)",115.152
"126","2008","Cows for Slaughter (Output)",137.376
"127","2009","Cows for Slaughter (Output)",120.772
"128","2010","Cows for Slaughter (Output)",124.72
"129","1995","Store Cattle (Output)",114.7
"130","1996","Store Cattle (Output)",99.1
"131","1997","Store Cattle (Output)",95.9
"132","1998","Store Cattle (Output)",89.6
"133","1999","Store Cattle (Output)",83
"134","2000","Store Cattle (Output)",100
"135","2001","Store Cattle (Output)",97.2
"136","2002","Store Cattle (Output)",100.7
"137","2003","Store Cattle (Output)",102.8
"138","2004","Store Cattle (Output)",112.2
"139","2005","Store Cattle (Output)",104.5
"140","2006","Store Cattle (Output)",107.5
"141","2007","Store Cattle (Output)",108.719
"142","2008","Store Cattle (Output)",119.775
"143","2009","Store Cattle (Output)",105.862
"144","2010","Store Cattle (Output)",109.466
"145","1995","Sheep (Output)",89.8
"146","1996","Sheep (Output)",109.6
"147","1997","Sheep (Output)",112.4
"148","1998","Sheep (Output)",96.5
"149","1999","Sheep (Output)",88.7
"150","2000","Sheep (Output)",100
"151","2001","Sheep (Output)",142.8
"152","2002","Sheep (Output)",121.3
"153","2003","Sheep (Output)",119.5
"154","2004","Sheep (Output)",117.6
"155","2005","Sheep (Output)",109.6
"156","2006","Sheep (Output)",112.2
"157","2007","Sheep (Output)",114.868
"158","2008","Sheep (Output)",120.238
"159","2009","Sheep (Output)",122.052
"160","2010","Sheep (Output)",142.822
"161","1995","Pigs (Output)",110.7
"162","1996","Pigs (Output)",123.4
"163","1997","Pigs (Output)",109.9
"164","1998","Pigs (Output)",89
"165","1999","Pigs (Output)",80.6
"166","2000","Pigs (Output)",100
"167","2001","Pigs (Output)",114
"168","2002","Pigs (Output)",99.5
"169","2003","Pigs (Output)",95.4
"170","2004","Pigs (Output)",103.3
"171","2005","Pigs (Output)",101.5
"172","2006","Pigs (Output)",108.8
"173","2007","Pigs (Output)",103.044
"174","2008","Pigs (Output)",112.424
"175","2009","Pigs (Output)",101.857
"176","2010","Pigs (Output)",101.292
"177","1995","Poultry (Output)",104.4
"178","1996","Poultry (Output)",105.9
"179","1997","Poultry (Output)",108.3
"180","1998","Poultry (Output)",104
"181","1999","Poultry (Output)",98.6
"182","2000","Poultry (Output)",100
"183","2001","Poultry (Output)",103.1
"184","2002","Poultry (Output)",105.5
"185","2003","Poultry (Output)",105.6
"186","2004","Poultry (Output)",111.6
"187","2005","Poultry (Output)",108.1
"188","2006","Poultry (Output)",106.9
"189","2007","Poultry (Output)",112.197
"190","2008","Poultry (Output)",125.15
"191","2009","Poultry (Output)",125.313
"192","2010","Poultry (Output)",125.923
"193","1995","Total Crop Products (Output)",110.6
"194","1996","Total Crop Products (Output)",100.7
"195","1997","Total Crop Products (Output)",91.2
"196","1998","Total Crop Products (Output)",104.7
"197","1999","Total Crop Products (Output)",103.3
"198","2000","Total Crop Products (Output)",100
"199","2001","Total Crop Products (Output)",112.2
"200","2002","Total Crop Products (Output)",110.4
"201","2003","Total Crop Products (Output)",116
"202","2004","Total Crop Products (Output)",104.4
"203","2005","Total Crop Products (Output)",112
"204","2006","Total Crop Products (Output)",133.9
"205","2007","Total Crop Products (Output)",162.171
"206","2008","Total Crop Products (Output)",137.919
"207","2009","Total Crop Products (Output)",124.317
"208","2010","Total Crop Products (Output)",144.046
"209","1995","Cereals (Output)",130.6
"210","1996","Cereals (Output)",115.8
"211","1997","Cereals (Output)",94.8
"212","1998","Cereals (Output)",99
"213","1999","Cereals (Output)",104.8
"214","2000","Cereals (Output)",100
"215","2001","Cereals (Output)",104.4
"216","2002","Cereals (Output)",91.8
"217","2003","Cereals (Output)",109
"218","2004","Cereals (Output)",100.9
"219","2005","Cereals (Output)",96.6
"220","2006","Cereals (Output)",110.6
"221","2007","Cereals (Output)",185.42
"222","2008","Cereals (Output)",133.07
"223","2009","Cereals (Output)",94.6228
"224","2010","Cereals (Output)",150.229
"225","1995","Sugarbeet (Output)",100.6
"226","1996","Sugarbeet (Output)",96
"227","1997","Sugarbeet (Output)",97.6
"228","1998","Sugarbeet (Output)",98.6
"229","1999","Sugarbeet (Output)",99.5
"230","2000","Sugarbeet (Output)",100
"231","2001","Sugarbeet (Output)",102.8
"232","2002","Sugarbeet (Output)",103.8
"233","2003","Sugarbeet (Output)",103.8
"234","2004","Sugarbeet (Output)",103.8
"235","2005","Sugarbeet (Output)",103.7
"236","2006","Sugarbeet (Output)",NA
"237","2007","Sugarbeet (Output)",NA
"238","2008","Sugarbeet (Output)",NA
"239","2009","Sugarbeet (Output)",NA
"240","2010","Sugarbeet (Output)",NA
"241","1995","Potatoes (Output)",128.6
"242","1996","Potatoes (Output)",85.2
"243","1997","Potatoes (Output)",73
"244","1998","Potatoes (Output)",146.5
"245","1999","Potatoes (Output)",118.2
"246","2000","Potatoes (Output)",100
"247","2001","Potatoes (Output)",152
"248","2002","Potatoes (Output)",148
"249","2003","Potatoes (Output)",154.2
"250","2004","Potatoes (Output)",97.6
"251","2005","Potatoes (Output)",145.5
"252","2006","Potatoes (Output)",236.3
"253","2007","Potatoes (Output)",218.37
"254","2008","Potatoes (Output)",179.138
"255","2009","Potatoes (Output)",189.926
"256","2010","Potatoes (Output)",197.612
"257","1995","Vegetables (Output)",92.5
"258","1996","Vegetables (Output)",96.3
"259","1997","Vegetables (Output)",92.1
"260","1998","Vegetables (Output)",97.8
"261","1999","Vegetables (Output)",97.2
"262","2000","Vegetables (Output)",100
"263","2001","Vegetables (Output)",105.4
"264","2002","Vegetables (Output)",114.9
"265","2003","Vegetables (Output)",110
"266","2004","Vegetables (Output)",110.7
"267","2005","Vegetables (Output)",116.1
"268","2006","Vegetables (Output)",123.6
"269","2007","Vegetables (Output)",138.07
"270","2008","Vegetables (Output)",138.99
"271","2009","Vegetables (Output)",130.94
"272","2010","Vegetables (Output)",130.89
"273","1995","Total Index (Input)",93.4
"274","1996","Total Index (Input)",97.3
"275","1997","Total Index (Input)",95.3
"276","1998","Total Index (Input)",93
"277","1999","Total Index (Input)",94.1
"278","2000","Total Index (Input)",100
"279","2001","Total Index (Input)",104.8
"280","2002","Total Index (Input)",106.2
"281","2003","Total Index (Input)",108.8
"282","2004","Total Index (Input)",113.1
"283","2005","Total Index (Input)",118
"284","2006","Total Index (Input)",123.1
"285","2007","Total Index (Input)",131.266
"286","2008","Total Index (Input)",155.94
"287","2009","Total Index (Input)",142.218
"288","2010","Total Index (Input)",139.909
"289","1995","All Feeding Stuffs",103.4
"290","1996","All Feeding Stuffs",107.9
"291","1997","All Feeding Stuffs",103.5
"292","1998","All Feeding Stuffs",98.6
"293","1999","All Feeding Stuffs",97.4
"294","2000","All Feeding Stuffs",100
"295","2001","All Feeding Stuffs",105
"296","2002","All Feeding Stuffs",106.5
"297","2003","All Feeding Stuffs",106.5
"298","2004","All Feeding Stuffs",110.8
"299","2005","All Feeding Stuffs",109
"300","2006","All Feeding Stuffs",111.1
"301","2007","All Feeding Stuffs",125.56
"302","2008","All Feeding Stuffs",143.41
"303","2009","All Feeding Stuffs",130.854
"304","2010","All Feeding Stuffs",126.155
"305","1995","Straight Feeding Stuffs (Input)",106
"306","1996","Straight Feeding Stuffs (Input)",109.3
"307","1997","Straight Feeding Stuffs (Input)",104.9
"308","1998","Straight Feeding Stuffs (Input)",98.8
"309","1999","Straight Feeding Stuffs (Input)",97.1
"310","2000","Straight Feeding Stuffs (Input)",100
"311","2001","Straight Feeding Stuffs (Input)",102.1
"312","2002","Straight Feeding Stuffs (Input)",102.9
"313","2003","Straight Feeding Stuffs (Input)",103
"314","2004","Straight Feeding Stuffs (Input)",110.4
"315","2005","Straight Feeding Stuffs (Input)",110.3
"316","2006","Straight Feeding Stuffs (Input)",116.2
"317","2007","Straight Feeding Stuffs (Input)",134.342
"318","2008","Straight Feeding Stuffs (Input)",152.005
"319","2009","Straight Feeding Stuffs (Input)",133.816
"320","2010","Straight Feeding Stuffs (Input)",131.305
"321","1995","Compound Feeding Stuffs - Calf (Input)",108.3
"322","1996","Compound Feeding Stuffs - Calf (Input)",111.9
"323","1997","Compound Feeding Stuffs - Calf (Input)",107.7
"324","1998","Compound Feeding Stuffs - Calf (Input)",100.8
"325","1999","Compound Feeding Stuffs - Calf (Input)",97.9
"326","2000","Compound Feeding Stuffs - Calf (Input)",100
"327","2001","Compound Feeding Stuffs - Calf (Input)",103.9
"328","2002","Compound Feeding Stuffs - Calf (Input)",105.8
"329","2003","Compound Feeding Stuffs - Calf (Input)",106.8
"330","2004","Compound Feeding Stuffs - Calf (Input)",110.1
"331","2005","Compound Feeding Stuffs - Calf (Input)",106.4
"332","2006","Compound Feeding Stuffs - Calf (Input)",107.4
"333","2007","Compound Feeding Stuffs - Calf (Input)",121.859
"334","2008","Compound Feeding Stuffs - Calf (Input)",140.907
"335","2009","Compound Feeding Stuffs - Calf (Input)",128.246
"336","2010","Compound Feeding Stuffs - Calf (Input)",123.381
"337","1995","Compound Feeding Stuffs - Cattle (Input)",106
"338","1996","Compound Feeding Stuffs - Cattle (Input)",110.7
"339","1997","Compound Feeding Stuffs - Cattle (Input)",104.4
"340","1998","Compound Feeding Stuffs - Cattle (Input)",98.3
"341","1999","Compound Feeding Stuffs - Cattle (Input)",96.5
"342","2000","Compound Feeding Stuffs - Cattle (Input)",100
"343","2001","Compound Feeding Stuffs - Cattle (Input)",106.4
"344","2002","Compound Feeding Stuffs - Cattle (Input)",107.8
"345","2003","Compound Feeding Stuffs - Cattle (Input)",107.7
"346","2004","Compound Feeding Stuffs - Cattle (Input)",111.7
"347","2005","Compound Feeding Stuffs - Cattle (Input)",108.8
"348","2006","Compound Feeding Stuffs - Cattle (Input)",111.2
"349","2007","Compound Feeding Stuffs - Cattle (Input)",126.717
"350","2008","Compound Feeding Stuffs - Cattle (Input)",147.379
"351","2009","Compound Feeding Stuffs - Cattle (Input)",131.97
"352","2010","Compound Feeding Stuffs - Cattle (Input)",122.944
"353","1995","Compound Feeding Stuffs - Pig (Input)",99.5
"354","1996","Compound Feeding Stuffs - Pig (Input)",104.8
"355","1997","Compound Feeding Stuffs - Pig (Input)",101.4
"356","1998","Compound Feeding Stuffs - Pig (Input)",97.7
"357","1999","Compound Feeding Stuffs - Pig (Input)",97.7
"358","2000","Compound Feeding Stuffs - Pig (Input)",100
"359","2001","Compound Feeding Stuffs - Pig (Input)",104.1
"360","2002","Compound Feeding Stuffs - Pig (Input)",106.2
"361","2003","Compound Feeding Stuffs - Pig (Input)",105.5
"362","2004","Compound Feeding Stuffs - Pig (Input)",109.8
"363","2005","Compound Feeding Stuffs - Pig (Input)",109.5
"364","2006","Compound Feeding Stuffs - Pig (Input)",110.1
"365","2007","Compound Feeding Stuffs - Pig (Input)",122.141
"366","2008","Compound Feeding Stuffs - Pig (Input)",136.52
"367","2009","Compound Feeding Stuffs - Pig (Input)",123.411
"368","2010","Compound Feeding Stuffs - Pig (Input)",125.629
"369","1995","Compound Feeding Stuffs - Poultry (Input)",98.9
"370","1996","Compound Feeding Stuffs - Poultry (Input)",102.8
"371","1997","Compound Feeding Stuffs - Poultry (Input)",102
"372","1998","Compound Feeding Stuffs - Poultry (Input)",99.8
"373","1999","Compound Feeding Stuffs - Poultry (Input)",99.2
"374","2000","Compound Feeding Stuffs - Poultry (Input)",100
"375","2001","Compound Feeding Stuffs - Poultry (Input)",104.1
"376","2002","Compound Feeding Stuffs - Poultry (Input)",105.4
"377","2003","Compound Feeding Stuffs - Poultry (Input)",106.3
"378","2004","Compound Feeding Stuffs - Poultry (Input)",109.7
"379","2005","Compound Feeding Stuffs - Poultry (Input)",108.6
"380","2006","Compound Feeding Stuffs - Poultry (Input)",109.9
"381","2007","Compound Feeding Stuffs - Poultry (Input)",122.395
"382","2008","Compound Feeding Stuffs - Poultry (Input)",136.622
"383","2009","Compound Feeding Stuffs - Poultry (Input)",134.729
"384","2010","Compound Feeding Stuffs - Poultry (Input)",132.637
"385","1995","All Fertilisers  (Input)",96.4
"386","1996","All Fertilisers  (Input)",101
"387","1997","All Fertilisers  (Input)",94.8
"388","1998","All Fertilisers  (Input)",91.3
"389","1999","All Fertilisers  (Input)",93.3
"390","2000","All Fertilisers  (Input)",100
"391","2001","All Fertilisers  (Input)",113.4
"392","2002","All Fertilisers  (Input)",110.5
"393","2003","All Fertilisers  (Input)",113
"394","2004","All Fertilisers  (Input)",115.1
"395","2005","All Fertilisers  (Input)",124.5
"396","2006","All Fertilisers  (Input)",133.1
"397","2007","All Fertilisers  (Input)",136.394
"398","2008","All Fertilisers  (Input)",220.604
"399","2009","All Fertilisers  (Input)",184.967
"400","2010","All Fertilisers  (Input)",162.185
"401","1995","Straight Fertilisers  (Input)",97.5
"402","1996","Straight Fertilisers  (Input)",102
"403","1997","Straight Fertilisers  (Input)",93.7
"404","1998","Straight Fertilisers  (Input)",88.1
"405","1999","Straight Fertilisers  (Input)",89.9
"406","2000","Straight Fertilisers  (Input)",100
"407","2001","Straight Fertilisers  (Input)",118.6
"408","2002","Straight Fertilisers  (Input)",115.5
"409","2003","Straight Fertilisers  (Input)",117.4
"410","2004","Straight Fertilisers  (Input)",122.1
"411","2005","Straight Fertilisers  (Input)",133.2
"412","2006","Straight Fertilisers  (Input)",143
"413","2007","Straight Fertilisers  (Input)",146.341
"414","2008","Straight Fertilisers  (Input)",227.959
"415","2009","Straight Fertilisers  (Input)",175.733
"416","2010","Straight Fertilisers  (Input)",157.798
"417","1995","Compound Fertilisers - N.P.K. (Input)",98.3
"418","1996","Compound Fertilisers - N.P.K. (Input)",102.5
"419","1997","Compound Fertilisers - N.P.K. (Input)",96.4
"420","1998","Compound Fertilisers - N.P.K. (Input)",93.4
"421","1999","Compound Fertilisers - N.P.K. (Input)",94.5
"422","2000","Compound Fertilisers - N.P.K. (Input)",100
"423","2001","Compound Fertilisers - N.P.K. (Input)",111.6
"424","2002","Compound Fertilisers - N.P.K. (Input)",108.4
"425","2003","Compound Fertilisers - N.P.K. (Input)",111.5
"426","2004","Compound Fertilisers - N.P.K. (Input)",112.2
"427","2005","Compound Fertilisers - N.P.K. (Input)",121.2
"428","2006","Compound Fertilisers - N.P.K. (Input)",129.2
"429","2007","Compound Fertilisers - N.P.K. (Input)",132.314
"430","2008","Compound Fertilisers - N.P.K. (Input)",222.679
"431","2009","Compound Fertilisers - N.P.K. (Input)",190.393
"432","2010","Compound Fertilisers - N.P.K. (Input)",165.762
"433","1995","Compound Fertilisers - P.K. (Input)",88.5
"434","1996","Compound Fertilisers - P.K. (Input)",92.7
"435","1997","Compound Fertilisers - P.K. (Input)",88.7
"436","1998","Compound Fertilisers - P.K. (Input)",88.5
"437","1999","Compound Fertilisers - P.K. (Input)",96.3
"438","2000","Compound Fertilisers - P.K. (Input)",100
"439","2001","Compound Fertilisers - P.K. (Input)",104.5
"440","2002","Compound Fertilisers - P.K. (Input)",103.3
"441","2003","Compound Fertilisers - P.K. (Input)",105
"442","2004","Compound Fertilisers - P.K. (Input)",106.2
"443","2005","Compound Fertilisers - P.K. (Input)",110
"444","2006","Compound Fertilisers - P.K. (Input)",115.9
"445","2007","Compound Fertilisers - P.K. (Input)",123.529
"446","2008","Compound Fertilisers - P.K. (Input)",234.31
"447","2009","Compound Fertilisers - P.K. (Input)",254.188
"448","2010","Compound Fertilisers - P.K. (Input)",193.23
"449","1995","All Energy (Input)",71.7
"450","1996","All Energy (Input)",76.6
"451","1997","All Energy (Input)",78.2
"452","1998","All Energy (Input)",75.9
"453","1999","All Energy (Input)",80.2
"454","2000","All Energy (Input)",100
"455","2001","All Energy (Input)",97.1
"456","2002","All Energy (Input)",97.1
"457","2003","All Energy (Input)",102.9
"458","2004","All Energy (Input)",112.6
"459","2005","All Energy (Input)",131.7
"460","2006","All Energy (Input)",143.1
"461","2007","All Energy (Input)",148.146
"462","2008","All Energy (Input)",168.892
"463","2009","All Energy (Input)",146.097
"464","2010","All Energy (Input)",164.669
"465","1995","Energy - Motor Fuels  (Input)",66
"466","1996","Energy - Motor Fuels  (Input)",71.8
"467","1997","Energy - Motor Fuels  (Input)",73.5
"468","1998","Energy - Motor Fuels  (Input)",70.5
"469","1999","Energy - Motor Fuels  (Input)",75.6
"470","2000","Energy - Motor Fuels  (Input)",100
"471","2001","Energy - Motor Fuels  (Input)",95.8
"472","2002","Energy - Motor Fuels  (Input)",94.7
"473","2003","Energy - Motor Fuels  (Input)",99.1
"474","2004","Energy - Motor Fuels  (Input)",110.2
"475","2005","Energy - Motor Fuels  (Input)",131.7
"476","2006","Energy - Motor Fuels  (Input)",144.1
"477","2007","Energy - Motor Fuels  (Input)",147.29
"478","2008","Energy - Motor Fuels  (Input)",173.552
"479","2009","Energy - Motor Fuels  (Input)",143.52
"480","2010","Energy - Motor Fuels  (Input)",168.621
"481","1995","Energy - Electricity  (Input)",96
"482","1996","Energy - Electricity  (Input)",97.5
"483","1997","Energy - Electricity  (Input)",99.4
"484","1998","Energy - Electricity  (Input)",100
"485","1999","Energy - Electricity  (Input)",100
"486","2000","Energy - Electricity  (Input)",100
"487","2001","Energy - Electricity  (Input)",101.5
"488","2002","Energy - Electricity  (Input)",105.9
"489","2003","Energy - Electricity  (Input)",119.6
"490","2004","Energy - Electricity  (Input)",125.7
"491","2005","Energy - Electricity  (Input)",135.7
"492","2006","Energy - Electricity  (Input)",141.6
"493","2007","Energy - Electricity  (Input)",157.568
"494","2008","Energy - Electricity  (Input)",159.934
"495","2009","Energy - Electricity  (Input)",167.365
"496","2010","Energy - Electricity  (Input)",156.855
"497","1995","Other Products  (Input)",90.3
"498","1996","Other Products  (Input)",91.2
"499","1997","Other Products  (Input)",92.7
"500","1998","Other Products  (Input)",93.6
"501","1999","Other Products  (Input)",95.9
"502","2000","Other Products  (Input)",100
"503","2001","Other Products  (Input)",105.9
"504","2002","Other Products  (Input)",110.4
"505","2003","Other Products  (Input)",114.1
"506","2004","Other Products  (Input)",116.9
"507","2005","Other Products  (Input)",121
"508","2006","Other Products  (Input)",124
"509","2007","Other Products  (Input)",128.851
"510","2008","Other Products  (Input)",136.823
"511","2009","Other Products  (Input)",139.15
"512","2010","Other Products  (Input)",137.282
"513","1995","Seeds  (Input)",98
"514","1996","Seeds  (Input)",103.4
"515","1997","Seeds  (Input)",100.5
"516","1998","Seeds  (Input)",102
"517","1999","Seeds  (Input)",102.1
"518","2000","Seeds  (Input)",100
"519","2001","Seeds  (Input)",103.7
"520","2002","Seeds  (Input)",107.4
"521","2003","Seeds  (Input)",115.2
"522","2004","Seeds  (Input)",116.1
"523","2005","Seeds  (Input)",115.7
"524","2006","Seeds  (Input)",120.1
"525","2007","Seeds  (Input)",130.843
"526","2008","Seeds  (Input)",141.926
"527","2009","Seeds  (Input)",131.566
"528","2010","Seeds  (Input)",122.119
"529","1995","Plant Protection Products (Input)",97.5
"530","1996","Plant Protection Products (Input)",100.8
"531","1997","Plant Protection Products (Input)",100.4
"532","1998","Plant Protection Products (Input)",100.8
"533","1999","Plant Protection Products (Input)",100.6
"534","2000","Plant Protection Products (Input)",100
"535","2001","Plant Protection Products (Input)",100.8
"536","2002","Plant Protection Products (Input)",101.6
"537","2003","Plant Protection Products (Input)",101.6
"538","2004","Plant Protection Products (Input)",103.2
"539","2005","Plant Protection Products (Input)",102.7
"540","2006","Plant Protection Products (Input)",101.7
"541","2007","Plant Protection Products (Input)",101.688
"542","2008","Plant Protection Products (Input)",103.144
"543","2009","Plant Protection Products (Input)",105.052
"544","2010","Plant Protection Products (Input)",105.154
"545","1995","Veterinary Expenses (Including A.I.) (Input)",85.8
"546","1996","Veterinary Expenses (Including A.I.) (Input)",89.3
"547","1997","Veterinary Expenses (Including A.I.) (Input)",92.3
"548","1998","Veterinary Expenses (Including A.I.) (Input)",94.7
"549","1999","Veterinary Expenses (Including A.I.) (Input)",95.9
"550","2000","Veterinary Expenses (Including A.I.) (Input)",100
"551","2001","Veterinary Expenses (Including A.I.) (Input)",104.7
"552","2002","Veterinary Expenses (Including A.I.) (Input)",109.4
"553","2003","Veterinary Expenses (Including A.I.) (Input)",114.7
"554","2004","Veterinary Expenses (Including A.I.) (Input)",115.8
"555","2005","Veterinary Expenses (Including A.I.) (Input)",117.6
"556","2006","Veterinary Expenses (Including A.I.) (Input)",122.4
"557","2007","Veterinary Expenses (Including A.I.) (Input)",126.189
"558","2008","Veterinary Expenses (Including A.I.) (Input)",128.945
"559","2009","Veterinary Expenses (Including A.I.) (Input)",130.889
"560","2010","Veterinary Expenses (Including A.I.) (Input)",131.113
