"","Year","Agricultural.Product","value"
"1","1995","Total Index (Output)",110.3
"2","1996","Total Index (Output)",105.3
"3","1997","Total Index (Output)",98.8
"4","1998","Total Index (Output)",98
"5","1999","Total Index (Output)",94
"6","2000","Total Index (Output)",100
"7","2001","Total Index (Output)",104.3
"8","2002","Total Index (Output)",100
"9","2003","Total Index (Output)",99.6
"10","2004","Total Index (Output)",101.8
"11","2005","Total Index (Output)",102.3
"12","2006","Total Index (Output)",107.4
"13","2007","Total Index (Output)",117.975
"14","2008","Total Index (Output)",122.265
"15","2009","Total Index (Output)",102.97
"16","2010","Total Index (Output)",115.256
"17","1995","Total Livestock and Livestock Products (Output)",110.2
"18","1996","Total Livestock and Livestock Products (Output)",105.9
"19","1997","Total Livestock and Livestock Products (Output)",99.9
"20","1998","Total Livestock and Livestock Products (Output)",97
"21","1999","Total Livestock and Livestock Products (Output)",92.7
"22","2000","Total Livestock and Livestock Products (Output)",100
"23","2001","Total Livestock and Livestock Products (Output)",103
"24","2002","Total Livestock and Livestock Products (Output)",98.2
"25","2003","Total Livestock and Livestock Products (Output)",96.9
"26","2004","Total Livestock and Livestock Products (Output)",101.4
"27","2005","Total Livestock and Livestock Products (Output)",100.7
"28","2006","Total Livestock and Livestock Products (Output)",103
"29","2007","Total Livestock and Livestock Products (Output)",110.645
"30","2008","Total Livestock and Livestock Products (Output)",119.669
"31","2009","Total Livestock and Livestock Products (Output)",99.4288
"32","2010","Total Livestock and Livestock Products (Output)",110.481
"33","1995","Total Livestock Products (Output)",105.5
"34","1996","Total Livestock Products (Output)",105.6
"35","1997","Total Livestock Products (Output)",98.1
"36","1998","Total Livestock Products (Output)",101.1
"37","1999","Total Livestock Products (Output)",98.2
"38","2000","Total Livestock Products (Output)",100
"39","2001","Total Livestock Products (Output)",104.2
"40","2002","Total Livestock Products (Output)",97
"41","2003","Total Livestock Products (Output)",95.7
"42","2004","Total Livestock Products (Output)",95.6
"43","2005","Total Livestock Products (Output)",93.7
"44","2006","Total Livestock Products (Output)",90.3
"45","2007","Total Livestock Products (Output)",110.968
"46","2008","Total Livestock Products (Output)",112.812
"47","2009","Total Livestock Products (Output)",78.523
"48","2010","Total Livestock Products (Output)",100.354
"49","1995","Milk (Output)",105.2
"50","1996","Milk (Output)",105.4
"51","1997","Milk (Output)",97.8
"52","1998","Milk (Output)",101.1
"53","1999","Milk (Output)",98.4
"54","2000","Milk (Output)",100
"55","2001","Milk (Output)",104.3
"56","2002","Milk (Output)",97.1
"57","2003","Milk (Output)",95.6
"58","2004","Milk (Output)",95.3
"59","2005","Milk (Output)",93.5
"60","2006","Milk (Output)",90.2
"61","2007","Milk (Output)",110.981
"62","2008","Milk (Output)",112.66
"63","2009","Milk (Output)",78.0622
"64","2010","Milk (Output)",100.177
"65","1995","Total Livestock (Output)",113.8
"66","1996","Total Livestock (Output)",106.2
"67","1997","Total Livestock (Output)",101.3
"68","1998","Total Livestock (Output)",94
"69","1999","Total Livestock (Output)",88.5
"70","2000","Total Livestock (Output)",100
"71","2001","Total Livestock (Output)",102
"72","2002","Total Livestock (Output)",99
