"","Year","Agricultural.Product","value"
"160","2003","Poultry",97.714
"161","2004","Poultry",103.31
"162","2005","Poultry",100
"163","2006","Poultry",99.069
"164","2007","Poultry",103.128
"165","2008","Poultry",114.648
"166","2009","Poultry",114.15
"167","2010","Poultry",114.596
"168","2011","Poultry",132.147
"169","2012","Poultry",144.14
"170","2000","Animal products",106.71
"171","2001","Animal products",111.24
"172","2002","Animal products",103.553
"173","2003","Animal products",102.12
"174","2004","Animal products",102.017
"175","2005","Animal products",100
"176","2006","Animal products",96.409
"177","2007","Animal products",118.814
"178","2008","Animal products",120.085
"179","2009","Animal products",84.021
"180","2010","Animal products",107.458
"181","2011","Animal products",122.881
"182","2012","Animal products",112.27
"183","2000","Milk",106.938
"184","2001","Milk",111.542
"185","2002","Milk",103.832
"186","2003","Milk",102.192
"187","2004","Milk",101.931
"188","2005","Milk",100
"189","2006","Milk",96.41
"190","2007","Milk",119.1
"191","2008","Milk",120.146
"192","2009","Milk",83.613
"193","2010","Milk",107.495
"194","2011","Milk",122.741
"195","2012","Milk",111.816
"196","2000","Eggs",95.208
"197","2001","Eggs",97.656
"198","2002","Eggs",97.737
"199","2003","Eggs",98.2
"200","2004","Eggs",101.819
"201","2005","Eggs",100
"202","2006","Eggs",100.261
"203","2007","Eggs",115.736
"204","2008","Eggs",129.09
"205","2009","Eggs",115.293
"206","2010","Eggs",111.225
"207","2011","Eggs",121.08
"208","2012","Eggs",132.609
"209","2000","Wool",99.217
"210","2001","Wool",96.75
"211","2002","Wool",71.762
"212","2003","Wool",100.516
"213","2004","Wool",117.467
"214","2005","Wool",100
"215","2006","Wool",83.145
"216","2007","Wool",77.884
"217","2008","Wool",78.539
"218","2009","Wool",51.169
"219","2010","Wool",88.006
"220","2011","Wool",154.119
"221","2012","Wool",124.787
"222","2000","Agricultural input price index",84.752
"223","2001","Agricultural input price index",88.812
"224","2002","Agricultural input price index",89.964
"225","2003","Agricultural input price index",92.211
"226","2004","Agricultural input price index",95.832
"227","2005","Agricultural input price index",100
"228","2006","Agricultural input price index",103.38
"229","2007","Agricultural input price index",110.682
"230","2008","Agricultural input price index",129.726
"231","2009","Agricultural input price index",118.62
"232","2010","Agricultural input price index",116.62
"233","2011","Agricultural input price index",129.21
"234","2012","Agricultural input price index",136.108
"235","2000","Seeds",86.463
"236","2001","Seeds",89.646
"237","2002","Seeds",92.817
"238","2003","Seeds",99.564
"239","2004","Seeds",100.415
"240","2005","Seeds",100
"241","2006","Seeds",100.262
"242","2007","Seeds",102.226
"243","2008","Seeds",112.264
"244","2009","Seeds",112.607
"245","2010","Seeds",104.655
"246","2011","Seeds",107.245
"247","2012","Seeds",115.123
"248","2000","Energy",75.928
"249","2001","Energy",73.712
"250","2002","Energy",73.755
"251","2003","Energy",78.146
"252","2004","Energy",85.482
"253","2005","Energy",100
"254","2006","Energy",106.721
"255","2007","Energy",109.695
"256","2008","Energy",123.956
"257","2009","Energy",105.032
"258","2010","Energy",121.644
"259","2011","Energy",140.043
"260","2012","Energy",151.475
"261","2000","Electricity",73.689
"262","2001","Electricity",74.781
"263","2002","Electricity",78.057
"264","2003","Electricity",88.109
"265","2004","Electricity",92.62
"266","2005","Electricity",100
"267","2006","Electricity",104.074
"268","2007","Electricity",116.204
"269","2008","Electricity",118.954
"270","2009","Electricity",120.57
"271","2010","Electricity",116.329
"272","2011","Electricity",124.044
"273","2012","Electricity",138.057
"274","2000","Motor fuel",75.917
"275","2001","Motor fuel",72.715
"276","2002","Motor fuel",71.919
"277","2003","Motor fuel",75.2
"278","2004","Motor fuel",83.638
"279","2005","Motor fuel",100
"280","2006","Motor fuel",107.505
"281","2007","Motor fuel",107.58
"282","2008","Motor fuel",125.591
"283","2009","Motor fuel",99.713
"284","2010","Motor fuel",122.999
"285","2011","Motor fuel",145.168
"286","2012","Motor fuel",156.394
"287","2000","Lubricants",87.216
"288","2001","Lubricants",91.443
"289","2002","Lubricants",94.376
"290","2003","Lubricants",95.885
"291","2004","Lubricants",97.012
"292","2005","Lubricants",100
"293","2006","Lubricants",106.265
"294","2007","Lubricants",114.763
"295","2008","Lubricants",119.878
"296","2009","Lubricants",122.861
"297","2010","Lubricants",125.402
"298","2011","Lubricants",129.151
"299","2012","Lubricants",129.174
"300","2000","Fertilisers",80.344
"301","2001","Fertilisers",91.133
"302","2002","Fertilisers",88.792
"303","2003","Fertilisers",90.809
"304","2004","Fertilisers",92.507
"305","2005","Fertilisers",100
"306","2006","Fertilisers",107.072
"307","2007","Fertilisers",110.846
"308","2008","Fertilisers",182.874
"309","2009","Fertilisers",150.927
"310","2010","Fertilisers",132.724
"311","2011","Fertilisers",162.657
"312","2012","Fertilisers",167.489
"313","2000","Straight fertilisers",75.053
"314","2001","Straight fertilisers",88.984
"315","2002","Straight fertilisers",86.669
"316","2003","Straight fertilisers",88.076
"317","2004","Straight fertilisers",91.632
"318","2005","Straight fertilisers",100
"319","2006","Straight fertilisers",107.558
"320","2007","Straight fertilisers",111.384
"321","2008","Straight fertilisers",175.727
"322","2009","Straight fertilisers",134.476
"323","2010","Straight fertilisers",120.72
"324","2011","Straight fertilisers",153.397
"325","2012","Straight fertilisers",157.739
"326","2000","Compound fertilisers",83.025
"327","2001","Compound fertilisers",92.252
"328","2002","Compound fertilisers",89.689
"329","2003","Compound fertilisers",92.181
"330","2004","Compound fertilisers",92.822
"331","2005","Compound fertilisers",100
"332","2006","Compound fertilisers",106.647
"333","2007","Compound fertilisers",110.564
"334","2008","Compound fertilisers",190.516
"335","2009","Compound fertilisers",161.766
"336","2010","Compound fertilisers",140.317
"337","2011","Compound fertilisers",170.507
"338","2012","Compound fertilisers",175.828
"339","2000","PK fertilisers",90.9
"340","2001","PK fertilisers",94.981
"341","2002","PK fertilisers",93.887
"342","2003","PK fertilisers",95.431
"343","2004","PK fertilisers",96.573
"344","2005","PK fertilisers",100
"345","2006","PK fertilisers",105.49
"346","2007","PK fertilisers",114.659
"347","2008","PK fertilisers",227.285
"348","2009","PK fertilisers",236.889
"349","2010","PK fertilisers",177.04
"350","2011","PK fertilisers",200.485
"351","2012","PK fertilisers",212.384
"352","2000","NPK fertilisers",82.516
"353","2001","NPK fertilisers",92.075
"354","2002","NPK fertilisers",89.418
"355","2003","NPK fertilisers",91.971
"356","2004","NPK fertilisers",92.58
"357","2005","NPK fertilisers",100
"358","2006","NPK fertilisers",106.687
"359","2007","NPK fertilisers",110.421
"360","2008","NPK fertilisers",189.235
"361","2009","NPK fertilisers",159.148
"362","2010","NPK fertilisers",139.037
"363","2011","NPK fertilisers",169.462
"364","2012","NPK fertilisers",174.554
"365","2000","Other fertilisers",90.002
"366","2001","Other fertilisers",94.621
"367","2002","Other fertilisers",95.271
"368","2003","Other fertilisers",95.979
"369","2004","Other fertilisers",95.976
"370","2005","Other fertilisers",100
"371","2006","Other fertilisers",110.073
"372","2007","Other fertilisers",110.761
"373","2008","Other fertilisers",113.53
"374","2009","Other fertilisers",113.616
"375","2010","Other fertilisers",111.219
"376","2011","Other fertilisers",109.979
"377","2012","Other fertilisers",110.695
"378","2000","Plant protection products",97.379
"379","2001","Plant protection products",98.189
"380","2002","Plant protection products",98.973
"381","2003","Plant protection products",98.947
"382","2004","Plant protection products",100.514
"383","2005","Plant protection products",100
"384","2006","Plant protection products",99.091
"385","2007","Plant protection products",98.377
"386","2008","Plant protection products",99.671
"387","2009","Plant protection products",102.842
"388","2010","Plant protection products",103.088
"389","2011","Plant protection products",100.952
"390","2012","Plant protection products",99.905
"391","2000","Veterinary expenses",85.022
"392","2001","Veterinary expenses",88.982
"393","2002","Veterinary expenses",92.979
"394","2003","Veterinary expenses",97.496
"395","2004","Veterinary expenses",98.441
"396","2005","Veterinary expenses",100
"397","2006","Veterinary expenses",103.275
"398","2007","Veterinary expenses",106.035
"399","2008","Veterinary expenses",109.844
"400","2009","Veterinary expenses",112.148
"401","2010","Veterinary expenses",112.018
"402","2011","Veterinary expenses",111.672
"403","2012","Veterinary expenses",112.511
"404","2000","Feeding stuffs",91.781
"405","2001","Feeding stuffs",96.367
"406","2002","Feeding stuffs",97.733
"407","2003","Feeding stuffs",97.765
"408","2004","Feeding stuffs",101.672
"409","2005","Feeding stuffs",100
"410","2006","Feeding stuffs",102.746
"411","2007","Feeding stuffs",117.545
"412","2008","Feeding stuffs",133.864
"413","2009","Feeding stuffs",119.191
"414","2010","Feeding stuffs",116.862
"415","2011","Feeding stuffs",135.037
"416","2012","Feeding stuffs",143.549
"417","2000","Straight feeding stuffs",90.68
"418","2001","Straight feeding stuffs",92.564
"419","2002","Straight feeding stuffs",93.329
"420","2003","Straight feeding stuffs",93.382
"421","2004","Straight feeding stuffs",100.153
"422","2005","Straight feeding stuffs",100
"423","2006","Straight feeding stuffs",107.539
"424","2007","Straight feeding stuffs",128.436
"425","2008","Straight feeding stuffs",144.55
"426","2009","Straight feeding stuffs",121.472
"427","2010","Straight feeding stuffs",121.968
"428","2011","Straight feeding stuffs",142.598
"429","2012","Straight feeding stuffs",151.178
"430","2000","Compound feeding stuffs",91.903
"431","2001","Compound feeding stuffs",96.791
"432","2002","Compound feeding stuffs",98.224
"433","2003","Compound feeding stuffs",98.254
"434","2004","Compound feeding stuffs",101.841
"435","2005","Compound feeding stuffs",100
"436","2006","Compound feeding stuffs",102.002
"437","2007","Compound feeding stuffs",115.854
"438","2008","Compound feeding stuffs",132.205
"439","2009","Compound feeding stuffs",118.836
"440","2010","Compound feeding stuffs",116.069
"441","2011","Compound feeding stuffs",133.863
"442","2012","Compound feeding stuffs",142.365
"443","2000","Compound feeding stuffs for calves",93.996
"444","2001","Compound feeding stuffs for calves",97.628
"445","2002","Compound feeding stuffs for calves",99.42
"446","2003","Compound feeding stuffs for calves",100.424
"447","2004","Compound feeding stuffs for calves",103.467
"448","2005","Compound feeding stuffs for calves",100
"449","2006","Compound feeding stuffs for calves",101.592
"450","2007","Compound feeding stuffs for calves",115.668
"451","2008","Compound feeding stuffs for calves",131.543
"452","2009","Compound feeding stuffs for calves",118.088
"453","2010","Compound feeding stuffs for calves",116.213
"454","2011","Compound feeding stuffs for calves",133.555
"455","2012","Compound feeding stuffs for calves",143.744
"456","2000","Compound feeding stuffs for cattle excluding calves",91.866
"457","2001","Compound feeding stuffs for cattle excluding calves",97.753
"458","2002","Compound feeding stuffs for cattle excluding calves",99.068
"459","2003","Compound feeding stuffs for cattle excluding calves",98.975
"460","2004","Compound feeding stuffs for cattle excluding calves",102.628
"461","2005","Compound feeding stuffs for cattle excluding calves",100
"462","2006","Compound feeding stuffs for cattle excluding calves",102.223
"463","2007","Compound feeding stuffs for cattle excluding calves",117.306
"464","2008","Compound feeding stuffs for cattle excluding calves",135.619
"465","2009","Compound feeding stuffs for cattle excluding calves",120.238
"466","2010","Compound feeding stuffs for cattle excluding calves",115.956
"467","2011","Compound feeding stuffs for cattle excluding calves",134.936
"468","2012","Compound feeding stuffs for cattle excluding calves",143.835
"469","2000","Compound feeding stuffs for pigs",91.35
"470","2001","Compound feeding stuffs for pigs",95.108
"471","2002","Compound feeding stuffs for pigs",97.027
"472","2003","Compound feeding stuffs for pigs",96.339
"473","2004","Compound feeding stuffs for pigs",100.32
"474","2005","Compound feeding stuffs for pigs",100
"475","2006","Compound feeding stuffs for pigs",101.307
"476","2007","Compound feeding stuffs for pigs",114.603
"477","2008","Compound feeding stuffs for pigs",128.891
"478","2009","Compound feeding stuffs for pigs",112.173
"479","2010","Compound feeding stuffs for pigs",113.164
"480","2011","Compound feeding stuffs for pigs",132.893
"481","2012","Compound feeding stuffs for pigs",144.607
"482","2000","Compound feeding stuffs for poultry",92.127
"483","2001","Compound feeding stuffs for poultry",95.945
"484","2002","Compound feeding stuffs for poultry",97.094
"485","2003","Compound feeding stuffs for poultry",97.97
"486","2004","Compound feeding stuffs for poultry",101.099
"487","2005","Compound feeding stuffs for poultry",100
"488","2006","Compound feeding stuffs for poultry",102.033
"489","2007","Compound feeding stuffs for poultry",113.732
"490","2008","Compound feeding stuffs for poultry",128.06
"491","2009","Compound feeding stuffs for poultry",122.199
"492","2010","Compound feeding stuffs for poultry",120.071
"493","2011","Compound feeding stuffs for poultry",133.285
"494","2012","Compound feeding stuffs for poultry",137.79
"495","2000","Other compound feeding stuffs",91.903
"496","2001","Other compound feeding stuffs",96.791
"497","2002","Other compound feeding stuffs",98.224
"498","2003","Other compound feeding stuffs",98.254
"499","2004","Other compound feeding stuffs",101.841
"500","2005","Other compound feeding stuffs",100
"501","2006","Other compound feeding stuffs",102.481
"502","2007","Other compound feeding stuffs",115.657
"503","2008","Other compound feeding stuffs",130.402
"504","2009","Other compound feeding stuffs",117.368
"505","2010","Other compound feeding stuffs",112.629
"506","2011","Other compound feeding stuffs",131.082
"507","2012","Other compound feeding stuffs",139.213
"508","2000","Maintenance of materials",77.367
"509","2001","Maintenance of materials",85.352
"510","2002","Maintenance of materials",88.391
"511","2003","Maintenance of materials",91.03
"512","2004","Maintenance of materials",93.578
"513","2005","Maintenance of materials",100
"514","2006","Maintenance of materials",102.488
"515","2007","Maintenance of materials",106.821
"516","2008","Maintenance of materials",111.965
"517","2009","Maintenance of materials",113.037
"518","2010","Maintenance of materials",109.971
"519","2011","Maintenance of materials",107.492
"520","2012","Maintenance of materials",106.219
"521","2000","Maintenance of buildings",78.555
"522","2001","Maintenance of buildings",84.03
"523","2002","Maintenance of buildings",88.808
"524","2003","Maintenance of buildings",93.114
"525","2004","Maintenance of buildings",97.042
"526","2005","Maintenance of buildings",100
"527","2006","Maintenance of buildings",102.859
"528","2007","Maintenance of buildings",108.67
"529","2008","Maintenance of buildings",112.648
"530","2009","Maintenance of buildings",113.469
"531","2010","Maintenance of buildings",113.083
"532","2011","Maintenance of buildings",111.941
"533","2012","Maintenance of buildings",111.993
"534","2000","Other goods and services including artificial insemination",91.254
"535","2001","Other goods and services including artificial insemination",91.841
"536","2002","Other goods and services including artificial insemination",98.233
"537","2003","Other goods and services including artificial insemination",101.252
"538","2004","Other goods and services including artificial insemination",100.651
"539","2005","Other goods and services including artificial insemination",100
"540","2006","Other goods and services including artificial insemination",100.832
"541","2007","Other goods and services including artificial insemination",101.637
"542","2008","Other goods and services including artificial insemination",104.627
"543","2009","Other goods and services including artificial insemination",106.957
"544","2010","Other goods and services including artificial insemination",107.899
"545","2011","Other goods and services including artificial insemination",108.467
"546","2012","Other goods and services including artificial insemination",121.455
