"","Year","Agricultural.Product","value"
"1","2000","Agricultural output price index",97.754
"2","2001","Agricultural output price index",101.918
"3","2002","Agricultural output price index",97.704
"4","2003","Agricultural output price index",97.371
"5","2004","Agricultural output price index",99.535
"6","2005","Agricultural output price index",100
"7","2006","Agricultural output price index",103.786
"8","2007","Agricultural output price index",112.455
"9","2008","Agricultural output price index",121.35
"10","2009","Agricultural output price index",101.179
"11","2010","Agricultural output price index",111.559
"12","2011","Agricultural output price index",127.874
"13","2012","Agricultural output price index",133.114
"14","2000","Crop output",89.29
"15","2001","Crop output",100.156
"16","2002","Crop output",98.589
"17","2003","Crop output",103.601
"18","2004","Crop output",93.183
"19","2005","Crop output",100
"20","2006","Crop output",113.516
"21","2007","Crop output",129.607
"22","2008","Crop output",138.784
"23","2009","Crop output",121.592
"24","2010","Crop output",122.865
"25","2011","Crop output",128.073
"26","2012","Crop output",146.04
"27","2000","Cereals including seeds",103.504
"28","2001","Cereals including seeds",108.107
"29","2002","Cereals including seeds",94.968
"30","2003","Cereals including seeds",112.785
"31","2004","Cereals including seeds",104.449
"32","2005","Cereals including seeds",100
"33","2006","Cereals including seeds",106.532
"34","2007","Cereals including seeds",147.728
"35","2008","Cereals including seeds",169.656
"36","2009","Cereals including seeds",120.59
"37","2010","Cereals including seeds",122.428
"38","2011","Cereals including seeds",160.596
"39","2012","Cereals including seeds",187.157
"40","2000","Vegetables",86.125
"41","2001","Vegetables",90.767
"42","2002","Vegetables",98.984
"43","2003","Vegetables",94.772
"44","2004","Vegetables",95.332
"45","2005","Vegetables",100
"46","2006","Vegetables",99.97
"47","2007","Vegetables",99.97
"48","2008","Vegetables",105.98
"49","2009","Vegetables",106.88
"50","2010","Vegetables",107.49
"51","2011","Vegetables",108.48
"52","2012","Vegetables",112.04
"53","2000","Potatoes including seeds",68.735
"54","2001","Potatoes including seeds",104.515
"55","2002","Potatoes including seeds",101.747
"56","2003","Potatoes including seeds",105.995
"57","2004","Potatoes including seeds",67.098
"58","2005","Potatoes including seeds",100
"59","2006","Potatoes including seeds",157.15
"60","2007","Potatoes including seeds",157.64
"61","2008","Potatoes including seeds",147.98
"62","2009","Potatoes including seeds",155.69
"63","2010","Potatoes including seeds",157.27
"64","2011","Potatoes including seeds",105.13
"65","2012","Potatoes including seeds",137.16
"66","2000","Animal output",99.315
"67","2001","Animal output",102.243
"68","2002","Animal output",97.54
"69","2003","Animal output",96.221
"70","2004","Animal output",100.707
"71","2005","Animal output",100
"72","2006","Animal output",102.536
"73","2007","Animal output",110.251
"74","2008","Animal output",119.11
"75","2009","Animal output",98.556
"76","2010","Animal output",110.106
"77","2011","Animal output",127.848
"78","2012","Animal output",131.453
"79","2000","Animals",94.669
"80","2001","Animals",96.59
"81","2002","Animals",93.763
"82","2003","Animals",92.515
"83","2004","Animals",99.884
"84","2005","Animals",100
"85","2006","Animals",106.576
"86","2007","Animals",104.605
"87","2008","Animals",118.467
"88","2009","Animals",108.139
"89","2010","Animals",111.852
"90","2011","Animals",131.123
"91","2012","Animals",144.101
"92","2000","Cattle",94.713
"93","2001","Cattle",87.382
"94","2002","Cattle",89.423
"95","2003","Cattle",88.685
"96","2004","Cattle",97.791
"97","2005","Cattle",100
"98","2006","Cattle",107.845
"99","2007","Cattle",105.591
"100","2008","Cattle",122.171
"101","2009","Cattle",108.959
"102","2010","Cattle",111.575
"103","2011","Cattle",134.329
"104","2012","Cattle",150.477
"105","2000","Cattle excluding calves",94.684
"106","2001","Cattle excluding calves",87.259
"107","2002","Cattle excluding calves",89.213
"108","2003","Cattle excluding calves",88.424
"109","2004","Cattle excluding calves",97.537
"110","2005","Cattle excluding calves",100
"111","2006","Cattle excluding calves",108.033
"112","2007","Cattle excluding calves",105.891
"113","2008","Cattle excluding calves",122.574
"114","2009","Cattle excluding calves",109.305
"115","2010","Cattle excluding calves",111.992
"116","2011","Cattle excluding calves",134.609
"117","2012","Cattle excluding calves",150.625
"118","2000","Calves",97.022
"119","2001","Calves",97.041
"120","2002","Calves",105.883
"121","2003","Calves",109.109
"122","2004","Calves",117.703
"123","2005","Calves",100
"124","2006","Calves",90.18
"125","2007","Calves",77.35
"126","2008","Calves",84.21
"127","2009","Calves",76.37
"128","2010","Calves",72.36
"129","2011","Calves",107.88
"130","2012","Calves",136.56
"131","2000","Pigs",98.54
"132","2001","Pigs",112.327
"133","2002","Pigs",98.071
"134","2003","Pigs",94.006
"135","2004","Pigs",101.781
"136","2005","Pigs",100
"137","2006","Pigs",107.045
"138","2007","Pigs",100.607
"139","2008","Pigs",109.472
"140","2009","Pigs",99.134
"141","2010","Pigs",99.267
"142","2011","Pigs",108.835
"143","2012","Pigs",120.563
"144","2000","Sheep",91.271
"145","2001","Sheep",130.382
"146","2002","Sheep",110.703
"147","2003","Sheep",109.069
"148","2004","Sheep",107.381
"149","2005","Sheep",100
"150","2006","Sheep",102.36
"151","2007","Sheep",104.63
"152","2008","Sheep",108.7
"153","2009","Sheep",111.39
"154","2010","Sheep",130.01
"155","2011","Sheep",140.62
"156","2012","Sheep",134.37
"157","2000","Poultry",92.536
"158","2001","Poultry",95.4
"159","2002","Poultry",97.634
