"","Statistic","Month","Agricultural.Product","value"
"61","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M07","Total Index (Output)",100.2
"62","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M07","Total Index (Output)",99
"63","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M08","Total Index (Output)",98
"64","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M08","Total Index (Output)",99.7
"65","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M09","Total Index (Output)",98.4
"66","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M09","Total Index (Output)",99.5
"67","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M10","Total Index (Output)",97.6
"68","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M10","Total Index (Output)",99.8
"69","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M11","Total Index (Output)",98.5
"70","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M11","Total Index (Output)",99.5
"71","Agricultural Input and Output Prices Indices (Base 2000=100)","1997M12","Total Index (Output)",97.5
"72","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1997M12","Total Index (Output)",98.6
"73","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M01","Total Index (Output)",98.2
"74","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M01","Total Index (Output)",98.4
"75","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M02","Total Index (Output)",98.1
"76","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M02","Total Index (Output)",97.9
"77","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M03","Total Index (Output)",98.5
"78","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M03","Total Index (Output)",97.5
"79","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M04","Total Index (Output)",100
"80","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M04","Total Index (Output)",99.1
"81","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M05","Total Index (Output)",102.1
"82","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M05","Total Index (Output)",100
"83","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M06","Total Index (Output)",102.1
"84","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M06","Total Index (Output)",100.3
"85","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M07","Total Index (Output)",100.6
"86","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M07","Total Index (Output)",99.4
"87","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M08","Total Index (Output)",98
"88","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M08","Total Index (Output)",99.6
"89","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M09","Total Index (Output)",95.5
"90","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M09","Total Index (Output)",96.4
"91","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M10","Total Index (Output)",92.8
"92","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M10","Total Index (Output)",94.8
"93","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M11","Total Index (Output)",92
"94","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M11","Total Index (Output)",93.3
"95","Agricultural Input and Output Prices Indices (Base 2000=100)","1998M12","Total Index (Output)",92.8
"96","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1998M12","Total Index (Output)",94
"97","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M01","Total Index (Output)",93.2
"98","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M01","Total Index (Output)",93.3
"99","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M02","Total Index (Output)",93.6
"100","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M02","Total Index (Output)",93.5
"101","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M03","Total Index (Output)",95.4
"102","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M03","Total Index (Output)",94.3
"103","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M04","Total Index (Output)",95.6
"104","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M04","Total Index (Output)",94.8
"105","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M05","Total Index (Output)",95.9
"106","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M05","Total Index (Output)",93.9
"107","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M06","Total Index (Output)",94.9
"108","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M06","Total Index (Output)",93.1
"109","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M07","Total Index (Output)",94.3
"110","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M07","Total Index (Output)",93.3
"111","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M08","Total Index (Output)",93.1
"112","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M08","Total Index (Output)",94.5
"113","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M09","Total Index (Output)",92.8
"114","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M09","Total Index (Output)",93.5
"115","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M10","Total Index (Output)",92
"116","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M10","Total Index (Output)",94.1
"117","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M11","Total Index (Output)",92.6
"118","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M11","Total Index (Output)",94.1
"119","Agricultural Input and Output Prices Indices (Base 2000=100)","1999M12","Total Index (Output)",93.9
"120","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","1999M12","Total Index (Output)",95.1
"121","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M01","Total Index (Output)",95.376
"122","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M01","Total Index (Output)",95.1
"123","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M02","Total Index (Output)",97.136
"124","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M02","Total Index (Output)",96.9
"125","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M03","Total Index (Output)",98.034
"126","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M03","Total Index (Output)",96.9
"127","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M04","Total Index (Output)",99.043
"128","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M04","Total Index (Output)",98.1
"129","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M05","Total Index (Output)",101.089
"130","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M05","Total Index (Output)",99.1
"131","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M06","Total Index (Output)",103.032
"132","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M06","Total Index (Output)",101.1
"133","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M07","Total Index (Output)",102.304
"134","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M07","Total Index (Output)",101.8
"135","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M08","Total Index (Output)",101.321
"136","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M08","Total Index (Output)",102.9
"137","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M09","Total Index (Output)",103.57
"138","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M09","Total Index (Output)",104.2
"139","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M10","Total Index (Output)",102.139
"140","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M10","Total Index (Output)",104.4
"141","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M11","Total Index (Output)",102.166
"142","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M11","Total Index (Output)",104.1
"143","Agricultural Input and Output Prices Indices (Base 2000=100)","2000M12","Total Index (Output)",100.126
"144","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2000M12","Total Index (Output)",101.4
"145","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M01","Total Index (Output)",105.613
"146","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M01","Total Index (Output)",104.9
"147","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M02","Total Index (Output)",103.934
"148","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M02","Total Index (Output)",103.4
"149","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M03","Total Index (Output)",106.538
"150","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M03","Total Index (Output)",105.2
"151","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M04","Total Index (Output)",104.812
"152","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M04","Total Index (Output)",103.8
"153","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M05","Total Index (Output)",106.576
"154","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M05","Total Index (Output)",104.6
"155","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M06","Total Index (Output)",105.903
"156","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M06","Total Index (Output)",104
"157","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M07","Total Index (Output)",105.72
"158","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M07","Total Index (Output)",105.7
"159","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M08","Total Index (Output)",100.394
"160","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M08","Total Index (Output)",102.3
"161","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M09","Total Index (Output)",103.287
"162","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M09","Total Index (Output)",103.8
"163","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M10","Total Index (Output)",101.594
"164","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M10","Total Index (Output)",103.7
"165","Agricultural Input and Output Prices Indices (Base 2000=100)","2001M11","Total Index (Output)",102.075
"166","Agricultural Input and Output Prices Indices (Seasonally Adjusted) (Base 2000=100)","2001M11","Total Index (Output)",104.1
