"","Statistic","Month","Meat.Usage","value"
"723","Average Pig Carcass Weight (Kg)","2000M01","All Pigs",74.6
"724","Pigs Slaughtered (Number)","2000M02","All Pigs",255039
"725","Weight of Pigs Slaughtered (Tonnes)","2000M02","All Pigs",18908
"726","Average Pig Carcass Weight (Kg)","2000M02","All Pigs",74.1
"727","Pigs Slaughtered (Number)","2000M03","All Pigs",289566
"728","Weight of Pigs Slaughtered (Tonnes)","2000M03","All Pigs",21082
"729","Average Pig Carcass Weight (Kg)","2000M03","All Pigs",72.8
"730","Pigs Slaughtered (Number)","2000M04","All Pigs",231592
"731","Weight of Pigs Slaughtered (Tonnes)","2000M04","All Pigs",17006
"732","Average Pig Carcass Weight (Kg)","2000M04","All Pigs",73.4
"733","Pigs Slaughtered (Number)","2000M05","All Pigs",286242
"734","Weight of Pigs Slaughtered (Tonnes)","2000M05","All Pigs",21010
"735","Average Pig Carcass Weight (Kg)","2000M05","All Pigs",73.4
"736","Pigs Slaughtered (Number)","2000M06","All Pigs",220283
"737","Weight of Pigs Slaughtered (Tonnes)","2000M06","All Pigs",15973
"738","Average Pig Carcass Weight (Kg)","2000M06","All Pigs",72.5
"739","Pigs Slaughtered (Number)","2000M07","All Pigs",232963
"740","Weight of Pigs Slaughtered (Tonnes)","2000M07","All Pigs",16803
"741","Average Pig Carcass Weight (Kg)","2000M07","All Pigs",72.1
"742","Pigs Slaughtered (Number)","2000M08","All Pigs",287492
"743","Weight of Pigs Slaughtered (Tonnes)","2000M08","All Pigs",20945
"744","Average Pig Carcass Weight (Kg)","2000M08","All Pigs",72.9
"745","Pigs Slaughtered (Number)","2000M09","All Pigs",236971
"746","Weight of Pigs Slaughtered (Tonnes)","2000M09","All Pigs",17318
"747","Average Pig Carcass Weight (Kg)","2000M09","All Pigs",73.1
"748","Pigs Slaughtered (Number)","2000M10","All Pigs",241501
"749","Weight of Pigs Slaughtered (Tonnes)","2000M10","All Pigs",17755
"750","Average Pig Carcass Weight (Kg)","2000M10","All Pigs",73.5
"751","Pigs Slaughtered (Number)","2000M11","All Pigs",303113
"752","Weight of Pigs Slaughtered (Tonnes)","2000M11","All Pigs",22450
"753","Average Pig Carcass Weight (Kg)","2000M11","All Pigs",74.1
"754","Pigs Slaughtered (Number)","2000M12","All Pigs",195848
"755","Weight of Pigs Slaughtered (Tonnes)","2000M12","All Pigs",14170
"756","Average Pig Carcass Weight (Kg)","2000M12","All Pigs",72.4
"757","Pigs Slaughtered (Number)","2001M01","All Pigs",303756
"758","Weight of Pigs Slaughtered (Tonnes)","2001M01","All Pigs",22497
"759","Average Pig Carcass Weight (Kg)","2001M01","All Pigs",74.1
"760","Pigs Slaughtered (Number)","2001M02","All Pigs",254089
"761","Weight of Pigs Slaughtered (Tonnes)","2001M02","All Pigs",18944
"762","Average Pig Carcass Weight (Kg)","2001M02","All Pigs",74.6
"763","Pigs Slaughtered (Number)","2001M03","All Pigs",224258
"764","Weight of Pigs Slaughtered (Tonnes)","2001M03","All Pigs",16587
"765","Average Pig Carcass Weight (Kg)","2001M03","All Pigs",74
"766","Pigs Slaughtered (Number)","2001M04","All Pigs",250577
"767","Weight of Pigs Slaughtered (Tonnes)","2001M04","All Pigs",18453
"768","Average Pig Carcass Weight (Kg)","2001M04","All Pigs",73.6
"769","Pigs Slaughtered (Number)","2001M05","All Pigs",297369
"770","Weight of Pigs Slaughtered (Tonnes)","2001M05","All Pigs",21957
"771","Average Pig Carcass Weight (Kg)","2001M05","All Pigs",73.8
"772","Pigs Slaughtered (Number)","2001M06","All Pigs",237601
"773","Weight of Pigs Slaughtered (Tonnes)","2001M06","All Pigs",17475
"774","Average Pig Carcass Weight (Kg)","2001M06","All Pigs",73.5
"775","Pigs Slaughtered (Number)","2001M07","All Pigs",253234
"776","Weight of Pigs Slaughtered (Tonnes)","2001M07","All Pigs",18544
"777","Average Pig Carcass Weight (Kg)","2001M07","All Pigs",73.2
"778","Pigs Slaughtered (Number)","2001M08","All Pigs",303102
"779","Weight of Pigs Slaughtered (Tonnes)","2001M08","All Pigs",22351
"780","Average Pig Carcass Weight (Kg)","2001M08","All Pigs",73.7
"781","Pigs Slaughtered (Number)","2001M09","All Pigs",258218
"782","Weight of Pigs Slaughtered (Tonnes)","2001M09","All Pigs",19124
"783","Average Pig Carcass Weight (Kg)","2001M09","All Pigs",74.1
"784","Pigs Slaughtered (Number)","2001M10","All Pigs",324652
"785","Weight of Pigs Slaughtered (Tonnes)","2001M10","All Pigs",24108
"786","Average Pig Carcass Weight (Kg)","2001M10","All Pigs",74.3
"787","Pigs Slaughtered (Number)","2001M11","All Pigs",271665
"788","Weight of Pigs Slaughtered (Tonnes)","2001M11","All Pigs",20013
"789","Average Pig Carcass Weight (Kg)","2001M11","All Pigs",73.7
"790","Pigs Slaughtered (Number)","2001M12","All Pigs",209432
"791","Weight of Pigs Slaughtered (Tonnes)","2001M12","All Pigs",15237
"792","Average Pig Carcass Weight (Kg)","2001M12","All Pigs",72.8
"793","Pigs Slaughtered (Number)","2002M01","All Pigs",325855
"794","Weight of Pigs Slaughtered (Tonnes)","2002M01","All Pigs",24430
"795","Average Pig Carcass Weight (Kg)","2002M01","All Pigs",75
"796","Pigs Slaughtered (Number)","2002M02","All Pigs",252593
"797","Weight of Pigs Slaughtered (Tonnes)","2002M02","All Pigs",18932
"798","Average Pig Carcass Weight (Kg)","2002M02","All Pigs",75
"799","Pigs Slaughtered (Number)","2002M03","All Pigs",238841
"800","Weight of Pigs Slaughtered (Tonnes)","2002M03","All Pigs",17825
"801","Average Pig Carcass Weight (Kg)","2002M03","All Pigs",74.6
"802","Pigs Slaughtered (Number)","2002M04","All Pigs",239528
"803","Weight of Pigs Slaughtered (Tonnes)","2002M04","All Pigs",17806
"804","Average Pig Carcass Weight (Kg)","2002M04","All Pigs",74.3
"805","Pigs Slaughtered (Number)","2002M05","All Pigs",285685
"806","Weight of Pigs Slaughtered (Tonnes)","2002M05","All Pigs",21121
"807","Average Pig Carcass Weight (Kg)","2002M05","All Pigs",73.9
"808","Pigs Slaughtered (Number)","2002M06","All Pigs",217837
"809","Weight of Pigs Slaughtered (Tonnes)","2002M06","All Pigs",16037
"810","Average Pig Carcass Weight (Kg)","2002M06","All Pigs",73.6
"811","Pigs Slaughtered (Number)","2002M07","All Pigs",278890
"812","Weight of Pigs Slaughtered (Tonnes)","2002M07","All Pigs",20491
"813","Average Pig Carcass Weight (Kg)","2002M07","All Pigs",73.5
"814","Pigs Slaughtered (Number)","2002M08","All Pigs",223080
"815","Weight of Pigs Slaughtered (Tonnes)","2002M08","All Pigs",16457
"816","Average Pig Carcass Weight (Kg)","2002M08","All Pigs",73.8
"817","Pigs Slaughtered (Number)","2002M09","All Pigs",234281
"818","Weight of Pigs Slaughtered (Tonnes)","2002M09","All Pigs",17345
"819","Average Pig Carcass Weight (Kg)","2002M09","All Pigs",74
"820","Pigs Slaughtered (Number)","2002M10","All Pigs",288650
"821","Weight of Pigs Slaughtered (Tonnes)","2002M10","All Pigs",21396
"822","Average Pig Carcass Weight (Kg)","2002M10","All Pigs",74.1
"823","Pigs Slaughtered (Number)","2002M11","All Pigs",252167
"824","Weight of Pigs Slaughtered (Tonnes)","2002M11","All Pigs",18767
"825","Average Pig Carcass Weight (Kg)","2002M11","All Pigs",74.4
"826","Pigs Slaughtered (Number)","2002M12","All Pigs",198761
"827","Weight of Pigs Slaughtered (Tonnes)","2002M12","All Pigs",14309
"828","Average Pig Carcass Weight (Kg)","2002M12","All Pigs",72
"829","Pigs Slaughtered (Number)","2003M01","All Pigs",292718
"830","Weight of Pigs Slaughtered (Tonnes)","2003M01","All Pigs",22519
"831","Average Pig Carcass Weight (Kg)","2003M01","All Pigs",76.9
"832","Pigs Slaughtered (Number)","2003M02","All Pigs",226440
"833","Weight of Pigs Slaughtered (Tonnes)","2003M02","All Pigs",17194
"834","Average Pig Carcass Weight (Kg)","2003M02","All Pigs",75.9
"835","Pigs Slaughtered (Number)","2003M03","All Pigs",213723
"836","Weight of Pigs Slaughtered (Tonnes)","2003M03","All Pigs",16129
"837","Average Pig Carcass Weight (Kg)","2003M03","All Pigs",75.5
"838","Pigs Slaughtered (Number)","2003M04","All Pigs",276241
"839","Weight of Pigs Slaughtered (Tonnes)","2003M04","All Pigs",20752
"840","Average Pig Carcass Weight (Kg)","2003M04","All Pigs",75.1
"841","Pigs Slaughtered (Number)","2003M05","All Pigs",221717
"842","Weight of Pigs Slaughtered (Tonnes)","2003M05","All Pigs",16755
"843","Average Pig Carcass Weight (Kg)","2003M05","All Pigs",75.6
"844","Pigs Slaughtered (Number)","2003M06","All Pigs",205992
"845","Weight of Pigs Slaughtered (Tonnes)","2003M06","All Pigs",15552
"846","Average Pig Carcass Weight (Kg)","2003M06","All Pigs",75.5
"847","Pigs Slaughtered (Number)","2003M07","All Pigs",280428
"848","Weight of Pigs Slaughtered (Tonnes)","2003M07","All Pigs",21043
"849","Average Pig Carcass Weight (Kg)","2003M07","All Pigs",75
"850","Pigs Slaughtered (Number)","2003M08","All Pigs",213654
"851","Weight of Pigs Slaughtered (Tonnes)","2003M08","All Pigs",16593
"852","Average Pig Carcass Weight (Kg)","2003M08","All Pigs",77.7
"853","Pigs Slaughtered (Number)","2003M09","All Pigs",214883
"854","Weight of Pigs Slaughtered (Tonnes)","2003M09","All Pigs",16037
"855","Average Pig Carcass Weight (Kg)","2003M09","All Pigs",74.6
"856","Pigs Slaughtered (Number)","2003M10","All Pigs",271113
"857","Weight of Pigs Slaughtered (Tonnes)","2003M10","All Pigs",20464
"858","Average Pig Carcass Weight (Kg)","2003M10","All Pigs",75.5
"859","Pigs Slaughtered (Number)","2003M11","All Pigs",222161
"860","Weight of Pigs Slaughtered (Tonnes)","2003M11","All Pigs",16894
"861","Average Pig Carcass Weight (Kg)","2003M11","All Pigs",76
"862","Pigs Slaughtered (Number)","2003M12","All Pigs",195057
"863","Weight of Pigs Slaughtered (Tonnes)","2003M12","All Pigs",14736
"864","Average Pig Carcass Weight (Kg)","2003M12","All Pigs",75.5
"865","Pigs Slaughtered (Number)","2004M01","All Pigs",261021
"866","Weight of Pigs Slaughtered (Tonnes)","2004M01","All Pigs",20183
"867","Average Pig Carcass Weight (Kg)","2004M01","All Pigs",77.3
"868","Pigs Slaughtered (Number)","2004M02","All Pigs",207168
"869","Weight of Pigs Slaughtered (Tonnes)","2004M02","All Pigs",15817
"870","Average Pig Carcass Weight (Kg)","2004M02","All Pigs",76.3
"871","Pigs Slaughtered (Number)","2004M03","All Pigs",251388
"872","Weight of Pigs Slaughtered (Tonnes)","2004M03","All Pigs",19238
"873","Average Pig Carcass Weight (Kg)","2004M03","All Pigs",76.5
"874","Pigs Slaughtered (Number)","2004M04","All Pigs",205843
"875","Weight of Pigs Slaughtered (Tonnes)","2004M04","All Pigs",15712
"876","Average Pig Carcass Weight (Kg)","2004M04","All Pigs",76.3
"877","Pigs Slaughtered (Number)","2004M05","All Pigs",199111
"878","Weight of Pigs Slaughtered (Tonnes)","2004M05","All Pigs",15205
"879","Average Pig Carcass Weight (Kg)","2004M05","All Pigs",76.4
"880","Pigs Slaughtered (Number)","2004M06","All Pigs",240865
"881","Weight of Pigs Slaughtered (Tonnes)","2004M06","All Pigs",18052
"882","Average Pig Carcass Weight (Kg)","2004M06","All Pigs",74.9
"883","Pigs Slaughtered (Number)","2004M07","All Pigs",201911
"884","Weight of Pigs Slaughtered (Tonnes)","2004M07","All Pigs",14946
"885","Average Pig Carcass Weight (Kg)","2004M07","All Pigs",74
"886","Pigs Slaughtered (Number)","2004M08","All Pigs",206098
"887","Weight of Pigs Slaughtered (Tonnes)","2004M08","All Pigs",15887
"888","Average Pig Carcass Weight (Kg)","2004M08","All Pigs",77.1
"889","Pigs Slaughtered (Number)","2004M09","All Pigs",270216
"890","Weight of Pigs Slaughtered (Tonnes)","2004M09","All Pigs",20825
"891","Average Pig Carcass Weight (Kg)","2004M09","All Pigs",77.1
"892","Pigs Slaughtered (Number)","2004M10","All Pigs",208036
"893","Weight of Pigs Slaughtered (Tonnes)","2004M10","All Pigs",15500
"894","Average Pig Carcass Weight (Kg)","2004M10","All Pigs",74.5
"895","Pigs Slaughtered (Number)","2004M11","All Pigs",NA
"896","Weight of Pigs Slaughtered (Tonnes)","2004M11","All Pigs",NA
"897","Average Pig Carcass Weight (Kg)","2004M11","All Pigs",NA
"898","Pigs Slaughtered (Number)","2004M12","All Pigs",NA
"899","Weight of Pigs Slaughtered (Tonnes)","2004M12","All Pigs",NA
"900","Average Pig Carcass Weight (Kg)","2004M12","All Pigs",NA
"901","Pigs Slaughtered (Number)","2005M01","All Pigs",1793
"902","Weight of Pigs Slaughtered (Tonnes)","2005M01","All Pigs",0
"903","Average Pig Carcass Weight (Kg)","2005M01","All Pigs",142979
"904","Pigs Slaughtered (Number)","1980M01","Pigs for Bacon",160469
"905","Weight of Pigs Slaughtered (Tonnes)","1980M01","Pigs for Bacon",10162
"906","Average Pig Carcass Weight (Kg)","1980M01","Pigs for Bacon",63
"907","Pigs Slaughtered (Number)","1980M02","Pigs for Bacon",139929
"908","Weight of Pigs Slaughtered (Tonnes)","1980M02","Pigs for Bacon",8813
"909","Average Pig Carcass Weight (Kg)","1980M02","Pigs for Bacon",63
"910","Pigs Slaughtered (Number)","1980M03","Pigs for Bacon",135592
"911","Weight of Pigs Slaughtered (Tonnes)","1980M03","Pigs for Bacon",8518
"912","Average Pig Carcass Weight (Kg)","1980M03","Pigs for Bacon",63
"913","Pigs Slaughtered (Number)","1980M04","Pigs for Bacon",145815
"914","Weight of Pigs Slaughtered (Tonnes)","1980M04","Pigs for Bacon",9178
"915","Average Pig Carcass Weight (Kg)","1980M04","Pigs for Bacon",63
"916","Pigs Slaughtered (Number)","1980M05","Pigs for Bacon",140004
"917","Weight of Pigs Slaughtered (Tonnes)","1980M05","Pigs for Bacon",8779
"918","Average Pig Carcass Weight (Kg)","1980M05","Pigs for Bacon",63
"919","Pigs Slaughtered (Number)","1980M06","Pigs for Bacon",138049
"920","Weight of Pigs Slaughtered (Tonnes)","1980M06","Pigs for Bacon",8622
"921","Average Pig Carcass Weight (Kg)","1980M06","Pigs for Bacon",62
"922","Pigs Slaughtered (Number)","1980M07","Pigs for Bacon",159453
"923","Weight of Pigs Slaughtered (Tonnes)","1980M07","Pigs for Bacon",9958
"924","Average Pig Carcass Weight (Kg)","1980M07","Pigs for Bacon",62
"925","Pigs Slaughtered (Number)","1980M08","Pigs for Bacon",137950
"926","Weight of Pigs Slaughtered (Tonnes)","1980M08","Pigs for Bacon",8618
"927","Average Pig Carcass Weight (Kg)","1980M08","Pigs for Bacon",62
"928","Pigs Slaughtered (Number)","1980M09","Pigs for Bacon",154561
"929","Weight of Pigs Slaughtered (Tonnes)","1980M09","Pigs for Bacon",9682
"930","Average Pig Carcass Weight (Kg)","1980M09","Pigs for Bacon",63
"931","Pigs Slaughtered (Number)","1980M10","Pigs for Bacon",149778
"932","Weight of Pigs Slaughtered (Tonnes)","1980M10","Pigs for Bacon",9374
"933","Average Pig Carcass Weight (Kg)","1980M10","Pigs for Bacon",63
"934","Pigs Slaughtered (Number)","1980M11","Pigs for Bacon",141665
"935","Weight of Pigs Slaughtered (Tonnes)","1980M11","Pigs for Bacon",8897
"936","Average Pig Carcass Weight (Kg)","1980M11","Pigs for Bacon",63
"937","Pigs Slaughtered (Number)","1980M12","Pigs for Bacon",134925
"938","Weight of Pigs Slaughtered (Tonnes)","1980M12","Pigs for Bacon",8431
"939","Average Pig Carcass Weight (Kg)","1980M12","Pigs for Bacon",62
"940","Pigs Slaughtered (Number)","1981M01","Pigs for Bacon",149679
"941","Weight of Pigs Slaughtered (Tonnes)","1981M01","Pigs for Bacon",9399
"942","Average Pig Carcass Weight (Kg)","1981M01","Pigs for Bacon",63
"943","Pigs Slaughtered (Number)","1981M02","Pigs for Bacon",130636
"944","Weight of Pigs Slaughtered (Tonnes)","1981M02","Pigs for Bacon",8110
"945","Average Pig Carcass Weight (Kg)","1981M02","Pigs for Bacon",62
"946","Pigs Slaughtered (Number)","1981M03","Pigs for Bacon",147079
"947","Weight of Pigs Slaughtered (Tonnes)","1981M03","Pigs for Bacon",9157
"948","Average Pig Carcass Weight (Kg)","1981M03","Pigs for Bacon",62
"949","Pigs Slaughtered (Number)","1981M04","Pigs for Bacon",136206
"950","Weight of Pigs Slaughtered (Tonnes)","1981M04","Pigs for Bacon",8762
"951","Average Pig Carcass Weight (Kg)","1981M04","Pigs for Bacon",64.3
"952","Pigs Slaughtered (Number)","1981M05","Pigs for Bacon",133604
"953","Weight of Pigs Slaughtered (Tonnes)","1981M05","Pigs for Bacon",8381
"954","Average Pig Carcass Weight (Kg)","1981M05","Pigs for Bacon",62.7
"955","Pigs Slaughtered (Number)","1981M06","Pigs for Bacon",148342
"956","Weight of Pigs Slaughtered (Tonnes)","1981M06","Pigs for Bacon",9209
"957","Average Pig Carcass Weight (Kg)","1981M06","Pigs for Bacon",62.1
"958","Pigs Slaughtered (Number)","1981M07","Pigs for Bacon",154414
"959","Weight of Pigs Slaughtered (Tonnes)","1981M07","Pigs for Bacon",9633
"960","Average Pig Carcass Weight (Kg)","1981M07","Pigs for Bacon",62.4
"961","Pigs Slaughtered (Number)","1981M08","Pigs for Bacon",141965
"962","Weight of Pigs Slaughtered (Tonnes)","1981M08","Pigs for Bacon",8899
"963","Average Pig Carcass Weight (Kg)","1981M08","Pigs for Bacon",62.7
"964","Pigs Slaughtered (Number)","1981M09","Pigs for Bacon",160454
"965","Weight of Pigs Slaughtered (Tonnes)","1981M09","Pigs for Bacon",10119
"966","Average Pig Carcass Weight (Kg)","1981M09","Pigs for Bacon",63.1
"967","Pigs Slaughtered (Number)","1981M10","Pigs for Bacon",149753
"968","Weight of Pigs Slaughtered (Tonnes)","1981M10","Pigs for Bacon",9471
"969","Average Pig Carcass Weight (Kg)","1981M10","Pigs for Bacon",63.2
"970","Pigs Slaughtered (Number)","1981M11","Pigs for Bacon",144029
"971","Weight of Pigs Slaughtered (Tonnes)","1981M11","Pigs for Bacon",9018
"972","Average Pig Carcass Weight (Kg)","1981M11","Pigs for Bacon",62.6
"973","Pigs Slaughtered (Number)","1981M12","Pigs for Bacon",136877
"974","Weight of Pigs Slaughtered (Tonnes)","1981M12","Pigs for Bacon",8716
"975","Average Pig Carcass Weight (Kg)","1981M12","Pigs for Bacon",63.7
"976","Pigs Slaughtered (Number)","1982M01","Pigs for Bacon",130479
"977","Weight of Pigs Slaughtered (Tonnes)","1982M01","Pigs for Bacon",8271
"978","Average Pig Carcass Weight (Kg)","1982M01","Pigs for Bacon",63
"979","Pigs Slaughtered (Number)","1982M02","Pigs for Bacon",131552
"980","Weight of Pigs Slaughtered (Tonnes)","1982M02","Pigs for Bacon",8285
"981","Average Pig Carcass Weight (Kg)","1982M02","Pigs for Bacon",63
"982","Pigs Slaughtered (Number)","1982M03","Pigs for Bacon",146998
"983","Weight of Pigs Slaughtered (Tonnes)","1982M03","Pigs for Bacon",9283
"984","Average Pig Carcass Weight (Kg)","1982M03","Pigs for Bacon",63
"985","Pigs Slaughtered (Number)","1982M04","Pigs for Bacon",131897
"986","Weight of Pigs Slaughtered (Tonnes)","1982M04","Pigs for Bacon",8345
"987","Average Pig Carcass Weight (Kg)","1982M04","Pigs for Bacon",63.3
"988","Pigs Slaughtered (Number)","1982M05","Pigs for Bacon",124966
"989","Weight of Pigs Slaughtered (Tonnes)","1982M05","Pigs for Bacon",7843
"990","Average Pig Carcass Weight (Kg)","1982M05","Pigs for Bacon",62.8
"991","Pigs Slaughtered (Number)","1982M06","Pigs for Bacon",134417
"992","Weight of Pigs Slaughtered (Tonnes)","1982M06","Pigs for Bacon",8495
"993","Average Pig Carcass Weight (Kg)","1982M06","Pigs for Bacon",63.2
"994","Pigs Slaughtered (Number)","1982M07","Pigs for Bacon",139850
"995","Weight of Pigs Slaughtered (Tonnes)","1982M07","Pigs for Bacon",8775
"996","Average Pig Carcass Weight (Kg)","1982M07","Pigs for Bacon",62.7
"997","Pigs Slaughtered (Number)","1982M08","Pigs for Bacon",147406
"998","Weight of Pigs Slaughtered (Tonnes)","1982M08","Pigs for Bacon",9282
"999","Average Pig Carcass Weight (Kg)","1982M08","Pigs for Bacon",63
"1000","Pigs Slaughtered (Number)","1982M09","Pigs for Bacon",150941
"1001","Weight of Pigs Slaughtered (Tonnes)","1982M09","Pigs for Bacon",9530
"1002","Average Pig Carcass Weight (Kg)","1982M09","Pigs for Bacon",63.1
"1003","Pigs Slaughtered (Number)","1982M10","Pigs for Bacon",134708
"1004","Weight of Pigs Slaughtered (Tonnes)","1982M10","Pigs for Bacon",8567
"1005","Average Pig Carcass Weight (Kg)","1982M10","Pigs for Bacon",63.6
"1006","Pigs Slaughtered (Number)","1982M11","Pigs for Bacon",152807
"1007","Weight of Pigs Slaughtered (Tonnes)","1982M11","Pigs for Bacon",9564
"1008","Average Pig Carcass Weight (Kg)","1982M11","Pigs for Bacon",62.6
"1009","Pigs Slaughtered (Number)","1982M12","Pigs for Bacon",126277
"1010","Weight of Pigs Slaughtered (Tonnes)","1982M12","Pigs for Bacon",7842
"1011","Average Pig Carcass Weight (Kg)","1982M12","Pigs for Bacon",62.1
"1012","Pigs Slaughtered (Number)","1983M01","Pigs for Bacon",135005
"1013","Weight of Pigs Slaughtered (Tonnes)","1983M01","Pigs for Bacon",8574
"1014","Average Pig Carcass Weight (Kg)","1983M01","Pigs for Bacon",63.5
"1015","Pigs Slaughtered (Number)","1983M02","Pigs for Bacon",120126
"1016","Weight of Pigs Slaughtered (Tonnes)","1983M02","Pigs for Bacon",7564
"1017","Average Pig Carcass Weight (Kg)","1983M02","Pigs for Bacon",63
"1018","Pigs Slaughtered (Number)","1983M03","Pigs for Bacon",132803
"1019","Weight of Pigs Slaughtered (Tonnes)","1983M03","Pigs for Bacon",8345
"1020","Average Pig Carcass Weight (Kg)","1983M03","Pigs for Bacon",62.8
"1021","Pigs Slaughtered (Number)","1983M04","Pigs for Bacon",110476
"1022","Weight of Pigs Slaughtered (Tonnes)","1983M04","Pigs for Bacon",6902
"1023","Average Pig Carcass Weight (Kg)","1983M04","Pigs for Bacon",62.5
"1024","Pigs Slaughtered (Number)","1983M05","Pigs for Bacon",119041
"1025","Weight of Pigs Slaughtered (Tonnes)","1983M05","Pigs for Bacon",7351
"1026","Average Pig Carcass Weight (Kg)","1983M05","Pigs for Bacon",61.8
"1027","Pigs Slaughtered (Number)","1983M06","Pigs for Bacon",120786
"1028","Weight of Pigs Slaughtered (Tonnes)","1983M06","Pigs for Bacon",7414
"1029","Average Pig Carcass Weight (Kg)","1983M06","Pigs for Bacon",61.4
"1030","Pigs Slaughtered (Number)","1983M07","Pigs for Bacon",113228
"1031","Weight of Pigs Slaughtered (Tonnes)","1983M07","Pigs for Bacon",6967
"1032","Average Pig Carcass Weight (Kg)","1983M07","Pigs for Bacon",61.5
"1033","Pigs Slaughtered (Number)","1983M08","Pigs for Bacon",134191
"1034","Weight of Pigs Slaughtered (Tonnes)","1983M08","Pigs for Bacon",8303
"1035","Average Pig Carcass Weight (Kg)","1983M08","Pigs for Bacon",61.9
"1036","Pigs Slaughtered (Number)","1983M09","Pigs for Bacon",129084
"1037","Weight of Pigs Slaughtered (Tonnes)","1983M09","Pigs for Bacon",8116
"1038","Average Pig Carcass Weight (Kg)","1983M09","Pigs for Bacon",62.9
"1039","Pigs Slaughtered (Number)","1983M10","Pigs for Bacon",124178
"1040","Weight of Pigs Slaughtered (Tonnes)","1983M10","Pigs for Bacon",7752
"1041","Average Pig Carcass Weight (Kg)","1983M10","Pigs for Bacon",62.4
"1042","Pigs Slaughtered (Number)","1983M11","Pigs for Bacon",134089
"1043","Weight of Pigs Slaughtered (Tonnes)","1983M11","Pigs for Bacon",8358
"1044","Average Pig Carcass Weight (Kg)","1983M11","Pigs for Bacon",62.3
"1045","Pigs Slaughtered (Number)","1983M12","Pigs for Bacon",116374
"1046","Weight of Pigs Slaughtered (Tonnes)","1983M12","Pigs for Bacon",7188
"1047","Average Pig Carcass Weight (Kg)","1983M12","Pigs for Bacon",61.8
"1048","Pigs Slaughtered (Number)","1984M01","Pigs for Bacon",113292
"1049","Weight of Pigs Slaughtered (Tonnes)","1984M01","Pigs for Bacon",7140
"1050","Average Pig Carcass Weight (Kg)","1984M01","Pigs for Bacon",63
"1051","Pigs Slaughtered (Number)","1984M02","Pigs for Bacon",115305
"1052","Weight of Pigs Slaughtered (Tonnes)","1984M02","Pigs for Bacon",7271
"1053","Average Pig Carcass Weight (Kg)","1984M02","Pigs for Bacon",63.1
"1054","Pigs Slaughtered (Number)","1984M03","Pigs for Bacon",108002
"1055","Weight of Pigs Slaughtered (Tonnes)","1984M03","Pigs for Bacon",6711
"1056","Average Pig Carcass Weight (Kg)","1984M03","Pigs for Bacon",62.1
"1057","Pigs Slaughtered (Number)","1984M04","Pigs for Bacon",104726
"1058","Weight of Pigs Slaughtered (Tonnes)","1984M04","Pigs for Bacon",6487
"1059","Average Pig Carcass Weight (Kg)","1984M04","Pigs for Bacon",61.9
"1060","Pigs Slaughtered (Number)","1984M05","Pigs for Bacon",123882
"1061","Weight of Pigs Slaughtered (Tonnes)","1984M05","Pigs for Bacon",7594
"1062","Average Pig Carcass Weight (Kg)","1984M05","Pigs for Bacon",61.3
"1063","Pigs Slaughtered (Number)","1984M06","Pigs for Bacon",101790
"1064","Weight of Pigs Slaughtered (Tonnes)","1984M06","Pigs for Bacon",6214
"1065","Average Pig Carcass Weight (Kg)","1984M06","Pigs for Bacon",61.1
"1066","Pigs Slaughtered (Number)","1984M07","Pigs for Bacon",116793
"1067","Weight of Pigs Slaughtered (Tonnes)","1984M07","Pigs for Bacon",7141
"1068","Average Pig Carcass Weight (Kg)","1984M07","Pigs for Bacon",61.1
"1069","Pigs Slaughtered (Number)","1984M08","Pigs for Bacon",119308
"1070","Weight of Pigs Slaughtered (Tonnes)","1984M08","Pigs for Bacon",7330
"1071","Average Pig Carcass Weight (Kg)","1984M08","Pigs for Bacon",61.4
"1072","Pigs Slaughtered (Number)","1984M09","Pigs for Bacon",107019
"1073","Weight of Pigs Slaughtered (Tonnes)","1984M09","Pigs for Bacon",6580
"1074","Average Pig Carcass Weight (Kg)","1984M09","Pigs for Bacon",61.5
"1075","Pigs Slaughtered (Number)","1984M10","Pigs for Bacon",68789
"1076","Weight of Pigs Slaughtered (Tonnes)","1984M10","Pigs for Bacon",4290
"1077","Average Pig Carcass Weight (Kg)","1984M10","Pigs for Bacon",62.4
"1078","Pigs Slaughtered (Number)","1984M11","Pigs for Bacon",119589
"1079","Weight of Pigs Slaughtered (Tonnes)","1984M11","Pigs for Bacon",7589
"1080","Average Pig Carcass Weight (Kg)","1984M11","Pigs for Bacon",63.5
"1081","Pigs Slaughtered (Number)","1984M12","Pigs for Bacon",76731
"1082","Weight of Pigs Slaughtered (Tonnes)","1984M12","Pigs for Bacon",4768
"1083","Average Pig Carcass Weight (Kg)","1984M12","Pigs for Bacon",62.1
"1084","Pigs Slaughtered (Number)","1985M01","Pigs for Bacon",111062
"1085","Weight of Pigs Slaughtered (Tonnes)","1985M01","Pigs for Bacon",7015
"1086","Average Pig Carcass Weight (Kg)","1985M01","Pigs for Bacon",63.2
"1087","Pigs Slaughtered (Number)","1985M02","Pigs for Bacon",91701
"1088","Weight of Pigs Slaughtered (Tonnes)","1985M02","Pigs for Bacon",5678
"1089","Average Pig Carcass Weight (Kg)","1985M02","Pigs for Bacon",61.9
"1090","Pigs Slaughtered (Number)","1985M03","Pigs for Bacon",96803
"1091","Weight of Pigs Slaughtered (Tonnes)","1985M03","Pigs for Bacon",5943
