"","Statistic","Month","Meat.Usage","value"
"79","Pigs Slaughtered (Number)","1982M03","All Pigs",182517
"80","Weight of Pigs Slaughtered (Tonnes)","1982M03","All Pigs",NA
"81","Average Pig Carcass Weight (Kg)","1982M03","All Pigs",NA
"82","Pigs Slaughtered (Number)","1982M04","All Pigs",168156
"83","Weight of Pigs Slaughtered (Tonnes)","1982M04","All Pigs",NA
"84","Average Pig Carcass Weight (Kg)","1982M04","All Pigs",NA
"85","Pigs Slaughtered (Number)","1982M05","All Pigs",163641
"86","Weight of Pigs Slaughtered (Tonnes)","1982M05","All Pigs",NA
"87","Average Pig Carcass Weight (Kg)","1982M05","All Pigs",NA
"88","Pigs Slaughtered (Number)","1982M06","All Pigs",177438
"89","Weight of Pigs Slaughtered (Tonnes)","1982M06","All Pigs",NA
"90","Average Pig Carcass Weight (Kg)","1982M06","All Pigs",NA
"91","Pigs Slaughtered (Number)","1982M07","All Pigs",181465
"92","Weight of Pigs Slaughtered (Tonnes)","1982M07","All Pigs",NA
"93","Average Pig Carcass Weight (Kg)","1982M07","All Pigs",NA
"94","Pigs Slaughtered (Number)","1982M08","All Pigs",187753
"95","Weight of Pigs Slaughtered (Tonnes)","1982M08","All Pigs",NA
"96","Average Pig Carcass Weight (Kg)","1982M08","All Pigs",NA
"97","Pigs Slaughtered (Number)","1982M09","All Pigs",196513
"98","Weight of Pigs Slaughtered (Tonnes)","1982M09","All Pigs",NA
"99","Average Pig Carcass Weight (Kg)","1982M09","All Pigs",NA
"100","Pigs Slaughtered (Number)","1982M10","All Pigs",179040
"101","Weight of Pigs Slaughtered (Tonnes)","1982M10","All Pigs",NA
"102","Average Pig Carcass Weight (Kg)","1982M10","All Pigs",NA
"103","Pigs Slaughtered (Number)","1982M11","All Pigs",201594
"104","Weight of Pigs Slaughtered (Tonnes)","1982M11","All Pigs",NA
"105","Average Pig Carcass Weight (Kg)","1982M11","All Pigs",NA
"106","Pigs Slaughtered (Number)","1982M12","All Pigs",171767
"107","Weight of Pigs Slaughtered (Tonnes)","1982M12","All Pigs",NA
"108","Average Pig Carcass Weight (Kg)","1982M12","All Pigs",NA
"109","Pigs Slaughtered (Number)","1983M01","All Pigs",189327
"110","Weight of Pigs Slaughtered (Tonnes)","1983M01","All Pigs",12421
"111","Average Pig Carcass Weight (Kg)","1983M01","All Pigs",65.6
"112","Pigs Slaughtered (Number)","1983M02","All Pigs",181731
"113","Weight of Pigs Slaughtered (Tonnes)","1983M02","All Pigs",11841
"114","Average Pig Carcass Weight (Kg)","1983M02","All Pigs",65.2
"115","Pigs Slaughtered (Number)","1983M03","All Pigs",211123
"116","Weight of Pigs Slaughtered (Tonnes)","1983M03","All Pigs",13791
"117","Average Pig Carcass Weight (Kg)","1983M03","All Pigs",65.3
"118","Pigs Slaughtered (Number)","1983M04","All Pigs",177087
"119","Weight of Pigs Slaughtered (Tonnes)","1983M04","All Pigs",11398
"120","Average Pig Carcass Weight (Kg)","1983M04","All Pigs",64.4
"121","Pigs Slaughtered (Number)","1983M05","All Pigs",189100
"122","Weight of Pigs Slaughtered (Tonnes)","1983M05","All Pigs",12106
"123","Average Pig Carcass Weight (Kg)","1983M05","All Pigs",64
"124","Pigs Slaughtered (Number)","1983M06","All Pigs",186438
"125","Weight of Pigs Slaughtered (Tonnes)","1983M06","All Pigs",11885
"126","Average Pig Carcass Weight (Kg)","1983M06","All Pigs",63.7
"127","Pigs Slaughtered (Number)","1983M07","All Pigs",174667
"128","Weight of Pigs Slaughtered (Tonnes)","1983M07","All Pigs",11201
"129","Average Pig Carcass Weight (Kg)","1983M07","All Pigs",64.1
"130","Pigs Slaughtered (Number)","1983M08","All Pigs",202594
"131","Weight of Pigs Slaughtered (Tonnes)","1983M08","All Pigs",12860
"132","Average Pig Carcass Weight (Kg)","1983M08","All Pigs",63.5
"133","Pigs Slaughtered (Number)","1983M09","All Pigs",196262
"134","Weight of Pigs Slaughtered (Tonnes)","1983M09","All Pigs",12781
"135","Average Pig Carcass Weight (Kg)","1983M09","All Pigs",65.1
"136","Pigs Slaughtered (Number)","1983M10","All Pigs",181899
"137","Weight of Pigs Slaughtered (Tonnes)","1983M10","All Pigs",11762
"138","Average Pig Carcass Weight (Kg)","1983M10","All Pigs",64.7
"139","Pigs Slaughtered (Number)","1983M11","All Pigs",190248
"140","Weight of Pigs Slaughtered (Tonnes)","1983M11","All Pigs",12326
"141","Average Pig Carcass Weight (Kg)","1983M11","All Pigs",64.8
"142","Pigs Slaughtered (Number)","1983M12","All Pigs",164868
"143","Weight of Pigs Slaughtered (Tonnes)","1983M12","All Pigs",10534
"144","Average Pig Carcass Weight (Kg)","1983M12","All Pigs",64
"145","Pigs Slaughtered (Number)","1984M01","All Pigs",181738
"146","Weight of Pigs Slaughtered (Tonnes)","1984M01","All Pigs",11967
"147","Average Pig Carcass Weight (Kg)","1984M01","All Pigs",65.8
"148","Pigs Slaughtered (Number)","1984M02","All Pigs",184785
"149","Weight of Pigs Slaughtered (Tonnes)","1984M02","All Pigs",12189
"150","Average Pig Carcass Weight (Kg)","1984M02","All Pigs",66
"151","Pigs Slaughtered (Number)","1984M03","All Pigs",180645
"152","Weight of Pigs Slaughtered (Tonnes)","1984M03","All Pigs",11777
"153","Average Pig Carcass Weight (Kg)","1984M03","All Pigs",65.2
"154","Pigs Slaughtered (Number)","1984M04","All Pigs",156193
"155","Weight of Pigs Slaughtered (Tonnes)","1984M04","All Pigs",10100
"156","Average Pig Carcass Weight (Kg)","1984M04","All Pigs",64.7
"157","Pigs Slaughtered (Number)","1984M05","All Pigs",175207
"158","Weight of Pigs Slaughtered (Tonnes)","1984M05","All Pigs",11204
"159","Average Pig Carcass Weight (Kg)","1984M05","All Pigs",63.9
"160","Pigs Slaughtered (Number)","1984M06","All Pigs",150096
"161","Weight of Pigs Slaughtered (Tonnes)","1984M06","All Pigs",9680
"162","Average Pig Carcass Weight (Kg)","1984M06","All Pigs",64.5
"163","Pigs Slaughtered (Number)","1984M07","All Pigs",168623
"164","Weight of Pigs Slaughtered (Tonnes)","1984M07","All Pigs",10657
"165","Average Pig Carcass Weight (Kg)","1984M07","All Pigs",63.2
"166","Pigs Slaughtered (Number)","1984M08","All Pigs",175119
"167","Weight of Pigs Slaughtered (Tonnes)","1984M08","All Pigs",11240
"168","Average Pig Carcass Weight (Kg)","1984M08","All Pigs",64.2
"169","Pigs Slaughtered (Number)","1984M09","All Pigs",147867
"170","Weight of Pigs Slaughtered (Tonnes)","1984M09","All Pigs",9549
"171","Average Pig Carcass Weight (Kg)","1984M09","All Pigs",64.6
"172","Pigs Slaughtered (Number)","1984M10","All Pigs",111776
"173","Weight of Pigs Slaughtered (Tonnes)","1984M10","All Pigs",7439
"174","Average Pig Carcass Weight (Kg)","1984M10","All Pigs",66.6
"175","Pigs Slaughtered (Number)","1984M11","All Pigs",161917
"176","Weight of Pigs Slaughtered (Tonnes)","1984M11","All Pigs",10701
"177","Average Pig Carcass Weight (Kg)","1984M11","All Pigs",66.1
"178","Pigs Slaughtered (Number)","1984M12","All Pigs",107242
"179","Weight of Pigs Slaughtered (Tonnes)","1984M12","All Pigs",6860
"180","Average Pig Carcass Weight (Kg)","1984M12","All Pigs",64
"181","Pigs Slaughtered (Number)","1985M01","All Pigs",160149
"182","Weight of Pigs Slaughtered (Tonnes)","1985M01","All Pigs",10599
"183","Average Pig Carcass Weight (Kg)","1985M01","All Pigs",66.2
"184","Pigs Slaughtered (Number)","1985M02","All Pigs",136511
"185","Weight of Pigs Slaughtered (Tonnes)","1985M02","All Pigs",8820
"186","Average Pig Carcass Weight (Kg)","1985M02","All Pigs",64.6
"187","Pigs Slaughtered (Number)","1985M03","All Pigs",142901
"188","Weight of Pigs Slaughtered (Tonnes)","1985M03","All Pigs",9040
"189","Average Pig Carcass Weight (Kg)","1985M03","All Pigs",63.3
"190","Pigs Slaughtered (Number)","1985M04","All Pigs",142725
"191","Weight of Pigs Slaughtered (Tonnes)","1985M04","All Pigs",9027
"192","Average Pig Carcass Weight (Kg)","1985M04","All Pigs",63.3
"193","Pigs Slaughtered (Number)","1985M05","All Pigs",146111
"194","Weight of Pigs Slaughtered (Tonnes)","1985M05","All Pigs",9215
"195","Average Pig Carcass Weight (Kg)","1985M05","All Pigs",63.1
"196","Pigs Slaughtered (Number)","1985M06","All Pigs",128485
"197","Weight of Pigs Slaughtered (Tonnes)","1985M06","All Pigs",8246
"198","Average Pig Carcass Weight (Kg)","1985M06","All Pigs",64.2
"199","Pigs Slaughtered (Number)","1985M07","All Pigs",160254
"200","Weight of Pigs Slaughtered (Tonnes)","1985M07","All Pigs",10196
"201","Average Pig Carcass Weight (Kg)","1985M07","All Pigs",63.6
"202","Pigs Slaughtered (Number)","1985M08","All Pigs",153895
"203","Weight of Pigs Slaughtered (Tonnes)","1985M08","All Pigs",9892
"204","Average Pig Carcass Weight (Kg)","1985M08","All Pigs",64.3
"205","Pigs Slaughtered (Number)","1985M09","All Pigs",159580
"206","Weight of Pigs Slaughtered (Tonnes)","1985M09","All Pigs",10242
"207","Average Pig Carcass Weight (Kg)","1985M09","All Pigs",64.2
"208","Pigs Slaughtered (Number)","1985M10","All Pigs",164848
"209","Weight of Pigs Slaughtered (Tonnes)","1985M10","All Pigs",10597
"210","Average Pig Carcass Weight (Kg)","1985M10","All Pigs",64.3
"211","Pigs Slaughtered (Number)","1985M11","All Pigs",155584
"212","Weight of Pigs Slaughtered (Tonnes)","1985M11","All Pigs",10014
"213","Average Pig Carcass Weight (Kg)","1985M11","All Pigs",64.4
"214","Pigs Slaughtered (Number)","1985M12","All Pigs",142346
"215","Weight of Pigs Slaughtered (Tonnes)","1985M12","All Pigs",9368
"216","Average Pig Carcass Weight (Kg)","1985M12","All Pigs",65.8
"217","Pigs Slaughtered (Number)","1986M01","All Pigs",169821
"218","Weight of Pigs Slaughtered (Tonnes)","1986M01","All Pigs",11059
"219","Average Pig Carcass Weight (Kg)","1986M01","All Pigs",65.1
"220","Pigs Slaughtered (Number)","1986M02","All Pigs",136249
"221","Weight of Pigs Slaughtered (Tonnes)","1986M02","All Pigs",8809
"222","Average Pig Carcass Weight (Kg)","1986M02","All Pigs",64.7
"223","Pigs Slaughtered (Number)","1986M03","All Pigs",142861
"224","Weight of Pigs Slaughtered (Tonnes)","1986M03","All Pigs",9205
"225","Average Pig Carcass Weight (Kg)","1986M03","All Pigs",64.4
"226","Pigs Slaughtered (Number)","1986M04","All Pigs",158105
"227","Weight of Pigs Slaughtered (Tonnes)","1986M04","All Pigs",10206
"228","Average Pig Carcass Weight (Kg)","1986M04","All Pigs",64.6
"229","Pigs Slaughtered (Number)","1986M05","All Pigs",145050
"230","Weight of Pigs Slaughtered (Tonnes)","1986M05","All Pigs",9242
"231","Average Pig Carcass Weight (Kg)","1986M05","All Pigs",63.7
"232","Pigs Slaughtered (Number)","1986M06","All Pigs",133999
"233","Weight of Pigs Slaughtered (Tonnes)","1986M06","All Pigs",8516
"234","Average Pig Carcass Weight (Kg)","1986M06","All Pigs",63.6
"235","Pigs Slaughtered (Number)","1986M07","All Pigs",149697
"236","Weight of Pigs Slaughtered (Tonnes)","1986M07","All Pigs",9532
"237","Average Pig Carcass Weight (Kg)","1986M07","All Pigs",63.7
"238","Pigs Slaughtered (Number)","1986M08","All Pigs",135761
"239","Weight of Pigs Slaughtered (Tonnes)","1986M08","All Pigs",8758
"240","Average Pig Carcass Weight (Kg)","1986M08","All Pigs",64.5
"241","Pigs Slaughtered (Number)","1986M09","All Pigs",150592
"242","Weight of Pigs Slaughtered (Tonnes)","1986M09","All Pigs",9502
"243","Average Pig Carcass Weight (Kg)","1986M09","All Pigs",63.1
"244","Pigs Slaughtered (Number)","1986M10","All Pigs",157773
"245","Weight of Pigs Slaughtered (Tonnes)","1986M10","All Pigs",10138
"246","Average Pig Carcass Weight (Kg)","1986M10","All Pigs",64.3
"247","Pigs Slaughtered (Number)","1986M11","All Pigs",143197
"248","Weight of Pigs Slaughtered (Tonnes)","1986M11","All Pigs",9125
"249","Average Pig Carcass Weight (Kg)","1986M11","All Pigs",63.7
"250","Pigs Slaughtered (Number)","1986M12","All Pigs",142949
"251","Weight of Pigs Slaughtered (Tonnes)","1986M12","All Pigs",8875
"252","Average Pig Carcass Weight (Kg)","1986M12","All Pigs",62.1
"253","Pigs Slaughtered (Number)","1987M01","All Pigs",146804
"254","Weight of Pigs Slaughtered (Tonnes)","1987M01","All Pigs",9464
"255","Average Pig Carcass Weight (Kg)","1987M01","All Pigs",64.5
"256","Pigs Slaughtered (Number)","1987M02","All Pigs",139833
"257","Weight of Pigs Slaughtered (Tonnes)","1987M02","All Pigs",9016
