"","Year","Meat.Usage","Statistic","value"
"78","1996","All Pigs","Average Pig Carcass Weight (Kg)",73
"79","1997","All Pigs","Average Pig Carcass Weight (Kg)",72
"80","1998","All Pigs","Average Pig Carcass Weight (Kg)",72
"81","1999","All Pigs","Average Pig Carcass Weight (Kg)",72
"82","2000","All Pigs","Average Pig Carcass Weight (Kg)",72
"83","2001","All Pigs","Average Pig Carcass Weight (Kg)",73
"84","2002","All Pigs","Average Pig Carcass Weight (Kg)",73
"85","1991","Pigs for Bacon","Average Pig Carcass Weight (Kg)",63
"86","1992","Pigs for Bacon","Average Pig Carcass Weight (Kg)",65
"87","1993","Pigs for Bacon","Average Pig Carcass Weight (Kg)",66
"88","1994","Pigs for Bacon","Average Pig Carcass Weight (Kg)",66
"89","1995","Pigs for Bacon","Average Pig Carcass Weight (Kg)",67
"90","1996","Pigs for Bacon","Average Pig Carcass Weight (Kg)",69
"91","1997","Pigs for Bacon","Average Pig Carcass Weight (Kg)",69
"92","1998","Pigs for Bacon","Average Pig Carcass Weight (Kg)",69
"93","1999","Pigs for Bacon","Average Pig Carcass Weight (Kg)",69
"94","2000","Pigs for Bacon","Average Pig Carcass Weight (Kg)",70
"95","2001","Pigs for Bacon","Average Pig Carcass Weight (Kg)",71
"96","2002","Pigs for Bacon","Average Pig Carcass Weight (Kg)",71
"97","1991","Pigs for Pork","Average Pig Carcass Weight (Kg)",70
"98","1992","Pigs for Pork","Average Pig Carcass Weight (Kg)",71
"99","1993","Pigs for Pork","Average Pig Carcass Weight (Kg)",72
"100","1994","Pigs for Pork","Average Pig Carcass Weight (Kg)",73
"101","1995","Pigs for Pork","Average Pig Carcass Weight (Kg)",74
"102","1996","Pigs for Pork","Average Pig Carcass Weight (Kg)",76
"103","1997","Pigs for Pork","Average Pig Carcass Weight (Kg)",75
"104","1998","Pigs for Pork","Average Pig Carcass Weight (Kg)",74
"105","1999","Pigs for Pork","Average Pig Carcass Weight (Kg)",73
"106","2000","Pigs for Pork","Average Pig Carcass Weight (Kg)",73
"107","2001","Pigs for Pork","Average Pig Carcass Weight (Kg)",74
"108","2002","Pigs for Pork","Average Pig Carcass Weight (Kg)",74
