"","Statistic","Year","Type.of.Animal","value"
"375","Number of Animals Slaughtered (000 Head)","1983","Sheep",1623.6
"376","Weight of Animals Slaughtered (000 Tonnes)","1983","Sheep",NA
"377","Number of Animals Slaughtered (000 Head)","1984","Sheep",1682.9
"378","Weight of Animals Slaughtered (000 Tonnes)","1984","Sheep",NA
"379","Number of Animals Slaughtered (000 Head)","1985","Sheep",2081.3
"380","Weight of Animals Slaughtered (000 Tonnes)","1985","Sheep",NA
"381","Number of Animals Slaughtered (000 Head)","1986","Sheep",2000
"382","Weight of Animals Slaughtered (000 Tonnes)","1986","Sheep",NA
"383","Number of Animals Slaughtered (000 Head)","1987","Sheep",2069.7
"384","Weight of Animals Slaughtered (000 Tonnes)","1987","Sheep",NA
"385","Number of Animals Slaughtered (000 Head)","1988","Sheep",2138.8
"386","Weight of Animals Slaughtered (000 Tonnes)","1988","Sheep",NA
"387","Number of Animals Slaughtered (000 Head)","1989","Sheep",2848.2
"388","Weight of Animals Slaughtered (000 Tonnes)","1989","Sheep",NA
"389","Number of Animals Slaughtered (000 Head)","1990","Sheep",3887.1
"390","Weight of Animals Slaughtered (000 Tonnes)","1990","Sheep",NA
"391","Number of Animals Slaughtered (000 Head)","1991","Sheep",4216.2
"392","Weight of Animals Slaughtered (000 Tonnes)","1991","Sheep",88
"393","Number of Animals Slaughtered (000 Head)","1992","Sheep",4357.4
"394","Weight of Animals Slaughtered (000 Tonnes)","1992","Sheep",90.8
"395","Number of Animals Slaughtered (000 Head)","1993","Sheep",4700.4
"396","Weight of Animals Slaughtered (000 Tonnes)","1993","Sheep",94.3
"397","Number of Animals Slaughtered (000 Head)","1994","Sheep",4420.5
"398","Weight of Animals Slaughtered (000 Tonnes)","1994","Sheep",89.9
"399","Number of Animals Slaughtered (000 Head)","1995","Sheep",4298.2
"400","Weight of Animals Slaughtered (000 Tonnes)","1995","Sheep",87.4
"401","Number of Animals Slaughtered (000 Head)","1996","Sheep",4368
"402","Weight of Animals Slaughtered (000 Tonnes)","1996","Sheep",88.4
"403","Number of Animals Slaughtered (000 Head)","1997","Sheep",3768.2
"404","Weight of Animals Slaughtered (000 Tonnes)","1997","Sheep",75.4
"405","Number of Animals Slaughtered (000 Head)","1998","Sheep",4325.2
"406","Weight of Animals Slaughtered (000 Tonnes)","1998","Sheep",86.5
"407","Number of Animals Slaughtered (000 Head)","1999","Sheep",4523.2
"408","Weight of Animals Slaughtered (000 Tonnes)","1999","Sheep",90.3
"409","Number of Animals Slaughtered (000 Head)","2000","Sheep",4116.7
"410","Weight of Animals Slaughtered (000 Tonnes)","2000","Sheep",82.8
"411","Number of Animals Slaughtered (000 Head)","2001","Sheep",3903
"412","Weight of Animals Slaughtered (000 Tonnes)","2001","Sheep",77.9
"413","Number of Animals Slaughtered (000 Head)","2002","Sheep",3307.4
"414","Weight of Animals Slaughtered (000 Tonnes)","2002","Sheep",66.6
"415","Number of Animals Slaughtered (000 Head)","1980","Lambs",1445
"416","Weight of Animals Slaughtered (000 Tonnes)","1980","Lambs",NA
"417","Number of Animals Slaughtered (000 Head)","1981","Lambs",1468.8
"418","Weight of Animals Slaughtered (000 Tonnes)","1981","Lambs",NA
"419","Number of Animals Slaughtered (000 Head)","1982","Lambs",1366.2
"420","Weight of Animals Slaughtered (000 Tonnes)","1982","Lambs",NA
"421","Number of Animals Slaughtered (000 Head)","1983","Lambs",1286.3
"422","Weight of Animals Slaughtered (000 Tonnes)","1983","Lambs",NA
"423","Number of Animals Slaughtered (000 Head)","1984","Lambs",1311.1
"424","Weight of Animals Slaughtered (000 Tonnes)","1984","Lambs",NA
"425","Number of Animals Slaughtered (000 Head)","1985","Lambs",1690.7
"426","Weight of Animals Slaughtered (000 Tonnes)","1985","Lambs",NA
"427","Number of Animals Slaughtered (000 Head)","1986","Lambs",1578.7
"428","Weight of Animals Slaughtered (000 Tonnes)","1986","Lambs",NA
"429","Number of Animals Slaughtered (000 Head)","1987","Lambs",1627.3
"430","Weight of Animals Slaughtered (000 Tonnes)","1987","Lambs",NA
"431","Number of Animals Slaughtered (000 Head)","1988","Lambs",1651.1
"432","Weight of Animals Slaughtered (000 Tonnes)","1988","Lambs",NA
"433","Number of Animals Slaughtered (000 Head)","1989","Lambs",2329.7
"434","Weight of Animals Slaughtered (000 Tonnes)","1989","Lambs",NA
"435","Number of Animals Slaughtered (000 Head)","1990","Lambs",3305.2
"436","Weight of Animals Slaughtered (000 Tonnes)","1990","Lambs",NA
"437","Number of Animals Slaughtered (000 Head)","1991","Lambs",4027.6
"438","Weight of Animals Slaughtered (000 Tonnes)","1991","Lambs",82.5
"439","Number of Animals Slaughtered (000 Head)","1992","Lambs",4166.2
"440","Weight of Animals Slaughtered (000 Tonnes)","1992","Lambs",85.2
"441","Number of Animals Slaughtered (000 Head)","1993","Lambs",4526.2
"442","Weight of Animals Slaughtered (000 Tonnes)","1993","Lambs",89.4
"443","Number of Animals Slaughtered (000 Head)","1994","Lambs",4255.3
"444","Weight of Animals Slaughtered (000 Tonnes)","1994","Lambs",85.1
"445","Number of Animals Slaughtered (000 Head)","1995","Lambs",3625.9
"446","Weight of Animals Slaughtered (000 Tonnes)","1995","Lambs",70.3
"447","Number of Animals Slaughtered (000 Head)","1996","Lambs",3716.5
"448","Weight of Animals Slaughtered (000 Tonnes)","1996","Lambs",71.9
"449","Number of Animals Slaughtered (000 Head)","1997","Lambs",3375.1
"450","Weight of Animals Slaughtered (000 Tonnes)","1997","Lambs",65.5
"451","Number of Animals Slaughtered (000 Head)","1998","Lambs",3845.1
"452","Weight of Animals Slaughtered (000 Tonnes)","1998","Lambs",74.5
"453","Number of Animals Slaughtered (000 Head)","1999","Lambs",4020.9
"454","Weight of Animals Slaughtered (000 Tonnes)","1999","Lambs",77.8
"455","Number of Animals Slaughtered (000 Head)","2000","Lambs",3621.6
"456","Weight of Animals Slaughtered (000 Tonnes)","2000","Lambs",70.4
"457","Number of Animals Slaughtered (000 Head)","2001","Lambs",3463.8
"458","Weight of Animals Slaughtered (000 Tonnes)","2001","Lambs",67
"459","Number of Animals Slaughtered (000 Head)","2002","Lambs",2868.6
"460","Weight of Animals Slaughtered (000 Tonnes)","2002","Lambs",55.6
"461","Number of Animals Slaughtered (000 Head)","1980","Horses and Asses",NA
"462","Weight of Animals Slaughtered (000 Tonnes)","1980","Horses and Asses",NA
"463","Number of Animals Slaughtered (000 Head)","1981","Horses and Asses",NA
"464","Weight of Animals Slaughtered (000 Tonnes)","1981","Horses and Asses",NA
"465","Number of Animals Slaughtered (000 Head)","1982","Horses and Asses",NA
"466","Weight of Animals Slaughtered (000 Tonnes)","1982","Horses and Asses",NA
"467","Number of Animals Slaughtered (000 Head)","1983","Horses and Asses",NA
"468","Weight of Animals Slaughtered (000 Tonnes)","1983","Horses and Asses",NA
"469","Number of Animals Slaughtered (000 Head)","1984","Horses and Asses",NA
"470","Weight of Animals Slaughtered (000 Tonnes)","1984","Horses and Asses",NA
"471","Number of Animals Slaughtered (000 Head)","1985","Horses and Asses",NA
"472","Weight of Animals Slaughtered (000 Tonnes)","1985","Horses and Asses",NA
"473","Number of Animals Slaughtered (000 Head)","1986","Horses and Asses",NA
"474","Weight of Animals Slaughtered (000 Tonnes)","1986","Horses and Asses",NA
"475","Number of Animals Slaughtered (000 Head)","1987","Horses and Asses",NA
"476","Weight of Animals Slaughtered (000 Tonnes)","1987","Horses and Asses",NA
"477","Number of Animals Slaughtered (000 Head)","1988","Horses and Asses",NA
"478","Weight of Animals Slaughtered (000 Tonnes)","1988","Horses and Asses",NA
"479","Number of Animals Slaughtered (000 Head)","1989","Horses and Asses",NA
"480","Weight of Animals Slaughtered (000 Tonnes)","1989","Horses and Asses",NA
"481","Number of Animals Slaughtered (000 Head)","1990","Horses and Asses",NA
"482","Weight of Animals Slaughtered (000 Tonnes)","1990","Horses and Asses",NA
"483","Number of Animals Slaughtered (000 Head)","1991","Horses and Asses",NA
"484","Weight of Animals Slaughtered (000 Tonnes)","1991","Horses and Asses",NA
"485","Number of Animals Slaughtered (000 Head)","1992","Horses and Asses",NA
"486","Weight of Animals Slaughtered (000 Tonnes)","1992","Horses and Asses",NA
"487","Number of Animals Slaughtered (000 Head)","1993","Horses and Asses",NA
"488","Weight of Animals Slaughtered (000 Tonnes)","1993","Horses and Asses",NA
"489","Number of Animals Slaughtered (000 Head)","1994","Horses and Asses",NA
"490","Weight of Animals Slaughtered (000 Tonnes)","1994","Horses and Asses",NA
"491","Number of Animals Slaughtered (000 Head)","1995","Horses and Asses",NA
"492","Weight of Animals Slaughtered (000 Tonnes)","1995","Horses and Asses",NA
"493","Number of Animals Slaughtered (000 Head)","1996","Horses and Asses",NA
"494","Weight of Animals Slaughtered (000 Tonnes)","1996","Horses and Asses",NA
"495","Number of Animals Slaughtered (000 Head)","1997","Horses and Asses",NA
"496","Weight of Animals Slaughtered (000 Tonnes)","1997","Horses and Asses",NA
"497","Number of Animals Slaughtered (000 Head)","1998","Horses and Asses",NA
"498","Weight of Animals Slaughtered (000 Tonnes)","1998","Horses and Asses",NA
"499","Number of Animals Slaughtered (000 Head)","1999","Horses and Asses",NA
"500","Weight of Animals Slaughtered (000 Tonnes)","1999","Horses and Asses",NA
"501","Number of Animals Slaughtered (000 Head)","2000","Horses and Asses",NA
"502","Weight of Animals Slaughtered (000 Tonnes)","2000","Horses and Asses",NA
"503","Number of Animals Slaughtered (000 Head)","2001","Horses and Asses",NA
"504","Weight of Animals Slaughtered (000 Tonnes)","2001","Horses and Asses",NA
"505","Number of Animals Slaughtered (000 Head)","2002","Horses and Asses",NA
"506","Weight of Animals Slaughtered (000 Tonnes)","2002","Horses and Asses",NA
