"","Statistic","Year","Type.of.Animal","value"
"72","Weight of Animals Slaughtered (000 Tonnes)","1992","Bullocks",343.5
"73","Number of Animals Slaughtered (000 Head)","1993","Bullocks",813.3
"74","Weight of Animals Slaughtered (000 Tonnes)","1993","Bullocks",304.5
"75","Number of Animals Slaughtered (000 Head)","1994","Bullocks",631.3
"76","Weight of Animals Slaughtered (000 Tonnes)","1994","Bullocks",226.2
"77","Number of Animals Slaughtered (000 Head)","1995","Bullocks",664.5
"78","Weight of Animals Slaughtered (000 Tonnes)","1995","Bullocks",243.5
"79","Number of Animals Slaughtered (000 Head)","1996","Bullocks",841.6
"80","Weight of Animals Slaughtered (000 Tonnes)","1996","Bullocks",308.7
"81","Number of Animals Slaughtered (000 Head)","1997","Bullocks",951.2
"82","Weight of Animals Slaughtered (000 Tonnes)","1997","Bullocks",334.2
"83","Number of Animals Slaughtered (000 Head)","1998","Bullocks",992.4
"84","Weight of Animals Slaughtered (000 Tonnes)","1998","Bullocks",340.6
"85","Number of Animals Slaughtered (000 Head)","1999","Bullocks",1060.5
"86","Weight of Animals Slaughtered (000 Tonnes)","1999","Bullocks",356.8
"87","Number of Animals Slaughtered (000 Head)","2000","Bullocks",899
"88","Weight of Animals Slaughtered (000 Tonnes)","2000","Bullocks",305.8
"89","Number of Animals Slaughtered (000 Head)","2001","Bullocks",953.3
"90","Weight of Animals Slaughtered (000 Tonnes)","2001","Bullocks",318.7
"91","Number of Animals Slaughtered (000 Head)","2002","Bullocks",867.4
"92","Weight of Animals Slaughtered (000 Tonnes)","2002","Bullocks",290
"93","Number of Animals Slaughtered (000 Head)","1980","Bulls",0
"94","Weight of Animals Slaughtered (000 Tonnes)","1980","Bulls",NA
"95","Number of Animals Slaughtered (000 Head)","1981","Bulls",14
"96","Weight of Animals Slaughtered (000 Tonnes)","1981","Bulls",NA
"97","Number of Animals Slaughtered (000 Head)","1982","Bulls",15
"98","Weight of Animals Slaughtered (000 Tonnes)","1982","Bulls",NA
"99","Number of Animals Slaughtered (000 Head)","1983","Bulls",4.4
"100","Weight of Animals Slaughtered (000 Tonnes)","1983","Bulls",NA
"101","Number of Animals Slaughtered (000 Head)","1984","Bulls",16.7
"102","Weight of Animals Slaughtered (000 Tonnes)","1984","Bulls",NA
"103","Number of Animals Slaughtered (000 Head)","1985","Bulls",11.4
"104","Weight of Animals Slaughtered (000 Tonnes)","1985","Bulls",NA
"105","Number of Animals Slaughtered (000 Head)","1986","Bulls",14.2
"106","Weight of Animals Slaughtered (000 Tonnes)","1986","Bulls",NA
"107","Number of Animals Slaughtered (000 Head)","1987","Bulls",12.9
"108","Weight of Animals Slaughtered (000 Tonnes)","1987","Bulls",NA
"109","Number of Animals Slaughtered (000 Head)","1988","Bulls",11.9
"110","Weight of Animals Slaughtered (000 Tonnes)","1988","Bulls",NA
"111","Number of Animals Slaughtered (000 Head)","1989","Bulls",12.7
"112","Weight of Animals Slaughtered (000 Tonnes)","1989","Bulls",NA
"113","Number of Animals Slaughtered (000 Head)","1990","Bulls",14
"114","Weight of Animals Slaughtered (000 Tonnes)","1990","Bulls",NA
"115","Number of Animals Slaughtered (000 Head)","1991","Bulls",12
"116","Weight of Animals Slaughtered (000 Tonnes)","1991","Bulls",5
"117","Number of Animals Slaughtered (000 Head)","1992","Bulls",13.9
"118","Weight of Animals Slaughtered (000 Tonnes)","1992","Bulls",6
"119","Number of Animals Slaughtered (000 Head)","1993","Bulls",15
"120","Weight of Animals Slaughtered (000 Tonnes)","1993","Bulls",6.4
"121","Number of Animals Slaughtered (000 Head)","1994","Bulls",18.5
"122","Weight of Animals Slaughtered (000 Tonnes)","1994","Bulls",7.4
"123","Number of Animals Slaughtered (000 Head)","1995","Bulls",27.1
"124","Weight of Animals Slaughtered (000 Tonnes)","1995","Bulls",10.7
"125","Number of Animals Slaughtered (000 Head)","1996","Bulls",33.5
"126","Weight of Animals Slaughtered (000 Tonnes)","1996","Bulls",13
"127","Number of Animals Slaughtered (000 Head)","1997","Bulls",32.7
"128","Weight of Animals Slaughtered (000 Tonnes)","1997","Bulls",12.9
"129","Number of Animals Slaughtered (000 Head)","1998","Bulls",22.4
"130","Weight of Animals Slaughtered (000 Tonnes)","1998","Bulls",9
"131","Number of Animals Slaughtered (000 Head)","1999","Bulls",35.6
"132","Weight of Animals Slaughtered (000 Tonnes)","1999","Bulls",13.7
"133","Number of Animals Slaughtered (000 Head)","2000","Bulls",60.6
"134","Weight of Animals Slaughtered (000 Tonnes)","2000","Bulls",21.8
"135","Number of Animals Slaughtered (000 Head)","2001","Bulls",81.5
"136","Weight of Animals Slaughtered (000 Tonnes)","2001","Bulls",28.8
"137","Number of Animals Slaughtered (000 Head)","2002","Bulls",58.3
"138","Weight of Animals Slaughtered (000 Tonnes)","2002","Bulls",21.2
"139","Number of Animals Slaughtered (000 Head)","1980","Cows",491.4
"140","Weight of Animals Slaughtered (000 Tonnes)","1980","Cows",NA
"141","Number of Animals Slaughtered (000 Head)","1981","Cows",340.5
"142","Weight of Animals Slaughtered (000 Tonnes)","1981","Cows",NA
"143","Number of Animals Slaughtered (000 Head)","1982","Cows",305.2
"144","Weight of Animals Slaughtered (000 Tonnes)","1982","Cows",NA
"145","Number of Animals Slaughtered (000 Head)","1983","Cows",315.8
"146","Weight of Animals Slaughtered (000 Tonnes)","1983","Cows",NA
"147","Number of Animals Slaughtered (000 Head)","1984","Cows",329.1
"148","Weight of Animals Slaughtered (000 Tonnes)","1984","Cows",NA
"149","Number of Animals Slaughtered (000 Head)","1985","Cows",341.7
"150","Weight of Animals Slaughtered (000 Tonnes)","1985","Cows",NA
"151","Number of Animals Slaughtered (000 Head)","1986","Cows",359.7
"152","Weight of Animals Slaughtered (000 Tonnes)","1986","Cows",NA
"153","Number of Animals Slaughtered (000 Head)","1987","Cows",315.5
"154","Weight of Animals Slaughtered (000 Tonnes)","1987","Cows",NA
"155","Number of Animals Slaughtered (000 Head)","1988","Cows",240.4
"156","Weight of Animals Slaughtered (000 Tonnes)","1988","Cows",NA
"157","Number of Animals Slaughtered (000 Head)","1989","Cows",240.1
"158","Weight of Animals Slaughtered (000 Tonnes)","1989","Cows",NA
"159","Number of Animals Slaughtered (000 Head)","1990","Cows",269
"160","Weight of Animals Slaughtered (000 Tonnes)","1990","Cows",NA
"161","Number of Animals Slaughtered (000 Head)","1991","Cows",314.3
"162","Weight of Animals Slaughtered (000 Tonnes)","1991","Cows",87.6
"163","Number of Animals Slaughtered (000 Head)","1992","Cows",279.2
"164","Weight of Animals Slaughtered (000 Tonnes)","1992","Cows",80.4
"165","Number of Animals Slaughtered (000 Head)","1993","Cows",305.7
"166","Weight of Animals Slaughtered (000 Tonnes)","1993","Cows",86.9
"167","Number of Animals Slaughtered (000 Head)","1994","Cows",325.7
"168","Weight of Animals Slaughtered (000 Tonnes)","1994","Cows",88.5
"169","Number of Animals Slaughtered (000 Head)","1995","Cows",335.6
"170","Weight of Animals Slaughtered (000 Tonnes)","1995","Cows",92.5
"171","Number of Animals Slaughtered (000 Head)","1996","Cows",326.9
"172","Weight of Animals Slaughtered (000 Tonnes)","1996","Cows",92.7
"173","Number of Animals Slaughtered (000 Head)","1997","Cows",327
"174","Weight of Animals Slaughtered (000 Tonnes)","1997","Cows",93.2
"175","Number of Animals Slaughtered (000 Head)","1998","Cows",391.1
"176","Weight of Animals Slaughtered (000 Tonnes)","1998","Cows",108.8
"177","Number of Animals Slaughtered (000 Head)","1999","Cows",414.9
"178","Weight of Animals Slaughtered (000 Tonnes)","1999","Cows",115.8
"179","Number of Animals Slaughtered (000 Head)","2000","Cows",359.3
"180","Weight of Animals Slaughtered (000 Tonnes)","2000","Cows",102.9
"181","Number of Animals Slaughtered (000 Head)","2001","Cows",366
"182","Weight of Animals Slaughtered (000 Tonnes)","2001","Cows",105.9
"183","Number of Animals Slaughtered (000 Head)","2002","Cows",323.2
"184","Weight of Animals Slaughtered (000 Tonnes)","2002","Cows",91.9
"185","Number of Animals Slaughtered (000 Head)","1980","Heifers",426.1
"186","Weight of Animals Slaughtered (000 Tonnes)","1980","Heifers",NA
"187","Number of Animals Slaughtered (000 Head)","1981","Heifers",356
"188","Weight of Animals Slaughtered (000 Tonnes)","1981","Heifers",NA
"189","Number of Animals Slaughtered (000 Head)","1982","Heifers",340.9
"190","Weight of Animals Slaughtered (000 Tonnes)","1982","Heifers",NA
"191","Number of Animals Slaughtered (000 Head)","1983","Heifers",387.9
"192","Weight of Animals Slaughtered (000 Tonnes)","1983","Heifers",NA
"193","Number of Animals Slaughtered (000 Head)","1984","Heifers",388.7
"194","Weight of Animals Slaughtered (000 Tonnes)","1984","Heifers",NA
"195","Number of Animals Slaughtered (000 Head)","1985","Heifers",417.1
"196","Weight of Animals Slaughtered (000 Tonnes)","1985","Heifers",NA
"197","Number of Animals Slaughtered (000 Head)","1986","Heifers",399.1
"198","Weight of Animals Slaughtered (000 Tonnes)","1986","Heifers",NA
"199","Number of Animals Slaughtered (000 Head)","1987","Heifers",414.3
"200","Weight of Animals Slaughtered (000 Tonnes)","1987","Heifers",NA
"201","Number of Animals Slaughtered (000 Head)","1988","Heifers",345.5
"202","Weight of Animals Slaughtered (000 Tonnes)","1988","Heifers",NA
"203","Number of Animals Slaughtered (000 Head)","1989","Heifers",349.5
"204","Weight of Animals Slaughtered (000 Tonnes)","1989","Heifers",NA
"205","Number of Animals Slaughtered (000 Head)","1990","Heifers",414.1
