"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"2232","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1988M06","Bullocks",2.2
"2233","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1988M07","Bullocks",33.3
"2234","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1988M07","Bullocks",11.9
"2235","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1988M07","Bullocks",0
"2236","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1988M07","Bullocks",0
"2237","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1988M07","Bullocks",0
"2238","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1988M07","Bullocks",0
"2239","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1988M07","Bullocks",12.1
"2240","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1988M07","Bullocks",3.8
"2241","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1988M08","Bullocks",56.8
"2242","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1988M08","Bullocks",20.3
"2243","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1988M08","Bullocks",0.1
"2244","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1988M08","Bullocks",0
"2245","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1988M08","Bullocks",0.1
"2246","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1988M08","Bullocks",0
"2247","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1988M08","Bullocks",18.6
"2248","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1988M08","Bullocks",5.6
"2249","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1988M09","Bullocks",105.1
"2250","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1988M09","Bullocks",37.5
"2251","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1988M09","Bullocks",0.7
"2252","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1988M09","Bullocks",0.2
"2253","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1988M09","Bullocks",0.7
"2254","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1988M09","Bullocks",0.2
"2255","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1988M09","Bullocks",12.3
"2256","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1988M09","Bullocks",3.9
"2257","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1988M10","Bullocks",200.4
"2258","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1988M10","Bullocks",70
"2259","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1988M10","Bullocks",1.5
"2260","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1988M10","Bullocks",0.5
"2261","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1988M10","Bullocks",1.5
"2262","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1988M10","Bullocks",0.5
"2263","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1988M10","Bullocks",18.1
"2264","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1988M10","Bullocks",4.5
"2265","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1988M11","Bullocks",150.2
"2266","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1988M11","Bullocks",52
"2267","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1988M11","Bullocks",1.3
"2268","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1988M11","Bullocks",0.4
"2269","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1988M11","Bullocks",1.3
"2270","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1988M11","Bullocks",0.4
"2271","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1988M11","Bullocks",20.2
"2272","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1988M11","Bullocks",5.2
"2273","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1988M12","Bullocks",60.4
"2274","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1988M12","Bullocks",21.1
"2275","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1988M12","Bullocks",0.2
"2276","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1988M12","Bullocks",0.1
"2277","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1988M12","Bullocks",0.2
"2278","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1988M12","Bullocks",0.1
"2279","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1988M12","Bullocks",5.4
"2280","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1988M12","Bullocks",1.7
"2281","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M01","Bullocks",16.4
"2282","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M01","Bullocks",5.9
"2283","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M01","Bullocks",0
"2284","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M01","Bullocks",0
"2285","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M01","Bullocks",0
"2286","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M01","Bullocks",0
"2287","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M01","Bullocks",1.1
"2288","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M01","Bullocks",0.3
"2289","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M02","Bullocks",20.9
"2290","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M02","Bullocks",7.5
"2291","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M02","Bullocks",0.1
"2292","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M02","Bullocks",0
"2293","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M02","Bullocks",0.1
"2294","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M02","Bullocks",0
"2295","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M02","Bullocks",7.8
"2296","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M02","Bullocks",2.6
"2297","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M03","Bullocks",78.8
"2298","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M03","Bullocks",28.5
"2299","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M03","Bullocks",0.2
"2300","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M03","Bullocks",0
"2301","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M03","Bullocks",0.2
"2302","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M03","Bullocks",0
"2303","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M03","Bullocks",10.2
"2304","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M03","Bullocks",3.1
"2305","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M04","Bullocks",16.7
"2306","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M04","Bullocks",5.7
"2307","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M04","Bullocks",0.3
"2308","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M04","Bullocks",0.1
"2309","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M04","Bullocks",0.3
"2310","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M04","Bullocks",0.1
"2311","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M04","Bullocks",15.9
"2312","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M04","Bullocks",5.1
"2313","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M05","Bullocks",21.7
"2314","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M05","Bullocks",7.7
"2315","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M05","Bullocks",0.3
"2316","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M05","Bullocks",0.1
"2317","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M05","Bullocks",0.3
"2318","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M05","Bullocks",0.1
"2319","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M05","Bullocks",6.7
"2320","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M05","Bullocks",2
"2321","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M06","Bullocks",27.1
"2322","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M06","Bullocks",9.7
"2323","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M06","Bullocks",0.1
"2324","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M06","Bullocks",0
"2325","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M06","Bullocks",0.1
"2326","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M06","Bullocks",0
"2327","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M06","Bullocks",3.8
"2328","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M06","Bullocks",1.2
"2329","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M07","Bullocks",39.6
"2330","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M07","Bullocks",14.1
"2331","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M07","Bullocks",0
"2332","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M07","Bullocks",0
"2333","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M07","Bullocks",0
"2334","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M07","Bullocks",0
"2335","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M07","Bullocks",2.9
"2336","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M07","Bullocks",1
"2337","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M08","Bullocks",47.9
"2338","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M08","Bullocks",17.1
"2339","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M08","Bullocks",0
"2340","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M08","Bullocks",0
"2341","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M08","Bullocks",0
"2342","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M08","Bullocks",0
"2343","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M08","Bullocks",6.7
"2344","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M08","Bullocks",2.2
"2345","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M09","Bullocks",54
"2346","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M09","Bullocks",19.2
"2347","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M09","Bullocks",0
"2348","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M09","Bullocks",0
"2349","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M09","Bullocks",0
"2350","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M09","Bullocks",0
"2351","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M09","Bullocks",5.9
"2352","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M09","Bullocks",2
"2353","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M10","Bullocks",157.5
"2354","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M10","Bullocks",55.9
"2355","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M10","Bullocks",0.1
"2356","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M10","Bullocks",0
"2357","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M10","Bullocks",0.1
"2358","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M10","Bullocks",0
"2359","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M10","Bullocks",8.9
"2360","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M10","Bullocks",3
"2361","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M11","Bullocks",220.6
"2362","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M11","Bullocks",77.5
"2363","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M11","Bullocks",0
"2364","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M11","Bullocks",0
"2365","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M11","Bullocks",0
"2366","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M11","Bullocks",0
"2367","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M11","Bullocks",21.5
"2368","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M11","Bullocks",6.5
"2369","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1989M12","Bullocks",66.2
"2370","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1989M12","Bullocks",23.9
"2371","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1989M12","Bullocks",0
"2372","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1989M12","Bullocks",0
"2373","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1989M12","Bullocks",0
"2374","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1989M12","Bullocks",0
"2375","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1989M12","Bullocks",6.8
"2376","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1989M12","Bullocks",2.3
"2377","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M01","Bullocks",39
"2378","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M01","Bullocks",14.7
"2379","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M01","Bullocks",0
"2380","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M01","Bullocks",0
"2381","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M01","Bullocks",0
"2382","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M01","Bullocks",0
"2383","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M01","Bullocks",8.2
"2384","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M01","Bullocks",2.8
"2385","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M02","Bullocks",36
"2386","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M02","Bullocks",13.6
"2387","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M02","Bullocks",0.1
"2388","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M02","Bullocks",0
"2389","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M02","Bullocks",0.1
"2390","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M02","Bullocks",0
"2391","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M02","Bullocks",13.8
"2392","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M02","Bullocks",4.6
"2393","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M03","Bullocks",47.6
"2394","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M03","Bullocks",17.8
"2395","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M03","Bullocks",0
"2396","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M03","Bullocks",0
"2397","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M03","Bullocks",0
"2398","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M03","Bullocks",0
"2399","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M03","Bullocks",24.2
"2400","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M03","Bullocks",8.2
"2401","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M04","Bullocks",36.8
"2402","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M04","Bullocks",13.7
"2403","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M04","Bullocks",0
"2404","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M04","Bullocks",0
"2405","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M04","Bullocks",0
"2406","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M04","Bullocks",0
"2407","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M04","Bullocks",16.9
"2408","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M04","Bullocks",5.6
"2409","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M05","Bullocks",37.9
"2410","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M05","Bullocks",14.3
"2411","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M05","Bullocks",0
"2412","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M05","Bullocks",0
"2413","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M05","Bullocks",0
"2414","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M05","Bullocks",0
"2415","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M05","Bullocks",13.2
"2416","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M05","Bullocks",4.4
"2417","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M06","Bullocks",44.6
"2418","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M06","Bullocks",16.7
"2419","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M06","Bullocks",0
"2420","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M06","Bullocks",0
"2421","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M06","Bullocks",0
"2422","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M06","Bullocks",0
"2423","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M06","Bullocks",1.1
"2424","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M06","Bullocks",0.4
"2425","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M07","Bullocks",57.7
"2426","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M07","Bullocks",21.4
"2427","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M07","Bullocks",0
"2428","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M07","Bullocks",0
"2429","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M07","Bullocks",0
"2430","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M07","Bullocks",0
"2431","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M07","Bullocks",1
"2432","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M07","Bullocks",0.4
"2433","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M08","Bullocks",70.5
"2434","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M08","Bullocks",26
"2435","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M08","Bullocks",0
"2436","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M08","Bullocks",0
"2437","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M08","Bullocks",0
"2438","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M08","Bullocks",0
"2439","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M08","Bullocks",1.9
"2440","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M08","Bullocks",0.6
"2441","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M09","Bullocks",99.3
"2442","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M09","Bullocks",36.6
"2443","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M09","Bullocks",0
"2444","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M09","Bullocks",0
"2445","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M09","Bullocks",0
"2446","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M09","Bullocks",0
"2447","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M09","Bullocks",5
"2448","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M09","Bullocks",1.6
"2449","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M10","Bullocks",199
"2450","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M10","Bullocks",72
"2451","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M10","Bullocks",0.1
"2452","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M10","Bullocks",0
"2453","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M10","Bullocks",0.1
"2454","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M10","Bullocks",0
"2455","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M10","Bullocks",13.9
"2456","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M10","Bullocks",4.4
"2457","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M11","Bullocks",150.1
"2458","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M11","Bullocks",54.7
"2459","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M11","Bullocks",0
"2460","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M11","Bullocks",0
"2461","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M11","Bullocks",0
"2462","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M11","Bullocks",0
"2463","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M11","Bullocks",16.1
"2464","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M11","Bullocks",5
"2465","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1990M12","Bullocks",62.9
"2466","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1990M12","Bullocks",23.2
"2467","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1990M12","Bullocks",0
"2468","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1990M12","Bullocks",0
"2469","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1990M12","Bullocks",0
"2470","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1990M12","Bullocks",0
"2471","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1990M12","Bullocks",6.1
"2472","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1990M12","Bullocks",2
"2473","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M01","Bullocks",45.1
"2474","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M01","Bullocks",17.1
"2475","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M01","Bullocks",0
"2476","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M01","Bullocks",0
"2477","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M01","Bullocks",0
"2478","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M01","Bullocks",0
"2479","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1991M01","Bullocks",5.3
"2480","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1991M01","Bullocks",1.8
"2481","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1991M02","Bullocks",46.3
"2482","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1991M02","Bullocks",17.4
"2483","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1991M02","Bullocks",0
"2484","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1991M02","Bullocks",0
"2485","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1991M02","Bullocks",0
"2486","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1991M02","Bullocks",0
