"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"49","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M07","Cattle without Calves",130.5
"50","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M07","Cattle without Calves",37.1
"51","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M07","Cattle without Calves",1.9
"52","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M07","Cattle without Calves",0.5
"53","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M07","Cattle without Calves",1.9
"54","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M07","Cattle without Calves",0.5
"55","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M07","Cattle without Calves",35.8
"56","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M07","Cattle without Calves",9.4
"57","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M08","Cattle without Calves",153.4
"58","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M08","Cattle without Calves",42.3
"59","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M08","Cattle without Calves",1.9
"60","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M08","Cattle without Calves",0.5
"61","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M08","Cattle without Calves",1.9
"62","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M08","Cattle without Calves",0.5
"63","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M08","Cattle without Calves",36.7
"64","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M08","Cattle without Calves",9.3
"65","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M09","Cattle without Calves",171.7
"66","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M09","Cattle without Calves",47.5
"67","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M09","Cattle without Calves",4.6
"68","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M09","Cattle without Calves",1.2
"69","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M09","Cattle without Calves",4.6
"70","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M09","Cattle without Calves",1.2
"71","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M09","Cattle without Calves",40.7
"72","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M09","Cattle without Calves",10.9
"73","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M10","Cattle without Calves",206.8
"74","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M10","Cattle without Calves",56
"75","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M10","Cattle without Calves",12
"76","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M10","Cattle without Calves",3.3
"77","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M10","Cattle without Calves",12
"78","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M10","Cattle without Calves",3.3
"79","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M10","Cattle without Calves",41.3
"80","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M10","Cattle without Calves",10.7
"81","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M11","Cattle without Calves",174.8
"82","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M11","Cattle without Calves",46.6
"83","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M11","Cattle without Calves",11.3
"84","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M11","Cattle without Calves",3
"85","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M11","Cattle without Calves",11.3
"86","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M11","Cattle without Calves",3
"87","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M11","Cattle without Calves",37.2
"88","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M11","Cattle without Calves",9.4
"89","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1980M12","Cattle without Calves",120.5
"90","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1980M12","Cattle without Calves",31.7
"91","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1980M12","Cattle without Calves",8.8
"92","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1980M12","Cattle without Calves",2.4
"93","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1980M12","Cattle without Calves",8.8
"94","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1980M12","Cattle without Calves",2.4
"95","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1980M12","Cattle without Calves",35.1
"96","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1980M12","Cattle without Calves",8.9
"97","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M01","Cattle without Calves",87.9
"98","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M01","Cattle without Calves",23
"99","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M01","Cattle without Calves",9
"100","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M01","Cattle without Calves",2.4
"101","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M01","Cattle without Calves",9
"102","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M01","Cattle without Calves",2.4
"103","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M01","Cattle without Calves",44.1
"104","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M01","Cattle without Calves",11.8
"105","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1981M02","Cattle without Calves",67.9
"106","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M02","Cattle without Calves",17.6
"107","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M02","Cattle without Calves",9.4
"108","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M02","Cattle without Calves",2.4
"109","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M02","Cattle without Calves",9.4
"110","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M02","Cattle without Calves",2.4
"111","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M02","Cattle without Calves",44.4
