"","Statistic","Month","Type.of.Animal","value"
"67","Number of Livestock Slaughtered (000 Head)","1977M10","Cattle without Calves",161.9
"68","Weight of Livestock Slaughtered (000 Tonnes)","1977M10","Cattle without Calves",0
"69","Number of Livestock Slaughtered (000 Head)","1977M11","Cattle without Calves",176.5
"70","Weight of Livestock Slaughtered (000 Tonnes)","1977M11","Cattle without Calves",0
"71","Number of Livestock Slaughtered (000 Head)","1977M12","Cattle without Calves",136.7
"72","Weight of Livestock Slaughtered (000 Tonnes)","1977M12","Cattle without Calves",0
"73","Number of Livestock Slaughtered (000 Head)","1978M01","Cattle without Calves",147.8
"74","Weight of Livestock Slaughtered (000 Tonnes)","1978M01","Cattle without Calves",0
"75","Number of Livestock Slaughtered (000 Head)","1978M02","Cattle without Calves",97.2
"76","Weight of Livestock Slaughtered (000 Tonnes)","1978M02","Cattle without Calves",0
"77","Number of Livestock Slaughtered (000 Head)","1978M03","Cattle without Calves",96.9
"78","Weight of Livestock Slaughtered (000 Tonnes)","1978M03","Cattle without Calves",0
"79","Number of Livestock Slaughtered (000 Head)","1978M04","Cattle without Calves",77.9
"80","Weight of Livestock Slaughtered (000 Tonnes)","1978M04","Cattle without Calves",0
"81","Number of Livestock Slaughtered (000 Head)","1978M05","Cattle without Calves",88.6
"82","Weight of Livestock Slaughtered (000 Tonnes)","1978M05","Cattle without Calves",0
"83","Number of Livestock Slaughtered (000 Head)","1978M06","Cattle without Calves",114.6
"84","Weight of Livestock Slaughtered (000 Tonnes)","1978M06","Cattle without Calves",0
"85","Number of Livestock Slaughtered (000 Head)","1978M07","Cattle without Calves",120.3
"86","Weight of Livestock Slaughtered (000 Tonnes)","1978M07","Cattle without Calves",0
"87","Number of Livestock Slaughtered (000 Head)","1978M08","Cattle without Calves",130.7
"88","Weight of Livestock Slaughtered (000 Tonnes)","1978M08","Cattle without Calves",0
"89","Number of Livestock Slaughtered (000 Head)","1978M09","Cattle without Calves",142
"90","Weight of Livestock Slaughtered (000 Tonnes)","1978M09","Cattle without Calves",0
"91","Number of Livestock Slaughtered (000 Head)","1978M10","Cattle without Calves",159
"92","Weight of Livestock Slaughtered (000 Tonnes)","1978M10","Cattle without Calves",0
"93","Number of Livestock Slaughtered (000 Head)","1978M11","Cattle without Calves",172.9
"94","Weight of Livestock Slaughtered (000 Tonnes)","1978M11","Cattle without Calves",0
"95","Number of Livestock Slaughtered (000 Head)","1978M12","Cattle without Calves",125
"96","Weight of Livestock Slaughtered (000 Tonnes)","1978M12","Cattle without Calves",0
"97","Number of Livestock Slaughtered (000 Head)","1979M01","Cattle without Calves",109.9
"98","Weight of Livestock Slaughtered (000 Tonnes)","1979M01","Cattle without Calves",0
"99","Number of Livestock Slaughtered (000 Head)","1979M02","Cattle without Calves",85.1
"100","Weight of Livestock Slaughtered (000 Tonnes)","1979M02","Cattle without Calves",0
"101","Number of Livestock Slaughtered (000 Head)","1979M03","Cattle without Calves",99.5
"102","Weight of Livestock Slaughtered (000 Tonnes)","1979M03","Cattle without Calves",0
"103","Number of Livestock Slaughtered (000 Head)","1979M04","Cattle without Calves",88.2
"104","Weight of Livestock Slaughtered (000 Tonnes)","1979M04","Cattle without Calves",0
"105","Number of Livestock Slaughtered (000 Head)","1979M05","Cattle without Calves",82.1
"106","Weight of Livestock Slaughtered (000 Tonnes)","1979M05","Cattle without Calves",0
"107","Number of Livestock Slaughtered (000 Head)","1979M06","Cattle without Calves",84.8
"108","Weight of Livestock Slaughtered (000 Tonnes)","1979M06","Cattle without Calves",0
"109","Number of Livestock Slaughtered (000 Head)","1979M07","Cattle without Calves",107.2
"110","Weight of Livestock Slaughtered (000 Tonnes)","1979M07","Cattle without Calves",0
"111","Number of Livestock Slaughtered (000 Head)","1979M08","Cattle without Calves",128.9
"112","Weight of Livestock Slaughtered (000 Tonnes)","1979M08","Cattle without Calves",0
"113","Number of Livestock Slaughtered (000 Head)","1979M09","Cattle without Calves",150.9
"114","Weight of Livestock Slaughtered (000 Tonnes)","1979M09","Cattle without Calves",0
"115","Number of Livestock Slaughtered (000 Head)","1979M10","Cattle without Calves",183.2
"116","Weight of Livestock Slaughtered (000 Tonnes)","1979M10","Cattle without Calves",0
"117","Number of Livestock Slaughtered (000 Head)","1979M11","Cattle without Calves",198.3
"118","Weight of Livestock Slaughtered (000 Tonnes)","1979M11","Cattle without Calves",0
"119","Number of Livestock Slaughtered (000 Head)","1979M12","Cattle without Calves",141.5
"120","Weight of Livestock Slaughtered (000 Tonnes)","1979M12","Cattle without Calves",0
"121","Number of Livestock Slaughtered (000 Head)","1980M01","Cattle without Calves",150.3
"122","Weight of Livestock Slaughtered (000 Tonnes)","1980M01","Cattle without Calves",41.2
"123","Number of Livestock Slaughtered (000 Head)","1980M02","Cattle without Calves",140.9
"124","Weight of Livestock Slaughtered (000 Tonnes)","1980M02","Cattle without Calves",38.3
"125","Number of Livestock Slaughtered (000 Head)","1980M03","Cattle without Calves",108.3
"126","Weight of Livestock Slaughtered (000 Tonnes)","1980M03","Cattle without Calves",29.1
"127","Number of Livestock Slaughtered (000 Head)","1980M04","Cattle without Calves",100.1
"128","Weight of Livestock Slaughtered (000 Tonnes)","1980M04","Cattle without Calves",26.9
"129","Number of Livestock Slaughtered (000 Head)","1980M05","Cattle without Calves",105.5
"130","Weight of Livestock Slaughtered (000 Tonnes)","1980M05","Cattle without Calves",28.5
"131","Number of Livestock Slaughtered (000 Head)","1980M06","Cattle without Calves",104.6
"132","Weight of Livestock Slaughtered (000 Tonnes)","1980M06","Cattle without Calves",28.7
"133","Number of Livestock Slaughtered (000 Head)","1980M07","Cattle without Calves",130.5
"134","Weight of Livestock Slaughtered (000 Tonnes)","1980M07","Cattle without Calves",37.1
"135","Number of Livestock Slaughtered (000 Head)","1980M08","Cattle without Calves",153.4
"136","Weight of Livestock Slaughtered (000 Tonnes)","1980M08","Cattle without Calves",42.3
"137","Number of Livestock Slaughtered (000 Head)","1980M09","Cattle without Calves",171.7
"138","Weight of Livestock Slaughtered (000 Tonnes)","1980M09","Cattle without Calves",47.5
"139","Number of Livestock Slaughtered (000 Head)","1980M10","Cattle without Calves",206.8
"140","Weight of Livestock Slaughtered (000 Tonnes)","1980M10","Cattle without Calves",56
"141","Number of Livestock Slaughtered (000 Head)","1980M11","Cattle without Calves",174.8
"142","Weight of Livestock Slaughtered (000 Tonnes)","1980M11","Cattle without Calves",46.6
"143","Number of Livestock Slaughtered (000 Head)","1980M12","Cattle without Calves",120.5
"144","Weight of Livestock Slaughtered (000 Tonnes)","1980M12","Cattle without Calves",31.7
"145","Number of Livestock Slaughtered (000 Head)","1981M01","Cattle without Calves",87.9
"146","Weight of Livestock Slaughtered (000 Tonnes)","1981M01","Cattle without Calves",23
"147","Number of Livestock Slaughtered (000 Head)","1981M02","Cattle without Calves",67.9
"148","Weight of Livestock Slaughtered (000 Tonnes)","1981M02","Cattle without Calves",17.6
"149","Number of Livestock Slaughtered (000 Head)","1981M03","Cattle without Calves",70.9
"150","Weight of Livestock Slaughtered (000 Tonnes)","1981M03","Cattle without Calves",18.5
"151","Number of Livestock Slaughtered (000 Head)","1981M04","Cattle without Calves",69.2
"152","Weight of Livestock Slaughtered (000 Tonnes)","1981M04","Cattle without Calves",18.9
"153","Number of Livestock Slaughtered (000 Head)","1981M05","Cattle without Calves",85.2
"154","Weight of Livestock Slaughtered (000 Tonnes)","1981M05","Cattle without Calves",23.2
"155","Number of Livestock Slaughtered (000 Head)","1981M06","Cattle without Calves",89.9
"156","Weight of Livestock Slaughtered (000 Tonnes)","1981M06","Cattle without Calves",24.2
"157","Number of Livestock Slaughtered (000 Head)","1981M07","Cattle without Calves",99.5
"158","Weight of Livestock Slaughtered (000 Tonnes)","1981M07","Cattle without Calves",27.2
"159","Number of Livestock Slaughtered (000 Head)","1981M08","Cattle without Calves",108.9
"160","Weight of Livestock Slaughtered (000 Tonnes)","1981M08","Cattle without Calves",30.1
"161","Number of Livestock Slaughtered (000 Head)","1981M09","Cattle without Calves",140
"162","Weight of Livestock Slaughtered (000 Tonnes)","1981M09","Cattle without Calves",39.5
"163","Number of Livestock Slaughtered (000 Head)","1981M10","Cattle without Calves",151.8
"164","Weight of Livestock Slaughtered (000 Tonnes)","1981M10","Cattle without Calves",42.2
"165","Number of Livestock Slaughtered (000 Head)","1981M11","Cattle without Calves",127.7
"166","Weight of Livestock Slaughtered (000 Tonnes)","1981M11","Cattle without Calves",34.7
"167","Number of Livestock Slaughtered (000 Head)","1981M12","Cattle without Calves",86.4
"168","Weight of Livestock Slaughtered (000 Tonnes)","1981M12","Cattle without Calves",23
"169","Number of Livestock Slaughtered (000 Head)","1982M01","Cattle without Calves",70.1
"170","Weight of Livestock Slaughtered (000 Tonnes)","1982M01","Cattle without Calves",18.6
"171","Number of Livestock Slaughtered (000 Head)","1982M02","Cattle without Calves",70.5
"172","Weight of Livestock Slaughtered (000 Tonnes)","1982M02","Cattle without Calves",18.8
"173","Number of Livestock Slaughtered (000 Head)","1982M03","Cattle without Calves",80.7
"174","Weight of Livestock Slaughtered (000 Tonnes)","1982M03","Cattle without Calves",21.7
"175","Number of Livestock Slaughtered (000 Head)","1982M04","Cattle without Calves",76.1
"176","Weight of Livestock Slaughtered (000 Tonnes)","1982M04","Cattle without Calves",20.9
"177","Number of Livestock Slaughtered (000 Head)","1982M05","Cattle without Calves",72.5
"178","Weight of Livestock Slaughtered (000 Tonnes)","1982M05","Cattle without Calves",19.8
