"","Statistic","Month","Type.of.Animal","value"
"592","Weight of Livestock Slaughtered (000 Tonnes)","1999M08","Cattle without Calves",52.2
"593","Number of Livestock Slaughtered (000 Head)","1999M09","Cattle without Calves",199.1
"594","Weight of Livestock Slaughtered (000 Tonnes)","1999M09","Cattle without Calves",61
"595","Number of Livestock Slaughtered (000 Head)","1999M10","Cattle without Calves",202.2
"596","Weight of Livestock Slaughtered (000 Tonnes)","1999M10","Cattle without Calves",61.6
"597","Number of Livestock Slaughtered (000 Head)","1999M11","Cattle without Calves",212.9
"598","Weight of Livestock Slaughtered (000 Tonnes)","1999M11","Cattle without Calves",64.7
"599","Number of Livestock Slaughtered (000 Head)","1999M12","Cattle without Calves",157.9
"600","Weight of Livestock Slaughtered (000 Tonnes)","1999M12","Cattle without Calves",48.1
"601","Number of Livestock Slaughtered (000 Head)","2000M01","Cattle without Calves",118.9
"602","Weight of Livestock Slaughtered (000 Tonnes)","2000M01","Cattle without Calves",35.2
"603","Number of Livestock Slaughtered (000 Head)","2000M02","Cattle without Calves",193
"604","Weight of Livestock Slaughtered (000 Tonnes)","2000M02","Cattle without Calves",59
"605","Number of Livestock Slaughtered (000 Head)","2000M03","Cattle without Calves",204.7
"606","Weight of Livestock Slaughtered (000 Tonnes)","2000M03","Cattle without Calves",61.6
"607","Number of Livestock Slaughtered (000 Head)","2000M04","Cattle without Calves",166.2
"608","Weight of Livestock Slaughtered (000 Tonnes)","2000M04","Cattle without Calves",50.2
"609","Number of Livestock Slaughtered (000 Head)","2000M05","Cattle without Calves",162.5
"610","Weight of Livestock Slaughtered (000 Tonnes)","2000M05","Cattle without Calves",49.2
"611","Number of Livestock Slaughtered (000 Head)","2000M06","Cattle without Calves",139.3
"612","Weight of Livestock Slaughtered (000 Tonnes)","2000M06","Cattle without Calves",42.2
"613","Number of Livestock Slaughtered (000 Head)","2000M07","Cattle without Calves",117.1
"614","Weight of Livestock Slaughtered (000 Tonnes)","2000M07","Cattle without Calves",35.6
"615","Number of Livestock Slaughtered (000 Head)","2000M08","Cattle without Calves",160.6
"616","Weight of Livestock Slaughtered (000 Tonnes)","2000M08","Cattle without Calves",50.1
"617","Number of Livestock Slaughtered (000 Head)","2000M09","Cattle without Calves",179.8
"618","Weight of Livestock Slaughtered (000 Tonnes)","2000M09","Cattle without Calves",56.8
"619","Number of Livestock Slaughtered (000 Head)","2000M10","Cattle without Calves",184.2
"620","Weight of Livestock Slaughtered (000 Tonnes)","2000M10","Cattle without Calves",57.6
"621","Number of Livestock Slaughtered (000 Head)","2000M11","Cattle without Calves",171.9
"622","Weight of Livestock Slaughtered (000 Tonnes)","2000M11","Cattle without Calves",53.5
"623","Number of Livestock Slaughtered (000 Head)","2000M12","Cattle without Calves",83.4
"624","Weight of Livestock Slaughtered (000 Tonnes)","2000M12","Cattle without Calves",25.6
"625","Number of Livestock Slaughtered (000 Head)","2001M01","Cattle without Calves",134.2
"626","Weight of Livestock Slaughtered (000 Tonnes)","2001M01","Cattle without Calves",41.9
"627","Number of Livestock Slaughtered (000 Head)","2001M02","Cattle without Calves",154.1
"628","Weight of Livestock Slaughtered (000 Tonnes)","2001M02","Cattle without Calves",47.1
"629","Number of Livestock Slaughtered (000 Head)","2001M03","Cattle without Calves",168.8
"630","Weight of Livestock Slaughtered (000 Tonnes)","2001M03","Cattle without Calves",50.7
"631","Number of Livestock Slaughtered (000 Head)","2001M04","Cattle without Calves",139.4
"632","Weight of Livestock Slaughtered (000 Tonnes)","2001M04","Cattle without Calves",42.2
"633","Number of Livestock Slaughtered (000 Head)","2001M05","Cattle without Calves",143.9
"634","Weight of Livestock Slaughtered (000 Tonnes)","2001M05","Cattle without Calves",43.7
"635","Number of Livestock Slaughtered (000 Head)","2001M06","Cattle without Calves",148.1
"636","Weight of Livestock Slaughtered (000 Tonnes)","2001M06","Cattle without Calves",46.6
"637","Number of Livestock Slaughtered (000 Head)","2001M07","Cattle without Calves",137.3
"638","Weight of Livestock Slaughtered (000 Tonnes)","2001M07","Cattle without Calves",42.4
"639","Number of Livestock Slaughtered (000 Head)","2001M08","Cattle without Calves",166.7
"640","Weight of Livestock Slaughtered (000 Tonnes)","2001M08","Cattle without Calves",51.1
"641","Number of Livestock Slaughtered (000 Head)","2001M09","Cattle without Calves",159.4
"642","Weight of Livestock Slaughtered (000 Tonnes)","2001M09","Cattle without Calves",49.5
"643","Number of Livestock Slaughtered (000 Head)","2001M10","Cattle without Calves",188.9
"644","Weight of Livestock Slaughtered (000 Tonnes)","2001M10","Cattle without Calves",57.8
"645","Number of Livestock Slaughtered (000 Head)","2001M11","Cattle without Calves",213.2
"646","Weight of Livestock Slaughtered (000 Tonnes)","2001M11","Cattle without Calves",65.1
"647","Number of Livestock Slaughtered (000 Head)","2001M12","Cattle without Calves",135.5
"648","Weight of Livestock Slaughtered (000 Tonnes)","2001M12","Cattle without Calves",40.7
"649","Number of Livestock Slaughtered (000 Head)","2002M01","Cattle without Calves",168.6
"650","Weight of Livestock Slaughtered (000 Tonnes)","2002M01","Cattle without Calves",50.5
"651","Number of Livestock Slaughtered (000 Head)","2002M02","Cattle without Calves",133.3
"652","Weight of Livestock Slaughtered (000 Tonnes)","2002M02","Cattle without Calves",39.7
"653","Number of Livestock Slaughtered (000 Head)","2002M03","Cattle without Calves",121.7
"654","Weight of Livestock Slaughtered (000 Tonnes)","2002M03","Cattle without Calves",36.6
"655","Number of Livestock Slaughtered (000 Head)","2002M04","Cattle without Calves",138.1
"656","Weight of Livestock Slaughtered (000 Tonnes)","2002M04","Cattle without Calves",41.9
"657","Number of Livestock Slaughtered (000 Head)","2002M05","Cattle without Calves",141.7
"658","Weight of Livestock Slaughtered (000 Tonnes)","2002M05","Cattle without Calves",43.6
"659","Number of Livestock Slaughtered (000 Head)","2002M06","Cattle without Calves",112.5
"660","Weight of Livestock Slaughtered (000 Tonnes)","2002M06","Cattle without Calves",34.9
"661","Number of Livestock Slaughtered (000 Head)","2002M07","Cattle without Calves",150.3
"662","Weight of Livestock Slaughtered (000 Tonnes)","2002M07","Cattle without Calves",46.3
"663","Number of Livestock Slaughtered (000 Head)","2002M08","Cattle without Calves",144
"664","Weight of Livestock Slaughtered (000 Tonnes)","2002M08","Cattle without Calves",44.1
"665","Number of Livestock Slaughtered (000 Head)","2002M09","Cattle without Calves",167.2
"666","Weight of Livestock Slaughtered (000 Tonnes)","2002M09","Cattle without Calves",52.1
"667","Number of Livestock Slaughtered (000 Head)","2002M10","Cattle without Calves",182.2
"668","Weight of Livestock Slaughtered (000 Tonnes)","2002M10","Cattle without Calves",55.7
"669","Number of Livestock Slaughtered (000 Head)","2002M11","Cattle without Calves",182.3
"670","Weight of Livestock Slaughtered (000 Tonnes)","2002M11","Cattle without Calves",54.3
"671","Number of Livestock Slaughtered (000 Head)","2002M12","Cattle without Calves",133.8
"672","Weight of Livestock Slaughtered (000 Tonnes)","2002M12","Cattle without Calves",39.5
"673","Number of Livestock Slaughtered (000 Head)","2003M01","Cattle without Calves",157.6
"674","Weight of Livestock Slaughtered (000 Tonnes)","2003M01","Cattle without Calves",46.9
"675","Number of Livestock Slaughtered (000 Head)","2003M02","Cattle without Calves",143.7
"676","Weight of Livestock Slaughtered (000 Tonnes)","2003M02","Cattle without Calves",42.8
"677","Number of Livestock Slaughtered (000 Head)","2003M03","Cattle without Calves",134.1
"678","Weight of Livestock Slaughtered (000 Tonnes)","2003M03","Cattle without Calves",40
"679","Number of Livestock Slaughtered (000 Head)","2003M04","Cattle without Calves",152.9
"680","Weight of Livestock Slaughtered (000 Tonnes)","2003M04","Cattle without Calves",46.3
"681","Number of Livestock Slaughtered (000 Head)","2003M05","Cattle without Calves",140
"682","Weight of Livestock Slaughtered (000 Tonnes)","2003M05","Cattle without Calves",42.6
"683","Number of Livestock Slaughtered (000 Head)","2003M06","Cattle without Calves",127.5
"684","Weight of Livestock Slaughtered (000 Tonnes)","2003M06","Cattle without Calves",38.6
"685","Number of Livestock Slaughtered (000 Head)","2003M07","Cattle without Calves",157.1
"686","Weight of Livestock Slaughtered (000 Tonnes)","2003M07","Cattle without Calves",48.5
"687","Number of Livestock Slaughtered (000 Head)","2003M08","Cattle without Calves",152.3
"688","Weight of Livestock Slaughtered (000 Tonnes)","2003M08","Cattle without Calves",47.6
"689","Number of Livestock Slaughtered (000 Head)","2003M09","Cattle without Calves",182.8
"690","Weight of Livestock Slaughtered (000 Tonnes)","2003M09","Cattle without Calves",57.3
"691","Number of Livestock Slaughtered (000 Head)","2003M10","Cattle without Calves",194.4
"692","Weight of Livestock Slaughtered (000 Tonnes)","2003M10","Cattle without Calves",60.2
"693","Number of Livestock Slaughtered (000 Head)","2003M11","Cattle without Calves",175
"694","Weight of Livestock Slaughtered (000 Tonnes)","2003M11","Cattle without Calves",53.6
"695","Number of Livestock Slaughtered (000 Head)","2003M12","Cattle without Calves",142.4
"696","Weight of Livestock Slaughtered (000 Tonnes)","2003M12","Cattle without Calves",43.1
"697","Number of Livestock Slaughtered (000 Head)","2004M01","Cattle without Calves",141.4
"698","Weight of Livestock Slaughtered (000 Tonnes)","2004M01","Cattle without Calves",42.4
"699","Number of Livestock Slaughtered (000 Head)","2004M02","Cattle without Calves",133.9
"700","Weight of Livestock Slaughtered (000 Tonnes)","2004M02","Cattle without Calves",40.1
"701","Number of Livestock Slaughtered (000 Head)","2004M03","Cattle without Calves",148.5
"702","Weight of Livestock Slaughtered (000 Tonnes)","2004M03","Cattle without Calves",45.6
"703","Number of Livestock Slaughtered (000 Head)","2004M04","Cattle without Calves",139.5
"704","Weight of Livestock Slaughtered (000 Tonnes)","2004M04","Cattle without Calves",42.6
"705","Number of Livestock Slaughtered (000 Head)","2004M05","Cattle without Calves",120.1
"706","Weight of Livestock Slaughtered (000 Tonnes)","2004M05","Cattle without Calves",37.1
"707","Number of Livestock Slaughtered (000 Head)","2004M06","Cattle without Calves",118.5
"708","Weight of Livestock Slaughtered (000 Tonnes)","2004M06","Cattle without Calves",37.1
"709","Number of Livestock Slaughtered (000 Head)","2004M07","Cattle without Calves",140
"710","Weight of Livestock Slaughtered (000 Tonnes)","2004M07","Cattle without Calves",44.2
"711","Number of Livestock Slaughtered (000 Head)","2004M08","Cattle without Calves",158.4
"712","Weight of Livestock Slaughtered (000 Tonnes)","2004M08","Cattle without Calves",50.5
"713","Number of Livestock Slaughtered (000 Head)","2004M09","Cattle without Calves",174.9
"714","Weight of Livestock Slaughtered (000 Tonnes)","2004M09","Cattle without Calves",56.1
"715","Number of Livestock Slaughtered (000 Head)","2004M10","Cattle without Calves",180.6
"716","Weight of Livestock Slaughtered (000 Tonnes)","2004M10","Cattle without Calves",57.1
"717","Number of Livestock Slaughtered (000 Head)","2004M11","Cattle without Calves",191.2
"718","Weight of Livestock Slaughtered (000 Tonnes)","2004M11","Cattle without Calves",60.1
"719","Number of Livestock Slaughtered (000 Head)","2004M12","Cattle without Calves",165.5
"720","Weight of Livestock Slaughtered (000 Tonnes)","2004M12","Cattle without Calves",50.4
"721","Number of Livestock Slaughtered (000 Head)","2005M01","Cattle without Calves",84.7
"722","Weight of Livestock Slaughtered (000 Tonnes)","2005M01","Cattle without Calves",26.8
"723","Number of Livestock Slaughtered (000 Head)","2005M02","Cattle without Calves",131.8
"724","Weight of Livestock Slaughtered (000 Tonnes)","2005M02","Cattle without Calves",42.5
"725","Number of Livestock Slaughtered (000 Head)","2005M03","Cattle without Calves",138.9
"726","Weight of Livestock Slaughtered (000 Tonnes)","2005M03","Cattle without Calves",44.6
"727","Number of Livestock Slaughtered (000 Head)","2005M04","Cattle without Calves",129.7
"728","Weight of Livestock Slaughtered (000 Tonnes)","2005M04","Cattle without Calves",41.7
"729","Number of Livestock Slaughtered (000 Head)","2005M05","Cattle without Calves",132.9
"730","Weight of Livestock Slaughtered (000 Tonnes)","2005M05","Cattle without Calves",42.9
"731","Number of Livestock Slaughtered (000 Head)","2005M06","Cattle without Calves",135.7
"732","Weight of Livestock Slaughtered (000 Tonnes)","2005M06","Cattle without Calves",44.5
"733","Number of Livestock Slaughtered (000 Head)","2005M07","Cattle without Calves",126.6
"734","Weight of Livestock Slaughtered (000 Tonnes)","2005M07","Cattle without Calves",41.5
"735","Number of Livestock Slaughtered (000 Head)","2005M08","Cattle without Calves",150.5
"736","Weight of Livestock Slaughtered (000 Tonnes)","2005M08","Cattle without Calves",49.2
"737","Number of Livestock Slaughtered (000 Head)","2005M09","Cattle without Calves",169.8
"738","Weight of Livestock Slaughtered (000 Tonnes)","2005M09","Cattle without Calves",56.3
"739","Number of Livestock Slaughtered (000 Head)","2005M10","Cattle without Calves",152.1
"740","Weight of Livestock Slaughtered (000 Tonnes)","2005M10","Cattle without Calves",49.3
"741","Number of Livestock Slaughtered (000 Head)","2005M11","Cattle without Calves",185
"742","Weight of Livestock Slaughtered (000 Tonnes)","2005M11","Cattle without Calves",59.6
"743","Number of Livestock Slaughtered (000 Head)","2005M12","Cattle without Calves",145.8
"744","Weight of Livestock Slaughtered (000 Tonnes)","2005M12","Cattle without Calves",47
"745","Number of Livestock Slaughtered (000 Head)","2006M01","Cattle without Calves",138
"746","Weight of Livestock Slaughtered (000 Tonnes)","2006M01","Cattle without Calves",44.5
"747","Number of Livestock Slaughtered (000 Head)","2006M02","Cattle without Calves",137.7
"748","Weight of Livestock Slaughtered (000 Tonnes)","2006M02","Cattle without Calves",44.4
"749","Number of Livestock Slaughtered (000 Head)","2006M03","Cattle without Calves",159.3
"750","Weight of Livestock Slaughtered (000 Tonnes)","2006M03","Cattle without Calves",51.5
"751","Number of Livestock Slaughtered (000 Head)","2006M04","Cattle without Calves",134.7
"752","Weight of Livestock Slaughtered (000 Tonnes)","2006M04","Cattle without Calves",43.4
"753","Number of Livestock Slaughtered (000 Head)","2006M05","Cattle without Calves",148.3
"754","Weight of Livestock Slaughtered (000 Tonnes)","2006M05","Cattle without Calves",48.1
"755","Number of Livestock Slaughtered (000 Head)","2006M06","Cattle without Calves",138.6
"756","Weight of Livestock Slaughtered (000 Tonnes)","2006M06","Cattle without Calves",45
"757","Number of Livestock Slaughtered (000 Head)","2006M07","Cattle without Calves",137.1
"758","Weight of Livestock Slaughtered (000 Tonnes)","2006M07","Cattle without Calves",44.4
"759","Number of Livestock Slaughtered (000 Head)","2006M08","Cattle without Calves",146.4
"760","Weight of Livestock Slaughtered (000 Tonnes)","2006M08","Cattle without Calves",47.3
"761","Number of Livestock Slaughtered (000 Head)","2006M09","Cattle without Calves",165
"762","Weight of Livestock Slaughtered (000 Tonnes)","2006M09","Cattle without Calves",53.7
"763","Number of Livestock Slaughtered (000 Head)","2006M10","Cattle without Calves",166.5
"764","Weight of Livestock Slaughtered (000 Tonnes)","2006M10","Cattle without Calves",53.9
"765","Number of Livestock Slaughtered (000 Head)","2006M11","Cattle without Calves",178.6
"766","Weight of Livestock Slaughtered (000 Tonnes)","2006M11","Cattle without Calves",56.8
"767","Number of Livestock Slaughtered (000 Head)","2006M12","Cattle without Calves",122.8
"768","Weight of Livestock Slaughtered (000 Tonnes)","2006M12","Cattle without Calves",39.2
"769","Number of Livestock Slaughtered (000 Head)","2007M01","Cattle without Calves",153.5
"770","Weight of Livestock Slaughtered (000 Tonnes)","2007M01","Cattle without Calves",50.1
"771","Number of Livestock Slaughtered (000 Head)","2007M02","Cattle without Calves",143.3
"772","Weight of Livestock Slaughtered (000 Tonnes)","2007M02","Cattle without Calves",46.9
"773","Number of Livestock Slaughtered (000 Head)","2007M03","Cattle without Calves",143.5
"774","Weight of Livestock Slaughtered (000 Tonnes)","2007M03","Cattle without Calves",46.6
"775","Number of Livestock Slaughtered (000 Head)","2007M04","Cattle without Calves",143.8
"776","Weight of Livestock Slaughtered (000 Tonnes)","2007M04","Cattle without Calves",47.2
"777","Number of Livestock Slaughtered (000 Head)","2007M05","Cattle without Calves",146.9
"778","Weight of Livestock Slaughtered (000 Tonnes)","2007M05","Cattle without Calves",48.8
"779","Number of Livestock Slaughtered (000 Head)","2007M06","Cattle without Calves",122.8
"780","Weight of Livestock Slaughtered (000 Tonnes)","2007M06","Cattle without Calves",40.7
"781","Number of Livestock Slaughtered (000 Head)","2007M07","Cattle without Calves",137
"782","Weight of Livestock Slaughtered (000 Tonnes)","2007M07","Cattle without Calves",45
"783","Number of Livestock Slaughtered (000 Head)","2007M08","Cattle without Calves",151.9
"784","Weight of Livestock Slaughtered (000 Tonnes)","2007M08","Cattle without Calves",49.8
"785","Number of Livestock Slaughtered (000 Head)","2007M09","Cattle without Calves",152.1
"786","Weight of Livestock Slaughtered (000 Tonnes)","2007M09","Cattle without Calves",50.5
"787","Number of Livestock Slaughtered (000 Head)","2007M10","Cattle without Calves",175.4
"788","Weight of Livestock Slaughtered (000 Tonnes)","2007M10","Cattle without Calves",57.5
"789","Number of Livestock Slaughtered (000 Head)","2007M11","Cattle without Calves",182.5
"790","Weight of Livestock Slaughtered (000 Tonnes)","2007M11","Cattle without Calves",59.6
"791","Number of Livestock Slaughtered (000 Head)","2007M12","Cattle without Calves",118
"792","Weight of Livestock Slaughtered (000 Tonnes)","2007M12","Cattle without Calves",38.1
"793","Number of Livestock Slaughtered (000 Head)","2008M01","Cattle without Calves",200
"794","Weight of Livestock Slaughtered (000 Tonnes)","2008M01","Cattle without Calves",45.28
"795","Number of Livestock Slaughtered (000 Head)","2008M02","Cattle without Calves",134.52
"796","Weight of Livestock Slaughtered (000 Tonnes)","2008M02","Cattle without Calves",43.96
"797","Number of Livestock Slaughtered (000 Head)","2008M03","Cattle without Calves",123.65
"798","Weight of Livestock Slaughtered (000 Tonnes)","2008M03","Cattle without Calves",40.33
"799","Number of Livestock Slaughtered (000 Head)","2008M04","Cattle without Calves",139.68
"800","Weight of Livestock Slaughtered (000 Tonnes)","2008M04","Cattle without Calves",45.19
"801","Number of Livestock Slaughtered (000 Head)","2008M05","Cattle without Calves",126.83
"802","Weight of Livestock Slaughtered (000 Tonnes)","2008M05","Cattle without Calves",41.28
"803","Number of Livestock Slaughtered (000 Head)","2008M06","Cattle without Calves",126.22
"804","Weight of Livestock Slaughtered (000 Tonnes)","2008M06","Cattle without Calves",40.91
"805","Number of Livestock Slaughtered (000 Head)","2008M07","Cattle without Calves",140.39
"806","Weight of Livestock Slaughtered (000 Tonnes)","2008M07","Cattle without Calves",44.99
"807","Number of Livestock Slaughtered (000 Head)","2008M08","Cattle without Calves",140.49
"808","Weight of Livestock Slaughtered (000 Tonnes)","2008M08","Cattle without Calves",45.34
"809","Number of Livestock Slaughtered (000 Head)","2008M09","Cattle without Calves",164.07
"810","Weight of Livestock Slaughtered (000 Tonnes)","2008M09","Cattle without Calves",53.12
"811","Number of Livestock Slaughtered (000 Head)","2008M10","Cattle without Calves",176.38
"812","Weight of Livestock Slaughtered (000 Tonnes)","2008M10","Cattle without Calves",56.36
"813","Number of Livestock Slaughtered (000 Head)","2008M11","Cattle without Calves",134.25
"814","Weight of Livestock Slaughtered (000 Tonnes)","2008M11","Cattle without Calves",42.26
"815","Number of Livestock Slaughtered (000 Head)","2008M12","Cattle without Calves",120.25
"816","Weight of Livestock Slaughtered (000 Tonnes)","2008M12","Cattle without Calves",38.11
"817","Number of Livestock Slaughtered (000 Head)","2009M01","Cattle without Calves",113.83
"818","Weight of Livestock Slaughtered (000 Tonnes)","2009M01","Cattle without Calves",36.55
"819","Number of Livestock Slaughtered (000 Head)","2009M02","Cattle without Calves",124.04
"820","Weight of Livestock Slaughtered (000 Tonnes)","2009M02","Cattle without Calves",40.24
"821","Number of Livestock Slaughtered (000 Head)","2009M03","Cattle without Calves",125.49
"822","Weight of Livestock Slaughtered (000 Tonnes)","2009M03","Cattle without Calves",40.56
"823","Number of Livestock Slaughtered (000 Head)","2009M04","Cattle without Calves",127.38
"824","Weight of Livestock Slaughtered (000 Tonnes)","2009M04","Cattle without Calves",41.17
"825","Number of Livestock Slaughtered (000 Head)","2009M05","Cattle without Calves",123.21
"826","Weight of Livestock Slaughtered (000 Tonnes)","2009M05","Cattle without Calves",39.61
"827","Number of Livestock Slaughtered (000 Head)","2009M06","Cattle without Calves",118.98
"828","Weight of Livestock Slaughtered (000 Tonnes)","2009M06","Cattle without Calves",38.31
"829","Number of Livestock Slaughtered (000 Head)","2009M07","Cattle without Calves",138.07
"830","Weight of Livestock Slaughtered (000 Tonnes)","2009M07","Cattle without Calves",44.37
"831","Number of Livestock Slaughtered (000 Head)","2009M08","Cattle without Calves",130.22
"832","Weight of Livestock Slaughtered (000 Tonnes)","2009M08","Cattle without Calves",41.48
"833","Number of Livestock Slaughtered (000 Head)","2009M09","Cattle without Calves",156.85
"834","Weight of Livestock Slaughtered (000 Tonnes)","2009M09","Cattle without Calves",50.39
"835","Number of Livestock Slaughtered (000 Head)","2009M10","Cattle without Calves",150.15
"836","Weight of Livestock Slaughtered (000 Tonnes)","2009M10","Cattle without Calves",48.27
"837","Number of Livestock Slaughtered (000 Head)","2009M11","Cattle without Calves",157.23
"838","Weight of Livestock Slaughtered (000 Tonnes)","2009M11","Cattle without Calves",50.52
"839","Number of Livestock Slaughtered (000 Head)","2009M12","Cattle without Calves",131.57
"840","Weight of Livestock Slaughtered (000 Tonnes)","2009M12","Cattle without Calves",42.36
"841","Number of Livestock Slaughtered (000 Head)","2010M01","Cattle without Calves",125.69
"842","Weight of Livestock Slaughtered (000 Tonnes)","2010M01","Cattle without Calves",41.11
"843","Number of Livestock Slaughtered (000 Head)","2010M02","Cattle without Calves",139.93
"844","Weight of Livestock Slaughtered (000 Tonnes)","2010M02","Cattle without Calves",45.83
"845","Number of Livestock Slaughtered (000 Head)","2010M03","Cattle without Calves",159.01
"846","Weight of Livestock Slaughtered (000 Tonnes)","2010M03","Cattle without Calves",51.81
"847","Number of Livestock Slaughtered (000 Head)","2010M04","Cattle without Calves",138.62
"848","Weight of Livestock Slaughtered (000 Tonnes)","2010M04","Cattle without Calves",44.87
"849","Number of Livestock Slaughtered (000 Head)","2010M05","Cattle without Calves",134.55
"850","Weight of Livestock Slaughtered (000 Tonnes)","2010M05","Cattle without Calves",43.7
"851","Number of Livestock Slaughtered (000 Head)","2010M06","Cattle without Calves",139.87
"852","Weight of Livestock Slaughtered (000 Tonnes)","2010M06","Cattle without Calves",45.4
"853","Number of Livestock Slaughtered (000 Head)","2010M07","Cattle without Calves",134.59
"854","Weight of Livestock Slaughtered (000 Tonnes)","2010M07","Cattle without Calves",43.42
"855","Number of Livestock Slaughtered (000 Head)","2010M08","Cattle without Calves",136.74
"856","Weight of Livestock Slaughtered (000 Tonnes)","2010M08","Cattle without Calves",44.55
"857","Number of Livestock Slaughtered (000 Head)","2010M09","Cattle without Calves",159.92
"858","Weight of Livestock Slaughtered (000 Tonnes)","2010M09","Cattle without Calves",52.63
"859","Number of Livestock Slaughtered (000 Head)","2010M10","Cattle without Calves",147.63
"860","Weight of Livestock Slaughtered (000 Tonnes)","2010M10","Cattle without Calves",48.71
"861","Number of Livestock Slaughtered (000 Head)","2010M11","Cattle without Calves",165.74
"862","Weight of Livestock Slaughtered (000 Tonnes)","2010M11","Cattle without Calves",54.31
"863","Number of Livestock Slaughtered (000 Head)","2010M12","Cattle without Calves",127.65
"864","Weight of Livestock Slaughtered (000 Tonnes)","2010M12","Cattle without Calves",41.71
"865","Number of Livestock Slaughtered (000 Head)","2011M01","Cattle without Calves",120.36
"866","Weight of Livestock Slaughtered (000 Tonnes)","2011M01","Cattle without Calves",40.01
"867","Number of Livestock Slaughtered (000 Head)","2011M02","Cattle without Calves",126.13
"868","Weight of Livestock Slaughtered (000 Tonnes)","2011M02","Cattle without Calves",41.89
"869","Number of Livestock Slaughtered (000 Head)","2011M03","Cattle without Calves",146.38
"870","Weight of Livestock Slaughtered (000 Tonnes)","2011M03","Cattle without Calves",48.66
"871","Number of Livestock Slaughtered (000 Head)","2011M04","Cattle without Calves",136.17
"872","Weight of Livestock Slaughtered (000 Tonnes)","2011M04","Cattle without Calves",45.05
"873","Number of Livestock Slaughtered (000 Head)","2011M05","Cattle without Calves",134.81
"874","Weight of Livestock Slaughtered (000 Tonnes)","2011M05","Cattle without Calves",44.55
"875","Number of Livestock Slaughtered (000 Head)","2011M06","Cattle without Calves",136.14
"876","Weight of Livestock Slaughtered (000 Tonnes)","2011M06","Cattle without Calves",44.96
"877","Number of Livestock Slaughtered (000 Head)","2011M07","Cattle without Calves",117.95
"878","Weight of Livestock Slaughtered (000 Tonnes)","2011M07","Cattle without Calves",38.89
"879","Number of Livestock Slaughtered (000 Head)","2011M08","Cattle without Calves",140.78
"880","Weight of Livestock Slaughtered (000 Tonnes)","2011M08","Cattle without Calves",47.6
"881","Number of Livestock Slaughtered (000 Head)","2011M09","Cattle without Calves",152.21
"882","Weight of Livestock Slaughtered (000 Tonnes)","2011M09","Cattle without Calves",51.87
"883","Number of Livestock Slaughtered (000 Head)","2011M10","Cattle without Calves",149.99
"884","Weight of Livestock Slaughtered (000 Tonnes)","2011M10","Cattle without Calves",50.82
"885","Number of Livestock Slaughtered (000 Head)","2011M11","Cattle without Calves",159.63
"886","Weight of Livestock Slaughtered (000 Tonnes)","2011M11","Cattle without Calves",53.46
"887","Number of Livestock Slaughtered (000 Head)","2011M12","Cattle without Calves",114.14
"888","Weight of Livestock Slaughtered (000 Tonnes)","2011M12","Cattle without Calves",37.84
"889","Number of Livestock Slaughtered (000 Head)","2012M01","Cattle without Calves",123.86
"890","Weight of Livestock Slaughtered (000 Tonnes)","2012M01","Cattle without Calves",42.06
"891","Number of Livestock Slaughtered (000 Head)","2012M02","Cattle without Calves",117.65
"892","Weight of Livestock Slaughtered (000 Tonnes)","2012M02","Cattle without Calves",39.75
"893","Number of Livestock Slaughtered (000 Head)","2012M03","Cattle without Calves",111.95
"894","Weight of Livestock Slaughtered (000 Tonnes)","2012M03","Cattle without Calves",37.95
"895","Number of Livestock Slaughtered (000 Head)","2012M04","Cattle without Calves",110.12
"896","Weight of Livestock Slaughtered (000 Tonnes)","2012M04","Cattle without Calves",37.36
"897","Number of Livestock Slaughtered (000 Head)","2012M05","Cattle without Calves",118.02
"898","Weight of Livestock Slaughtered (000 Tonnes)","2012M05","Cattle without Calves",39.5
"899","Number of Livestock Slaughtered (000 Head)","2012M06","Cattle without Calves",105.68
"900","Weight of Livestock Slaughtered (000 Tonnes)","2012M06","Cattle without Calves",35.18
"901","Number of Livestock Slaughtered (000 Head)","2012M07","Cattle without Calves",115.06
"902","Weight of Livestock Slaughtered (000 Tonnes)","2012M07","Cattle without Calves",38.41
"903","Number of Livestock Slaughtered (000 Head)","2012M08","Cattle without Calves",127.72
"904","Weight of Livestock Slaughtered (000 Tonnes)","2012M08","Cattle without Calves",42.79
"905","Number of Livestock Slaughtered (000 Head)","2012M09","Cattle without Calves",126.03
"906","Weight of Livestock Slaughtered (000 Tonnes)","2012M09","Cattle without Calves",42.18
"907","Number of Livestock Slaughtered (000 Head)","2012M10","Cattle without Calves",154.64
"908","Weight of Livestock Slaughtered (000 Tonnes)","2012M10","Cattle without Calves",51.56
"909","Number of Livestock Slaughtered (000 Head)","2012M11","Cattle without Calves",149.52
"910","Weight of Livestock Slaughtered (000 Tonnes)","2012M11","Cattle without Calves",48.81
"911","Number of Livestock Slaughtered (000 Head)","2012M12","Cattle without Calves",119.04
"912","Weight of Livestock Slaughtered (000 Tonnes)","2012M12","Cattle without Calves",39.06
"913","Number of Livestock Slaughtered (000 Head)","2013M01","Cattle without Calves",136.96
"914","Weight of Livestock Slaughtered (000 Tonnes)","2013M01","Cattle without Calves",45.95
"915","Number of Livestock Slaughtered (000 Head)","2013M02","Cattle without Calves",127.76
"916","Weight of Livestock Slaughtered (000 Tonnes)","2013M02","Cattle without Calves",42.5
