"","Statistic","Year","Fish.Species","value"
"381","Live Weight of Sea Fish Landings (Tonnes)","1997","White pollock",1050
"382","Value of Sea Fish Landings (Euro Thousand)","1997","White pollock",1148
"383","Live Weight of Sea Fish Landings (Tonnes)","1998","White pollock",946
"384","Value of Sea Fish Landings (Euro Thousand)","1998","White pollock",1125
"385","Live Weight of Sea Fish Landings (Tonnes)","1999","White pollock",1049
"386","Value of Sea Fish Landings (Euro Thousand)","1999","White pollock",1318
"387","Live Weight of Sea Fish Landings (Tonnes)","2000","White pollock",1131
"388","Value of Sea Fish Landings (Euro Thousand)","2000","White pollock",1314
"389","Live Weight of Sea Fish Landings (Tonnes)","2001","White pollock",1381
"390","Value of Sea Fish Landings (Euro Thousand)","2001","White pollock",2563
"391","Live Weight of Sea Fish Landings (Tonnes)","2002","White pollock",1335
"392","Value of Sea Fish Landings (Euro Thousand)","2002","White pollock",2261
"393","Live Weight of Sea Fish Landings (Tonnes)","2003","White pollock",1238
"394","Value of Sea Fish Landings (Euro Thousand)","2003","White pollock",1195
"395","Live Weight of Sea Fish Landings (Tonnes)","2004","White pollock",1119
"396","Value of Sea Fish Landings (Euro Thousand)","2004","White pollock",1014
"397","Live Weight of Sea Fish Landings (Tonnes)","1994","Whiting",8735
"398","Value of Sea Fish Landings (Euro Thousand)","1994","Whiting",5564
"399","Live Weight of Sea Fish Landings (Tonnes)","1995","Whiting",11262
"400","Value of Sea Fish Landings (Euro Thousand)","1995","Whiting",7750
"401","Live Weight of Sea Fish Landings (Tonnes)","1996","Whiting",10352
"402","Value of Sea Fish Landings (Euro Thousand)","1996","Whiting",7861
"403","Live Weight of Sea Fish Landings (Tonnes)","1997","Whiting",9392
"404","Value of Sea Fish Landings (Euro Thousand)","1997","Whiting",7367
"405","Live Weight of Sea Fish Landings (Tonnes)","1998","Whiting",7762
"406","Value of Sea Fish Landings (Euro Thousand)","1998","Whiting",6729
"407","Live Weight of Sea Fish Landings (Tonnes)","1999","Whiting",7643
"408","Value of Sea Fish Landings (Euro Thousand)","1999","Whiting",6820
"409","Live Weight of Sea Fish Landings (Tonnes)","2000","Whiting",6505
"410","Value of Sea Fish Landings (Euro Thousand)","2000","Whiting",5866
"411","Live Weight of Sea Fish Landings (Tonnes)","2001","Whiting",6581
"412","Value of Sea Fish Landings (Euro Thousand)","2001","Whiting",8469
"413","Live Weight of Sea Fish Landings (Tonnes)","2002","Whiting",6657
"414","Value of Sea Fish Landings (Euro Thousand)","2002","Whiting",5452
"415","Live Weight of Sea Fish Landings (Tonnes)","2003","Whiting",5351
"416","Value of Sea Fish Landings (Euro Thousand)","2003","Whiting",4468
"417","Live Weight of Sea Fish Landings (Tonnes)","2004","Whiting",4799
"418","Value of Sea Fish Landings (Euro Thousand)","2004","Whiting",4026
"419","Live Weight of Sea Fish Landings (Tonnes)","1994","Witch",370
"420","Value of Sea Fish Landings (Euro Thousand)","1994","Witch",465
"421","Live Weight of Sea Fish Landings (Tonnes)","1995","Witch",601
"422","Value of Sea Fish Landings (Euro Thousand)","1995","Witch",777
"423","Live Weight of Sea Fish Landings (Tonnes)","1996","Witch",615
"424","Value of Sea Fish Landings (Euro Thousand)","1996","Witch",938
"425","Live Weight of Sea Fish Landings (Tonnes)","1997","Witch",605
"426","Value of Sea Fish Landings (Euro Thousand)","1997","Witch",904
"427","Live Weight of Sea Fish Landings (Tonnes)","1998","Witch",657
"428","Value of Sea Fish Landings (Euro Thousand)","1998","Witch",923
"429","Live Weight of Sea Fish Landings (Tonnes)","1999","Witch",713
"430","Value of Sea Fish Landings (Euro Thousand)","1999","Witch",999
"431","Live Weight of Sea Fish Landings (Tonnes)","2000","Witch",552
"432","Value of Sea Fish Landings (Euro Thousand)","2000","Witch",882
"433","Live Weight of Sea Fish Landings (Tonnes)","2001","Witch",916
"434","Value of Sea Fish Landings (Euro Thousand)","2001","Witch",1921
"435","Live Weight of Sea Fish Landings (Tonnes)","2002","Witch",832
"436","Value of Sea Fish Landings (Euro Thousand)","2002","Witch",1713
"437","Live Weight of Sea Fish Landings (Tonnes)","2003","Witch",971
"438","Value of Sea Fish Landings (Euro Thousand)","2003","Witch",1397
"439","Live Weight of Sea Fish Landings (Tonnes)","2004","Witch",962
"440","Value of Sea Fish Landings (Euro Thousand)","2004","Witch",1375
"441","Live Weight of Sea Fish Landings (Tonnes)","1994","Cutlassfish",3
"442","Value of Sea Fish Landings (Euro Thousand)","1994","Cutlassfish",3
"443","Live Weight of Sea Fish Landings (Tonnes)","1995","Cutlassfish",5
"444","Value of Sea Fish Landings (Euro Thousand)","1995","Cutlassfish",8
"445","Live Weight of Sea Fish Landings (Tonnes)","1996","Cutlassfish",0
"446","Value of Sea Fish Landings (Euro Thousand)","1996","Cutlassfish",0
"447","Live Weight of Sea Fish Landings (Tonnes)","1997","Cutlassfish",1
"448","Value of Sea Fish Landings (Euro Thousand)","1997","Cutlassfish",1
"449","Live Weight of Sea Fish Landings (Tonnes)","1998","Cutlassfish",0
"450","Value of Sea Fish Landings (Euro Thousand)","1998","Cutlassfish",0
"451","Live Weight of Sea Fish Landings (Tonnes)","1999","Cutlassfish",1
"452","Value of Sea Fish Landings (Euro Thousand)","1999","Cutlassfish",2
"453","Live Weight of Sea Fish Landings (Tonnes)","2000","Cutlassfish",75
"454","Value of Sea Fish Landings (Euro Thousand)","2000","Cutlassfish",95
"455","Live Weight of Sea Fish Landings (Tonnes)","2001","Cutlassfish",718
"456","Value of Sea Fish Landings (Euro Thousand)","2001","Cutlassfish",1095
"457","Live Weight of Sea Fish Landings (Tonnes)","2002","Cutlassfish",827
"458","Value of Sea Fish Landings (Euro Thousand)","2002","Cutlassfish",1498
"459","Live Weight of Sea Fish Landings (Tonnes)","2003","Cutlassfish",NA
"460","Value of Sea Fish Landings (Euro Thousand)","2003","Cutlassfish",NA
"461","Live Weight of Sea Fish Landings (Tonnes)","2004","Cutlassfish",NA
"462","Value of Sea Fish Landings (Euro Thousand)","2004","Cutlassfish",NA
"463","Live Weight of Sea Fish Landings (Tonnes)","1994","Orange roughy",0
"464","Value of Sea Fish Landings (Euro Thousand)","1994","Orange roughy",0
"465","Live Weight of Sea Fish Landings (Tonnes)","1995","Orange roughy",0
"466","Value of Sea Fish Landings (Euro Thousand)","1995","Orange roughy",0
"467","Live Weight of Sea Fish Landings (Tonnes)","1996","Orange roughy",0
"468","Value of Sea Fish Landings (Euro Thousand)","1996","Orange roughy",0
"469","Live Weight of Sea Fish Landings (Tonnes)","1997","Orange roughy",0
"470","Value of Sea Fish Landings (Euro Thousand)","1997","Orange roughy",0
"471","Live Weight of Sea Fish Landings (Tonnes)","1998","Orange roughy",0
"472","Value of Sea Fish Landings (Euro Thousand)","1998","Orange roughy",0
"473","Live Weight of Sea Fish Landings (Tonnes)","1999","Orange roughy",0
"474","Value of Sea Fish Landings (Euro Thousand)","1999","Orange roughy",0
"475","Live Weight of Sea Fish Landings (Tonnes)","2000","Orange roughy",3
"476","Value of Sea Fish Landings (Euro Thousand)","2000","Orange roughy",3
"477","Live Weight of Sea Fish Landings (Tonnes)","2001","Orange roughy",2759
"478","Value of Sea Fish Landings (Euro Thousand)","2001","Orange roughy",8656
"479","Live Weight of Sea Fish Landings (Tonnes)","2002","Orange roughy",4646
"480","Value of Sea Fish Landings (Euro Thousand)","2002","Orange roughy",13021
"481","Live Weight of Sea Fish Landings (Tonnes)","2003","Orange roughy",310
"482","Value of Sea Fish Landings (Euro Thousand)","2003","Orange roughy",399
"483","Live Weight of Sea Fish Landings (Tonnes)","2004","Orange roughy",209
"484","Value of Sea Fish Landings (Euro Thousand)","2004","Orange roughy",230
"485","Live Weight of Sea Fish Landings (Tonnes)","1994","Other demersal",760
"486","Value of Sea Fish Landings (Euro Thousand)","1994","Other demersal",744
"487","Live Weight of Sea Fish Landings (Tonnes)","1995","Other demersal",1064
"488","Value of Sea Fish Landings (Euro Thousand)","1995","Other demersal",996
"489","Live Weight of Sea Fish Landings (Tonnes)","1996","Other demersal",924
"490","Value of Sea Fish Landings (Euro Thousand)","1996","Other demersal",857
"491","Live Weight of Sea Fish Landings (Tonnes)","1997","Other demersal",1257
"492","Value of Sea Fish Landings (Euro Thousand)","1997","Other demersal",1106
"493","Live Weight of Sea Fish Landings (Tonnes)","1998","Other demersal",2087
"494","Value of Sea Fish Landings (Euro Thousand)","1998","Other demersal",2369
"495","Live Weight of Sea Fish Landings (Tonnes)","1999","Other demersal",1966
"496","Value of Sea Fish Landings (Euro Thousand)","1999","Other demersal",2115
"497","Live Weight of Sea Fish Landings (Tonnes)","2000","Other demersal",1855
"498","Value of Sea Fish Landings (Euro Thousand)","2000","Other demersal",1999
"499","Live Weight of Sea Fish Landings (Tonnes)","2001","Other demersal",5007
"500","Value of Sea Fish Landings (Euro Thousand)","2001","Other demersal",6560
"501","Live Weight of Sea Fish Landings (Tonnes)","2002","Other demersal",2100
"502","Value of Sea Fish Landings (Euro Thousand)","2002","Other demersal",3204
"503","Live Weight of Sea Fish Landings (Tonnes)","2003","Other demersal",1862
"504","Value of Sea Fish Landings (Euro Thousand)","2003","Other demersal",1183
"505","Live Weight of Sea Fish Landings (Tonnes)","2004","Other demersal",2806
"506","Value of Sea Fish Landings (Euro Thousand)","2004","Other demersal",1554
"507","Live Weight of Sea Fish Landings (Tonnes)","1994","Pelagic",225853
"508","Value of Sea Fish Landings (Euro Thousand)","1994","Pelagic",41725
"509","Live Weight of Sea Fish Landings (Tonnes)","1995","Pelagic",305485
"510","Value of Sea Fish Landings (Euro Thousand)","1995","Pelagic",49958
"511","Live Weight of Sea Fish Landings (Tonnes)","1996","Pelagic",256916
"512","Value of Sea Fish Landings (Euro Thousand)","1996","Pelagic",64011
"513","Live Weight of Sea Fish Landings (Tonnes)","1997","Pelagic",216343
"514","Value of Sea Fish Landings (Euro Thousand)","1997","Pelagic",59260
"515","Live Weight of Sea Fish Landings (Tonnes)","1998","Pelagic",251235
"516","Value of Sea Fish Landings (Euro Thousand)","1998","Pelagic",78188
"517","Live Weight of Sea Fish Landings (Tonnes)","1999","Pelagic",211264
"518","Value of Sea Fish Landings (Euro Thousand)","1999","Pelagic",68063
"519","Live Weight of Sea Fish Landings (Tonnes)","2000","Pelagic",206576
"520","Value of Sea Fish Landings (Euro Thousand)","2000","Pelagic",65912
"521","Live Weight of Sea Fish Landings (Tonnes)","2001","Pelagic",223740
"522","Value of Sea Fish Landings (Euro Thousand)","2001","Pelagic",79375
"523","Live Weight of Sea Fish Landings (Tonnes)","2002","Pelagic",173085
"524","Value of Sea Fish Landings (Euro Thousand)","2002","Pelagic",63973
"525","Live Weight of Sea Fish Landings (Tonnes)","2003","Pelagic",197660
"526","Value of Sea Fish Landings (Euro Thousand)","2003","Pelagic",60734
"527","Live Weight of Sea Fish Landings (Tonnes)","2004","Pelagic",243935
"528","Value of Sea Fish Landings (Euro Thousand)","2004","Pelagic",66125
"529","Live Weight of Sea Fish Landings (Tonnes)","1994","Blue whiting",2
"530","Value of Sea Fish Landings (Euro Thousand)","1994","Blue whiting",4382
"531","Live Weight of Sea Fish Landings (Tonnes)","1995","Blue whiting",222
"532","Value of Sea Fish Landings (Euro Thousand)","1995","Blue whiting",28
"533","Live Weight of Sea Fish Landings (Tonnes)","1996","Blue whiting",1709
"534","Value of Sea Fish Landings (Euro Thousand)","1996","Blue whiting",75
"535","Live Weight of Sea Fish Landings (Tonnes)","1997","Blue whiting",25987
"536","Value of Sea Fish Landings (Euro Thousand)","1997","Blue whiting",1701
"537","Live Weight of Sea Fish Landings (Tonnes)","1998","Blue whiting",45538
"538","Value of Sea Fish Landings (Euro Thousand)","1998","Blue whiting",3512
"539","Live Weight of Sea Fish Landings (Tonnes)","1999","Blue whiting",33687
"540","Value of Sea Fish Landings (Euro Thousand)","1999","Blue whiting",2365
"541","Live Weight of Sea Fish Landings (Tonnes)","2000","Blue whiting",21693
"542","Value of Sea Fish Landings (Euro Thousand)","2000","Blue whiting",1243
"543","Live Weight of Sea Fish Landings (Tonnes)","2001","Blue whiting",29909
"544","Value of Sea Fish Landings (Euro Thousand)","2001","Blue whiting",2845
"545","Live Weight of Sea Fish Landings (Tonnes)","2002","Blue whiting",14268
"546","Value of Sea Fish Landings (Euro Thousand)","2002","Blue whiting",972
"547","Live Weight of Sea Fish Landings (Tonnes)","2003","Blue whiting",22586
"548","Value of Sea Fish Landings (Euro Thousand)","2003","Blue whiting",3244
"549","Live Weight of Sea Fish Landings (Tonnes)","2004","Blue whiting",61470
"550","Value of Sea Fish Landings (Euro Thousand)","2004","Blue whiting",8346
"551","Live Weight of Sea Fish Landings (Tonnes)","1994","Herring",51006
"552","Value of Sea Fish Landings (Euro Thousand)","1994","Herring",11765
"553","Live Weight of Sea Fish Landings (Tonnes)","1995","Herring",46643
"554","Value of Sea Fish Landings (Euro Thousand)","1995","Herring",9955
"555","Live Weight of Sea Fish Landings (Tonnes)","1996","Herring",71971
"556","Value of Sea Fish Landings (Euro Thousand)","1996","Herring",15135
"557","Live Weight of Sea Fish Landings (Tonnes)","1997","Herring",57155
"558","Value of Sea Fish Landings (Euro Thousand)","1997","Herring",9561
"559","Live Weight of Sea Fish Landings (Tonnes)","1998","Herring",58248
"560","Value of Sea Fish Landings (Euro Thousand)","1998","Herring",10700
"561","Live Weight of Sea Fish Landings (Tonnes)","1999","Herring",45334
"562","Value of Sea Fish Landings (Euro Thousand)","1999","Herring",8849
"563","Live Weight of Sea Fish Landings (Tonnes)","2000","Herring",42114
"564","Value of Sea Fish Landings (Euro Thousand)","2000","Herring",9555
"565","Live Weight of Sea Fish Landings (Tonnes)","2001","Herring",41979
"566","Value of Sea Fish Landings (Euro Thousand)","2001","Herring",11227
"567","Live Weight of Sea Fish Landings (Tonnes)","2002","Herring",30606
"568","Value of Sea Fish Landings (Euro Thousand)","2002","Herring",6430
"569","Live Weight of Sea Fish Landings (Tonnes)","2003","Herring",28839
"570","Value of Sea Fish Landings (Euro Thousand)","2003","Herring",6036
"571","Live Weight of Sea Fish Landings (Tonnes)","2004","Herring",33178
"572","Value of Sea Fish Landings (Euro Thousand)","2004","Herring",7139
"573","Live Weight of Sea Fish Landings (Tonnes)","1994","Horse mackerel",85804
"574","Value of Sea Fish Landings (Euro Thousand)","1994","Horse mackerel",10183
"575","Live Weight of Sea Fish Landings (Tonnes)","1995","Horse mackerel",178356
"576","Value of Sea Fish Landings (Euro Thousand)","1995","Horse mackerel",19781
"577","Live Weight of Sea Fish Landings (Tonnes)","1996","Horse mackerel",127872
"578","Value of Sea Fish Landings (Euro Thousand)","1996","Horse mackerel",22900
"579","Live Weight of Sea Fish Landings (Tonnes)","1997","Horse mackerel",75002
"580","Value of Sea Fish Landings (Euro Thousand)","1997","Horse mackerel",19906
"581","Live Weight of Sea Fish Landings (Tonnes)","1998","Horse mackerel",74253
"582","Value of Sea Fish Landings (Euro Thousand)","1998","Horse mackerel",17197
"583","Live Weight of Sea Fish Landings (Tonnes)","1999","Horse mackerel",58201
"584","Value of Sea Fish Landings (Euro Thousand)","1999","Horse mackerel",20219
"585","Live Weight of Sea Fish Landings (Tonnes)","2000","Horse mackerel",55438
"586","Value of Sea Fish Landings (Euro Thousand)","2000","Horse mackerel",15429
"587","Live Weight of Sea Fish Landings (Tonnes)","2001","Horse mackerel",63497
"588","Value of Sea Fish Landings (Euro Thousand)","2001","Horse mackerel",20847
"589","Live Weight of Sea Fish Landings (Tonnes)","2002","Horse mackerel",34769
"590","Value of Sea Fish Landings (Euro Thousand)","2002","Horse mackerel",10394
"591","Live Weight of Sea Fish Landings (Tonnes)","2003","Horse mackerel",36960
"592","Value of Sea Fish Landings (Euro Thousand)","2003","Horse mackerel",8981
"593","Live Weight of Sea Fish Landings (Tonnes)","2004","Horse mackerel",37431
"594","Value of Sea Fish Landings (Euro Thousand)","2004","Horse mackerel",8845
"595","Live Weight of Sea Fish Landings (Tonnes)","1994","Mackerel",86274
"596","Value of Sea Fish Landings (Euro Thousand)","1994","Mackerel",15803
"597","Live Weight of Sea Fish Landings (Tonnes)","1995","Mackerel",78534
"598","Value of Sea Fish Landings (Euro Thousand)","1995","Mackerel",18515
"599","Live Weight of Sea Fish Landings (Tonnes)","1996","Mackerel",49966
"600","Value of Sea Fish Landings (Euro Thousand)","1996","Mackerel",23603
"601","Live Weight of Sea Fish Landings (Tonnes)","1997","Mackerel",53084
"602","Value of Sea Fish Landings (Euro Thousand)","1997","Mackerel",23278
"603","Live Weight of Sea Fish Landings (Tonnes)","1998","Mackerel",67310
"604","Value of Sea Fish Landings (Euro Thousand)","1998","Mackerel",38674
"605","Live Weight of Sea Fish Landings (Tonnes)","1999","Mackerel",59609
"606","Value of Sea Fish Landings (Euro Thousand)","1999","Mackerel",19750
"607","Live Weight of Sea Fish Landings (Tonnes)","2000","Mackerel",70183
"608","Value of Sea Fish Landings (Euro Thousand)","2000","Mackerel",28786
"609","Live Weight of Sea Fish Landings (Tonnes)","2001","Mackerel",70451
"610","Value of Sea Fish Landings (Euro Thousand)","2001","Mackerel",35289
"611","Live Weight of Sea Fish Landings (Tonnes)","2002","Mackerel",71431
"612","Value of Sea Fish Landings (Euro Thousand)","2002","Mackerel",38624
"613","Live Weight of Sea Fish Landings (Tonnes)","2003","Mackerel",67480
"614","Value of Sea Fish Landings (Euro Thousand)","2003","Mackerel",27411
"615","Live Weight of Sea Fish Landings (Tonnes)","2004","Mackerel",72345
"616","Value of Sea Fish Landings (Euro Thousand)","2004","Mackerel",32241
"617","Live Weight of Sea Fish Landings (Tonnes)","1994","Sprat",232
"618","Value of Sea Fish Landings (Euro Thousand)","1994","Sprat",32
"619","Live Weight of Sea Fish Landings (Tonnes)","1995","Sprat",799
"620","Value of Sea Fish Landings (Euro Thousand)","1995","Sprat",114
"621","Live Weight of Sea Fish Landings (Tonnes)","1996","Sprat",4214
"622","Value of Sea Fish Landings (Euro Thousand)","1996","Sprat",703
"623","Live Weight of Sea Fish Landings (Tonnes)","1997","Sprat",2085
"624","Value of Sea Fish Landings (Euro Thousand)","1997","Sprat",618
"625","Live Weight of Sea Fish Landings (Tonnes)","1998","Sprat",1578
"626","Value of Sea Fish Landings (Euro Thousand)","1998","Sprat",229
"627","Live Weight of Sea Fish Landings (Tonnes)","1999","Sprat",5826
"628","Value of Sea Fish Landings (Euro Thousand)","1999","Sprat",1791
"629","Live Weight of Sea Fish Landings (Tonnes)","2000","Sprat",6032
"630","Value of Sea Fish Landings (Euro Thousand)","2000","Sprat",1898
"631","Live Weight of Sea Fish Landings (Tonnes)","2001","Sprat",291
"632","Value of Sea Fish Landings (Euro Thousand)","2001","Sprat",68
"633","Live Weight of Sea Fish Landings (Tonnes)","2002","Sprat",1728
"634","Value of Sea Fish Landings (Euro Thousand)","2002","Sprat",607
"635","Live Weight of Sea Fish Landings (Tonnes)","2003","Sprat",5059
"636","Value of Sea Fish Landings (Euro Thousand)","2003","Sprat",866
"637","Live Weight of Sea Fish Landings (Tonnes)","2004","Sprat",4639
"638","Value of Sea Fish Landings (Euro Thousand)","2004","Sprat",730
"639","Live Weight of Sea Fish Landings (Tonnes)","1994","Tuna",2534
"640","Value of Sea Fish Landings (Euro Thousand)","1994","Tuna",3940
"641","Live Weight of Sea Fish Landings (Tonnes)","1995","Tuna",918
"642","Value of Sea Fish Landings (Euro Thousand)","1995","Tuna",1519
"643","Live Weight of Sea Fish Landings (Tonnes)","1996","Tuna",874
"644","Value of Sea Fish Landings (Euro Thousand)","1996","Tuna",1548
"645","Live Weight of Sea Fish Landings (Tonnes)","1997","Tuna",1927
"646","Value of Sea Fish Landings (Euro Thousand)","1997","Tuna",3578
"647","Live Weight of Sea Fish Landings (Tonnes)","1998","Tuna",3770
"648","Value of Sea Fish Landings (Euro Thousand)","1998","Tuna",7328
"649","Live Weight of Sea Fish Landings (Tonnes)","1999","Tuna",4909
"650","Value of Sea Fish Landings (Euro Thousand)","1999","Tuna",13638
"651","Live Weight of Sea Fish Landings (Tonnes)","2000","Tuna",3486
"652","Value of Sea Fish Landings (Euro Thousand)","2000","Tuna",7407
"653","Live Weight of Sea Fish Landings (Tonnes)","2001","Tuna",2105
"654","Value of Sea Fish Landings (Euro Thousand)","2001","Tuna",4674
"655","Live Weight of Sea Fish Landings (Tonnes)","2002","Tuna",1313
"656","Value of Sea Fish Landings (Euro Thousand)","2002","Tuna",2444
"657","Live Weight of Sea Fish Landings (Tonnes)","2003","Tuna",947
"658","Value of Sea Fish Landings (Euro Thousand)","2003","Tuna",2765
"659","Live Weight of Sea Fish Landings (Tonnes)","2004","Tuna",582
"660","Value of Sea Fish Landings (Euro Thousand)","2004","Tuna",825
"661","Live Weight of Sea Fish Landings (Tonnes)","1994","Pilchard",0
"662","Value of Sea Fish Landings (Euro Thousand)","1994","Pilchard",0
"663","Live Weight of Sea Fish Landings (Tonnes)","1995","Pilchard",0
"664","Value of Sea Fish Landings (Euro Thousand)","1995","Pilchard",0
"665","Live Weight of Sea Fish Landings (Tonnes)","1996","Pilchard",0
"666","Value of Sea Fish Landings (Euro Thousand)","1996","Pilchard",0
"667","Live Weight of Sea Fish Landings (Tonnes)","1997","Pilchard",0
"668","Value of Sea Fish Landings (Euro Thousand)","1997","Pilchard",0
"669","Live Weight of Sea Fish Landings (Tonnes)","1998","Pilchard",0
"670","Value of Sea Fish Landings (Euro Thousand)","1998","Pilchard",0
"671","Live Weight of Sea Fish Landings (Tonnes)","1999","Pilchard",3195
"672","Value of Sea Fish Landings (Euro Thousand)","1999","Pilchard",609
"673","Live Weight of Sea Fish Landings (Tonnes)","2000","Pilchard",2592
"674","Value of Sea Fish Landings (Euro Thousand)","2000","Pilchard",765
"675","Live Weight of Sea Fish Landings (Tonnes)","2001","Pilchard",7856
"676","Value of Sea Fish Landings (Euro Thousand)","2001","Pilchard",3464
"677","Live Weight of Sea Fish Landings (Tonnes)","2002","Pilchard",12002
"678","Value of Sea Fish Landings (Euro Thousand)","2002","Pilchard",4055
"679","Live Weight of Sea Fish Landings (Tonnes)","2003","Pilchard",3972
"680","Value of Sea Fish Landings (Euro Thousand)","2003","Pilchard",479
"681","Live Weight of Sea Fish Landings (Tonnes)","2004","Pilchard",12997
"682","Value of Sea Fish Landings (Euro Thousand)","2004","Pilchard",2465
"683","Live Weight of Sea Fish Landings (Tonnes)","1994","Other pelagic",0
"684","Value of Sea Fish Landings (Euro Thousand)","1994","Other pelagic",0
"685","Live Weight of Sea Fish Landings (Tonnes)","1995","Other pelagic",14
"686","Value of Sea Fish Landings (Euro Thousand)","1995","Other pelagic",46
"687","Live Weight of Sea Fish Landings (Tonnes)","1996","Other pelagic",310
"688","Value of Sea Fish Landings (Euro Thousand)","1996","Other pelagic",25
"689","Live Weight of Sea Fish Landings (Tonnes)","1997","Other pelagic",1103
"690","Value of Sea Fish Landings (Euro Thousand)","1997","Other pelagic",160
"691","Live Weight of Sea Fish Landings (Tonnes)","1998","Other pelagic",537
"692","Value of Sea Fish Landings (Euro Thousand)","1998","Other pelagic",548
"693","Live Weight of Sea Fish Landings (Tonnes)","1999","Other pelagic",504
"694","Value of Sea Fish Landings (Euro Thousand)","1999","Other pelagic",842
"695","Live Weight of Sea Fish Landings (Tonnes)","2000","Other pelagic",5039
"696","Value of Sea Fish Landings (Euro Thousand)","2000","Other pelagic",830
"697","Live Weight of Sea Fish Landings (Tonnes)","2001","Other pelagic",7652
"698","Value of Sea Fish Landings (Euro Thousand)","2001","Other pelagic",961
"699","Live Weight of Sea Fish Landings (Tonnes)","2002","Other pelagic",6968
"700","Value of Sea Fish Landings (Euro Thousand)","2002","Other pelagic",447
"701","Live Weight of Sea Fish Landings (Tonnes)","2003","Other pelagic",31818
"702","Value of Sea Fish Landings (Euro Thousand)","2003","Other pelagic",10952
"703","Live Weight of Sea Fish Landings (Tonnes)","2004","Other pelagic",21294
"704","Value of Sea Fish Landings (Euro Thousand)","2004","Other pelagic",5534
"705","Live Weight of Sea Fish Landings (Tonnes)","1994","Shellfish",23140
"706","Value of Sea Fish Landings (Euro Thousand)","1994","Shellfish",39185
"707","Live Weight of Sea Fish Landings (Tonnes)","1995","Shellfish",32318
"708","Value of Sea Fish Landings (Euro Thousand)","1995","Shellfish",42347
"709","Live Weight of Sea Fish Landings (Tonnes)","1996","Shellfish",28564
"710","Value of Sea Fish Landings (Euro Thousand)","1996","Shellfish",40056
"711","Live Weight of Sea Fish Landings (Tonnes)","1997","Shellfish",29704
"712","Value of Sea Fish Landings (Euro Thousand)","1997","Shellfish",43152
"713","Live Weight of Sea Fish Landings (Tonnes)","1998","Shellfish",25266
"714","Value of Sea Fish Landings (Euro Thousand)","1998","Shellfish",46509
"715","Live Weight of Sea Fish Landings (Tonnes)","1999","Shellfish",28534
"716","Value of Sea Fish Landings (Euro Thousand)","1999","Shellfish",55410
"717","Live Weight of Sea Fish Landings (Tonnes)","2000","Shellfish",29528
"718","Value of Sea Fish Landings (Euro Thousand)","2000","Shellfish",57789
"719","Live Weight of Sea Fish Landings (Tonnes)","2001","Shellfish",31760
"720","Value of Sea Fish Landings (Euro Thousand)","2001","Shellfish",79061
"721","Live Weight of Sea Fish Landings (Tonnes)","2002","Shellfish",32087
"722","Value of Sea Fish Landings (Euro Thousand)","2002","Shellfish",67228
"723","Live Weight of Sea Fish Landings (Tonnes)","2003","Shellfish",33859
"724","Value of Sea Fish Landings (Euro Thousand)","2003","Shellfish",57483
"725","Live Weight of Sea Fish Landings (Tonnes)","2004","Shellfish",34803
"726","Value of Sea Fish Landings (Euro Thousand)","2004","Shellfish",62195
"727","Live Weight of Sea Fish Landings (Tonnes)","1994","Blue mussel",1459
"728","Value of Sea Fish Landings (Euro Thousand)","1994","Blue mussel",518
"729","Live Weight of Sea Fish Landings (Tonnes)","1995","Blue mussel",6667
"730","Value of Sea Fish Landings (Euro Thousand)","1995","Blue mussel",745
"731","Live Weight of Sea Fish Landings (Tonnes)","1996","Blue mussel",5628
"732","Value of Sea Fish Landings (Euro Thousand)","1996","Blue mussel",1289
"733","Live Weight of Sea Fish Landings (Tonnes)","1997","Blue mussel",5506
"734","Value of Sea Fish Landings (Euro Thousand)","1997","Blue mussel",1421
"735","Live Weight of Sea Fish Landings (Tonnes)","1998","Blue mussel",980
"736","Value of Sea Fish Landings (Euro Thousand)","1998","Blue mussel",317
"737","Live Weight of Sea Fish Landings (Tonnes)","1999","Blue mussel",503
"738","Value of Sea Fish Landings (Euro Thousand)","1999","Blue mussel",195
"739","Live Weight of Sea Fish Landings (Tonnes)","2000","Blue mussel",1053
"740","Value of Sea Fish Landings (Euro Thousand)","2000","Blue mussel",316
"741","Live Weight of Sea Fish Landings (Tonnes)","2001","Blue mussel",864
"742","Value of Sea Fish Landings (Euro Thousand)","2001","Blue mussel",194
"743","Live Weight of Sea Fish Landings (Tonnes)","2002","Blue mussel",408
"744","Value of Sea Fish Landings (Euro Thousand)","2002","Blue mussel",379
"745","Live Weight of Sea Fish Landings (Tonnes)","2003","Blue mussel",422
"746","Value of Sea Fish Landings (Euro Thousand)","2003","Blue mussel",339
"747","Live Weight of Sea Fish Landings (Tonnes)","2004","Blue mussel",412
"748","Value of Sea Fish Landings (Euro Thousand)","2004","Blue mussel",343
"749","Live Weight of Sea Fish Landings (Tonnes)","1994","Crab",6875
"750","Value of Sea Fish Landings (Euro Thousand)","1994","Crab",6477
"751","Live Weight of Sea Fish Landings (Tonnes)","1995","Crab",7689
"752","Value of Sea Fish Landings (Euro Thousand)","1995","Crab",6190
"753","Live Weight of Sea Fish Landings (Tonnes)","1996","Crab",6195
"754","Value of Sea Fish Landings (Euro Thousand)","1996","Crab",6848
"755","Live Weight of Sea Fish Landings (Tonnes)","1997","Crab",8037
"756","Value of Sea Fish Landings (Euro Thousand)","1997","Crab",7970
