"","Statistic","Year","Fish.Species","value"
"78","Value of Sea Fish Landings (Euro Thousand)","1999","Cod",6154
"79","Live Weight of Sea Fish Landings (Tonnes)","2000","Cod",2928
"80","Value of Sea Fish Landings (Euro Thousand)","2000","Cod",6071
"81","Live Weight of Sea Fish Landings (Tonnes)","2001","Cod",2653
"82","Value of Sea Fish Landings (Euro Thousand)","2001","Cod",8004
"83","Live Weight of Sea Fish Landings (Tonnes)","2002","Cod",2503
"84","Value of Sea Fish Landings (Euro Thousand)","2002","Cod",5680
"85","Live Weight of Sea Fish Landings (Tonnes)","2003","Cod",1694
"86","Value of Sea Fish Landings (Euro Thousand)","2003","Cod",5126
"87","Live Weight of Sea Fish Landings (Tonnes)","2004","Cod",1246
"88","Value of Sea Fish Landings (Euro Thousand)","2004","Cod",3702
"89","Live Weight of Sea Fish Landings (Tonnes)","1994","Dogfish",3624
"90","Value of Sea Fish Landings (Euro Thousand)","1994","Dogfish",1969
"91","Live Weight of Sea Fish Landings (Tonnes)","1995","Dogfish",4112
"92","Value of Sea Fish Landings (Euro Thousand)","1995","Dogfish",2138
"93","Live Weight of Sea Fish Landings (Tonnes)","1996","Dogfish",3260
"94","Value of Sea Fish Landings (Euro Thousand)","1996","Dogfish",1847
"95","Live Weight of Sea Fish Landings (Tonnes)","1997","Dogfish",2382
"96","Value of Sea Fish Landings (Euro Thousand)","1997","Dogfish",1442
"97","Live Weight of Sea Fish Landings (Tonnes)","1998","Dogfish",2403
"98","Value of Sea Fish Landings (Euro Thousand)","1998","Dogfish",1222
"99","Live Weight of Sea Fish Landings (Tonnes)","1999","Dogfish",1645
"100","Value of Sea Fish Landings (Euro Thousand)","1999","Dogfish",904
"101","Live Weight of Sea Fish Landings (Tonnes)","2000","Dogfish",1361
"102","Value of Sea Fish Landings (Euro Thousand)","2000","Dogfish",840
"103","Live Weight of Sea Fish Landings (Tonnes)","2001","Dogfish",1966
"104","Value of Sea Fish Landings (Euro Thousand)","2001","Dogfish",1644
"105","Live Weight of Sea Fish Landings (Tonnes)","2002","Dogfish",1871
