"","Statistic","Year","Consumption.Category","value"
"74","Value of Sea Fish Landed (Euro Thousand)","1994","Transhipments",5738
"75","Weight of Sea Fish Landed (Tonnes)","1995","Transhipments",17309
"76","Value of Sea Fish Landed (Euro Thousand)","1995","Transhipments",2738
"77","Weight of Sea Fish Landed (Tonnes)","1996","Transhipments",6901
"78","Value of Sea Fish Landed (Euro Thousand)","1996","Transhipments",1027
"79","Weight of Sea Fish Landed (Tonnes)","1997","Transhipments",NA
"80","Value of Sea Fish Landed (Euro Thousand)","1997","Transhipments",NA
"81","Weight of Sea Fish Landed (Tonnes)","1998","Transhipments",NA
"82","Value of Sea Fish Landed (Euro Thousand)","1998","Transhipments",NA
"83","Weight of Sea Fish Landed (Tonnes)","1999","Transhipments",NA
"84","Value of Sea Fish Landed (Euro Thousand)","1999","Transhipments",NA
"85","Weight of Sea Fish Landed (Tonnes)","2000","Transhipments",NA
"86","Value of Sea Fish Landed (Euro Thousand)","2000","Transhipments",NA
"87","Weight of Sea Fish Landed (Tonnes)","2001","Transhipments",NA
"88","Value of Sea Fish Landed (Euro Thousand)","2001","Transhipments",NA
"89","Weight of Sea Fish Landed (Tonnes)","2002","Transhipments",NA
"90","Value of Sea Fish Landed (Euro Thousand)","2002","Transhipments",NA
