"","Statistic","Year","Port","value"
"373","Live Weight of Sea Fish Landings (Tonnes)","2004","Cleggan/Clifden",NA
"374","Value of Sea Fish Landings (Euro Thousand)","2004","Cleggan/Clifden",NA
"375","Live Weight of Sea Fish Landings (Tonnes)","1994","Clogherhead",545
"376","Value of Sea Fish Landings (Euro Thousand)","1994","Clogherhead",898
"377","Live Weight of Sea Fish Landings (Tonnes)","1995","Clogherhead",696
"378","Value of Sea Fish Landings (Euro Thousand)","1995","Clogherhead",1136
"379","Live Weight of Sea Fish Landings (Tonnes)","1996","Clogherhead",711
"380","Value of Sea Fish Landings (Euro Thousand)","1996","Clogherhead",1124
"381","Live Weight of Sea Fish Landings (Tonnes)","1997","Clogherhead",1040
"382","Value of Sea Fish Landings (Euro Thousand)","1997","Clogherhead",1889
"383","Live Weight of Sea Fish Landings (Tonnes)","1998","Clogherhead",764
"384","Value of Sea Fish Landings (Euro Thousand)","1998","Clogherhead",1384
"385","Live Weight of Sea Fish Landings (Tonnes)","1999","Clogherhead",1304
"386","Value of Sea Fish Landings (Euro Thousand)","1999","Clogherhead",2328
"387","Live Weight of Sea Fish Landings (Tonnes)","2000","Clogherhead",1083
"388","Value of Sea Fish Landings (Euro Thousand)","2000","Clogherhead",2537
"389","Live Weight of Sea Fish Landings (Tonnes)","2001","Clogherhead",924
"390","Value of Sea Fish Landings (Euro Thousand)","2001","Clogherhead",2503
"391","Live Weight of Sea Fish Landings (Tonnes)","2002","Clogherhead",880
"392","Value of Sea Fish Landings (Euro Thousand)","2002","Clogherhead",3477
"393","Live Weight of Sea Fish Landings (Tonnes)","2003","Clogherhead",791
"394","Value of Sea Fish Landings (Euro Thousand)","2003","Clogherhead",1942
"395","Live Weight of Sea Fish Landings (Tonnes)","2004","Clogherhead",702
"396","Value of Sea Fish Landings (Euro Thousand)","2004","Clogherhead",1754
"397","Live Weight of Sea Fish Landings (Tonnes)","1994","Cobh",7351
"398","Value of Sea Fish Landings (Euro Thousand)","1994","Cobh",1741
"399","Live Weight of Sea Fish Landings (Tonnes)","1995","Cobh",9122
"400","Value of Sea Fish Landings (Euro Thousand)","1995","Cobh",2128
"401","Live Weight of Sea Fish Landings (Tonnes)","1996","Cobh",6220
"402","Value of Sea Fish Landings (Euro Thousand)","1996","Cobh",1625
"403","Live Weight of Sea Fish Landings (Tonnes)","1997","Cobh",8323
"404","Value of Sea Fish Landings (Euro Thousand)","1997","Cobh",2253
"405","Live Weight of Sea Fish Landings (Tonnes)","1998","Cobh",10655
"406","Value of Sea Fish Landings (Euro Thousand)","1998","Cobh",2965
"407","Live Weight of Sea Fish Landings (Tonnes)","1999","Cobh",10111
"408","Value of Sea Fish Landings (Euro Thousand)","1999","Cobh",3198
"409","Live Weight of Sea Fish Landings (Tonnes)","2000","Cobh",8274
"410","Value of Sea Fish Landings (Euro Thousand)","2000","Cobh",3021
"411","Live Weight of Sea Fish Landings (Tonnes)","2001","Cobh",11232
"412","Value of Sea Fish Landings (Euro Thousand)","2001","Cobh",3969
"413","Live Weight of Sea Fish Landings (Tonnes)","2002","Cobh",8710
"414","Value of Sea Fish Landings (Euro Thousand)","2002","Cobh",3023
"415","Live Weight of Sea Fish Landings (Tonnes)","2003","Cobh",8959
"416","Value of Sea Fish Landings (Euro Thousand)","2003","Cobh",3262
"417","Live Weight of Sea Fish Landings (Tonnes)","2004","Cobh",6199
"418","Value of Sea Fish Landings (Euro Thousand)","2004","Cobh",2275
"419","Live Weight of Sea Fish Landings (Tonnes)","1994","Courtown",562
"420","Value of Sea Fish Landings (Euro Thousand)","1994","Courtown",249
"421","Live Weight of Sea Fish Landings (Tonnes)","1995","Courtown",786
"422","Value of Sea Fish Landings (Euro Thousand)","1995","Courtown",406
"423","Live Weight of Sea Fish Landings (Tonnes)","1996","Courtown",865
"424","Value of Sea Fish Landings (Euro Thousand)","1996","Courtown",514
"425","Live Weight of Sea Fish Landings (Tonnes)","1997","Courtown",475
"426","Value of Sea Fish Landings (Euro Thousand)","1997","Courtown",234
"427","Live Weight of Sea Fish Landings (Tonnes)","1998","Courtown",407
"428","Value of Sea Fish Landings (Euro Thousand)","1998","Courtown",194
"429","Live Weight of Sea Fish Landings (Tonnes)","1999","Courtown",568
"430","Value of Sea Fish Landings (Euro Thousand)","1999","Courtown",319
"431","Live Weight of Sea Fish Landings (Tonnes)","2000","Courtown",460
"432","Value of Sea Fish Landings (Euro Thousand)","2000","Courtown",284
"433","Live Weight of Sea Fish Landings (Tonnes)","2001","Courtown",425
"434","Value of Sea Fish Landings (Euro Thousand)","2001","Courtown",342
"435","Live Weight of Sea Fish Landings (Tonnes)","2002","Courtown",324
"436","Value of Sea Fish Landings (Euro Thousand)","2002","Courtown",206
"437","Live Weight of Sea Fish Landings (Tonnes)","2003","Courtown",297
"438","Value of Sea Fish Landings (Euro Thousand)","2003","Courtown",208
"439","Live Weight of Sea Fish Landings (Tonnes)","2004","Courtown",300
"440","Value of Sea Fish Landings (Euro Thousand)","2004","Courtown",120
"441","Live Weight of Sea Fish Landings (Tonnes)","1994","Crosshaven",130
"442","Value of Sea Fish Landings (Euro Thousand)","1994","Crosshaven",253
"443","Live Weight of Sea Fish Landings (Tonnes)","1995","Crosshaven",302
"444","Value of Sea Fish Landings (Euro Thousand)","1995","Crosshaven",545
"445","Live Weight of Sea Fish Landings (Tonnes)","1996","Crosshaven",496
"446","Value of Sea Fish Landings (Euro Thousand)","1996","Crosshaven",781
"447","Live Weight of Sea Fish Landings (Tonnes)","1997","Crosshaven",417
"448","Value of Sea Fish Landings (Euro Thousand)","1997","Crosshaven",587
"449","Live Weight of Sea Fish Landings (Tonnes)","1998","Crosshaven",496
"450","Value of Sea Fish Landings (Euro Thousand)","1998","Crosshaven",784
"451","Live Weight of Sea Fish Landings (Tonnes)","1999","Crosshaven",818
"452","Value of Sea Fish Landings (Euro Thousand)","1999","Crosshaven",1213
"453","Live Weight of Sea Fish Landings (Tonnes)","2000","Crosshaven",1066
"454","Value of Sea Fish Landings (Euro Thousand)","2000","Crosshaven",1431
"455","Live Weight of Sea Fish Landings (Tonnes)","2001","Crosshaven",862
"456","Value of Sea Fish Landings (Euro Thousand)","2001","Crosshaven",1756
"457","Live Weight of Sea Fish Landings (Tonnes)","2002","Crosshaven",687
"458","Value of Sea Fish Landings (Euro Thousand)","2002","Crosshaven",898
"459","Live Weight of Sea Fish Landings (Tonnes)","2003","Crosshaven",930
"460","Value of Sea Fish Landings (Euro Thousand)","2003","Crosshaven",1411
"461","Live Weight of Sea Fish Landings (Tonnes)","2004","Crosshaven",818
"462","Value of Sea Fish Landings (Euro Thousand)","2004","Crosshaven",1382
"463","Live Weight of Sea Fish Landings (Tonnes)","1994","Dingle",5888
"464","Value of Sea Fish Landings (Euro Thousand)","1994","Dingle",6692
"465","Live Weight of Sea Fish Landings (Tonnes)","1995","Dingle",6166
"466","Value of Sea Fish Landings (Euro Thousand)","1995","Dingle",7846
"467","Live Weight of Sea Fish Landings (Tonnes)","1996","Dingle",7090
"468","Value of Sea Fish Landings (Euro Thousand)","1996","Dingle",8514
"469","Live Weight of Sea Fish Landings (Tonnes)","1997","Dingle",7953
"470","Value of Sea Fish Landings (Euro Thousand)","1997","Dingle",10301
"471","Live Weight of Sea Fish Landings (Tonnes)","1998","Dingle",8548
"472","Value of Sea Fish Landings (Euro Thousand)","1998","Dingle",12743
"473","Live Weight of Sea Fish Landings (Tonnes)","1999","Dingle",6674
"474","Value of Sea Fish Landings (Euro Thousand)","1999","Dingle",13654
"475","Live Weight of Sea Fish Landings (Tonnes)","2000","Dingle",6300
"476","Value of Sea Fish Landings (Euro Thousand)","2000","Dingle",8254
"477","Live Weight of Sea Fish Landings (Tonnes)","2001","Dingle",9114
"478","Value of Sea Fish Landings (Euro Thousand)","2001","Dingle",9824
"479","Live Weight of Sea Fish Landings (Tonnes)","2002","Dingle",5906
"480","Value of Sea Fish Landings (Euro Thousand)","2002","Dingle",11906
"481","Live Weight of Sea Fish Landings (Tonnes)","2003","Dingle",4263
"482","Value of Sea Fish Landings (Euro Thousand)","2003","Dingle",6623
"483","Live Weight of Sea Fish Landings (Tonnes)","2004","Dingle",3484
"484","Value of Sea Fish Landings (Euro Thousand)","2004","Dingle",3679
"485","Live Weight of Sea Fish Landings (Tonnes)","1994","Downings",1202
"486","Value of Sea Fish Landings (Euro Thousand)","1994","Downings",1162
"487","Live Weight of Sea Fish Landings (Tonnes)","1995","Downings",1232
"488","Value of Sea Fish Landings (Euro Thousand)","1995","Downings",921
"489","Live Weight of Sea Fish Landings (Tonnes)","1996","Downings",1045
"490","Value of Sea Fish Landings (Euro Thousand)","1996","Downings",1767
"491","Live Weight of Sea Fish Landings (Tonnes)","1997","Downings",903
"492","Value of Sea Fish Landings (Euro Thousand)","1997","Downings",1182
"493","Live Weight of Sea Fish Landings (Tonnes)","1998","Downings",1045
"494","Value of Sea Fish Landings (Euro Thousand)","1998","Downings",1952
"495","Live Weight of Sea Fish Landings (Tonnes)","1999","Downings",1232
"496","Value of Sea Fish Landings (Euro Thousand)","1999","Downings",2043
"497","Live Weight of Sea Fish Landings (Tonnes)","2000","Downings",973
"498","Value of Sea Fish Landings (Euro Thousand)","2000","Downings",1813
"499","Live Weight of Sea Fish Landings (Tonnes)","2001","Downings",2271
"500","Value of Sea Fish Landings (Euro Thousand)","2001","Downings",5592
"501","Live Weight of Sea Fish Landings (Tonnes)","2002","Downings",2157
"502","Value of Sea Fish Landings (Euro Thousand)","2002","Downings",3914
"503","Live Weight of Sea Fish Landings (Tonnes)","2003","Downings",2359
"504","Value of Sea Fish Landings (Euro Thousand)","2003","Downings",3045
"505","Live Weight of Sea Fish Landings (Tonnes)","2004","Downings",2678
"506","Value of Sea Fish Landings (Euro Thousand)","2004","Downings",3492
"507","Live Weight of Sea Fish Landings (Tonnes)","1994","Dun Laoghaire",415
"508","Value of Sea Fish Landings (Euro Thousand)","1994","Dun Laoghaire",229
"509","Live Weight of Sea Fish Landings (Tonnes)","1995","Dun Laoghaire",599
"510","Value of Sea Fish Landings (Euro Thousand)","1995","Dun Laoghaire",383
"511","Live Weight of Sea Fish Landings (Tonnes)","1996","Dun Laoghaire",584
"512","Value of Sea Fish Landings (Euro Thousand)","1996","Dun Laoghaire",439
"513","Live Weight of Sea Fish Landings (Tonnes)","1997","Dun Laoghaire",404
"514","Value of Sea Fish Landings (Euro Thousand)","1997","Dun Laoghaire",237
"515","Live Weight of Sea Fish Landings (Tonnes)","1998","Dun Laoghaire",388
"516","Value of Sea Fish Landings (Euro Thousand)","1998","Dun Laoghaire",248
"517","Live Weight of Sea Fish Landings (Tonnes)","1999","Dun Laoghaire",631
"518","Value of Sea Fish Landings (Euro Thousand)","1999","Dun Laoghaire",390
"519","Live Weight of Sea Fish Landings (Tonnes)","2000","Dun Laoghaire",656
"520","Value of Sea Fish Landings (Euro Thousand)","2000","Dun Laoghaire",488
"521","Live Weight of Sea Fish Landings (Tonnes)","2001","Dun Laoghaire",387
"522","Value of Sea Fish Landings (Euro Thousand)","2001","Dun Laoghaire",362
"523","Live Weight of Sea Fish Landings (Tonnes)","2002","Dun Laoghaire",337
"524","Value of Sea Fish Landings (Euro Thousand)","2002","Dun Laoghaire",264
"525","Live Weight of Sea Fish Landings (Tonnes)","2003","Dun Laoghaire",1093
"526","Value of Sea Fish Landings (Euro Thousand)","2003","Dun Laoghaire",788
"527","Live Weight of Sea Fish Landings (Tonnes)","2004","Dun Laoghaire",397
"528","Value of Sea Fish Landings (Euro Thousand)","2004","Dun Laoghaire",308
"529","Live Weight of Sea Fish Landings (Tonnes)","1994","Duncannon/St.Helens",951
"530","Value of Sea Fish Landings (Euro Thousand)","1994","Duncannon/St.Helens",1781
"531","Live Weight of Sea Fish Landings (Tonnes)","1995","Duncannon/St.Helens",682
"532","Value of Sea Fish Landings (Euro Thousand)","1995","Duncannon/St.Helens",1343
"533","Live Weight of Sea Fish Landings (Tonnes)","1996","Duncannon/St.Helens",1193
"534","Value of Sea Fish Landings (Euro Thousand)","1996","Duncannon/St.Helens",1847
"535","Live Weight of Sea Fish Landings (Tonnes)","1997","Duncannon/St.Helens",661
"536","Value of Sea Fish Landings (Euro Thousand)","1997","Duncannon/St.Helens",1343
"537","Live Weight of Sea Fish Landings (Tonnes)","1998","Duncannon/St.Helens",801
"538","Value of Sea Fish Landings (Euro Thousand)","1998","Duncannon/St.Helens",1322
"539","Live Weight of Sea Fish Landings (Tonnes)","1999","Duncannon/St.Helens",589
"540","Value of Sea Fish Landings (Euro Thousand)","1999","Duncannon/St.Helens",914
"541","Live Weight of Sea Fish Landings (Tonnes)","2000","Duncannon/St.Helens",492
"542","Value of Sea Fish Landings (Euro Thousand)","2000","Duncannon/St.Helens",1035
"543","Live Weight of Sea Fish Landings (Tonnes)","2001","Duncannon/St.Helens",610
"544","Value of Sea Fish Landings (Euro Thousand)","2001","Duncannon/St.Helens",1510
"545","Live Weight of Sea Fish Landings (Tonnes)","2002","Duncannon/St.Helens",661
"546","Value of Sea Fish Landings (Euro Thousand)","2002","Duncannon/St.Helens",1199
"547","Live Weight of Sea Fish Landings (Tonnes)","2003","Duncannon/St.Helens",2128
"548","Value of Sea Fish Landings (Euro Thousand)","2003","Duncannon/St.Helens",996
"549","Live Weight of Sea Fish Landings (Tonnes)","2004","Duncannon/St.Helens",779
"550","Value of Sea Fish Landings (Euro Thousand)","2004","Duncannon/St.Helens",1341
"551","Live Weight of Sea Fish Landings (Tonnes)","1994","Dunmore East",10664
"552","Value of Sea Fish Landings (Euro Thousand)","1994","Dunmore East",9244
"553","Live Weight of Sea Fish Landings (Tonnes)","1995","Dunmore East",9915
"554","Value of Sea Fish Landings (Euro Thousand)","1995","Dunmore East",8600
"555","Live Weight of Sea Fish Landings (Tonnes)","1996","Dunmore East",14268
"556","Value of Sea Fish Landings (Euro Thousand)","1996","Dunmore East",9712
"557","Live Weight of Sea Fish Landings (Tonnes)","1997","Dunmore East",10597
"558","Value of Sea Fish Landings (Euro Thousand)","1997","Dunmore East",7587
"559","Live Weight of Sea Fish Landings (Tonnes)","1998","Dunmore East",11824
"560","Value of Sea Fish Landings (Euro Thousand)","1998","Dunmore East",8682
"561","Live Weight of Sea Fish Landings (Tonnes)","1999","Dunmore East",12666
"562","Value of Sea Fish Landings (Euro Thousand)","1999","Dunmore East",9007
"563","Live Weight of Sea Fish Landings (Tonnes)","2000","Dunmore East",16345
"564","Value of Sea Fish Landings (Euro Thousand)","2000","Dunmore East",12839
"565","Live Weight of Sea Fish Landings (Tonnes)","2001","Dunmore East",13468
"566","Value of Sea Fish Landings (Euro Thousand)","2001","Dunmore East",19220
"567","Live Weight of Sea Fish Landings (Tonnes)","2002","Dunmore East",7341
"568","Value of Sea Fish Landings (Euro Thousand)","2002","Dunmore East",10831
"569","Live Weight of Sea Fish Landings (Tonnes)","2003","Dunmore East",7154
"570","Value of Sea Fish Landings (Euro Thousand)","2003","Dunmore East",7642
"571","Live Weight of Sea Fish Landings (Tonnes)","2004","Dunmore East",13270
"572","Value of Sea Fish Landings (Euro Thousand)","2004","Dunmore East",10088
"573","Live Weight of Sea Fish Landings (Tonnes)","1994","Fenit",733
"574","Value of Sea Fish Landings (Euro Thousand)","1994","Fenit",893
"575","Live Weight of Sea Fish Landings (Tonnes)","1995","Fenit",1411
"576","Value of Sea Fish Landings (Euro Thousand)","1995","Fenit",1072
"577","Live Weight of Sea Fish Landings (Tonnes)","1996","Fenit",2069
"578","Value of Sea Fish Landings (Euro Thousand)","1996","Fenit",1632
"579","Live Weight of Sea Fish Landings (Tonnes)","1997","Fenit",701
"580","Value of Sea Fish Landings (Euro Thousand)","1997","Fenit",1122
"581","Live Weight of Sea Fish Landings (Tonnes)","1998","Fenit",1216
"582","Value of Sea Fish Landings (Euro Thousand)","1998","Fenit",935
"583","Live Weight of Sea Fish Landings (Tonnes)","1999","Fenit",336
"584","Value of Sea Fish Landings (Euro Thousand)","1999","Fenit",725
"585","Live Weight of Sea Fish Landings (Tonnes)","2000","Fenit",1851
"586","Value of Sea Fish Landings (Euro Thousand)","2000","Fenit",1018
"587","Live Weight of Sea Fish Landings (Tonnes)","2001","Fenit",4794
"588","Value of Sea Fish Landings (Euro Thousand)","2001","Fenit",4872
"589","Live Weight of Sea Fish Landings (Tonnes)","2002","Fenit",4639
"590","Value of Sea Fish Landings (Euro Thousand)","2002","Fenit",9932
"591","Live Weight of Sea Fish Landings (Tonnes)","2003","Fenit",2148
"592","Value of Sea Fish Landings (Euro Thousand)","2003","Fenit",6192
"593","Live Weight of Sea Fish Landings (Tonnes)","2004","Fenit",2345
"594","Value of Sea Fish Landings (Euro Thousand)","2004","Fenit",2746
"595","Live Weight of Sea Fish Landings (Tonnes)","1994","Foynes",314
"596","Value of Sea Fish Landings (Euro Thousand)","1994","Foynes",651
"597","Live Weight of Sea Fish Landings (Tonnes)","1995","Foynes",365
"598","Value of Sea Fish Landings (Euro Thousand)","1995","Foynes",852
"599","Live Weight of Sea Fish Landings (Tonnes)","1996","Foynes",347
"600","Value of Sea Fish Landings (Euro Thousand)","1996","Foynes",725
"601","Live Weight of Sea Fish Landings (Tonnes)","1997","Foynes",294
"602","Value of Sea Fish Landings (Euro Thousand)","1997","Foynes",676
"603","Live Weight of Sea Fish Landings (Tonnes)","1998","Foynes",173
"604","Value of Sea Fish Landings (Euro Thousand)","1998","Foynes",368
"605","Live Weight of Sea Fish Landings (Tonnes)","1999","Foynes",77
"606","Value of Sea Fish Landings (Euro Thousand)","1999","Foynes",173
"607","Live Weight of Sea Fish Landings (Tonnes)","2000","Foynes",0
"608","Value of Sea Fish Landings (Euro Thousand)","2000","Foynes",0
"609","Live Weight of Sea Fish Landings (Tonnes)","2001","Foynes",0
"610","Value of Sea Fish Landings (Euro Thousand)","2001","Foynes",0
"611","Live Weight of Sea Fish Landings (Tonnes)","2002","Foynes",0
"612","Value of Sea Fish Landings (Euro Thousand)","2002","Foynes",0
"613","Live Weight of Sea Fish Landings (Tonnes)","2003","Foynes",NA
"614","Value of Sea Fish Landings (Euro Thousand)","2003","Foynes",NA
"615","Live Weight of Sea Fish Landings (Tonnes)","2004","Foynes",NA
"616","Value of Sea Fish Landings (Euro Thousand)","2004","Foynes",NA
"617","Live Weight of Sea Fish Landings (Tonnes)","1994","Galway",2054
"618","Value of Sea Fish Landings (Euro Thousand)","1994","Galway",1407
"619","Live Weight of Sea Fish Landings (Tonnes)","1995","Galway",1148
"620","Value of Sea Fish Landings (Euro Thousand)","1995","Galway",1096
"621","Live Weight of Sea Fish Landings (Tonnes)","1996","Galway",375
"622","Value of Sea Fish Landings (Euro Thousand)","1996","Galway",825
"623","Live Weight of Sea Fish Landings (Tonnes)","1997","Galway",695
"624","Value of Sea Fish Landings (Euro Thousand)","1997","Galway",569
"625","Live Weight of Sea Fish Landings (Tonnes)","1998","Galway",1201
"626","Value of Sea Fish Landings (Euro Thousand)","1998","Galway",543
"627","Live Weight of Sea Fish Landings (Tonnes)","1999","Galway",260
"628","Value of Sea Fish Landings (Euro Thousand)","1999","Galway",461
"629","Live Weight of Sea Fish Landings (Tonnes)","2000","Galway",0
"630","Value of Sea Fish Landings (Euro Thousand)","2000","Galway",0
"631","Live Weight of Sea Fish Landings (Tonnes)","2001","Galway",0
"632","Value of Sea Fish Landings (Euro Thousand)","2001","Galway",0
"633","Live Weight of Sea Fish Landings (Tonnes)","2002","Galway",0
"634","Value of Sea Fish Landings (Euro Thousand)","2002","Galway",0
"635","Live Weight of Sea Fish Landings (Tonnes)","2003","Galway",NA
"636","Value of Sea Fish Landings (Euro Thousand)","2003","Galway",NA
"637","Live Weight of Sea Fish Landings (Tonnes)","2004","Galway",NA
"638","Value of Sea Fish Landings (Euro Thousand)","2004","Galway",NA
"639","Live Weight of Sea Fish Landings (Tonnes)","1994","Greencastle",5398
"640","Value of Sea Fish Landings (Euro Thousand)","1994","Greencastle",4594
"641","Live Weight of Sea Fish Landings (Tonnes)","1995","Greencastle",4613
"642","Value of Sea Fish Landings (Euro Thousand)","1995","Greencastle",5608
"643","Live Weight of Sea Fish Landings (Tonnes)","1996","Greencastle",4222
"644","Value of Sea Fish Landings (Euro Thousand)","1996","Greencastle",5907
"645","Live Weight of Sea Fish Landings (Tonnes)","1997","Greencastle",4093
"646","Value of Sea Fish Landings (Euro Thousand)","1997","Greencastle",5889
"647","Live Weight of Sea Fish Landings (Tonnes)","1998","Greencastle",3426
"648","Value of Sea Fish Landings (Euro Thousand)","1998","Greencastle",5333
"649","Live Weight of Sea Fish Landings (Tonnes)","1999","Greencastle",3011
"650","Value of Sea Fish Landings (Euro Thousand)","1999","Greencastle",4677
"651","Live Weight of Sea Fish Landings (Tonnes)","2000","Greencastle",2686
"652","Value of Sea Fish Landings (Euro Thousand)","2000","Greencastle",4132
"653","Live Weight of Sea Fish Landings (Tonnes)","2001","Greencastle",5101
"654","Value of Sea Fish Landings (Euro Thousand)","2001","Greencastle",7758
"655","Live Weight of Sea Fish Landings (Tonnes)","2002","Greencastle",3587
"656","Value of Sea Fish Landings (Euro Thousand)","2002","Greencastle",5420
"657","Live Weight of Sea Fish Landings (Tonnes)","2003","Greencastle",3195
"658","Value of Sea Fish Landings (Euro Thousand)","2003","Greencastle",4798
"659","Live Weight of Sea Fish Landings (Tonnes)","2004","Greencastle",2683
"660","Value of Sea Fish Landings (Euro Thousand)","2004","Greencastle",4209
"661","Live Weight of Sea Fish Landings (Tonnes)","1994","Helvick",1142
"662","Value of Sea Fish Landings (Euro Thousand)","1994","Helvick",1355
"663","Live Weight of Sea Fish Landings (Tonnes)","1995","Helvick",786
"664","Value of Sea Fish Landings (Euro Thousand)","1995","Helvick",1028
"665","Live Weight of Sea Fish Landings (Tonnes)","1996","Helvick",725
"666","Value of Sea Fish Landings (Euro Thousand)","1996","Helvick",1089
"667","Live Weight of Sea Fish Landings (Tonnes)","1997","Helvick",587
"668","Value of Sea Fish Landings (Euro Thousand)","1997","Helvick",810
"669","Live Weight of Sea Fish Landings (Tonnes)","1998","Helvick",519
"670","Value of Sea Fish Landings (Euro Thousand)","1998","Helvick",706
"671","Live Weight of Sea Fish Landings (Tonnes)","1999","Helvick",609
"672","Value of Sea Fish Landings (Euro Thousand)","1999","Helvick",921
"673","Live Weight of Sea Fish Landings (Tonnes)","2000","Helvick",731
"674","Value of Sea Fish Landings (Euro Thousand)","2000","Helvick",1532
"675","Live Weight of Sea Fish Landings (Tonnes)","2001","Helvick",504
"676","Value of Sea Fish Landings (Euro Thousand)","2001","Helvick",1571
"677","Live Weight of Sea Fish Landings (Tonnes)","2002","Helvick",423
"678","Value of Sea Fish Landings (Euro Thousand)","2002","Helvick",922
"679","Live Weight of Sea Fish Landings (Tonnes)","2003","Helvick",318
"680","Value of Sea Fish Landings (Euro Thousand)","2003","Helvick",616
"681","Live Weight of Sea Fish Landings (Tonnes)","2004","Helvick",285
"682","Value of Sea Fish Landings (Euro Thousand)","2004","Helvick",532
"683","Live Weight of Sea Fish Landings (Tonnes)","1994","Howth",3189
"684","Value of Sea Fish Landings (Euro Thousand)","1994","Howth",4722
"685","Live Weight of Sea Fish Landings (Tonnes)","1995","Howth",7854
"686","Value of Sea Fish Landings (Euro Thousand)","1995","Howth",6378
"687","Live Weight of Sea Fish Landings (Tonnes)","1996","Howth",4238
"688","Value of Sea Fish Landings (Euro Thousand)","1996","Howth",5592
"689","Live Weight of Sea Fish Landings (Tonnes)","1997","Howth",5962
"690","Value of Sea Fish Landings (Euro Thousand)","1997","Howth",10089
"691","Live Weight of Sea Fish Landings (Tonnes)","1998","Howth",5376
"692","Value of Sea Fish Landings (Euro Thousand)","1998","Howth",9598
"693","Live Weight of Sea Fish Landings (Tonnes)","1999","Howth",5548
"694","Value of Sea Fish Landings (Euro Thousand)","1999","Howth",10702
"695","Live Weight of Sea Fish Landings (Tonnes)","2000","Howth",5034
"696","Value of Sea Fish Landings (Euro Thousand)","2000","Howth",11229
"697","Live Weight of Sea Fish Landings (Tonnes)","2001","Howth",6257
"698","Value of Sea Fish Landings (Euro Thousand)","2001","Howth",15553
"699","Live Weight of Sea Fish Landings (Tonnes)","2002","Howth",4662
"700","Value of Sea Fish Landings (Euro Thousand)","2002","Howth",13392
"701","Live Weight of Sea Fish Landings (Tonnes)","2003","Howth",4196
"702","Value of Sea Fish Landings (Euro Thousand)","2003","Howth",8815
"703","Live Weight of Sea Fish Landings (Tonnes)","2004","Howth",4491
"704","Value of Sea Fish Landings (Euro Thousand)","2004","Howth",7759
"705","Live Weight of Sea Fish Landings (Tonnes)","1994","Killybegs",109929
"706","Value of Sea Fish Landings (Euro Thousand)","1994","Killybegs",23931
"707","Live Weight of Sea Fish Landings (Tonnes)","1995","Killybegs",173022
"708","Value of Sea Fish Landings (Euro Thousand)","1995","Killybegs",32938
"709","Live Weight of Sea Fish Landings (Tonnes)","1996","Killybegs",148322
"710","Value of Sea Fish Landings (Euro Thousand)","1996","Killybegs",39037
"711","Live Weight of Sea Fish Landings (Tonnes)","1997","Killybegs",114628
"712","Value of Sea Fish Landings (Euro Thousand)","1997","Killybegs",36137
"713","Live Weight of Sea Fish Landings (Tonnes)","1998","Killybegs",113467
"714","Value of Sea Fish Landings (Euro Thousand)","1998","Killybegs",31107
"715","Live Weight of Sea Fish Landings (Tonnes)","1999","Killybegs",100151
"716","Value of Sea Fish Landings (Euro Thousand)","1999","Killybegs",28229
"717","Live Weight of Sea Fish Landings (Tonnes)","2000","Killybegs",85410
"718","Value of Sea Fish Landings (Euro Thousand)","2000","Killybegs",26221
"719","Live Weight of Sea Fish Landings (Tonnes)","2001","Killybegs",102946
"720","Value of Sea Fish Landings (Euro Thousand)","2001","Killybegs",38062
"721","Live Weight of Sea Fish Landings (Tonnes)","2002","Killybegs",80594
"722","Value of Sea Fish Landings (Euro Thousand)","2002","Killybegs",32222
"723","Live Weight of Sea Fish Landings (Tonnes)","2003","Killybegs",82862
"724","Value of Sea Fish Landings (Euro Thousand)","2003","Killybegs",30207
"725","Live Weight of Sea Fish Landings (Tonnes)","2004","Killybegs",104317
"726","Value of Sea Fish Landings (Euro Thousand)","2004","Killybegs",29141
"727","Live Weight of Sea Fish Landings (Tonnes)","1994","Kilmore Quay",344
"728","Value of Sea Fish Landings (Euro Thousand)","1994","Kilmore Quay",587
"729","Live Weight of Sea Fish Landings (Tonnes)","1995","Kilmore Quay",4
"730","Value of Sea Fish Landings (Euro Thousand)","1995","Kilmore Quay",4
"731","Live Weight of Sea Fish Landings (Tonnes)","1996","Kilmore Quay",941
"732","Value of Sea Fish Landings (Euro Thousand)","1996","Kilmore Quay",1812
"733","Live Weight of Sea Fish Landings (Tonnes)","1997","Kilmore Quay",1626
"734","Value of Sea Fish Landings (Euro Thousand)","1997","Kilmore Quay",3338
"735","Live Weight of Sea Fish Landings (Tonnes)","1998","Kilmore Quay",2123
"736","Value of Sea Fish Landings (Euro Thousand)","1998","Kilmore Quay",4335
"737","Live Weight of Sea Fish Landings (Tonnes)","1999","Kilmore Quay",1651
"738","Value of Sea Fish Landings (Euro Thousand)","1999","Kilmore Quay",3436
"739","Live Weight of Sea Fish Landings (Tonnes)","2000","Kilmore Quay",1978
"740","Value of Sea Fish Landings (Euro Thousand)","2000","Kilmore Quay",4324
"741","Live Weight of Sea Fish Landings (Tonnes)","2001","Kilmore Quay",1850
"742","Value of Sea Fish Landings (Euro Thousand)","2001","Kilmore Quay",5029
"743","Live Weight of Sea Fish Landings (Tonnes)","2002","Kilmore Quay",1997
"744","Value of Sea Fish Landings (Euro Thousand)","2002","Kilmore Quay",5288
"745","Live Weight of Sea Fish Landings (Tonnes)","2003","Kilmore Quay",2290
"746","Value of Sea Fish Landings (Euro Thousand)","2003","Kilmore Quay",4193
