"","Statistic","Year","Port","value"
"76","Value of Sea Fish Landings (Euro Thousand)","1998","Aran Islands",399
"77","Live Weight of Sea Fish Landings (Tonnes)","1999","Aran Islands",213
"78","Value of Sea Fish Landings (Euro Thousand)","1999","Aran Islands",415
"79","Live Weight of Sea Fish Landings (Tonnes)","2000","Aran Islands",256
"80","Value of Sea Fish Landings (Euro Thousand)","2000","Aran Islands",595
"81","Live Weight of Sea Fish Landings (Tonnes)","2001","Aran Islands",99
"82","Value of Sea Fish Landings (Euro Thousand)","2001","Aran Islands",585
"83","Live Weight of Sea Fish Landings (Tonnes)","2002","Aran Islands",55
"84","Value of Sea Fish Landings (Euro Thousand)","2002","Aran Islands",268
"85","Live Weight of Sea Fish Landings (Tonnes)","2003","Aran Islands",63
"86","Value of Sea Fish Landings (Euro Thousand)","2003","Aran Islands",328
"87","Live Weight of Sea Fish Landings (Tonnes)","2004","Aran Islands",79
"88","Value of Sea Fish Landings (Euro Thousand)","2004","Aran Islands",452
"89","Live Weight of Sea Fish Landings (Tonnes)","1994","Arklow",3254
"90","Value of Sea Fish Landings (Euro Thousand)","1994","Arklow",1235
"91","Live Weight of Sea Fish Landings (Tonnes)","1995","Arklow",1293
"92","Value of Sea Fish Landings (Euro Thousand)","1995","Arklow",800
"93","Live Weight of Sea Fish Landings (Tonnes)","1996","Arklow",4055
"94","Value of Sea Fish Landings (Euro Thousand)","1996","Arklow",1812
"95","Live Weight of Sea Fish Landings (Tonnes)","1997","Arklow",2082
"96","Value of Sea Fish Landings (Euro Thousand)","1997","Arklow",1235
"97","Live Weight of Sea Fish Landings (Tonnes)","1998","Arklow",1016
"98","Value of Sea Fish Landings (Euro Thousand)","1998","Arklow",653
"99","Live Weight of Sea Fish Landings (Tonnes)","1999","Arklow",966
"100","Value of Sea Fish Landings (Euro Thousand)","1999","Arklow",644
"101","Live Weight of Sea Fish Landings (Tonnes)","2000","Arklow",920
"102","Value of Sea Fish Landings (Euro Thousand)","2000","Arklow",466
"103","Live Weight of Sea Fish Landings (Tonnes)","2001","Arklow",1077
"104","Value of Sea Fish Landings (Euro Thousand)","2001","Arklow",461
"105","Live Weight of Sea Fish Landings (Tonnes)","2002","Arklow",393
"106","Value of Sea Fish Landings (Euro Thousand)","2002","Arklow",292
"107","Live Weight of Sea Fish Landings (Tonnes)","2003","Arklow",804
"108","Value of Sea Fish Landings (Euro Thousand)","2003","Arklow",600
"109","Live Weight of Sea Fish Landings (Tonnes)","2004","Arklow",689
"110","Value of Sea Fish Landings (Euro Thousand)","2004","Arklow",407
"111","Live Weight of Sea Fish Landings (Tonnes)","1994","Ballycotton",530
"112","Value of Sea Fish Landings (Euro Thousand)","1994","Ballycotton",1073
"113","Live Weight of Sea Fish Landings (Tonnes)","1995","Ballycotton",566
"114","Value of Sea Fish Landings (Euro Thousand)","1995","Ballycotton",885
"115","Live Weight of Sea Fish Landings (Tonnes)","1996","Ballycotton",805
"116","Value of Sea Fish Landings (Euro Thousand)","1996","Ballycotton",1073
"117","Live Weight of Sea Fish Landings (Tonnes)","1997","Ballycotton",847
"118","Value of Sea Fish Landings (Euro Thousand)","1997","Ballycotton",1101
"119","Live Weight of Sea Fish Landings (Tonnes)","1998","Ballycotton",993
"120","Value of Sea Fish Landings (Euro Thousand)","1998","Ballycotton",1404
"121","Live Weight of Sea Fish Landings (Tonnes)","1999","Ballycotton",941
"122","Value of Sea Fish Landings (Euro Thousand)","1999","Ballycotton",1755
"123","Live Weight of Sea Fish Landings (Tonnes)","2000","Ballycotton",973
"124","Value of Sea Fish Landings (Euro Thousand)","2000","Ballycotton",1651
"125","Live Weight of Sea Fish Landings (Tonnes)","2001","Ballycotton",654
"126","Value of Sea Fish Landings (Euro Thousand)","2001","Ballycotton",1995
"127","Live Weight of Sea Fish Landings (Tonnes)","2002","Ballycotton",519
