"","Statistic","Year","Key.Fish.Species","value"
"77","Live Weight of Sea Fish Landings (Tonnes)","1979","Demersal",21789
"78","Value of Sea Fish Landings (Euro Thousand)","1979","Demersal",9902
"79","Live Weight of Sea Fish Landings (Tonnes)","1980","Demersal",30802
"80","Value of Sea Fish Landings (Euro Thousand)","1980","Demersal",11258
"81","Live Weight of Sea Fish Landings (Tonnes)","1981","Demersal",37970
"82","Value of Sea Fish Landings (Euro Thousand)","1981","Demersal",15472
"83","Live Weight of Sea Fish Landings (Tonnes)","1982","Demersal",37329
"84","Value of Sea Fish Landings (Euro Thousand)","1982","Demersal",18089
"85","Live Weight of Sea Fish Landings (Tonnes)","1983","Demersal",37926
"86","Value of Sea Fish Landings (Euro Thousand)","1983","Demersal",22116
"87","Live Weight of Sea Fish Landings (Tonnes)","1984","Demersal",39617
"88","Value of Sea Fish Landings (Euro Thousand)","1984","Demersal",24672
"89","Live Weight of Sea Fish Landings (Tonnes)","1985","Demersal",43157
"90","Value of Sea Fish Landings (Euro Thousand)","1985","Demersal",30607
"91","Live Weight of Sea Fish Landings (Tonnes)","1986","Demersal",36451
"92","Value of Sea Fish Landings (Euro Thousand)","1986","Demersal",37158
"93","Live Weight of Sea Fish Landings (Tonnes)","1987","Demersal",45270
"94","Value of Sea Fish Landings (Euro Thousand)","1987","Demersal",48753
"95","Live Weight of Sea Fish Landings (Tonnes)","1988","Demersal",44450
"96","Value of Sea Fish Landings (Euro Thousand)","1988","Demersal",56433
"97","Live Weight of Sea Fish Landings (Tonnes)","1989","Demersal",38780
"98","Value of Sea Fish Landings (Euro Thousand)","1989","Demersal",51210
"99","Live Weight of Sea Fish Landings (Tonnes)","1990","Demersal",30296
"100","Value of Sea Fish Landings (Euro Thousand)","1990","Demersal",47008
"101","Live Weight of Sea Fish Landings (Tonnes)","1991","Demersal",31983
"102","Value of Sea Fish Landings (Euro Thousand)","1991","Demersal",49855
"103","Live Weight of Sea Fish Landings (Tonnes)","1992","Demersal",33725
"104","Value of Sea Fish Landings (Euro Thousand)","1992","Demersal",54139
"105","Live Weight of Sea Fish Landings (Tonnes)","1993","Demersal",35269
