"","Statistic","Month","Liveweight","value"
"638","Sheep Price per Kg (Euro)","2002M07","Mart Sheep 30-39kg",1.48
"639","Sheep Price per Head (Euro)","2002M08","Mart Sheep 30-39kg",58.38
"640","Sheep Price per Kg (Euro)","2002M08","Mart Sheep 30-39kg",1.63
"641","Sheep Price per Head (Euro)","2002M09","Mart Sheep 30-39kg",56.48
"642","Sheep Price per Kg (Euro)","2002M09","Mart Sheep 30-39kg",1.59
"643","Sheep Price per Head (Euro)","2002M10","Mart Sheep 30-39kg",54.22
"644","Sheep Price per Kg (Euro)","2002M10","Mart Sheep 30-39kg",1.54
"645","Sheep Price per Head (Euro)","2002M11","Mart Sheep 30-39kg",55.01
"646","Sheep Price per Kg (Euro)","2002M11","Mart Sheep 30-39kg",1.54
"647","Sheep Price per Head (Euro)","2002M12","Mart Sheep 30-39kg",58.29
"648","Sheep Price per Kg (Euro)","2002M12","Mart Sheep 30-39kg",1.61
"649","Sheep Price per Head (Euro)","2003M01","Mart Sheep 30-39kg",61.63
"650","Sheep Price per Kg (Euro)","2003M01","Mart Sheep 30-39kg",1.71
"651","Sheep Price per Head (Euro)","2003M02","Mart Sheep 30-39kg",60.72
"652","Sheep Price per Kg (Euro)","2003M02","Mart Sheep 30-39kg",1.67
"653","Sheep Price per Head (Euro)","2003M03","Mart Sheep 30-39kg",57.93
"654","Sheep Price per Kg (Euro)","2003M03","Mart Sheep 30-39kg",1.58
"655","Sheep Price per Head (Euro)","2003M04","Mart Sheep 30-39kg",82.79
"656","Sheep Price per Kg (Euro)","2003M04","Mart Sheep 30-39kg",2.18
"657","Sheep Price per Head (Euro)","2003M05","Mart Sheep 30-39kg",82.64
"658","Sheep Price per Kg (Euro)","2003M05","Mart Sheep 30-39kg",2.16
"659","Sheep Price per Head (Euro)","2003M06","Mart Sheep 30-39kg",66.89
"660","Sheep Price per Kg (Euro)","2003M06","Mart Sheep 30-39kg",1.79
"661","Sheep Price per Head (Euro)","2003M07","Mart Sheep 30-39kg",58.96
"662","Sheep Price per Kg (Euro)","2003M07","Mart Sheep 30-39kg",1.63
"663","Sheep Price per Head (Euro)","2003M08","Mart Sheep 30-39kg",58.14
"664","Sheep Price per Kg (Euro)","2003M08","Mart Sheep 30-39kg",1.62
"665","Sheep Price per Head (Euro)","2003M09","Mart Sheep 30-39kg",53.14
"666","Sheep Price per Kg (Euro)","2003M09","Mart Sheep 30-39kg",1.51
"667","Sheep Price per Head (Euro)","2003M10","Mart Sheep 30-39kg",55.21
"668","Sheep Price per Kg (Euro)","2003M10","Mart Sheep 30-39kg",1.55
"669","Sheep Price per Head (Euro)","2003M11","Mart Sheep 30-39kg",55.88
"670","Sheep Price per Kg (Euro)","2003M11","Mart Sheep 30-39kg",1.57
"671","Sheep Price per Head (Euro)","2003M12","Mart Sheep 30-39kg",55.72
"672","Sheep Price per Kg (Euro)","2003M12","Mart Sheep 30-39kg",1.55
"673","Sheep Price per Head (Euro)","2004M01","Mart Sheep 30-39kg",61.61
"674","Sheep Price per Kg (Euro)","2004M01","Mart Sheep 30-39kg",1.69
"675","Sheep Price per Head (Euro)","2004M02","Mart Sheep 30-39kg",61.63
"676","Sheep Price per Kg (Euro)","2004M02","Mart Sheep 30-39kg",1.7
"677","Sheep Price per Head (Euro)","2004M03","Mart Sheep 30-39kg",63.09
"678","Sheep Price per Kg (Euro)","2004M03","Mart Sheep 30-39kg",1.71
"679","Sheep Price per Head (Euro)","2004M04","Mart Sheep 30-39kg",86.33
"680","Sheep Price per Kg (Euro)","2004M04","Mart Sheep 30-39kg",2.27
"681","Sheep Price per Head (Euro)","2004M05","Mart Sheep 30-39kg",73.56
"682","Sheep Price per Kg (Euro)","2004M05","Mart Sheep 30-39kg",1.92
"683","Sheep Price per Head (Euro)","2004M06","Mart Sheep 30-39kg",60.25
"684","Sheep Price per Kg (Euro)","2004M06","Mart Sheep 30-39kg",1.6
"685","Sheep Price per Head (Euro)","2004M07","Mart Sheep 30-39kg",56.02
"686","Sheep Price per Kg (Euro)","2004M07","Mart Sheep 30-39kg",1.58
"687","Sheep Price per Head (Euro)","2004M08","Mart Sheep 30-39kg",54.15
"688","Sheep Price per Kg (Euro)","2004M08","Mart Sheep 30-39kg",1.54
"689","Sheep Price per Head (Euro)","2004M09","Mart Sheep 30-39kg",54.5
"690","Sheep Price per Kg (Euro)","2004M09","Mart Sheep 30-39kg",1.53
"691","Sheep Price per Head (Euro)","2004M10","Mart Sheep 30-39kg",51.65
"692","Sheep Price per Kg (Euro)","2004M10","Mart Sheep 30-39kg",1.46
"693","Sheep Price per Head (Euro)","2004M11","Mart Sheep 30-39kg",56.56
"694","Sheep Price per Kg (Euro)","2004M11","Mart Sheep 30-39kg",1.58
"695","Sheep Price per Head (Euro)","2004M12","Mart Sheep 30-39kg",58.93
"696","Sheep Price per Kg (Euro)","2004M12","Mart Sheep 30-39kg",1.65
"697","Sheep Price per Head (Euro)","2005M01","Mart Sheep 30-39kg",60.82
"698","Sheep Price per Kg (Euro)","2005M01","Mart Sheep 30-39kg",1.66
"699","Sheep Price per Head (Euro)","2005M02","Mart Sheep 30-39kg",57.55
"700","Sheep Price per Kg (Euro)","2005M02","Mart Sheep 30-39kg",1.56
"701","Sheep Price per Head (Euro)","2005M03","Mart Sheep 30-39kg",77.91
"702","Sheep Price per Kg (Euro)","2005M03","Mart Sheep 30-39kg",2.09
"703","Sheep Price per Head (Euro)","2005M04","Mart Sheep 30-39kg",80.19
"704","Sheep Price per Kg (Euro)","2005M04","Mart Sheep 30-39kg",2.12
"705","Sheep Price per Head (Euro)","2005M05","Mart Sheep 30-39kg",66.29
"706","Sheep Price per Kg (Euro)","2005M05","Mart Sheep 30-39kg",1.75
"707","Sheep Price per Head (Euro)","2005M06","Mart Sheep 30-39kg",64.84
"708","Sheep Price per Kg (Euro)","2005M06","Mart Sheep 30-39kg",1.68
"709","Sheep Price per Head (Euro)","2005M07","Mart Sheep 30-39kg",51.43
"710","Sheep Price per Kg (Euro)","2005M07","Mart Sheep 30-39kg",1.44
"711","Sheep Price per Head (Euro)","2005M08","Mart Sheep 30-39kg",52.5
"712","Sheep Price per Kg (Euro)","2005M08","Mart Sheep 30-39kg",1.45
"713","Sheep Price per Head (Euro)","2005M09","Mart Sheep 30-39kg",50.46
"714","Sheep Price per Kg (Euro)","2005M09","Mart Sheep 30-39kg",1.4
"715","Sheep Price per Head (Euro)","2005M10","Mart Sheep 30-39kg",50.46
"716","Sheep Price per Kg (Euro)","2005M10","Mart Sheep 30-39kg",1.4
"717","Sheep Price per Head (Euro)","2005M11","Mart Sheep 30-39kg",49.66
"718","Sheep Price per Kg (Euro)","2005M11","Mart Sheep 30-39kg",1.38
"719","Sheep Price per Head (Euro)","2005M12","Mart Sheep 30-39kg",51.16
"720","Sheep Price per Kg (Euro)","2005M12","Mart Sheep 30-39kg",1.44
"721","Sheep Price per Head (Euro)","2006M01","Mart Sheep 30-39kg",52.9
"722","Sheep Price per Kg (Euro)","2006M01","Mart Sheep 30-39kg",1.45
"723","Sheep Price per Head (Euro)","2006M02","Mart Sheep 30-39kg",54.06
"724","Sheep Price per Kg (Euro)","2006M02","Mart Sheep 30-39kg",1.47
"725","Sheep Price per Head (Euro)","2006M03","Mart Sheep 30-39kg",54.07
"726","Sheep Price per Kg (Euro)","2006M03","Mart Sheep 30-39kg",1.48
"727","Sheep Price per Head (Euro)","2006M04","Mart Sheep 30-39kg",73.07
"728","Sheep Price per Kg (Euro)","2006M04","Mart Sheep 30-39kg",1.94
"729","Sheep Price per Head (Euro)","2006M05","Mart Sheep 30-39kg",65.84
"730","Sheep Price per Kg (Euro)","2006M05","Mart Sheep 30-39kg",1.72
"731","Sheep Price per Head (Euro)","2006M06","Mart Sheep 30-39kg",68.41
"732","Sheep Price per Kg (Euro)","2006M06","Mart Sheep 30-39kg",1.77
"733","Sheep Price per Head (Euro)","2006M07","Mart Sheep 30-39kg",51.99
"734","Sheep Price per Kg (Euro)","2006M07","Mart Sheep 30-39kg",1.45
"735","Sheep Price per Head (Euro)","2006M08","Mart Sheep 30-39kg",49.32
"736","Sheep Price per Kg (Euro)","2006M08","Mart Sheep 30-39kg",1.4
"737","Sheep Price per Head (Euro)","2006M09","Mart Sheep 30-39kg",51.87
"738","Sheep Price per Kg (Euro)","2006M09","Mart Sheep 30-39kg",1.46
"739","Sheep Price per Head (Euro)","2006M10","Mart Sheep 30-39kg",53.15
"740","Sheep Price per Kg (Euro)","2006M10","Mart Sheep 30-39kg",1.5
"741","Sheep Price per Head (Euro)","2006M11","Mart Sheep 30-39kg",53.93
"742","Sheep Price per Kg (Euro)","2006M11","Mart Sheep 30-39kg",1.51
"743","Sheep Price per Head (Euro)","2006M12","Mart Sheep 30-39kg",53.13
"744","Sheep Price per Kg (Euro)","2006M12","Mart Sheep 30-39kg",1.47
"745","Sheep Price per Head (Euro)","2007M01","Mart Sheep 30-39kg",56.59
"746","Sheep Price per Kg (Euro)","2007M01","Mart Sheep 30-39kg",1.57
"747","Sheep Price per Head (Euro)","2007M02","Mart Sheep 30-39kg",62.27
"748","Sheep Price per Kg (Euro)","2007M02","Mart Sheep 30-39kg",1.69
"749","Sheep Price per Head (Euro)","2007M03","Mart Sheep 30-39kg",65.1
"750","Sheep Price per Kg (Euro)","2007M03","Mart Sheep 30-39kg",1.79
"751","Sheep Price per Head (Euro)","2007M04","Mart Sheep 30-39kg",79.08
"752","Sheep Price per Kg (Euro)","2007M04","Mart Sheep 30-39kg",2.09
"753","Sheep Price per Head (Euro)","2007M05","Mart Sheep 30-39kg",69.33
"754","Sheep Price per Kg (Euro)","2007M05","Mart Sheep 30-39kg",1.8
"755","Sheep Price per Head (Euro)","2007M06","Mart Sheep 30-39kg",63.34
"756","Sheep Price per Kg (Euro)","2007M06","Mart Sheep 30-39kg",1.67
"757","Sheep Price per Head (Euro)","2007M07","Mart Sheep 30-39kg",54.11
"758","Sheep Price per Kg (Euro)","2007M07","Mart Sheep 30-39kg",1.52
"759","Sheep Price per Head (Euro)","2007M08","Mart Sheep 30-39kg",53.47
"760","Sheep Price per Kg (Euro)","2007M08","Mart Sheep 30-39kg",1.51
"761","Sheep Price per Head (Euro)","2007M09","Mart Sheep 30-39kg",52.73
"762","Sheep Price per Kg (Euro)","2007M09","Mart Sheep 30-39kg",1.5
"763","Sheep Price per Head (Euro)","2007M10","Mart Sheep 30-39kg",55.09
"764","Sheep Price per Kg (Euro)","2007M10","Mart Sheep 30-39kg",1.54
"765","Sheep Price per Head (Euro)","2007M11","Mart Sheep 30-39kg",56.83
"766","Sheep Price per Kg (Euro)","2007M11","Mart Sheep 30-39kg",1.6
"767","Sheep Price per Head (Euro)","2007M12","Mart Sheep 30-39kg",55.84
"768","Sheep Price per Kg (Euro)","2007M12","Mart Sheep 30-39kg",1.54
"769","Sheep Price per Head (Euro)","2008M01","Mart Sheep 30-39kg",56.41
"770","Sheep Price per Kg (Euro)","2008M01","Mart Sheep 30-39kg",1.58
"771","Sheep Price per Head (Euro)","2008M02","Mart Sheep 30-39kg",62.11
"772","Sheep Price per Kg (Euro)","2008M02","Mart Sheep 30-39kg",1.72
"773","Sheep Price per Head (Euro)","2008M03","Mart Sheep 30-39kg",81.49
"774","Sheep Price per Kg (Euro)","2008M03","Mart Sheep 30-39kg",2.23
"775","Sheep Price per Head (Euro)","2008M04","Mart Sheep 30-39kg",76.61
"776","Sheep Price per Kg (Euro)","2008M04","Mart Sheep 30-39kg",2.02
"777","Sheep Price per Head (Euro)","2008M05","Mart Sheep 30-39kg",80.95
"778","Sheep Price per Kg (Euro)","2008M05","Mart Sheep 30-39kg",2.13
"779","Sheep Price per Head (Euro)","2008M06","Mart Sheep 30-39kg",68.97
"780","Sheep Price per Kg (Euro)","2008M06","Mart Sheep 30-39kg",1.83
"781","Sheep Price per Head (Euro)","2008M07","Mart Sheep 30-39kg",58.66
"782","Sheep Price per Kg (Euro)","2008M07","Mart Sheep 30-39kg",1.66
"783","Sheep Price per Head (Euro)","2008M08","Mart Sheep 30-39kg",54.43
"784","Sheep Price per Kg (Euro)","2008M08","Mart Sheep 30-39kg",1.56
"785","Sheep Price per Head (Euro)","2008M09","Mart Sheep 30-39kg",52.22
"786","Sheep Price per Kg (Euro)","2008M09","Mart Sheep 30-39kg",1.5
"787","Sheep Price per Head (Euro)","2008M10","Mart Sheep 30-39kg",50
"788","Sheep Price per Kg (Euro)","2008M10","Mart Sheep 30-39kg",1.42
"789","Sheep Price per Head (Euro)","2008M11","Mart Sheep 30-39kg",50.71
"790","Sheep Price per Kg (Euro)","2008M11","Mart Sheep 30-39kg",1.42
"791","Sheep Price per Head (Euro)","2008M12","Mart Sheep 30-39kg",53.66
"792","Sheep Price per Kg (Euro)","2008M12","Mart Sheep 30-39kg",1.47
"793","Sheep Price per Head (Euro)","2009M01","Mart Sheep 30-39kg",61.94
"794","Sheep Price per Kg (Euro)","2009M01","Mart Sheep 30-39kg",1.68
"795","Sheep Price per Head (Euro)","2009M02","Mart Sheep 30-39kg",61.4
"796","Sheep Price per Kg (Euro)","2009M02","Mart Sheep 30-39kg",1.68
"797","Sheep Price per Head (Euro)","2009M03","Mart Sheep 30-39kg",61.37
"798","Sheep Price per Kg (Euro)","2009M03","Mart Sheep 30-39kg",1.72
"799","Sheep Price per Head (Euro)","2009M04","Mart Sheep 30-39kg",80.22
"800","Sheep Price per Kg (Euro)","2009M04","Mart Sheep 30-39kg",2.14
"801","Sheep Price per Head (Euro)","2009M05","Mart Sheep 30-39kg",80.2
"802","Sheep Price per Kg (Euro)","2009M05","Mart Sheep 30-39kg",2.11
"803","Sheep Price per Head (Euro)","2009M06","Mart Sheep 30-39kg",69.25
"804","Sheep Price per Kg (Euro)","2009M06","Mart Sheep 30-39kg",1.83
"805","Sheep Price per Head (Euro)","2009M07","Mart Sheep 30-39kg",54.3
"806","Sheep Price per Kg (Euro)","2009M07","Mart Sheep 30-39kg",1.54
"807","Sheep Price per Head (Euro)","2009M08","Mart Sheep 30-39kg",53.24
"808","Sheep Price per Kg (Euro)","2009M08","Mart Sheep 30-39kg",1.5
"809","Sheep Price per Head (Euro)","2009M09","Mart Sheep 30-39kg",49.99
"810","Sheep Price per Kg (Euro)","2009M09","Mart Sheep 30-39kg",1.43
"811","Sheep Price per Head (Euro)","2009M10","Mart Sheep 30-39kg",51.22
"812","Sheep Price per Kg (Euro)","2009M10","Mart Sheep 30-39kg",1.44
"813","Sheep Price per Head (Euro)","2009M11","Mart Sheep 30-39kg",56.94
"814","Sheep Price per Kg (Euro)","2009M11","Mart Sheep 30-39kg",1.58
"815","Sheep Price per Head (Euro)","2009M12","Mart Sheep 30-39kg",63.18
"816","Sheep Price per Kg (Euro)","2009M12","Mart Sheep 30-39kg",1.76
"817","Sheep Price per Head (Euro)","2010M01","Mart Sheep 30-39kg",71.06
"818","Sheep Price per Kg (Euro)","2010M01","Mart Sheep 30-39kg",1.94
"819","Sheep Price per Head (Euro)","2010M02","Mart Sheep 30-39kg",73.91
"820","Sheep Price per Kg (Euro)","2010M02","Mart Sheep 30-39kg",2.08
"821","Sheep Price per Head (Euro)","2010M03","Mart Sheep 30-39kg",85.23
"822","Sheep Price per Kg (Euro)","2010M03","Mart Sheep 30-39kg",2.33
"823","Sheep Price per Head (Euro)","2010M04","Mart Sheep 30-39kg",96.53
"824","Sheep Price per Kg (Euro)","2010M04","Mart Sheep 30-39kg",2.55
"825","Sheep Price per Head (Euro)","2010M05","Mart Sheep 30-39kg",84.62
"826","Sheep Price per Kg (Euro)","2010M05","Mart Sheep 30-39kg",2.25
"827","Sheep Price per Head (Euro)","2010M06","Mart Sheep 30-39kg",75.1
"828","Sheep Price per Kg (Euro)","2010M06","Mart Sheep 30-39kg",2.01
"829","Sheep Price per Head (Euro)","2010M07","Mart Sheep 30-39kg",67.47
"830","Sheep Price per Kg (Euro)","2010M07","Mart Sheep 30-39kg",1.92
"831","Sheep Price per Head (Euro)","2010M08","Mart Sheep 30-39kg",70.8
"832","Sheep Price per Kg (Euro)","2010M08","Mart Sheep 30-39kg",1.99
"833","Sheep Price per Head (Euro)","2010M09","Mart Sheep 30-39kg",67.62
"834","Sheep Price per Kg (Euro)","2010M09","Mart Sheep 30-39kg",1.91
"835","Sheep Price per Head (Euro)","2010M10","Mart Sheep 30-39kg",71.71
"836","Sheep Price per Kg (Euro)","2010M10","Mart Sheep 30-39kg",1.99
"837","Sheep Price per Head (Euro)","2010M11","Mart Sheep 30-39kg",76.45
"838","Sheep Price per Kg (Euro)","2010M11","Mart Sheep 30-39kg",2.11
"839","Sheep Price per Head (Euro)","2010M12","Mart Sheep 30-39kg",67.62
"840","Sheep Price per Kg (Euro)","2010M12","Mart Sheep 30-39kg",1.91
"841","Sheep Price per Head (Euro)","1976M01","Mart Sheep 40-49kg",25.98
"842","Sheep Price per Kg (Euro)","1976M01","Mart Sheep 40-49kg",0.57
"843","Sheep Price per Head (Euro)","1976M02","Mart Sheep 40-49kg",26.54
"844","Sheep Price per Kg (Euro)","1976M02","Mart Sheep 40-49kg",0.58
"845","Sheep Price per Head (Euro)","1976M03","Mart Sheep 40-49kg",29.09
"846","Sheep Price per Kg (Euro)","1976M03","Mart Sheep 40-49kg",0.63
"847","Sheep Price per Head (Euro)","1976M04","Mart Sheep 40-49kg",32.53
"848","Sheep Price per Kg (Euro)","1976M04","Mart Sheep 40-49kg",0.74
"849","Sheep Price per Head (Euro)","1976M05","Mart Sheep 40-49kg",32.45
"850","Sheep Price per Kg (Euro)","1976M05","Mart Sheep 40-49kg",0.72
"851","Sheep Price per Head (Euro)","1976M06","Mart Sheep 40-49kg",30.22
"852","Sheep Price per Kg (Euro)","1976M06","Mart Sheep 40-49kg",0.67
"853","Sheep Price per Head (Euro)","1976M07","Mart Sheep 40-49kg",30.91
"854","Sheep Price per Kg (Euro)","1976M07","Mart Sheep 40-49kg",0.67
"855","Sheep Price per Head (Euro)","1976M08","Mart Sheep 40-49kg",31.68
"856","Sheep Price per Kg (Euro)","1976M08","Mart Sheep 40-49kg",0.7
"857","Sheep Price per Head (Euro)","1976M09","Mart Sheep 40-49kg",31.39
"858","Sheep Price per Kg (Euro)","1976M09","Mart Sheep 40-49kg",0.7
"859","Sheep Price per Head (Euro)","1976M10","Mart Sheep 40-49kg",35.31
"860","Sheep Price per Kg (Euro)","1976M10","Mart Sheep 40-49kg",0.77
"861","Sheep Price per Head (Euro)","1976M11","Mart Sheep 40-49kg",35.74
"862","Sheep Price per Kg (Euro)","1976M11","Mart Sheep 40-49kg",0.79
"863","Sheep Price per Head (Euro)","1976M12","Mart Sheep 40-49kg",34.26
"864","Sheep Price per Kg (Euro)","1976M12","Mart Sheep 40-49kg",0.75
"865","Sheep Price per Head (Euro)","1977M01","Mart Sheep 40-49kg",35.71
"866","Sheep Price per Kg (Euro)","1977M01","Mart Sheep 40-49kg",0.77
"867","Sheep Price per Head (Euro)","1977M02","Mart Sheep 40-49kg",35.18
"868","Sheep Price per Kg (Euro)","1977M02","Mart Sheep 40-49kg",0.76
"869","Sheep Price per Head (Euro)","1977M03","Mart Sheep 40-49kg",36.09
"870","Sheep Price per Kg (Euro)","1977M03","Mart Sheep 40-49kg",0.79
"871","Sheep Price per Head (Euro)","1977M04","Mart Sheep 40-49kg",35.71
"872","Sheep Price per Kg (Euro)","1977M04","Mart Sheep 40-49kg",0.8
"873","Sheep Price per Head (Euro)","1977M05","Mart Sheep 40-49kg",34.46
"874","Sheep Price per Kg (Euro)","1977M05","Mart Sheep 40-49kg",0.76
"875","Sheep Price per Head (Euro)","1977M06","Mart Sheep 40-49kg",32.75
"876","Sheep Price per Kg (Euro)","1977M06","Mart Sheep 40-49kg",0.72
"877","Sheep Price per Head (Euro)","1977M07","Mart Sheep 40-49kg",31.77
"878","Sheep Price per Kg (Euro)","1977M07","Mart Sheep 40-49kg",0.69
"879","Sheep Price per Head (Euro)","1977M08","Mart Sheep 40-49kg",29.32
"880","Sheep Price per Kg (Euro)","1977M08","Mart Sheep 40-49kg",0.65
"881","Sheep Price per Head (Euro)","1977M09","Mart Sheep 40-49kg",30.66
"882","Sheep Price per Kg (Euro)","1977M09","Mart Sheep 40-49kg",0.67
"883","Sheep Price per Head (Euro)","1977M10","Mart Sheep 40-49kg",32.1
"884","Sheep Price per Kg (Euro)","1977M10","Mart Sheep 40-49kg",0.71
"885","Sheep Price per Head (Euro)","1977M11","Mart Sheep 40-49kg",32.05
"886","Sheep Price per Kg (Euro)","1977M11","Mart Sheep 40-49kg",0.71
"887","Sheep Price per Head (Euro)","1977M12","Mart Sheep 40-49kg",33.05
"888","Sheep Price per Kg (Euro)","1977M12","Mart Sheep 40-49kg",0.72
"889","Sheep Price per Head (Euro)","1978M01","Mart Sheep 40-49kg",39.9
"890","Sheep Price per Kg (Euro)","1978M01","Mart Sheep 40-49kg",0.88
"891","Sheep Price per Head (Euro)","1978M02","Mart Sheep 40-49kg",40.14
"892","Sheep Price per Kg (Euro)","1978M02","Mart Sheep 40-49kg",0.89
"893","Sheep Price per Head (Euro)","1978M03","Mart Sheep 40-49kg",42.37
"894","Sheep Price per Kg (Euro)","1978M03","Mart Sheep 40-49kg",0.94
"895","Sheep Price per Head (Euro)","1978M04","Mart Sheep 40-49kg",45.74
"896","Sheep Price per Kg (Euro)","1978M04","Mart Sheep 40-49kg",1.02
"897","Sheep Price per Head (Euro)","1978M05","Mart Sheep 40-49kg",52.72
"898","Sheep Price per Kg (Euro)","1978M05","Mart Sheep 40-49kg",1.21
"899","Sheep Price per Head (Euro)","1978M06","Mart Sheep 40-49kg",51.22
"900","Sheep Price per Kg (Euro)","1978M06","Mart Sheep 40-49kg",1.16
"901","Sheep Price per Head (Euro)","1978M07","Mart Sheep 40-49kg",49.29
"902","Sheep Price per Kg (Euro)","1978M07","Mart Sheep 40-49kg",1.08
"903","Sheep Price per Head (Euro)","1978M08","Mart Sheep 40-49kg",50.26
"904","Sheep Price per Kg (Euro)","1978M08","Mart Sheep 40-49kg",1.1
"905","Sheep Price per Head (Euro)","1978M09","Mart Sheep 40-49kg",52.8
"906","Sheep Price per Kg (Euro)","1978M09","Mart Sheep 40-49kg",1.17
"907","Sheep Price per Head (Euro)","1978M10","Mart Sheep 40-49kg",52.34
"908","Sheep Price per Kg (Euro)","1978M10","Mart Sheep 40-49kg",1.16
"909","Sheep Price per Head (Euro)","1978M11","Mart Sheep 40-49kg",53.68
"910","Sheep Price per Kg (Euro)","1978M11","Mart Sheep 40-49kg",1.18
"911","Sheep Price per Head (Euro)","1978M12","Mart Sheep 40-49kg",53.62
"912","Sheep Price per Kg (Euro)","1978M12","Mart Sheep 40-49kg",1.18
"913","Sheep Price per Head (Euro)","1979M01","Mart Sheep 40-49kg",56.31
"914","Sheep Price per Kg (Euro)","1979M01","Mart Sheep 40-49kg",1.23
"915","Sheep Price per Head (Euro)","1979M02","Mart Sheep 40-49kg",56.31
"916","Sheep Price per Kg (Euro)","1979M02","Mart Sheep 40-49kg",1.24
"917","Sheep Price per Head (Euro)","1979M03","Mart Sheep 40-49kg",60.8
"918","Sheep Price per Kg (Euro)","1979M03","Mart Sheep 40-49kg",1.33
"919","Sheep Price per Head (Euro)","1979M04","Mart Sheep 40-49kg",61.14
"920","Sheep Price per Kg (Euro)","1979M04","Mart Sheep 40-49kg",1.37
"921","Sheep Price per Head (Euro)","1979M05","Mart Sheep 40-49kg",64.3
"922","Sheep Price per Kg (Euro)","1979M05","Mart Sheep 40-49kg",1.45
"923","Sheep Price per Head (Euro)","1979M06","Mart Sheep 40-49kg",61.63
"924","Sheep Price per Kg (Euro)","1979M06","Mart Sheep 40-49kg",1.37
"925","Sheep Price per Head (Euro)","1979M07","Mart Sheep 40-49kg",55.96
"926","Sheep Price per Kg (Euro)","1979M07","Mart Sheep 40-49kg",1.23
"927","Sheep Price per Head (Euro)","1979M08","Mart Sheep 40-49kg",53.94
"928","Sheep Price per Kg (Euro)","1979M08","Mart Sheep 40-49kg",1.18
"929","Sheep Price per Head (Euro)","1979M09","Mart Sheep 40-49kg",52.16
"930","Sheep Price per Kg (Euro)","1979M09","Mart Sheep 40-49kg",1.16
"931","Sheep Price per Head (Euro)","1979M10","Mart Sheep 40-49kg",50.03
"932","Sheep Price per Kg (Euro)","1979M10","Mart Sheep 40-49kg",1.1
"933","Sheep Price per Head (Euro)","1979M11","Mart Sheep 40-49kg",47.98
"934","Sheep Price per Kg (Euro)","1979M11","Mart Sheep 40-49kg",1.04
"935","Sheep Price per Head (Euro)","1979M12","Mart Sheep 40-49kg",48.14
"936","Sheep Price per Kg (Euro)","1979M12","Mart Sheep 40-49kg",1.05
"937","Sheep Price per Head (Euro)","1980M01","Mart Sheep 40-49kg",50.29
"938","Sheep Price per Kg (Euro)","1980M01","Mart Sheep 40-49kg",1.09
"939","Sheep Price per Head (Euro)","1980M02","Mart Sheep 40-49kg",52.39
"940","Sheep Price per Kg (Euro)","1980M02","Mart Sheep 40-49kg",1.14
"941","Sheep Price per Head (Euro)","1980M03","Mart Sheep 40-49kg",58.18
"942","Sheep Price per Kg (Euro)","1980M03","Mart Sheep 40-49kg",1.28
"943","Sheep Price per Head (Euro)","1980M04","Mart Sheep 40-49kg",56.72
"944","Sheep Price per Kg (Euro)","1980M04","Mart Sheep 40-49kg",1.26
"945","Sheep Price per Head (Euro)","1980M05","Mart Sheep 40-49kg",57.21
"946","Sheep Price per Kg (Euro)","1980M05","Mart Sheep 40-49kg",1.3
"947","Sheep Price per Head (Euro)","1980M06","Mart Sheep 40-49kg",52.54
"948","Sheep Price per Kg (Euro)","1980M06","Mart Sheep 40-49kg",1.17
"949","Sheep Price per Head (Euro)","1980M07","Mart Sheep 40-49kg",48.26
"950","Sheep Price per Kg (Euro)","1980M07","Mart Sheep 40-49kg",1.07
"951","Sheep Price per Head (Euro)","1980M08","Mart Sheep 40-49kg",44.89
"952","Sheep Price per Kg (Euro)","1980M08","Mart Sheep 40-49kg",0.99
"953","Sheep Price per Head (Euro)","1980M09","Mart Sheep 40-49kg",45.85
"954","Sheep Price per Kg (Euro)","1980M09","Mart Sheep 40-49kg",1
"955","Sheep Price per Head (Euro)","1980M10","Mart Sheep 40-49kg",45.39
"956","Sheep Price per Kg (Euro)","1980M10","Mart Sheep 40-49kg",1
"957","Sheep Price per Head (Euro)","1980M11","Mart Sheep 40-49kg",47.46
"958","Sheep Price per Kg (Euro)","1980M11","Mart Sheep 40-49kg",1.04
"959","Sheep Price per Head (Euro)","1980M12","Mart Sheep 40-49kg",50.64
"960","Sheep Price per Kg (Euro)","1980M12","Mart Sheep 40-49kg",1.1
"961","Sheep Price per Head (Euro)","1981M01","Mart Sheep 40-49kg",56.31
"962","Sheep Price per Kg (Euro)","1981M01","Mart Sheep 40-49kg",1.26
"963","Sheep Price per Head (Euro)","1981M02","Mart Sheep 40-49kg",61.02
"964","Sheep Price per Kg (Euro)","1981M02","Mart Sheep 40-49kg",1.35
"965","Sheep Price per Head (Euro)","1981M03","Mart Sheep 40-49kg",60.16
"966","Sheep Price per Kg (Euro)","1981M03","Mart Sheep 40-49kg",1.33
"967","Sheep Price per Head (Euro)","1981M04","Mart Sheep 40-49kg",64.93
"968","Sheep Price per Kg (Euro)","1981M04","Mart Sheep 40-49kg",1.47
"969","Sheep Price per Head (Euro)","1981M05","Mart Sheep 40-49kg",70.6
"970","Sheep Price per Kg (Euro)","1981M05","Mart Sheep 40-49kg",1.61
"971","Sheep Price per Head (Euro)","1981M06","Mart Sheep 40-49kg",67.89
"972","Sheep Price per Kg (Euro)","1981M06","Mart Sheep 40-49kg",1.52
"973","Sheep Price per Head (Euro)","1981M07","Mart Sheep 40-49kg",61.87
"974","Sheep Price per Kg (Euro)","1981M07","Mart Sheep 40-49kg",1.38
