"","Statistic","Month","Liveweight","value"
"68","Sheep Price per Kg (Euro)","1978M10","Mart Sheep 30-39kg",1.14
"69","Sheep Price per Head (Euro)","1978M11","Mart Sheep 30-39kg",42.32
"70","Sheep Price per Kg (Euro)","1978M11","Mart Sheep 30-39kg",1.16
"71","Sheep Price per Head (Euro)","1978M12","Mart Sheep 30-39kg",39.41
"72","Sheep Price per Kg (Euro)","1978M12","Mart Sheep 30-39kg",1.09
"73","Sheep Price per Head (Euro)","1979M01","Mart Sheep 30-39kg",40.7
"74","Sheep Price per Kg (Euro)","1979M01","Mart Sheep 30-39kg",1.13
"75","Sheep Price per Head (Euro)","1979M02","Mart Sheep 30-39kg",41.46
"76","Sheep Price per Kg (Euro)","1979M02","Mart Sheep 30-39kg",1.16
"77","Sheep Price per Head (Euro)","1979M03","Mart Sheep 30-39kg",43.86
"78","Sheep Price per Kg (Euro)","1979M03","Mart Sheep 30-39kg",1.21
"79","Sheep Price per Head (Euro)","1979M04","Mart Sheep 30-39kg",49.11
"80","Sheep Price per Kg (Euro)","1979M04","Mart Sheep 30-39kg",1.36
"81","Sheep Price per Head (Euro)","1979M05","Mart Sheep 30-39kg",53.27
"82","Sheep Price per Kg (Euro)","1979M05","Mart Sheep 30-39kg",1.43
"83","Sheep Price per Head (Euro)","1979M06","Mart Sheep 30-39kg",48.45
"84","Sheep Price per Kg (Euro)","1979M06","Mart Sheep 30-39kg",1.32
"85","Sheep Price per Head (Euro)","1979M07","Mart Sheep 30-39kg",45.22
"86","Sheep Price per Kg (Euro)","1979M07","Mart Sheep 30-39kg",1.22
"87","Sheep Price per Head (Euro)","1979M08","Mart Sheep 30-39kg",44.15
"88","Sheep Price per Kg (Euro)","1979M08","Mart Sheep 30-39kg",1.21
"89","Sheep Price per Head (Euro)","1979M09","Mart Sheep 30-39kg",40.58
"90","Sheep Price per Kg (Euro)","1979M09","Mart Sheep 30-39kg",1.1
"91","Sheep Price per Head (Euro)","1979M10","Mart Sheep 30-39kg",40.03
"92","Sheep Price per Kg (Euro)","1979M10","Mart Sheep 30-39kg",1.09
"93","Sheep Price per Head (Euro)","1979M11","Mart Sheep 30-39kg",37.34
"94","Sheep Price per Kg (Euro)","1979M11","Mart Sheep 30-39kg",1.02
"95","Sheep Price per Head (Euro)","1979M12","Mart Sheep 30-39kg",37.46
"96","Sheep Price per Kg (Euro)","1979M12","Mart Sheep 30-39kg",1.02
"97","Sheep Price per Head (Euro)","1980M01","Mart Sheep 30-39kg",38.05
"98","Sheep Price per Kg (Euro)","1980M01","Mart Sheep 30-39kg",1.03
"99","Sheep Price per Head (Euro)","1980M02","Mart Sheep 30-39kg",37.77
"100","Sheep Price per Kg (Euro)","1980M02","Mart Sheep 30-39kg",1.04
"101","Sheep Price per Head (Euro)","1980M03","Mart Sheep 30-39kg",43.53
"102","Sheep Price per Kg (Euro)","1980M03","Mart Sheep 30-39kg",1.21
"103","Sheep Price per Head (Euro)","1980M04","Mart Sheep 30-39kg",48.62
"104","Sheep Price per Kg (Euro)","1980M04","Mart Sheep 30-39kg",1.35
"105","Sheep Price per Head (Euro)","1980M05","Mart Sheep 30-39kg",47.13
"106","Sheep Price per Kg (Euro)","1980M05","Mart Sheep 30-39kg",1.28
"107","Sheep Price per Head (Euro)","1980M06","Mart Sheep 30-39kg",41.81
"108","Sheep Price per Kg (Euro)","1980M06","Mart Sheep 30-39kg",1.12
"109","Sheep Price per Head (Euro)","1980M07","Mart Sheep 30-39kg",37.34
"110","Sheep Price per Kg (Euro)","1980M07","Mart Sheep 30-39kg",1.03
"111","Sheep Price per Head (Euro)","1980M08","Mart Sheep 30-39kg",34.74
"112","Sheep Price per Kg (Euro)","1980M08","Mart Sheep 30-39kg",0.95
"113","Sheep Price per Head (Euro)","1980M09","Mart Sheep 30-39kg",35.73
"114","Sheep Price per Kg (Euro)","1980M09","Mart Sheep 30-39kg",0.97
"115","Sheep Price per Head (Euro)","1980M10","Mart Sheep 30-39kg",33.62
"116","Sheep Price per Kg (Euro)","1980M10","Mart Sheep 30-39kg",0.95
"117","Sheep Price per Head (Euro)","1980M11","Mart Sheep 30-39kg",36.07
"118","Sheep Price per Kg (Euro)","1980M11","Mart Sheep 30-39kg",0.99
"119","Sheep Price per Head (Euro)","1980M12","Mart Sheep 30-39kg",40.23
"120","Sheep Price per Kg (Euro)","1980M12","Mart Sheep 30-39kg",1.09
"121","Sheep Price per Head (Euro)","1981M01","Mart Sheep 30-39kg",44.67
"122","Sheep Price per Kg (Euro)","1981M01","Mart Sheep 30-39kg",1.22
"123","Sheep Price per Head (Euro)","1981M02","Mart Sheep 30-39kg",48.11
"124","Sheep Price per Kg (Euro)","1981M02","Mart Sheep 30-39kg",1.32
"125","Sheep Price per Head (Euro)","1981M03","Mart Sheep 30-39kg",46.24
"126","Sheep Price per Kg (Euro)","1981M03","Mart Sheep 30-39kg",1.27
"127","Sheep Price per Head (Euro)","1981M04","Mart Sheep 30-39kg",56.94
"128","Sheep Price per Kg (Euro)","1981M04","Mart Sheep 30-39kg",1.56
"129","Sheep Price per Head (Euro)","1981M05","Mart Sheep 30-39kg",60.26
"130","Sheep Price per Kg (Euro)","1981M05","Mart Sheep 30-39kg",1.61
"131","Sheep Price per Head (Euro)","1981M06","Mart Sheep 30-39kg",54.97
"132","Sheep Price per Kg (Euro)","1981M06","Mart Sheep 30-39kg",1.47
"133","Sheep Price per Head (Euro)","1981M07","Mart Sheep 30-39kg",49.79
"134","Sheep Price per Kg (Euro)","1981M07","Mart Sheep 30-39kg",1.35
"135","Sheep Price per Head (Euro)","1981M08","Mart Sheep 30-39kg",48.31
"136","Sheep Price per Kg (Euro)","1981M08","Mart Sheep 30-39kg",1.33
"137","Sheep Price per Head (Euro)","1981M09","Mart Sheep 30-39kg",49.2
"138","Sheep Price per Kg (Euro)","1981M09","Mart Sheep 30-39kg",1.35
"139","Sheep Price per Head (Euro)","1981M10","Mart Sheep 30-39kg",48.45
"140","Sheep Price per Kg (Euro)","1981M10","Mart Sheep 30-39kg",1.35
"141","Sheep Price per Head (Euro)","1981M11","Mart Sheep 30-39kg",51.17
"142","Sheep Price per Kg (Euro)","1981M11","Mart Sheep 30-39kg",1.4
"143","Sheep Price per Head (Euro)","1981M12","Mart Sheep 30-39kg",52.03
"144","Sheep Price per Kg (Euro)","1981M12","Mart Sheep 30-39kg",1.42
"145","Sheep Price per Head (Euro)","1982M01","Mart Sheep 30-39kg",51.23
"146","Sheep Price per Kg (Euro)","1982M01","Mart Sheep 30-39kg",1.41
"147","Sheep Price per Head (Euro)","1982M02","Mart Sheep 30-39kg",49.67
"148","Sheep Price per Kg (Euro)","1982M02","Mart Sheep 30-39kg",1.4
"149","Sheep Price per Head (Euro)","1982M03","Mart Sheep 30-39kg",47.48
"150","Sheep Price per Kg (Euro)","1982M03","Mart Sheep 30-39kg",1.32
"151","Sheep Price per Head (Euro)","1982M04","Mart Sheep 30-39kg",56.91
"152","Sheep Price per Kg (Euro)","1982M04","Mart Sheep 30-39kg",1.59
"153","Sheep Price per Head (Euro)","1982M05","Mart Sheep 30-39kg",54.66
"154","Sheep Price per Kg (Euro)","1982M05","Mart Sheep 30-39kg",1.46
"155","Sheep Price per Head (Euro)","1982M06","Mart Sheep 30-39kg",53.04
"156","Sheep Price per Kg (Euro)","1982M06","Mart Sheep 30-39kg",1.43
"157","Sheep Price per Head (Euro)","1982M07","Mart Sheep 30-39kg",51.12
"158","Sheep Price per Kg (Euro)","1982M07","Mart Sheep 30-39kg",1.38
"159","Sheep Price per Head (Euro)","1982M08","Mart Sheep 30-39kg",50.36
"160","Sheep Price per Kg (Euro)","1982M08","Mart Sheep 30-39kg",1.36
"161","Sheep Price per Head (Euro)","1982M09","Mart Sheep 30-39kg",50.92
"162","Sheep Price per Kg (Euro)","1982M09","Mart Sheep 30-39kg",1.38
"163","Sheep Price per Head (Euro)","1982M10","Mart Sheep 30-39kg",48.16
"164","Sheep Price per Kg (Euro)","1982M10","Mart Sheep 30-39kg",1.33
"165","Sheep Price per Head (Euro)","1982M11","Mart Sheep 30-39kg",49.46
"166","Sheep Price per Kg (Euro)","1982M11","Mart Sheep 30-39kg",1.36
"167","Sheep Price per Head (Euro)","1982M12","Mart Sheep 30-39kg",48.81
"168","Sheep Price per Kg (Euro)","1982M12","Mart Sheep 30-39kg",1.3
