"","Statistic","Year","Liveweight","value"
"1","Sheep Price per Head (Euro)","1976","Mart Sheep 30-39kg",24.65
"2","Sheep Price per Kg (Euro)","1976","Mart Sheep 30-39kg",0.67
"3","Sheep Price per Head (Euro)","1977","Mart Sheep 30-39kg",27.55
"4","Sheep Price per Kg (Euro)","1977","Mart Sheep 30-39kg",0.76
"5","Sheep Price per Head (Euro)","1978","Mart Sheep 30-39kg",40.12
"6","Sheep Price per Kg (Euro)","1978","Mart Sheep 30-39kg",1.1
"7","Sheep Price per Head (Euro)","1979","Mart Sheep 30-39kg",44.38
"8","Sheep Price per Kg (Euro)","1979","Mart Sheep 30-39kg",1.22
"9","Sheep Price per Head (Euro)","1980","Mart Sheep 30-39kg",40.28
"10","Sheep Price per Kg (Euro)","1980","Mart Sheep 30-39kg",1.1
"11","Sheep Price per Head (Euro)","1981","Mart Sheep 30-39kg",51.53
"12","Sheep Price per Kg (Euro)","1981","Mart Sheep 30-39kg",1.4
"13","Sheep Price per Head (Euro)","1982","Mart Sheep 30-39kg",51.15
"14","Sheep Price per Kg (Euro)","1982","Mart Sheep 30-39kg",1.4
"15","Sheep Price per Head (Euro)","1983","Mart Sheep 30-39kg",53.38
"16","Sheep Price per Kg (Euro)","1983","Mart Sheep 30-39kg",1.46
"17","Sheep Price per Head (Euro)","1984","Mart Sheep 30-39kg",52.99
"18","Sheep Price per Kg (Euro)","1984","Mart Sheep 30-39kg",1.45
"19","Sheep Price per Head (Euro)","1985","Mart Sheep 30-39kg",50.9
"20","Sheep Price per Kg (Euro)","1985","Mart Sheep 30-39kg",1.38
"21","Sheep Price per Head (Euro)","1986","Mart Sheep 30-39kg",53.96
"22","Sheep Price per Kg (Euro)","1986","Mart Sheep 30-39kg",1.47
"23","Sheep Price per Head (Euro)","1987","Mart Sheep 30-39kg",54.38
"24","Sheep Price per Kg (Euro)","1987","Mart Sheep 30-39kg",1.5
"25","Sheep Price per Head (Euro)","1988","Mart Sheep 30-39kg",56
"26","Sheep Price per Kg (Euro)","1988","Mart Sheep 30-39kg",1.54
"27","Sheep Price per Head (Euro)","1989","Mart Sheep 30-39kg",54.71
"28","Sheep Price per Kg (Euro)","1989","Mart Sheep 30-39kg",1.49
"29","Sheep Price per Head (Euro)","1990","Mart Sheep 30-39kg",40.96
"30","Sheep Price per Kg (Euro)","1990","Mart Sheep 30-39kg",1.12
"31","Sheep Price per Head (Euro)","1991","Mart Sheep 30-39kg",45.38
"32","Sheep Price per Kg (Euro)","1991","Mart Sheep 30-39kg",1.24
"33","Sheep Price per Head (Euro)","1992","Mart Sheep 30-39kg",39.35
"34","Sheep Price per Kg (Euro)","1992","Mart Sheep 30-39kg",1.08
"35","Sheep Price per Head (Euro)","1993","Mart Sheep 30-39kg",45.96
"36","Sheep Price per Kg (Euro)","1993","Mart Sheep 30-39kg",1.26
"37","Sheep Price per Head (Euro)","1994","Mart Sheep 30-39kg",47.93
"38","Sheep Price per Kg (Euro)","1994","Mart Sheep 30-39kg",1.32
"39","Sheep Price per Head (Euro)","1995","Mart Sheep 30-39kg",46.84
"40","Sheep Price per Kg (Euro)","1995","Mart Sheep 30-39kg",1.29
"41","Sheep Price per Head (Euro)","1996","Mart Sheep 30-39kg",59.53
"42","Sheep Price per Kg (Euro)","1996","Mart Sheep 30-39kg",1.64
"43","Sheep Price per Head (Euro)","1997","Mart Sheep 30-39kg",61.42
"44","Sheep Price per Kg (Euro)","1997","Mart Sheep 30-39kg",1.72
"45","Sheep Price per Head (Euro)","1998","Mart Sheep 30-39kg",48.8
"46","Sheep Price per Kg (Euro)","1998","Mart Sheep 30-39kg",1.34
"47","Sheep Price per Head (Euro)","1999","Mart Sheep 30-39kg",44.48
"48","Sheep Price per Kg (Euro)","1999","Mart Sheep 30-39kg",1.22
"49","Sheep Price per Head (Euro)","2000","Mart Sheep 30-39kg",48.13
"50","Sheep Price per Kg (Euro)","2000","Mart Sheep 30-39kg",1.39
"51","Sheep Price per Head (Euro)","2001","Mart Sheep 30-39kg",69.43
"52","Sheep Price per Kg (Euro)","2001","Mart Sheep 30-39kg",1.94
"53","Sheep Price per Head (Euro)","2002","Mart Sheep 30-39kg",59.54
"54","Sheep Price per Kg (Euro)","2002","Mart Sheep 30-39kg",1.65
"55","Sheep Price per Head (Euro)","2003","Mart Sheep 30-39kg",59.4
"56","Sheep Price per Kg (Euro)","2003","Mart Sheep 30-39kg",1.65
"57","Sheep Price per Head (Euro)","2004","Mart Sheep 30-39kg",58.23
"58","Sheep Price per Kg (Euro)","2004","Mart Sheep 30-39kg",1.62
"59","Sheep Price per Head (Euro)","2005","Mart Sheep 30-39kg",54.43
"60","Sheep Price per Kg (Euro)","2005","Mart Sheep 30-39kg",1.5
"61","Sheep Price per Head (Euro)","2006","Mart Sheep 30-39kg",54.07
"62","Sheep Price per Kg (Euro)","2006","Mart Sheep 30-39kg",1.5
"63","Sheep Price per Head (Euro)","2007","Mart Sheep 30-39kg",56.89
"64","Sheep Price per Kg (Euro)","2007","Mart Sheep 30-39kg",1.58
"65","Sheep Price per Head (Euro)","2008","Mart Sheep 30-39kg",56.75
"66","Sheep Price per Kg (Euro)","2008","Mart Sheep 30-39kg",1.59
"67","Sheep Price per Head (Euro)","2009","Mart Sheep 30-39kg",57.55
"68","Sheep Price per Kg (Euro)","2009","Mart Sheep 30-39kg",1.6
"69","Sheep Price per Head (Euro)","2010","Mart Sheep 30-39kg",72.56
"70","Sheep Price per Kg (Euro)","2010","Mart Sheep 30-39kg",2.02
"71","Sheep Price per Head (Euro)","1976","Mart Sheep 40-49kg",31.18
"72","Sheep Price per Kg (Euro)","1976","Mart Sheep 40-49kg",0.69
"73","Sheep Price per Head (Euro)","1977","Mart Sheep 40-49kg",33.03
"74","Sheep Price per Kg (Euro)","1977","Mart Sheep 40-49kg",0.72
"75","Sheep Price per Head (Euro)","1978","Mart Sheep 40-49kg",48.97
"76","Sheep Price per Kg (Euro)","1978","Mart Sheep 40-49kg",1.08
"77","Sheep Price per Head (Euro)","1979","Mart Sheep 40-49kg",55.87
"78","Sheep Price per Kg (Euro)","1979","Mart Sheep 40-49kg",1.23
"79","Sheep Price per Head (Euro)","1980","Mart Sheep 40-49kg",50.48
"80","Sheep Price per Kg (Euro)","1980","Mart Sheep 40-49kg",1.12
"81","Sheep Price per Head (Euro)","1981","Mart Sheep 40-49kg",63.07
"82","Sheep Price per Kg (Euro)","1981","Mart Sheep 40-49kg",1.41
"83","Sheep Price per Head (Euro)","1982","Mart Sheep 40-49kg",62.41
"84","Sheep Price per Kg (Euro)","1982","Mart Sheep 40-49kg",1.38
"85","Sheep Price per Head (Euro)","1983","Mart Sheep 40-49kg",64.73
"86","Sheep Price per Kg (Euro)","1983","Mart Sheep 40-49kg",1.43
"87","Sheep Price per Head (Euro)","1984","Mart Sheep 40-49kg",64.07
"88","Sheep Price per Kg (Euro)","1984","Mart Sheep 40-49kg",1.42
"89","Sheep Price per Head (Euro)","1985","Mart Sheep 40-49kg",60.4
"90","Sheep Price per Kg (Euro)","1985","Mart Sheep 40-49kg",1.36
"91","Sheep Price per Head (Euro)","1986","Mart Sheep 40-49kg",63.79
"92","Sheep Price per Kg (Euro)","1986","Mart Sheep 40-49kg",1.43
"93","Sheep Price per Head (Euro)","1987","Mart Sheep 40-49kg",65.37
"94","Sheep Price per Kg (Euro)","1987","Mart Sheep 40-49kg",1.47
"95","Sheep Price per Head (Euro)","1988","Mart Sheep 40-49kg",66.14
"96","Sheep Price per Kg (Euro)","1988","Mart Sheep 40-49kg",1.49
"97","Sheep Price per Head (Euro)","1989","Mart Sheep 40-49kg",63.26
"98","Sheep Price per Kg (Euro)","1989","Mart Sheep 40-49kg",1.42
"99","Sheep Price per Head (Euro)","1990","Mart Sheep 40-49kg",50.59
"100","Sheep Price per Kg (Euro)","1990","Mart Sheep 40-49kg",1.14
"101","Sheep Price per Head (Euro)","1991","Mart Sheep 40-49kg",52.12
"102","Sheep Price per Kg (Euro)","1991","Mart Sheep 40-49kg",1.18
"103","Sheep Price per Head (Euro)","1992","Mart Sheep 40-49kg",48.28
"104","Sheep Price per Kg (Euro)","1992","Mart Sheep 40-49kg",1.09
"105","Sheep Price per Head (Euro)","1993","Mart Sheep 40-49kg",54.04
"106","Sheep Price per Kg (Euro)","1993","Mart Sheep 40-49kg",1.22
"107","Sheep Price per Head (Euro)","1994","Mart Sheep 40-49kg",58.75
"108","Sheep Price per Kg (Euro)","1994","Mart Sheep 40-49kg",1.32
"109","Sheep Price per Head (Euro)","1995","Mart Sheep 40-49kg",57.75
"110","Sheep Price per Kg (Euro)","1995","Mart Sheep 40-49kg",1.29
"111","Sheep Price per Head (Euro)","1996","Mart Sheep 40-49kg",69.88
"112","Sheep Price per Kg (Euro)","1996","Mart Sheep 40-49kg",1.57
"113","Sheep Price per Head (Euro)","1997","Mart Sheep 40-49kg",74.26
"114","Sheep Price per Kg (Euro)","1997","Mart Sheep 40-49kg",1.67
"115","Sheep Price per Head (Euro)","1998","Mart Sheep 40-49kg",64.22
"116","Sheep Price per Kg (Euro)","1998","Mart Sheep 40-49kg",1.45
"117","Sheep Price per Head (Euro)","1999","Mart Sheep 40-49kg",58.44
"118","Sheep Price per Kg (Euro)","1999","Mart Sheep 40-49kg",1.32
"119","Sheep Price per Head (Euro)","2000","Mart Sheep 40-49kg",63.54
"120","Sheep Price per Kg (Euro)","2000","Mart Sheep 40-49kg",1.42
"121","Sheep Price per Head (Euro)","2001","Mart Sheep 40-49kg",89.04
"122","Sheep Price per Kg (Euro)","2001","Mart Sheep 40-49kg",1.99
"123","Sheep Price per Head (Euro)","2002","Mart Sheep 40-49kg",76.75
"124","Sheep Price per Kg (Euro)","2002","Mart Sheep 40-49kg",1.72
"125","Sheep Price per Head (Euro)","2003","Mart Sheep 40-49kg",77.42
"126","Sheep Price per Kg (Euro)","2003","Mart Sheep 40-49kg",1.74
"127","Sheep Price per Head (Euro)","2004","Mart Sheep 40-49kg",76.81
"128","Sheep Price per Kg (Euro)","2004","Mart Sheep 40-49kg",1.71
"129","Sheep Price per Head (Euro)","2005","Mart Sheep 40-49kg",72.28
"130","Sheep Price per Kg (Euro)","2005","Mart Sheep 40-49kg",1.6
"131","Sheep Price per Head (Euro)","2006","Mart Sheep 40-49kg",72.89
"132","Sheep Price per Kg (Euro)","2006","Mart Sheep 40-49kg",1.61
"133","Sheep Price per Head (Euro)","2007","Mart Sheep 40-49kg",76.55
"134","Sheep Price per Kg (Euro)","2007","Mart Sheep 40-49kg",1.69
"135","Sheep Price per Head (Euro)","2008","Mart Sheep 40-49kg",80.1
"136","Sheep Price per Kg (Euro)","2008","Mart Sheep 40-49kg",1.77
"137","Sheep Price per Head (Euro)","2009","Mart Sheep 40-49kg",80.58
"138","Sheep Price per Kg (Euro)","2009","Mart Sheep 40-49kg",1.78
"139","Sheep Price per Head (Euro)","2010","Mart Sheep 40-49kg",95.38
"140","Sheep Price per Kg (Euro)","2010","Mart Sheep 40-49kg",2.11
"141","Sheep Price per Head (Euro)","1976","Mart Sheep 50-59kg",36.56
"142","Sheep Price per Kg (Euro)","1976","Mart Sheep 50-59kg",0.69
"143","Sheep Price per Head (Euro)","1977","Mart Sheep 50-59kg",38.37
"144","Sheep Price per Kg (Euro)","1977","Mart Sheep 50-59kg",0.71
"145","Sheep Price per Head (Euro)","1978","Mart Sheep 50-59kg",54.33
"146","Sheep Price per Kg (Euro)","1978","Mart Sheep 50-59kg",1.02
"147","Sheep Price per Head (Euro)","1979","Mart Sheep 50-59kg",64.43
"148","Sheep Price per Kg (Euro)","1979","Mart Sheep 50-59kg",1.21
"149","Sheep Price per Head (Euro)","1980","Mart Sheep 50-59kg",59.23
"150","Sheep Price per Kg (Euro)","1980","Mart Sheep 50-59kg",1.09
"151","Sheep Price per Head (Euro)","1981","Mart Sheep 50-59kg",72.02
"152","Sheep Price per Kg (Euro)","1981","Mart Sheep 50-59kg",1.36
"153","Sheep Price per Head (Euro)","1982","Mart Sheep 50-59kg",72.17
"154","Sheep Price per Kg (Euro)","1982","Mart Sheep 50-59kg",1.36
"155","Sheep Price per Head (Euro)","1983","Mart Sheep 50-59kg",74.74
"156","Sheep Price per Kg (Euro)","1983","Mart Sheep 50-59kg",1.41
"157","Sheep Price per Head (Euro)","1984","Mart Sheep 50-59kg",74.91
"158","Sheep Price per Kg (Euro)","1984","Mart Sheep 50-59kg",1.41
"159","Sheep Price per Head (Euro)","1985","Mart Sheep 50-59kg",69.07
"160","Sheep Price per Kg (Euro)","1985","Mart Sheep 50-59kg",1.31
"161","Sheep Price per Head (Euro)","1986","Mart Sheep 50-59kg",74.27
"162","Sheep Price per Kg (Euro)","1986","Mart Sheep 50-59kg",1.41
"163","Sheep Price per Head (Euro)","1987","Mart Sheep 50-59kg",76.24
"164","Sheep Price per Kg (Euro)","1987","Mart Sheep 50-59kg",1.43
"165","Sheep Price per Head (Euro)","1988","Mart Sheep 50-59kg",75.63
"166","Sheep Price per Kg (Euro)","1988","Mart Sheep 50-59kg",1.43
"167","Sheep Price per Head (Euro)","1989","Mart Sheep 50-59kg",73.57
"168","Sheep Price per Kg (Euro)","1989","Mart Sheep 50-59kg",1.4
"169","Sheep Price per Head (Euro)","1990","Mart Sheep 50-59kg",59.66
"170","Sheep Price per Kg (Euro)","1990","Mart Sheep 50-59kg",1.13
"171","Sheep Price per Head (Euro)","1991","Mart Sheep 50-59kg",59.88
"172","Sheep Price per Kg (Euro)","1991","Mart Sheep 50-59kg",1.14
"173","Sheep Price per Head (Euro)","1992","Mart Sheep 50-59kg",55.92
"174","Sheep Price per Kg (Euro)","1992","Mart Sheep 50-59kg",1.07
"175","Sheep Price per Head (Euro)","1993","Mart Sheep 50-59kg",58.52
"176","Sheep Price per Kg (Euro)","1993","Mart Sheep 50-59kg",1.12
"177","Sheep Price per Head (Euro)","1994","Mart Sheep 50-59kg",67.08
"178","Sheep Price per Kg (Euro)","1994","Mart Sheep 50-59kg",1.28
"179","Sheep Price per Head (Euro)","1995","Mart Sheep 50-59kg",67.06
"180","Sheep Price per Kg (Euro)","1995","Mart Sheep 50-59kg",1.27
"181","Sheep Price per Head (Euro)","1996","Mart Sheep 50-59kg",79.19
"182","Sheep Price per Kg (Euro)","1996","Mart Sheep 50-59kg",1.51
"183","Sheep Price per Head (Euro)","1997","Mart Sheep 50-59kg",83.66
"184","Sheep Price per Kg (Euro)","1997","Mart Sheep 50-59kg",1.6
"185","Sheep Price per Head (Euro)","1998","Mart Sheep 50-59kg",68.01
"186","Sheep Price per Kg (Euro)","1998","Mart Sheep 50-59kg",1.29
"187","Sheep Price per Head (Euro)","1999","Mart Sheep 50-59kg",65.13
"188","Sheep Price per Kg (Euro)","1999","Mart Sheep 50-59kg",1.24
"189","Sheep Price per Head (Euro)","2000","Mart Sheep 50-59kg",73.27
"190","Sheep Price per Kg (Euro)","2000","Mart Sheep 50-59kg",1.39
"191","Sheep Price per Head (Euro)","2001","Mart Sheep 50-59kg",102.14
"192","Sheep Price per Kg (Euro)","2001","Mart Sheep 50-59kg",1.95
"193","Sheep Price per Head (Euro)","2002","Mart Sheep 50-59kg",89.18
"194","Sheep Price per Kg (Euro)","2002","Mart Sheep 50-59kg",1.7
"195","Sheep Price per Head (Euro)","2003","Mart Sheep 50-59kg",84.65
"196","Sheep Price per Kg (Euro)","2003","Mart Sheep 50-59kg",1.61
"197","Sheep Price per Head (Euro)","2004","Mart Sheep 50-59kg",84.82
"198","Sheep Price per Kg (Euro)","2004","Mart Sheep 50-59kg",1.61
"199","Sheep Price per Head (Euro)","2005","Mart Sheep 50-59kg",79.28
"200","Sheep Price per Kg (Euro)","2005","Mart Sheep 50-59kg",1.5
"201","Sheep Price per Head (Euro)","2006","Mart Sheep 50-59kg",81.64
"202","Sheep Price per Kg (Euro)","2006","Mart Sheep 50-59kg",1.55
"203","Sheep Price per Head (Euro)","2007","Mart Sheep 50-59kg",85.56
"204","Sheep Price per Kg (Euro)","2007","Mart Sheep 50-59kg",1.63
"205","Sheep Price per Head (Euro)","2008","Mart Sheep 50-59kg",87.76
"206","Sheep Price per Kg (Euro)","2008","Mart Sheep 50-59kg",1.67
"207","Sheep Price per Head (Euro)","2009","Mart Sheep 50-59kg",89.35
"208","Sheep Price per Kg (Euro)","2009","Mart Sheep 50-59kg",1.7
"209","Sheep Price per Head (Euro)","2010","Mart Sheep 50-59kg",106.39
"210","Sheep Price per Kg (Euro)","2010","Mart Sheep 50-59kg",2.03
