"","Month","Type.of.Feedstuff","value"
"9107","2006M07","Dairy meal (13-15% protein)",NA
"9108","2006M08","Dairy meal (13-15% protein)",NA
"9109","2006M09","Dairy meal (13-15% protein)",NA
"9110","2006M10","Dairy meal (13-15% protein)",NA
"9111","2006M11","Dairy meal (13-15% protein)",NA
"9112","2006M12","Dairy meal (13-15% protein)",NA
"9113","2007M01","Dairy meal (13-15% protein)",NA
"9114","2007M02","Dairy meal (13-15% protein)",NA
"9115","2007M03","Dairy meal (13-15% protein)",NA
"9116","2007M04","Dairy meal (13-15% protein)",NA
"9117","2007M05","Dairy meal (13-15% protein)",NA
"9118","2007M06","Dairy meal (13-15% protein)",NA
"9119","2007M07","Dairy meal (13-15% protein)",NA
"9120","2007M08","Dairy meal (13-15% protein)",NA
"9121","2007M09","Dairy meal (13-15% protein)",NA
"9122","2007M10","Dairy meal (13-15% protein)",NA
"9123","2007M11","Dairy meal (13-15% protein)",NA
"9124","2007M12","Dairy meal (13-15% protein)",NA
"9125","2008M01","Dairy meal (13-15% protein)",NA
"9126","2008M02","Dairy meal (13-15% protein)",NA
"9127","2008M03","Dairy meal (13-15% protein)",NA
"9128","2008M04","Dairy meal (13-15% protein)",NA
"9129","2008M05","Dairy meal (13-15% protein)",NA
"9130","2008M06","Dairy meal (13-15% protein)",NA
"9131","2008M07","Dairy meal (13-15% protein)",NA
"9132","2008M08","Dairy meal (13-15% protein)",NA
"9133","2008M09","Dairy meal (13-15% protein)",NA
"9134","2008M10","Dairy meal (13-15% protein)",NA
"9135","2008M11","Dairy meal (13-15% protein)",NA
