"","Month","Type.of.Fertiliser","value"
"1017","1996M01","Granular Superphosphate (16% P)",255
"1018","1996M02","Granular Superphosphate (16% P)",NA
"1019","1996M03","Granular Superphosphate (16% P)",NA
"1020","1996M04","Granular Superphosphate (16% P)",NA
"1021","1996M05","Granular Superphosphate (16% P)",NA
"1022","1996M06","Granular Superphosphate (16% P)",NA
"1023","1996M07","Granular Superphosphate (16% P)",NA
"1024","1996M08","Granular Superphosphate (16% P)",259
"1025","1996M09","Granular Superphosphate (16% P)",259
"1026","1996M10","Granular Superphosphate (16% P)",259
"1027","1996M11","Granular Superphosphate (16% P)",259
"1028","1996M12","Granular Superphosphate (16% P)",NA
"1029","1997M01","Granular Superphosphate (16% P)",NA
"1030","1997M02","Granular Superphosphate (16% P)",NA
"1031","1997M03","Granular Superphosphate (16% P)",NA
"1032","1997M04","Granular Superphosphate (16% P)",253
"1033","1997M05","Granular Superphosphate (16% P)",254
"1034","1997M06","Granular Superphosphate (16% P)",253
"1035","1997M07","Granular Superphosphate (16% P)",253
"1036","1997M08","Granular Superphosphate (16% P)",253
"1037","1997M09","Granular Superphosphate (16% P)",253
"1038","1997M10","Granular Superphosphate (16% P)",253
"1039","1997M11","Granular Superphosphate (16% P)",250
"1040","1997M12","Granular Superphosphate (16% P)",250
"1041","1998M01","Granular Superphosphate (16% P)",256
"1042","1998M02","Granular Superphosphate (16% P)",253
"1043","1998M03","Granular Superphosphate (16% P)",253
"1044","1998M04","Granular Superphosphate (16% P)",252
"1045","1998M05","Granular Superphosphate (16% P)",250
"1046","1998M06","Granular Superphosphate (16% P)",250
"1047","1998M07","Granular Superphosphate (16% P)",251
"1048","1998M08","Granular Superphosphate (16% P)",252
"1049","1998M09","Granular Superphosphate (16% P)",251
"1050","1998M10","Granular Superphosphate (16% P)",252
"1051","1998M11","Granular Superphosphate (16% P)",252
"1052","1998M12","Granular Superphosphate (16% P)",252
"1053","1999M01","Granular Superphosphate (16% P)",252
"1054","1999M02","Granular Superphosphate (16% P)",262
"1055","1999M03","Granular Superphosphate (16% P)",259
"1056","1999M04","Granular Superphosphate (16% P)",264
"1057","1999M05","Granular Superphosphate (16% P)",263
"1058","1999M06","Granular Superphosphate (16% P)",263
"1059","1999M07","Granular Superphosphate (16% P)",263
"1060","1999M08","Granular Superphosphate (16% P)",263
"1061","1999M09","Granular Superphosphate (16% P)",263
"1062","1999M10","Granular Superphosphate (16% P)",262
"1063","1999M11","Granular Superphosphate (16% P)",259
"1064","1999M12","Granular Superphosphate (16% P)",259
"1065","2000M01","Granular Superphosphate (16% P)",266
"1066","2000M02","Granular Superphosphate (16% P)",266
"1067","2000M03","Granular Superphosphate (16% P)",267
"1068","2000M04","Granular Superphosphate (16% P)",270
"1069","2000M05","Granular Superphosphate (16% P)",270
"1070","2000M06","Granular Superphosphate (16% P)",271
"1071","2000M07","Granular Superphosphate (16% P)",271
"1072","2000M08","Granular Superphosphate (16% P)",271
"1073","2000M09","Granular Superphosphate (16% P)",271
"1074","2000M10","Granular Superphosphate (16% P)",273
"1075","2000M11","Granular Superphosphate (16% P)",268
"1076","2000M12","Granular Superphosphate (16% P)",268
"1077","2001M01","Granular Superphosphate (16% P)",277
"1078","2001M02","Granular Superphosphate (16% P)",280
"1079","2001M03","Granular Superphosphate (16% P)",278
"1080","2001M04","Granular Superphosphate (16% P)",279
"1081","2001M05","Granular Superphosphate (16% P)",276
"1082","2001M06","Granular Superphosphate (16% P)",278
"1083","2001M07","Granular Superphosphate (16% P)",279
"1084","2001M08","Granular Superphosphate (16% P)",278
"1085","2001M09","Granular Superphosphate (16% P)",278
"1086","2001M10","Granular Superphosphate (16% P)",269
"1087","2001M11","Granular Superphosphate (16% P)",269
"1088","2001M12","Granular Superphosphate (16% P)",269
"1089","2002M01","Granular Superphosphate (16% P)",268
"1090","2002M02","Granular Superphosphate (16% P)",269
"1091","2002M03","Granular Superphosphate (16% P)",268
"1092","2002M04","Granular Superphosphate (16% P)",268
"1093","2002M05","Granular Superphosphate (16% P)",268
"1094","2002M06","Granular Superphosphate (16% P)",268
"1095","2002M07","Granular Superphosphate (16% P)",268
"1096","2002M08","Granular Superphosphate (16% P)",268
"1097","2002M09","Granular Superphosphate (16% P)",268
"1098","2002M10","Granular Superphosphate (16% P)",266
"1099","2002M11","Granular Superphosphate (16% P)",266
"1100","2002M12","Granular Superphosphate (16% P)",264
"1101","2003M01","Granular Superphosphate (16% P)",266
"1102","2003M02","Granular Superphosphate (16% P)",270
"1103","2003M03","Granular Superphosphate (16% P)",270
"1104","2003M04","Granular Superphosphate (16% P)",270
"1105","2003M05","Granular Superphosphate (16% P)",270
"1106","2003M06","Granular Superphosphate (16% P)",266
"1107","2003M07","Granular Superphosphate (16% P)",265
"1108","2003M08","Granular Superphosphate (16% P)",269
"1109","2003M09","Granular Superphosphate (16% P)",269
"1110","2003M10","Granular Superphosphate (16% P)",266
"1111","2003M11","Granular Superphosphate (16% P)",265
"1112","2003M12","Granular Superphosphate (16% P)",265
"1113","2004M01","Granular Superphosphate (16% P)",279
"1114","2004M02","Granular Superphosphate (16% P)",277
"1115","2004M03","Granular Superphosphate (16% P)",275
"1116","2004M04","Granular Superphosphate (16% P)",274
"1117","2004M05","Granular Superphosphate (16% P)",274
"1118","2004M06","Granular Superphosphate (16% P)",274
"1119","2004M07","Granular Superphosphate (16% P)",273
"1120","2004M08","Granular Superphosphate (16% P)",273
"1121","2004M09","Granular Superphosphate (16% P)",273
"1122","2004M10","Granular Superphosphate (16% P)",270
"1123","2004M11","Granular Superphosphate (16% P)",271
"1124","2004M12","Granular Superphosphate (16% P)",271
"1125","2005M01","Granular Superphosphate (16% P)",277
"1126","2005M02","Granular Superphosphate (16% P)",279
"1127","2005M03","Granular Superphosphate (16% P)",280
"1128","2005M04","Granular Superphosphate (16% P)",279
"1129","2005M05","Granular Superphosphate (16% P)",277
"1130","2005M06","Granular Superphosphate (16% P)",280
"1131","2005M07","Granular Superphosphate (16% P)",275
"1132","2005M08","Granular Superphosphate (16% P)",275
"1133","2005M09","Granular Superphosphate (16% P)",273
"1134","2005M10","Granular Superphosphate (16% P)",273
"1135","2005M11","Granular Superphosphate (16% P)",273
"1136","2005M12","Granular Superphosphate (16% P)",277
"1137","2006M01","Granular Superphosphate (16% P)",280
"1138","2006M02","Granular Superphosphate (16% P)",283
"1139","2006M03","Granular Superphosphate (16% P)",286
"1140","2006M04","Granular Superphosphate (16% P)",288
"1141","2006M05","Granular Superphosphate (16% P)",288
"1142","2006M06","Granular Superphosphate (16% P)",288
"1143","2006M07","Granular Superphosphate (16% P)",288
"1144","2006M08","Granular Superphosphate (16% P)",288
"1145","2006M09","Granular Superphosphate (16% P)",288
"1146","2006M10","Granular Superphosphate (16% P)",289
"1147","2006M11","Granular Superphosphate (16% P)",292
"1148","2006M12","Granular Superphosphate (16% P)",289
"1149","2007M01","Granular Superphosphate (16% P)",290
"1150","2007M02","Granular Superphosphate (16% P)",290
"1151","2007M03","Granular Superphosphate (16% P)",290
"1152","2007M04","Granular Superphosphate (16% P)",290
"1153","2007M05","Granular Superphosphate (16% P)",292
"1154","2007M06","Granular Superphosphate (16% P)",292
"1155","2007M07","Granular Superphosphate (16% P)",293
"1156","2007M08","Granular Superphosphate (16% P)",293
"1157","2007M09","Granular Superphosphate (16% P)",303
"1158","2007M10","Granular Superphosphate (16% P)",303
"1159","2007M11","Granular Superphosphate (16% P)",303
"1160","2007M12","Granular Superphosphate (16% P)",367
"1161","2008M01","Granular Superphosphate (16% P)",474
"1162","2008M02","Granular Superphosphate (16% P)",507
"1163","2008M03","Granular Superphosphate (16% P)",517
"1164","2008M04","Granular Superphosphate (16% P)",530
"1165","2008M05","Granular Superphosphate (16% P)",545
"1166","2008M06","Granular Superphosphate (16% P)",562
"1167","2008M07","Granular Superphosphate (16% P)",562
"1168","2008M08","Granular Superphosphate (16% P)",592
"1169","2008M09","Granular Superphosphate (16% P)",592
"1170","2008M10","Granular Superphosphate (16% P)",592
"1171","2008M11","Granular Superphosphate (16% P)",592
"1172","2008M12","Granular Superphosphate (16% P)",592
"1173","2009M01","Granular Superphosphate (16% P)",599
"1174","2009M02","Granular Superphosphate (16% P)",574
"1175","2009M03","Granular Superphosphate (16% P)",559
"1176","2009M04","Granular Superphosphate (16% P)",537
"1177","2009M05","Granular Superphosphate (16% P)",547
"1178","2009M06","Granular Superphosphate (16% P)",547
"1179","2009M07","Granular Superphosphate (16% P)",544
"1180","2009M08","Granular Superphosphate (16% P)",544
"1181","2009M09","Granular Superphosphate (16% P)",544
"1182","2009M10","Granular Superphosphate (16% P)",544
"1183","2009M11","Granular Superphosphate (16% P)",544
"1184","2009M12","Granular Superphosphate (16% P)",544
"1185","2010M01","Granular Superphosphate (16% P)",544
"1186","2010M02","Granular Superphosphate (16% P)",356
"1187","2010M03","Granular Superphosphate (16% P)",366
"1188","2010M04","Granular Superphosphate (16% P)",339
"1189","2010M05","Granular Superphosphate (16% P)",339
"1190","2010M06","Granular Superphosphate (16% P)",339
"1191","2010M07","Granular Superphosphate (16% P)",339
"1192","2010M08","Granular Superphosphate (16% P)",339
"1193","2010M09","Granular Superphosphate (16% P)",359
"1194","2010M10","Granular Superphosphate (16% P)",364
"1195","2010M11","Granular Superphosphate (16% P)",364
"1196","2010M12","Granular Superphosphate (16% P)",383
"1197","2011M01","Granular Superphosphate (16% P)",NA
"1198","2011M02","Granular Superphosphate (16% P)",NA
"1199","2011M03","Granular Superphosphate (16% P)",NA
"1200","2011M04","Granular Superphosphate (16% P)",NA
"1201","2011M05","Granular Superphosphate (16% P)",NA
"1202","2011M06","Granular Superphosphate (16% P)",NA
"1203","2011M07","Granular Superphosphate (16% P)",NA
"1204","2011M08","Granular Superphosphate (16% P)",NA
"1205","2011M09","Granular Superphosphate (16% P)",NA
"1206","2011M10","Granular Superphosphate (16% P)",NA
"1207","2011M11","Granular Superphosphate (16% P)",NA
"1208","2011M12","Granular Superphosphate (16% P)",NA
"1209","2012M01","Granular Superphosphate (16% P)",NA
"1210","2012M02","Granular Superphosphate (16% P)",NA
"1211","2012M03","Granular Superphosphate (16% P)",NA
"1212","2012M04","Granular Superphosphate (16% P)",NA
"1213","2012M05","Granular Superphosphate (16% P)",NA
"1214","2012M06","Granular Superphosphate (16% P)",NA
"1215","2012M07","Granular Superphosphate (16% P)",NA
"1216","2012M08","Granular Superphosphate (16% P)",NA
"1217","2012M09","Granular Superphosphate (16% P)",NA
"1218","2012M10","Granular Superphosphate (16% P)",NA
"1219","2012M11","Granular Superphosphate (16% P)",NA
"1220","2012M12","Granular Superphosphate (16% P)",NA
"1221","2013M01","Granular Superphosphate (16% P)",NA
"1222","2013M02","Granular Superphosphate (16% P)",NA
"1223","2013M03","Granular Superphosphate (16% P)",NA
"1224","2013M04","Granular Superphosphate (16% P)",NA
"1225","2013M05","Granular Superphosphate (16% P)",NA
"1226","2013M06","Granular Superphosphate (16% P)",NA
"1227","2013M07","Granular Superphosphate (16% P)",NA
"1228","2013M08","Granular Superphosphate (16% P)",NA
"1229","2013M09","Granular Superphosphate (16% P)",NA
"1230","2013M10","Granular Superphosphate (16% P)",NA
"1231","2013M11","Granular Superphosphate (16% P)",NA
"1232","2013M12","Granular Superphosphate (16% P)",NA
"1233","2014M01","Granular Superphosphate (16% P)",NA
"1234","2014M02","Granular Superphosphate (16% P)",NA
"1235","2014M03","Granular Superphosphate (16% P)",NA
"1236","2014M04","Granular Superphosphate (16% P)",425
"1237","1980M01","Muriate of Potash (50% K)",109
"1238","1980M02","Muriate of Potash (50% K)",109
"1239","1980M03","Muriate of Potash (50% K)",114
"1240","1980M04","Muriate of Potash (50% K)",114
"1241","1980M05","Muriate of Potash (50% K)",114
"1242","1980M06","Muriate of Potash (50% K)",114
"1243","1980M07","Muriate of Potash (50% K)",115
"1244","1980M08","Muriate of Potash (50% K)",115
"1245","1980M09","Muriate of Potash (50% K)",118
"1246","1980M10","Muriate of Potash (50% K)",117
"1247","1980M11","Muriate of Potash (50% K)",121
"1248","1980M12","Muriate of Potash (50% K)",121
"1249","1981M01","Muriate of Potash (50% K)",127
"1250","1981M02","Muriate of Potash (50% K)",132
"1251","1981M03","Muriate of Potash (50% K)",134
"1252","1981M04","Muriate of Potash (50% K)",136
"1253","1981M05","Muriate of Potash (50% K)",136
"1254","1981M06","Muriate of Potash (50% K)",135
"1255","1981M07","Muriate of Potash (50% K)",138
"1256","1981M08","Muriate of Potash (50% K)",139
"1257","1981M09","Muriate of Potash (50% K)",145
"1258","1981M10","Muriate of Potash (50% K)",145
"1259","1981M11","Muriate of Potash (50% K)",146
"1260","1981M12","Muriate of Potash (50% K)",144
"1261","1982M01","Muriate of Potash (50% K)",145
"1262","1982M02","Muriate of Potash (50% K)",146
"1263","1982M03","Muriate of Potash (50% K)",148
"1264","1982M04","Muriate of Potash (50% K)",150
"1265","1982M05","Muriate of Potash (50% K)",149
"1266","1982M06","Muriate of Potash (50% K)",148
"1267","1982M07","Muriate of Potash (50% K)",149
"1268","1982M08","Muriate of Potash (50% K)",148
"1269","1982M09","Muriate of Potash (50% K)",148
"1270","1982M10","Muriate of Potash (50% K)",149
"1271","1982M11","Muriate of Potash (50% K)",149
"1272","1982M12","Muriate of Potash (50% K)",149
"1273","1983M01","Muriate of Potash (50% K)",149
"1274","1983M02","Muriate of Potash (50% K)",152
"1275","1983M03","Muriate of Potash (50% K)",152
"1276","1983M04","Muriate of Potash (50% K)",152
"1277","1983M05","Muriate of Potash (50% K)",152
"1278","1983M06","Muriate of Potash (50% K)",153
"1279","1983M07","Muriate of Potash (50% K)",152
"1280","1983M08","Muriate of Potash (50% K)",153
"1281","1983M09","Muriate of Potash (50% K)",154
"1282","1983M10","Muriate of Potash (50% K)",154
"1283","1983M11","Muriate of Potash (50% K)",154
"1284","1983M12","Muriate of Potash (50% K)",157
"1285","1984M01","Muriate of Potash (50% K)",158
"1286","1984M02","Muriate of Potash (50% K)",169
"1287","1984M03","Muriate of Potash (50% K)",169
"1288","1984M04","Muriate of Potash (50% K)",171
"1289","1984M05","Muriate of Potash (50% K)",170
"1290","1984M06","Muriate of Potash (50% K)",172
"1291","1984M07","Muriate of Potash (50% K)",172
"1292","1984M08","Muriate of Potash (50% K)",173
"1293","1984M09","Muriate of Potash (50% K)",175
"1294","1984M10","Muriate of Potash (50% K)",177
"1295","1984M11","Muriate of Potash (50% K)",182
"1296","1984M12","Muriate of Potash (50% K)",182
"1297","1985M01","Muriate of Potash (50% K)",190
"1298","1985M02","Muriate of Potash (50% K)",191
"1299","1985M03","Muriate of Potash (50% K)",195
"1300","1985M04","Muriate of Potash (50% K)",195
"1301","1985M05","Muriate of Potash (50% K)",195
"1302","1985M06","Muriate of Potash (50% K)",195
"1303","1985M07","Muriate of Potash (50% K)",196
"1304","1985M08","Muriate of Potash (50% K)",197
"1305","1985M09","Muriate of Potash (50% K)",197
"1306","1985M10","Muriate of Potash (50% K)",196
"1307","1985M11","Muriate of Potash (50% K)",194
"1308","1985M12","Muriate of Potash (50% K)",194
"1309","1986M01","Muriate of Potash (50% K)",195
"1310","1986M02","Muriate of Potash (50% K)",194
"1311","1986M03","Muriate of Potash (50% K)",194
"1312","1986M04","Muriate of Potash (50% K)",195
"1313","1986M05","Muriate of Potash (50% K)",194
"1314","1986M06","Muriate of Potash (50% K)",193
"1315","1986M07","Muriate of Potash (50% K)",193
"1316","1986M08","Muriate of Potash (50% K)",193
"1317","1986M09","Muriate of Potash (50% K)",191
"1318","1986M10","Muriate of Potash (50% K)",191
"1319","1986M11","Muriate of Potash (50% K)",184
"1320","1986M12","Muriate of Potash (50% K)",172
"1321","1987M01","Muriate of Potash (50% K)",172
"1322","1987M02","Muriate of Potash (50% K)",163
"1323","1987M03","Muriate of Potash (50% K)",162
"1324","1987M04","Muriate of Potash (50% K)",162
"1325","1987M05","Muriate of Potash (50% K)",161
"1326","1987M06","Muriate of Potash (50% K)",160
"1327","1987M07","Muriate of Potash (50% K)",160
"1328","1987M08","Muriate of Potash (50% K)",159
"1329","1987M09","Muriate of Potash (50% K)",161
"1330","1987M10","Muriate of Potash (50% K)",162
"1331","1987M11","Muriate of Potash (50% K)",165
"1332","1987M12","Muriate of Potash (50% K)",NA
"1333","1988M01","Muriate of Potash (50% K)",169
"1334","1988M02","Muriate of Potash (50% K)",171
"1335","1988M03","Muriate of Potash (50% K)",172
"1336","1988M04","Muriate of Potash (50% K)",171
"1337","1988M05","Muriate of Potash (50% K)",170
"1338","1988M06","Muriate of Potash (50% K)",NA
"1339","1988M07","Muriate of Potash (50% K)",170
"1340","1988M08","Muriate of Potash (50% K)",NA
"1341","1988M09","Muriate of Potash (50% K)",170
"1342","1988M10","Muriate of Potash (50% K)",171
"1343","1988M11","Muriate of Potash (50% K)",NA
"1344","1988M12","Muriate of Potash (50% K)",NA
"1345","1989M01","Muriate of Potash (50% K)",NA
"1346","1989M02","Muriate of Potash (50% K)",NA
"1347","1989M03","Muriate of Potash (50% K)",NA
"1348","1989M04","Muriate of Potash (50% K)",NA
"1349","1989M05","Muriate of Potash (50% K)",NA
"1350","1989M06","Muriate of Potash (50% K)",NA
"1351","1989M07","Muriate of Potash (50% K)",194
"1352","1989M08","Muriate of Potash (50% K)",194
"1353","1989M09","Muriate of Potash (50% K)",195
"1354","1989M10","Muriate of Potash (50% K)",193
"1355","1989M11","Muriate of Potash (50% K)",195
"1356","1989M12","Muriate of Potash (50% K)",194
"1357","1990M01","Muriate of Potash (50% K)",195
"1358","1990M02","Muriate of Potash (50% K)",194
"1359","1990M03","Muriate of Potash (50% K)",193
"1360","1990M04","Muriate of Potash (50% K)",194
"1361","1990M05","Muriate of Potash (50% K)",193
"1362","1990M06","Muriate of Potash (50% K)",192
"1363","1990M07","Muriate of Potash (50% K)",196
"1364","1990M08","Muriate of Potash (50% K)",192
"1365","1990M09","Muriate of Potash (50% K)",193
"1366","1990M10","Muriate of Potash (50% K)",192
"1367","1990M11","Muriate of Potash (50% K)",191
"1368","1990M12","Muriate of Potash (50% K)",193
"1369","1991M01","Muriate of Potash (50% K)",193
"1370","1991M02","Muriate of Potash (50% K)",196
"1371","1991M03","Muriate of Potash (50% K)",194
"1372","1991M04","Muriate of Potash (50% K)",196
"1373","1991M05","Muriate of Potash (50% K)",195
"1374","1991M06","Muriate of Potash (50% K)",193
"1375","1991M07","Muriate of Potash (50% K)",194
"1376","1991M08","Muriate of Potash (50% K)",194
"1377","1991M09","Muriate of Potash (50% K)",191
"1378","1991M10","Muriate of Potash (50% K)",195
"1379","1991M11","Muriate of Potash (50% K)",197
"1380","1991M12","Muriate of Potash (50% K)",NA
"1381","1992M01","Muriate of Potash (50% K)",NA
"1382","1992M02","Muriate of Potash (50% K)",194
"1383","1992M03","Muriate of Potash (50% K)",192
"1384","1992M04","Muriate of Potash (50% K)",NA
"1385","1992M05","Muriate of Potash (50% K)",NA
"1386","1992M06","Muriate of Potash (50% K)",188
"1387","1992M07","Muriate of Potash (50% K)",188
"1388","1992M08","Muriate of Potash (50% K)",NA
"1389","1992M09","Muriate of Potash (50% K)",188
"1390","1992M10","Muriate of Potash (50% K)",NA
"1391","1992M11","Muriate of Potash (50% K)",192
"1392","1992M12","Muriate of Potash (50% K)",190
"1393","1993M01","Muriate of Potash (50% K)",190
"1394","1993M02","Muriate of Potash (50% K)",192
"1395","1993M03","Muriate of Potash (50% K)",NA
"1396","1993M04","Muriate of Potash (50% K)",NA
"1397","1993M05","Muriate of Potash (50% K)",186
"1398","1993M06","Muriate of Potash (50% K)",NA
"1399","1993M07","Muriate of Potash (50% K)",NA
"1400","1993M08","Muriate of Potash (50% K)",NA
"1401","1993M09","Muriate of Potash (50% K)",NA
"1402","1993M10","Muriate of Potash (50% K)",NA
"1403","1993M11","Muriate of Potash (50% K)",186
"1404","1993M12","Muriate of Potash (50% K)",NA
"1405","1994M01","Muriate of Potash (50% K)",196
"1406","1994M02","Muriate of Potash (50% K)",197
"1407","1994M03","Muriate of Potash (50% K)",195
"1408","1994M04","Muriate of Potash (50% K)",195
"1409","1994M05","Muriate of Potash (50% K)",194
"1410","1994M06","Muriate of Potash (50% K)",194
"1411","1994M07","Muriate of Potash (50% K)",193
"1412","1994M08","Muriate of Potash (50% K)",195
"1413","1994M09","Muriate of Potash (50% K)",195
"1414","1994M10","Muriate of Potash (50% K)",193
"1415","1994M11","Muriate of Potash (50% K)",NA
"1416","1994M12","Muriate of Potash (50% K)",200
"1417","1995M01","Muriate of Potash (50% K)",NA
"1418","1995M02","Muriate of Potash (50% K)",NA
"1419","1995M03","Muriate of Potash (50% K)",NA
"1420","1995M04","Muriate of Potash (50% K)",NA
"1421","1995M05","Muriate of Potash (50% K)",206
"1422","1995M06","Muriate of Potash (50% K)",205
"1423","1995M07","Muriate of Potash (50% K)",205
"1424","1995M08","Muriate of Potash (50% K)",207
"1425","1995M09","Muriate of Potash (50% K)",199
"1426","1995M10","Muriate of Potash (50% K)",207
"1427","1995M11","Muriate of Potash (50% K)",NA
"1428","1995M12","Muriate of Potash (50% K)",NA
"1429","1996M01","Muriate of Potash (50% K)",NA
"1430","1996M02","Muriate of Potash (50% K)",NA
"1431","1996M03","Muriate of Potash (50% K)",NA
"1432","1996M04","Muriate of Potash (50% K)",215
"1433","1996M05","Muriate of Potash (50% K)",214
"1434","1996M06","Muriate of Potash (50% K)",NA
"1435","1996M07","Muriate of Potash (50% K)",NA
"1436","1996M08","Muriate of Potash (50% K)",213
"1437","1996M09","Muriate of Potash (50% K)",214
"1438","1996M10","Muriate of Potash (50% K)",214
"1439","1996M11","Muriate of Potash (50% K)",214
"1440","1996M12","Muriate of Potash (50% K)",NA
"1441","1997M01","Muriate of Potash (50% K)",213
"1442","1997M02","Muriate of Potash (50% K)",212
"1443","1997M03","Muriate of Potash (50% K)",211
"1444","1997M04","Muriate of Potash (50% K)",210
"1445","1997M05","Muriate of Potash (50% K)",212
"1446","1997M06","Muriate of Potash (50% K)",211
"1447","1997M07","Muriate of Potash (50% K)",211
"1448","1997M08","Muriate of Potash (50% K)",211
"1449","1997M09","Muriate of Potash (50% K)",210
"1450","1997M10","Muriate of Potash (50% K)",210
"1451","1997M11","Muriate of Potash (50% K)",210
"1452","1997M12","Muriate of Potash (50% K)",210
"1453","1998M01","Muriate of Potash (50% K)",211
"1454","1998M02","Muriate of Potash (50% K)",210
"1455","1998M03","Muriate of Potash (50% K)",210
"1456","1998M04","Muriate of Potash (50% K)",208
"1457","1998M05","Muriate of Potash (50% K)",208
"1458","1998M06","Muriate of Potash (50% K)",208
"1459","1998M07","Muriate of Potash (50% K)",208
"1460","1998M08","Muriate of Potash (50% K)",209
"1461","1998M09","Muriate of Potash (50% K)",209
"1462","1998M10","Muriate of Potash (50% K)",209
"1463","1998M11","Muriate of Potash (50% K)",208
"1464","1998M12","Muriate of Potash (50% K)",208
"1465","1999M01","Muriate of Potash (50% K)",208
"1466","1999M02","Muriate of Potash (50% K)",208
"1467","1999M03","Muriate of Potash (50% K)",208
"1468","1999M04","Muriate of Potash (50% K)",210
"1469","1999M05","Muriate of Potash (50% K)",208
"1470","1999M06","Muriate of Potash (50% K)",210
"1471","1999M07","Muriate of Potash (50% K)",210
"1472","1999M08","Muriate of Potash (50% K)",210
"1473","1999M09","Muriate of Potash (50% K)",210
"1474","1999M10","Muriate of Potash (50% K)",209
"1475","1999M11","Muriate of Potash (50% K)",208
"1476","1999M12","Muriate of Potash (50% K)",208
"1477","2000M01","Muriate of Potash (50% K)",215
"1478","2000M02","Muriate of Potash (50% K)",216
"1479","2000M03","Muriate of Potash (50% K)",218
"1480","2000M04","Muriate of Potash (50% K)",218
"1481","2000M05","Muriate of Potash (50% K)",217
"1482","2000M06","Muriate of Potash (50% K)",218
"1483","2000M07","Muriate of Potash (50% K)",218
"1484","2000M08","Muriate of Potash (50% K)",218
"1485","2000M09","Muriate of Potash (50% K)",218
"1486","2000M10","Muriate of Potash (50% K)",220
"1487","2000M11","Muriate of Potash (50% K)",218
"1488","2000M12","Muriate of Potash (50% K)",218
"1489","2001M01","Muriate of Potash (50% K)",223
"1490","2001M02","Muriate of Potash (50% K)",228
"1491","2001M03","Muriate of Potash (50% K)",225
"1492","2001M04","Muriate of Potash (50% K)",227
"1493","2001M05","Muriate of Potash (50% K)",225
"1494","2001M06","Muriate of Potash (50% K)",222
"1495","2001M07","Muriate of Potash (50% K)",222
"1496","2001M08","Muriate of Potash (50% K)",223
"1497","2001M09","Muriate of Potash (50% K)",223
"1498","2001M10","Muriate of Potash (50% K)",222
"1499","2001M11","Muriate of Potash (50% K)",222
"1500","2001M12","Muriate of Potash (50% K)",222
"1501","2002M01","Muriate of Potash (50% K)",222
"1502","2002M02","Muriate of Potash (50% K)",223
"1503","2002M03","Muriate of Potash (50% K)",223
"1504","2002M04","Muriate of Potash (50% K)",222
"1505","2002M05","Muriate of Potash (50% K)",222
"1506","2002M06","Muriate of Potash (50% K)",222
"1507","2002M07","Muriate of Potash (50% K)",221
"1508","2002M08","Muriate of Potash (50% K)",221
"1509","2002M09","Muriate of Potash (50% K)",221
"1510","2002M10","Muriate of Potash (50% K)",219
"1511","2002M11","Muriate of Potash (50% K)",221
"1512","2002M12","Muriate of Potash (50% K)",218
"1513","2003M01","Muriate of Potash (50% K)",226
"1514","2003M02","Muriate of Potash (50% K)",234
"1515","2003M03","Muriate of Potash (50% K)",234
"1516","2003M04","Muriate of Potash (50% K)",234
"1517","2003M05","Muriate of Potash (50% K)",234
"1518","2003M06","Muriate of Potash (50% K)",234
"1519","2003M07","Muriate of Potash (50% K)",233
"1520","2003M08","Muriate of Potash (50% K)",233
"1521","2003M09","Muriate of Potash (50% K)",233
"1522","2003M10","Muriate of Potash (50% K)",233
"1523","2003M11","Muriate of Potash (50% K)",229
"1524","2003M12","Muriate of Potash (50% K)",234
"1525","2004M01","Muriate of Potash (50% K)",235
"1526","2004M02","Muriate of Potash (50% K)",232
"1527","2004M03","Muriate of Potash (50% K)",232
"1528","2004M04","Muriate of Potash (50% K)",231
"1529","2004M05","Muriate of Potash (50% K)",228
"1530","2004M06","Muriate of Potash (50% K)",228
"1531","2004M07","Muriate of Potash (50% K)",230
"1532","2004M08","Muriate of Potash (50% K)",230
"1533","2004M09","Muriate of Potash (50% K)",232
"1534","2004M10","Muriate of Potash (50% K)",234
"1535","2004M11","Muriate of Potash (50% K)",234
"1536","2004M12","Muriate of Potash (50% K)",234
"1537","2005M01","Muriate of Potash (50% K)",233
"1538","2005M02","Muriate of Potash (50% K)",229
"1539","2005M03","Muriate of Potash (50% K)",230
"1540","2005M04","Muriate of Potash (50% K)",227
"1541","2005M05","Muriate of Potash (50% K)",229
"1542","2005M06","Muriate of Potash (50% K)",229
"1543","2005M07","Muriate of Potash (50% K)",229
"1544","2005M08","Muriate of Potash (50% K)",230
"1545","2005M09","Muriate of Potash (50% K)",230
"1546","2005M10","Muriate of Potash (50% K)",231
"1547","2005M11","Muriate of Potash (50% K)",231
"1548","2005M12","Muriate of Potash (50% K)",233
"1549","2006M01","Muriate of Potash (50% K)",241
"1550","2006M02","Muriate of Potash (50% K)",248
"1551","2006M03","Muriate of Potash (50% K)",251
"1552","2006M04","Muriate of Potash (50% K)",251
"1553","2006M05","Muriate of Potash (50% K)",251
"1554","2006M06","Muriate of Potash (50% K)",251
"1555","2006M07","Muriate of Potash (50% K)",251
"1556","2006M08","Muriate of Potash (50% K)",251
"1557","2006M09","Muriate of Potash (50% K)",251
"1558","2006M10","Muriate of Potash (50% K)",251
"1559","2006M11","Muriate of Potash (50% K)",252
"1560","2006M12","Muriate of Potash (50% K)",251
"1561","2007M01","Muriate of Potash (50% K)",252
"1562","2007M02","Muriate of Potash (50% K)",255
