"","Statistic","Liveweight","Month","value"
"1","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M01",23.24
"2","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M01",1.02
"3","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M01",27.93
"4","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M01",0.88
"5","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M01",31.87
"6","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M01",0.81
"7","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M01",34.91
"8","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M01",0.71
"9","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M02",22.2
"10","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M02",1
"11","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M02",28.62
"12","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M02",0.9
"13","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M02",33.46
"14","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M02",0.84
"15","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M02",36.31
"16","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M02",0.75
"17","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M03",23.38
"18","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M03",1
"19","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M03",28.11
"20","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M03",0.89
"21","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M03",33.13
"22","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M03",0.84
"23","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M03",35.54
"24","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M03",0.74
"25","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M04",21.84
"26","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M04",0.99
"27","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M04",27.5
"28","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M04",0.88
"29","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M04",32.12
"30","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M04",0.81
"31","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M04",35.79
"32","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M04",0.74
"33","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M05",22.23
"34","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M05",0.93
"35","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M05",27.9
"36","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M05",0.89
"37","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M05",32.31
"38","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M05",0.81
"39","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M05",36.04
"40","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M05",0.76
"41","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M06",20.58
"42","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M06",0.89
"43","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M06",26.26
"44","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M06",0.83
"45","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M06",31.13
"46","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M06",0.8
"47","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M06",33.7
"48","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M06",0.71
"49","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M07",18.58
"50","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M07",0.81
"51","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M07",24.99
"52","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M07",0.8
"53","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M07",31.48
"54","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M07",0.79
"55","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M07",34.75
"56","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M07",0.72
"57","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M08",20.75
"58","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M08",0.88
"59","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M08",25.95
"60","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M08",0.83
"61","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M08",31.48
"62","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M08",0.8
"63","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M08",35.76
"64","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M08",0.74
"65","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M09",20.16
"66","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M09",0.89
"67","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M09",25.86
"68","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M09",0.81
"69","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M09",31.05
"70","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M09",0.79
"71","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M09",34.41
"72","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M09",0.71
"73","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M10",18.84
"74","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M10",0.88
"75","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M10",25.34
"76","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M10",0.8
"77","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M10",30.92
"78","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M10",0.77
"79","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M10",34.07
"80","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M10",0.71
"81","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M11",20.3
"82","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M11",0.86
"83","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M11",27.38
"84","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M11",0.85
"85","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M11",32.76
"86","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M11",0.83
"87","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M11",34.54
"88","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M11",0.71
"89","Pig Price per Head (Euro)","Pigs 15-24 kg","1976M12",20.96
"90","Pig Price per Kg (Euro)","Pigs 15-24 kg","1976M12",0.9
"91","Pig Price per Head (Euro)","Pigs 25-34 kg","1976M12",28.38
"92","Pig Price per Kg (Euro)","Pigs 25-34 kg","1976M12",0.88
"93","Pig Price per Head (Euro)","Pigs 35-44 kg","1976M12",32.9
"94","Pig Price per Kg (Euro)","Pigs 35-44 kg","1976M12",0.83
"95","Pig Price per Head (Euro)","Pigs 45-54 kg","1976M12",36.82
"96","Pig Price per Kg (Euro)","Pigs 45-54 kg","1976M12",0.76
"97","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M01",22.22
"98","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M01",0.91
"99","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M01",28.04
"100","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M01",0.88
"101","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M01",32.39
"102","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M01",0.83
"103","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M01",36.42
"104","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M01",0.75
"105","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M02",23.03
"106","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M02",0.98
"107","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M02",30.49
"108","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M02",0.95
"109","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M02",33.81
"110","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M02",0.85
"111","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M02",37.46
"112","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M02",0.77
"113","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M03",25.89
"114","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M03",1.09
"115","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M03",32.52
"116","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M03",1.02
"117","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M03",38.26
"118","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M03",0.95
"119","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M03",40.78
"120","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M03",0.85
"121","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M04",27.9
"122","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M04",1.17
"123","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M04",34.45
"124","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M04",1.08
"125","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M04",38.79
"126","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M04",0.98
"127","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M04",42.35
"128","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M04",0.89
"129","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M05",26.64
"130","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M05",1.22
"131","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M05",34.36
"132","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M05",1.14
"133","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M05",40.02
"134","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M05",1.04
"135","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M05",43.98
"136","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M05",0.93
"137","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M06",27.1
"138","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M06",1.24
"139","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M06",37.61
"140","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M06",1.23
"141","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M06",42.63
"142","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M06",1.1
"143","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M06",45.9
"144","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M06",0.97
"145","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M07",27.52
"146","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M07",1.26
"147","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M07",36.52
"148","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M07",1.18
"149","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M07",43.65
"150","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M07",1.1
"151","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M07",46.59
"152","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M07",0.99
"153","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M08",28.89
"154","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M08",1.35
"155","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M08",38.45
"156","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M08",1.26
"157","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M08",43.31
"158","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M08",1.13
"159","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M08",47.37
"160","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M08",1
"161","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M09",26.93
"162","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M09",1.24
"163","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M09",36.63
"164","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M09",1.21
"165","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M09",42.97
"166","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M09",1.12
"167","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M09",46.61
"168","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M09",0.99
"169","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M10",28.16
"170","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M10",1.31
"171","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M10",36.57
"172","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M10",1.19
"173","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M10",42.88
"174","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M10",1.12
"175","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M10",46.66
"176","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M10",0.99
"177","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M11",24.15
"178","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M11",1.09
"179","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M11",33.75
"180","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M11",1.08
"181","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M11",39.5
"182","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M11",1.03
"183","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M11",44.36
"184","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M11",0.93
"185","Pig Price per Head (Euro)","Pigs 15-24 kg","1977M12",26.35
"186","Pig Price per Kg (Euro)","Pigs 15-24 kg","1977M12",1.19
"187","Pig Price per Head (Euro)","Pigs 25-34 kg","1977M12",35.71
"188","Pig Price per Kg (Euro)","Pigs 25-34 kg","1977M12",1.17
"189","Pig Price per Head (Euro)","Pigs 35-44 kg","1977M12",41.76
"190","Pig Price per Kg (Euro)","Pigs 35-44 kg","1977M12",1.08
"191","Pig Price per Head (Euro)","Pigs 45-54 kg","1977M12",45.14
"192","Pig Price per Kg (Euro)","Pigs 45-54 kg","1977M12",0.97
"193","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M01",25.29
"194","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M01",1.19
"195","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M01",35.72
"196","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M01",1.16
"197","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M01",41.93
"198","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M01",1.07
"199","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M01",45.85
"200","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M01",0.95
"201","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M02",27.73
"202","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M02",1.24
"203","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M02",36.4
"204","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M02",1.18
"205","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M02",42.27
"206","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M02",1.12
"207","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M02",47.06
"208","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M02",0.99
"209","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M03",28.34
"210","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M03",1.3
"211","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M03",38.49
"212","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M03",1.26
"213","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M03",44.78
"214","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M03",1.16
"215","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M03",47.56
"216","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M03",1
"217","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M04",28.45
"218","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M04",1.3
"219","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M04",38.02
"220","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M04",1.22
"221","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M04",43.81
"222","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M04",1.16
"223","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M04",47.96
"224","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M04",1.03
"225","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M05",27.26
"226","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M05",1.26
"227","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M05",37.2
"228","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M05",1.22
"229","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M05",43.15
"230","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M05",1.12
"231","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M05",47.67
"232","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M05",1
"233","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M06",28.48
"234","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M06",1.27
"235","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M06",37.47
"236","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M06",1.23
"237","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M06",42.59
"238","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M06",1.12
"239","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M06",47.25
"240","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M06",1.02
"241","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M07",25.84
"242","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M07",1.22
"243","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M07",35.22
"244","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M07",1.16
"245","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M07",41.01
"246","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M07",1.08
"247","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M07",45.58
"248","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M07",0.97
"249","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M08",26.37
"250","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M08",1.17
"251","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M08",34.32
"252","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M08",1.12
"253","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M08",40.54
"254","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M08",1.05
"255","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M08",45.04
"256","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M08",0.95
"257","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M09",24.14
"258","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M09",1.09
"259","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M09",32.25
"260","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M09",1.05
"261","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M09",37.95
"262","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M09",0.99
"263","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M09",44.45
"264","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M09",0.93
"265","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M10",23.46
"266","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M10",1.07
"267","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M10",31.79
"268","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M10",1.03
"269","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M10",37.84
"270","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M10",0.98
"271","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M10",43.55
"272","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M10",0.94
"273","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M11",23.69
"274","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M11",1.03
"275","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M11",30.93
"276","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M11",1
"277","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M11",37.19
"278","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M11",0.97
"279","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M11",43.81
"280","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M11",0.9
"281","Pig Price per Head (Euro)","Pigs 15-24 kg","1978M12",23.74
"282","Pig Price per Kg (Euro)","Pigs 15-24 kg","1978M12",1.05
"283","Pig Price per Head (Euro)","Pigs 25-34 kg","1978M12",31.11
"284","Pig Price per Kg (Euro)","Pigs 25-34 kg","1978M12",1
"285","Pig Price per Head (Euro)","Pigs 35-44 kg","1978M12",37.46
"286","Pig Price per Kg (Euro)","Pigs 35-44 kg","1978M12",0.98
"287","Pig Price per Head (Euro)","Pigs 45-54 kg","1978M12",42.5
"288","Pig Price per Kg (Euro)","Pigs 45-54 kg","1978M12",0.9
"289","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M01",23.52
"290","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M01",1.04
"291","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M01",33.08
"292","Pig Price per Kg (Euro)","Pigs 25-34 kg","1979M01",1.07
"293","Pig Price per Head (Euro)","Pigs 35-44 kg","1979M01",39.64
"294","Pig Price per Kg (Euro)","Pigs 35-44 kg","1979M01",1.02
"295","Pig Price per Head (Euro)","Pigs 45-54 kg","1979M01",43.86
"296","Pig Price per Kg (Euro)","Pigs 45-54 kg","1979M01",0.91
"297","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M02",24.39
"298","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M02",1.08
"299","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M02",33.37
"300","Pig Price per Kg (Euro)","Pigs 25-34 kg","1979M02",1.08
"301","Pig Price per Head (Euro)","Pigs 35-44 kg","1979M02",39.57
"302","Pig Price per Kg (Euro)","Pigs 35-44 kg","1979M02",1.02
"303","Pig Price per Head (Euro)","Pigs 45-54 kg","1979M02",44.33
"304","Pig Price per Kg (Euro)","Pigs 45-54 kg","1979M02",0.93
"305","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M03",26.16
"306","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M03",1.16
"307","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M03",34.78
"308","Pig Price per Kg (Euro)","Pigs 25-34 kg","1979M03",1.13
"309","Pig Price per Head (Euro)","Pigs 35-44 kg","1979M03",40.94
"310","Pig Price per Kg (Euro)","Pigs 35-44 kg","1979M03",1.07
"311","Pig Price per Head (Euro)","Pigs 45-54 kg","1979M03",45.44
"312","Pig Price per Kg (Euro)","Pigs 45-54 kg","1979M03",0.95
"313","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M04",26.44
"314","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M04",1.21
"315","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M04",36.02
"316","Pig Price per Kg (Euro)","Pigs 25-34 kg","1979M04",1.17
"317","Pig Price per Head (Euro)","Pigs 35-44 kg","1979M04",41.48
"318","Pig Price per Kg (Euro)","Pigs 35-44 kg","1979M04",1.08
"319","Pig Price per Head (Euro)","Pigs 45-54 kg","1979M04",44.67
"320","Pig Price per Kg (Euro)","Pigs 45-54 kg","1979M04",0.94
"321","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M05",26.04
"322","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M05",1.19
"323","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M05",35.21
"324","Pig Price per Kg (Euro)","Pigs 25-34 kg","1979M05",1.13
"325","Pig Price per Head (Euro)","Pigs 35-44 kg","1979M05",40.35
"326","Pig Price per Kg (Euro)","Pigs 35-44 kg","1979M05",1.05
"327","Pig Price per Head (Euro)","Pigs 45-54 kg","1979M05",45.44
"328","Pig Price per Kg (Euro)","Pigs 45-54 kg","1979M05",0.94
"329","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M06",24.44
"330","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M06",1.1
"331","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M06",31.38
"332","Pig Price per Kg (Euro)","Pigs 25-34 kg","1979M06",1.03
"333","Pig Price per Head (Euro)","Pigs 35-44 kg","1979M06",37.89
"334","Pig Price per Kg (Euro)","Pigs 35-44 kg","1979M06",0.98
"335","Pig Price per Head (Euro)","Pigs 45-54 kg","1979M06",42.13
"336","Pig Price per Kg (Euro)","Pigs 45-54 kg","1979M06",0.89
"337","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M07",23.03
"338","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M07",1.03
"339","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M07",31.02
"340","Pig Price per Kg (Euro)","Pigs 25-34 kg","1979M07",1
"341","Pig Price per Head (Euro)","Pigs 35-44 kg","1979M07",37.19
"342","Pig Price per Kg (Euro)","Pigs 35-44 kg","1979M07",0.95
"343","Pig Price per Head (Euro)","Pigs 45-54 kg","1979M07",41.43
"344","Pig Price per Kg (Euro)","Pigs 45-54 kg","1979M07",0.88
"345","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M08",23.99
"346","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M08",1.12
"347","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M08",30.99
"348","Pig Price per Kg (Euro)","Pigs 25-34 kg","1979M08",0.99
"349","Pig Price per Head (Euro)","Pigs 35-44 kg","1979M08",36.84
"350","Pig Price per Kg (Euro)","Pigs 35-44 kg","1979M08",0.95
"351","Pig Price per Head (Euro)","Pigs 45-54 kg","1979M08",43.41
"352","Pig Price per Kg (Euro)","Pigs 45-54 kg","1979M08",0.91
"353","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M09",23.73
"354","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M09",1.09
"355","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M09",30.18
"356","Pig Price per Kg (Euro)","Pigs 25-34 kg","1979M09",0.99
"357","Pig Price per Head (Euro)","Pigs 35-44 kg","1979M09",36.95
"358","Pig Price per Kg (Euro)","Pigs 35-44 kg","1979M09",0.95
"359","Pig Price per Head (Euro)","Pigs 45-54 kg","1979M09",42.4
"360","Pig Price per Kg (Euro)","Pigs 45-54 kg","1979M09",0.9
"361","Pig Price per Head (Euro)","Pigs 15-24 kg","1979M10",22.23
"362","Pig Price per Kg (Euro)","Pigs 15-24 kg","1979M10",0.98
"363","Pig Price per Head (Euro)","Pigs 25-34 kg","1979M10",28.96
