"","Product","Month","value"
"46","Milk (per litre), actual butterfat","1977M04",0.121
"47","Milk (per litre), 3.7% butterfat","1977M04",0.128
"48","Hens eggs (10 dozen)","1977M04",4.95
"49","Milk (per litre), actual butterfat","1977M05",0.126
"50","Milk (per litre), 3.7% butterfat","1977M05",0.135
"51","Hens eggs (10 dozen)","1977M05",4.57
"52","Milk (per litre), actual butterfat","1977M06",0.128
"53","Milk (per litre), 3.7% butterfat","1977M06",0.136
"54","Hens eggs (10 dozen)","1977M06",4.19
"55","Milk (per litre), actual butterfat","1977M07",0.131
"56","Milk (per litre), 3.7% butterfat","1977M07",0.137
"57","Hens eggs (10 dozen)","1977M07",4.83
"58","Milk (per litre), actual butterfat","1977M08",0.132
"59","Milk (per litre), 3.7% butterfat","1977M08",0.136
"60","Hens eggs (10 dozen)","1977M08",4.95
"61","Milk (per litre), actual butterfat","1977M09",0.138
"62","Milk (per litre), 3.7% butterfat","1977M09",0.135
"63","Hens eggs (10 dozen)","1977M09",4.95
"64","Milk (per litre), actual butterfat","1977M10",0.145
"65","Milk (per litre), 3.7% butterfat","1977M10",0.136
"66","Hens eggs (10 dozen)","1977M10",4.7
"67","Milk (per litre), actual butterfat","1977M11",0.155
"68","Milk (per litre), 3.7% butterfat","1977M11",0.137
"69","Hens eggs (10 dozen)","1977M11",4.83
"70","Milk (per litre), actual butterfat","1977M12",0.15
"71","Milk (per litre), 3.7% butterfat","1977M12",0.14
"72","Hens eggs (10 dozen)","1977M12",5.46
"73","Milk (per litre), actual butterfat","1978M01",0.143
"74","Milk (per litre), 3.7% butterfat","1978M01",0.141
"75","Hens eggs (10 dozen)","1978M01",5.33
"76","Milk (per litre), actual butterfat","1978M02",0.136
"77","Milk (per litre), 3.7% butterfat","1978M02",0.137
"78","Hens eggs (10 dozen)","1978M02",5.08
"79","Milk (per litre), actual butterfat","1978M03",0.131
"80","Milk (per litre), 3.7% butterfat","1978M03",0.135
"81","Hens eggs (10 dozen)","1978M03",5.33
"82","Milk (per litre), actual butterfat","1978M04",0.128
"83","Milk (per litre), 3.7% butterfat","1978M04",0.136
"84","Hens eggs (10 dozen)","1978M04",4.95
"85","Milk (per litre), actual butterfat","1978M05",0.135
"86","Milk (per litre), 3.7% butterfat","1978M05",0.143
"87","Hens eggs (10 dozen)","1978M05",4.57
"88","Milk (per litre), actual butterfat","1978M06",0.14
"89","Milk (per litre), 3.7% butterfat","1978M06",0.147
"90","Hens eggs (10 dozen)","1978M06",4.06
"91","Milk (per litre), actual butterfat","1978M07",0.141
"92","Milk (per litre), 3.7% butterfat","1978M07",0.147
"93","Hens eggs (10 dozen)","1978M07",4.06
"94","Milk (per litre), actual butterfat","1978M08",0.145
"95","Milk (per litre), 3.7% butterfat","1978M08",0.149
"96","Hens eggs (10 dozen)","1978M08",4.19
"97","Milk (per litre), actual butterfat","1978M09",0.15
"98","Milk (per litre), 3.7% butterfat","1978M09",0.15
"99","Hens eggs (10 dozen)","1978M09",4.19
"100","Milk (per litre), actual butterfat","1978M10",0.156
"101","Milk (per litre), 3.7% butterfat","1978M10",0.147
"102","Hens eggs (10 dozen)","1978M10",4.19
"103","Milk (per litre), actual butterfat","1978M11",0.166
"104","Milk (per litre), 3.7% butterfat","1978M11",0.15
"105","Hens eggs (10 dozen)","1978M11",4.44
"106","Milk (per litre), actual butterfat","1978M12",0.169
"107","Milk (per litre), 3.7% butterfat","1978M12",0.155
"108","Hens eggs (10 dozen)","1978M12",4.83
"109","Milk (per litre), actual butterfat","1979M01",0.157
"110","Milk (per litre), 3.7% butterfat","1979M01",0.155
"111","Hens eggs (10 dozen)","1979M01",5.33
"112","Milk (per litre), actual butterfat","1979M02",0.151
"113","Milk (per litre), 3.7% butterfat","1979M02",0.152
"114","Hens eggs (10 dozen)","1979M02",5.59
"115","Milk (per litre), actual butterfat","1979M03",0.147
"116","Milk (per litre), 3.7% butterfat","1979M03",0.152
"117","Hens eggs (10 dozen)","1979M03",5.33
"118","Milk (per litre), actual butterfat","1979M04",0.142
"119","Milk (per litre), 3.7% butterfat","1979M04",0.15
"120","Hens eggs (10 dozen)","1979M04",5.21
"121","Milk (per litre), actual butterfat","1979M05",0.142
"122","Milk (per litre), 3.7% butterfat","1979M05",0.152
"123","Hens eggs (10 dozen)","1979M05",5.21
"124","Milk (per litre), actual butterfat","1979M06",0.142
"125","Milk (per litre), 3.7% butterfat","1979M06",0.151
"126","Hens eggs (10 dozen)","1979M06",5.08
"127","Milk (per litre), actual butterfat","1979M07",0.143
"128","Milk (per litre), 3.7% butterfat","1979M07",0.151
"129","Hens eggs (10 dozen)","1979M07",5.33
"130","Milk (per litre), actual butterfat","1979M08",0.147
"131","Milk (per litre), 3.7% butterfat","1979M08",0.15
"132","Hens eggs (10 dozen)","1979M08",5.84
"133","Milk (per litre), actual butterfat","1979M09",0.151
"134","Milk (per litre), 3.7% butterfat","1979M09",0.15
"135","Hens eggs (10 dozen)","1979M09",6.22
"136","Milk (per litre), actual butterfat","1979M10",0.159
"137","Milk (per litre), 3.7% butterfat","1979M10",0.15
"138","Hens eggs (10 dozen)","1979M10",6.09
"139","Milk (per litre), actual butterfat","1979M11",0.168
"140","Milk (per litre), 3.7% butterfat","1979M11",0.151
"141","Hens eggs (10 dozen)","1979M11",5.84
"142","Milk (per litre), actual butterfat","1979M12",0.161
"143","Milk (per litre), 3.7% butterfat","1979M12",0.152
"144","Hens eggs (10 dozen)","1979M12",6.22
"145","Milk (per litre), actual butterfat","1980M01",0.152
"146","Milk (per litre), 3.7% butterfat","1980M01",0.151
"147","Hens eggs (10 dozen)","1980M01",6.26
"148","Milk (per litre), actual butterfat","1980M02",0.147
"149","Milk (per litre), 3.7% butterfat","1980M02",0.152
"150","Hens eggs (10 dozen)","1980M02",6.18
"151","Milk (per litre), actual butterfat","1980M03",0.14
"152","Milk (per litre), 3.7% butterfat","1980M03",0.147
"153","Hens eggs (10 dozen)","1980M03",6.32
"154","Milk (per litre), actual butterfat","1980M04",0.138
"155","Milk (per litre), 3.7% butterfat","1980M04",0.149
"156","Hens eggs (10 dozen)","1980M04",6.22
"157","Milk (per litre), actual butterfat","1980M05",0.138
"158","Milk (per litre), 3.7% butterfat","1980M05",0.149
"159","Hens eggs (10 dozen)","1980M05",6.27
"160","Milk (per litre), actual butterfat","1980M06",0.14
"161","Milk (per litre), 3.7% butterfat","1980M06",0.147
"162","Hens eggs (10 dozen)","1980M06",6.04
"163","Milk (per litre), actual butterfat","1980M07",0.142
"164","Milk (per litre), 3.7% butterfat","1980M07",0.147
"165","Hens eggs (10 dozen)","1980M07",5.99
"166","Milk (per litre), actual butterfat","1980M08",0.145
"167","Milk (per litre), 3.7% butterfat","1980M08",0.147
"168","Hens eggs (10 dozen)","1980M08",6.27
"169","Milk (per litre), actual butterfat","1980M09",0.151
"170","Milk (per litre), 3.7% butterfat","1980M09",0.15
"171","Hens eggs (10 dozen)","1980M09",6.15
"172","Milk (per litre), actual butterfat","1980M10",0.161
"173","Milk (per litre), 3.7% butterfat","1980M10",0.15
"174","Hens eggs (10 dozen)","1980M10",6.46
"175","Milk (per litre), actual butterfat","1980M11",0.169
"176","Milk (per litre), 3.7% butterfat","1980M11",0.154
"177","Hens eggs (10 dozen)","1980M11",6.65
"178","Milk (per litre), actual butterfat","1980M12",0.166
"179","Milk (per litre), 3.7% butterfat","1980M12",0.159
"180","Hens eggs (10 dozen)","1980M12",7.03
"181","Milk (per litre), actual butterfat","1981M01",0.165
"182","Milk (per litre), 3.7% butterfat","1981M01",0.165
"183","Hens eggs (10 dozen)","1981M01",7.07
"184","Milk (per litre), actual butterfat","1981M02",0.155
"185","Milk (per litre), 3.7% butterfat","1981M02",0.161
"186","Hens eggs (10 dozen)","1981M02",7.07
"187","Milk (per litre), actual butterfat","1981M03",0.149
"188","Milk (per litre), 3.7% butterfat","1981M03",0.156
"189","Hens eggs (10 dozen)","1981M03",7.36
"190","Milk (per litre), actual butterfat","1981M04",0.159
"191","Milk (per litre), 3.7% butterfat","1981M04",0.169
"192","Hens eggs (10 dozen)","1981M04",7.4
"193","Milk (per litre), actual butterfat","1981M05",0.16
"194","Milk (per litre), 3.7% butterfat","1981M05",0.169
"195","Hens eggs (10 dozen)","1981M05",7.39
"196","Milk (per litre), actual butterfat","1981M06",0.161
"197","Milk (per litre), 3.7% butterfat","1981M06",0.17
"198","Hens eggs (10 dozen)","1981M06",7.48
"199","Milk (per litre), actual butterfat","1981M07",0.163
"200","Milk (per litre), 3.7% butterfat","1981M07",0.17
"201","Hens eggs (10 dozen)","1981M07",7.21
"202","Milk (per litre), actual butterfat","1981M08",0.165
"203","Milk (per litre), 3.7% butterfat","1981M08",0.17
"204","Hens eggs (10 dozen)","1981M08",7.12
"205","Milk (per litre), actual butterfat","1981M09",0.178
"206","Milk (per litre), 3.7% butterfat","1981M09",0.174
"207","Hens eggs (10 dozen)","1981M09",7.49
"208","Milk (per litre), actual butterfat","1981M10",0.188
"209","Milk (per litre), 3.7% butterfat","1981M10",0.175
"210","Hens eggs (10 dozen)","1981M10",7.64
"211","Milk (per litre), actual butterfat","1981M11",0.202
"212","Milk (per litre), 3.7% butterfat","1981M11",0.182
"213","Hens eggs (10 dozen)","1981M11",8.13
"214","Milk (per litre), actual butterfat","1981M12",0.196
"215","Milk (per litre), 3.7% butterfat","1981M12",0.187
"216","Hens eggs (10 dozen)","1981M12",8.61
"217","Milk (per litre), actual butterfat","1982M01",0.196
"218","Milk (per litre), 3.7% butterfat","1982M01",0.197
"219","Hens eggs (10 dozen)","1982M01",9.21
"220","Milk (per litre), actual butterfat","1982M02",0.18
"221","Milk (per litre), 3.7% butterfat","1982M02",0.188
"222","Hens eggs (10 dozen)","1982M02",9.22
"223","Milk (per litre), actual butterfat","1982M03",0.166
"224","Milk (per litre), 3.7% butterfat","1982M03",0.175
"225","Hens eggs (10 dozen)","1982M03",8.08
"226","Milk (per litre), actual butterfat","1982M04",0.161
"227","Milk (per litre), 3.7% butterfat","1982M04",0.173
"228","Hens eggs (10 dozen)","1982M04",7.09
"229","Milk (per litre), actual butterfat","1982M05",0.168
"230","Milk (per litre), 3.7% butterfat","1982M05",0.179
"231","Hens eggs (10 dozen)","1982M05",6.41
"232","Milk (per litre), actual butterfat","1982M06",0.179
"233","Milk (per litre), 3.7% butterfat","1982M06",0.188
"234","Hens eggs (10 dozen)","1982M06",5.75
"235","Milk (per litre), actual butterfat","1982M07",0.183
"236","Milk (per litre), 3.7% butterfat","1982M07",0.192
"237","Hens eggs (10 dozen)","1982M07",5.74
"238","Milk (per litre), actual butterfat","1982M08",0.187
"239","Milk (per litre), 3.7% butterfat","1982M08",0.192
"240","Hens eggs (10 dozen)","1982M08",5.71
"241","Milk (per litre), actual butterfat","1982M09",0.196
"242","Milk (per litre), 3.7% butterfat","1982M09",0.193
"243","Hens eggs (10 dozen)","1982M09",6.16
"244","Milk (per litre), actual butterfat","1982M10",0.206
"245","Milk (per litre), 3.7% butterfat","1982M10",0.196
"246","Hens eggs (10 dozen)","1982M10",6.23
"247","Milk (per litre), actual butterfat","1982M11",0.215
"248","Milk (per litre), 3.7% butterfat","1982M11",0.196
"249","Hens eggs (10 dozen)","1982M11",6.21
"250","Milk (per litre), actual butterfat","1982M12",0.21
"251","Milk (per litre), 3.7% butterfat","1982M12",0.201
"252","Hens eggs (10 dozen)","1982M12",6.2
"253","Milk (per litre), actual butterfat","1983M01",0.217
"254","Milk (per litre), 3.7% butterfat","1983M01",0.217
"255","Hens eggs (10 dozen)","1983M01",6.15
"256","Milk (per litre), actual butterfat","1983M02",0.204
"257","Milk (per litre), 3.7% butterfat","1983M02",0.21
"258","Hens eggs (10 dozen)","1983M02",5.37
"259","Milk (per litre), actual butterfat","1983M03",0.185
"260","Milk (per litre), 3.7% butterfat","1983M03",0.196
"261","Hens eggs (10 dozen)","1983M03",5.52
"262","Milk (per litre), actual butterfat","1983M04",0.183
"263","Milk (per litre), 3.7% butterfat","1983M04",0.193
"264","Hens eggs (10 dozen)","1983M04",5.66
"265","Milk (per litre), actual butterfat","1983M05",0.183
"266","Milk (per litre), 3.7% butterfat","1983M05",0.194
"267","Hens eggs (10 dozen)","1983M05",5.74
"268","Milk (per litre), actual butterfat","1983M06",0.196
"269","Milk (per litre), 3.7% butterfat","1983M06",0.206
"270","Hens eggs (10 dozen)","1983M06",5.9
"271","Milk (per litre), actual butterfat","1983M07",0.196
"272","Milk (per litre), 3.7% butterfat","1983M07",0.206
"273","Hens eggs (10 dozen)","1983M07",6.26
"274","Milk (per litre), actual butterfat","1983M08",0.201
"275","Milk (per litre), 3.7% butterfat","1983M08",0.207
"276","Hens eggs (10 dozen)","1983M08",7.55
"277","Milk (per litre), actual butterfat","1983M09",0.212
"278","Milk (per litre), 3.7% butterfat","1983M09",0.207
"279","Hens eggs (10 dozen)","1983M09",8.41
"280","Milk (per litre), actual butterfat","1983M10",0.222
"281","Milk (per litre), 3.7% butterfat","1983M10",0.207
"282","Hens eggs (10 dozen)","1983M10",8.18
"283","Milk (per litre), actual butterfat","1983M11",0.234
"284","Milk (per litre), 3.7% butterfat","1983M11",0.212
"285","Hens eggs (10 dozen)","1983M11",8.39
"286","Milk (per litre), actual butterfat","1983M12",0.225
"287","Milk (per litre), 3.7% butterfat","1983M12",0.215
"288","Hens eggs (10 dozen)","1983M12",8.9
"289","Milk (per litre), actual butterfat","1984M01",0.234
"290","Milk (per litre), 3.7% butterfat","1984M01",0.234
"291","Hens eggs (10 dozen)","1984M01",8.94
"292","Milk (per litre), actual butterfat","1984M02",0.216
"293","Milk (per litre), 3.7% butterfat","1984M02",0.221
"294","Hens eggs (10 dozen)","1984M02",8.96
"295","Milk (per litre), actual butterfat","1984M03",0.198
"296","Milk (per litre), 3.7% butterfat","1984M03",0.21
"297","Hens eggs (10 dozen)","1984M03",9.09
"298","Milk (per litre), actual butterfat","1984M04",0.19
"299","Milk (per litre), 3.7% butterfat","1984M04",0.201
"300","Hens eggs (10 dozen)","1984M04",9.51
"301","Milk (per litre), actual butterfat","1984M05",0.19
"302","Milk (per litre), 3.7% butterfat","1984M05",0.202
"303","Hens eggs (10 dozen)","1984M05",8.77
"304","Milk (per litre), actual butterfat","1984M06",0.193
"305","Milk (per litre), 3.7% butterfat","1984M06",0.201
"306","Hens eggs (10 dozen)","1984M06",7.47
"307","Milk (per litre), actual butterfat","1984M07",0.194
"308","Milk (per litre), 3.7% butterfat","1984M07",0.201
"309","Hens eggs (10 dozen)","1984M07",6.92
"310","Milk (per litre), actual butterfat","1984M08",0.198
"311","Milk (per litre), 3.7% butterfat","1984M08",0.199
"312","Hens eggs (10 dozen)","1984M08",6.86
"313","Milk (per litre), actual butterfat","1984M09",0.207
"314","Milk (per litre), 3.7% butterfat","1984M09",0.201
"315","Hens eggs (10 dozen)","1984M09",7.33
"316","Milk (per litre), actual butterfat","1984M10",0.217
"317","Milk (per litre), 3.7% butterfat","1984M10",0.202
"318","Hens eggs (10 dozen)","1984M10",7.14
"319","Milk (per litre), actual butterfat","1984M11",0.226
"320","Milk (per litre), 3.7% butterfat","1984M11",0.207
"321","Hens eggs (10 dozen)","1984M11",7.17
"322","Milk (per litre), actual butterfat","1984M12",0.217
"323","Milk (per litre), 3.7% butterfat","1984M12",0.207
"324","Hens eggs (10 dozen)","1984M12",7.38
"325","Milk (per litre), actual butterfat","1985M01",0.23
"326","Milk (per litre), 3.7% butterfat","1985M01",0.23
"327","Hens eggs (10 dozen)","1985M01",7.1
"328","Milk (per litre), actual butterfat","1985M02",0.215
"329","Milk (per litre), 3.7% butterfat","1985M02",0.218
"330","Hens eggs (10 dozen)","1985M02",6.93
"331","Milk (per litre), actual butterfat","1985M03",0.201
"332","Milk (per litre), 3.7% butterfat","1985M03",0.207
"333","Hens eggs (10 dozen)","1985M03",7.35
"334","Milk (per litre), actual butterfat","1985M04",0.197
"335","Milk (per litre), 3.7% butterfat","1985M04",0.206
"336","Hens eggs (10 dozen)","1985M04",7.36
"337","Milk (per litre), actual butterfat","1985M05",0.201
"338","Milk (per litre), 3.7% butterfat","1985M05",0.212
"339","Hens eggs (10 dozen)","1985M05",6.98
"340","Milk (per litre), actual butterfat","1985M06",0.206
"341","Milk (per litre), 3.7% butterfat","1985M06",0.216
"342","Hens eggs (10 dozen)","1985M06",6.79
"343","Milk (per litre), actual butterfat","1985M07",0.207
"344","Milk (per litre), 3.7% butterfat","1985M07",0.215
"345","Hens eggs (10 dozen)","1985M07",6.77
"346","Milk (per litre), actual butterfat","1985M08",0.211
"347","Milk (per litre), 3.7% butterfat","1985M08",0.213
"348","Hens eggs (10 dozen)","1985M08",6.98
"349","Milk (per litre), actual butterfat","1985M09",0.217
"350","Milk (per litre), 3.7% butterfat","1985M09",0.213
"351","Hens eggs (10 dozen)","1985M09",7.55
"352","Milk (per litre), actual butterfat","1985M10",0.221
"353","Milk (per litre), 3.7% butterfat","1985M10",0.21
"354","Hens eggs (10 dozen)","1985M10",7.14
"355","Milk (per litre), actual butterfat","1985M11",0.23
"356","Milk (per litre), 3.7% butterfat","1985M11",0.215
"357","Hens eggs (10 dozen)","1985M11",7.3
"358","Milk (per litre), actual butterfat","1985M12",0.221
"359","Milk (per litre), 3.7% butterfat","1985M12",0.22
"360","Hens eggs (10 dozen)","1985M12",7.44
"361","Milk (per litre), actual butterfat","1986M01",0.239
"362","Milk (per litre), 3.7% butterfat","1986M01",0.24
"363","Hens eggs (10 dozen)","1986M01",6.63
"364","Milk (per litre), actual butterfat","1986M02",0.225
"365","Milk (per litre), 3.7% butterfat","1986M02",0.23
"366","Hens eggs (10 dozen)","1986M02",6.22
"367","Milk (per litre), actual butterfat","1986M03",0.207
"368","Milk (per litre), 3.7% butterfat","1986M03",0.215
"369","Hens eggs (10 dozen)","1986M03",6.44
"370","Milk (per litre), actual butterfat","1986M04",0.204
"371","Milk (per litre), 3.7% butterfat","1986M04",0.215
"372","Hens eggs (10 dozen)","1986M04",5.97
"373","Milk (per litre), actual butterfat","1986M05",0.207
"374","Milk (per litre), 3.7% butterfat","1986M05",0.22
"375","Hens eggs (10 dozen)","1986M05",5.45
"376","Milk (per litre), actual butterfat","1986M06",0.208
"377","Milk (per litre), 3.7% butterfat","1986M06",0.218
"378","Hens eggs (10 dozen)","1986M06",5.19
"379","Milk (per litre), actual butterfat","1986M07",0.208
"380","Milk (per litre), 3.7% butterfat","1986M07",0.217
"381","Hens eggs (10 dozen)","1986M07",5.16
"382","Milk (per litre), actual butterfat","1986M08",0.215
"383","Milk (per litre), 3.7% butterfat","1986M08",0.218
"384","Hens eggs (10 dozen)","1986M08",5.47
"385","Milk (per litre), actual butterfat","1986M09",0.221
"386","Milk (per litre), 3.7% butterfat","1986M09",0.22
"387","Hens eggs (10 dozen)","1986M09",5.84
"388","Milk (per litre), actual butterfat","1986M10",0.234
"389","Milk (per litre), 3.7% butterfat","1986M10",0.223
"390","Hens eggs (10 dozen)","1986M10",5.55
"391","Milk (per litre), actual butterfat","1986M11",0.241
"392","Milk (per litre), 3.7% butterfat","1986M11",0.226
"393","Hens eggs (10 dozen)","1986M11",6.17
"394","Milk (per litre), actual butterfat","1986M12",0.232
"395","Milk (per litre), 3.7% butterfat","1986M12",0.23
"396","Hens eggs (10 dozen)","1986M12",6.77
"397","Milk (per litre), actual butterfat","1987M01",0.245
"398","Milk (per litre), 3.7% butterfat","1987M01",0.249
"399","Hens eggs (10 dozen)","1987M01",6.55
"400","Milk (per litre), actual butterfat","1987M02",0.231
"401","Milk (per litre), 3.7% butterfat","1987M02",0.239
"402","Hens eggs (10 dozen)","1987M02",6.58
"403","Milk (per litre), actual butterfat","1987M03",0.215
"404","Milk (per litre), 3.7% butterfat","1987M03",0.225
"405","Hens eggs (10 dozen)","1987M03",7.01
"406","Milk (per litre), actual butterfat","1987M04",0.213
"407","Milk (per litre), 3.7% butterfat","1987M04",0.225
"408","Hens eggs (10 dozen)","1987M04",7.34
"409","Milk (per litre), actual butterfat","1987M05",0.212
"410","Milk (per litre), 3.7% butterfat","1987M05",0.226
"411","Hens eggs (10 dozen)","1987M05",6.64
"412","Milk (per litre), actual butterfat","1987M06",0.213
"413","Milk (per litre), 3.7% butterfat","1987M06",0.225
"414","Hens eggs (10 dozen)","1987M06",6.12
"415","Milk (per litre), actual butterfat","1987M07",0.221
"416","Milk (per litre), 3.7% butterfat","1987M07",0.231
"417","Hens eggs (10 dozen)","1987M07",5.94
"418","Milk (per litre), actual butterfat","1987M08",0.223
"419","Milk (per litre), 3.7% butterfat","1987M08",0.23
"420","Hens eggs (10 dozen)","1987M08",6.22
"421","Milk (per litre), actual butterfat","1987M09",0.232
"422","Milk (per litre), 3.7% butterfat","1987M09",0.231
"423","Hens eggs (10 dozen)","1987M09",6.41
"424","Milk (per litre), actual butterfat","1987M10",0.241
"425","Milk (per litre), 3.7% butterfat","1987M10",0.23
"426","Hens eggs (10 dozen)","1987M10",6.07
"427","Milk (per litre), actual butterfat","1987M11",0.243
"428","Milk (per litre), 3.7% butterfat","1987M11",0.231
"429","Hens eggs (10 dozen)","1987M11",6.32
"430","Milk (per litre), actual butterfat","1987M12",0.236
"431","Milk (per litre), 3.7% butterfat","1987M12",0.234
"432","Hens eggs (10 dozen)","1987M12",6.6
"433","Milk (per litre), actual butterfat","1988M01",0.25
"434","Milk (per litre), 3.7% butterfat","1988M01",0.251
"435","Hens eggs (10 dozen)","1988M01",6.39
"436","Milk (per litre), actual butterfat","1988M02",0.24
"437","Milk (per litre), 3.7% butterfat","1988M02",0.245
"438","Hens eggs (10 dozen)","1988M02",6.21
"439","Milk (per litre), actual butterfat","1988M03",0.231
"440","Milk (per litre), 3.7% butterfat","1988M03",0.241
"441","Hens eggs (10 dozen)","1988M03",5.94
"442","Milk (per litre), actual butterfat","1988M04",0.234
"443","Milk (per litre), 3.7% butterfat","1988M04",0.246
"444","Hens eggs (10 dozen)","1988M04",5.68
"445","Milk (per litre), actual butterfat","1988M05",0.239
"446","Milk (per litre), 3.7% butterfat","1988M05",0.253
"447","Hens eggs (10 dozen)","1988M05",5.41
"448","Milk (per litre), actual butterfat","1988M06",0.243
"449","Milk (per litre), 3.7% butterfat","1988M06",0.255
"450","Hens eggs (10 dozen)","1988M06",5.08
"451","Milk (per litre), actual butterfat","1988M07",0.248
"452","Milk (per litre), 3.7% butterfat","1988M07",0.256
"453","Hens eggs (10 dozen)","1988M07",5.8
"454","Milk (per litre), actual butterfat","1988M08",0.255
"455","Milk (per litre), 3.7% butterfat","1988M08",0.26
"456","Hens eggs (10 dozen)","1988M08",6.16
"457","Milk (per litre), actual butterfat","1988M09",0.273
"458","Milk (per litre), 3.7% butterfat","1988M09",0.27
"459","Hens eggs (10 dozen)","1988M09",6.63
"460","Milk (per litre), actual butterfat","1988M10",0.282
"461","Milk (per litre), 3.7% butterfat","1988M10",0.268
"462","Hens eggs (10 dozen)","1988M10",6.63
"463","Milk (per litre), actual butterfat","1988M11",0.284
"464","Milk (per litre), 3.7% butterfat","1988M11",0.269
"465","Hens eggs (10 dozen)","1988M11",7.01
"466","Milk (per litre), actual butterfat","1988M12",0.276
"467","Milk (per litre), 3.7% butterfat","1988M12",0.272
"468","Hens eggs (10 dozen)","1988M12",6.87
"469","Milk (per litre), actual butterfat","1989M01",0.276
"470","Milk (per litre), 3.7% butterfat","1989M01",0.279
"471","Hens eggs (10 dozen)","1989M01",6.37
"472","Milk (per litre), actual butterfat","1989M02",0.269
"473","Milk (per litre), 3.7% butterfat","1989M02",0.278
"474","Hens eggs (10 dozen)","1989M02",6.32
"475","Milk (per litre), actual butterfat","1989M03",0.267
"476","Milk (per litre), 3.7% butterfat","1989M03",0.279
"477","Hens eggs (10 dozen)","1989M03",6.32
"478","Milk (per litre), actual butterfat","1989M04",0.272
"479","Milk (per litre), 3.7% butterfat","1989M04",0.284
"480","Hens eggs (10 dozen)","1989M04",6.63
"481","Milk (per litre), actual butterfat","1989M05",0.281
"482","Milk (per litre), 3.7% butterfat","1989M05",0.297
"483","Hens eggs (10 dozen)","1989M05",6.76
"484","Milk (per litre), actual butterfat","1989M06",0.281
"485","Milk (per litre), 3.7% butterfat","1989M06",0.295
"486","Hens eggs (10 dozen)","1989M06",6.79
"487","Milk (per litre), actual butterfat","1989M07",0.279
"488","Milk (per litre), 3.7% butterfat","1989M07",0.291
"489","Hens eggs (10 dozen)","1989M07",6.82
"490","Milk (per litre), actual butterfat","1989M08",0.286
"491","Milk (per litre), 3.7% butterfat","1989M08",0.292
"492","Hens eggs (10 dozen)","1989M08",7.26
"493","Milk (per litre), actual butterfat","1989M09",0.295
"494","Milk (per litre), 3.7% butterfat","1989M09",0.293
"495","Hens eggs (10 dozen)","1989M09",8.09
"496","Milk (per litre), actual butterfat","1989M10",0.306
"497","Milk (per litre), 3.7% butterfat","1989M10",0.293
"498","Hens eggs (10 dozen)","1989M10",7.96
"499","Milk (per litre), actual butterfat","1989M11",0.311
"500","Milk (per litre), 3.7% butterfat","1989M11",0.292
"501","Hens eggs (10 dozen)","1989M11",8.22
"502","Milk (per litre), actual butterfat","1989M12",0.303
"503","Milk (per litre), 3.7% butterfat","1989M12",0.296
"504","Hens eggs (10 dozen)","1989M12",8.38
"505","Milk (per litre), actual butterfat","1990M01",0.297
