"","Product","Month","value"
"1","Milk (per litre), actual butterfat","1976M01",0.099
"2","Milk (per litre), 3.7% butterfat","1976M01",0.098
"3","Hens eggs (10 dozen)","1976M01",3.68
"4","Milk (per litre), actual butterfat","1976M02",0.097
"5","Milk (per litre), 3.7% butterfat","1976M02",0.099
"6","Hens eggs (10 dozen)","1976M02",3.81
"7","Milk (per litre), actual butterfat","1976M03",0.094
"8","Milk (per litre), 3.7% butterfat","1976M03",0.098
"9","Hens eggs (10 dozen)","1976M03",4.19
"10","Milk (per litre), actual butterfat","1976M04",0.091
"11","Milk (per litre), 3.7% butterfat","1976M04",0.098
"12","Hens eggs (10 dozen)","1976M04",4.32
"13","Milk (per litre), actual butterfat","1976M05",0.091
"14","Milk (per litre), 3.7% butterfat","1976M05",0.098
"15","Hens eggs (10 dozen)","1976M05",4.06
"16","Milk (per litre), actual butterfat","1976M06",0.091
"17","Milk (per litre), 3.7% butterfat","1976M06",0.098
"18","Hens eggs (10 dozen)","1976M06",3.68
"19","Milk (per litre), actual butterfat","1976M07",0.093
"20","Milk (per litre), 3.7% butterfat","1976M07",0.098
"21","Hens eggs (10 dozen)","1976M07",3.81
"22","Milk (per litre), actual butterfat","1976M08",0.094
"23","Milk (per litre), 3.7% butterfat","1976M08",0.098
"24","Hens eggs (10 dozen)","1976M08",4.57
"25","Milk (per litre), actual butterfat","1976M09",0.104
"26","Milk (per litre), 3.7% butterfat","1976M09",0.102
"27","Hens eggs (10 dozen)","1976M09",4.83
"28","Milk (per litre), actual butterfat","1976M10",0.118
"29","Milk (per litre), 3.7% butterfat","1976M10",0.109
"30","Hens eggs (10 dozen)","1976M10",4.7
"31","Milk (per litre), actual butterfat","1976M11",0.124
"32","Milk (per litre), 3.7% butterfat","1976M11",0.11
"33","Hens eggs (10 dozen)","1976M11",4.95
"34","Milk (per litre), actual butterfat","1976M12",0.123
"35","Milk (per litre), 3.7% butterfat","1976M12",0.113
"36","Hens eggs (10 dozen)","1976M12",5.46
"37","Milk (per litre), actual butterfat","1977M01",0.121
"38","Milk (per litre), 3.7% butterfat","1977M01",0.118
"39","Hens eggs (10 dozen)","1977M01",5.33
"40","Milk (per litre), actual butterfat","1977M02",0.119
"41","Milk (per litre), 3.7% butterfat","1977M02",0.122
"42","Hens eggs (10 dozen)","1977M02",5.33
"43","Milk (per litre), actual butterfat","1977M03",0.114
"44","Milk (per litre), 3.7% butterfat","1977M03",0.121
"45","Hens eggs (10 dozen)","1977M03",5.33
