"","Statistic","Year","Liveweight","value"
"77","Pig Price per Head (Euro)","1979","Pigs 25-34 kg",32.38
"78","Pig Price per Kg (Euro)","1979","Pigs 25-34 kg",1.05
"79","Pig Price per Head (Euro)","1980","Pigs 25-34 kg",31.77
"80","Pig Price per Kg (Euro)","1980","Pigs 25-34 kg",1.04
"81","Pig Price per Head (Euro)","1981","Pigs 25-34 kg",40.4
"82","Pig Price per Kg (Euro)","1981","Pigs 25-34 kg",1.33
"83","Pig Price per Head (Euro)","1982","Pigs 25-34 kg",42.96
"84","Pig Price per Kg (Euro)","1982","Pigs 25-34 kg",1.41
"85","Pig Price per Head (Euro)","1983","Pigs 25-34 kg",38.93
"86","Pig Price per Kg (Euro)","1983","Pigs 25-34 kg",1.28
"87","Pig Price per Head (Euro)","1984","Pigs 25-34 kg",42.36
"88","Pig Price per Kg (Euro)","1984","Pigs 25-34 kg",1.4
"89","Pig Price per Head (Euro)","1985","Pigs 25-34 kg",41.79
"90","Pig Price per Kg (Euro)","1985","Pigs 25-34 kg",1.37
"91","Pig Price per Head (Euro)","1986","Pigs 25-34 kg",36.02
"92","Pig Price per Kg (Euro)","1986","Pigs 25-34 kg",1.19
"93","Pig Price per Head (Euro)","1987","Pigs 25-34 kg",39.18
"94","Pig Price per Kg (Euro)","1987","Pigs 25-34 kg",1.31
"95","Pig Price per Head (Euro)","1988","Pigs 25-34 kg",36.09
"96","Pig Price per Kg (Euro)","1988","Pigs 25-34 kg",1.21
"97","Pig Price per Head (Euro)","1989","Pigs 25-34 kg",42.83
"98","Pig Price per Kg (Euro)","1989","Pigs 25-34 kg",1.42
"99","Pig Price per Head (Euro)","1990","Pigs 25-34 kg",39.32
"100","Pig Price per Kg (Euro)","1990","Pigs 25-34 kg",1.31
"101","Pig Price per Head (Euro)","1991","Pigs 25-34 kg",37.57
"102","Pig Price per Kg (Euro)","1991","Pigs 25-34 kg",1.24
"103","Pig Price per Head (Euro)","1992","Pigs 25-34 kg",39.65
"104","Pig Price per Kg (Euro)","1992","Pigs 25-34 kg",1.33
"105","Pig Price per Head (Euro)","1993","Pigs 25-34 kg",32.18
"106","Pig Price per Kg (Euro)","1993","Pigs 25-34 kg",1.08
"107","Pig Price per Head (Euro)","1994","Pigs 25-34 kg",34.36
"108","Pig Price per Kg (Euro)","1994","Pigs 25-34 kg",1.14
"109","Pig Price per Head (Euro)","1995","Pigs 25-34 kg",42.03
"110","Pig Price per Kg (Euro)","1995","Pigs 25-34 kg",1.39
"111","Pig Price per Head (Euro)","1996","Pigs 25-34 kg",45.48
"112","Pig Price per Kg (Euro)","1996","Pigs 25-34 kg",1.52
"113","Pig Price per Head (Euro)","1997","Pigs 25-34 kg",39.29
"114","Pig Price per Kg (Euro)","1997","Pigs 25-34 kg",1.28
"115","Pig Price per Head (Euro)","1998","Pigs 25-34 kg",28.76
"116","Pig Price per Kg (Euro)","1998","Pigs 25-34 kg",0.96
"117","Pig Price per Head (Euro)","1999","Pigs 25-34 kg",26.9
"118","Pig Price per Kg (Euro)","1999","Pigs 25-34 kg",0.9
"119","Pig Price per Head (Euro)","2000","Pigs 25-34 kg",37
"120","Pig Price per Kg (Euro)","2000","Pigs 25-34 kg",1.21
"121","Pig Price per Head (Euro)","2001","Pigs 25-34 kg",39.58
"122","Pig Price per Kg (Euro)","2001","Pigs 25-34 kg",1.28
"123","Pig Price per Head (Euro)","2002","Pigs 25-34 kg",NA
"124","Pig Price per Kg (Euro)","2002","Pigs 25-34 kg",NA
"125","Pig Price per Head (Euro)","2003","Pigs 25-34 kg",NA
"126","Pig Price per Kg (Euro)","2003","Pigs 25-34 kg",NA
"127","Pig Price per Head (Euro)","2004","Pigs 25-34 kg",NA
"128","Pig Price per Kg (Euro)","2004","Pigs 25-34 kg",NA
"129","Pig Price per Head (Euro)","2005","Pigs 25-34 kg",NA
"130","Pig Price per Kg (Euro)","2005","Pigs 25-34 kg",NA
"131","Pig Price per Head (Euro)","2006","Pigs 25-34 kg",NA
"132","Pig Price per Kg (Euro)","2006","Pigs 25-34 kg",NA
"133","Pig Price per Head (Euro)","2007","Pigs 25-34 kg",NA
"134","Pig Price per Kg (Euro)","2007","Pigs 25-34 kg",NA
"135","Pig Price per Head (Euro)","2008","Pigs 25-34 kg",NA
"136","Pig Price per Kg (Euro)","2008","Pigs 25-34 kg",NA
"137","Pig Price per Head (Euro)","2009","Pigs 25-34 kg",NA
"138","Pig Price per Kg (Euro)","2009","Pigs 25-34 kg",NA
"139","Pig Price per Head (Euro)","2010","Pigs 25-34 kg",NA
