"","Statistic","Month","Type.of.Cattle","value"
"701","Cattle Price per Head (Euro)","2005M03","Bullocks 200-249kg",453.15
"702","Cattle Price per 100 Kg (Euro)","2005M03","Bullocks 200-249kg",197.2
"703","Cattle Price per Head (Euro)","2005M04","Bullocks 200-249kg",441.37
"704","Cattle Price per 100 Kg (Euro)","2005M04","Bullocks 200-249kg",192.73
"705","Cattle Price per Head (Euro)","2005M05","Bullocks 200-249kg",436.39
"706","Cattle Price per 100 Kg (Euro)","2005M05","Bullocks 200-249kg",190.04
"707","Cattle Price per Head (Euro)","2005M06","Bullocks 200-249kg",461.12
"708","Cattle Price per 100 Kg (Euro)","2005M06","Bullocks 200-249kg",199.5
"709","Cattle Price per Head (Euro)","2005M07","Bullocks 200-249kg",411.82
"710","Cattle Price per 100 Kg (Euro)","2005M07","Bullocks 200-249kg",179.11
"711","Cattle Price per Head (Euro)","2005M08","Bullocks 200-249kg",395.17
"712","Cattle Price per 100 Kg (Euro)","2005M08","Bullocks 200-249kg",172.26
"713","Cattle Price per Head (Euro)","2005M09","Bullocks 200-249kg",392.47
"714","Cattle Price per 100 Kg (Euro)","2005M09","Bullocks 200-249kg",171.8
"715","Cattle Price per Head (Euro)","2005M10","Bullocks 200-249kg",381.66
"716","Cattle Price per 100 Kg (Euro)","2005M10","Bullocks 200-249kg",167.56
"717","Cattle Price per Head (Euro)","2005M11","Bullocks 200-249kg",408.03
"718","Cattle Price per 100 Kg (Euro)","2005M11","Bullocks 200-249kg",180.44
"719","Cattle Price per Head (Euro)","2005M12","Bullocks 200-249kg",360.07
"720","Cattle Price per 100 Kg (Euro)","2005M12","Bullocks 200-249kg",159.7
"721","Cattle Price per Head (Euro)","2006M01","Bullocks 200-249kg",394.65
"722","Cattle Price per 100 Kg (Euro)","2006M01","Bullocks 200-249kg",170.38
"723","Cattle Price per Head (Euro)","2006M02","Bullocks 200-249kg",418.27
"724","Cattle Price per 100 Kg (Euro)","2006M02","Bullocks 200-249kg",180.35
"725","Cattle Price per Head (Euro)","2006M03","Bullocks 200-249kg",432.32
"726","Cattle Price per 100 Kg (Euro)","2006M03","Bullocks 200-249kg",188.13
"727","Cattle Price per Head (Euro)","2006M04","Bullocks 200-249kg",414.04
"728","Cattle Price per 100 Kg (Euro)","2006M04","Bullocks 200-249kg",181.34
"729","Cattle Price per Head (Euro)","2006M05","Bullocks 200-249kg",436.69
"730","Cattle Price per 100 Kg (Euro)","2006M05","Bullocks 200-249kg",189.8
"731","Cattle Price per Head (Euro)","2006M06","Bullocks 200-249kg",401.11
"732","Cattle Price per 100 Kg (Euro)","2006M06","Bullocks 200-249kg",174.48
"733","Cattle Price per Head (Euro)","2006M07","Bullocks 200-249kg",377.04
"734","Cattle Price per 100 Kg (Euro)","2006M07","Bullocks 200-249kg",166.17
"735","Cattle Price per Head (Euro)","2006M08","Bullocks 200-249kg",384.33
"736","Cattle Price per 100 Kg (Euro)","2006M08","Bullocks 200-249kg",164.85
"737","Cattle Price per Head (Euro)","2006M09","Bullocks 200-249kg",377.7
"738","Cattle Price per 100 Kg (Euro)","2006M09","Bullocks 200-249kg",164.12
"739","Cattle Price per Head (Euro)","2006M10","Bullocks 200-249kg",408.83
"740","Cattle Price per 100 Kg (Euro)","2006M10","Bullocks 200-249kg",178.51
"741","Cattle Price per Head (Euro)","2006M11","Bullocks 200-249kg",420.46
"742","Cattle Price per 100 Kg (Euro)","2006M11","Bullocks 200-249kg",181.01
"743","Cattle Price per Head (Euro)","2006M12","Bullocks 200-249kg",362.73
"744","Cattle Price per 100 Kg (Euro)","2006M12","Bullocks 200-249kg",158.86
"745","Cattle Price per Head (Euro)","2007M01","Bullocks 200-249kg",419.6
"746","Cattle Price per 100 Kg (Euro)","2007M01","Bullocks 200-249kg",183.25
"747","Cattle Price per Head (Euro)","2007M02","Bullocks 200-249kg",393.55
"748","Cattle Price per 100 Kg (Euro)","2007M02","Bullocks 200-249kg",172.39
"749","Cattle Price per Head (Euro)","2007M03","Bullocks 200-249kg",439.31
"750","Cattle Price per 100 Kg (Euro)","2007M03","Bullocks 200-249kg",190.86
"751","Cattle Price per Head (Euro)","2007M04","Bullocks 200-249kg",440.78
"752","Cattle Price per 100 Kg (Euro)","2007M04","Bullocks 200-249kg",190.46
"753","Cattle Price per Head (Euro)","2007M05","Bullocks 200-249kg",435.01
"754","Cattle Price per 100 Kg (Euro)","2007M05","Bullocks 200-249kg",188.96
"755","Cattle Price per Head (Euro)","2007M06","Bullocks 200-249kg",416.55
"756","Cattle Price per 100 Kg (Euro)","2007M06","Bullocks 200-249kg",184.79
"757","Cattle Price per Head (Euro)","2007M07","Bullocks 200-249kg",366.38
"758","Cattle Price per 100 Kg (Euro)","2007M07","Bullocks 200-249kg",158.39
"759","Cattle Price per Head (Euro)","2007M08","Bullocks 200-249kg",387.5
"760","Cattle Price per 100 Kg (Euro)","2007M08","Bullocks 200-249kg",168.9
"761","Cattle Price per Head (Euro)","2007M09","Bullocks 200-249kg",367.5
"762","Cattle Price per 100 Kg (Euro)","2007M09","Bullocks 200-249kg",162.92
"763","Cattle Price per Head (Euro)","2007M10","Bullocks 200-249kg",378.33
"764","Cattle Price per 100 Kg (Euro)","2007M10","Bullocks 200-249kg",164.37
"765","Cattle Price per Head (Euro)","2007M11","Bullocks 200-249kg",367.63
"766","Cattle Price per 100 Kg (Euro)","2007M11","Bullocks 200-249kg",161.03
"767","Cattle Price per Head (Euro)","2007M12","Bullocks 200-249kg",408.75
"768","Cattle Price per 100 Kg (Euro)","2007M12","Bullocks 200-249kg",181.1
"769","Cattle Price per Head (Euro)","2008M01","Bullocks 200-249kg",444.31
"770","Cattle Price per 100 Kg (Euro)","2008M01","Bullocks 200-249kg",197.69
"771","Cattle Price per Head (Euro)","2008M02","Bullocks 200-249kg",474.97
"772","Cattle Price per 100 Kg (Euro)","2008M02","Bullocks 200-249kg",207.33
"773","Cattle Price per Head (Euro)","2008M03","Bullocks 200-249kg",456.64
"774","Cattle Price per 100 Kg (Euro)","2008M03","Bullocks 200-249kg",198.1
"775","Cattle Price per Head (Euro)","2008M04","Bullocks 200-249kg",455
"776","Cattle Price per 100 Kg (Euro)","2008M04","Bullocks 200-249kg",197.22
"777","Cattle Price per Head (Euro)","2008M05","Bullocks 200-249kg",463.82
"778","Cattle Price per 100 Kg (Euro)","2008M05","Bullocks 200-249kg",198.75
"779","Cattle Price per Head (Euro)","2008M06","Bullocks 200-249kg",457.51
"780","Cattle Price per 100 Kg (Euro)","2008M06","Bullocks 200-249kg",202.31
"781","Cattle Price per Head (Euro)","2008M07","Bullocks 200-249kg",414.02
"782","Cattle Price per 100 Kg (Euro)","2008M07","Bullocks 200-249kg",179.35
"783","Cattle Price per Head (Euro)","2008M08","Bullocks 200-249kg",395.95
"784","Cattle Price per 100 Kg (Euro)","2008M08","Bullocks 200-249kg",172.02
"785","Cattle Price per Head (Euro)","2008M09","Bullocks 200-249kg",371.86
"786","Cattle Price per 100 Kg (Euro)","2008M09","Bullocks 200-249kg",161.39
"787","Cattle Price per Head (Euro)","2008M10","Bullocks 200-249kg",397
"788","Cattle Price per 100 Kg (Euro)","2008M10","Bullocks 200-249kg",171.88
"789","Cattle Price per Head (Euro)","2008M11","Bullocks 200-249kg",430.31
"790","Cattle Price per 100 Kg (Euro)","2008M11","Bullocks 200-249kg",189.46
"791","Cattle Price per Head (Euro)","2008M12","Bullocks 200-249kg",368
"792","Cattle Price per 100 Kg (Euro)","2008M12","Bullocks 200-249kg",165.77
"793","Cattle Price per Head (Euro)","2009M01","Bullocks 200-249kg",393.58
"794","Cattle Price per 100 Kg (Euro)","2009M01","Bullocks 200-249kg",172.96
"795","Cattle Price per Head (Euro)","2009M02","Bullocks 200-249kg",391.07
"796","Cattle Price per 100 Kg (Euro)","2009M02","Bullocks 200-249kg",170.87
"797","Cattle Price per Head (Euro)","2009M03","Bullocks 200-249kg",419.81
"798","Cattle Price per 100 Kg (Euro)","2009M03","Bullocks 200-249kg",182.84
"799","Cattle Price per Head (Euro)","2009M04","Bullocks 200-249kg",393.96
"800","Cattle Price per 100 Kg (Euro)","2009M04","Bullocks 200-249kg",171.39
"801","Cattle Price per Head (Euro)","2009M05","Bullocks 200-249kg",353.88
"802","Cattle Price per 100 Kg (Euro)","2009M05","Bullocks 200-249kg",153.11
"803","Cattle Price per Head (Euro)","2009M06","Bullocks 200-249kg",345.26
"804","Cattle Price per 100 Kg (Euro)","2009M06","Bullocks 200-249kg",150.85
"805","Cattle Price per Head (Euro)","2009M07","Bullocks 200-249kg",333.15
"806","Cattle Price per 100 Kg (Euro)","2009M07","Bullocks 200-249kg",147.24
"807","Cattle Price per Head (Euro)","2009M08","Bullocks 200-249kg",266.03
"808","Cattle Price per 100 Kg (Euro)","2009M08","Bullocks 200-249kg",115.06
"809","Cattle Price per Head (Euro)","2009M09","Bullocks 200-249kg",345.91
"810","Cattle Price per 100 Kg (Euro)","2009M09","Bullocks 200-249kg",153.37
"811","Cattle Price per Head (Euro)","2009M10","Bullocks 200-249kg",310.39
"812","Cattle Price per 100 Kg (Euro)","2009M10","Bullocks 200-249kg",132.3
"813","Cattle Price per Head (Euro)","2009M11","Bullocks 200-249kg",264.9
"814","Cattle Price per 100 Kg (Euro)","2009M11","Bullocks 200-249kg",117.58
"815","Cattle Price per Head (Euro)","2009M12","Bullocks 200-249kg",314.29
"816","Cattle Price per 100 Kg (Euro)","2009M12","Bullocks 200-249kg",134.56
"817","Cattle Price per Head (Euro)","2010M01","Bullocks 200-249kg",380.92
"818","Cattle Price per 100 Kg (Euro)","2010M01","Bullocks 200-249kg",165.71
"819","Cattle Price per Head (Euro)","2010M02","Bullocks 200-249kg",394.89
"820","Cattle Price per 100 Kg (Euro)","2010M02","Bullocks 200-249kg",172.7
"821","Cattle Price per Head (Euro)","2010M03","Bullocks 200-249kg",374.97
"822","Cattle Price per 100 Kg (Euro)","2010M03","Bullocks 200-249kg",164.86
"823","Cattle Price per Head (Euro)","2010M04","Bullocks 200-249kg",335.39
"824","Cattle Price per 100 Kg (Euro)","2010M04","Bullocks 200-249kg",146.19
"825","Cattle Price per Head (Euro)","2010M05","Bullocks 200-249kg",359.14
"826","Cattle Price per 100 Kg (Euro)","2010M05","Bullocks 200-249kg",157.25
"827","Cattle Price per Head (Euro)","2010M06","Bullocks 200-249kg",369.68
"828","Cattle Price per 100 Kg (Euro)","2010M06","Bullocks 200-249kg",161.11
"829","Cattle Price per Head (Euro)","2010M07","Bullocks 200-249kg",333.1
"830","Cattle Price per 100 Kg (Euro)","2010M07","Bullocks 200-249kg",144.15
"831","Cattle Price per Head (Euro)","2010M08","Bullocks 200-249kg",374.52
"832","Cattle Price per 100 Kg (Euro)","2010M08","Bullocks 200-249kg",158.76
"833","Cattle Price per Head (Euro)","2010M09","Bullocks 200-249kg",366.1
"834","Cattle Price per 100 Kg (Euro)","2010M09","Bullocks 200-249kg",157.03
"835","Cattle Price per Head (Euro)","2010M10","Bullocks 200-249kg",306.15
"836","Cattle Price per 100 Kg (Euro)","2010M10","Bullocks 200-249kg",138
"837","Cattle Price per Head (Euro)","2010M11","Bullocks 200-249kg",300
"838","Cattle Price per 100 Kg (Euro)","2010M11","Bullocks 200-249kg",132.28
"839","Cattle Price per Head (Euro)","2010M12","Bullocks 200-249kg",408.89
"840","Cattle Price per 100 Kg (Euro)","2010M12","Bullocks 200-249kg",176.16
"841","Cattle Price per Head (Euro)","2011M01","Bullocks 200-249kg",475.96
"842","Cattle Price per 100 Kg (Euro)","2011M01","Bullocks 200-249kg",204.79
"843","Cattle Price per Head (Euro)","2011M02","Bullocks 200-249kg",473.88
"844","Cattle Price per 100 Kg (Euro)","2011M02","Bullocks 200-249kg",208.49
"845","Cattle Price per Head (Euro)","2011M03","Bullocks 200-249kg",463.81
"846","Cattle Price per 100 Kg (Euro)","2011M03","Bullocks 200-249kg",202.58
"847","Cattle Price per Head (Euro)","2011M04","Bullocks 200-249kg",516.88
"848","Cattle Price per 100 Kg (Euro)","2011M04","Bullocks 200-249kg",225.34
"849","Cattle Price per Head (Euro)","2011M05","Bullocks 200-249kg",517.34
"850","Cattle Price per 100 Kg (Euro)","2011M05","Bullocks 200-249kg",226.77
"851","Cattle Price per Head (Euro)","2011M06","Bullocks 200-249kg",486.61
"852","Cattle Price per 100 Kg (Euro)","2011M06","Bullocks 200-249kg",211.54
"853","Cattle Price per Head (Euro)","2011M07","Bullocks 200-249kg",503.05
"854","Cattle Price per 100 Kg (Euro)","2011M07","Bullocks 200-249kg",214.46
"855","Cattle Price per Head (Euro)","2011M08","Bullocks 200-249kg",616
"856","Cattle Price per 100 Kg (Euro)","2011M08","Bullocks 200-249kg",265.56
"857","Cattle Price per Head (Euro)","2011M09","Bullocks 200-249kg",468.81
"858","Cattle Price per 100 Kg (Euro)","2011M09","Bullocks 200-249kg",211.89
"859","Cattle Price per Head (Euro)","2011M10","Bullocks 200-249kg",521.27
"860","Cattle Price per 100 Kg (Euro)","2011M10","Bullocks 200-249kg",227.5
"861","Cattle Price per Head (Euro)","2011M11","Bullocks 200-249kg",496.14
"862","Cattle Price per 100 Kg (Euro)","2011M11","Bullocks 200-249kg",219.86
"863","Cattle Price per Head (Euro)","2011M12","Bullocks 200-249kg",474.8
"864","Cattle Price per 100 Kg (Euro)","2011M12","Bullocks 200-249kg",209.58
"865","Cattle Price per Head (Euro)","2012M01","Bullocks 200-249kg",589.25
"866","Cattle Price per 100 Kg (Euro)","2012M01","Bullocks 200-249kg",263.15
"867","Cattle Price per Head (Euro)","2012M02","Bullocks 200-249kg",571
"868","Cattle Price per 100 Kg (Euro)","2012M02","Bullocks 200-249kg",252.49
"869","Cattle Price per Head (Euro)","2012M03","Bullocks 200-249kg",636.99
"870","Cattle Price per 100 Kg (Euro)","2012M03","Bullocks 200-249kg",277.58
"871","Cattle Price per Head (Euro)","2012M04","Bullocks 200-249kg",630.5
"872","Cattle Price per 100 Kg (Euro)","2012M04","Bullocks 200-249kg",274.24
"873","Cattle Price per Head (Euro)","2012M05","Bullocks 200-249kg",603.57
"874","Cattle Price per 100 Kg (Euro)","2012M05","Bullocks 200-249kg",261.85
"875","Cattle Price per Head (Euro)","2012M06","Bullocks 200-249kg",572.68
"876","Cattle Price per 100 Kg (Euro)","2012M06","Bullocks 200-249kg",252.8
"877","Cattle Price per Head (Euro)","2012M07","Bullocks 200-249kg",497.88
"878","Cattle Price per 100 Kg (Euro)","2012M07","Bullocks 200-249kg",218.28
"879","Cattle Price per Head (Euro)","2012M08","Bullocks 200-249kg",448.12
"880","Cattle Price per 100 Kg (Euro)","2012M08","Bullocks 200-249kg",189.88
"881","Cattle Price per Head (Euro)","2012M09","Bullocks 200-249kg",396.54
"882","Cattle Price per 100 Kg (Euro)","2012M09","Bullocks 200-249kg",186.3
"883","Cattle Price per Head (Euro)","2012M10","Bullocks 200-249kg",374.94
"884","Cattle Price per 100 Kg (Euro)","2012M10","Bullocks 200-249kg",159.77
"885","Cattle Price per Head (Euro)","2012M11","Bullocks 200-249kg",542
"886","Cattle Price per 100 Kg (Euro)","2012M11","Bullocks 200-249kg",235.75
"887","Cattle Price per Head (Euro)","2012M12","Bullocks 200-249kg",468.27
"888","Cattle Price per 100 Kg (Euro)","2012M12","Bullocks 200-249kg",205.7
"889","Cattle Price per Head (Euro)","2013M01","Bullocks 200-249kg",455.97
"890","Cattle Price per 100 Kg (Euro)","2013M01","Bullocks 200-249kg",198.49
"891","Cattle Price per Head (Euro)","2013M02","Bullocks 200-249kg",511.22
"892","Cattle Price per 100 Kg (Euro)","2013M02","Bullocks 200-249kg",221.98
"893","Cattle Price per Head (Euro)","2013M03","Bullocks 200-249kg",478.9
"894","Cattle Price per 100 Kg (Euro)","2013M03","Bullocks 200-249kg",208.27
"895","Cattle Price per Head (Euro)","2013M04","Bullocks 200-249kg",453.69
"896","Cattle Price per 100 Kg (Euro)","2013M04","Bullocks 200-249kg",196.26
"897","Cattle Price per Head (Euro)","2013M05","Bullocks 200-249kg",484.2
"898","Cattle Price per 100 Kg (Euro)","2013M05","Bullocks 200-249kg",209.22
"899","Cattle Price per Head (Euro)","2013M06","Bullocks 200-249kg",420.73
"900","Cattle Price per 100 Kg (Euro)","2013M06","Bullocks 200-249kg",182.79
"901","Cattle Price per Head (Euro)","2013M07","Bullocks 200-249kg",418.46
"902","Cattle Price per 100 Kg (Euro)","2013M07","Bullocks 200-249kg",185.3
"903","Cattle Price per Head (Euro)","2013M08","Bullocks 200-249kg",400.94
"904","Cattle Price per 100 Kg (Euro)","2013M08","Bullocks 200-249kg",172.54
"905","Cattle Price per Head (Euro)","2013M09","Bullocks 200-249kg",383.96
"906","Cattle Price per 100 Kg (Euro)","2013M09","Bullocks 200-249kg",169.58
"907","Cattle Price per Head (Euro)","2013M10","Bullocks 200-249kg",401.92
"908","Cattle Price per 100 Kg (Euro)","2013M10","Bullocks 200-249kg",176.91
"909","Cattle Price per Head (Euro)","2013M11","Bullocks 200-249kg",413.5
"910","Cattle Price per 100 Kg (Euro)","2013M11","Bullocks 200-249kg",179.24
"911","Cattle Price per Head (Euro)","2013M12","Bullocks 200-249kg",NA
"912","Cattle Price per 100 Kg (Euro)","2013M12","Bullocks 200-249kg",NA
"913","Cattle Price per Head (Euro)","2014M01","Bullocks 200-249kg",NA
"914","Cattle Price per 100 Kg (Euro)","2014M01","Bullocks 200-249kg",NA
"915","Cattle Price per Head (Euro)","2014M02","Bullocks 200-249kg",NA
"916","Cattle Price per 100 Kg (Euro)","2014M02","Bullocks 200-249kg",NA
"917","Cattle Price per Head (Euro)","2014M03","Bullocks 200-249kg",NA
"918","Cattle Price per 100 Kg (Euro)","2014M03","Bullocks 200-249kg",NA
"919","Cattle Price per Head (Euro)","2014M04","Bullocks 200-249kg",NA
"920","Cattle Price per 100 Kg (Euro)","2014M04","Bullocks 200-249kg",NA
"921","Cattle Price per Head (Euro)","1976M01","Bullocks 250-299kg",NA
"922","Cattle Price per 100 Kg (Euro)","1976M01","Bullocks 250-299kg",NA
"923","Cattle Price per Head (Euro)","1976M02","Bullocks 250-299kg",NA
"924","Cattle Price per 100 Kg (Euro)","1976M02","Bullocks 250-299kg",NA
"925","Cattle Price per Head (Euro)","1976M03","Bullocks 250-299kg",NA
"926","Cattle Price per 100 Kg (Euro)","1976M03","Bullocks 250-299kg",NA
"927","Cattle Price per Head (Euro)","1976M04","Bullocks 250-299kg",NA
"928","Cattle Price per 100 Kg (Euro)","1976M04","Bullocks 250-299kg",NA
"929","Cattle Price per Head (Euro)","1976M05","Bullocks 250-299kg",NA
"930","Cattle Price per 100 Kg (Euro)","1976M05","Bullocks 250-299kg",NA
"931","Cattle Price per Head (Euro)","1976M06","Bullocks 250-299kg",NA
"932","Cattle Price per 100 Kg (Euro)","1976M06","Bullocks 250-299kg",NA
"933","Cattle Price per Head (Euro)","1976M07","Bullocks 250-299kg",NA
"934","Cattle Price per 100 Kg (Euro)","1976M07","Bullocks 250-299kg",NA
"935","Cattle Price per Head (Euro)","1976M08","Bullocks 250-299kg",NA
"936","Cattle Price per 100 Kg (Euro)","1976M08","Bullocks 250-299kg",NA
"937","Cattle Price per Head (Euro)","1976M09","Bullocks 250-299kg",NA
"938","Cattle Price per 100 Kg (Euro)","1976M09","Bullocks 250-299kg",NA
"939","Cattle Price per Head (Euro)","1976M10","Bullocks 250-299kg",NA
"940","Cattle Price per 100 Kg (Euro)","1976M10","Bullocks 250-299kg",NA
"941","Cattle Price per Head (Euro)","1976M11","Bullocks 250-299kg",NA
"942","Cattle Price per 100 Kg (Euro)","1976M11","Bullocks 250-299kg",NA
"943","Cattle Price per Head (Euro)","1976M12","Bullocks 250-299kg",NA
"944","Cattle Price per 100 Kg (Euro)","1976M12","Bullocks 250-299kg",NA
"945","Cattle Price per Head (Euro)","1977M01","Bullocks 250-299kg",NA
"946","Cattle Price per 100 Kg (Euro)","1977M01","Bullocks 250-299kg",NA
"947","Cattle Price per Head (Euro)","1977M02","Bullocks 250-299kg",NA
"948","Cattle Price per 100 Kg (Euro)","1977M02","Bullocks 250-299kg",NA
"949","Cattle Price per Head (Euro)","1977M03","Bullocks 250-299kg",NA
"950","Cattle Price per 100 Kg (Euro)","1977M03","Bullocks 250-299kg",NA
"951","Cattle Price per Head (Euro)","1977M04","Bullocks 250-299kg",NA
"952","Cattle Price per 100 Kg (Euro)","1977M04","Bullocks 250-299kg",NA
"953","Cattle Price per Head (Euro)","1977M05","Bullocks 250-299kg",NA
"954","Cattle Price per 100 Kg (Euro)","1977M05","Bullocks 250-299kg",NA
"955","Cattle Price per Head (Euro)","1977M06","Bullocks 250-299kg",NA
"956","Cattle Price per 100 Kg (Euro)","1977M06","Bullocks 250-299kg",NA
"957","Cattle Price per Head (Euro)","1977M07","Bullocks 250-299kg",NA
"958","Cattle Price per 100 Kg (Euro)","1977M07","Bullocks 250-299kg",NA
"959","Cattle Price per Head (Euro)","1977M08","Bullocks 250-299kg",NA
"960","Cattle Price per 100 Kg (Euro)","1977M08","Bullocks 250-299kg",NA
"961","Cattle Price per Head (Euro)","1977M09","Bullocks 250-299kg",NA
"962","Cattle Price per 100 Kg (Euro)","1977M09","Bullocks 250-299kg",NA
"963","Cattle Price per Head (Euro)","1977M10","Bullocks 250-299kg",NA
"964","Cattle Price per 100 Kg (Euro)","1977M10","Bullocks 250-299kg",NA
"965","Cattle Price per Head (Euro)","1977M11","Bullocks 250-299kg",NA
"966","Cattle Price per 100 Kg (Euro)","1977M11","Bullocks 250-299kg",NA
"967","Cattle Price per Head (Euro)","1977M12","Bullocks 250-299kg",NA
"968","Cattle Price per 100 Kg (Euro)","1977M12","Bullocks 250-299kg",NA
"969","Cattle Price per Head (Euro)","1978M01","Bullocks 250-299kg",250.24
"970","Cattle Price per 100 Kg (Euro)","1978M01","Bullocks 250-299kg",90.09
"971","Cattle Price per Head (Euro)","1978M02","Bullocks 250-299kg",266.96
"972","Cattle Price per 100 Kg (Euro)","1978M02","Bullocks 250-299kg",96.93
"973","Cattle Price per Head (Euro)","1978M03","Bullocks 250-299kg",278.1
"974","Cattle Price per 100 Kg (Euro)","1978M03","Bullocks 250-299kg",101.49
"975","Cattle Price per Head (Euro)","1978M04","Bullocks 250-299kg",302.5
"976","Cattle Price per 100 Kg (Euro)","1978M04","Bullocks 250-299kg",110.81
"977","Cattle Price per Head (Euro)","1978M05","Bullocks 250-299kg",296.98
"978","Cattle Price per 100 Kg (Euro)","1978M05","Bullocks 250-299kg",109.32
"979","Cattle Price per Head (Euro)","1978M06","Bullocks 250-299kg",294.35
"980","Cattle Price per 100 Kg (Euro)","1978M06","Bullocks 250-299kg",107.61
"981","Cattle Price per Head (Euro)","1978M07","Bullocks 250-299kg",275.62
"982","Cattle Price per 100 Kg (Euro)","1978M07","Bullocks 250-299kg",99.57
"983","Cattle Price per Head (Euro)","1978M08","Bullocks 250-299kg",277.37
"984","Cattle Price per 100 Kg (Euro)","1978M08","Bullocks 250-299kg",100.4
"985","Cattle Price per Head (Euro)","1978M09","Bullocks 250-299kg",284.46
"986","Cattle Price per 100 Kg (Euro)","1978M09","Bullocks 250-299kg",103.15
"987","Cattle Price per Head (Euro)","1978M10","Bullocks 250-299kg",285.79
"988","Cattle Price per 100 Kg (Euro)","1978M10","Bullocks 250-299kg",103.98
"989","Cattle Price per Head (Euro)","1978M11","Bullocks 250-299kg",294.27
"990","Cattle Price per 100 Kg (Euro)","1978M11","Bullocks 250-299kg",106.95
"991","Cattle Price per Head (Euro)","1978M12","Bullocks 250-299kg",284.85
"992","Cattle Price per 100 Kg (Euro)","1978M12","Bullocks 250-299kg",102.56
"993","Cattle Price per Head (Euro)","1979M01","Bullocks 250-299kg",327.16
"994","Cattle Price per 100 Kg (Euro)","1979M01","Bullocks 250-299kg",120.43
"995","Cattle Price per Head (Euro)","1979M02","Bullocks 250-299kg",337.22
"996","Cattle Price per 100 Kg (Euro)","1979M02","Bullocks 250-299kg",122.26
"997","Cattle Price per Head (Euro)","1979M03","Bullocks 250-299kg",352.07
"998","Cattle Price per 100 Kg (Euro)","1979M03","Bullocks 250-299kg",127.51
"999","Cattle Price per Head (Euro)","1979M04","Bullocks 250-299kg",364.01
"1000","Cattle Price per 100 Kg (Euro)","1979M04","Bullocks 250-299kg",133.69
"1001","Cattle Price per Head (Euro)","1979M05","Bullocks 250-299kg",358.26
"1002","Cattle Price per 100 Kg (Euro)","1979M05","Bullocks 250-299kg",132.19
"1003","Cattle Price per Head (Euro)","1979M06","Bullocks 250-299kg",335.44
"1004","Cattle Price per 100 Kg (Euro)","1979M06","Bullocks 250-299kg",122.99
"1005","Cattle Price per Head (Euro)","1979M07","Bullocks 250-299kg",311.52
"1006","Cattle Price per 100 Kg (Euro)","1979M07","Bullocks 250-299kg",112.97
"1007","Cattle Price per Head (Euro)","1979M08","Bullocks 250-299kg",297.59
"1008","Cattle Price per 100 Kg (Euro)","1979M08","Bullocks 250-299kg",108.91
"1009","Cattle Price per Head (Euro)","1979M09","Bullocks 250-299kg",272.96
"1010","Cattle Price per 100 Kg (Euro)","1979M09","Bullocks 250-299kg",98.35
"1011","Cattle Price per Head (Euro)","1979M10","Bullocks 250-299kg",263.75
"1012","Cattle Price per 100 Kg (Euro)","1979M10","Bullocks 250-299kg",95.97
"1013","Cattle Price per Head (Euro)","1979M11","Bullocks 250-299kg",246.65
"1014","Cattle Price per 100 Kg (Euro)","1979M11","Bullocks 250-299kg",89.24
"1015","Cattle Price per Head (Euro)","1979M12","Bullocks 250-299kg",253.21
"1016","Cattle Price per 100 Kg (Euro)","1979M12","Bullocks 250-299kg",91.89
"1017","Cattle Price per Head (Euro)","1980M01","Bullocks 250-299kg",270
"1018","Cattle Price per 100 Kg (Euro)","1980M01","Bullocks 250-299kg",97.44
"1019","Cattle Price per Head (Euro)","1980M02","Bullocks 250-299kg",288.73
"1020","Cattle Price per 100 Kg (Euro)","1980M02","Bullocks 250-299kg",105.25
"1021","Cattle Price per Head (Euro)","1980M03","Bullocks 250-299kg",317.55
"1022","Cattle Price per 100 Kg (Euro)","1980M03","Bullocks 250-299kg",115.57
"1023","Cattle Price per Head (Euro)","1980M04","Bullocks 250-299kg",314.13
"1024","Cattle Price per 100 Kg (Euro)","1980M04","Bullocks 250-299kg",115.47
"1025","Cattle Price per Head (Euro)","1980M05","Bullocks 250-299kg",301.19
"1026","Cattle Price per 100 Kg (Euro)","1980M05","Bullocks 250-299kg",110.18
"1027","Cattle Price per Head (Euro)","1980M06","Bullocks 250-299kg",288.7
"1028","Cattle Price per 100 Kg (Euro)","1980M06","Bullocks 250-299kg",105.82
"1029","Cattle Price per Head (Euro)","1980M07","Bullocks 250-299kg",270.66
"1030","Cattle Price per 100 Kg (Euro)","1980M07","Bullocks 250-299kg",98.52
"1031","Cattle Price per Head (Euro)","1980M08","Bullocks 250-299kg",249.03
"1032","Cattle Price per 100 Kg (Euro)","1980M08","Bullocks 250-299kg",90.05
"1033","Cattle Price per Head (Euro)","1980M09","Bullocks 250-299kg",262.65
"1034","Cattle Price per 100 Kg (Euro)","1980M09","Bullocks 250-299kg",95.08
"1035","Cattle Price per Head (Euro)","1980M10","Bullocks 250-299kg",255.52
"1036","Cattle Price per 100 Kg (Euro)","1980M10","Bullocks 250-299kg",92.81
"1037","Cattle Price per Head (Euro)","1980M11","Bullocks 250-299kg",271.03
"1038","Cattle Price per 100 Kg (Euro)","1980M11","Bullocks 250-299kg",98.57
"1039","Cattle Price per Head (Euro)","1980M12","Bullocks 250-299kg",289.03
"1040","Cattle Price per 100 Kg (Euro)","1980M12","Bullocks 250-299kg",104.84
"1041","Cattle Price per Head (Euro)","1981M01","Bullocks 250-299kg",333.85
