"","Statistic","Month","Type.of.Cattle","value"
"69","Cattle Price per Head (Euro)","1978M11","Bullocks 200-249kg",248.31
"70","Cattle Price per 100 Kg (Euro)","1978M11","Bullocks 200-249kg",111.05
"71","Cattle Price per Head (Euro)","1978M12","Bullocks 200-249kg",250.24
"72","Cattle Price per 100 Kg (Euro)","1978M12","Bullocks 200-249kg",113.79
"73","Cattle Price per Head (Euro)","1979M01","Bullocks 200-249kg",279.84
"74","Cattle Price per 100 Kg (Euro)","1979M01","Bullocks 200-249kg",124.33
"75","Cattle Price per Head (Euro)","1979M02","Bullocks 200-249kg",288.93
"76","Cattle Price per 100 Kg (Euro)","1979M02","Bullocks 200-249kg",127.96
"77","Cattle Price per Head (Euro)","1979M03","Bullocks 200-249kg",307.63
"78","Cattle Price per 100 Kg (Euro)","1979M03","Bullocks 200-249kg",135.99
"79","Cattle Price per Head (Euro)","1979M04","Bullocks 200-249kg",316.25
"80","Cattle Price per 100 Kg (Euro)","1979M04","Bullocks 200-249kg",140.13
"81","Cattle Price per Head (Euro)","1979M05","Bullocks 200-249kg",310.11
"82","Cattle Price per 100 Kg (Euro)","1979M05","Bullocks 200-249kg",138.34
"83","Cattle Price per Head (Euro)","1979M06","Bullocks 200-249kg",285.56
"84","Cattle Price per 100 Kg (Euro)","1979M06","Bullocks 200-249kg",125.83
"85","Cattle Price per Head (Euro)","1979M07","Bullocks 200-249kg",268.55
"86","Cattle Price per 100 Kg (Euro)","1979M07","Bullocks 200-249kg",115.93
"87","Cattle Price per Head (Euro)","1979M08","Bullocks 200-249kg",256.65
"88","Cattle Price per 100 Kg (Euro)","1979M08","Bullocks 200-249kg",112.73
"89","Cattle Price per Head (Euro)","1979M09","Bullocks 200-249kg",229.23
"90","Cattle Price per 100 Kg (Euro)","1979M09","Bullocks 200-249kg",100.11
"91","Cattle Price per Head (Euro)","1979M10","Bullocks 200-249kg",206.03
"92","Cattle Price per 100 Kg (Euro)","1979M10","Bullocks 200-249kg",89.73
"93","Cattle Price per Head (Euro)","1979M11","Bullocks 200-249kg",209.01
"94","Cattle Price per 100 Kg (Euro)","1979M11","Bullocks 200-249kg",91.84
"95","Cattle Price per Head (Euro)","1979M12","Bullocks 200-249kg",211.65
"96","Cattle Price per 100 Kg (Euro)","1979M12","Bullocks 200-249kg",92.04
"97","Cattle Price per Head (Euro)","1980M01","Bullocks 200-249kg",225.87
"98","Cattle Price per 100 Kg (Euro)","1980M01","Bullocks 200-249kg",101.95
"99","Cattle Price per Head (Euro)","1980M02","Bullocks 200-249kg",243.26
"100","Cattle Price per 100 Kg (Euro)","1980M02","Bullocks 200-249kg",107.66
"101","Cattle Price per Head (Euro)","1980M03","Bullocks 200-249kg",268.08
"102","Cattle Price per 100 Kg (Euro)","1980M03","Bullocks 200-249kg",117.95
"103","Cattle Price per Head (Euro)","1980M04","Bullocks 200-249kg",262.06
"104","Cattle Price per 100 Kg (Euro)","1980M04","Bullocks 200-249kg",116.12
"105","Cattle Price per Head (Euro)","1980M05","Bullocks 200-249kg",254.98
"106","Cattle Price per 100 Kg (Euro)","1980M05","Bullocks 200-249kg",111.69
"107","Cattle Price per Head (Euro)","1980M06","Bullocks 200-249kg",242.66
"108","Cattle Price per 100 Kg (Euro)","1980M06","Bullocks 200-249kg",106.58
"109","Cattle Price per Head (Euro)","1980M07","Bullocks 200-249kg",229.9
"110","Cattle Price per 100 Kg (Euro)","1980M07","Bullocks 200-249kg",99.6
"111","Cattle Price per Head (Euro)","1980M08","Bullocks 200-249kg",214.37
