"","Statistic","Year","Type.of.Cattle","value"
"356","Cattle Price per 100 Kg (Euro)","2001","Bullocks 400-449kg",149.14
"357","Cattle Price per Head (Euro)","2002","Bullocks 400-449kg",639.9
"358","Cattle Price per 100 Kg (Euro)","2002","Bullocks 400-449kg",151.01
"359","Cattle Price per Head (Euro)","2003","Bullocks 400-449kg",662.97
"360","Cattle Price per 100 Kg (Euro)","2003","Bullocks 400-449kg",156.52
"361","Cattle Price per Head (Euro)","2004","Bullocks 400-449kg",712.67
"362","Cattle Price per 100 Kg (Euro)","2004","Bullocks 400-449kg",168.06
"363","Cattle Price per Head (Euro)","2005","Bullocks 400-449kg",624.81
"364","Cattle Price per 100 Kg (Euro)","2005","Bullocks 400-449kg",147.3
"365","Cattle Price per Head (Euro)","2006","Bullocks 400-449kg",648.44
"366","Cattle Price per 100 Kg (Euro)","2006","Bullocks 400-449kg",152.76
"367","Cattle Price per Head (Euro)","2007","Bullocks 400-449kg",651.92
"368","Cattle Price per 100 Kg (Euro)","2007","Bullocks 400-449kg",153.74
"369","Cattle Price per Head (Euro)","2008","Bullocks 400-449kg",715.51
"370","Cattle Price per 100 Kg (Euro)","2008","Bullocks 400-449kg",168.97
"371","Cattle Price per Head (Euro)","2009","Bullocks 400-449kg",629.81
"372","Cattle Price per 100 Kg (Euro)","2009","Bullocks 400-449kg",148.66
"373","Cattle Price per Head (Euro)","2010","Bullocks 400-449kg",655.46
"374","Cattle Price per 100 Kg (Euro)","2010","Bullocks 400-449kg",154.7
"375","Cattle Price per Head (Euro)","2011","Bullocks 400-449kg",821.12
"376","Cattle Price per 100 Kg (Euro)","2011","Bullocks 400-449kg",193.72
"377","Cattle Price per Head (Euro)","2012","Bullocks 400-449kg",885.92
"378","Cattle Price per 100 Kg (Euro)","2012","Bullocks 400-449kg",208.97
"379","Cattle Price per Head (Euro)","2013","Bullocks 400-449kg",841.37
"380","Cattle Price per 100 Kg (Euro)","2013","Bullocks 400-449kg",198.53
"381","Cattle Price per Head (Euro)","1976","Bullocks 450-499kg",333.94
"382","Cattle Price per 100 Kg (Euro)","1976","Bullocks 450-499kg",69.78
"383","Cattle Price per Head (Euro)","1977","Bullocks 450-499kg",394.49
"384","Cattle Price per 100 Kg (Euro)","1977","Bullocks 450-499kg",83.4
"385","Cattle Price per Head (Euro)","1978","Bullocks 450-499kg",470.51
"386","Cattle Price per 100 Kg (Euro)","1978","Bullocks 450-499kg",99.9
"387","Cattle Price per Head (Euro)","1979","Bullocks 450-499kg",485.33
"388","Cattle Price per 100 Kg (Euro)","1979","Bullocks 450-499kg",103.04
"389","Cattle Price per Head (Euro)","1980","Bullocks 450-499kg",477.5
"390","Cattle Price per 100 Kg (Euro)","1980","Bullocks 450-499kg",101.43
"391","Cattle Price per Head (Euro)","1981","Bullocks 450-499kg",578.1
"392","Cattle Price per 100 Kg (Euro)","1981","Bullocks 450-499kg",122.81
"393","Cattle Price per Head (Euro)","1982","Bullocks 450-499kg",637.32
"394","Cattle Price per 100 Kg (Euro)","1982","Bullocks 450-499kg",135.42
"395","Cattle Price per Head (Euro)","1983","Bullocks 450-499kg",698.13
"396","Cattle Price per 100 Kg (Euro)","1983","Bullocks 450-499kg",148.34
"397","Cattle Price per Head (Euro)","1984","Bullocks 450-499kg",731.34
"398","Cattle Price per 100 Kg (Euro)","1984","Bullocks 450-499kg",155.62
"399","Cattle Price per Head (Euro)","1985","Bullocks 450-499kg",717.16
"400","Cattle Price per 100 Kg (Euro)","1985","Bullocks 450-499kg",152.33
"401","Cattle Price per Head (Euro)","1986","Bullocks 450-499kg",678.69
"402","Cattle Price per 100 Kg (Euro)","1986","Bullocks 450-499kg",144.32
"403","Cattle Price per Head (Euro)","1987","Bullocks 450-499kg",741.46
"404","Cattle Price per 100 Kg (Euro)","1987","Bullocks 450-499kg",157.42
"405","Cattle Price per Head (Euro)","1988","Bullocks 450-499kg",837.42
"406","Cattle Price per 100 Kg (Euro)","1988","Bullocks 450-499kg",177.56
"407","Cattle Price per Head (Euro)","1989","Bullocks 450-499kg",809.17
"408","Cattle Price per 100 Kg (Euro)","1989","Bullocks 450-499kg",171.5
"409","Cattle Price per Head (Euro)","1990","Bullocks 450-499kg",732.8
"410","Cattle Price per 100 Kg (Euro)","1990","Bullocks 450-499kg",155.54
"411","Cattle Price per Head (Euro)","1991","Bullocks 450-499kg",709.59
"412","Cattle Price per 100 Kg (Euro)","1991","Bullocks 450-499kg",150.18
"413","Cattle Price per Head (Euro)","1992","Bullocks 450-499kg",708.09
"414","Cattle Price per 100 Kg (Euro)","1992","Bullocks 450-499kg",150.01
"415","Cattle Price per Head (Euro)","1993","Bullocks 450-499kg",765.93
"416","Cattle Price per 100 Kg (Euro)","1993","Bullocks 450-499kg",162.36
"417","Cattle Price per Head (Euro)","1994","Bullocks 450-499kg",783.97
"418","Cattle Price per 100 Kg (Euro)","1994","Bullocks 450-499kg",166.39
"419","Cattle Price per Head (Euro)","1995","Bullocks 450-499kg",767.4
"420","Cattle Price per 100 Kg (Euro)","1995","Bullocks 450-499kg",162.43
"421","Cattle Price per Head (Euro)","1996","Bullocks 450-499kg",662.17
"422","Cattle Price per 100 Kg (Euro)","1996","Bullocks 450-499kg",140.46
"423","Cattle Price per Head (Euro)","1997","Bullocks 450-499kg",649.39
"424","Cattle Price per 100 Kg (Euro)","1997","Bullocks 450-499kg",136.97
"425","Cattle Price per Head (Euro)","1998","Bullocks 450-499kg",608.85
"426","Cattle Price per 100 Kg (Euro)","1998","Bullocks 450-499kg",129.31
"427","Cattle Price per Head (Euro)","1999","Bullocks 450-499kg",590.54
"428","Cattle Price per 100 Kg (Euro)","1999","Bullocks 450-499kg",124.63
"429","Cattle Price per Head (Euro)","2000","Bullocks 450-499kg",696.2
"430","Cattle Price per 100 Kg (Euro)","2000","Bullocks 450-499kg",147.06
"431","Cattle Price per Head (Euro)","2001","Bullocks 450-499kg",681.32
"432","Cattle Price per 100 Kg (Euro)","2001","Bullocks 450-499kg",144.24
"433","Cattle Price per Head (Euro)","2002","Bullocks 450-499kg",694.35
"434","Cattle Price per 100 Kg (Euro)","2002","Bullocks 450-499kg",146.99
"435","Cattle Price per Head (Euro)","2003","Bullocks 450-499kg",713.62
"436","Cattle Price per 100 Kg (Euro)","2003","Bullocks 450-499kg",151.1
"437","Cattle Price per Head (Euro)","2004","Bullocks 450-499kg",751.72
"438","Cattle Price per 100 Kg (Euro)","2004","Bullocks 450-499kg",160.9
"439","Cattle Price per Head (Euro)","2005","Bullocks 450-499kg",682.48
"440","Cattle Price per 100 Kg (Euro)","2005","Bullocks 450-499kg",144.06
"441","Cattle Price per Head (Euro)","2006","Bullocks 450-499kg",716.21
"442","Cattle Price per 100 Kg (Euro)","2006","Bullocks 450-499kg",151.39
"443","Cattle Price per Head (Euro)","2007","Bullocks 450-499kg",714.47
"444","Cattle Price per 100 Kg (Euro)","2007","Bullocks 450-499kg",150.92
"445","Cattle Price per Head (Euro)","2008","Bullocks 450-499kg",788.02
"446","Cattle Price per 100 Kg (Euro)","2008","Bullocks 450-499kg",166.77
"447","Cattle Price per Head (Euro)","2009","Bullocks 450-499kg",707.61
"448","Cattle Price per 100 Kg (Euro)","2009","Bullocks 450-499kg",149.83
"449","Cattle Price per Head (Euro)","2010","Bullocks 450-499kg",725.51
"450","Cattle Price per 100 Kg (Euro)","2010","Bullocks 450-499kg",153.4
"451","Cattle Price per Head (Euro)","2011","Bullocks 450-499kg",898.85
"452","Cattle Price per 100 Kg (Euro)","2011","Bullocks 450-499kg",189.99
"453","Cattle Price per Head (Euro)","2012","Bullocks 450-499kg",975.17
"454","Cattle Price per 100 Kg (Euro)","2012","Bullocks 450-499kg",206.25
"455","Cattle Price per Head (Euro)","2013","Bullocks 450-499kg",956.15
"456","Cattle Price per 100 Kg (Euro)","2013","Bullocks 450-499kg",202.32
"457","Cattle Price per Head (Euro)","1976","Bullocks 500-549kg",364.31
"458","Cattle Price per 100 Kg (Euro)","1976","Bullocks 500-549kg",69.01
"459","Cattle Price per Head (Euro)","1977","Bullocks 500-549kg",434.24
"460","Cattle Price per 100 Kg (Euro)","1977","Bullocks 500-549kg",83.24
"461","Cattle Price per Head (Euro)","1978","Bullocks 500-549kg",516.15
"462","Cattle Price per 100 Kg (Euro)","1978","Bullocks 500-549kg",99.28
"463","Cattle Price per Head (Euro)","1979","Bullocks 500-549kg",522.95
"464","Cattle Price per 100 Kg (Euro)","1979","Bullocks 500-549kg",100.69
"465","Cattle Price per Head (Euro)","1980","Bullocks 500-549kg",528.41
"466","Cattle Price per 100 Kg (Euro)","1980","Bullocks 500-549kg",101.78
"467","Cattle Price per Head (Euro)","1981","Bullocks 500-549kg",633.54
"468","Cattle Price per 100 Kg (Euro)","1981","Bullocks 500-549kg",121.86
"469","Cattle Price per Head (Euro)","1982","Bullocks 500-549kg",696.07
"470","Cattle Price per 100 Kg (Euro)","1982","Bullocks 500-549kg",133.89
"471","Cattle Price per Head (Euro)","1983","Bullocks 500-549kg",771.94
"472","Cattle Price per 100 Kg (Euro)","1983","Bullocks 500-549kg",148.25
"473","Cattle Price per Head (Euro)","1984","Bullocks 500-549kg",803.33
"474","Cattle Price per 100 Kg (Euro)","1984","Bullocks 500-549kg",154.45
"475","Cattle Price per Head (Euro)","1985","Bullocks 500-549kg",779.62
"476","Cattle Price per 100 Kg (Euro)","1985","Bullocks 500-549kg",149.85
"477","Cattle Price per Head (Euro)","1986","Bullocks 500-549kg",748.09
"478","Cattle Price per 100 Kg (Euro)","1986","Bullocks 500-549kg",143.73
"479","Cattle Price per Head (Euro)","1987","Bullocks 500-549kg",802.47
"480","Cattle Price per 100 Kg (Euro)","1987","Bullocks 500-549kg",154.64
"481","Cattle Price per Head (Euro)","1988","Bullocks 500-549kg",894.86
"482","Cattle Price per 100 Kg (Euro)","1988","Bullocks 500-549kg",172
"483","Cattle Price per Head (Euro)","1989","Bullocks 500-549kg",870.34
"484","Cattle Price per 100 Kg (Euro)","1989","Bullocks 500-549kg",167.11
"485","Cattle Price per Head (Euro)","1990","Bullocks 500-549kg",802.21
"486","Cattle Price per 100 Kg (Euro)","1990","Bullocks 500-549kg",153.98
"487","Cattle Price per Head (Euro)","1991","Bullocks 500-549kg",775.68
"488","Cattle Price per 100 Kg (Euro)","1991","Bullocks 500-549kg",148.97
"489","Cattle Price per Head (Euro)","1992","Bullocks 500-549kg",774.98
"490","Cattle Price per 100 Kg (Euro)","1992","Bullocks 500-549kg",148.74
"491","Cattle Price per Head (Euro)","1993","Bullocks 500-549kg",832.63
"492","Cattle Price per 100 Kg (Euro)","1993","Bullocks 500-549kg",159.86
"493","Cattle Price per Head (Euro)","1994","Bullocks 500-549kg",845.84
"494","Cattle Price per 100 Kg (Euro)","1994","Bullocks 500-549kg",163.89
"495","Cattle Price per Head (Euro)","1995","Bullocks 500-549kg",837.7
"496","Cattle Price per 100 Kg (Euro)","1995","Bullocks 500-549kg",160.36
"497","Cattle Price per Head (Euro)","1996","Bullocks 500-549kg",719.12
"498","Cattle Price per 100 Kg (Euro)","1996","Bullocks 500-549kg",138.08
"499","Cattle Price per Head (Euro)","1997","Bullocks 500-549kg",695.67
"500","Cattle Price per 100 Kg (Euro)","1997","Bullocks 500-549kg",134.35
"501","Cattle Price per Head (Euro)","1998","Bullocks 500-549kg",667.4
"502","Cattle Price per 100 Kg (Euro)","1998","Bullocks 500-549kg",127.99
"503","Cattle Price per Head (Euro)","1999","Bullocks 500-549kg",644.93
"504","Cattle Price per 100 Kg (Euro)","1999","Bullocks 500-549kg",123.61
"505","Cattle Price per Head (Euro)","2000","Bullocks 500-549kg",737.73
"506","Cattle Price per 100 Kg (Euro)","2000","Bullocks 500-549kg",141.3
"507","Cattle Price per Head (Euro)","2001","Bullocks 500-549kg",723.83
"508","Cattle Price per 100 Kg (Euro)","2001","Bullocks 500-549kg",138.79
"509","Cattle Price per Head (Euro)","2002","Bullocks 500-549kg",748.16
"510","Cattle Price per 100 Kg (Euro)","2002","Bullocks 500-549kg",143.52
"511","Cattle Price per Head (Euro)","2003","Bullocks 500-549kg",760.73
"512","Cattle Price per 100 Kg (Euro)","2003","Bullocks 500-549kg",146.03
"513","Cattle Price per Head (Euro)","2004","Bullocks 500-549kg",804.16
"514","Cattle Price per 100 Kg (Euro)","2004","Bullocks 500-549kg",156.95
"515","Cattle Price per Head (Euro)","2005","Bullocks 500-549kg",746.29
"516","Cattle Price per 100 Kg (Euro)","2005","Bullocks 500-549kg",142.93
"517","Cattle Price per Head (Euro)","2006","Bullocks 500-549kg",785.39
"518","Cattle Price per 100 Kg (Euro)","2006","Bullocks 500-549kg",150.58
"519","Cattle Price per Head (Euro)","2007","Bullocks 500-549kg",779.7
"520","Cattle Price per 100 Kg (Euro)","2007","Bullocks 500-549kg",149.45
"521","Cattle Price per Head (Euro)","2008","Bullocks 500-549kg",866.94
"522","Cattle Price per 100 Kg (Euro)","2008","Bullocks 500-549kg",166.17
"523","Cattle Price per Head (Euro)","2009","Bullocks 500-549kg",786.06
"524","Cattle Price per 100 Kg (Euro)","2009","Bullocks 500-549kg",150.79
"525","Cattle Price per Head (Euro)","2010","Bullocks 500-549kg",796.51
"526","Cattle Price per 100 Kg (Euro)","2010","Bullocks 500-549kg",152.66
"527","Cattle Price per Head (Euro)","2011","Bullocks 500-549kg",972.2
"528","Cattle Price per 100 Kg (Euro)","2011","Bullocks 500-549kg",186.29
"529","Cattle Price per Head (Euro)","2012","Bullocks 500-549kg",1077.48
"530","Cattle Price per 100 Kg (Euro)","2012","Bullocks 500-549kg",206.56
"531","Cattle Price per Head (Euro)","2013","Bullocks 500-549kg",1076.77
"532","Cattle Price per 100 Kg (Euro)","2013","Bullocks 500-549kg",206.43
"533","Cattle Price per Head (Euro)","1976","Bullocks 550kg+",410.85
"534","Cattle Price per 100 Kg (Euro)","1976","Bullocks 550kg+",69.04
"535","Cattle Price per Head (Euro)","1977","Bullocks 550kg+",497.91
"536","Cattle Price per 100 Kg (Euro)","1977","Bullocks 550kg+",83.76
"537","Cattle Price per Head (Euro)","1978","Bullocks 550kg+",580.05
"538","Cattle Price per 100 Kg (Euro)","1978","Bullocks 550kg+",98.24
"539","Cattle Price per Head (Euro)","1979","Bullocks 550kg+",579.93
"540","Cattle Price per 100 Kg (Euro)","1979","Bullocks 550kg+",99.14
"541","Cattle Price per Head (Euro)","1980","Bullocks 550kg+",596.71
"542","Cattle Price per 100 Kg (Euro)","1980","Bullocks 550kg+",101.67
"543","Cattle Price per Head (Euro)","1981","Bullocks 550kg+",715.66
"544","Cattle Price per 100 Kg (Euro)","1981","Bullocks 550kg+",122.05
"545","Cattle Price per Head (Euro)","1982","Bullocks 550kg+",787.99
"546","Cattle Price per 100 Kg (Euro)","1982","Bullocks 550kg+",133.91
"547","Cattle Price per Head (Euro)","1983","Bullocks 550kg+",881.93
"548","Cattle Price per 100 Kg (Euro)","1983","Bullocks 550kg+",149.56
"549","Cattle Price per Head (Euro)","1984","Bullocks 550kg+",910.92
"550","Cattle Price per 100 Kg (Euro)","1984","Bullocks 550kg+",153.74
"551","Cattle Price per Head (Euro)","1985","Bullocks 550kg+",883.98
"552","Cattle Price per 100 Kg (Euro)","1985","Bullocks 550kg+",148.64
"553","Cattle Price per Head (Euro)","1986","Bullocks 550kg+",859.64
"554","Cattle Price per 100 Kg (Euro)","1986","Bullocks 550kg+",145.31
"555","Cattle Price per Head (Euro)","1987","Bullocks 550kg+",903.61
"556","Cattle Price per 100 Kg (Euro)","1987","Bullocks 550kg+",152.64
"557","Cattle Price per Head (Euro)","1988","Bullocks 550kg+",1006.89
"558","Cattle Price per 100 Kg (Euro)","1988","Bullocks 550kg+",168.98
"559","Cattle Price per Head (Euro)","1989","Bullocks 550kg+",963.95
"560","Cattle Price per 100 Kg (Euro)","1989","Bullocks 550kg+",161.43
"561","Cattle Price per Head (Euro)","1990","Bullocks 550kg+",910.94
"562","Cattle Price per 100 Kg (Euro)","1990","Bullocks 550kg+",151.92
"563","Cattle Price per Head (Euro)","1991","Bullocks 550kg+",887.01
"564","Cattle Price per 100 Kg (Euro)","1991","Bullocks 550kg+",147.38
"565","Cattle Price per Head (Euro)","1992","Bullocks 550kg+",890.94
"566","Cattle Price per 100 Kg (Euro)","1992","Bullocks 550kg+",147.61
"567","Cattle Price per Head (Euro)","1993","Bullocks 550kg+",947.35
"568","Cattle Price per 100 Kg (Euro)","1993","Bullocks 550kg+",157.31
"569","Cattle Price per Head (Euro)","1994","Bullocks 550kg+",951.52
"570","Cattle Price per 100 Kg (Euro)","1994","Bullocks 550kg+",157.94
"571","Cattle Price per Head (Euro)","1995","Bullocks 550kg+",969.61
"572","Cattle Price per 100 Kg (Euro)","1995","Bullocks 550kg+",162.42
"573","Cattle Price per Head (Euro)","1996","Bullocks 550kg+",817.9
"574","Cattle Price per 100 Kg (Euro)","1996","Bullocks 550kg+",136.9
"575","Cattle Price per Head (Euro)","1997","Bullocks 550kg+",783.05
"576","Cattle Price per 100 Kg (Euro)","1997","Bullocks 550kg+",131.51
"577","Cattle Price per Head (Euro)","1998","Bullocks 550kg+",755.11
"578","Cattle Price per 100 Kg (Euro)","1998","Bullocks 550kg+",127.24
"579","Cattle Price per Head (Euro)","1999","Bullocks 550kg+",726.48
"580","Cattle Price per 100 Kg (Euro)","1999","Bullocks 550kg+",123.48
"581","Cattle Price per Head (Euro)","2000","Bullocks 550kg+",824.42
"582","Cattle Price per 100 Kg (Euro)","2000","Bullocks 550kg+",137.35
"583","Cattle Price per Head (Euro)","2001","Bullocks 550kg+",779.04
"584","Cattle Price per 100 Kg (Euro)","2001","Bullocks 550kg+",130.85
"585","Cattle Price per Head (Euro)","2002","Bullocks 550kg+",806.99
"586","Cattle Price per 100 Kg (Euro)","2002","Bullocks 550kg+",137.11
"587","Cattle Price per Head (Euro)","2003","Bullocks 550kg+",817.21
"588","Cattle Price per 100 Kg (Euro)","2003","Bullocks 550kg+",138.45
"589","Cattle Price per Head (Euro)","2004","Bullocks 550kg+",869.63
"590","Cattle Price per 100 Kg (Euro)","2004","Bullocks 550kg+",149.76
"591","Cattle Price per Head (Euro)","2005","Bullocks 550kg+",843.58
"592","Cattle Price per 100 Kg (Euro)","2005","Bullocks 550kg+",140.84
"593","Cattle Price per Head (Euro)","2006","Bullocks 550kg+",900.04
"594","Cattle Price per 100 Kg (Euro)","2006","Bullocks 550kg+",150.43
"595","Cattle Price per Head (Euro)","2007","Bullocks 550kg+",884.83
"596","Cattle Price per 100 Kg (Euro)","2007","Bullocks 550kg+",147.85
"597","Cattle Price per Head (Euro)","2008","Bullocks 550kg+",1004.92
"598","Cattle Price per 100 Kg (Euro)","2008","Bullocks 550kg+",167.28
"599","Cattle Price per Head (Euro)","2009","Bullocks 550kg+",914.21
"600","Cattle Price per 100 Kg (Euro)","2009","Bullocks 550kg+",151.82
"601","Cattle Price per Head (Euro)","2010","Bullocks 550kg+",919.15
"602","Cattle Price per 100 Kg (Euro)","2010","Bullocks 550kg+",152.39
"603","Cattle Price per Head (Euro)","2011","Bullocks 550kg+",NA
"604","Cattle Price per 100 Kg (Euro)","2011","Bullocks 550kg+",NA
"605","Cattle Price per Head (Euro)","2012","Bullocks 550kg+",NA
"606","Cattle Price per 100 Kg (Euro)","2012","Bullocks 550kg+",NA
"607","Cattle Price per Head (Euro)","2013","Bullocks 550kg+",1124.72
"608","Cattle Price per 100 Kg (Euro)","2013","Bullocks 550kg+",196.97
"609","Cattle Price per Head (Euro)","1976","Heifers 200-249kg",NA
"610","Cattle Price per 100 Kg (Euro)","1976","Heifers 200-249kg",NA
"611","Cattle Price per Head (Euro)","1977","Heifers 200-249kg",NA
"612","Cattle Price per 100 Kg (Euro)","1977","Heifers 200-249kg",NA
"613","Cattle Price per Head (Euro)","1978","Heifers 200-249kg",200.44
"614","Cattle Price per 100 Kg (Euro)","1978","Heifers 200-249kg",88.73
"615","Cattle Price per Head (Euro)","1979","Heifers 200-249kg",244.93
"616","Cattle Price per 100 Kg (Euro)","1979","Heifers 200-249kg",108.69
"617","Cattle Price per Head (Euro)","1980","Heifers 200-249kg",200.63
"618","Cattle Price per 100 Kg (Euro)","1980","Heifers 200-249kg",88.82
"619","Cattle Price per Head (Euro)","1981","Heifers 200-249kg",264.77
"620","Cattle Price per 100 Kg (Euro)","1981","Heifers 200-249kg",117.68
"621","Cattle Price per Head (Euro)","1982","Heifers 200-249kg",314.81
"622","Cattle Price per 100 Kg (Euro)","1982","Heifers 200-249kg",139.33
"623","Cattle Price per Head (Euro)","1983","Heifers 200-249kg",315.61
"624","Cattle Price per 100 Kg (Euro)","1983","Heifers 200-249kg",140.47
"625","Cattle Price per Head (Euro)","1984","Heifers 200-249kg",325.17
"626","Cattle Price per 100 Kg (Euro)","1984","Heifers 200-249kg",144.33
"627","Cattle Price per Head (Euro)","1985","Heifers 200-249kg",337.98
"628","Cattle Price per 100 Kg (Euro)","1985","Heifers 200-249kg",150.03
"629","Cattle Price per Head (Euro)","1986","Heifers 200-249kg",317.68
"630","Cattle Price per 100 Kg (Euro)","1986","Heifers 200-249kg",140.2
"631","Cattle Price per Head (Euro)","1987","Heifers 200-249kg",338.97
"632","Cattle Price per 100 Kg (Euro)","1987","Heifers 200-249kg",149.91
"633","Cattle Price per Head (Euro)","1988","Heifers 200-249kg",471.16
"634","Cattle Price per 100 Kg (Euro)","1988","Heifers 200-249kg",208.02
"635","Cattle Price per Head (Euro)","1989","Heifers 200-249kg",467.17
"636","Cattle Price per 100 Kg (Euro)","1989","Heifers 200-249kg",207.17
"637","Cattle Price per Head (Euro)","1990","Heifers 200-249kg",387.54
"638","Cattle Price per 100 Kg (Euro)","1990","Heifers 200-249kg",170.41
"639","Cattle Price per Head (Euro)","1991","Heifers 200-249kg",320.81
"640","Cattle Price per 100 Kg (Euro)","1991","Heifers 200-249kg",140.99
"641","Cattle Price per Head (Euro)","1992","Heifers 200-249kg",328.14
"642","Cattle Price per 100 Kg (Euro)","1992","Heifers 200-249kg",144.59
"643","Cattle Price per Head (Euro)","1993","Heifers 200-249kg",359.2
"644","Cattle Price per 100 Kg (Euro)","1993","Heifers 200-249kg",158.04
"645","Cattle Price per Head (Euro)","1994","Heifers 200-249kg",397.73
"646","Cattle Price per 100 Kg (Euro)","1994","Heifers 200-249kg",176
"647","Cattle Price per Head (Euro)","1995","Heifers 200-249kg",374.99
"648","Cattle Price per 100 Kg (Euro)","1995","Heifers 200-249kg",164.24
"649","Cattle Price per Head (Euro)","1996","Heifers 200-249kg",338.47
"650","Cattle Price per 100 Kg (Euro)","1996","Heifers 200-249kg",149.55
"651","Cattle Price per Head (Euro)","1997","Heifers 200-249kg",304.04
"652","Cattle Price per 100 Kg (Euro)","1997","Heifers 200-249kg",132.69
"653","Cattle Price per Head (Euro)","1998","Heifers 200-249kg",271.07
"654","Cattle Price per 100 Kg (Euro)","1998","Heifers 200-249kg",118.4
"655","Cattle Price per Head (Euro)","1999","Heifers 200-249kg",217.72
"656","Cattle Price per 100 Kg (Euro)","1999","Heifers 200-249kg",95.72
"657","Cattle Price per Head (Euro)","2000","Heifers 200-249kg",301.21
"658","Cattle Price per 100 Kg (Euro)","2000","Heifers 200-249kg",131.62
"659","Cattle Price per Head (Euro)","2001","Heifers 200-249kg",291.68
"660","Cattle Price per 100 Kg (Euro)","2001","Heifers 200-249kg",127.77
"661","Cattle Price per Head (Euro)","2002","Heifers 200-249kg",317.07
"662","Cattle Price per 100 Kg (Euro)","2002","Heifers 200-249kg",139.21
"663","Cattle Price per Head (Euro)","2003","Heifers 200-249kg",324.64
"664","Cattle Price per 100 Kg (Euro)","2003","Heifers 200-249kg",141.63
"665","Cattle Price per Head (Euro)","2004","Heifers 200-249kg",374.98
"666","Cattle Price per 100 Kg (Euro)","2004","Heifers 200-249kg",165.4
"667","Cattle Price per Head (Euro)","2005","Heifers 200-249kg",375.93
"668","Cattle Price per 100 Kg (Euro)","2005","Heifers 200-249kg",165.06
"669","Cattle Price per Head (Euro)","2006","Heifers 200-249kg",362.03
"670","Cattle Price per 100 Kg (Euro)","2006","Heifers 200-249kg",158.82
"671","Cattle Price per Head (Euro)","2007","Heifers 200-249kg",393.43
"672","Cattle Price per 100 Kg (Euro)","2007","Heifers 200-249kg",170.57
"673","Cattle Price per Head (Euro)","2008","Heifers 200-249kg",432.52
"674","Cattle Price per 100 Kg (Euro)","2008","Heifers 200-249kg",188.15
"675","Cattle Price per Head (Euro)","2009","Heifers 200-249kg",365.56
"676","Cattle Price per 100 Kg (Euro)","2009","Heifers 200-249kg",160.07
"677","Cattle Price per Head (Euro)","2010","Heifers 200-249kg",361.72
"678","Cattle Price per 100 Kg (Euro)","2010","Heifers 200-249kg",158.22
"679","Cattle Price per Head (Euro)","2011","Heifers 200-249kg",487.86
"680","Cattle Price per 100 Kg (Euro)","2011","Heifers 200-249kg",214.13
"681","Cattle Price per Head (Euro)","2012","Heifers 200-249kg",594.64
"682","Cattle Price per 100 Kg (Euro)","2012","Heifers 200-249kg",261.08
"683","Cattle Price per Head (Euro)","2013","Heifers 200-249kg",NA
"684","Cattle Price per 100 Kg (Euro)","2013","Heifers 200-249kg",NA
"685","Cattle Price per Head (Euro)","1976","Heifers 250-299kg",NA
"686","Cattle Price per 100 Kg (Euro)","1976","Heifers 250-299kg",NA
"687","Cattle Price per Head (Euro)","1977","Heifers 250-299kg",NA
"688","Cattle Price per 100 Kg (Euro)","1977","Heifers 250-299kg",NA
"689","Cattle Price per Head (Euro)","1978","Heifers 250-299kg",243.1
"690","Cattle Price per 100 Kg (Euro)","1978","Heifers 250-299kg",88.68
"691","Cattle Price per Head (Euro)","1979","Heifers 250-299kg",281.49
"692","Cattle Price per 100 Kg (Euro)","1979","Heifers 250-299kg",102.71
"693","Cattle Price per Head (Euro)","1980","Heifers 250-299kg",243.99
"694","Cattle Price per 100 Kg (Euro)","1980","Heifers 250-299kg",88.87
"695","Cattle Price per Head (Euro)","1981","Heifers 250-299kg",319.45
"696","Cattle Price per 100 Kg (Euro)","1981","Heifers 250-299kg",116.37
"697","Cattle Price per Head (Euro)","1982","Heifers 250-299kg",364.36
"698","Cattle Price per 100 Kg (Euro)","1982","Heifers 250-299kg",132.97
"699","Cattle Price per Head (Euro)","1983","Heifers 250-299kg",360.92
"700","Cattle Price per 100 Kg (Euro)","1983","Heifers 250-299kg",131.63
"701","Cattle Price per Head (Euro)","1984","Heifers 250-299kg",375.87
"702","Cattle Price per 100 Kg (Euro)","1984","Heifers 250-299kg",137.31
"703","Cattle Price per Head (Euro)","1985","Heifers 250-299kg",382.38
"704","Cattle Price per 100 Kg (Euro)","1985","Heifers 250-299kg",139.54
"705","Cattle Price per Head (Euro)","1986","Heifers 250-299kg",362.59
"706","Cattle Price per 100 Kg (Euro)","1986","Heifers 250-299kg",132.12
"707","Cattle Price per Head (Euro)","1987","Heifers 250-299kg",397.05
"708","Cattle Price per 100 Kg (Euro)","1987","Heifers 250-299kg",144.92
"709","Cattle Price per Head (Euro)","1988","Heifers 250-299kg",528.3
"710","Cattle Price per 100 Kg (Euro)","1988","Heifers 250-299kg",192.97
"711","Cattle Price per Head (Euro)","1989","Heifers 250-299kg",525.8
"712","Cattle Price per 100 Kg (Euro)","1989","Heifers 250-299kg",191.44
"713","Cattle Price per Head (Euro)","1990","Heifers 250-299kg",445.02
"714","Cattle Price per 100 Kg (Euro)","1990","Heifers 250-299kg",161.97
"715","Cattle Price per Head (Euro)","1991","Heifers 250-299kg",384.43
"716","Cattle Price per 100 Kg (Euro)","1991","Heifers 250-299kg",139.77
"717","Cattle Price per Head (Euro)","1992","Heifers 250-299kg",386.32
"718","Cattle Price per 100 Kg (Euro)","1992","Heifers 250-299kg",140.75
