"","Statistic","Year","Type.of.Cattle","value"
"72","Cattle Price per 100 Kg (Euro)","2011","Bullocks 200-249kg",218.14
"73","Cattle Price per Head (Euro)","2012","Bullocks 200-249kg",570.75
"74","Cattle Price per 100 Kg (Euro)","2012","Bullocks 200-249kg",250.02
"75","Cattle Price per Head (Euro)","2013","Bullocks 200-249kg",NA
"76","Cattle Price per 100 Kg (Euro)","2013","Bullocks 200-249kg",NA
"77","Cattle Price per Head (Euro)","1976","Bullocks 250-299kg",NA
"78","Cattle Price per 100 Kg (Euro)","1976","Bullocks 250-299kg",NA
"79","Cattle Price per Head (Euro)","1977","Bullocks 250-299kg",NA
"80","Cattle Price per 100 Kg (Euro)","1977","Bullocks 250-299kg",NA
"81","Cattle Price per Head (Euro)","1978","Bullocks 250-299kg",286.4
"82","Cattle Price per 100 Kg (Euro)","1978","Bullocks 250-299kg",104.45
"83","Cattle Price per Head (Euro)","1979","Bullocks 250-299kg",319.73
"84","Cattle Price per 100 Kg (Euro)","1979","Bullocks 250-299kg",116.71
"85","Cattle Price per Head (Euro)","1980","Bullocks 250-299kg",287.71
"86","Cattle Price per 100 Kg (Euro)","1980","Bullocks 250-299kg",104.87
"87","Cattle Price per Head (Euro)","1981","Bullocks 250-299kg",356.69
"88","Cattle Price per 100 Kg (Euro)","1981","Bullocks 250-299kg",130.17
"89","Cattle Price per Head (Euro)","1982","Bullocks 250-299kg",415.89
"90","Cattle Price per 100 Kg (Euro)","1982","Bullocks 250-299kg",151.59
"91","Cattle Price per Head (Euro)","1983","Bullocks 250-299kg",452.48
"92","Cattle Price per 100 Kg (Euro)","1983","Bullocks 250-299kg",164.74
"93","Cattle Price per Head (Euro)","1984","Bullocks 250-299kg",477.88
"94","Cattle Price per 100 Kg (Euro)","1984","Bullocks 250-299kg",174.06
"95","Cattle Price per Head (Euro)","1985","Bullocks 250-299kg",489.74
"96","Cattle Price per 100 Kg (Euro)","1985","Bullocks 250-299kg",178.41
"97","Cattle Price per Head (Euro)","1986","Bullocks 250-299kg",435.85
"98","Cattle Price per 100 Kg (Euro)","1986","Bullocks 250-299kg",157.56
"99","Cattle Price per Head (Euro)","1987","Bullocks 250-299kg",484.04
"100","Cattle Price per 100 Kg (Euro)","1987","Bullocks 250-299kg",175.69
"101","Cattle Price per Head (Euro)","1988","Bullocks 250-299kg",606.15
"102","Cattle Price per 100 Kg (Euro)","1988","Bullocks 250-299kg",220.5
"103","Cattle Price per Head (Euro)","1989","Bullocks 250-299kg",613.17
"104","Cattle Price per 100 Kg (Euro)","1989","Bullocks 250-299kg",222.52
"105","Cattle Price per Head (Euro)","1990","Bullocks 250-299kg",502.16
"106","Cattle Price per 100 Kg (Euro)","1990","Bullocks 250-299kg",181.93
"107","Cattle Price per Head (Euro)","1991","Bullocks 250-299kg",449.42
