"","Year","Statistic","value"
"1","1990","Gross Output at Producer Prices (Base 2000=100)",97
"2","1991","Gross Output at Producer Prices (Base 2000=100)",96.8
"3","1992","Gross Output at Producer Prices (Base 2000=100)",100.3
"4","1993","Gross Output at Producer Prices (Base 2000=100)",98.3
"5","1994","Gross Output at Producer Prices (Base 2000=100)",97.2
"6","1995","Gross Output at Producer Prices (Base 2000=100)",98.2
"7","1996","Gross Output at Producer Prices (Base 2000=100)",102.5
"8","1997","Gross Output at Producer Prices (Base 2000=100)",100.8
"9","1998","Gross Output at Producer Prices (Base 2000=100)",100.4
"10","1999","Gross Output at Producer Prices (Base 2000=100)",101.5
"11","2000","Gross Output at Producer Prices (Base 2000=100)",100
"12","2001","Gross Output at Producer Prices (Base 2000=100)",101.9
"13","2002","Gross Output at Producer Prices (Base 2000=100)",96.7
"14","2003","Gross Output at Producer Prices (Base 2000=100)",99.8
"15","2004","Gross Output at Producer Prices (Base 2000=100)",100.6
"16","2005","Gross Output at Producer Prices (Base 2000=100)",98.7
"17","2006","Gross Output at Producer Prices (Base 2000=100)",97.9
"18","2007","Gross Output at Producer Prices (Base 2000=100)",96.5
"19","2008","Gross Output at Producer Prices (Base 2000=100)",95.6
"20","2009","Gross Output at Producer Prices (Base 2000=100)",91.5
"21","2010","Gross Output at Producer Prices (Base 2000=100)",93.7
"22","1990","All Livestock (Base 2000=100)",93.6
"23","1991","All Livestock (Base 2000=100)",95
"24","1992","All Livestock (Base 2000=100)",100.1
"25","1993","All Livestock (Base 2000=100)",98.5
"26","1994","All Livestock (Base 2000=100)",93.6
"27","1995","All Livestock (Base 2000=100)",96.2
"28","1996","All Livestock (Base 2000=100)",102.1
"29","1997","All Livestock (Base 2000=100)",103.3
"30","1998","All Livestock (Base 2000=100)",106.3
"31","1999","All Livestock (Base 2000=100)",106.4
"32","2000","All Livestock (Base 2000=100)",100
"33","2001","All Livestock (Base 2000=100)",100.9
"34","2002","All Livestock (Base 2000=100)",95
"35","2003","All Livestock (Base 2000=100)",99.5
"36","2004","All Livestock (Base 2000=100)",99.7
"37","2005","All Livestock (Base 2000=100)",98.3
"38","2006","All Livestock (Base 2000=100)",96.3
"39","2007","All Livestock (Base 2000=100)",98.8
"40","2008","All Livestock (Base 2000=100)",97.3
