"","Year","State","Statistic","value"
"1","2005","State","Gross Output at Producer Prices (Base 2005=100)",100
"2","2006","State","Gross Output at Producer Prices (Base 2005=100)",100.3
"3","2007","State","Gross Output at Producer Prices (Base 2005=100)",99
"4","2008","State","Gross Output at Producer Prices (Base 2005=100)",98.7
"5","2009","State","Gross Output at Producer Prices (Base 2005=100)",93.7
"6","2010","State","Gross Output at Producer Prices (Base 2005=100)",96.8
"7","2011","State","Gross Output at Producer Prices (Base 2005=100)",99.7
"8","2012","State","Gross Output at Producer Prices (Base 2005=100)",99.5
"9","2005","State","All Livestock (Base 2005=100)",100
"10","2006","State","All Livestock (Base 2005=100)",98.1
"11","2007","State","All Livestock (Base 2005=100)",100.5
"12","2008","State","All Livestock (Base 2005=100)",98.7
"13","2009","State","All Livestock (Base 2005=100)",94.3
"14","2010","State","All Livestock (Base 2005=100)",95.6
"15","2011","State","All Livestock (Base 2005=100)",96
"16","2012","State","All Livestock (Base 2005=100)",98.8
"17","2005","State","Livestock - Cattle  (Base 2005=100)",100
"18","2006","State","Livestock - Cattle  (Base 2005=100)",97.9
"19","2007","State","Livestock - Cattle  (Base 2005=100)",101.6
"20","2008","State","Livestock - Cattle  (Base 2005=100)",98.1
"21","2009","State","Livestock - Cattle  (Base 2005=100)",94.4
"22","2010","State","Livestock - Cattle  (Base 2005=100)",94.9
"23","2011","State","Livestock - Cattle  (Base 2005=100)",96.7
"24","2012","State","Livestock - Cattle  (Base 2005=100)",97.3
"25","2005","State","Livestock - Pigs  (Base 2005=100)",100
"26","2006","State","Livestock - Pigs  (Base 2005=100)",102.3
"27","2007","State","Livestock - Pigs  (Base 2005=100)",97.9
"28","2008","State","Livestock - Pigs  (Base 2005=100)",102.9
"29","2009","State","Livestock - Pigs  (Base 2005=100)",103.4
"30","2010","State","Livestock - Pigs  (Base 2005=100)",114.5
"31","2011","State","Livestock - Pigs  (Base 2005=100)",122.8
"32","2012","State","Livestock - Pigs  (Base 2005=100)",124.6
"33","2005","State","Livestock - Sheep  (Base 2005=100)",100
"34","2006","State","Livestock - Sheep  (Base 2005=100)",97.1
"35","2007","State","Livestock - Sheep  (Base 2005=100)",89.9
"36","2008","State","Livestock - Sheep  (Base 2005=100)",81.5
"37","2009","State","Livestock - Sheep  (Base 2005=100)",71.7
"38","2010","State","Livestock - Sheep  (Base 2005=100)",63.3
"39","2011","State","Livestock - Sheep  (Base 2005=100)",67.1
"40","2012","State","Livestock - Sheep  (Base 2005=100)",76.8
"41","2005","State","Livestock - Horses (Base 2005=100)",100
"42","2006","State","Livestock - Horses (Base 2005=100)",105.8
"43","2007","State","Livestock - Horses (Base 2005=100)",114.8
"44","2008","State","Livestock - Horses (Base 2005=100)",125.5
"45","2009","State","Livestock - Horses (Base 2005=100)",113.6
"46","2010","State","Livestock - Horses (Base 2005=100)",109.5
"47","2011","State","Livestock - Horses (Base 2005=100)",89.2
"48","2012","State","Livestock - Horses (Base 2005=100)",101.1
"49","2005","State","Livestock - Poultry  (Base 2005=100)",100
"50","2006","State","Livestock - Poultry  (Base 2005=100)",80.4
"51","2007","State","Livestock - Poultry  (Base 2005=100)",86.3
"52","2008","State","Livestock - Poultry  (Base 2005=100)",76.1
