"","Year","State","Statistic","value"
"53","2009","State","Livestock - Poultry  (Base 2005=100)",74.7
"54","2010","State","Livestock - Poultry  (Base 2005=100)",85.5
"55","2011","State","Livestock - Poultry  (Base 2005=100)",84.4
"56","2012","State","Livestock - Poultry  (Base 2005=100)",86.5
"57","2005","State","All Livestock Products (Base 2005=100)",100
"58","2006","State","All Livestock Products (Base 2005=100)",103.6
"59","2007","State","All Livestock Products (Base 2005=100)",102.3
"60","2008","State","All Livestock Products (Base 2005=100)",99
"61","2009","State","All Livestock Products (Base 2005=100)",95.6
"62","2010","State","All Livestock Products (Base 2005=100)",102.2
"63","2011","State","All Livestock Products (Base 2005=100)",105.4
"64","2012","State","All Livestock Products (Base 2005=100)",102.6
"65","2005","State","Livestock Products - Milk  (Base 2005=100)",100
"66","2006","State","Livestock Products - Milk  (Base 2005=100)",103.6
"67","2007","State","Livestock Products - Milk  (Base 2005=100)",102.6
"68","2008","State","Livestock Products - Milk  (Base 2005=100)",99.2
"69","2009","State","Livestock Products - Milk  (Base 2005=100)",95.7
"70","2010","State","Livestock Products - Milk  (Base 2005=100)",102.5
"71","2011","State","Livestock Products - Milk  (Base 2005=100)",105.6
"72","2012","State","Livestock Products - Milk  (Base 2005=100)",102.2
"73","2005","State","All Crops (Base 2005=100)",100
"74","2006","State","All Crops (Base 2005=100)",101.9
"75","2007","State","All Crops (Base 2005=100)",102.8
"76","2008","State","All Crops (Base 2005=100)",147.5
"77","2009","State","All Crops (Base 2005=100)",87.7
"78","2010","State","All Crops (Base 2005=100)",95.7
"79","2011","State","All Crops (Base 2005=100)",132
"80","2012","State","All Crops (Base 2005=100)",125.2
"81","2005","State","Crops - Barley  (Base 2005=100)",100
"82","2006","State","Crops - Barley  (Base 2005=100)",98.7
"83","2007","State","Crops - Barley  (Base 2005=100)",96.6
"84","2008","State","Crops - Barley  (Base 2005=100)",114.6
"85","2009","State","Crops - Barley  (Base 2005=100)",98.6
"86","2010","State","Crops - Barley  (Base 2005=100)",102.3
"87","2011","State","Crops - Barley  (Base 2005=100)",129.8
"88","2012","State","Crops - Barley  (Base 2005=100)",137.8
"89","2005","State","Crops - Wheat  (Base 2005=100)",100
"90","2006","State","Crops - Wheat  (Base 2005=100)",101.4
"91","2007","State","Crops - Wheat  (Base 2005=100)",103.1
"92","2008","State","Crops - Wheat  (Base 2005=100)",200.1
"93","2009","State","Crops - Wheat  (Base 2005=100)",65.4
"94","2010","State","Crops - Wheat  (Base 2005=100)",78.1
"95","2011","State","Crops - Wheat  (Base 2005=100)",128.3
"96","2012","State","Crops - Wheat  (Base 2005=100)",98.6
"97","2005","State","Crops - Potatoes  (Base 2005=100)",100
"98","2006","State","Crops - Potatoes  (Base 2005=100)",86.7
"99","2007","State","Crops - Potatoes  (Base 2005=100)",84.2
"100","2008","State","Crops - Potatoes  (Base 2005=100)",68.9
"101","2009","State","Crops - Potatoes  (Base 2005=100)",70.5
"102","2010","State","Crops - Potatoes  (Base 2005=100)",109.6
"103","2011","State","Crops - Potatoes  (Base 2005=100)",108.5
"104","2012","State","Crops - Potatoes  (Base 2005=100)",70.3
"105","2005","State","Crops - Sugar Beet (Base 2005=100)",100
"106","2006","State","Crops - Sugar Beet (Base 2005=100)",0
"107","2007","State","Crops - Sugar Beet (Base 2005=100)",0
"108","2008","State","Crops - Sugar Beet (Base 2005=100)",0
"109","2009","State","Crops - Sugar Beet (Base 2005=100)",0
"110","2010","State","Crops - Sugar Beet (Base 2005=100)",0
"111","2011","State","Crops - Sugar Beet (Base 2005=100)",0
"112","2012","State","Crops - Sugar Beet (Base 2005=100)",0
"113","2005","State","Crops - Fresh Vegetables  (Base 2005=100)",100
"114","2006","State","Crops - Fresh Vegetables  (Base 2005=100)",92.8
"115","2007","State","Crops - Fresh Vegetables  (Base 2005=100)",87.3
"116","2008","State","Crops - Fresh Vegetables  (Base 2005=100)",88.2
"117","2009","State","Crops - Fresh Vegetables  (Base 2005=100)",85.9
"118","2010","State","Crops - Fresh Vegetables  (Base 2005=100)",78.7
"119","2011","State","Crops - Fresh Vegetables  (Base 2005=100)",91.5
"120","2012","State","Crops - Fresh Vegetables  (Base 2005=100)",90.9
"121","2005","State","Intermediate Consumption (Base 2005=100)",100
"122","2006","State","Intermediate Consumption (Base 2005=100)",102.9
"123","2007","State","Intermediate Consumption (Base 2005=100)",99.3
"124","2008","State","Intermediate Consumption (Base 2005=100)",98.6
"125","2009","State","Intermediate Consumption (Base 2005=100)",95.7
"126","2010","State","Intermediate Consumption (Base 2005=100)",97.9
"127","2011","State","Intermediate Consumption (Base 2005=100)",100.1
"128","2012","State","Intermediate Consumption (Base 2005=100)",104
"129","2005","State","Intermediate Consumption - Feedingstuffs  (Base 2005=100)",100
"130","2006","State","Intermediate Consumption - Feedingstuffs  (Base 2005=100)",108.3
"131","2007","State","Intermediate Consumption - Feedingstuffs  (Base 2005=100)",101
"132","2008","State","Intermediate Consumption - Feedingstuffs  (Base 2005=100)",102.3
"133","2009","State","Intermediate Consumption - Feedingstuffs  (Base 2005=100)",101.5
"134","2010","State","Intermediate Consumption - Feedingstuffs  (Base 2005=100)",103.2
"135","2011","State","Intermediate Consumption - Feedingstuffs  (Base 2005=100)",100.5
"136","2012","State","Intermediate Consumption - Feedingstuffs  (Base 2005=100)",115.1
"137","2005","State","Intermediate Consumption - Fertilisers (Base 2005=100)",100
"138","2006","State","Intermediate Consumption - Fertilisers (Base 2005=100)",97.5
"139","2007","State","Intermediate Consumption - Fertilisers (Base 2005=100)",90.6
"140","2008","State","Intermediate Consumption - Fertilisers (Base 2005=100)",85.6
"141","2009","State","Intermediate Consumption - Fertilisers (Base 2005=100)",78.5
"142","2010","State","Intermediate Consumption - Fertilisers (Base 2005=100)",95.9
"143","2011","State","Intermediate Consumption - Fertilisers (Base 2005=100)",86.8
"144","2012","State","Intermediate Consumption - Fertilisers (Base 2005=100)",83.5
"145","2005","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2005=100)",100
"146","2006","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2005=100)",116.9
"147","2007","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2005=100)",117.1
"148","2008","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2005=100)",135.1
"149","2009","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2005=100)",99.4
"150","2010","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2005=100)",70.1
"151","2011","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2005=100)",54.8
"152","2012","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2005=100)",48.1
"153","2005","State","Intermediate Consumption - Seeds (Base 2005=100)",100
"154","2006","State","Intermediate Consumption - Seeds (Base 2005=100)",124.1
"155","2007","State","Intermediate Consumption - Seeds (Base 2005=100)",143.7
"156","2008","State","Intermediate Consumption - Seeds (Base 2005=100)",135.9
"157","2009","State","Intermediate Consumption - Seeds (Base 2005=100)",108.2
"158","2010","State","Intermediate Consumption - Seeds (Base 2005=100)",119.8
"159","2011","State","Intermediate Consumption - Seeds (Base 2005=100)",92
"160","2012","State","Intermediate Consumption - Seeds (Base 2005=100)",80.4
"161","2005","State","Intermediate Consumption - Energy and Lubricants (Base 2005=100)",100
"162","2006","State","Intermediate Consumption - Energy and Lubricants (Base 2005=100)",102.9
"163","2007","State","Intermediate Consumption - Energy and Lubricants (Base 2005=100)",105.5
"164","2008","State","Intermediate Consumption - Energy and Lubricants (Base 2005=100)",102.4
"165","2009","State","Intermediate Consumption - Energy and Lubricants (Base 2005=100)",106.8
"166","2010","State","Intermediate Consumption - Energy and Lubricants (Base 2005=100)",106
"167","2011","State","Intermediate Consumption - Energy and Lubricants (Base 2005=100)",115.6
"168","2012","State","Intermediate Consumption - Energy and Lubricants (Base 2005=100)",112
"169","2005","State","Intermediate Consumption - Maintenance and Repairs (Base 2005=100)",100
"170","2006","State","Intermediate Consumption - Maintenance and Repairs (Base 2005=100)",100
"171","2007","State","Intermediate Consumption - Maintenance and Repairs (Base 2005=100)",100.4
"172","2008","State","Intermediate Consumption - Maintenance and Repairs (Base 2005=100)",98.3
"173","2009","State","Intermediate Consumption - Maintenance and Repairs (Base 2005=100)",96.7
"174","2010","State","Intermediate Consumption - Maintenance and Repairs (Base 2005=100)",99.3
"175","2011","State","Intermediate Consumption - Maintenance and Repairs (Base 2005=100)",107.7
"176","2012","State","Intermediate Consumption - Maintenance and Repairs (Base 2005=100)",112.9
"177","2005","State","Intermediate Consumption - Other Goods and Services (Base 2005=100)",100
"178","2006","State","Intermediate Consumption - Other Goods and Services (Base 2005=100)",100
"179","2007","State","Intermediate Consumption - Other Goods and Services (Base 2005=100)",101.2
"180","2008","State","Intermediate Consumption - Other Goods and Services (Base 2005=100)",102.3
"181","2009","State","Intermediate Consumption - Other Goods and Services (Base 2005=100)",105.8
"182","2010","State","Intermediate Consumption - Other Goods and Services (Base 2005=100)",106.9
"183","2011","State","Intermediate Consumption - Other Goods and Services (Base 2005=100)",117.7
"184","2012","State","Intermediate Consumption - Other Goods and Services (Base 2005=100)",115.2
"185","2005","State","Intermediate Consumption - Crop Protection Products (Base 2005=100)",100
"186","2006","State","Intermediate Consumption - Crop Protection Products (Base 2005=100)",83.8
"187","2007","State","Intermediate Consumption - Crop Protection Products (Base 2005=100)",92.6
"188","2008","State","Intermediate Consumption - Crop Protection Products (Base 2005=100)",101.8
"189","2009","State","Intermediate Consumption - Crop Protection Products (Base 2005=100)",82.9
"190","2010","State","Intermediate Consumption - Crop Protection Products (Base 2005=100)",94
"191","2011","State","Intermediate Consumption - Crop Protection Products (Base 2005=100)",103.4
"192","2012","State","Intermediate Consumption - Crop Protection Products (Base 2005=100)",118.5
"193","2005","State","Intermediate Consumption - Veterinary Expenses (Base 2005=100)",100
"194","2006","State","Intermediate Consumption - Veterinary Expenses (Base 2005=100)",100.4
"195","2007","State","Intermediate Consumption - Veterinary Expenses (Base 2005=100)",98.8
"196","2008","State","Intermediate Consumption - Veterinary Expenses (Base 2005=100)",92.1
"197","2009","State","Intermediate Consumption - Veterinary Expenses (Base 2005=100)",94.5
"198","2010","State","Intermediate Consumption - Veterinary Expenses (Base 2005=100)",94.8
"199","2011","State","Intermediate Consumption - Veterinary Expenses (Base 2005=100)",101.5
"200","2012","State","Intermediate Consumption - Veterinary Expenses (Base 2005=100)",108.3
"201","2005","State","Gross Value Added at Basic Prices (Base 2005=100)",100
"202","2006","State","Gross Value Added at Basic Prices (Base 2005=100)",71.9
"203","2007","State","Gross Value Added at Basic Prices (Base 2005=100)",75.3
"204","2008","State","Gross Value Added at Basic Prices (Base 2005=100)",78.1
"205","2009","State","Gross Value Added at Basic Prices (Base 2005=100)",70.4
"206","2010","State","Gross Value Added at Basic Prices (Base 2005=100)",74.4
"207","2011","State","Gross Value Added at Basic Prices (Base 2005=100)",80
"208","2012","State","Gross Value Added at Basic Prices (Base 2005=100)",71.6
