"","Year","State","Statistic","value"
"88","2011","State","All Crops (Base 2010 = 100)",109.1
"89","2012","State","All Crops (Base 2010 = 100)",103.9
"90","2013","State","All Crops (Base 2010 = 100)",108.4
"91","2005","State","Crops - Barley (Base 2010 = 100)",98.4
"92","2006","State","Crops - Barley (Base 2010 = 100)",97.1
"93","2007","State","Crops - Barley (Base 2010 = 100)",95
"94","2008","State","Crops - Barley (Base 2010 = 100)",112.8
"95","2009","State","Crops - Barley (Base 2010 = 100)",97
"96","2010","State","Crops - Barley (Base 2010 = 100)",100
"97","2011","State","Crops - Barley (Base 2010 = 100)",141.3
"98","2012","State","Crops - Barley (Base 2010 = 100)",131.7
"99","2013","State","Crops - Barley (Base 2010 = 100)",161.8
"100","2005","State","Crops - Wheat (Base 2010 = 100)",131.2
"101","2006","State","Crops - Wheat (Base 2010 = 100)",133
"102","2007","State","Crops - Wheat (Base 2010 = 100)",135.3
"103","2008","State","Crops - Wheat (Base 2010 = 100)",262.6
"104","2009","State","Crops - Wheat (Base 2010 = 100)",85.8
"105","2010","State","Crops - Wheat (Base 2010 = 100)",100
"106","2011","State","Crops - Wheat (Base 2010 = 100)",158
"107","2012","State","Crops - Wheat (Base 2010 = 100)",111.7
"108","2013","State","Crops - Wheat (Base 2010 = 100)",84.9
"109","2005","State","Crops - Potatoes (Base 2010 = 100)",90.5
"110","2006","State","Crops - Potatoes (Base 2010 = 100)",78.5
"111","2007","State","Crops - Potatoes (Base 2010 = 100)",76.2
"112","2008","State","Crops - Potatoes (Base 2010 = 100)",62.3
"113","2009","State","Crops - Potatoes (Base 2010 = 100)",63.8
"114","2010","State","Crops - Potatoes (Base 2010 = 100)",100
"115","2011","State","Crops - Potatoes (Base 2010 = 100)",98.6
"116","2012","State","Crops - Potatoes (Base 2010 = 100)",64.1
"117","2013","State","Crops - Potatoes (Base 2010 = 100)",87.2
"118","2005","State","Crops - Sugar Beet (Base 2010 = 100)",0
"119","2006","State","Crops - Sugar Beet (Base 2010 = 100)",0
"120","2007","State","Crops - Sugar Beet (Base 2010 = 100)",0
"121","2008","State","Crops - Sugar Beet (Base 2010 = 100)",0
"122","2009","State","Crops - Sugar Beet (Base 2010 = 100)",0
"123","2010","State","Crops - Sugar Beet (Base 2010 = 100)",0
"124","2011","State","Crops - Sugar Beet (Base 2010 = 100)",0
"125","2012","State","Crops - Sugar Beet (Base 2010 = 100)",0
"126","2013","State","Crops - Sugar Beet (Base 2010 = 100)",0
"127","2005","State","Crops - Fresh Vegetables (Base 2010 = 100)",127
"128","2006","State","Crops - Fresh Vegetables (Base 2010 = 100)",117.8
"129","2007","State","Crops - Fresh Vegetables (Base 2010 = 100)",110.9
"130","2008","State","Crops - Fresh Vegetables (Base 2010 = 100)",112
"131","2009","State","Crops - Fresh Vegetables (Base 2010 = 100)",109.1
"132","2010","State","Crops - Fresh Vegetables (Base 2010 = 100)",100
"133","2011","State","Crops - Fresh Vegetables (Base 2010 = 100)",115.3
"134","2012","State","Crops - Fresh Vegetables (Base 2010 = 100)",113.4
"135","2013","State","Crops - Fresh Vegetables (Base 2010 = 100)",121.3
"136","2005","State","Intermediate Consumption (Base 2010 = 100)",102.8
"137","2006","State","Intermediate Consumption (Base 2010 = 100)",105.9
"138","2007","State","Intermediate Consumption (Base 2010 = 100)",101.5
"139","2008","State","Intermediate Consumption (Base 2010 = 100)",100.9
"140","2009","State","Intermediate Consumption (Base 2010 = 100)",96.5
"141","2010","State","Intermediate Consumption (Base 2010 = 100)",100
"142","2011","State","Intermediate Consumption (Base 2010 = 100)",102.2
"143","2012","State","Intermediate Consumption (Base 2010 = 100)",106.9
"144","2013","State","Intermediate Consumption (Base 2010 = 100)",112
"145","2005","State","Intermediate Consumption - Feedingstuffs (Base 2010 = 100)",96.9
"146","2006","State","Intermediate Consumption - Feedingstuffs (Base 2010 = 100)",105
"147","2007","State","Intermediate Consumption - Feedingstuffs (Base 2010 = 100)",97.8
"148","2008","State","Intermediate Consumption - Feedingstuffs (Base 2010 = 100)",99.2
"149","2009","State","Intermediate Consumption - Feedingstuffs (Base 2010 = 100)",98.4
"150","2010","State","Intermediate Consumption - Feedingstuffs (Base 2010 = 100)",100
"151","2011","State","Intermediate Consumption - Feedingstuffs (Base 2010 = 100)",97.3
"152","2012","State","Intermediate Consumption - Feedingstuffs (Base 2010 = 100)",112.7
"153","2013","State","Intermediate Consumption - Feedingstuffs (Base 2010 = 100)",114.8
"154","2005","State","Intermediate Consumption - Fertilisers (Base 2010 = 100)",104.3
"155","2006","State","Intermediate Consumption - Fertilisers (Base 2010 = 100)",101.7
"156","2007","State","Intermediate Consumption - Fertilisers (Base 2010 = 100)",94.5
"157","2008","State","Intermediate Consumption - Fertilisers (Base 2010 = 100)",89.3
"158","2009","State","Intermediate Consumption - Fertilisers (Base 2010 = 100)",81.9
"159","2010","State","Intermediate Consumption - Fertilisers (Base 2010 = 100)",100
"160","2011","State","Intermediate Consumption - Fertilisers (Base 2010 = 100)",90.4
"161","2012","State","Intermediate Consumption - Fertilisers (Base 2010 = 100)",86
"162","2013","State","Intermediate Consumption - Fertilisers (Base 2010 = 100)",106.8
"163","2005","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2010 = 100)",146.7
"164","2006","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2010 = 100)",171.6
"165","2007","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2010 = 100)",170.2
"166","2008","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2010 = 100)",195.7
"167","2009","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2010 = 100)",142.8
"168","2010","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2010 = 100)",100
"169","2011","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2010 = 100)",77.8
"170","2012","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2010 = 100)",68.9
"171","2013","State","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Base 2010 = 100)",66.8
"172","2005","State","Intermediate Consumption - Seeds (Base 2010 = 100)",86.4
"173","2006","State","Intermediate Consumption - Seeds (Base 2010 = 100)",107.3
"174","2007","State","Intermediate Consumption - Seeds (Base 2010 = 100)",124.2
"175","2008","State","Intermediate Consumption - Seeds (Base 2010 = 100)",117.5
"176","2009","State","Intermediate Consumption - Seeds (Base 2010 = 100)",36.7
"177","2010","State","Intermediate Consumption - Seeds (Base 2010 = 100)",100
"178","2011","State","Intermediate Consumption - Seeds (Base 2010 = 100)",76.9
"179","2012","State","Intermediate Consumption - Seeds (Base 2010 = 100)",86
"180","2013","State","Intermediate Consumption - Seeds (Base 2010 = 100)",90.1
"181","2005","State","Intermediate Consumption - Energy and Lubricants (Base 2010 = 100)",94.3
"182","2006","State","Intermediate Consumption - Energy and Lubricants (Base 2010 = 100)",97.1
"183","2007","State","Intermediate Consumption - Energy and Lubricants (Base 2010 = 100)",99.5
"184","2008","State","Intermediate Consumption - Energy and Lubricants (Base 2010 = 100)",96.6
"185","2009","State","Intermediate Consumption - Energy and Lubricants (Base 2010 = 100)",100.7
"186","2010","State","Intermediate Consumption - Energy and Lubricants (Base 2010 = 100)",100
"187","2011","State","Intermediate Consumption - Energy and Lubricants (Base 2010 = 100)",108.9
"188","2012","State","Intermediate Consumption - Energy and Lubricants (Base 2010 = 100)",104.4
"189","2013","State","Intermediate Consumption - Energy and Lubricants (Base 2010 = 100)",106.5
"190","2005","State","Intermediate Consumption - Maintenance and Repairs (Base 2010 = 100)",99.5
"191","2006","State","Intermediate Consumption - Maintenance and Repairs (Base 2010 = 100)",99.4
"192","2007","State","Intermediate Consumption - Maintenance and Repairs (Base 2010 = 100)",99.8
"193","2008","State","Intermediate Consumption - Maintenance and Repairs (Base 2010 = 100)",98.4
"194","2009","State","Intermediate Consumption - Maintenance and Repairs (Base 2010 = 100)",97.2
"195","2010","State","Intermediate Consumption - Maintenance and Repairs (Base 2010 = 100)",100
"196","2011","State","Intermediate Consumption - Maintenance and Repairs (Base 2010 = 100)",108.5
"197","2012","State","Intermediate Consumption - Maintenance and Repairs (Base 2010 = 100)",114.2
"198","2013","State","Intermediate Consumption - Maintenance and Repairs (Base 2010 = 100)",117.2
"199","2005","State","Intermediate Consumption - Other Goods and Services (Base 2010 = 100)",100.1
"200","2006","State","Intermediate Consumption - Other Goods and Services (Base 2010 = 100)",101.1
"201","2007","State","Intermediate Consumption - Other Goods and Services (Base 2010 = 100)",95.9
"202","2008","State","Intermediate Consumption - Other Goods and Services (Base 2010 = 100)",98.1
"203","2009","State","Intermediate Consumption - Other Goods and Services (Base 2010 = 100)",102.6
"204","2010","State","Intermediate Consumption - Other Goods and Services (Base 2010 = 100)",100
"205","2011","State","Intermediate Consumption - Other Goods and Services (Base 2010 = 100)",106.2
"206","2012","State","Intermediate Consumption - Other Goods and Services (Base 2010 = 100)",106.2
"207","2013","State","Intermediate Consumption - Other Goods and Services (Base 2010 = 100)",110.6
"208","2005","State","Intermediate Consumption - Crop Protection Products (Base 2010 = 100)",106.4
"209","2006","State","Intermediate Consumption - Crop Protection Products (Base 2010 = 100)",89.2
"210","2007","State","Intermediate Consumption - Crop Protection Products (Base 2010 = 100)",98.6
"211","2008","State","Intermediate Consumption - Crop Protection Products (Base 2010 = 100)",108.3
"212","2009","State","Intermediate Consumption - Crop Protection Products (Base 2010 = 100)",88.2
"213","2010","State","Intermediate Consumption - Crop Protection Products (Base 2010 = 100)",100
