"","Region","Year","Type.of.Animal","value"
"1","State","1980","Total cattle",6908.9
"2","Midlands and East","1980","Total cattle",1222
"3","South-East (IRL)","1980","Total cattle",1554.9
"4","South-West (IRL)","1980","Total cattle",1703.1
"5","West","1980","Total cattle",1424.4
"6","North West","1980","Total cattle",1004.5
"7","State","1981","Total cattle",6743.8
"8","Midlands and East","1981","Total cattle",1193.3
"9","South-East (IRL)","1981","Total cattle",1517
"10","South-West (IRL)","1981","Total cattle",1644.3
"11","West","1981","Total cattle",1409.5
"12","North West","1981","Total cattle",979.8
"13","State","1982","Total cattle",6727.6
"14","Midlands and East","1982","Total cattle",1183.8
"15","South-East (IRL)","1982","Total cattle",1520.3
"16","South-West (IRL)","1982","Total cattle",1650.6
"17","West","1982","Total cattle",1404.6
"18","North West","1982","Total cattle",968.4
"19","State","1983","Total cattle",6809.6
"20","Midlands and East","1983","Total cattle",1191.8
"21","South-East (IRL)","1983","Total cattle",1557.4
"22","South-West (IRL)","1983","Total cattle",1675.5
"23","West","1983","Total cattle",1406.9
"24","North West","1983","Total cattle",978.1
"25","State","1984","Total cattle",6806.5
"26","Midlands and East","1984","Total cattle",1183.7
"27","South-East (IRL)","1984","Total cattle",1562
"28","South-West (IRL)","1984","Total cattle",1681
"29","West","1984","Total cattle",1400.9
"30","North West","1984","Total cattle",979
"31","State","1985","Total cattle",6819.4
"32","Midlands and East","1985","Total cattle",1188.9
"33","South-East (IRL)","1985","Total cattle",1560.4
"34","South-West (IRL)","1985","Total cattle",1690
"35","West","1985","Total cattle",1404.5
"36","North West","1985","Total cattle",975.6
"37","State","1986","Total cattle",6616.3
"38","Midlands and East","1986","Total cattle",1148.5
"39","South-East (IRL)","1986","Total cattle",1534
"40","South-West (IRL)","1986","Total cattle",1662.7
"41","West","1986","Total cattle",1341.5
"42","North West","1986","Total cattle",929.7
"43","State","1987","Total cattle",6544.7
"44","Midlands and East","1987","Total cattle",1138.7
"45","South-East (IRL)","1987","Total cattle",1522.8
"46","South-West (IRL)","1987","Total cattle",1662
"47","West","1987","Total cattle",1315.8
"48","North West","1987","Total cattle",905.5
"49","State","1988","Total cattle",6464.3
"50","Midlands and East","1988","Total cattle",1134.5
"51","South-East (IRL)","1988","Total cattle",1510.5
"52","South-West (IRL)","1988","Total cattle",1623.4
"53","West","1988","Total cattle",1303.7
"54","North West","1988","Total cattle",892.3
"55","State","1989","Total cattle",6642.3
"56","Midlands and East","1989","Total cattle",1172.9
"57","South-East (IRL)","1989","Total cattle",1559.5
