"","Year","Region","Type.of.Animal","value"
"1997","2012","Mid-West","Other pigs",90.3
"1998","2013","Mid-West","Other pigs",83
"1999","2005","South-East","Other pigs",297.5
"2000","2006","South-East","Other pigs",278.2
"2001","2007","South-East","Other pigs",283.1
"2002","2008","South-East","Other pigs",271.2
"2003","2009","South-East","Other pigs",236.8
"2004","2010","South-East","Other pigs",282.9
"2005","2011","South-East","Other pigs",286.8
"2006","2012","South-East","Other pigs",279.4
"2007","2013","South-East","Other pigs",284.1
"2008","2005","South-West","Other pigs",341.6
"2009","2006","South-West","Other pigs",306.9
"2010","2007","South-West","Other pigs",317.4
"2011","2008","South-West","Other pigs",312.8
"2012","2009","South-West","Other pigs",204.2
"2013","2010","South-West","Other pigs",262.4
"2014","2011","South-West","Other pigs",277.2
"2015","2012","South-West","Other pigs",310
"2016","2013","South-West","Other pigs",298.1
"2017","2005","State","Other pigs: 20kg and over",1005.2
"2018","2006","State","Other pigs: 20kg and over",1037.5
"2019","2007","State","Other pigs: 20kg and over",972.5
"2020","2008","State","Other pigs: 20kg and over",915.9
"2021","2009","State","Other pigs: 20kg and over",864.9
"2022","2010","State","Other pigs: 20kg and over",961.5
"2023","2011","State","Other pigs: 20kg and over",972
"2024","2012","State","Other pigs: 20kg and over",980.7
"2025","2013","State","Other pigs: 20kg and over",955.8
"2026","2005","Dublin plus Mid East","Other pigs: 20kg and over",50.3
"2027","2006","Dublin plus Mid East","Other pigs: 20kg and over",35.5
"2028","2007","Dublin plus Mid East","Other pigs: 20kg and over",51.1
"2029","2008","Dublin plus Mid East","Other pigs: 20kg and over",37.3
"2030","2009","Dublin plus Mid East","Other pigs: 20kg and over",42.3
"2031","2010","Dublin plus Mid East","Other pigs: 20kg and over",46.6
"2032","2011","Dublin plus Mid East","Other pigs: 20kg and over",42.5
"2033","2012","Dublin plus Mid East","Other pigs: 20kg and over",42.1
"2034","2013","Dublin plus Mid East","Other pigs: 20kg and over",44.2
"2035","2005","Border","Other pigs: 20kg and over",317.3
"2036","2006","Border","Other pigs: 20kg and over",334.5
"2037","2007","Border","Other pigs: 20kg and over",278.3
"2038","2008","Border","Other pigs: 20kg and over",278.4
"2039","2009","Border","Other pigs: 20kg and over",273.3
"2040","2010","Border","Other pigs: 20kg and over",266.6
"2041","2011","Border","Other pigs: 20kg and over",265.2
"2042","2012","Border","Other pigs: 20kg and over",255.5
"2043","2013","Border","Other pigs: 20kg and over",255.7
"2044","2005","Midland","Other pigs: 20kg and over",120.6
"2045","2006","Midland","Other pigs: 20kg and over",137.4
"2046","2007","Midland","Other pigs: 20kg and over",130
"2047","2008","Midland","Other pigs: 20kg and over",114.6
"2048","2009","Midland","Other pigs: 20kg and over",157.9
"2049","2010","Midland","Other pigs: 20kg and over",179
"2050","2011","Midland","Other pigs: 20kg and over",175.3
"2051","2012","Midland","Other pigs: 20kg and over",183.6
"2052","2013","Midland","Other pigs: 20kg and over",180.7
"2053","2005","West","Other pigs: 20kg and over",27.8
"2054","2006","West","Other pigs: 20kg and over",34.5
"2055","2007","West","Other pigs: 20kg and over",34.2
"2056","2008","West","Other pigs: 20kg and over",29.3
"2057","2009","West","Other pigs: 20kg and over",28.4
"2058","2010","West","Other pigs: 20kg and over",28
"2059","2011","West","Other pigs: 20kg and over",26.6
"2060","2012","West","Other pigs: 20kg and over",29.9
"2061","2013","West","Other pigs: 20kg and over",26.7
"2062","2005","Mid-West","Other pigs: 20kg and over",62.8
"2063","2006","Mid-West","Other pigs: 20kg and over",77.7
"2064","2007","Mid-West","Other pigs: 20kg and over",58.2
"2065","2008","Mid-West","Other pigs: 20kg and over",48.8
"2066","2009","Mid-West","Other pigs: 20kg and over",51.6
"2067","2010","Mid-West","Other pigs: 20kg and over",55.9
"2068","2011","Mid-West","Other pigs: 20kg and over",59.3
"2069","2012","Mid-West","Other pigs: 20kg and over",64
"2070","2013","Mid-West","Other pigs: 20kg and over",57.9
"2071","2005","South-East","Other pigs: 20kg and over",198.6
"2072","2006","South-East","Other pigs: 20kg and over",199
"2073","2007","South-East","Other pigs: 20kg and over",199.7
"2074","2008","South-East","Other pigs: 20kg and over",194.4
"2075","2009","South-East","Other pigs: 20kg and over",162.2
"2076","2010","South-East","Other pigs: 20kg and over",196.2
"2077","2011","South-East","Other pigs: 20kg and over",204.5
"2078","2012","South-East","Other pigs: 20kg and over",191.6
"2079","2013","South-East","Other pigs: 20kg and over",196.8
"2080","2005","South-West","Other pigs: 20kg and over",227.8
"2081","2006","South-West","Other pigs: 20kg and over",218.9
"2082","2007","South-West","Other pigs: 20kg and over",220.8
"2083","2008","South-West","Other pigs: 20kg and over",213.2
"2084","2009","South-West","Other pigs: 20kg and over",149.2
"2085","2010","South-West","Other pigs: 20kg and over",189.1
"2086","2011","South-West","Other pigs: 20kg and over",198.5
"2087","2012","South-West","Other pigs: 20kg and over",213.9
"2088","2013","South-West","Other pigs: 20kg and over",194
"2089","2005","State","Other pigs: under 20kg",509.1
"2090","2006","State","Other pigs: under 20kg",436.3
"2091","2007","State","Other pigs: under 20kg",449.9
"2092","2008","State","Other pigs: under 20kg",388.7
"2093","2009","State","Other pigs: under 20kg",371.3
"2094","2010","State","Other pigs: under 20kg",393.4
"2095","2011","State","Other pigs: under 20kg",420.8
"2096","2012","State","Other pigs: under 20kg",444.3
"2097","2013","State","Other pigs: under 20kg",448.8
"2098","2005","Dublin plus Mid East","Other pigs: under 20kg",21.2
"2099","2006","Dublin plus Mid East","Other pigs: under 20kg",31.9
"2100","2007","Dublin plus Mid East","Other pigs: under 20kg",21.8
"2101","2008","Dublin plus Mid East","Other pigs: under 20kg",20.3
"2102","2009","Dublin plus Mid East","Other pigs: under 20kg",25.2
"2103","2010","Dublin plus Mid East","Other pigs: under 20kg",20.4
"2104","2011","Dublin plus Mid East","Other pigs: under 20kg",25.3
"2105","2012","Dublin plus Mid East","Other pigs: under 20kg",21.8
"2106","2013","Dublin plus Mid East","Other pigs: under 20kg",29
"2107","2005","Border","Other pigs: under 20kg",149
"2108","2006","Border","Other pigs: under 20kg",143.8
"2109","2007","Border","Other pigs: under 20kg",138.5
"2110","2008","Border","Other pigs: under 20kg",116.8
"2111","2009","Border","Other pigs: under 20kg",108.9
"2112","2010","Border","Other pigs: under 20kg",104.7
"2113","2011","Border","Other pigs: under 20kg",123.2
"2114","2012","Border","Other pigs: under 20kg",133
"2115","2013","Border","Other pigs: under 20kg",121.8
"2116","2005","Midland","Other pigs: under 20kg",81.4
"2117","2006","Midland","Other pigs: under 20kg",52.7
"2118","2007","Midland","Other pigs: under 20kg",68
"2119","2008","Midland","Other pigs: under 20kg",38.8
"2120","2009","Midland","Other pigs: under 20kg",60.8
"2121","2010","Midland","Other pigs: under 20kg",65.1
"2122","2011","Midland","Other pigs: under 20kg",67.3
"2123","2012","Midland","Other pigs: under 20kg",63.1
"2124","2013","Midland","Other pigs: under 20kg",68.1
"2125","2005","West","Other pigs: under 20kg",15
"2126","2006","West","Other pigs: under 20kg",13.7
"2127","2007","West","Other pigs: under 20kg",15.6
"2128","2008","West","Other pigs: under 20kg",14.8
"2129","2009","West","Other pigs: under 20kg",17.7
"2130","2010","West","Other pigs: under 20kg",15.8
"2131","2011","West","Other pigs: under 20kg",15.2
"2132","2012","West","Other pigs: under 20kg",16.2
"2133","2013","West","Other pigs: under 20kg",13.4
"2134","2005","Mid-West","Other pigs: under 20kg",29.7
"2135","2006","Mid-West","Other pigs: under 20kg",26.9
"2136","2007","Mid-West","Other pigs: under 20kg",26.1
"2137","2008","Mid-West","Other pigs: under 20kg",21.7
"2138","2009","Mid-West","Other pigs: under 20kg",29.2
"2139","2010","Mid-West","Other pigs: under 20kg",27.3
"2140","2011","Mid-West","Other pigs: under 20kg",29
"2141","2012","Mid-West","Other pigs: under 20kg",26.3
"2142","2013","Mid-West","Other pigs: under 20kg",25.1
"2143","2005","South-East","Other pigs: under 20kg",98.9
"2144","2006","South-East","Other pigs: under 20kg",79.2
"2145","2007","South-East","Other pigs: under 20kg",83.3
"2146","2008","South-East","Other pigs: under 20kg",76.8
"2147","2009","South-East","Other pigs: under 20kg",74.6
"2148","2010","South-East","Other pigs: under 20kg",86.7
"2149","2011","South-East","Other pigs: under 20kg",82.3
"2150","2012","South-East","Other pigs: under 20kg",87.8
"2151","2013","South-East","Other pigs: under 20kg",87.3
"2152","2005","South-West","Other pigs: under 20kg",113.8
"2153","2006","South-West","Other pigs: under 20kg",88
"2154","2007","South-West","Other pigs: under 20kg",96.6
"2155","2008","South-West","Other pigs: under 20kg",99.6
"2156","2009","South-West","Other pigs: under 20kg",54.9
"2157","2010","South-West","Other pigs: under 20kg",73.3
"2158","2011","South-West","Other pigs: under 20kg",78.6
"2159","2012","South-West","Other pigs: under 20kg",96.1
"2160","2013","South-West","Other pigs: under 20kg",104.1
"2161","2005","State","Total poultry",NA
"2162","2006","State","Total poultry",NA
"2163","2007","State","Total poultry",NA
"2164","2008","State","Total poultry",NA
"2165","2009","State","Total poultry",NA
"2166","2010","State","Total poultry",10924.8
"2167","2011","State","Total poultry",NA
"2168","2012","State","Total poultry",NA
"2169","2013","State","Total poultry",NA
"2170","2005","Dublin plus Mid East","Total poultry",NA
"2171","2006","Dublin plus Mid East","Total poultry",NA
"2172","2007","Dublin plus Mid East","Total poultry",NA
"2173","2008","Dublin plus Mid East","Total poultry",NA
"2174","2009","Dublin plus Mid East","Total poultry",NA
"2175","2010","Dublin plus Mid East","Total poultry",258.8
"2176","2011","Dublin plus Mid East","Total poultry",NA
"2177","2012","Dublin plus Mid East","Total poultry",NA
"2178","2013","Dublin plus Mid East","Total poultry",NA
"2179","2005","Border","Total poultry",NA
"2180","2006","Border","Total poultry",NA
"2181","2007","Border","Total poultry",NA
"2182","2008","Border","Total poultry",NA
"2183","2009","Border","Total poultry",NA
"2184","2010","Border","Total poultry",7238.2
"2185","2011","Border","Total poultry",NA
"2186","2012","Border","Total poultry",NA
"2187","2013","Border","Total poultry",NA
"2188","2005","Midland","Total poultry",NA
"2189","2006","Midland","Total poultry",NA
"2190","2007","Midland","Total poultry",NA
"2191","2008","Midland","Total poultry",NA
"2192","2009","Midland","Total poultry",NA
"2193","2010","Midland","Total poultry",95.3
"2194","2011","Midland","Total poultry",NA
"2195","2012","Midland","Total poultry",NA
"2196","2013","Midland","Total poultry",NA
"2197","2005","West","Total poultry",NA
"2198","2006","West","Total poultry",NA
"2199","2007","West","Total poultry",NA
"2200","2008","West","Total poultry",NA
"2201","2009","West","Total poultry",NA
"2202","2010","West","Total poultry",191.2
"2203","2011","West","Total poultry",NA
"2204","2012","West","Total poultry",NA
"2205","2013","West","Total poultry",NA
"2206","2005","Mid-West","Total poultry",NA
"2207","2006","Mid-West","Total poultry",NA
"2208","2007","Mid-West","Total poultry",NA
"2209","2008","Mid-West","Total poultry",NA
"2210","2009","Mid-West","Total poultry",NA
"2211","2010","Mid-West","Total poultry",1328.5
"2212","2011","Mid-West","Total poultry",NA
"2213","2012","Mid-West","Total poultry",NA
"2214","2013","Mid-West","Total poultry",NA
"2215","2005","South-East","Total poultry",NA
"2216","2006","South-East","Total poultry",NA
"2217","2007","South-East","Total poultry",NA
"2218","2008","South-East","Total poultry",NA
"2219","2009","South-East","Total poultry",NA
"2220","2010","South-East","Total poultry",954.8
"2221","2011","South-East","Total poultry",NA
"2222","2012","South-East","Total poultry",NA
"2223","2013","South-East","Total poultry",NA
"2224","2005","South-West","Total poultry",NA
"2225","2006","South-West","Total poultry",NA
"2226","2007","South-West","Total poultry",NA
"2227","2008","South-West","Total poultry",NA
"2228","2009","South-West","Total poultry",NA
"2229","2010","South-West","Total poultry",857.8
"2230","2011","South-West","Total poultry",NA
"2231","2012","South-West","Total poultry",NA
"2232","2013","South-West","Total poultry",NA
"2233","2005","State","Ordinary fowl",NA
"2234","2006","State","Ordinary fowl",NA
"2235","2007","State","Ordinary fowl",NA
"2236","2008","State","Ordinary fowl",NA
"2237","2009","State","Ordinary fowl",NA
"2238","2010","State","Ordinary fowl",10537.4
"2239","2011","State","Ordinary fowl",NA
"2240","2012","State","Ordinary fowl",NA
"2241","2013","State","Ordinary fowl",NA
"2242","2005","Dublin plus Mid East","Ordinary fowl",NA
"2243","2006","Dublin plus Mid East","Ordinary fowl",NA
"2244","2007","Dublin plus Mid East","Ordinary fowl",NA
"2245","2008","Dublin plus Mid East","Ordinary fowl",NA
"2246","2009","Dublin plus Mid East","Ordinary fowl",NA
"2247","2010","Dublin plus Mid East","Ordinary fowl",244.1
"2248","2011","Dublin plus Mid East","Ordinary fowl",NA
"2249","2012","Dublin plus Mid East","Ordinary fowl",NA
"2250","2013","Dublin plus Mid East","Ordinary fowl",NA
"2251","2005","Border","Ordinary fowl",NA
"2252","2006","Border","Ordinary fowl",NA
"2253","2007","Border","Ordinary fowl",NA
"2254","2008","Border","Ordinary fowl",NA
"2255","2009","Border","Ordinary fowl",NA
"2256","2010","Border","Ordinary fowl",6933.2
"2257","2011","Border","Ordinary fowl",NA
"2258","2012","Border","Ordinary fowl",NA
"2259","2013","Border","Ordinary fowl",NA
"2260","2005","Midland","Ordinary fowl",NA
"2261","2006","Midland","Ordinary fowl",NA
"2262","2007","Midland","Ordinary fowl",NA
"2263","2008","Midland","Ordinary fowl",NA
"2264","2009","Midland","Ordinary fowl",NA
"2265","2010","Midland","Ordinary fowl",91.6
"2266","2011","Midland","Ordinary fowl",NA
"2267","2012","Midland","Ordinary fowl",NA
"2268","2013","Midland","Ordinary fowl",NA
"2269","2005","West","Ordinary fowl",NA
"2270","2006","West","Ordinary fowl",NA
"2271","2007","West","Ordinary fowl",NA
"2272","2008","West","Ordinary fowl",NA
"2273","2009","West","Ordinary fowl",NA
"2274","2010","West","Ordinary fowl",179.7
"2275","2011","West","Ordinary fowl",NA
"2276","2012","West","Ordinary fowl",NA
"2277","2013","West","Ordinary fowl",NA
"2278","2005","Mid-West","Ordinary fowl",NA
"2279","2006","Mid-West","Ordinary fowl",NA
"2280","2007","Mid-West","Ordinary fowl",NA
"2281","2008","Mid-West","Ordinary fowl",NA
"2282","2009","Mid-West","Ordinary fowl",NA
"2283","2010","Mid-West","Ordinary fowl",1324.2
"2284","2011","Mid-West","Ordinary fowl",NA
"2285","2012","Mid-West","Ordinary fowl",NA
"2286","2013","Mid-West","Ordinary fowl",NA
"2287","2005","South-East","Ordinary fowl",NA
"2288","2006","South-East","Ordinary fowl",NA
"2289","2007","South-East","Ordinary fowl",NA
"2290","2008","South-East","Ordinary fowl",NA
"2291","2009","South-East","Ordinary fowl",NA
"2292","2010","South-East","Ordinary fowl",943.6
"2293","2011","South-East","Ordinary fowl",NA
"2294","2012","South-East","Ordinary fowl",NA
"2295","2013","South-East","Ordinary fowl",NA
"2296","2005","South-West","Ordinary fowl",NA
"2297","2006","South-West","Ordinary fowl",NA
"2298","2007","South-West","Ordinary fowl",NA
"2299","2008","South-West","Ordinary fowl",NA
"2300","2009","South-West","Ordinary fowl",NA
"2301","2010","South-West","Ordinary fowl",821.1
"2302","2011","South-West","Ordinary fowl",NA
"2303","2012","South-West","Ordinary fowl",NA
"2304","2013","South-West","Ordinary fowl",NA
"2305","2005","State","Other fowl",NA
"2306","2006","State","Other fowl",NA
"2307","2007","State","Other fowl",NA
"2308","2008","State","Other fowl",NA
"2309","2009","State","Other fowl",NA
"2310","2010","State","Other fowl",387.4
"2311","2011","State","Other fowl",NA
"2312","2012","State","Other fowl",NA
"2313","2013","State","Other fowl",NA
"2314","2005","Dublin plus Mid East","Other fowl",NA
"2315","2006","Dublin plus Mid East","Other fowl",NA
"2316","2007","Dublin plus Mid East","Other fowl",NA
"2317","2008","Dublin plus Mid East","Other fowl",NA
"2318","2009","Dublin plus Mid East","Other fowl",NA
"2319","2010","Dublin plus Mid East","Other fowl",14.7
"2320","2011","Dublin plus Mid East","Other fowl",NA
"2321","2012","Dublin plus Mid East","Other fowl",NA
"2322","2013","Dublin plus Mid East","Other fowl",NA
"2323","2005","Border","Other fowl",NA
"2324","2006","Border","Other fowl",NA
"2325","2007","Border","Other fowl",NA
"2326","2008","Border","Other fowl",NA
"2327","2009","Border","Other fowl",NA
"2328","2010","Border","Other fowl",305.1
"2329","2011","Border","Other fowl",NA
"2330","2012","Border","Other fowl",NA
"2331","2013","Border","Other fowl",NA
"2332","2005","Midland","Other fowl",NA
"2333","2006","Midland","Other fowl",NA
"2334","2007","Midland","Other fowl",NA
"2335","2008","Midland","Other fowl",NA
"2336","2009","Midland","Other fowl",NA
"2337","2010","Midland","Other fowl",3.7
"2338","2011","Midland","Other fowl",NA
"2339","2012","Midland","Other fowl",NA
"2340","2013","Midland","Other fowl",NA
"2341","2005","West","Other fowl",NA
"2342","2006","West","Other fowl",NA
"2343","2007","West","Other fowl",NA
"2344","2008","West","Other fowl",NA
"2345","2009","West","Other fowl",NA
"2346","2010","West","Other fowl",11.6
"2347","2011","West","Other fowl",NA
"2348","2012","West","Other fowl",NA
"2349","2013","West","Other fowl",NA
"2350","2005","Mid-West","Other fowl",NA
"2351","2006","Mid-West","Other fowl",NA
"2352","2007","Mid-West","Other fowl",NA
"2353","2008","Mid-West","Other fowl",NA
"2354","2009","Mid-West","Other fowl",NA
"2355","2010","Mid-West","Other fowl",4.3
"2356","2011","Mid-West","Other fowl",NA
"2357","2012","Mid-West","Other fowl",NA
"2358","2013","Mid-West","Other fowl",NA
"2359","2005","South-East","Other fowl",NA
"2360","2006","South-East","Other fowl",NA
"2361","2007","South-East","Other fowl",NA
"2362","2008","South-East","Other fowl",NA
"2363","2009","South-East","Other fowl",NA
"2364","2010","South-East","Other fowl",11.3
"2365","2011","South-East","Other fowl",NA
"2366","2012","South-East","Other fowl",NA
"2367","2013","South-East","Other fowl",NA
"2368","2005","South-West","Other fowl",NA
"2369","2006","South-West","Other fowl",NA
"2370","2007","South-West","Other fowl",NA
"2371","2008","South-West","Other fowl",NA
"2372","2009","South-West","Other fowl",NA
"2373","2010","South-West","Other fowl",36.8
"2374","2011","South-West","Other fowl",NA
"2375","2012","South-West","Other fowl",NA
"2376","2013","South-West","Other fowl",NA
"2377","2005","State","Total horses and ponies",79.9
"2378","2006","State","Total horses and ponies",86.6
"2379","2007","State","Total horses and ponies",89.2
"2380","2008","State","Total horses and ponies",95.7
"2381","2009","State","Total horses and ponies",98.1
"2382","2010","State","Total horses and ponies",106
"2383","2011","State","Total horses and ponies",106
"2384","2012","State","Total horses and ponies",111.1
"2385","2013","State","Total horses and ponies",101.6
"2386","2005","Dublin plus Mid East","Total horses and ponies",12.8
"2387","2006","Dublin plus Mid East","Total horses and ponies",13.2
"2388","2007","Dublin plus Mid East","Total horses and ponies",13.7
"2389","2008","Dublin plus Mid East","Total horses and ponies",13.6
"2390","2009","Dublin plus Mid East","Total horses and ponies",14.2
"2391","2010","Dublin plus Mid East","Total horses and ponies",14.1
"2392","2011","Dublin plus Mid East","Total horses and ponies",14
"2393","2012","Dublin plus Mid East","Total horses and ponies",15.5
"2394","2013","Dublin plus Mid East","Total horses and ponies",15.8
"2395","2005","Border","Total horses and ponies",8.4
"2396","2006","Border","Total horses and ponies",9
"2397","2007","Border","Total horses and ponies",10.1
"2398","2008","Border","Total horses and ponies",10.7
"2399","2009","Border","Total horses and ponies",10.7
"2400","2010","Border","Total horses and ponies",12.7
"2401","2011","Border","Total horses and ponies",13.3
"2402","2012","Border","Total horses and ponies",13.3
"2403","2013","Border","Total horses and ponies",11.7
"2404","2005","Midland","Total horses and ponies",6.9
"2405","2006","Midland","Total horses and ponies",7.3
"2406","2007","Midland","Total horses and ponies",7.4
"2407","2008","Midland","Total horses and ponies",7.4
"2408","2009","Midland","Total horses and ponies",7.6
"2409","2010","Midland","Total horses and ponies",9.2
"2410","2011","Midland","Total horses and ponies",10
"2411","2012","Midland","Total horses and ponies",8.9
"2412","2013","Midland","Total horses and ponies",9.6
"2413","2005","West","Total horses and ponies",13.2
"2414","2006","West","Total horses and ponies",14.6
"2415","2007","West","Total horses and ponies",16.3
"2416","2008","West","Total horses and ponies",17.3
"2417","2009","West","Total horses and ponies",18.5
"2418","2010","West","Total horses and ponies",22.1
"2419","2011","West","Total horses and ponies",21.2
"2420","2012","West","Total horses and ponies",24.1
"2421","2013","West","Total horses and ponies",19.6
"2422","2005","Mid-West","Total horses and ponies",12.4
"2423","2006","Mid-West","Total horses and ponies",13.6
"2424","2007","Mid-West","Total horses and ponies",14.2
"2425","2008","Mid-West","Total horses and ponies",15.4
"2426","2009","Mid-West","Total horses and ponies",16.1
"2427","2010","Mid-West","Total horses and ponies",13.5
"2428","2011","Mid-West","Total horses and ponies",14.1
"2429","2012","Mid-West","Total horses and ponies",15.5
"2430","2013","Mid-West","Total horses and ponies",11.6
"2431","2005","South-East","Total horses and ponies",15.8
"2432","2006","South-East","Total horses and ponies",17.2
"2433","2007","South-East","Total horses and ponies",16.4
"2434","2008","South-East","Total horses and ponies",19.7
"2435","2009","South-East","Total horses and ponies",18.8
"2436","2010","South-East","Total horses and ponies",21
"2437","2011","South-East","Total horses and ponies",19.6
"2438","2012","South-East","Total horses and ponies",20.1
"2439","2013","South-East","Total horses and ponies",20.4
"2440","2005","South-West","Total horses and ponies",10.5
"2441","2006","South-West","Total horses and ponies",11.8
"2442","2007","South-West","Total horses and ponies",11.1
"2443","2008","South-West","Total horses and ponies",11.8
"2444","2009","South-West","Total horses and ponies",12.2
"2445","2010","South-West","Total horses and ponies",13.6
"2446","2011","South-West","Total horses and ponies",13.7
"2447","2012","South-West","Total horses and ponies",13.6
"2448","2013","South-West","Total horses and ponies",12.9
"2449","2005","State","Total mules, jennets and asses",6
"2450","2006","State","Total mules, jennets and asses",7
"2451","2007","State","Total mules, jennets and asses",7.2
"2452","2008","State","Total mules, jennets and asses",8.8
"2453","2009","State","Total mules, jennets and asses",8.8
"2454","2010","State","Total mules, jennets and asses",7.5
"2455","2011","State","Total mules, jennets and asses",8.7
"2456","2012","State","Total mules, jennets and asses",9.8
"2457","2013","State","Total mules, jennets and asses",8.2
"2458","2005","Dublin plus Mid East","Total mules, jennets and asses",0.3
"2459","2006","Dublin plus Mid East","Total mules, jennets and asses",0.4
"2460","2007","Dublin plus Mid East","Total mules, jennets and asses",0.5
"2461","2008","Dublin plus Mid East","Total mules, jennets and asses",0.3
"2462","2009","Dublin plus Mid East","Total mules, jennets and asses",0.3
"2463","2010","Dublin plus Mid East","Total mules, jennets and asses",0.6
"2464","2011","Dublin plus Mid East","Total mules, jennets and asses",0.7
"2465","2012","Dublin plus Mid East","Total mules, jennets and asses",0.7
"2466","2013","Dublin plus Mid East","Total mules, jennets and asses",0.6
"2467","2005","Border","Total mules, jennets and asses",1.1
"2468","2006","Border","Total mules, jennets and asses",1.2
"2469","2007","Border","Total mules, jennets and asses",1.7
"2470","2008","Border","Total mules, jennets and asses",2.1
"2471","2009","Border","Total mules, jennets and asses",2.4
"2472","2010","Border","Total mules, jennets and asses",1.6
"2473","2011","Border","Total mules, jennets and asses",1.5
"2474","2012","Border","Total mules, jennets and asses",2
"2475","2013","Border","Total mules, jennets and asses",1.6
"2476","2005","Midland","Total mules, jennets and asses",0.3
"2477","2006","Midland","Total mules, jennets and asses",0.3
"2478","2007","Midland","Total mules, jennets and asses",0.4
"2479","2008","Midland","Total mules, jennets and asses",0.6
"2480","2009","Midland","Total mules, jennets and asses",0.7
"2481","2010","Midland","Total mules, jennets and asses",0.6
"2482","2011","Midland","Total mules, jennets and asses",0.9
"2483","2012","Midland","Total mules, jennets and asses",0.5
"2484","2013","Midland","Total mules, jennets and asses",0.4
"2485","2005","West","Total mules, jennets and asses",1.7
"2486","2006","West","Total mules, jennets and asses",2.3
"2487","2007","West","Total mules, jennets and asses",1.9
"2488","2008","West","Total mules, jennets and asses",2.6
"2489","2009","West","Total mules, jennets and asses",2.4
"2490","2010","West","Total mules, jennets and asses",2.4
"2491","2011","West","Total mules, jennets and asses",2.5
"2492","2012","West","Total mules, jennets and asses",3
"2493","2013","West","Total mules, jennets and asses",2.8
"2494","2005","Mid-West","Total mules, jennets and asses",0.7
"2495","2006","Mid-West","Total mules, jennets and asses",0.8
"2496","2007","Mid-West","Total mules, jennets and asses",0.8
"2497","2008","Mid-West","Total mules, jennets and asses",0.8
"2498","2009","Mid-West","Total mules, jennets and asses",0.9
"2499","2010","Mid-West","Total mules, jennets and asses",1
"2500","2011","Mid-West","Total mules, jennets and asses",1.3
"2501","2012","Mid-West","Total mules, jennets and asses",1.9
"2502","2013","Mid-West","Total mules, jennets and asses",1.4
"2503","2005","South-East","Total mules, jennets and asses",0.5
"2504","2006","South-East","Total mules, jennets and asses",0.5
"2505","2007","South-East","Total mules, jennets and asses",0.6
"2506","2008","South-East","Total mules, jennets and asses",0.7
"2507","2009","South-East","Total mules, jennets and asses",0.5
"2508","2010","South-East","Total mules, jennets and asses",0.5
"2509","2011","South-East","Total mules, jennets and asses",0.6
"2510","2012","South-East","Total mules, jennets and asses",0.6
"2511","2013","South-East","Total mules, jennets and asses",0.6
"2512","2005","South-West","Total mules, jennets and asses",1.3
"2513","2006","South-West","Total mules, jennets and asses",1.5
"2514","2007","South-West","Total mules, jennets and asses",1.4
"2515","2008","South-West","Total mules, jennets and asses",1.7
"2516","2009","South-West","Total mules, jennets and asses",1.6
"2517","2010","South-West","Total mules, jennets and asses",0.8
"2518","2011","South-West","Total mules, jennets and asses",1.2
"2519","2012","South-West","Total mules, jennets and asses",1.1
"2520","2013","South-West","Total mules, jennets and asses",0.8
"2521","2005","State","Total goats",7.3
"2522","2006","State","Total goats",6.7
"2523","2007","State","Total goats",7.3
"2524","2008","State","Total goats",8.9
"2525","2009","State","Total goats",10.1
"2526","2010","State","Total goats",10.5
"2527","2011","State","Total goats",11.4
"2528","2012","State","Total goats",10.3
"2529","2013","State","Total goats",8.7
"2530","2005","Dublin plus Mid East","Total goats",1.2
"2531","2006","Dublin plus Mid East","Total goats",1.5
"2532","2007","Dublin plus Mid East","Total goats",1
"2533","2008","Dublin plus Mid East","Total goats",0.9
"2534","2009","Dublin plus Mid East","Total goats",1
"2535","2010","Dublin plus Mid East","Total goats",1.3
"2536","2011","Dublin plus Mid East","Total goats",1.6
"2537","2012","Dublin plus Mid East","Total goats",1.8
"2538","2013","Dublin plus Mid East","Total goats",1.8
"2539","2005","Border","Total goats",1.2
"2540","2006","Border","Total goats",1
"2541","2007","Border","Total goats",1.1
"2542","2008","Border","Total goats",1.3
"2543","2009","Border","Total goats",1.5
"2544","2010","Border","Total goats",2.4
"2545","2011","Border","Total goats",2.5
"2546","2012","Border","Total goats",1.2
"2547","2013","Border","Total goats",1
"2548","2005","Midland","Total goats",1
"2549","2006","Midland","Total goats",1
"2550","2007","Midland","Total goats",0.8
"2551","2008","Midland","Total goats",0.4
"2552","2009","Midland","Total goats",0.4
"2553","2010","Midland","Total goats",1.8
"2554","2011","Midland","Total goats",1.8
"2555","2012","Midland","Total goats",2.1
"2556","2013","Midland","Total goats",0.7
"2557","2005","West","Total goats",1.3
"2558","2006","West","Total goats",1.2
"2559","2007","West","Total goats",1.3
"2560","2008","West","Total goats",1.5
"2561","2009","West","Total goats",1.7
"2562","2010","West","Total goats",1.7
"2563","2011","West","Total goats",1.8
"2564","2012","West","Total goats",0.9
"2565","2013","West","Total goats",1.1
"2566","2005","Mid-West","Total goats",0.9
"2567","2006","Mid-West","Total goats",0.7
"2568","2007","Mid-West","Total goats",0.8
"2569","2008","Mid-West","Total goats",0.8
"2570","2009","Mid-West","Total goats",1
"2571","2010","Mid-West","Total goats",1.1
"2572","2011","Mid-West","Total goats",1.2
"2573","2012","Mid-West","Total goats",1.4
"2574","2013","Mid-West","Total goats",1.4
"2575","2005","South-East","Total goats",1
"2576","2006","South-East","Total goats",0.6
