"","Statistic","Type.of.Pig","Year","value"
"340","Pig Population Estimated from June Survey (Thousand)","Boars","1981",4.1
"341","Pig Population Estimated from December Survey (Thousand)","Other pigs","1981",905.5
"342","Pig Population Estimated from April Survey (Thousand)","Other pigs","1981",904
"343","Pig Population Estimated from August Survey (Thousand)","Other pigs","1981",897.6
"344","Pig Population Estimated from June Survey (Thousand)","Other pigs","1981",902.7
"345","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1981",236.3
"346","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1981",239
"347","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1981",234.7
"348","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1981",237.1
"349","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1981",297
"350","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1981",297.6
"351","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1981",290.6
"352","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1981",292.5
"353","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1981",278.4
"354","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1981",294.5
"355","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1981",280.8
"356","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1981",284.4
"357","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1981",75
"358","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1981",60.81
"359","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1981",69.03
"360","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1981",67.9
"361","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1981",18.8
"362","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1981",12.11
"363","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1981",22.46
"364","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1981",20.7
"365","Pig Population Estimated from December Survey (Thousand)","Total pigs","1982",1081.1
"366","Pig Population Estimated from April Survey (Thousand)","Total pigs","1982",1040.7
"367","Pig Population Estimated from August Survey (Thousand)","Total pigs","1982",1072.9
"368","Pig Population Estimated from June Survey (Thousand)","Total pigs","1982",1057.4
"369","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1982",124.8
"370","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1982",122.8
"371","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1982",124.6
"372","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1982",122.5
"373","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1982",14.1
"374","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1982",14.8
"375","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1982",15.2
"376","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1982",14.6
"377","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1982",10.3
"378","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1982",10.5
"379","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1982",10.9
"380","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1982",10.6
"381","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1982",67.3
"382","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1982",65.1
"383","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1982",65.1
"384","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1982",65.2
"385","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1982",28.2
"386","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1982",27.8
"387","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1982",28.7
"388","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1982",27.5
"389","Pig Population Estimated from December Survey (Thousand)","Boars","1982",4.9
"390","Pig Population Estimated from April Survey (Thousand)","Boars","1982",4.5
"391","Pig Population Estimated from August Survey (Thousand)","Boars","1982",4.6
"392","Pig Population Estimated from June Survey (Thousand)","Boars","1982",4.5
"393","Pig Population Estimated from December Survey (Thousand)","Other pigs","1982",956.3
"394","Pig Population Estimated from April Survey (Thousand)","Other pigs","1982",917.9
"395","Pig Population Estimated from August Survey (Thousand)","Other pigs","1982",948.5
"396","Pig Population Estimated from June Survey (Thousand)","Other pigs","1982",934.9
"397","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1982",239.7
"398","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1982",251.8
"399","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1982",258.9
"400","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1982",253.5
"401","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1982",315.4
"402","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1982",304.5
"403","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1982",312.9
"404","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1982",307.9
"405","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1982",299.3
"406","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1982",277.6
"407","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1982",281.1
"408","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1982",279.5
"409","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1982",83.6
"410","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1982",71.72
"411","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1982",82.14
"412","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1982",78.1
"413","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1982",18.3
"414","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1982",12.28
"415","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1982",13.44
"416","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1982",16
"417","Pig Population Estimated from December Survey (Thousand)","Total pigs","1983",1053.4
"418","Pig Population Estimated from April Survey (Thousand)","Total pigs","1983",1075.2
"419","Pig Population Estimated from August Survey (Thousand)","Total pigs","1983",1091.9
"420","Pig Population Estimated from June Survey (Thousand)","Total pigs","1983",1081.2
"421","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1983",122.8
"422","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1983",125.2
"423","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1983",123.6
"424","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1983",122.5
"425","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1983",14.9
"426","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1983",15
"427","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1983",14.6
"428","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1983",14.4
"429","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1983",9.9
"430","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1983",10.1
"431","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1983",10
"432","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1983",10.3
"433","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1983",65.5
"434","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1983",66.7
"435","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1983",65.9
"436","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1983",65.5
"437","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1983",27.6
"438","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1983",28.4
"439","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1983",28.3
"440","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1983",27.9
"441","Pig Population Estimated from December Survey (Thousand)","Boars","1983",4.9
"442","Pig Population Estimated from April Survey (Thousand)","Boars","1983",5
"443","Pig Population Estimated from August Survey (Thousand)","Boars","1983",4.8
"444","Pig Population Estimated from June Survey (Thousand)","Boars","1983",4.4
"445","Pig Population Estimated from December Survey (Thousand)","Other pigs","1983",930.6
"446","Pig Population Estimated from April Survey (Thousand)","Other pigs","1983",950
"447","Pig Population Estimated from August Survey (Thousand)","Other pigs","1983",968.4
"448","Pig Population Estimated from June Survey (Thousand)","Other pigs","1983",958.7
"449","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1983",240.7
"450","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1983",257.9
"451","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1983",242.8
"452","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1983",248.1
"453","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1983",311.3
"454","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1983",323.1
"455","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1983",333.8
"456","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1983",325.5
"457","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1983",279
"458","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1983",278.2
"459","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1983",296.4
"460","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1983",291.1
"461","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1983",81
"462","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1983",75.44
"463","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1983",79.29
"464","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1983",77.4
"465","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1983",18.7
"466","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1983",15.4
"467","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1983",16.07
"468","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1983",16.6
"469","Pig Population Estimated from December Survey (Thousand)","Total pigs","1984",1019.5
"470","Pig Population Estimated from April Survey (Thousand)","Total pigs","1984",1030.4
"471","Pig Population Estimated from August Survey (Thousand)","Total pigs","1984",1031.1
"472","Pig Population Estimated from June Survey (Thousand)","Total pigs","1984",1035.5
"473","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1984",119.5
"474","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1984",119.4
"475","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1984",116.5
"476","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1984",116.8
"477","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1984",14.1
"478","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1984",14.6
"479","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1984",14
"480","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1984",14.1
"481","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1984",9.9
"482","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1984",10.8
"483","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1984",9.2
"484","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1984",9.9
"485","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1984",65.3
"486","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1984",63.1
"487","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1984",60.7
"488","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1984",62.8
"489","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1984",25.4
"490","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1984",26.1
"491","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1984",27.8
"492","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1984",25.8
"493","Pig Population Estimated from December Survey (Thousand)","Boars","1984",4.9
"494","Pig Population Estimated from April Survey (Thousand)","Boars","1984",4.9
"495","Pig Population Estimated from August Survey (Thousand)","Boars","1984",4.8
"496","Pig Population Estimated from June Survey (Thousand)","Boars","1984",4.3
"497","Pig Population Estimated from December Survey (Thousand)","Other pigs","1984",900
"498","Pig Population Estimated from April Survey (Thousand)","Other pigs","1984",910.9
"499","Pig Population Estimated from August Survey (Thousand)","Other pigs","1984",914.7
"500","Pig Population Estimated from June Survey (Thousand)","Other pigs","1984",918.7
"501","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1984",238.8
"502","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1984",242.7
"503","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1984",243.6
"504","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1984",233
"505","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1984",307.6
"506","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1984",305.7
"507","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1984",301.7
"508","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1984",325.4
"509","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1984",263.1
"510","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1984",268.6
"511","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1984",263.3
"512","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1984",261.9
"513","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1984",71.8
"514","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1984",77.56
"515","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1984",91.06
"516","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1984",82.1
"517","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1984",18.7
"518","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1984",16.39
"519","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1984",15
"520","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1984",16.4
"521","Pig Population Estimated from December Survey (Thousand)","Total pigs","1985",994.1
"522","Pig Population Estimated from April Survey (Thousand)","Total pigs","1985",1003.6
"523","Pig Population Estimated from August Survey (Thousand)","Total pigs","1985",1008.2
"524","Pig Population Estimated from June Survey (Thousand)","Total pigs","1985",1004
"525","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1985",117.5
"526","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1985",119.5
"527","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1985",118.6
"528","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1985",116.9
"529","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1985",14.8
"530","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1985",13.6
"531","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1985",13.9
"532","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1985",14.4
"533","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1985",9.5
"534","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1985",9.6
"535","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1985",9.8
"536","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1985",9.6
"537","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1985",62.3
"538","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1985",64.4
"539","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1985",62.3
"540","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1985",63.4
"541","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1985",26
"542","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1985",26.9
"543","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1985",27.6
"544","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1985",25
"545","Pig Population Estimated from December Survey (Thousand)","Boars","1985",5
"546","Pig Population Estimated from April Survey (Thousand)","Boars","1985",4.9
"547","Pig Population Estimated from August Survey (Thousand)","Boars","1985",4.9
"548","Pig Population Estimated from June Survey (Thousand)","Boars","1985",4.4
"549","Pig Population Estimated from December Survey (Thousand)","Other pigs","1985",876.6
"550","Pig Population Estimated from April Survey (Thousand)","Other pigs","1985",884.1
"551","Pig Population Estimated from August Survey (Thousand)","Other pigs","1985",889.6
"552","Pig Population Estimated from June Survey (Thousand)","Other pigs","1985",887.1
"553","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1985",240.5
"554","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1985",237
"555","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1985",253.3
"556","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1985",233
"557","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1985",285
"558","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1985",315.3
"559","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1985",306
"560","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1985",315.9
"561","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1985",265.3
"562","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1985",245.4
"563","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1985",245.4
"564","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1985",249.2
"565","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1985",67
"566","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1985",69.24
"567","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1985",67.08
"568","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1985",74.9
"569","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1985",18.8
"570","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1985",17.2
"571","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1985",17.83
"572","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1985",14
"573","Pig Population Estimated from December Survey (Thousand)","Total pigs","1986",980
"574","Pig Population Estimated from April Survey (Thousand)","Total pigs","1986",999
"575","Pig Population Estimated from August Survey (Thousand)","Total pigs","1986",999.5
"576","Pig Population Estimated from June Survey (Thousand)","Total pigs","1986",1002.9
"577","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1986",113.4
"578","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1986",117.8
"579","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1986",119.2
"580","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1986",116.9
"581","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1986",14.7
"582","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1986",15.1
"583","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1986",15
"584","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1986",13.8
"585","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1986",8.7
"586","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1986",9.7
"587","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1986",9.9
"588","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1986",9.4
"589","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1986",61.1
"590","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1986",61.5
"591","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1986",63.6
"592","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1986",64
"593","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1986",24.1
"594","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1986",26.5
"595","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1986",25.8
"596","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1986",25.3
"597","Pig Population Estimated from December Survey (Thousand)","Boars","1986",4.9
"598","Pig Population Estimated from April Survey (Thousand)","Boars","1986",5
"599","Pig Population Estimated from August Survey (Thousand)","Boars","1986",4.9
"600","Pig Population Estimated from June Survey (Thousand)","Boars","1986",4.4
"601","Pig Population Estimated from December Survey (Thousand)","Other pigs","1986",866.5
"602","Pig Population Estimated from April Survey (Thousand)","Other pigs","1986",881.2
"603","Pig Population Estimated from August Survey (Thousand)","Other pigs","1986",880.4
"604","Pig Population Estimated from June Survey (Thousand)","Other pigs","1986",886
"605","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1986",219.4
"606","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1986",238.8
"607","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1986",234.1
"608","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1986",230.5
"609","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1986",301.7
"610","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1986",294.6
"611","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1986",290.6
"612","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1986",314.3
"613","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1986",264.7
"614","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1986",266.9
"615","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1986",269.8
"616","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1986",255.1
"617","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1986",65.2
"618","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1986",65.8
"619","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1986",69.68
"620","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1986",75.1
"621","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1986",15.6
"622","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1986",15.15
"623","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1986",16.17
"624","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1986",11
"625","Pig Population Estimated from December Survey (Thousand)","Total pigs","1987",960.3
"626","Pig Population Estimated from April Survey (Thousand)","Total pigs","1987",994.3
"627","Pig Population Estimated from August Survey (Thousand)","Total pigs","1987",995.2
"628","Pig Population Estimated from June Survey (Thousand)","Total pigs","1987",999
"629","Pig Population Estimated from December Survey (Thousand)","Breeding pigs","1987",112.8
"630","Pig Population Estimated from April Survey (Thousand)","Breeding pigs","1987",113.1
"631","Pig Population Estimated from August Survey (Thousand)","Breeding pigs","1987",112.9
"632","Pig Population Estimated from June Survey (Thousand)","Breeding pigs","1987",118.8
"633","Pig Population Estimated from December Survey (Thousand)","Gilts in pig","1987",14.4
"634","Pig Population Estimated from April Survey (Thousand)","Gilts in pig","1987",14.7
"635","Pig Population Estimated from August Survey (Thousand)","Gilts in pig","1987",14
"636","Pig Population Estimated from June Survey (Thousand)","Gilts in pig","1987",13.8
"637","Pig Population Estimated from December Survey (Thousand)","Gilts not yet served","1987",8.5
"638","Pig Population Estimated from April Survey (Thousand)","Gilts not yet served","1987",8.2
"639","Pig Population Estimated from August Survey (Thousand)","Gilts not yet served","1987",9.3
"640","Pig Population Estimated from June Survey (Thousand)","Gilts not yet served","1987",9.3
"641","Pig Population Estimated from December Survey (Thousand)","Sows in pig","1987",61.8
"642","Pig Population Estimated from April Survey (Thousand)","Sows in pig","1987",62
"643","Pig Population Estimated from August Survey (Thousand)","Sows in pig","1987",61.4
"644","Pig Population Estimated from June Survey (Thousand)","Sows in pig","1987",62
"645","Pig Population Estimated from December Survey (Thousand)","Other sows for breeding","1987",23.1
"646","Pig Population Estimated from April Survey (Thousand)","Other sows for breeding","1987",23.3
"647","Pig Population Estimated from August Survey (Thousand)","Other sows for breeding","1987",23.4
"648","Pig Population Estimated from June Survey (Thousand)","Other sows for breeding","1987",22.4
"649","Pig Population Estimated from December Survey (Thousand)","Boars","1987",4.9
"650","Pig Population Estimated from April Survey (Thousand)","Boars","1987",4.8
"651","Pig Population Estimated from August Survey (Thousand)","Boars","1987",4.8
"652","Pig Population Estimated from June Survey (Thousand)","Boars","1987",4.3
"653","Pig Population Estimated from December Survey (Thousand)","Other pigs","1987",847.5
"654","Pig Population Estimated from April Survey (Thousand)","Other pigs","1987",881.2
"655","Pig Population Estimated from August Survey (Thousand)","Other pigs","1987",882.3
"656","Pig Population Estimated from June Survey (Thousand)","Other pigs","1987",887.2
"657","Pig Population Estimated from December Survey (Thousand)","Other pigs: under 20kg","1987",217.2
"658","Pig Population Estimated from April Survey (Thousand)","Other pigs: under 20kg","1987",225.2
"659","Pig Population Estimated from August Survey (Thousand)","Other pigs: under 20kg","1987",228.8
"660","Pig Population Estimated from June Survey (Thousand)","Other pigs: under 20kg","1987",226.4
"661","Pig Population Estimated from December Survey (Thousand)","Other pigs: 20kg and under 50kg","1987",295.1
"662","Pig Population Estimated from April Survey (Thousand)","Other pigs: 20kg and under 50kg","1987",310
"663","Pig Population Estimated from August Survey (Thousand)","Other pigs: 20kg and under 50kg","1987",312.7
"664","Pig Population Estimated from June Survey (Thousand)","Other pigs: 20kg and under 50kg","1987",323.4
"665","Pig Population Estimated from December Survey (Thousand)","Other pigs: 50kg and under 80kg","1987",258.6
"666","Pig Population Estimated from April Survey (Thousand)","Other pigs: 50kg and under 80kg","1987",264.4
"667","Pig Population Estimated from August Survey (Thousand)","Other pigs: 50kg and under 80kg","1987",260.7
"668","Pig Population Estimated from June Survey (Thousand)","Other pigs: 50kg and under 80kg","1987",251.9
"669","Pig Population Estimated from December Survey (Thousand)","Other pigs: 80kg and under 110kg","1987",64.4
"670","Pig Population Estimated from April Survey (Thousand)","Other pigs: 80kg and under 110kg","1987",67.1
"671","Pig Population Estimated from August Survey (Thousand)","Other pigs: 80kg and under 110kg","1987",64.47
"672","Pig Population Estimated from June Survey (Thousand)","Other pigs: 80kg and under 110kg","1987",76.3
"673","Pig Population Estimated from December Survey (Thousand)","Other pigs: 110kg and over","1987",12.2
"674","Pig Population Estimated from April Survey (Thousand)","Other pigs: 110kg and over","1987",14.49
"675","Pig Population Estimated from August Survey (Thousand)","Other pigs: 110kg and over","1987",15.6
"676","Pig Population Estimated from June Survey (Thousand)","Other pigs: 110kg and over","1987",9.1
"677","Pig Population Estimated from December Survey (Thousand)","Total pigs","1988",1014.5
