"","Region","Year","Type.of.Animal","value"
"1151","South-East","1994","Other cattle: 2 years and over",179.8
"1152","South-West","1994","Other cattle: 2 years and over",136.4
"1153","State","1995","Other cattle: 2 years and over",1022.9
"1154","Dublin plus Mid East","1995","Other cattle: 2 years and over",151.7
"1155","Border","1995","Other cattle: 2 years and over",118.6
"1156","Midland","1995","Other cattle: 2 years and over",154.6
"1157","West","1995","Other cattle: 2 years and over",168.8
"1158","Mid-West","1995","Other cattle: 2 years and over",129.2
"1159","South-East","1995","Other cattle: 2 years and over",169.4
"1160","South-West","1995","Other cattle: 2 years and over",130.5
"1161","State","1996","Other cattle: 2 years and over",1036.2
"1162","Dublin plus Mid East","1996","Other cattle: 2 years and over",142
"1163","Border","1996","Other cattle: 2 years and over",120.5
"1164","Midland","1996","Other cattle: 2 years and over",157
"1165","West","1996","Other cattle: 2 years and over",173.7
"1166","Mid-West","1996","Other cattle: 2 years and over",134.2
"1167","South-East","1996","Other cattle: 2 years and over",173.5
"1168","South-West","1996","Other cattle: 2 years and over",135.4
"1169","State","1997","Other cattle: 2 years and over",985.7
"1170","Dublin plus Mid East","1997","Other cattle: 2 years and over",132.5
"1171","Border","1997","Other cattle: 2 years and over",114.9
"1172","Midland","1997","Other cattle: 2 years and over",148.5
"1173","West","1997","Other cattle: 2 years and over",163.2
"1174","Mid-West","1997","Other cattle: 2 years and over",129.6
"1175","South-East","1997","Other cattle: 2 years and over",162
"1176","South-West","1997","Other cattle: 2 years and over",135
"1177","State","1998","Other cattle: 2 years and over",1002.1
"1178","Dublin plus Mid East","1998","Other cattle: 2 years and over",134.5
"1179","Border","1998","Other cattle: 2 years and over",119.9
"1180","Midland","1998","Other cattle: 2 years and over",152.7
"1181","West","1998","Other cattle: 2 years and over",158.2
"1182","Mid-West","1998","Other cattle: 2 years and over",139.1
"1183","South-East","1998","Other cattle: 2 years and over",158.8
"1184","South-West","1998","Other cattle: 2 years and over",139.1
"1185","State","1999","Other cattle: 2 years and over",1057.7
"1186","Dublin plus Mid East","1999","Other cattle: 2 years and over",143.6
"1187","Border","1999","Other cattle: 2 years and over",117.7
"1188","Midland","1999","Other cattle: 2 years and over",160.5
"1189","West","1999","Other cattle: 2 years and over",164
"1190","Mid-West","1999","Other cattle: 2 years and over",133.8
"1191","South-East","1999","Other cattle: 2 years and over",183.5
"1192","South-West","1999","Other cattle: 2 years and over",154.3
"1193","State","2000","Other cattle: 2 years and over",1016.2
"1194","Dublin plus Mid East","2000","Other cattle: 2 years and over",136.9
"1195","Border","2000","Other cattle: 2 years and over",115.1
"1196","Midland","2000","Other cattle: 2 years and over",156
"1197","West","2000","Other cattle: 2 years and over",161.5
"1198","Mid-West","2000","Other cattle: 2 years and over",137.8
"1199","South-East","2000","Other cattle: 2 years and over",172.1
"1200","South-West","2000","Other cattle: 2 years and over",136.7
"1201","State","2001","Other cattle: 2 years and over",941.1
"1202","Dublin plus Mid East","2001","Other cattle: 2 years and over",113.8
"1203","Border","2001","Other cattle: 2 years and over",110.3
"1204","Midland","2001","Other cattle: 2 years and over",133.5
"1205","West","2001","Other cattle: 2 years and over",149.8
"1206","Mid-West","2001","Other cattle: 2 years and over",139.3
"1207","South-East","2001","Other cattle: 2 years and over",166.2
"1208","South-West","2001","Other cattle: 2 years and over",128.3
"1209","State","2002","Other cattle: 2 years and over",844.7
"1210","Dublin plus Mid East","2002","Other cattle: 2 years and over",107.6
"1211","Border","2002","Other cattle: 2 years and over",99.2
"1212","Midland","2002","Other cattle: 2 years and over",122.9
"1213","West","2002","Other cattle: 2 years and over",133.9
"1214","Mid-West","2002","Other cattle: 2 years and over",120.6
"1215","South-East","2002","Other cattle: 2 years and over",144
"1216","South-West","2002","Other cattle: 2 years and over",116.7
"1217","State","2003","Other cattle: 2 years and over",901.5
"1218","Dublin plus Mid East","2003","Other cattle: 2 years and over",117.8
"1219","Border","2003","Other cattle: 2 years and over",105.7
"1220","Midland","2003","Other cattle: 2 years and over",130.8
"1221","West","2003","Other cattle: 2 years and over",143.6
"1222","Mid-West","2003","Other cattle: 2 years and over",126.3
"1223","South-East","2003","Other cattle: 2 years and over",148.3
"1224","South-West","2003","Other cattle: 2 years and over",129
"1225","State","2004","Other cattle: 2 years and over",910.6
"1226","Dublin plus Mid East","2004","Other cattle: 2 years and over",118.2
"1227","Border","2004","Other cattle: 2 years and over",109.5
"1228","Midland","2004","Other cattle: 2 years and over",128.8
"1229","West","2004","Other cattle: 2 years and over",140.8
"1230","Mid-West","2004","Other cattle: 2 years and over",126.8
"1231","South-East","2004","Other cattle: 2 years and over",154.8
"1232","South-West","2004","Other cattle: 2 years and over",131.7
"1233","State","1991","Other cattle male: 2 years and over",797.5
"1234","Dublin plus Mid East","1991","Other cattle male: 2 years and over",125.3
"1235","Border","1991","Other cattle male: 2 years and over",91.4
"1236","Midland","1991","Other cattle male: 2 years and over",113.1
"1237","West","1991","Other cattle male: 2 years and over",133.5
"1238","Mid-West","1991","Other cattle male: 2 years and over",101.7
"1239","South-East","1991","Other cattle male: 2 years and over",139.7
"1240","South-West","1991","Other cattle male: 2 years and over",92.8
"1241","State","1992","Other cattle male: 2 years and over",829.6
"1242","Dublin plus Mid East","1992","Other cattle male: 2 years and over",131.1
"1243","Border","1992","Other cattle male: 2 years and over",93.6
"1244","Midland","1992","Other cattle male: 2 years and over",111.5
"1245","West","1992","Other cattle male: 2 years and over",140.3
"1246","Mid-West","1992","Other cattle male: 2 years and over",105.8
"1247","South-East","1992","Other cattle male: 2 years and over",147.4
"1248","South-West","1992","Other cattle male: 2 years and over",99.9
"1249","State","1993","Other cattle male: 2 years and over",773.2
"1250","Dublin plus Mid East","1993","Other cattle male: 2 years and over",119.6
"1251","Border","1993","Other cattle male: 2 years and over",89.2
"1252","Midland","1993","Other cattle male: 2 years and over",108.8
"1253","West","1993","Other cattle male: 2 years and over",130.9
"1254","Mid-West","1993","Other cattle male: 2 years and over",98.9
"1255","South-East","1993","Other cattle male: 2 years and over",136.2
"1256","South-West","1993","Other cattle male: 2 years and over",89.5
"1257","State","1994","Other cattle male: 2 years and over",739.8
"1258","Dublin plus Mid East","1994","Other cattle male: 2 years and over",110
"1259","Border","1994","Other cattle male: 2 years and over",88
"1260","Midland","1994","Other cattle male: 2 years and over",108.3
"1261","West","1994","Other cattle male: 2 years and over",120.8
"1262","Mid-West","1994","Other cattle male: 2 years and over",96
"1263","South-East","1994","Other cattle male: 2 years and over",130.5
"1264","South-West","1994","Other cattle male: 2 years and over",86.1
"1265","State","1995","Other cattle male: 2 years and over",711.6
"1266","Dublin plus Mid East","1995","Other cattle male: 2 years and over",107.3
"1267","Border","1995","Other cattle male: 2 years and over",77.9
"1268","Midland","1995","Other cattle male: 2 years and over",102.6
"1269","West","1995","Other cattle male: 2 years and over",122.5
"1270","Mid-West","1995","Other cattle male: 2 years and over",93.2
"1271","South-East","1995","Other cattle male: 2 years and over",123.3
"1272","South-West","1995","Other cattle male: 2 years and over",84.8
"1273","State","1996","Other cattle male: 2 years and over",732.2
"1274","Dublin plus Mid East","1996","Other cattle male: 2 years and over",102.6
"1275","Border","1996","Other cattle male: 2 years and over",80.4
"1276","Midland","1996","Other cattle male: 2 years and over",106
"1277","West","1996","Other cattle male: 2 years and over",128.6
"1278","Mid-West","1996","Other cattle male: 2 years and over",99.3
"1279","South-East","1996","Other cattle male: 2 years and over",129.6
"1280","South-West","1996","Other cattle male: 2 years and over",85.6
"1281","State","1997","Other cattle male: 2 years and over",690.2
"1282","Dublin plus Mid East","1997","Other cattle male: 2 years and over",93.3
"1283","Border","1997","Other cattle male: 2 years and over",74.4
"1284","Midland","1997","Other cattle male: 2 years and over",99
"1285","West","1997","Other cattle male: 2 years and over",118.9
"1286","Mid-West","1997","Other cattle male: 2 years and over",96.7
"1287","South-East","1997","Other cattle male: 2 years and over",120
"1288","South-West","1997","Other cattle male: 2 years and over",87.8
"1289","State","1998","Other cattle male: 2 years and over",708.1
"1290","Dublin plus Mid East","1998","Other cattle male: 2 years and over",97.7
"1291","Border","1998","Other cattle male: 2 years and over",75.6
"1292","Midland","1998","Other cattle male: 2 years and over",102.8
"1293","West","1998","Other cattle male: 2 years and over",117.7
"1294","Mid-West","1998","Other cattle male: 2 years and over",104.6
"1295","South-East","1998","Other cattle male: 2 years and over",116.4
"1296","South-West","1998","Other cattle male: 2 years and over",93.4
"1297","State","1999","Other cattle male: 2 years and over",736.7
"1298","Dublin plus Mid East","1999","Other cattle male: 2 years and over",102.6
"1299","Border","1999","Other cattle male: 2 years and over",73.5
"1300","Midland","1999","Other cattle male: 2 years and over",106.6
"1301","West","1999","Other cattle male: 2 years and over",118.2
"1302","Mid-West","1999","Other cattle male: 2 years and over",99.2
"1303","South-East","1999","Other cattle male: 2 years and over",132.1
"1304","South-West","1999","Other cattle male: 2 years and over",104.4
"1305","State","2000","Other cattle male: 2 years and over",721.6
"1306","Dublin plus Mid East","2000","Other cattle male: 2 years and over",99.1
"1307","Border","2000","Other cattle male: 2 years and over",74.3
"1308","Midland","2000","Other cattle male: 2 years and over",108.5
"1309","West","2000","Other cattle male: 2 years and over",112.6
"1310","Mid-West","2000","Other cattle male: 2 years and over",101.6
"1311","South-East","2000","Other cattle male: 2 years and over",129.3
"1312","South-West","2000","Other cattle male: 2 years and over",96
"1313","State","2001","Other cattle male: 2 years and over",642.1
"1314","Dublin plus Mid East","2001","Other cattle male: 2 years and over",78.1
"1315","Border","2001","Other cattle male: 2 years and over",68.4
"1316","Midland","2001","Other cattle male: 2 years and over",90.3
"1317","West","2001","Other cattle male: 2 years and over",100.5
"1318","Mid-West","2001","Other cattle male: 2 years and over",98.3
"1319","South-East","2001","Other cattle male: 2 years and over",121.8
"1320","South-West","2001","Other cattle male: 2 years and over",84.6
"1321","State","2002","Other cattle male: 2 years and over",560.4
"1322","Dublin plus Mid East","2002","Other cattle male: 2 years and over",73.4
"1323","Border","2002","Other cattle male: 2 years and over",56.7
"1324","Midland","2002","Other cattle male: 2 years and over",84.4
"1325","West","2002","Other cattle male: 2 years and over",86.6
"1326","Mid-West","2002","Other cattle male: 2 years and over",84.1
"1327","South-East","2002","Other cattle male: 2 years and over",104.2
"1328","South-West","2002","Other cattle male: 2 years and over",71.1
"1329","State","2003","Other cattle male: 2 years and over",598.7
"1330","Dublin plus Mid East","2003","Other cattle male: 2 years and over",82.8
"1331","Border","2003","Other cattle male: 2 years and over",60.6
"1332","Midland","2003","Other cattle male: 2 years and over",87.5
"1333","West","2003","Other cattle male: 2 years and over",90.6
"1334","Mid-West","2003","Other cattle male: 2 years and over",87
"1335","South-East","2003","Other cattle male: 2 years and over",106.2
"1336","South-West","2003","Other cattle male: 2 years and over",84
"1337","State","2004","Other cattle male: 2 years and over",605.4
"1338","Dublin plus Mid East","2004","Other cattle male: 2 years and over",80.9
"1339","Border","2004","Other cattle male: 2 years and over",64.1
"1340","Midland","2004","Other cattle male: 2 years and over",88.7
"1341","West","2004","Other cattle male: 2 years and over",88.7
"1342","Mid-West","2004","Other cattle male: 2 years and over",84.9
"1343","South-East","2004","Other cattle male: 2 years and over",110.1
"1344","South-West","2004","Other cattle male: 2 years and over",87.9
"1345","State","1991","Other cattle female: 2 years and over",301.3
"1346","Dublin plus Mid East","1991","Other cattle female: 2 years and over",39.8
"1347","Border","1991","Other cattle female: 2 years and over",37.4
"1348","Midland","1991","Other cattle female: 2 years and over",49.7
"1349","West","1991","Other cattle female: 2 years and over",41.9
"1350","Mid-West","1991","Other cattle female: 2 years and over",37.2
"1351","South-East","1991","Other cattle female: 2 years and over",44
"1352","South-West","1991","Other cattle female: 2 years and over",51.2
"1353","State","1992","Other cattle female: 2 years and over",322.2
"1354","Dublin plus Mid East","1992","Other cattle female: 2 years and over",40.8
"1355","Border","1992","Other cattle female: 2 years and over",41.1
"1356","Midland","1992","Other cattle female: 2 years and over",52.3
"1357","West","1992","Other cattle female: 2 years and over",46.8
"1358","Mid-West","1992","Other cattle female: 2 years and over",42
"1359","South-East","1992","Other cattle female: 2 years and over",46.6
"1360","South-West","1992","Other cattle female: 2 years and over",52.8
"1361","State","1993","Other cattle female: 2 years and over",304.7
"1362","Dublin plus Mid East","1993","Other cattle female: 2 years and over",38.6
"1363","Border","1993","Other cattle female: 2 years and over",40.4
"1364","Midland","1993","Other cattle female: 2 years and over",49.1
"1365","West","1993","Other cattle female: 2 years and over",45
"1366","Mid-West","1993","Other cattle female: 2 years and over",40.1
"1367","South-East","1993","Other cattle female: 2 years and over",44.6
"1368","South-West","1993","Other cattle female: 2 years and over",47
"1369","State","1994","Other cattle female: 2 years and over",318
"1370","Dublin plus Mid East","1994","Other cattle female: 2 years and over",43.8
"1371","Border","1994","Other cattle female: 2 years and over",41.4
"1372","Midland","1994","Other cattle female: 2 years and over",48.4
"1373","West","1994","Other cattle female: 2 years and over",46.1
"1374","Mid-West","1994","Other cattle female: 2 years and over",38.9
"1375","South-East","1994","Other cattle female: 2 years and over",49.4
"1376","South-West","1994","Other cattle female: 2 years and over",50.1
"1377","State","1995","Other cattle female: 2 years and over",311.3
"1378","Dublin plus Mid East","1995","Other cattle female: 2 years and over",44.5
"1379","Border","1995","Other cattle female: 2 years and over",40.6
"1380","Midland","1995","Other cattle female: 2 years and over",51.9
"1381","West","1995","Other cattle female: 2 years and over",46.5
"1382","Mid-West","1995","Other cattle female: 2 years and over",36.1
"1383","South-East","1995","Other cattle female: 2 years and over",46.3
"1384","South-West","1995","Other cattle female: 2 years and over",45.5
"1385","State","1996","Other cattle female: 2 years and over",304
"1386","Dublin plus Mid East","1996","Other cattle female: 2 years and over",39.4
"1387","Border","1996","Other cattle female: 2 years and over",39.9
"1388","Midland","1996","Other cattle female: 2 years and over",51
"1389","West","1996","Other cattle female: 2 years and over",45.1
"1390","Mid-West","1996","Other cattle female: 2 years and over",35.1
"1391","South-East","1996","Other cattle female: 2 years and over",44.1
"1392","South-West","1996","Other cattle female: 2 years and over",49.4
"1393","State","1997","Other cattle female: 2 years and over",295.6
"1394","Dublin plus Mid East","1997","Other cattle female: 2 years and over",39.2
"1395","Border","1997","Other cattle female: 2 years and over",40.5
"1396","Midland","1997","Other cattle female: 2 years and over",49.5
"1397","West","1997","Other cattle female: 2 years and over",44.3
"1398","Mid-West","1997","Other cattle female: 2 years and over",32.9
"1399","South-East","1997","Other cattle female: 2 years and over",42
"1400","South-West","1997","Other cattle female: 2 years and over",47.2
"1401","State","1998","Other cattle female: 2 years and over",294
"1402","Dublin plus Mid East","1998","Other cattle female: 2 years and over",36.8
"1403","Border","1998","Other cattle female: 2 years and over",44.3
"1404","Midland","1998","Other cattle female: 2 years and over",49.9
"1405","West","1998","Other cattle female: 2 years and over",40.5
"1406","Mid-West","1998","Other cattle female: 2 years and over",34.5
"1407","South-East","1998","Other cattle female: 2 years and over",42.4
"1408","South-West","1998","Other cattle female: 2 years and over",45.7
"1409","State","1999","Other cattle female: 2 years and over",321
"1410","Dublin plus Mid East","1999","Other cattle female: 2 years and over",41
"1411","Border","1999","Other cattle female: 2 years and over",44.2
"1412","Midland","1999","Other cattle female: 2 years and over",53.9
"1413","West","1999","Other cattle female: 2 years and over",45.8
"1414","Mid-West","1999","Other cattle female: 2 years and over",34.6
"1415","South-East","1999","Other cattle female: 2 years and over",51.4
"1416","South-West","1999","Other cattle female: 2 years and over",49.9
"1417","State","2000","Other cattle female: 2 years and over",294.7
"1418","Dublin plus Mid East","2000","Other cattle female: 2 years and over",37.7
"1419","Border","2000","Other cattle female: 2 years and over",40.8
"1420","Midland","2000","Other cattle female: 2 years and over",47.4
"1421","West","2000","Other cattle female: 2 years and over",48.9
"1422","Mid-West","2000","Other cattle female: 2 years and over",36.2
"1423","South-East","2000","Other cattle female: 2 years and over",42.8
"1424","South-West","2000","Other cattle female: 2 years and over",40.8
"1425","State","2001","Other cattle female: 2 years and over",299
"1426","Dublin plus Mid East","2001","Other cattle female: 2 years and over",35.7
"1427","Border","2001","Other cattle female: 2 years and over",41.9
"1428","Midland","2001","Other cattle female: 2 years and over",43.2
"1429","West","2001","Other cattle female: 2 years and over",49.3
"1430","Mid-West","2001","Other cattle female: 2 years and over",41
"1431","South-East","2001","Other cattle female: 2 years and over",44.4
"1432","South-West","2001","Other cattle female: 2 years and over",43.7
"1433","State","2002","Other cattle female: 2 years and over",284.3
"1434","Dublin plus Mid East","2002","Other cattle female: 2 years and over",34.2
"1435","Border","2002","Other cattle female: 2 years and over",42.5
"1436","Midland","2002","Other cattle female: 2 years and over",38.5
"1437","West","2002","Other cattle female: 2 years and over",47.2
"1438","Mid-West","2002","Other cattle female: 2 years and over",36.5
"1439","South-East","2002","Other cattle female: 2 years and over",39.8
"1440","South-West","2002","Other cattle female: 2 years and over",45.6
"1441","State","2003","Other cattle female: 2 years and over",302.8
"1442","Dublin plus Mid East","2003","Other cattle female: 2 years and over",35
"1443","Border","2003","Other cattle female: 2 years and over",45.1
"1444","Midland","2003","Other cattle female: 2 years and over",43.3
"1445","West","2003","Other cattle female: 2 years and over",53
"1446","Mid-West","2003","Other cattle female: 2 years and over",39.3
"1447","South-East","2003","Other cattle female: 2 years and over",42.1
"1448","South-West","2003","Other cattle female: 2 years and over",45
"1449","State","2004","Other cattle female: 2 years and over",305.2
"1450","Dublin plus Mid East","2004","Other cattle female: 2 years and over",37.3
"1451","Border","2004","Other cattle female: 2 years and over",45.4
"1452","Midland","2004","Other cattle female: 2 years and over",40.1
"1453","West","2004","Other cattle female: 2 years and over",52.1
"1454","Mid-West","2004","Other cattle female: 2 years and over",41.9
"1455","South-East","2004","Other cattle female: 2 years and over",44.7
"1456","South-West","2004","Other cattle female: 2 years and over",43.8
"1457","State","1991","Other cattle: 1-2 years",1692
"1458","Dublin plus Mid East","1991","Other cattle: 1-2 years",147.4
"1459","Border","1991","Other cattle: 1-2 years",215.7
"1460","Midland","1991","Other cattle: 1-2 years",208.7
"1461","West","1991","Other cattle: 1-2 years",275
"1462","Mid-West","1991","Other cattle: 1-2 years",227.8
"1463","South-East","1991","Other cattle: 1-2 years",326.7
"1464","South-West","1991","Other cattle: 1-2 years",290.7
"1465","State","1992","Other cattle: 1-2 years",1637.6
"1466","Dublin plus Mid East","1992","Other cattle: 1-2 years",140.7
"1467","Border","1992","Other cattle: 1-2 years",210.8
"1468","Midland","1992","Other cattle: 1-2 years",206.3
"1469","West","1992","Other cattle: 1-2 years",262.9
"1470","Mid-West","1992","Other cattle: 1-2 years",221.7
"1471","South-East","1992","Other cattle: 1-2 years",310
"1472","South-West","1992","Other cattle: 1-2 years",285.2
"1473","State","1993","Other cattle: 1-2 years",1587
"1474","Dublin plus Mid East","1993","Other cattle: 1-2 years",139.3
"1475","Border","1993","Other cattle: 1-2 years",196.5
"1476","Midland","1993","Other cattle: 1-2 years",200
"1477","West","1993","Other cattle: 1-2 years",251.8
"1478","Mid-West","1993","Other cattle: 1-2 years",212.8
"1479","South-East","1993","Other cattle: 1-2 years",308
"1480","South-West","1993","Other cattle: 1-2 years",278.8
"1481","State","1994","Other cattle: 1-2 years",1585.7
"1482","Dublin plus Mid East","1994","Other cattle: 1-2 years",141.8
"1483","Border","1994","Other cattle: 1-2 years",202.4
"1484","Midland","1994","Other cattle: 1-2 years",198.4
"1485","West","1994","Other cattle: 1-2 years",251.4
"1486","Mid-West","1994","Other cattle: 1-2 years",210.3
"1487","South-East","1994","Other cattle: 1-2 years",312.3
"1488","South-West","1994","Other cattle: 1-2 years",269.1
"1489","State","1995","Other cattle: 1-2 years",1586.1
"1490","Dublin plus Mid East","1995","Other cattle: 1-2 years",144.6
"1491","Border","1995","Other cattle: 1-2 years",198.4
"1492","Midland","1995","Other cattle: 1-2 years",202.8
"1493","West","1995","Other cattle: 1-2 years",254.1
"1494","Mid-West","1995","Other cattle: 1-2 years",205.1
"1495","South-East","1995","Other cattle: 1-2 years",311.3
"1496","South-West","1995","Other cattle: 1-2 years",269.9
"1497","State","1996","Other cattle: 1-2 years",1639.4
"1498","Dublin plus Mid East","1996","Other cattle: 1-2 years",149.9
"1499","Border","1996","Other cattle: 1-2 years",201.9
"1500","Midland","1996","Other cattle: 1-2 years",204.6
"1501","West","1996","Other cattle: 1-2 years",259
"1502","Mid-West","1996","Other cattle: 1-2 years",222
"1503","South-East","1996","Other cattle: 1-2 years",322.1
"1504","South-West","1996","Other cattle: 1-2 years",279.8
"1505","State","1997","Other cattle: 1-2 years",1717
"1506","Dublin plus Mid East","1997","Other cattle: 1-2 years",157.1
"1507","Border","1997","Other cattle: 1-2 years",216.2
"1508","Midland","1997","Other cattle: 1-2 years",216.4
"1509","West","1997","Other cattle: 1-2 years",270.7
"1510","Mid-West","1997","Other cattle: 1-2 years",229.5
"1511","South-East","1997","Other cattle: 1-2 years",330.4
"1512","South-West","1997","Other cattle: 1-2 years",296.6
"1513","State","1998","Other cattle: 1-2 years",1782.6
"1514","Dublin plus Mid East","1998","Other cattle: 1-2 years",161.6
"1515","Border","1998","Other cattle: 1-2 years",222.3
"1516","Midland","1998","Other cattle: 1-2 years",227.5
"1517","West","1998","Other cattle: 1-2 years",274.9
"1518","Mid-West","1998","Other cattle: 1-2 years",241.6
"1519","South-East","1998","Other cattle: 1-2 years",345.6
"1520","South-West","1998","Other cattle: 1-2 years",309
"1521","State","1999","Other cattle: 1-2 years",1706
"1522","Dublin plus Mid East","1999","Other cattle: 1-2 years",158.1
"1523","Border","1999","Other cattle: 1-2 years",215.8
"1524","Midland","1999","Other cattle: 1-2 years",206.9
"1525","West","1999","Other cattle: 1-2 years",252.1
"1526","Mid-West","1999","Other cattle: 1-2 years",231.8
"1527","South-East","1999","Other cattle: 1-2 years",334.3
"1528","South-West","1999","Other cattle: 1-2 years",307.1
"1529","State","2000","Other cattle: 1-2 years",1517.1
"1530","Dublin plus Mid East","2000","Other cattle: 1-2 years",144.6
"1531","Border","2000","Other cattle: 1-2 years",193.6
"1532","Midland","2000","Other cattle: 1-2 years",188.5
"1533","West","2000","Other cattle: 1-2 years",207.6
"1534","Mid-West","2000","Other cattle: 1-2 years",204.4
"1535","South-East","2000","Other cattle: 1-2 years",309.4
"1536","South-West","2000","Other cattle: 1-2 years",269
"1537","State","2001","Other cattle: 1-2 years",1515
"1538","Dublin plus Mid East","2001","Other cattle: 1-2 years",134.9
"1539","Border","2001","Other cattle: 1-2 years",200.7
"1540","Midland","2001","Other cattle: 1-2 years",185.1
"1541","West","2001","Other cattle: 1-2 years",209.2
"1542","Mid-West","2001","Other cattle: 1-2 years",212.1
"1543","South-East","2001","Other cattle: 1-2 years",299.9
"1544","South-West","2001","Other cattle: 1-2 years",273.1
"1545","State","2002","Other cattle: 1-2 years",1593.2
"1546","Dublin plus Mid East","2002","Other cattle: 1-2 years",150.1
"1547","Border","2002","Other cattle: 1-2 years",210.1
"1548","Midland","2002","Other cattle: 1-2 years",197.7
"1549","West","2002","Other cattle: 1-2 years",218.7
"1550","Mid-West","2002","Other cattle: 1-2 years",218.9
"1551","South-East","2002","Other cattle: 1-2 years",308.1
"1552","South-West","2002","Other cattle: 1-2 years",289.4
"1553","State","2003","Other cattle: 1-2 years",1577.1
"1554","Dublin plus Mid East","2003","Other cattle: 1-2 years",145.4
"1555","Border","2003","Other cattle: 1-2 years",203.7
"1556","Midland","2003","Other cattle: 1-2 years",205.1
"1557","West","2003","Other cattle: 1-2 years",217.2
"1558","Mid-West","2003","Other cattle: 1-2 years",219.2
"1559","South-East","2003","Other cattle: 1-2 years",308.9
"1560","South-West","2003","Other cattle: 1-2 years",277.6
"1561","State","2004","Other cattle: 1-2 years",1534.8
"1562","Dublin plus Mid East","2004","Other cattle: 1-2 years",141
"1563","Border","2004","Other cattle: 1-2 years",205.5
"1564","Midland","2004","Other cattle: 1-2 years",188.6
"1565","West","2004","Other cattle: 1-2 years",214.2
"1566","Mid-West","2004","Other cattle: 1-2 years",215.6
"1567","South-East","2004","Other cattle: 1-2 years",297.6
"1568","South-West","2004","Other cattle: 1-2 years",272.4
"1569","State","1991","Other cattle male: 1-2 years",981.1
"1570","Dublin plus Mid East","1991","Other cattle male: 1-2 years",87.4
"1571","Border","1991","Other cattle male: 1-2 years",122.8
"1572","Midland","1991","Other cattle male: 1-2 years",109.6
"1573","West","1991","Other cattle male: 1-2 years",167.3
"1574","Mid-West","1991","Other cattle male: 1-2 years",132.7
"1575","South-East","1991","Other cattle male: 1-2 years",200.1
"1576","South-West","1991","Other cattle male: 1-2 years",161.1
"1577","State","1992","Other cattle male: 1-2 years",981.6
"1578","Dublin plus Mid East","1992","Other cattle male: 1-2 years",84
"1579","Border","1992","Other cattle male: 1-2 years",122.5
"1580","Midland","1992","Other cattle male: 1-2 years",113.2
"1581","West","1992","Other cattle male: 1-2 years",166.4
"1582","Mid-West","1992","Other cattle male: 1-2 years",134.5
"1583","South-East","1992","Other cattle male: 1-2 years",196.8
"1584","South-West","1992","Other cattle male: 1-2 years",164.1
"1585","State","1993","Other cattle male: 1-2 years",957.5
"1586","Dublin plus Mid East","1993","Other cattle male: 1-2 years",83.6
"1587","Border","1993","Other cattle male: 1-2 years",116.9
"1588","Midland","1993","Other cattle male: 1-2 years",107.4
"1589","West","1993","Other cattle male: 1-2 years",156.1
"1590","Mid-West","1993","Other cattle male: 1-2 years",130.8
"1591","South-East","1993","Other cattle male: 1-2 years",194.4
"1592","South-West","1993","Other cattle male: 1-2 years",168.3
"1593","State","1994","Other cattle male: 1-2 years",952
"1594","Dublin plus Mid East","1994","Other cattle male: 1-2 years",84.8
"1595","Border","1994","Other cattle male: 1-2 years",117.5
"1596","Midland","1994","Other cattle male: 1-2 years",107.6
"1597","West","1994","Other cattle male: 1-2 years",156.4
"1598","Mid-West","1994","Other cattle male: 1-2 years",130.8
"1599","South-East","1994","Other cattle male: 1-2 years",194.5
"1600","South-West","1994","Other cattle male: 1-2 years",160.4
"1601","State","1995","Other cattle male: 1-2 years",964.4
"1602","Dublin plus Mid East","1995","Other cattle male: 1-2 years",86.3
"1603","Border","1995","Other cattle male: 1-2 years",117.1
"1604","Midland","1995","Other cattle male: 1-2 years",112.4
"1605","West","1995","Other cattle male: 1-2 years",159.3
"1606","Mid-West","1995","Other cattle male: 1-2 years",129.4
"1607","South-East","1995","Other cattle male: 1-2 years",196.9
"1608","South-West","1995","Other cattle male: 1-2 years",163
"1609","State","1996","Other cattle male: 1-2 years",996.2
"1610","Dublin plus Mid East","1996","Other cattle male: 1-2 years",88.6
"1611","Border","1996","Other cattle male: 1-2 years",120.7
"1612","Midland","1996","Other cattle male: 1-2 years",115.1
"1613","West","1996","Other cattle male: 1-2 years",157.8
"1614","Mid-West","1996","Other cattle male: 1-2 years",142.2
"1615","South-East","1996","Other cattle male: 1-2 years",204
"1616","South-West","1996","Other cattle male: 1-2 years",167.8
"1617","State","1997","Other cattle male: 1-2 years",1054.7
"1618","Dublin plus Mid East","1997","Other cattle male: 1-2 years",95.4
"1619","Border","1997","Other cattle male: 1-2 years",130
"1620","Midland","1997","Other cattle male: 1-2 years",123.3
"1621","West","1997","Other cattle male: 1-2 years",167.4
"1622","Mid-West","1997","Other cattle male: 1-2 years",146
"1623","South-East","1997","Other cattle male: 1-2 years",211
"1624","South-West","1997","Other cattle male: 1-2 years",181.5
"1625","State","1998","Other cattle male: 1-2 years",1085.6
"1626","Dublin plus Mid East","1998","Other cattle male: 1-2 years",98.8
"1627","Border","1998","Other cattle male: 1-2 years",133
"1628","Midland","1998","Other cattle male: 1-2 years",128
"1629","West","1998","Other cattle male: 1-2 years",169.6
"1630","Mid-West","1998","Other cattle male: 1-2 years",151.9
"1631","South-East","1998","Other cattle male: 1-2 years",215.5
"1632","South-West","1998","Other cattle male: 1-2 years",188.7
"1633","State","1999","Other cattle male: 1-2 years",1039
