"","Region","Year","Type.of.Animal","value"
"133","West","1993","Breeding cattle",328.5
"134","Mid-West","1993","Breeding cattle",403.1
"135","South-East","1993","Breeding cattle",448.1
"136","South-West","1993","Breeding cattle",634.7
"137","State","1994","Breeding cattle",2616.8
"138","Dublin plus Mid East","1994","Breeding cattle",196.8
"139","Border","1994","Breeding cattle",361.7
"140","Midland","1994","Breeding cattle",217.6
"141","West","1994","Breeding cattle",330.6
"142","Mid-West","1994","Breeding cattle",408.1
"143","South-East","1994","Breeding cattle",458.6
"144","South-West","1994","Breeding cattle",643
"145","State","1995","Breeding cattle",2678.9
"146","Dublin plus Mid East","1995","Breeding cattle",201.5
"147","Border","1995","Breeding cattle",374.7
"148","Midland","1995","Breeding cattle",223.5
"149","West","1995","Breeding cattle",343.3
"150","Mid-West","1995","Breeding cattle",416.8
"151","South-East","1995","Breeding cattle",462.6
"152","South-West","1995","Breeding cattle",656.7
"153","State","1996","Breeding cattle",2785.8
"154","Dublin plus Mid East","1996","Breeding cattle",208
"155","Border","1996","Breeding cattle",394
"156","Midland","1996","Breeding cattle",236.5
"157","West","1996","Breeding cattle",365.1
"158","Mid-West","1996","Breeding cattle",431.8
"159","South-East","1996","Breeding cattle",477.1
"160","South-West","1996","Breeding cattle",673.5
"161","State","1997","Breeding cattle",2891.9
"162","Dublin plus Mid East","1997","Breeding cattle",212.6
"163","Border","1997","Breeding cattle",414.5
"164","Midland","1997","Breeding cattle",248.7
"165","West","1997","Breeding cattle",393.9
"166","Mid-West","1997","Breeding cattle",445.3
"167","South-East","1997","Breeding cattle",486
"168","South-West","1997","Breeding cattle",691
"169","State","1998","Breeding cattle",2890.2
"170","Dublin plus Mid East","1998","Breeding cattle",215.8
"171","Border","1998","Breeding cattle",419.5
"172","Midland","1998","Breeding cattle",252.7
"173","West","1998","Breeding cattle",399
"174","Mid-West","1998","Breeding cattle",442.5
"175","South-East","1998","Breeding cattle",481.1
"176","South-West","1998","Breeding cattle",679.7
"177","State","1999","Breeding cattle",2802.6
"178","Dublin plus Mid East","1999","Breeding cattle",211.2
"179","Border","1999","Breeding cattle",406.3
"180","Midland","1999","Breeding cattle",245.1
"181","West","1999","Breeding cattle",387.2
