"","Statistic","Year","Type.of.Sheep","Size.of.Flock","value"
"80","Number of Sheep (Thousand)","2001","Sheep","20-49",352.3
"81","Number of Farms with Sheep (Thousand)","2003","Sheep","20-49",9.4
"82","Number of Sheep (Thousand)","2003","Sheep","20-49",336.7
"83","Number of Farms with Sheep (Thousand)","2005","Sheep","20-49",10.3
"84","Number of Sheep (Thousand)","2005","Sheep","20-49",313.7
"85","Number of Farms with Sheep (Thousand)","1995","Ewes","20-49",14
"86","Number of Sheep (Thousand)","1995","Ewes","20-49",461.2
"87","Number of Farms with Sheep (Thousand)","1997","Ewes","20-49",12.7
"88","Number of Sheep (Thousand)","1997","Ewes","20-49",428
"89","Number of Farms with Sheep (Thousand)","1999","Ewes","20-49",12.3
"90","Number of Sheep (Thousand)","1999","Ewes","20-49",439.9
"91","Number of Farms with Sheep (Thousand)","2001","Ewes","20-49",11
"92","Number of Sheep (Thousand)","2001","Ewes","20-49",372.5
"93","Number of Farms with Sheep (Thousand)","2003","Ewes","20-49",10.1
"94","Number of Sheep (Thousand)","2003","Ewes","20-49",353.5
"95","Number of Farms with Sheep (Thousand)","2005","Ewes","20-49",10.9
"96","Number of Sheep (Thousand)","2005","Ewes","20-49",322.4
"97","Number of Farms with Sheep (Thousand)","1995","Sheep","50-99",12.7
"98","Number of Sheep (Thousand)","1995","Sheep","50-99",896.3
"99","Number of Farms with Sheep (Thousand)","1997","Sheep","50-99",12.3
"100","Number of Sheep (Thousand)","1997","Sheep","50-99",877.5
"101","Number of Farms with Sheep (Thousand)","1999","Sheep","50-99",11.4
"102","Number of Sheep (Thousand)","1999","Sheep","50-99",887.7
"103","Number of Farms with Sheep (Thousand)","2001","Sheep","50-99",10.9
"104","Number of Sheep (Thousand)","2001","Sheep","50-99",800.9
"105","Number of Farms with Sheep (Thousand)","2003","Sheep","50-99",10.2
"106","Number of Sheep (Thousand)","2003","Sheep","50-99",781.6
"107","Number of Farms with Sheep (Thousand)","2005","Sheep","50-99",10.8
"108","Number of Sheep (Thousand)","2005","Sheep","50-99",694.8
"109","Number of Farms with Sheep (Thousand)","1995","Ewes","50-99",12.2
"110","Number of Sheep (Thousand)","1995","Ewes","50-99",846.2
"111","Number of Farms with Sheep (Thousand)","1997","Ewes","50-99",11.8
"112","Number of Sheep (Thousand)","1997","Ewes","50-99",837
"113","Number of Farms with Sheep (Thousand)","1999","Ewes","50-99",11
"114","Number of Sheep (Thousand)","1999","Ewes","50-99",833.7
"115","Number of Farms with Sheep (Thousand)","2001","Ewes","50-99",10.4
"116","Number of Sheep (Thousand)","2001","Ewes","50-99",744.1
"117","Number of Farms with Sheep (Thousand)","2003","Ewes","50-99",9.9
"118","Number of Sheep (Thousand)","2003","Ewes","50-99",731.7
"119","Number of Farms with Sheep (Thousand)","2005","Ewes","50-99",10.6
"120","Number of Sheep (Thousand)","2005","Ewes","50-99",666.9
"121","Number of Farms with Sheep (Thousand)","1995","Sheep","100-199",10.1
"122","Number of Sheep (Thousand)","1995","Sheep","100-199",1411.4
"123","Number of Farms with Sheep (Thousand)","1997","Sheep","100-199",10.2
"124","Number of Sheep (Thousand)","1997","Sheep","100-199",1423.2
"125","Number of Farms with Sheep (Thousand)","1999","Sheep","100-199",9.3
"126","Number of Sheep (Thousand)","1999","Sheep","100-199",1415.2
"127","Number of Farms with Sheep (Thousand)","2001","Sheep","100-199",8.9
"128","Number of Sheep (Thousand)","2001","Sheep","100-199",1297.9
"129","Number of Farms with Sheep (Thousand)","2003","Sheep","100-199",8.7
"130","Number of Sheep (Thousand)","2003","Sheep","100-199",1310.5
"131","Number of Farms with Sheep (Thousand)","2005","Sheep","100-199",9.1
"132","Number of Sheep (Thousand)","2005","Sheep","100-199",1131.4
"133","Number of Farms with Sheep (Thousand)","1995","Ewes","100-199",8.9
"134","Number of Sheep (Thousand)","1995","Ewes","100-199",1218.5
"135","Number of Farms with Sheep (Thousand)","1997","Ewes","100-199",8.9
"136","Number of Sheep (Thousand)","1997","Ewes","100-199",1233.5
"137","Number of Farms with Sheep (Thousand)","1999","Ewes","100-199",8
"138","Number of Sheep (Thousand)","1999","Ewes","100-199",1182.7
"139","Number of Farms with Sheep (Thousand)","2001","Ewes","100-199",8.1
"140","Number of Sheep (Thousand)","2001","Ewes","100-199",1132
"141","Number of Farms with Sheep (Thousand)","2003","Ewes","100-199",7.3
"142","Number of Sheep (Thousand)","2003","Ewes","100-199",1061.3
"143","Number of Farms with Sheep (Thousand)","2005","Ewes","100-199",7.7
"144","Number of Sheep (Thousand)","2005","Ewes","100-199",919.8
"145","Number of Farms with Sheep (Thousand)","1995","Sheep","200-499",6.8
"146","Number of Sheep (Thousand)","1995","Sheep","200-499",1962.6
"147","Number of Farms with Sheep (Thousand)","1997","Sheep","200-499",6.9
"148","Number of Sheep (Thousand)","1997","Sheep","200-499",2021.1
"149","Number of Farms with Sheep (Thousand)","1999","Sheep","200-499",5.6
"150","Number of Sheep (Thousand)","1999","Sheep","200-499",1788.7
"151","Number of Farms with Sheep (Thousand)","2001","Sheep","200-499",5.4
"152","Number of Sheep (Thousand)","2001","Sheep","200-499",1619.8
"153","Number of Farms with Sheep (Thousand)","2003","Sheep","200-499",5.3
"154","Number of Sheep (Thousand)","2003","Sheep","200-499",1643.7
"155","Number of Farms with Sheep (Thousand)","2005","Sheep","200-499",5.2
"156","Number of Sheep (Thousand)","2005","Sheep","200-499",1373
"157","Number of Farms with Sheep (Thousand)","1995","Ewes","200-499",5
"158","Number of Sheep (Thousand)","1995","Ewes","200-499",1402.5
"159","Number of Farms with Sheep (Thousand)","1997","Ewes","200-499",4.9
"160","Number of Sheep (Thousand)","1997","Ewes","200-499",1392.2
"161","Number of Farms with Sheep (Thousand)","1999","Ewes","200-499",4.2
"162","Number of Sheep (Thousand)","1999","Ewes","200-499",1267.4
"163","Number of Farms with Sheep (Thousand)","2001","Ewes","200-499",4
"164","Number of Sheep (Thousand)","2001","Ewes","200-499",1154.9
"165","Number of Farms with Sheep (Thousand)","2003","Ewes","200-499",3.7
"166","Number of Sheep (Thousand)","2003","Ewes","200-499",1104
"167","Number of Farms with Sheep (Thousand)","2005","Ewes","200-499",3.7
"168","Number of Sheep (Thousand)","2005","Ewes","200-499",936
"169","Number of Farms with Sheep (Thousand)","1995","Sheep","500-999",0.9
"170","Number of Sheep (Thousand)","1995","Sheep","500-999",604
"171","Number of Farms with Sheep (Thousand)","1997","Sheep","500-999",0.9
"172","Number of Sheep (Thousand)","1997","Sheep","500-999",613.5
"173","Number of Farms with Sheep (Thousand)","1999","Sheep","500-999",0.9
"174","Number of Sheep (Thousand)","1999","Sheep","500-999",595.9
"175","Number of Farms with Sheep (Thousand)","2001","Sheep","500-999",0.8
"176","Number of Sheep (Thousand)","2001","Sheep","500-999",536.1
"177","Number of Farms with Sheep (Thousand)","2003","Sheep","500-999",0.8
"178","Number of Sheep (Thousand)","2003","Sheep","500-999",536.5
"179","Number of Farms with Sheep (Thousand)","2005","Sheep","500-999",0.8
"180","Number of Sheep (Thousand)","2005","Sheep","500-999",497.3
"181","Number of Farms with Sheep (Thousand)","1995","Ewes","500-999",0.4
"182","Number of Sheep (Thousand)","1995","Ewes","500-999",266.2
"183","Number of Farms with Sheep (Thousand)","1997","Ewes","500-999",0.5
"184","Number of Sheep (Thousand)","1997","Ewes","500-999",307.3
"185","Number of Farms with Sheep (Thousand)","1999","Ewes","500-999",0.4
"186","Number of Sheep (Thousand)","1999","Ewes","500-999",260.4
