"","Statistic","Year","Type.of.Pig","Size.of.Herd","value"
"1434","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","400-999",74
"1435","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","400-999",0.1
"1436","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","400-999",92
"1437","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","400-999",0.2
"1438","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","400-999",98.1
"1439","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","400-999",0.2
"1440","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","400-999",104.6
"1441","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","400-999",0.2
"1442","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","400-999",105.9
"1443","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","400-999",0.2
"1444","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","400-999",114
"1445","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","400-999",0.2
"1446","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","400-999",101.8
"1447","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","400-999",0.2
"1448","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","400-999",113.4
"1449","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","400-999",0.2
"1450","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","400-999",113.5
"1451","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","400-999",0.2
"1452","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","400-999",114.3
"1453","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","400-999",0.2
"1454","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","400-999",108.9
"1455","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","400-999",0.1
"1456","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","400-999",87
"1457","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","400-999",0.1
"1458","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","400-999",73.3
"1459","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","400-999",0.1
"1460","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","400-999",67.5
"1461","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","400-999",0.1
"1462","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","400-999",52.4
"1463","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1464","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","400-999",68
"1465","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1466","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","400-999",60.9
"1467","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","400-999",0.1
"1468","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","400-999",65.4
"1469","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","400-999",0.1
"1470","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","400-999",74.7
"1471","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1472","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","400-999",88.1
"1473","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1474","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","400-999",97.3
"1475","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","400-999",0.1
"1476","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","400-999",69.9
"1477","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","400-999",0.1
"1478","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","400-999",53.6
"1479","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","400-999",0.1
"1480","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","400-999",64.8
"1481","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1482","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","400-999",92.4
"1483","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1484","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","400-999",111.4
"1485","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1486","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","400-999",95.1
"1487","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1488","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","400-999",99
"1489","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1490","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","400-999",102.4
"1491","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1492","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","400-999",102.5
"1493","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","400-999",0.2
"1494","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","400-999",94.8
"1495","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","400-999",0.1
"1496","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","400-999",84.1
"1497","Number of Farms with Pigs (Thousand)","1973","Pigs","1000 and Over",0.1
"1498","Number of Pigs (Thousand)","1973","Pigs","1000 and Over",308.2
"1499","Number of Farms with Pigs (Thousand)","1975","Pigs","1000 and Over",0.2
"1500","Number of Pigs (Thousand)","1975","Pigs","1000 and Over",359.9
"1501","Number of Farms with Pigs (Thousand)","1977","Pigs","1000 and Over",0.2
"1502","Number of Pigs (Thousand)","1977","Pigs","1000 and Over",443.4
"1503","Number of Farms with Pigs (Thousand)","1979","Pigs","1000 and Over",0.2
"1504","Number of Pigs (Thousand)","1979","Pigs","1000 and Over",593.6
"1505","Number of Farms with Pigs (Thousand)","1981","Pigs","1000 and Over",0.2
"1506","Number of Pigs (Thousand)","1981","Pigs","1000 and Over",650.9
"1507","Number of Farms with Pigs (Thousand)","1983","Pigs","1000 and Over",0.2
"1508","Number of Pigs (Thousand)","1983","Pigs","1000 and Over",680
"1509","Number of Farms with Pigs (Thousand)","1985","Pigs","1000 and Over",0.2
"1510","Number of Pigs (Thousand)","1985","Pigs","1000 and Over",710.4
"1511","Number of Farms with Pigs (Thousand)","1987","Pigs","1000 and Over",0.2
"1512","Number of Pigs (Thousand)","1987","Pigs","1000 and Over",747.7
"1513","Number of Farms with Pigs (Thousand)","1989","Pigs","1000 and Over",0.2
"1514","Number of Pigs (Thousand)","1989","Pigs","1000 and Over",830.2
"1515","Number of Farms with Pigs (Thousand)","1991","Pigs","1000 and Over",0.3
"1516","Number of Pigs (Thousand)","1991","Pigs","1000 and Over",1146.4
"1517","Number of Farms with Pigs (Thousand)","1993","Pigs","1000 and Over",0.3
"1518","Number of Pigs (Thousand)","1993","Pigs","1000 and Over",1295.5
"1519","Number of Farms with Pigs (Thousand)","1995","Pigs","1000 and Over",0.3
"1520","Number of Pigs (Thousand)","1995","Pigs","1000 and Over",1359.8
"1521","Number of Farms with Pigs (Thousand)","1997","Pigs","1000 and Over",0.4
"1522","Number of Pigs (Thousand)","1997","Pigs","1000 and Over",1565.6
"1523","Number of Farms with Pigs (Thousand)","1999","Pigs","1000 and Over",0.3
"1524","Number of Pigs (Thousand)","1999","Pigs","1000 and Over",1645
"1525","Number of Farms with Pigs (Thousand)","2001","Pigs","1000 and Over",0.3
"1526","Number of Pigs (Thousand)","2001","Pigs","1000 and Over",1659.1
"1527","Number of Farms with Pigs (Thousand)","2003","Pigs","1000 and Over",0.3
"1528","Number of Pigs (Thousand)","2003","Pigs","1000 and Over",1647.5
"1529","Number of Farms with Pigs (Thousand)","2005","Pigs","1000 and Over",0.3
"1530","Number of Pigs (Thousand)","2005","Pigs","1000 and Over",1609.3
"1531","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","1000 and Over",NA
"1532","Number of Pigs (Thousand)","1973","Female Breeding Pigs","1000 and Over",NA
"1533","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","1000 and Over",NA
"1534","Number of Pigs (Thousand)","1975","Female Breeding Pigs","1000 and Over",NA
"1535","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","1000 and Over",NA
"1536","Number of Pigs (Thousand)","1977","Female Breeding Pigs","1000 and Over",NA
"1537","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","1000 and Over",NA
"1538","Number of Pigs (Thousand)","1979","Female Breeding Pigs","1000 and Over",NA
"1539","Number of Farms with Pigs (Thousand)","1981","Female Breeding Pigs","1000 and Over",NA
"1540","Number of Pigs (Thousand)","1981","Female Breeding Pigs","1000 and Over",NA
"1541","Number of Farms with Pigs (Thousand)","1983","Female Breeding Pigs","1000 and Over",NA
"1542","Number of Pigs (Thousand)","1983","Female Breeding Pigs","1000 and Over",NA
"1543","Number of Farms with Pigs (Thousand)","1985","Female Breeding Pigs","1000 and Over",NA
"1544","Number of Pigs (Thousand)","1985","Female Breeding Pigs","1000 and Over",NA
"1545","Number of Farms with Pigs (Thousand)","1987","Female Breeding Pigs","1000 and Over",NA
"1546","Number of Pigs (Thousand)","1987","Female Breeding Pigs","1000 and Over",NA
"1547","Number of Farms with Pigs (Thousand)","1989","Female Breeding Pigs","1000 and Over",NA
"1548","Number of Pigs (Thousand)","1989","Female Breeding Pigs","1000 and Over",NA
"1549","Number of Farms with Pigs (Thousand)","1991","Female Breeding Pigs","1000 and Over",NA
"1550","Number of Pigs (Thousand)","1991","Female Breeding Pigs","1000 and Over",NA
"1551","Number of Farms with Pigs (Thousand)","1993","Female Breeding Pigs","1000 and Over",NA
"1552","Number of Pigs (Thousand)","1993","Female Breeding Pigs","1000 and Over",NA
"1553","Number of Farms with Pigs (Thousand)","1995","Female Breeding Pigs","1000 and Over",NA
"1554","Number of Pigs (Thousand)","1995","Female Breeding Pigs","1000 and Over",NA
"1555","Number of Farms with Pigs (Thousand)","1997","Female Breeding Pigs","1000 and Over",NA
"1556","Number of Pigs (Thousand)","1997","Female Breeding Pigs","1000 and Over",NA
"1557","Number of Farms with Pigs (Thousand)","1999","Female Breeding Pigs","1000 and Over",NA
"1558","Number of Pigs (Thousand)","1999","Female Breeding Pigs","1000 and Over",NA
"1559","Number of Farms with Pigs (Thousand)","2001","Female Breeding Pigs","1000 and Over",NA
"1560","Number of Pigs (Thousand)","2001","Female Breeding Pigs","1000 and Over",NA
"1561","Number of Farms with Pigs (Thousand)","2003","Female Breeding Pigs","1000 and Over",NA
"1562","Number of Pigs (Thousand)","2003","Female Breeding Pigs","1000 and Over",NA
"1563","Number of Farms with Pigs (Thousand)","2005","Female Breeding Pigs","1000 and Over",NA
"1564","Number of Pigs (Thousand)","2005","Female Breeding Pigs","1000 and Over",NA
"1565","Number of Farms with Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.1
"1566","Number of Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","1000 and Over",37.9
"1567","Number of Farms with Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.1
"1568","Number of Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","1000 and Over",82.3
"1569","Number of Farms with Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.1
"1570","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","1000 and Over",179.1
"1571","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.1
"1572","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","1000 and Over",222.6
"1573","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.1
"1574","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","1000 and Over",275.2
"1575","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.1
"1576","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","1000 and Over",292.7
"1577","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.1
"1578","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","1000 and Over",302.8
"1579","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.1
"1580","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","1000 and Over",319.4
"1581","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.1
"1582","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","1000 and Over",387.7
"1583","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.2
"1584","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","1000 and Over",591.6
"1585","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.2
"1586","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","1000 and Over",690.5
"1587","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.2
"1588","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","1000 and Over",705.2
"1589","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.3
"1590","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","1000 and Over",819.2
"1591","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.2
"1592","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","1000 and Over",886.5
"1593","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.3
"1594","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","1000 and Over",898.2
"1595","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.2
"1596","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","1000 and Over",883.1
"1597","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","1000 and Over",0.2
"1598","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","1000 and Over",890.8
"1599","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1600","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","1000 and Over",17
"1601","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1602","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","1000 and Over",137.4
"1603","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1604","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","1000 and Over",153.6
"1605","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1606","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","1000 and Over",211.4
"1607","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1608","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","1000 and Over",197.3
"1609","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1610","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","1000 and Over",194.9
"1611","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1612","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","1000 and Over",205.8
"1613","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1614","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","1000 and Over",227.3
"1615","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1616","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","1000 and Over",220.5
"1617","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1618","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","1000 and Over",224.3
"1619","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1620","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","1000 and Over",248.4
"1621","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1622","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","1000 and Over",314.7
"1623","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1624","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","1000 and Over",392.3
"1625","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1626","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","1000 and Over",415.6
"1627","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1628","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","1000 and Over",431.8
"1629","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1630","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","1000 and Over",457.4
"1631","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","1000 and Over",0.1
"1632","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","1000 and Over",425.6
